,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30488584,午夜0时的吻,1cd359579086f06964c9ecaff4345a64,7c122c2686bc8577b87b90d271ae4de5,3.0,2020-07-14 23:38:23,"等了半年，就这？ 说的就是片寄凉太&amp;桥本环奈，W主演的那部少女漫改电影《午夜0时的吻》。 特意抽空2小时在空调房观赏来着，还我2小时！！！ 理智告诉我，别带脑子看少女漫改，可是情感告诉我，臣妾做不到！即便这部电影标榜“颜狗天堂”，舔屏就够了，但剧情还是要喷一喷...

                         ( 展开 )",5.0,,3
1,1,30488584,午夜0时的吻,d7276f5e1b5082eb5c76c4d1086bbdf8,19b41d030c85b7c93b8c83431a0b8916,2.0,2020-06-28 23:12:30,"这篇影评可能有剧透 

                        整部电影就是一部大型迷惑行为大赏。 男主是pg控，热爱女生臀部。但凡把片寄凉太的脸换成路人，所有人第一反应就是恶心吧，甚至还带着一丝不愉悦的被冒犯感。这看脸的世界啊……但可以说这是漫画里的剧情，电影也只是还原，姑且算原著的锅好了。 男女主如何一见钟情的，只是因...

                         ( 展开 )",29.0,,16
2,2,30488584,午夜0时的吻,9b1e6534e1517bb02db10b4777516ada,46ff5d4e4717d2379ec29be1379652bb,1.0,2021-05-04 14:31:00,"这篇影评可能有剧透 

                        冲着片寄凉太和桥本环奈来的，当初的预告片给我多大期待正片就给我多大失望。 1、关于颜值：我还停留在哥哥太爱我了怎么办，片寄凉太怎么回事？这才过去几年？一开始出现的那个回头，我真的没认出来是他，严格的说是我不敢相信那是他，那个又黑又面的男人是谁？我以为是恶作剧...

                         ( 展开 )",1.0,,0
3,3,30488584,午夜0时的吻,0bb101b9b0a2608a32054ffb99399777,558c2dbc646097575bffdc58dbb638b4,2.0,2020-10-04 00:43:41,"惹。。在日本，作为明星，偶像团体男主可以随便谈恋爱的哦？？？你就不怕上文春？2ch和5ch绝对往死里喷啊。。。而且还是未成年的高中女生？？？这你妥妥糊了啊。。。。。。这剧情，高中小粉丝爱上大明星，大明星还真会爱上了你哦还抛弃了漂亮气质好的女朋友。。。惹。。。洗洗...

                         ( 展开 )",,,1
4,4,30488584,午夜0时的吻,1ac20dbc27d0fd28a05d5fabb6a33a22,6db07f1d06e7946692b77d426052fe8d,,2020-08-18 14:47:45,"整部电影最初来说我是非常期待的 毕竟这种题材还是有一定天生吸引力的  如果拍好了确实会不错 我有想过可能会拍的不是极品 但没想过会如此……我目前找不出一个词来评论这部电影了可以说是 首先男主的设定癖好真的可以说是十分诡异  首先这个癖好本身就很诡异了 其次这个癖好为...

                         ( 展开 )",2.0,,0
5,5,30488584,午夜0时的吻,c0724083234e5510f98d52ffb6b4b572,b8bbbb65e69f76dc000da0acc415df8d,3.0,2020-07-28 00:14:35,"因为《兄困》认识的片寄凉太。那时候是多么阳光青春活力的日系漫撕男呀！ 但是如果自己不寻求转型，逃不过漫改男主令人感到乏味的命运。 这部电影还是玛丽苏到极致的剧情。纯属是为了女生yy而存在的。 我看到弹幕有人说，这是偶像失格又怎样怎样。 拜托，在玛丽苏偶像剧里需要...

                         ( 展开 )",,,2
6,6,30488584,午夜0时的吻,c307b3e963bafd5091391a241531dc75,05737a575bfe89eef1cc536d075268fd,,2020-07-09 09:16:02,"故事情节一般吧！主角颜值不错！☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️...

                         ( 展开 )",,,0
7,7,30488584,午夜0时的吻,3de2efd50027b22138c99ab23e63f12e,c4edd1cf2dd3eca450721a91fb1db7b5,5.0,2020-07-03 18:19:23,"版权归作者所有，任何形式转载请联系作者。 作者：透透（来自豆瓣） 来源：https://www.douban.com/doubanapp/dispatch/review/12682598 加班的间隙终于看完，然后我激动得来写影评了2333 GENE作为我团弟弟团当然一直都有关注，这部电影主题曲的新曲一发布就刷了油管无数遍。加...

                         ( 展开 )",,,0
8,8,30488584,午夜0时的吻,a4a151baa894d6f29d771e223cc8f216,82b77281bd3029d95cfdf76c16657391,3.0,2020-07-03 15:58:52,"等这部电影快一年多了，去年看到预告，年尾在日本上映。而到最近几天才有资源。因为也算是片寄凉太的粉丝，冲着这点来看这部电影，希望能有一点小惊喜，比如唯美动人的片段，哪怕是有一点点触动都很好。 毕竟作为少女漫改编的电影，这类电影我是看的太多了，套路都很熟悉了，自...

                         ( 展开 )",,,0
9,9,30488584,午夜0时的吻,ea7d07e70a8aa2656f4f7b0a0d28920e,d5fe7bb034827e5da19679ecacdf68ea,,2020-07-01 16:46:24,"是那种少女漫画下的甜系玛丽苏电影 印象比较深的有一段夹娃娃，简直就是我本人了（除了日奈奈那过分可爱的脸） 会让观众不由自主地去带入，但看过这类型电影的大家都应该知道，别太较真，苏就完事了 两位都很搭，颜啊，身高啊，是每个女孩子都会幻想的剧情了，和大明星谈恋爱 ...

                         ( 展开 )",,1.0,0
10,10,30488584,午夜0时的吻,7ba8a7a144f6ed18dad5d324e41493ec,7071e13a87bf60b2dfe59953df6a6f2c,3.0,2020-06-27 23:51:23,"这篇影评可能有剧透 

                        故事开头有一个男主拍的可口可乐广告，我以为是商业片hhh 然后男主在数屁股围的时候数到了女主…结果一见钟情？？这个地方完全没有拍出来一见钟情，很无厘头的开始慢慢和女主接触 中间挺唯美的，滤镜很好看。但不能细品男主颜值和女主的身材(女主就是普通高中生也没啥颜值要求...

                         ( 展开 )",,,0
11,11,30488584,午夜0时的吻,aadf9cb85e02faa5cccfd5dea54d807d,3515a32ad7c83cef27e817d914cb2196,2.0,2020-06-27 22:20:29,"虽然漫画剧情是有些不实际，但电影的改编真的让剧情更糟糕了，理解因为是电影需要加快剧情，但是太过快速的剧情显得男主真的十分轻浮，见了两三面就亲真的服了，还突然就三年后了 主线剧情也改的一踏糊涂。 女主演技还可以，而且环奈真的很可爱，颜就算胖了也还是可爱的，但男...

                         ( 展开 )",,,1
12,12,30488584,午夜0时的吻,ce1b76888779968bb5386ddd6b3a9a97,eca390a86e4c1e0b5c2350e85d4416e8,,2020-06-26 11:29:33,"漫画从头追到现在最新的更新，从开始有漫改消息就很期待，苦于一直找不到资源还一度非常难过，但结果真的太让人失望了，白瞎了这么长时间 虽然漫画剧情是有些不实际，但电影的改编真的让剧情更糟糕了，理解因为是电影需要加快剧情，但是太过快速的剧情显得男主真的十分轻浮，见...

                         ( 展开 )",1.0,1.0,2
13,13,30488584,午夜0时的吻,916ecd24f113e1402e42c06490228b7a,fdb00698ab04566a3e74278832449d45,1.0,2020-06-26 01:53:27,"看到微博有推以为是预告片点进去看消磨碎片时间，结果是正片，白瞎我一个半小时… 全程就在看:诶来诶去…的偶像光环粉丝恋爱大幻想 以为那个女演员气质不错应该漂亮，结果一说话一做表情大龅牙露出来…脸型也是臃肿水滴型妈呀…额有点难看，姐姐只有身材和直发背影能看了咯 日...

                         ( 展开 )",2.0,,0
14,14,30488584,午夜0时的吻,734073646ed49607f45d50cf61663181,bffec417c4f1d414635b78ac4db36408,,2020-06-25 00:48:29,"这篇影评可能有剧透 

                        虽然现实已经无数次告诉我们普通人和大明星的故事永远是电影情节 但是我还是好喜欢 每次看到这种桥段都还是会爱上 片寄和桥本环奈都比之前胖了些 但我还是有哥哥太爱我了滤镜的 还是蛮帅！经纪人也很可爱很有亮点 全剧没有很让人揪心的部分 每个角色都是温柔且善良 反派也不能...

                         ( 展开 )",1.0,1.0,0
15,15,30488584,午夜0时的吻,973214293d1146e669b9b73fd3e8ca23,b68472675914e84e2811183eda01cc4a,4.0,2020-06-24 21:47:04,"加班的间隙终于看完，然后我激动得来写影评了2333 GENE作为我团弟弟团当然一直都有关注，这部电影主题曲的新曲一发布就刷了油管无数遍。加上一直喜欢的桥本环奈小天使和凉太主演，又是这么梦幻的题材，期待可以说是N+大。虽然因为日本影评普遍评价不高没去电影院看（借口，就是...

                         ( 展开 )",,1.0,0
16,16,30488584,午夜0时的吻,d7f746602d4fa08a2a17bd0cc5079b69,48571fdf9db10df4e049665e11a99546,,2020-06-23 22:49:15,"这篇影评可能有剧透 

                        本来打算今天晚上打游戏的，一刷微博刷到了这部电影的资源，干脆游戏不打了，立马开始看电影，因为一旦把到手的资源放进网盘里想着以后再看的时候，往往要过好久，而且新鲜感也没有刚拿到手这么强。 日本电影的资源总是要等很久，午夜零时的吻也不例外，一直以来我都很喜欢看这...

                         ( 展开 )",,,0
17,17,30488584,午夜0时的吻,1d09684458cc871d5654657e0660cb66,5e7c6896d9f5bf3b6aa4f5a02d2f1ddb,5.0,2020-06-22 19:37:56,"这篇影评可能有剧透 

                        第一次知道这部电影是通过wb、某站上的好多个明星/拉郎伪预告剪辑😂当时对这部电影的全部期待就是它的玛丽苏桥段和演员颜值，可没想到看完整部电影下来心里收获了满满的感动…… 女主和男主都是十分为人着想的人。女主对家人的付出、对男主的理解，男主对前团员梦想的支持、...

                         ( 展开 )",11.0,2.0,5
18,18,30488584,午夜0时的吻,8a9e84001122d8aa45e1d94c2bcf1f4b,8227b1ca08f1b5e9053db947dce6986d,5.0,2020-07-06 18:47:51,"人生的成绩好像是清道夫，怎么做可能都看不出来，可是一不做就看出来了。 —————— “春日浮，如鱼之游在波。”这是讲气脉的活动，乃至脉象。所以春夏秋冬看脉，你要把时令分清楚。至于这一篇，我个人的经验，地区不同看脉不同。譬如我说浙江海边人，抗战合日本人打仗的时...

                         ( 展开 )",,,0
19,19,30488584,午夜0时的吻,fbae0e6f78dff005bf7835095dcf811c,6251d688e5d541e213ef106e00df68e3,2.0,2020-07-05 15:01:06,"也许很少人这样想，感觉来了，头脑想清楚也难以清楚，把持自己这种事，轮到自己头上，做到，谈何容易？ 有人做到了！ 十六岁的高中生日奈奈，每天只知道学习，爱好还是学习，这样的她，让同学兼发小的小彰爱在心口难开。 每天只是默默地关注着她的喜怒哀乐，就觉满足了。 可即...

                         ( 展开 )",,,0
20,20,30488584,午夜0时的吻,fa0cdc07c6778f8271ebfecc7c5ba3e2,dc2a13db89b1123075d53f5b0cba23f5,2.0,2020-07-04 22:09:43,"作为一名粉丝来看这部电影心情越看越复杂。第一，这样的事情在现实中发生的概率极低，除非是一些名不见经传的小艺人，电影中那种当红小生是完全不可能的。第二，剧情真的非常古早言情玛丽苏剧，于我来说唯一的亮点就是咬鼻子的part，但是粉好吃吗？第三，看到电影一半的时候被...

                         ( 展开 )",,,0
