,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,33393167,鬼灭之刃 兄妹的羁绊,530d43fd90683ab772c37cf140a54e60,4a4be40c96ac6314e91d93f38043a634,,2020-11-23 10:25:38,"就很jump 的套路，但我明白世代不一樣看的當然也要換一換。只是好想問熱血主角是不是一定要善良到叫人急才行😂就很jump 的套路，但我明白世代不一樣看的當然也要換一換。只是好想問熱血主角是不是一定要善良到叫人急才行就很jump 的套路，但我明白世代不一樣看的當然也要換一...

                         ( 展开 )",3.0,2.0,0
1,1,33393167,鬼灭之刃 兄妹的羁绊,da1d9502594a7fdc90f6c84d545c140b,4f844233fa68adc485836049452983fb,5.0,2020-06-16 07:50:28,"其实一开始吸引我的是它的op《红莲花》，旋律优美，余音绕梁，而且歌词富有激情，组合起来简直就是镇魂曲，在听了1个月这首歌后我都还能单曲循环播放，百听不厌。op都有这么高的质量，人物配音更不用说了，请的都是顶尖的声优啊，经费在爆炸啊！炭次郎的老师是自来也配音的，分...

                         ( 展开 )",,1.0,1
2,2,33393167,鬼灭之刃 兄妹的羁绊,d86221878e5c490e522e175aaf963650,2cab6ea02fe12af58537e8431e809b94,5.0,2020-03-08 16:00:55,"这篇影评可能有剧透 

                        19年我看了《进击的巨人第三季》《甲铁城的卡巴内利》《冰海战记》《我的英雄学院第四季》，我个人其实很偏向看热血番，因为真的看的很燃很过瘾，如果你也是我强烈推荐鬼灭之刃和冰海战记，你看了一定不会后悔。 为什么说鬼灭之刃值得推荐大家看，如果你看过《鬼灭之刃》的漫画...

                         ( 展开 )",8.0,,18
3,3,33393167,鬼灭之刃 兄妹的羁绊,2527df15bb163d8ba6b7bb669fa13ddc,92ab76e19e0d93b01e85067e06ee63bb,5.0,2020-03-07 20:30:27,"炭治郎想拯救妹妹从鬼变回人，即使被杀掉的鬼，他会祈祷并握住鬼的手，挽救他的灵魂不会再堕入三恶道，希望他们都能再投胎做人，这是大慈大悲的菩萨。这是一部拯救灵魂的动漫，好伟大！这是一部有深刻思想的片子，南无阿弥陀佛  南无阿弥陀佛  南无阿弥陀佛🙏🙏🙏南无大...

                         ( 展开 )",4.0,,5
4,4,33393167,鬼灭之刃 兄妹的羁绊,c72a2bdb3191f9eec0c7487c687e3eaf,23b1fdd7fafe7213a57d4bcace3feb93,5.0,2020-03-07 20:14:16,"呜呜呜！！！真的好好看啊有热血有温情，一家那么多口最后就剩下了男主幸好有个妹妹没有真的死去，但是也变成了所谓的“鬼”因为不吃人需要大量的睡眠来获得足够的活力。到现在我印象最深的是蜘蛛那个故事，一只蜘蛛鬼为了所谓的“家人”从茫茫世界里选了几个人把他们搞成蜘蛛...

                         ( 展开 )",,,2
5,5,33393167,鬼灭之刃 兄妹的羁绊,a18a7db001ef74f3dd9e7950ae92c6cd,7e9008439d41c149dc2c10cfcfbc4a37,,2020-03-07 13:05:01,"最初看得是岛国动作片版《鬼灭之刃》，一时好奇又看了动画版，结果看到停不下来，一天刷完，很久没有看过这么热血励志搞笑刺激的动画了，久久难忘。 鬼满嘴谎言，只为保全自己，遵循本能而活。换句话说，那些自私自利，每天混吃等死，只顾满足自己欲望的人不就活的像鬼么。人和...

                         ( 展开 )",5.0,,6
6,6,33393167,鬼灭之刃 兄妹的羁绊,081c0b39d62238b31fbe50a78a53f1b0,4389459163520908fa4809e16530e27a,,2020-07-04 21:40:26,"没留意这个，不知道好不好看，有没有人介绍一下，是治愈系的电影吗？跟夏目友人帐比怎么样，我居然字数不够，怎么办，看来知识跟不上啊，哈哈哈，有点尴尬啊，七行够吗，好像有点难，我编不下去了，我就想让个人回我回复一下剧情，我不想评论那么多啊，刚开始玩，不懂啊，怎么...

                         ( 展开 )",1.0,5.0,2
7,7,33393167,鬼灭之刃 兄妹的羁绊,c8bd1cdffefffbd7abe8905d05182d79,623a554dc9f5abc3a66bdc970f76f67c,4.0,2020-05-31 20:17:41,"炭治郎为了帮助祢豆子恢复如初踏上了成为鬼杀队队员的道路，他经历训练，考核，实战，最终成为合格的鬼杀队一员，而这个过程，离不开祢豆子的帮助。 两人羁绊给我印象最深刻的地方就是在蜘蛛山。累看到祢豆子竟然能够为了救炭治郎而牺牲自己，于是想要将祢豆子炼化为自己的“妹...

                         ( 展开 )",,,0
8,8,33393167,鬼灭之刃 兄妹的羁绊,d8816ccae130ff6fbbd943b60df59ed8,fdb24000098ddedd26eed2678d7cd7ca,,2020-04-21 12:11:52,"看一部动漫优秀与否，就要看他的制作团队是否用心，看过该动漫的小伙伴都知道，该动漫的制作团队还是十分用心的，比起同期出品的动画，可以说是良心制作，无论是画风还是服装甚至是鞋子，都是满满的日本风格，很贴切的符合他的大背景，再加上剧中主人公用的刀，可以说细节很用...

                         ( 展开 )",,,0
9,9,33393167,鬼灭之刃 兄妹的羁绊,68cd96e60c5d96623abeb065df849846,48115122749368f8093f3660b2649607,4.0,2020-03-09 17:02:15,"这篇影评可能有剧透 

                        进入鬼杀队的这一篇其实有些突兀。但一旦接受了这个设定，整个故事的精彩程度绝对足够。 妹妹意外变成恶鬼，所幸仍然残存一丝人性，没想到一睡就是两年。大石头上的一位少年和另一位少女俨然是小老师和引路人。 历练中，师兄为保护他人而磨钝的刀判了他们的死刑。但这份执念却...

                         ( 展开 )",,,0
