,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,33412938,马茹娜的非凡旅程,8c9d3f9c945f53dab2c03b7ef05ef77a,d54147d1c8cb4c6a6678322130d4e8ec,5.0,2020-06-20 22:47:05,"电影是一门视觉艺术。 大概10年前，特效电影和3D电影蓬勃发展，至今我仍无法忘却当年看《2012》、《盗梦空间》、《少年派的奇幻漂流》时，那种超现实冲击带给我的视觉震撼。 但是，人生没有若只如初见，总会在习惯中归于平淡，随着漫威和DC超级英雄的轮番轰炸，在各式各样的好...

                         ( 展开 )",25.0,,7
1,1,33412938,马茹娜的非凡旅程,8630d10c9223c47dfa54949533f4f506,eb2dba0d93ca6c3872b9ae8f4ad15612,4.0,2020-06-15 23:37:35,"画风独特的一部动画。被预告片的“狗狗的幸福，跟人类的幸福截然不同。我们追求着永远都不要改变，人类则永远想要尝新。我们希望事情按部就班，人类却永远在追寻他们没有的东西。他们称之为‘梦想’。我说，这是‘不知道如何快乐’。”击中，去找了片源来看。因为这段话，仿佛...

                         ( 展开 )",20.0,,2
2,2,33412938,马茹娜的非凡旅程,67cf5351f6ef991cbb2e63be1510708a,c2470276ae4f1d1d9f33cf2b298cff45,5.0,2021-12-27 00:19:52,"真的担得起”非凡“这个词 马茹娜的非凡旅程 12/24/2021 中文片名真的担得起”非凡“这个词，创作者笔触生花，天马行空地描绘出一个个奇异瑰丽的或大或小的世界，那感觉就像一颗流星猝不及防地划过天际坠入自己观察者的眼眸，让人心花怒放，赞叹不已。 电影讲述了”小九“这只...

                         ( 展开 )",,,0
3,3,33412938,马茹娜的非凡旅程,e916e4c0ec3d2a60890e62cca25a1106,9117573e1a9d2b268f392529c93bc41b,5.0,2021-11-08 20:42:15,"感动的，真的就在那长久酝酿后的一瞬间！ 故事越到最后，我哭得越厉害。我因为梦想 因为家庭离开一个个爱着我的人，最终为了收养我的人的幸福，我走尽了这一生。 马丽娜她平庸的出生和被抛弃，都没有让她丧失对生活的满足和期盼，她成熟熟知一切，看过各种各样的人，各种各样的...

                         ( 展开 )",1.0,,0
4,4,33412938,马茹娜的非凡旅程,4bd1d1e082baaaa38ac077edfee2d712,19cf3448575240f493ca027f8ed4bd46,5.0,2021-08-15 01:30:10,"如果我能为猫咪创作出这么美妙的动画，我一定会觉得自己没有白学过画画。实在是太喜欢画风、配乐、配音，只是没想到又是这么残酷的故事…一直都刻意避开跟狗狗有关的电影和书籍…却因为看见制片方是法国、罗马尼亚和比利时就毫不犹豫下载了，连海报和简介也没看…结果又是哭着...

                         ( 展开 )",1.0,,0
5,5,33412938,马茹娜的非凡旅程,6995e7753842af4627370ea2f33ddf17,158be7def5c2ed361a78ae42b597de42,4.0,2021-08-06 21:41:40,"这篇影评可能有剧透 

                        剧荒，刷起了之前下载的库存，没想到画风炫目不说，还有这最简单的剧情却是最令人感动。 《马茹娜的非凡之旅》画面风格类似于毕加索《格尔尼卡》的立体主义、超现实主义的画风，也有野兽派的色彩运用。很现代不像我们看烂了的迪士尼，日漫风格。 （以下的内容有众多剧透，请谨...

                         ( 展开 )",2.0,,0
6,6,33412938,马茹娜的非凡旅程,966109fc49b33dbe411725acd6ee3877,00aec30b59b5d7807bd919943753051f,,2021-05-01 12:58:22,"这篇影评可能有剧透 

                        小九一开始被自己母亲和母亲的主人遗弃让我想起自弟弟妹妹出生，小时候在家里就会有遗弃感，总会觉得母亲在我们三个做选择的时候第一个放弃我 安娜成全第一任人类的特技演员的梦想，正如每次与他人相异时的妥协，为了别人更好更开心，总会忍受自己的难过做出违背本心的决定 莎...

                         ( 展开 )",,,0
7,7,33412938,马茹娜的非凡旅程,e75ecfdaf47553422296c77534b417ae,ee0b87cbec986ab188319886f81aedf3,3.0,2021-04-18 21:26:58,"毛毛、莎哈、安娜，这只黑白相间的米克斯小狗在不同的屋檐下，有过不同的名字，不变的是它对主人无邪的忠实，热切的盼望，以及无私的体贴。陪伴怀才不遇的特技演员筑梦踏实，替家计沈重的苦力工人卸除辛劳，伴随纯真可爱的单亲女孩共同成长；它享受过溺爱的甜蜜，也体会过现实...

                         ( 展开 )",,,0
8,8,33412938,马茹娜的非凡旅程,87f6e5a3005660327dc6ec04e18099f1,177c17905340476a6a74f73c22a73cfe,4.0,2021-03-28 16:28:34,"从一开始逃离想起她的妈妈可能正在寻找她的时候。第一个主人仿佛初恋，比想象还要完美的，魔术师带给了她一整个宇宙星空，为了让主人追求梦想她选择默默离开；第二个主人不是一见钟情，却也给她安慰，却被女主人厌弃；第三个主人是个孤独的小姑娘，小姑娘长大以后忙着约会忙着...

                         ( 展开 )",,,0
9,9,33412938,马茹娜的非凡旅程,e373f94e9a29a776d434296089388885,dc2cf9ba395be655a32f822bbdd81365,5.0,2021-03-02 17:31:44,"这篇影评可能有剧透 

                        小九、安娜、莎哈、毛毛，不同的屋檐下，不同的主人，不同的名字，都是她。 当奔着主人的方向追随而去，生命的最后，小小的她回望一生，流经过眼前的，也不过是她曾经深深信赖和爱恋过的人们。每一个主人她都付出过全部的期待，每一个主人也曾经很爱她过，但又因为各种各样的原...

                         ( 展开 )",2.0,,0
