,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,33457546,鱼乐园,f03fc79f17253feb702102e328e097f3,f442141fcf4c2a06babd66227ef7dc3f,,2019-08-04 21:02:08,"这篇影评可能有剧透 

                        导筒专访《鱼乐园》导演柴小雨 2019年FIRST青年影展进入第二天时，出现了一部收获现场观众多次掌声的新作——《鱼乐园》，这部有趣而混不吝的电影对当下北京快速的城市发展变迁中几位年轻人的精神状态进行了一次特写，导演柴小鱼在阐述中写到：“我看到了在都市生活中的“泡沫...

                         ( 展开 )",13.0,,0
1,1,33457546,鱼乐园,354887ee9dfc2eee5b178c77f274ed79,35b863b3cd4e2f1c1f5b98d24c0e4523,4.0,2019-09-17 12:59:13,"这篇影评可能有剧透 

                        文/莫赫兰盗 北京青年章小鱼在叔叔的拆迁公司工作。所谓工作，就是坐在胡同废墟中看那些六神无主的蚂蚁；盯着同事和钉子户进行“长期日常稳定”交涉；或者站在小卖部门口不紧不慢地啜着一瓶北冰洋，一边喝一边听里屋老板娘爽朗的笑声。章小鱼似乎没有固定的女朋友，还总和自己...

                         ( 展开 )",5.0,,0
2,2,33457546,鱼乐园,713a1a00e983f7f61942de486971bd68,f93004a9d53d9ddf88efc31451a77a01,4.0,2019-07-29 00:27:16,"看死君：每个人看到的北京都是不尽相同的，高楼大厦或街巷胡同，业界精英或边缘群体。但所有这些具象都不足以囊括北京给人的感觉。而由柴小雨执导的长片处女作《鱼乐园》则把导演从小到大最熟悉的京味融入进他的导筒中，极尽坦诚地向我们展示了他心目中这座城市的模样。 这是一...

                         ( 展开 )",4.0,,0
3,3,33457546,鱼乐园,354887ee9dfc2eee5b178c77f274ed79,35b863b3cd4e2f1c1f5b98d24c0e4523,4.0,2020-01-31 17:35:53,"这篇影评可能有剧透 

                        记者：羊晃橙 引言： 第13届FIRST青年电影展“一种立场”获奖影片——《鱼乐园》，是一部在西宁放映时就收获观众多次掌声的新作，这部自由而有趣的电影抓住快速发展的北京，对城市变迁中的年轻人精神面貌进行一次特写般的描摹。 导演柴小鱼在阐述中写到：“我看到了在都市生活...

                         ( 展开 )",1.0,,0
4,4,33457546,鱼乐园,d7d08388d34046dfee016bbd5746f195,88be44209d39c2cb7ed3614fe194a408,4.0,2019-09-22 16:31:07,"这篇影评可能有剧透 

                        我以前养了一缸金鱼 后来死了好多 只剩下了这几条了 你知道它们怎么死的吗 吃死的 这东西永远不知道知足 你给它多少就吃多少 有时候我感觉我和它们也一样 （想起了袁隆平的表情包：我看是吃太多了） 我不想我走哪都带上你 我过来不是跟你吵架的 不想吵架你就闭嘴 不想吵架你就...

                         ( 展开 )",2.0,,9
5,5,33457546,鱼乐园,6cad86d982e5ee33ee4330fcdccdf868,e9a8c407e8d2085ef667f291edae2e16,4.0,2019-07-25 13:07:04,"电影演到快一半的时候，男主角和女主角终于在暧昧挑逗中，拥吻在一起。 这男主角，本来就有很多女朋友。这女主角呢，也有男朋友，并且她的男朋友还是男主角的好朋友。 一个不太通亮的客厅，一场磨不平道德棱角的情欲，就这么急速地发生在两个年轻人的肉身上。 甚至是这部电影里...

                         ( 展开 )",2.0,,0
6,6,33457546,鱼乐园,21cecaf3a9bcdd3ffd4253336ca1d008,15cbec288a22b8deee324b52c66eb0f3,,2020-10-01 14:02:29,"参加了柴导在临海的《鱼乐园》首映会，也是我第一次参加这种小众的影组见面会，介于本人观影一直以来的看完空落落，回家瞎琢磨的习惯，第一篇处女影评就给这部《鱼乐园》吧。 提笔写这篇文字离那晚观影已经一礼拜了，很多细节有些模糊，但开头就有一个情节和我有了一个粗浅的共...

                         ( 展开 )",,,0
7,7,33457546,鱼乐园,f438a3cfbcb25a9859f04b98ed925a76,4534187f5f65c174d57ba334f037b85b,3.0,2019-12-09 13:23:30,"可能期待值太高，看完有点失望。觉得与后鲨的这首歌并不相配，情感气质不够磅礴，注重个人隐秘情感的表达，却略显小气，用某短评来说就是“还在撕扯北京人的那点‘逼事’”。或许用马赛克的歌做片尾会更好。 我当然懂电影的爽点是什么，违背伦理以及被国人讳莫如深的隐秘性事被...

                         ( 展开 )",,,0
8,8,33457546,鱼乐园,e5ba1e1a538ff7f83fc799108792a92e,0623cc3e6b4e2bb784add44b71e052af,,2019-12-08 19:51:23,"这篇影评可能有剧透 

                        小蚂蚁 今天观看了电影《鱼乐园》真的是觉得特别好看！觉得今年看的电影最好的一部国产片子了。太好看了！特别特别喜欢！感谢first影展·主动放映·济南站。 如果昨天在大银幕上看的《大象席地而坐》是将生活中的所有真实都毫无保留的表现出来，让你痛苦让你压抑，让你寻求心中...

                         ( 展开 )",,,0
9,9,33457546,鱼乐园,db67b3b37c1ab6f4cf9b0ed42e614d0b,1c02551cc72d07fcd2e794904d2d9b96,5.0,2019-09-24 22:11:15,"这篇影评可能有剧透 

                        （同作者个人化的表达一样，这也是一篇很私人的观感，希望不会影响尚未观看该片的影迷的判断） 这是一个关于寻找的故事。 如果没有开篇的交代，很难想象这是发生在北京的故事。导演对这座城市的叙述，是在小街小巷里的追随，是在新旧交替之间的探寻。 在城市化的进程中，内地作...

                         ( 展开 )",,,0
