,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,33479277,江南,86a87c5293bc1c6a9ee418a003109056,d32286ca120d87b601f69ea2d6b7c956,2.0,2019-09-29 23:29:43,"有幸参加电影《江南》点映，让我可以在正式上映前一睹国漫风采。 《江南》打着“国漫”、“70周年献礼”的旗号，让我忍不住拿它去和《哪吒》、《我和我的祖国》比较。相比之下，真的逊色很多。 据说这是导演的处女作，的确，这部电影的故事讲述算不上成熟，看完电影后我产生了...

                         ( 展开 )",8.0,,0
1,1,33479277,江南,81792c54059e860dbda3e8825e17b0c6,3d094d9bc12b9a23195cf9db462a997d,5.0,2019-09-27 23:28:41,"片子看完了。 先不评论，我想给导演分享一个故事: 有个年轻的画家，他每月画一幅油画，一年才勉强卖掉一幅，饥寒交迫。有个买家建议画家，“如果你花一年时间去画一幅画，试试吧。” 结果画家照做了，新作品一天就卖掉了，价格也比以往高。 故事讲完，我的意思不言自明了吧。 ...

                         ( 展开 )",8.0,2.0,1
2,2,33479277,江南,7093a52b57e1baf3bafdbb78f0e9f4d9,8c8286aebdd09a3d4cb37ce526e79bea,3.0,2021-01-17 19:25:30,"整体画风我觉得都是在借鉴宫崎骏的风格，特别是《天空之城》。我没有去看他的制作时间是在什么时候，但就他上映是2019年，我觉得就不符合这个年代的制作水准了。有《大鱼海棠》等的先例，相比之下这部电影是在借鉴基础上完成的，并不是原创的国漫（指的是画面构图）。 转场也不...

                         ( 展开 )",,,0
3,3,33479277,江南,644af7a48e63bc5e328d3b1994812c66,cc4f89052682880e9f3d1d8511f707ab,3.0,2020-05-07 21:24:12,"『江南』 以洋务运动到中日甲午战争的黄海海战为蓝本， 有着很好的题材和立意， 但却没能把最根本的故事讲完整、说清楚， 男主穿越的发型让人各种跳戏， 配上各种不断冒出的荒唐桥段， 让影片显得不伦不类。 【4+2情怀分】 『江南』以洋务运动到中日甲午战争的黄海海战为蓝本，...

                         ( 展开 )",2.0,,2
4,4,33479277,江南,c6117cc1af5c08a4dd2effd403f5d7ce,801f6d890096aee3d81e10668cfc1dc6,,2020-02-27 11:27:52,"故事挺简单的，一个船帮上的孩子阴差阳错成了江南制造局的学徒工，天纵其才年少有为，尚却磨炼，遇到了大时代的故事。机匠，舰船大炮，六管加特林，日本，国仇家恨，大时代的杂糅，从孩子的角度来看，其实是相当不错的。当然放成年人的角度来看，稍有无聊和莫名，人物刻画也有...

                         ( 展开 )",1.0,,0
5,5,33479277,江南,20afbd82d25f57ce67b5824b02abf45e,ec2dce2da5ef40bef97cea953cf9172f,3.0,2019-12-12 22:01:22,"以清末为背景，以现实中真实存在过的江南造船厂和老上海为场景，以民族军事工业为素材的《江南》，是一部极其稀有的现实主义动画电影。在我的印象里，这一题材应该是首次出现在国产动画作品中。从这个意义上讲，无论如何也应该先鼓励一下创作团队的胆魄。因为，如果永远不敢尝...

                         ( 展开 )",2.0,,0
6,6,33479277,江南,4b350068e77f332f0b8134a58142d51c,c63e594c304c6dc4f2134f0a2cee9e0d,2.0,2019-11-26 03:27:17,"中国的动漫没有机器朋克。本来这是一次尝试的好机会，但拍得太一本正经了，缺乏想象力，情节和对白也比较无聊，画风则怪怪的，人物造型不中不洋，有的过于现代，制作显得有点假，尤其动作枪战部分。 戏中人亦自言自语来交代情节，是编剧导演非常无能的表现，例如杀人抢图纸一处...

                         ( 展开 )",,2.0,2
7,7,33479277,江南,db1d4338318d1b2f6955ce21b020153a,b4733f54e9b82686d97757d34e7d3f6c,5.0,2019-10-02 11:29:50,"这篇影评可能有剧透 

                        前段时间去影院观看了这部影片，一直没来得及写影评留念一下。 虽然已经提前做了心理准备，但实际观看时还是被小小的感动和惊艳了一下，宫崎骏风的审美，大友克洋式对蒸汽钢铁时代的致意，在国内的文艺表达上，这是破天荒第一次。这么好看的动画竟然没人看，可惜可惜。 作为一...

                         ( 展开 )",1.0,1.0,0
8,8,33479277,江南,9f7f920d4e3e5ccddf39e5ad24a23b4c,eea18fbeaa15ceb5da8f48ed2a42265d,4.0,2019-09-27 21:07:31,"1868年，中国历史上第一艘机器轮船在上海下水，轮船由江南造船厂制造，曾国藩曾为这艘船取名恬吉，寓意「四海波恬，厂务安吉」。 动画电影《江南》以1894年江南造船厂为军舰制造机械快炮为背景，影片中，造船厂的技师陈铁寒两次提到为轮船提供蒸汽动力的煤质量不高，一次是在造...

                         ( 展开 )",2.0,,1
9,9,33479277,江南,87a702bb1c6eba87b059897f2e407604,9bb6e55cb08751848532bf5fdaaa6b2e,3.0,2019-09-27 17:08:14,"偶有亮点和小惊喜。整体剧本（没写完的企业宣传片大纲强转电影剧本的既视感）不大对得起开局画面。开头小惊艳了一下，但是很快事件逻辑、推进节奏、角色人设就都开始压不住了，各种跳盖子，后半段重炼一下的话能在多点评分～～总结就是一个蛮有重新打磨价值的半成品～（强上的...

                         ( 展开 )",4.0,,1
