,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34436407,轮到你了 特别篇,b882787a78f026342ef2ee08acc1fd28,a1f0ffc7bb96ed19f9e2fb535eb857e5,4,2019-07-11 20:39:07,"这篇影评可能有剧透 

                        1. 表白了31次后才换来了奈奈的答应做女朋友， 用自己最不擅长的投3分球来一决胜负向奈奈求婚。 一边看，一边笑，一边想哭。 这是多么傻，却又多么地幸运。 有个人，能这样100%地爱着你，而又有一个人，能这样100%地能让你想这么爱着。 奈奈也是很可爱，在手冢N次投篮失败都假...

                         ( 展开 )",35.0,1.0,22
1,1,34436407,轮到你了 特别篇,9b8f5c838eb8b8a213bc9b6aa79c0fea,cb46a8e6d7e08c712d7abb8a61dadda7,2,2019-09-09 11:23:41,"这篇影评可能有剧透 

                        浪费时间，浪费感情，故事混乱，逻辑不同，之前一点线索都没有漏出来到大结局就忽然找到凶手了，而且杀人理由又是心理变态这种…… 这全部故事都可以用居住楼道里装上监控和医院装上监控的办法立马查出凶手是谁。警察也是在男主自己查出线索之后才知道有关内容，还有一集里为了...

                         ( 展开 )",10.0,2.0,8
2,2,34436407,轮到你了 特别篇,2d4873b4045c344fb0b07f78bb6a3d37,361c1e40d22be303e2ad45c88afaf004,5,2021-01-31 19:23:40,"开局真的很吸引人，悬疑加恐怖，配乐氛围渲染门内门外啥的，就很想快点知道凶手但是又舍不得快进，毕竟悬念太多理不清觉得谁都像是凶手。这个特别篇🤣男主这铁憨憨怎么追人的，没想到这么深的情谊是这样子开始的，过于欢乐了吧哈哈哈哈哈很中二但吃了这份狗粮，柯南成了媒人...

                         ( 展开 )",,,0
3,3,34436407,轮到你了 特别篇,6e57050f4298f01010e14053ec89e59f,577ba7b8d1ebd0ed59ca709f69131c74,4,2020-07-17 19:13:52,"开头真的很刺激，中间也从不同角度揭开发展经过，但后续乏力，不断引出新人物，但没有环环相扣，印象比较深的就是在家养鳄鱼的那个房客，前面花了大量篇幅透露他的行踪诡异，结果只是养鳄鱼?这理由太牵强了，让我在揭开真相的时候，“就这?”。终究不出所料，结局让人大跌眼镜...

                         ( 展开 )",2.0,,0
4,4,34436407,轮到你了 特别篇,9db07c2c4f68e686d9f590001a8cd6f8,8b3527022eb95ae01e7cfec8f3d74b25,4,2019-12-01 11:28:46,"这篇影评可能有剧透 

                        好久没有一口气刷剧10小时了，把整个人融入剧情中的满足感真的不错。今天推荐这部推理类型的爱情剧《轮到你了》，虽然是连环杀人为主题，其实一点也不惊悚。 之前很早就关注上这部日剧，因为题材看着很像鬼片，一直没有敢一个人看，昨天朋友推荐说没有那么吓人，于是一口气刷完...

                         ( 展开 )",1.0,,0
5,5,34436407,轮到你了 特别篇,f1cae65262f379ff50b8cc06abf6f3d6,27366753f1809f0defb67665672985db,3,2019-11-11 23:33:30,"轮到你了 是一部以人性为探讨点的电视剧 影片一开头的游戏放大人们心中的恶念 一开始写下对方名字的理由可能只是因为对方某一个动作惹怒了你也可能只是随手写下的 当然也有可能你真的恨他 但无论初衷怎么样 最终这个恶念 会在游戏规则下不得不放大 一方面是慰籍的借口 是啊是他...

                         ( 展开 )",,,5
6,6,34436407,轮到你了 特别篇,dc3b003fc20b57f4645f860c56b6c3c0,801f81b4218b8be4ae3b48d588a79c2f,4,2019-09-17 03:22:40,"回忆很温暖，看的我都有点难过。 哈娜酱死了，翔太黑化了。 字数不够，那就记下今天自己的事吧当作日记， 今天翔安市政找到我说之前海沧停车场的项目做的不错，翔安想要搞试点，想说我熟悉想给我做。我也是没多想直接就拿给前公司了，毕竟自己打算离开这一行。然而之后也是被前...

                         ( 展开 )",,,3
7,7,34436407,轮到你了 特别篇,0b1d85f8ef138025c60c217608b1b7a7,c97c9c44e22ce52bcb9247bf264e0620,5,2019-09-05 23:49:38,"这篇影评可能有剧透 

                        看到19集，我90%认为江腾是微笑杀手。 江腾篇房门之内透露他渴望人微笑，见不得人悲伤，所以从这个出发点，微笑杀手杀的5个人中及其直播大叔的女儿都是在最悲伤的时候被杀的。 江腾认为既然那么悲伤了，那就的微笑的死去吧。 江腾有电脑编程基础，可以改编视频，可以利用他开发...

                         ( 展开 )",2.0,1.0,6
8,8,34436407,轮到你了 特别篇,a4af2c75d52cca537f7267d021f0d55e,b83d319ea5bdb8aa1914c7768a954db9,3,2019-07-11 15:10:11,"其实看的时候，看好多弹幕评论说不喜欢男主这种小奶狗，我觉得还好。 我觉得翔太是，比女主小十五岁，健身房上班也是经常面对女性不怎么遭遇困难的人吧，性子比较单纯。 更何况爱一个人自然而然比较黏人一些。 和前夫哥的性格有那么大的反差，或许也是菜奈喜欢翔太的原因之一。...

                         ( 展开 )",,1.0,3
9,9,34436407,轮到你了 特别篇,b42d667b6a3a18c91fe0e6570c15b08f,14819716eaf0719bd905d1035858d79b,4,2019-06-30 23:54:16,"虽然是一集番外，看得我快哭了。 人很怕陷在回忆里，我们曾经一起看的一本书，一起看过一部电影，一起猜是谁杀死了他，一起吃了很多顿饭，一起走了很多路，一起用力的拥抱，深深的亲吻，是这些让你和别人不同。 我爱你就是，还想和你再一起看一本书，哪怕一本。一起看一部电影...

                         ( 展开 )",14.0,3.0,4
10,10,34436407,轮到你了 特别篇,43bef507a13a24d58abf1d6d309dbb1d,05debf2265864ee649c24b8b24718a1b,5,2019-07-04 01:30:42,"这篇影评可能有剧透 

                        [上半部评论详见：欢迎大家一起来讨论~~] 📺 E01 ▶️ 翔太在住院时，医生说他的太太“下班”后会来看望他。 💭 因为菜奈是在家办公的，所以这个“太太”很可能是假扮的。而且，若是假扮的，说明菜奈自从事故后，就没办法出现在医院了，因为护士完全不知道她才是翔太的...

                         ( 展开 )",9.0,1.0,35
11,11,34436407,轮到你了 特别篇,7fc6cecef9e8d28141f0315970cde04a,7821c917a4a5eece63dff3a52a43ffe9,5,2019-07-02 09:40:52,"主线剧情中不丹餐馆老板死前曾到藤井医生处就诊，但是在藤井的番外中又自述自己是一名整形外科医生，不知道这里是编剧的一个bug还是日本的整形医生没事也会上门诊，还是故意有人安排田中老板挂错号到藤井那里，能够知道老板用的假名字并且给他推荐医生，应该是能够亲近他并且获...

                         ( 展开 )",,1.0,10
