,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34795703,伦敦生活,1005074456a2b4d9fd0ddad5f0eeb39e,a087219a935d052d2535f838e18eadc6,5,2020-04-08 01:46:42,"这篇影评可能有剧透 

                        今天看了fleabag的剧场版，没想到结尾哭得比看第一季还厉害。 破碎，是最让我产生共情的特质。Phoebe实在是一个好演员，她对生活细节的演绎处理得再精彩不过：在地铁上对恶俗flirting的强装镇定的难听笑声，在听女权主义讲座时不屑一顾的模仿鬼脸，站在父亲家门前醉着酒却痛苦...

                         ( 展开 )",24.0,,4
1,1,34795703,伦敦生活,b0c2ace9a7676b90697083d1d63621b8,3f3a72f72cf6aa2a2b16b93d299baafb,5,2020-04-07 17:39:56,"这篇影评可能有剧透 

                        I once read a story from the paper to Boo and Hilary about a little boy who repeated stuck rubber-ended pencils up the class hamster's arsehole, because he liked it when their eyes popped out. He was sent to a juvenile boot camp. I read it out as a bit of a...

                         ( 展开 )",11.0,,0
2,2,34795703,伦敦生活,009090535a18adbf61d96fe4c7087a9d,665a3f33b0927be5dd160d52d9fad753,5,2019-12-29 17:31:11,"这篇影评可能有剧透 

                        非常幸运地买到了fleabag和present laughter超前点映，2019最好的跨年礼物！ fleabag的舞台剧情节和电视剧稍有不同。小豚鼠被红发男/兔牙男在黑暗中踢飞了几脚，毛茸茸的子弹在黑暗中发抖，眼睛在灯光照射下反射出诡异的光。后来豚鼠不停发出难受的声音，便被女主在胸前捏死了...

                         ( 展开 )",13.0,,11
3,3,34795703,伦敦生活,c365509a2a9642db47cbd2c843b0ceff,07fade92042a099b1c4e8a1383fbd4a2,5,2019-12-31 15:15:21,"【 不是剧评 】 「 I am not obsessed with sex. I just can't stop thinking about it. 」 「 I fucked up that cafè into liquidation, I fucked up my family... I fuck everything. Either everyone feels like this a little bit and they are just not talking about it...

                         ( 展开 )",4.0,,0
4,4,34795703,伦敦生活,2a0d7aa812ef15f7aa2641974760e429,eaaeb72e5f2347501ce9f2894f0fdf24,5,2021-09-22 13:30:39,"这篇影评可能有剧透 

                        在菲比之前，我没有看过单人舞台剧。一个人掌控舞台并且用话剧形式表演出来，负担的压力和控制节奏都是难以想象的。朋友把这部剧推荐给我时候，我抱有不信任的态度，我以为这是一个新颖的脱口秀。这部舞台剧的女主角是fleabag。菲比主演，当菲比穿着那件经典有点老套的红色针织...

                         ( 展开 )",4.0,,0
5,5,34795703,伦敦生活,185be51c2288461fcbe5044e447277a2,634be2009cc8ca3a247c537962c4f11a,5,2021-01-26 13:23:09,"107分钟的一台戏，没有配角，没有道具，没有背景，没有音乐。她一个人坐在高脚椅上唠嗑。时而开怀，时而沉默，时而兴奋到连珠炮般滔滔不绝，时而又艰难得吐不出一个字，时而扮演一下古板老姐，时而又客串一下那个猥琐的松鼠男，上一秒还刻薄地笑岔气，下一秒却掩面而泣。 突然...

                         ( 展开 )",2.0,,0
6,6,34795703,伦敦生活,b60b1f26a411fbfb744f8a8af8bd4aa1,cafc8498589f82412e344f0e30090656,5,2020-11-01 16:12:50,"这篇影评可能有剧透 

                        Fleabag  剧场版比电视版沉重多了。 讲男友 Harry，语气充满嘲讽，内里是愧疚自己不知如何反馈这种未曾体验过的、完整且温柔的爱意。看到 Harry 带走冰箱里的食物，反而因为对方的自私松了一口气，原来你也不是这样完美的人。Harry 离开之后不知如何应对又有一个人离开，于是继...

                         ( 展开 )",7.0,,0
7,7,34795703,伦敦生活,731c3fb65d532a6a9e5919e35e8d2127,dce5c768c8db702deb9f7d4dd7932c07,5,2020-06-14 22:38:40,"花了俩天把《伦敦生活》第一季、第二季看完。在第一季的时候，觉得女生是自己把自己作成了这样？ 活在失去了母亲悲伤感，失去闺蜜的愧疚感中，不断回忆着幻影，内心的独白与现实中的反差，恰恰正好符合我们大多数人的工作生活，例如在工作中，内心在有多大的fuck you，都要在人...

                         ( 展开 )",1.0,,1
8,8,34795703,伦敦生活,77908011143e5cdcce0daa15be633461,58223231d01dfb750618cd60dd3cb365,4,2020-05-03 21:29:01,"这篇影评可能有剧透 

                        伦敦生活 LIVE版。由编剧同时也是唯一主演的菲比精彩演出。在此之前没有看过剧集第一部，第二部。刚开始看的时候会觉得：哇哦~AMAZING！这么直白的吗？一开始就谈论性，还有点不习惯。而且这是喜剧诶。看了一下评分，还很不错的样子。102分钟的时长，一人独自承担，可想而知这...

                         ( 展开 )",2.0,,1
9,9,34795703,伦敦生活,323fa53eff39b0175c190244578699aa,323fa53eff39b0175c190244578699aa,4,2020-05-02 22:32:06,"这篇影评可能有剧透 

                        有人喜欢狗，有人不喜欢狗，因为我们是人，而狗是动物。但作为人，不管喜欢不喜欢狗，我们看见狗当街交媾，总会感觉有点尴尬，而对于狗而言，那是它们的生命。理解这一点，就能够理解这部戏剧。 我没有看电视剧，而是看到这个剧场版，之前也看过一些所谓的“脱口秀”，感觉很无...

                         ( 展开 )",5.0,,0
