,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34834828,金陵神捕,19654634e5d85c8f483513e13d1bb83d,5049774306bed9fc767b7217d893f2fb,2,2019-09-21 23:31:52,"严正声明：本人怪老师粉丝！只是诚恳的提出自己的意见！ 这剧一刷过后有几个感觉： 1、穷。 2、没怎么看明白。 那么造成这种感觉的原因个人认为有以下几点： 1、真的穷。 2、镜头、剪辑和剧本问题。 最大的问题我不得不说是剧本，一开始是怪异君产生了个很恢宏的脑洞，写了一篇...

                         ( 展开 )",28.0,1.0,10
1,1,34834828,金陵神捕,be08194815eacf82719837cfa968976f,35a898953404719b0ace6300f6acb8e1,4,2019-09-20 23:06:07,"【以下内容可能含有高浓度剧透，但并不会泄底，请斟酌阅读】 首先我们开诚布公——我看推理电影是忽视掉演技、特效、镜头语言这些东西的，这篇影评主要谈推理部分。导演和演员水平如何，不会影响到我的评价。 上次去上海参加怪异君的活动时，听他说这部电影会有“三十分钟逻辑...

                         ( 展开 )",43.0,6.0,12
2,2,34834828,金陵神捕,e22d1d94d82d787de09e10601d7dc6cb,0705c126cebf31dcefad0e4f13d804ea,2,2019-09-27 16:10:15,"这篇影评可能有剧透 

                        看完一部电影，你会有什么印象，很大程度上决定了这部电影的好坏。 比如这部金陵神捕，让人就有点昏昏欲睡的感觉，男主角的颜值和女主角的腿，似乎成为了整部电影的唯一亮点。 如果从一个新人导演的角度来看，这是一部很努力的电影了，营造出来的质感，还是有几分央视陆小凤电...

                         ( 展开 )",12.0,,1
3,3,34834828,金陵神捕,826f009e2e141b4d5f13e57a888d4786,ab2469513f2c4a8bbaa07280aae4fdd8,2,2019-09-28 23:15:27,"这篇影评可能有剧透 

                        看完了一遍后再重新看了好几遍推理段落，脑海中却始终萦绕着两个字：拧巴。自圆其说的强行解释，真有点强奸大脑的感觉。我不是说逻辑不对，相反，正是因为太逻辑了，架空了很多层面，便如同只要“强上的中出”，不要“爱抚和前戏”：这不是强奸又是什么？ 别说我吹毛求疵，相信...

                         ( 展开 )",4.0,,0
4,4,34834828,金陵神捕,9e7a9aa541bb33650f33517192e16a4c,3ba25d881dd1c018ad5855b314955289,3,2019-09-24 01:11:15,"不吹不贬三星点赞，优缺并存，外行人拍电影有缺点也正常，剧本OK，好看，整体剪辑混乱啥的，可以接受，有大背景大世界观，可惜没有铺垫一下，作为只是看了预告跟宣发采访的我来说故事背景不明，世界构架不明，撇除事件本身外，对于整个电影的大环境背景不是很明朗，男主身份很...

                         ( 展开 )",2.0,1.0,1
5,5,34834828,金陵神捕,42c8bef3f1498b41035b577645601acb,bd87670710a2ba54f7ad0465abd81f07,3,2019-09-23 03:18:57,"这篇影评可能有剧透 

                        看到有人扯到十诫来要求这个剧有点想笑，电影和小说载体都不同能适用吗？按第五条来说那中国干脆别写推理了，都什么年代了。如果都按它来写，推理小说早就死透了。每个人对设定的接受都不同，在下对推理设定要求不高一是逻辑能自恰，二是给观者留有充足的推理线索，三是非玄幻...

                         ( 展开 )",2.0,,2
6,6,34834828,金陵神捕,1352004260069155641a6f560fec98af,465a4580c7364c2cc77f1924f9988031,3,2019-09-22 15:54:35,"这篇影评可能有剧透 

                        首先，提一些连我这种非专业人士都觉得很出戏的地方。 1女主到达浮竹村的夜里，外面下着雪，被子盖得也太薄了吧？第二天还穿露大腿的短裙出门（看得我不禁瑟瑟发抖）？咋想的？服装设计出来一下。 说到裙子，想请问一下服装设计，这片子的背景是寒冬，主角配角和一众跑龙套的，...

                         ( 展开 )",9.0,,14
7,7,34834828,金陵神捕,3ee80ef3d1fc657dbf1932aa9281c29e,fa0ef986d4ded5b180897b6217765606,2,2019-10-29 23:11:55,"前两天看到一个消息，以后网络大电影不能叫“网大”了，统一叫“网络电影”。但我一时半会改不过来，还是习惯叫“网大”。 通常来说，由于网大制作成本低，普遍呈现蹭知名IP、抄袭严重、故事烂俗、画面粗糙和演员演技差等特点，佳作难寻。 坚持看完一部网大实在太考验忍耐力。...

                         ( 展开 )",4.0,1.0,1
8,8,34834828,金陵神捕,bf6851eee240e06b08a29dd5693a23a3,5664bdb766ffee9f79f0db578a89bf23,3,2019-09-25 01:55:19,"这篇影评可能有剧透 

                        开始很期待了好几天。 杨梦言与月一念相遇也太尴尬了，马跑了都不去追，马很贵的好嘛。 看尸体就头晕，还当什么捕快，明朝路边尸骨还少见吗？ 女主到陌生的地方，喝陌生的五长老的汤药，还让她照顾睡觉，心也太大了。崇祯当皇帝怕被太监毒死，都自带干粮呢。 女主晕了，被带到...

                         ( 展开 )",6.0,1.0,1
9,9,34834828,金陵神捕,9f5cc76e19ce8c163a90f453508e060c,c3cb9095440a3e16bdc75ed3ee5b760d,2,2019-09-21 01:52:49,"这篇影评可能有剧透 

                        想说的点都跟底有关，所以这不是一篇影评，只是抒发个人感想、涉及泄底的“短评”。 看之前我是抱着支持国产推理的心态的，前期剧情很本格，如果说是普通观众可能会觉得无聊吧，但是对我来说还不错（虽然部分演技或是台词导致段落看着有点尴尬，但不是我的扣分点）。其中助手关...

                         ( 展开 )",9.0,,9
