,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34875369,七号房的礼物,620093d0cbb3a6e069f8ffdef8e58ab1,2ab5f08e44f0eeb356ed537b3a738e6a,4.0,2020-07-23 06:57:42,文艺创作有两大思潮，浪漫主义和现实主义。同一件事，浪漫主义从“心”出发，对现实进行理想化改造，与其保持一定距离，强调人物内心世界的光明和追求；现实主义力求表现真实的环境和心理，排斥对人物的夸张和风格化塑造。2013年，韩国版的[七号房的礼物]堪称一枚催泪炸弹，而2019年的土耳其翻拍版，就催泪而言，效果明显下降，但也格外动人。它们正好可以被视为浪漫主义与现实主义两种创作风格的产物。 就煽情而言，韩国影视剧绝对算得上亚洲一流。他们精确计算悲欢离合、生离死别出现的时机，刨除复杂情感，以简单夸张的情绪，收获主流观众的泪水。 [七号房的礼物]正是在这个层面上获取了巨大的市场反响，成为2013年韩国电影票房冠军。这股热度传到了中国内地，该片被奉为当年年度催泪喜剧。2019年，土耳其翻拍了[七号房的礼物]，刷新了土耳其影史票房纪录。这版拍得相当沉重，但结局却比韩版光明一点。 相对来说，我更喜欢土耳其版的写实色彩，能被其中实实在在的压抑氛围触动。韩版夸张化的人格塑造，常令我感到一种不适。那些为隐藏苦难而做的搞笑和夸张处理，以及苦中作乐的姿态，实在令人有种刻意为之的感觉 。 韩版[七号房的礼物]，即使是牢房里的戏份，也是处处散发童话般的天真和快乐，为悲剧铺垫  土耳其版[七号房的礼物]少了笑声和搞笑的场面，多是感伤，现实色彩重，令人压抑 两版[七号房的礼物]的最大差别不在于剧情和本土化，而是用了截然相反的表达方式，正好可以用文章开始所说的浪漫主义和现实主义两种风格来概述：韩版着重表现父女情，周围环境洋溢着童真趣味，人物犹如是从童话故事中走出来，站在儿童视角的高度歌颂善良和真情；土耳其版父女情的表现借助于人物本身的悲剧性来呈现，并没有突出刻画他们的乐观和单纯，周围环境满是令人无力的消沉和压抑。 父亲：智力与情感 两版[七号房的礼物]里，智力低下的父亲，个性并不同。 先说说韩版中的父亲龙九。他的第一次出场是和女儿艺胜在商店橱窗外，模仿电视上的美少女战士跳舞——父女俩站在了一个高度。正常来说，这个镜头可以消解父女间的距离感，不过在此，它还有另一层用意——父亲的智力水平和女儿相当。 他被当成陪女儿玩的“大小孩”介绍给观众，而不只是一个智力低下的成人。这正是影片童话的部分，将观众的视角下移至儿童单纯善良的层面，从而更容易被打动。 女儿看中了印有美少女卡通形象的书包，龙九正在攒钱，准备买下它。警察局长抢先一步给自己女儿买下书包，不能像常人那样思考的龙九，急躁地请求他们留下书包。警察局长不由分说地扇了他几个耳光。观众此时并不知道他的警察身份(土耳其版从一开始就强化了其身份的权力色彩——通过他身上的制服就可以看出)，所以龙九和他之间没有显露出权力的不对等，冲突只是因父爱和身份差距而引发。警察局长在韩版[七号房的礼物]里是个不被注意的配角，只是作为童话故事里凶神恶煞的坏人，勾起观众对主角的怜悯。 再来看看土耳其版中的父亲麦莫斯。他的第一次出场没有和女儿欧娃在一起，而是独自站在女儿学校外的大树下，神态怪异，旁边有一辆由军人看守的军车。观众第一眼就能看出麦莫斯的智力障碍，很自然地就会生出一个担忧——他的女儿会不会因为他而被同学嘲笑，尤其是在有权势的同学面前——那辆军车所暗示的家庭背景。果然，军人的孩子嘲笑了欧娃的父亲是个傻子。 这种出场方式奠定了土耳其版与韩版根本性的区别。韩版的父亲被塑造成单纯快乐的“大小孩”，而土耳其版里的父亲只是个被人嘲笑的傻子，女儿眼里和同学的父亲不一样的人。欧娃放学后跑到麦莫斯身边，虽然两人亲密无间，但观众能够透过同学的嘲笑、欧娃疑惑的眼神和象征权力的军车，感受到她因为父亲的与众不同而面临的压力。观众也清楚，欧娃对此的感受，毫无疑问会随着年龄的增长而越来越强烈。这是韩版所没有表现出来的压力，龙九和艺胜伴着光明的色调和欢乐的舞蹈出场，接下来把观众引入悲伤情绪的，是这种幸福时光遭到破坏。 韩版：父女一起出场，气氛欢乐  土耳其版：突出父亲傻傻的样子，旁边的军车预示了某种不详和权力关系 接着来比较一下两版[七号房的礼物]是如何处理父亲在女儿面前被打的戏份。穿着便衣的警察局长扇龙九耳光后，镜头切换到橱窗外，将他们放在虚化的背景里，透过近景的美少女卡通形象，淡化这场冲突的延申意义——歧视和权力不对等引发的暴力。观众感受到的是一个傻天真的父亲被一个蛮横的父亲欺负，因而更容易调动出感动的情绪。 土耳其版中，麦莫斯在商店外面，于众目睽睽之下，被穿制服的军官打倒在地。欧娃在同学面前，看着自己的父亲被她的父亲殴打，眼神中既有难过也有愤恨。观众在这场戏里，能够获得更多的冲突信息——权力的蛮横以及它对周围人的震慑性，女儿对父亲丧失尊严的感受。这些信息一定程度上阻挡了观众纯粹的情绪迸发。观众处在了局外人的观察和思考的位置，而不是像韩版那样，被带入到童话般的父女生活中。 韩版：淡化了父亲被打时的悲剧色彩  土耳其版：通过路人、军服强化父亲受欺负的底层形象 回到家中，欧娃对奶奶说，她不开心并不是因为没有买到心仪的书包，而是父亲被欺负。麦莫斯坐在门外的台阶上，难过得手足无措，问奶奶，欧娃还会再笑吗。韩版里，龙九和艺胜几乎没在意被欺负的事，晚上开心地躺床上聊天、玩耍，一切还是那样的光明。 单从这几场关于父亲的形象和父女关系的戏份来看，土耳其版一直在调动观众较为复杂的心理感受，抛出不同的观察视角，直面现实；韩版则努力把观众拽入一个单纯的悲欢世界里，避免其他视角的混入，因而角色塑造的童话色彩很明显。 女儿：活泼与忧郁 韩版里的艺胜和土耳其版里的欧娃，一个爱笑活泼，惹人疼爱；一个聪慧腼腆，招人同情。她们的性格在前文所说的与父亲有关的几场戏里，已经显现出来。 对于智力低下的父亲，艺胜没有认同障碍，剧情只表 现了他们在一 起时融洽又乐 观的快乐时光。欧娃则不同，她的眼神多次透露出疑惑——觉察到父亲的与众不同。尽管她和父亲相处得也很融洽，但她成长中的心理明显正在受到周围人对父亲看法的影响。 同学嘲笑欧娃的父亲时，她看向他们的眼神既无奈又平静；父亲在街头被同学的父亲殴打时，欧娃紧紧抱住倒在地上的他，愤愤地看着同学和她的父亲。回到家中，她仍在为此事生气。艺胜对父亲被打，没有生气，而是安慰他，自己不想要美少女书包了，父亲坚持要给她最好的。两人快乐如初。艺胜尚未表现出对父亲智力低下的忧虑。 父亲被诬告为杀害女童的凶手而入狱，死者正是女儿的同学。她的权力在手的父亲，气急败坏地认定这是龙久/麦莫斯针对他的报复，即使有证据表明他不是凶手，也要将他送上死刑台。在监狱里，父亲所在的牢房编号为七号。狱友都是可爱的人，相信他不是凶手，帮助他和女儿在狱中相聚。 艺胜进入七号牢房的过程，充满协同作战的趣味，俨然一场大人和小孩的捉迷藏游戏。地位显赫的狱中大佬打通了里外关系，利用唱诗班到监狱演出的机会，将艺胜带入七号房。观众沉浸在一场父女奔向团聚的欢乐之旅里，一个个小插曲让他们的心揪了起来，担心团聚被破坏。艺胜聪明地与大人合谋，躲过狱警检查。之后又在监狱长官的允许下，长期在七号房住下。 艺胜和父亲及其狱友们，像白雪公主和七个小矮人一样快乐地生活在七号房里。时光越是如此快乐，艺胜越是如此天真可爱，破坏的行为越叫人恨之入骨，观众伴着遗憾、愤恨、动容之情流下泪水。 韩版中的女儿懂事孝顺，不仅是父亲的开心果，在监狱里，也给其他狱友带去快乐和抚慰，她的喜悲都是儿童式的 但在土耳其版中，欧娃有很多一个人的伤心戏份。父亲入狱后，她一直在等待目击证人出现；老师和奶奶试图带她去探监，但被拦下。在狱中老大的安排下，欧娃顺利进入七号房，没有经历什么趣味或惊险的过程，而且很快就被监狱长官发现，带出牢房。知道隐情后，同情麦莫斯的监狱长官，又安排了几次他和女儿的团聚。 欧娃在监狱里，扮演的也不是艺胜那样的开心果角色。艺胜唱歌、跳舞，帮大人解忧，欧娃则是个安静的女孩，大人在她面前敞开心扉，谈论各自的过去。一位失去女儿的老人，通过她解开多年的心结。他经常盯着墙上一块破损之处，想着自己上吊去世的女儿。 艺胜和欧娃的个性，带给观众完全不同的心理感受。前者天真活泼，一举一动都限定在即时的欢乐和悲伤中，剧情和人物没有做更深的延展；后者像是一个小大人，正被周遭世界深刻影响着，把观众的思绪带入到对她的生存环境的担忧中。 土耳其版里的女儿也懂事孝顺，但她明显已感受到父亲的智力问题带来的异样眼神。她不是任何人的开心果，而是一个“小大人 综合主角的个性和经历来看，韩版[七号房的礼物]胜在简单纯粹，不过，这也是很多观众不喜欢它的原因所在——天真无邪到有点失真。土耳其版胜在写实深刻，观众可能不会那么容易被感动到流泪，但从局外人的立场观察影片营造的压抑氛围，能获得更深的心理触动。当然，肯定会有很多观众不喜欢它的压抑氛围，更爱韩版的轻松加催泪。 狱友：欢乐与哀伤 片中最重要的场景——七号房，因为两部影片风格的不同，房间的装饰和囚犯的性格也具有鲜明的区分度。 韩版[七号房的礼物]里，七号房温馨得不像个牢房，色彩丰富。整洁有序，如果不是墙上的色情画提醒，说它是幼儿园教室，我也相信。 韩版里的七号牢房，布置得像是儿童乐园，色彩丰富，整齐有序。狱友们表面凶神恶煞，实则善良天真。艺胜和父亲住在里面，大部分时间很快乐 土耳其版不会让人有这种误会。灰暗的房间里，放置着几张上下铺床，显得有些拥挤，衣物凌乱悬挂；生活物品虽然做了归类摆放，但整间房目之所及，仍是一片杂乱，符合其作为男性囚犯牢房的气质。 两种室内陈设对应的是两种叙事的要求。韩版重在先为观众造梦——父女虽然已经遭遇不幸，但大部分时间里，他们生活在童话般的幸福中，女儿可爱，狱友善良，周围世界笼罩着童话色彩。土耳其版则从始至终都在提醒观众，父女俩的不幸遭遇和周围世界的阴暗，即使幸运地获得了救助，也是带着沉重的色彩。 这正是韩版更有催泪效果的原因，观众的情绪被引入到直接的乐与悲的情境中，剔除了脑海里的多余联想，像儿童看童话故事一样，感动来得简单纯粹。土耳其版则给了观众某种负担，观众无法不注意到主角处境的压迫性，无法从歧视和不公的感受中迅速跳出来，进入到单纯的父女欢乐中。 韩版囚犯的首次出场并不是在七号房里，而是长大后的艺胜找到出狱后的他们，参加她为父亲翻案的模拟辩护。这些改过自新的人，虽然其貌不扬，但善良敦厚。他们在七号房第一次出镜时，使用了有漫画感的定格镜头，一一介绍了他们，把他们塑造成一群“劣迹斑斑”的可爱人，由此获得反差的喜剧效果。 土耳其版就没有这种欢乐满人间的氛围了，也没有对狱友做单独介绍。麦莫斯一踏进七号房，不友善的气息扑面而来，杂乱的牢房里满是了凶神恶煞的眼神和冷漠观望的面孔。龙九刚进七号房时也被欺负，但只是恶作剧的程度；麦莫斯就没这么幸运了，狱友知道他“谋杀”了小女孩后，将他打到肋骨断裂，奄奄一息。 土耳其版的七号牢房就真的像是个牢房，不是为一个小女孩准备的。狱友们形色各异。欧娃和父亲为他们带去了某种心灵震慑和解脱 不同的表现手法，给了观众不同的心理感受。狱友作为父女情的陪衬，韩国版突出的是喜剧和温馨的氛围，所以他们被塑造成纸老虎一样吓唬小孩的“坏人”，骨子里透着可爱和善良，与艺胜和他的父亲搞笑互动；土耳其版则是以现实主义打底，重点塑造了两个囚犯，一个是疏离家人的大佬，另一个是失去女儿的老人，他们都是有浓郁生活底色的人。 观众从韩版体验到的是纯粹的童话式的悲剧，而从土耳其版里获得的是一种现实色彩很浓的悲伤。,81.0,1.0,12
1,1,34875369,七号房的礼物,1e422d2ac54dd112d8d73cffdd1a3608,c730278e5a04e8e035a74ef213810192,,2020-11-26 16:55:00,《七号房的礼物》是以父爱为主题的电影。但其中也有这个社会的弱势群体的社会地位与社会特权者的丑恶。龙九的智商不足六岁的孩子，正是因为在社会没有保护自己的能力，才会被特权者玩弄于股掌之中。但即使他智商并不高，有点傻。他对女儿的爱却是那么强大，用尽自己所有的力气，付出一切也要保护她。他单纯，善良，思想简单。在火灾中，他不顾自己生命，救出了黑帮老大和管理科长。正是因为这些，唤醒了自己同监狱的狱友们的人性，他们被艺声的可爱所折服，也被龙九和艺声之间的父女感情所感动。,2.0,,1
2,2,34875369,七号房的礼物,6dee55da489aeb091798182a95a71469,fafa0ab07426b79d894006058325a09a,,2020-10-26 19:51:07,上个周六去看的《七号房的礼物》，满满的收获和感动。讲的是一位“不正常”的父亲和女儿，以及七号监狱所有人之间的故事。 这个电影真的很长很长，一开始我是不太乐意看的，因为真的太长了。后来我朋友拉着我去看的。我就有些庆幸，还好我看了。 七号房是一个监狱，房间里面的人，对小女孩和她的爸爸是救助，而小女孩对监狱里面所有人是救赎。,1.0,,0
3,3,34875369,七号房的礼物,e75ecfdaf47553422296c77534b417ae,ee0b87cbec986ab188319886f81aedf3,3.0,2021-03-27 21:40:21,一个被错误指控谋杀的精神病父亲和他可爱的六岁女儿之间的温情故事。改编自2013年韩国电影《7号房的礼物》。这个电影要开启多国翻拍模式了，在此，作为一个光荣的中华人民共和国公民，我要说，会发生这样故事的国家都走在法制不健全的路上，我们要以同情的眼光看待他们，而我国是绝对不可能拍出这种电影的。,1.0,,1
4,4,34875369,七号房的礼物,ba6c8729b6c72b02e7658b76f4b33243,f5262ea057c00b26afac83e4fbbfd4ed,4.0,2020-10-23 21:27:01,前两天把韩版《七号房的礼物》看过，今天再把新版《七号房的礼物》看完，感觉总体来说翻拍得不错。两版的故事情节都差不多，但新版加入了宗教、结局较美满、男主奶奶等亮点，让故事情节更加丰满。 因为大部分翻拍的亮点在其它影评都有所介绍，这里只讲几个个人觉得有意思的地方： 1.逃兵 在我看来，这个逃兵一开始是懦弱的，从他逃离部队和没有在古堡等奥娃就能看出。后来被抓回部队时，他竟然把事实真相向中校全盘托出…他很善良，但过于单纯，结局也是被中校冷血地处决。 2.上尉 有一个很有意思的细节，一开始典狱长叫上尉的真名，上尉很生气地说不能这样叫他，要用军衔称呼他。看到这里，我本来以为这个上尉和中校都是高高在上、不许他人冒犯的人。但后来，上尉帮忙找目击证人，后来还和典狱长一起实施“偷龙转凤”的计划，这时典狱长直呼其真名，他也不会有一开始的反应了。他是个好军官，只是无奈有一个冷血的上司。 3.中校 中校这类人其实挺可怕的，心里存在黑暗，又位高权重，可以用很多手段去释放内心的黑暗。结局没有交代中校的下场，但我相信中校应该会上军事法庭吧。最终黑暗不能蒙蔽住真相，不能战胜正义。 另外，影片中有几处过度煽情的地方，这也是我减了一颗星的原因。在几处奥娃和她爸爸打暗号的镜头中，采用了慢速播放的方式，并且使用了特别伤感、催人泪下的配乐，个人觉得有点过度煽情了。 总体来说，还是一部很好、很让人感动的翻拍电影，最近快下映了，推荐大家去影院支持一下。,4.0,,0
5,5,34875369,七号房的礼物,1f6b61caa498f073b554887f84e44bcc,0e585f02bc471fb06de54d290da8e389,5.0,2020-10-17 21:37:27,"我觉得土耳其版的七号房的礼物可以说和原版一样经典，虽是翻拍，却也和原版一样出色。明明剧情大部分都已经知道，却还是为之动容，土耳其版的一些改动也非常好，少了一些韩版的搞笑，但是也多了几份更加感人的感情，有伟大的曾祖母，有深爱自己女儿，为了帮助欧哇和爸爸在一起献出自己生命的伟大的另一位父亲，还有牢头自己的悔改，重拾父亲的责任。其中一个片段我最喜欢，是所有人哄欧哇说监狱是医院，这里的每个人都是生病了，欧哇就一个一个问你生的什么病，每个人之前都不知悔改，不珍惜自己的生活，当单纯的孩子这样问自己，他们都耻于说出自己曾经的过往，也都明白生活的真谛。另一个很感动的场景是，当那个替欧哇爸爸被执行死刑的父亲，一直盯着墙上那个形似埋葬自己女儿的树的斑驳，只有欧哇一眼看出是树，他的孤独，他的想念一下就被人理解了，他的欣喜真的让人动容，他一定能去天堂和自己的女儿相聚。最后最喜欢当然是结局的改变，欧哇和爸爸可以永远幸福地生活在一起，看着欧哇结婚生子。Lingo,lingo,",2.0,,0
6,6,34875369,七号房的礼物,a95bd54fd4ba7063eb10ce2154e5e14f,d8aa52fcbf17003dca7eefd18692b071,,2020-04-26 23:48:34,先来谈谈我是怎么样子的一个状态看完这部电影的，总时长两个小时，我几乎哭了2小时。从他的爸爸进监狱开始，一直在哭。以下几点让我感受比较深刻。 1.我们的家庭很幸福 里面小女孩的爸爸是智力障碍者，只有8岁的智力。妈妈已经变成了天使，他们还有一个年迈的奶奶👵。因为他爸爸智力低下的原因，他们一家经常遭受别人的嘲笑，白眼。会联想到自己，以前从来没有觉得自己很幸福，或者很满足自己的家庭；有时候真的要去感受别人的困难时，才会发现自己真的太幸福了，爸爸妈妈身体健康，自己能养活自己，家庭和睦。这些看着好像不起眼，但却比里面的小女孩幸福很多倍。 2.穷人永远斗不过权势 被诬陷入狱，他们家一点反抗的余地都没有，爸爸不知道发生了什么，不知如何解释，即使解释也没有人会相信。所有的判刑，执刑都是厅长（死去小女孩的爸爸）说了算，没有人愿意跟权势作斗争。 3.人性总是善良的 7号房监狱里面的人，虽然因为不同的原因被捕入狱。但是他们任然保持着善良的一面。为了让小女孩见监狱里面的爸爸一面，策划了一次方案。甚至是后面的偷梁换柱执行死刑都无一不展示着他们的善良。,8.0,,4
7,7,34875369,七号房的礼物,cab42cf8209d055b11afd2b3cfdc086c,fe4ffa34c6aadb8452986f0db892c47f,4.0,2020-10-18 07:55:04,小女孩很幸福，虽然父亲有缺陷，但是对她的爱是没缺陷的，父亲也很幸福，女儿很懂事，还很聪明。这部电视看起来很温馨的感觉，演技好不好我没法评论，我只知道在我这很好，他感动了我。个人有个人的看法，我不否定你们的，也希望你们尊重我。为什么要144个字吖！是要我写观后感嘛！简介的写下还不行嘛！真的感觉好难，从小作文就不怎么好，这是要我把剧情介绍下嘛！让大家看个文字版的电影嘛！,1.0,,0
8,8,34875369,七号房的礼物,bf97e7dfaa595ac46ea7f09f3c5d0cc0,97780e1e39cc27079592e2e69ad1d93c,4.0,2020-04-22 22:05:07,虽说土耳其是翻拍，又感觉到它不止是再讲一个这么简单的故事。比如独眼巨人一意象，它看到了逃兵，看到了故事的真像，看到了小女孩的执着，逃兵也并不是害怕死亡……我觉得逃兵这个角色又给人留下太多的疑惑。为何逃兵能冒着生命危险去为一个神经病洗白？百度了一下伊斯兰教信仰的原意，顺从，和平。总之这部电影瑕不遮瑜，很喜欢。,16.0,2.0,5
9,9,34875369,七号房的礼物,c70f3f8546862e3de2092e7f3d3e2a1e,9668446e5ba3226d8d25f44ca5591567,4.0,2021-12-12 22:29:16,1. 为啥监狱里弹琴那个人被萨达姆侯赛因派去刺杀七号房老大？ 给我感觉这个老大是个有背景的人物，还牵涉到阴谋论之类的事件…但最后也没看到有交代 2. 疯子老爸被上尉，也就是未来的大选竞选者决意杀害时，上尉说要将他的绞刑转播给全国。但是绞刑时被调包（按理说这时候如果转播出去就会有破绽），也没有转播？ 3. 未来大选结果怎样？ 这是我觉得影片细思极恐的部分。虽然结局好像大团圆，父女团聚，孤独老父亲只身赴死获得救赎，皆大欢喜。但是我无法不想，如果一个这样的领导者被选上位，这到底是一部悲剧还是喜剧？ 4. 典狱长和中尉仅仅是善解人意，想成人之美吗？ 在第三次反转，也就是典狱长把铁盒子交给小女孩之后的倒叙部分，有一个镜头清晰展现了一段对话：中尉跟两个人（好像有个是典狱长，有点脸盲不确定）确认说了什么，类似于，这些事情已经瞒得太久了，必须现在行动，之类的话。这一段让我以为中尉他们其实早就不满上尉，在密谋扳倒他之类的，打算拿这次事件做一个导火索，要做些什么大动作。 结果…到最后他们只是帮父女两个偷渡出土耳其？ 5. 那个一直看树的大叔到底做了什么害死自己的女儿？ 也许是一个编剧觉得可以忽略的细节……但我觉得细节也蛮重要的。  ----- 总体上是一部比较喜欢的作品，好几处真的被感动，泪奔了一次。但是结尾确实有点点失望，觉得主题本来可以再拔高到更加宏观，深刻的政治层面，但是都没有处理这些主题。不清楚是不是土耳其内部也有审查，制片也需要回避影射之类太敏感的问题才没有处理这部分的话题。从影片的质量上看，我感觉导演和编剧应该是有能力深挖的。,,,0
