,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34973638,陈情令国风演唱会,e6653e4f58f688c6b5bdd7cdd065c05e,25d10a21c682eef51fa45e2491c38ea8,5.0,2020-04-09 21:10:58,"陈情令是无数女孩的一生难忘的美好回忆，我们愿意奔赴万里去看那群心爱的人，况且我们是花自己的钱，有些人怎么管得那么宽呢？花你家钱了？什么叫过度消费粉丝？我们愿意，管的着吗你们？？！

现场唱歌的效果肯定没有录音棚好，场馆那么大，声音嘈杂，但是大家唱得都挺好的，很稳，只是声音有点小。

唯一遗憾的是师姐宣璐没有来T_T意难平

最后一场时，阿令向令牌们正式道别，将剧中所有角色道别的情节剪在一起，很用心，超级感动T_T当全场令牌们一起喊出“青山不改，绿水长流，后会有期，来日方长”时，瞬间泪崩。阿令，我们来日方长♡最后，所有演员们依次向我们道别，当台上只剩下他们两时，真的有一种怅然若失的悲伤……肖战，你说，把魏无羡留给他心爱的人。而我们之间的故事，才刚刚开始，未来，我们一起走♡",11.0,11.0,2
1,1,34973638,陈情令国风演唱会,9e8e1caa73fde13eb6ae0b286462ece7,2a3b9784b0e9a7898c2c80d60e4974f7,,2021-07-18 00:23:19,第一次看这么**的演唱会，主演长这样好意思出来卖*？第一次看这么**的演唱会，主演长这样好意思出来卖*？第一次看这么**的演唱会，主演长这样好意思出来卖*？第一次看这么**的演唱会，主演长这样好意思出来卖*？第一次看这么**的演唱会，主演长这样好意思出来卖*？第一次看这么**的演唱会，主演长这样好意思出来卖*？,2.0,4.0,0
2,2,34973638,陈情令国风演唱会,fbb08c6531a91cae767dfb78a7c0445c,d73ed6f0db9a2c910f0dca253a578f68,,2021-07-15 21:24:37,难看极了！！！！！！！！！！难看极了！！！！！！！！！！难看极了！！！！！！！！！！难看极了！！！！！！！！！！难看极了！！！！！！！！！！难看极了！！！！！！！！！！难看极了！！！！！！！！！！难看极了！！！！！！！！！！难看极了！！！！！！！！！！难看极了！！！！！！！！！！难看极了！！！！！！！！！！难看极了！！！！！！！！！！难看极了！！！！！！！！！！难看极了！！！！！！！！！！,7.0,3.0,0
3,3,34973638,陈情令国风演唱会,5b845641febc4b93db1442fb3f1a7b68,930caf9da0e7a70db26facc496e6bf13,5.0,2021-06-20 16:06:49,"This film is very good, Wang Yibo, Xiaozhan and other actors as well as actresses have done very well. I will always remember this summer.
这个电影很好看。王一博和肖战是最棒的",,,1
4,4,34973638,陈情令国风演唱会,6b3e892213881b6915e4a67acd00902b,7d53f03b83d1571dc4657122cc961821,5.0,2021-06-20 19:01:35,从《陈情令》到国风演唱会，电视剧看了很多遍了，音乐的专辑也听了很多遍了，可能大家的表演没有那么十全十美，几乎都是新人演员，也没有几个专业歌手出道的，但是他们的表演还是很让我心动，我觉得很难有人能比他们更能体会到这些歌曲所要表达的感情，我们只是看客，而他们是实实在在地入戏经历这些人物的一生…… 2019那个夏天，真的令人难忘,,,0
5,5,34973638,陈情令国风演唱会,893b7009f2dd544940b2ea9e05763225,dde0d005cc1418e1314e5749e943fbae,5.0,2021-06-20 15:23:26,第一对于演员能给出这么好的演唱会真的很棒，唱跳俱佳；第二这演唱会本来就是给粉丝看的，某些人爱看不看不用在这里找存在感；第三说割韭菜的，粉丝都没说什么轮得到你在这里逼逼赖赖，管好自己吧。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,,,0
6,6,34973638,陈情令国风演唱会,f03c3085111827e679c46e73b1176e86,5d9f452f5a39cd9f67399498e41b1781,5.0,2021-06-20 11:51:40,从陈情令追到魔道祖师，再追到陈情令国风演唱会，变得是人物形象展示，不变的是陈情女孩炙热的夏天，是真情实感。夏日限定，四季追随。再见不是再见的再见，是再见的再见。谱一曲忘羡，奏一首博肖。忘羡博肖，不说再见，并肩于雪山之巅。青山不改，绿水长流，来日方长，后会有期。年年重温，年年是19。,3.0,,0
7,7,34973638,陈情令国风演唱会,f7a59bd9713738f04856292a482b38dd,1b7501d400c6ce913a4885967fcc64e5,5.0,2021-06-15 20:45:59,我看了视频，我觉得首先从每一位上台唱歌的人实力上来说是很不错的。不管是角色的个人曲还是主题曲，有实力也是浸入的感情在唱的，听这些歌，很容易让我联想到每一个角色他们的故事。这一点就很成功。 其次从演唱会的安排来说，有演员的采访，大家挨个交流，这一点首先就拉进了观众和他们的距离，让我们（至少我）可以更多了了解他们。其次在结束的时候的安排也很有特色，我不知道别的剧有没有演唱会我也没看过，但是陈情令国风演唱会结束的时候，每一位演员，以剧中的身份说出告辞这个环节。让我印象很深！我觉得这个设计非常妙非常有创意。 总的说来，这个演唱会。有质量，有亮点。很吸引我。我很喜欢。 更不要说在场的观众，几万人在没有排练过的情况下，把后会无期，改成后会有期，并且加上来日方长。真的很令我感动。 青山不改，绿水长流，后会有期，来日方长。永远的陈情令。 感谢墨香铜臭的创作，赋予他们生命。感谢陈情令剧组，将这部剧拍的这么好。感谢这场演唱会，把演员其他方面的才华发挥的如此淋漓尽致。,3.0,,0
8,8,34973638,陈情令国风演唱会,db61adeb224dc1cc426eb73d0bd831be,e25e8ce8ddddd5f78215a8a9f27f5dfe,4.0,2021-03-12 23:54:03,肖战平安喜乐，肖战平安喜乐，肖战平安喜乐，肖战平安喜乐，肖战平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐平安喜乐,1.0,4.0,1
9,9,34973638,陈情令国风演唱会,4be753eb2ecbeed3b8f90b3ed34c90fd,be92e374b439a0bef7f6221b2402640a,,2021-02-08 09:59:25,阿令是一部良心剧，让我记住了大部分的演员，每一个演员都能在我心里留下姓名，这是用什么换来的？当然是他们的真心演绎！林海老师的歌都好好听，那个夏天我没有赶上，我在2021年的元旦才开启了阿令女孩之路。。感谢大家的用心创作，以及仪式感满满的告别，泪目！如果能做一名阿令的工作人员，一定是最正确的最值得骄傲的经历！羡慕！,1.0,1.0,0
