,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,26903822,卡彭,b45fd181b13ac88c803d10a7b8cc1c98,1bb3c0132560357d2145a90bdeafbf86,,2020-05-06 19:19:12,"我所经历的任何牺牲都是必要的，对我而言都是值得的……我只是为此（导演）而来 Whatever I’m sacrificing just has to be sacrificed,” he said. “It’s worth it for me ... I’m just here to do this. 2020 年 5 月 12 日，由汤姆·哈迪领衔、聚焦美国最有影响力的黑帮...

                         ( 展开 )",24.0,1.0,8
1,1,26903822,卡彭,1fd2fd8dada55ec92f8b18365221c313,d0ff37e039e917c2aabf2479c3378450,3.0,2020-05-13 05:33:43,"这篇影评可能有剧透 

                        稍微了解一些美国黑帮历史的人，相信不会对艾尔·卡彭（全名阿尔方斯·加布里埃尔·卡彭）感到陌生，年仅26岁就成为芝加哥犯罪集团的老大，并统领芝加哥的黑帮长达七年，但竟因为逃税被关入监狱，在长达七年半的牢狱生涯后，卡彭的身体状况每日愈下，直到七年后在其隐居的棕榈...

                         ( 展开 )",21.0,2.0,8
2,2,26903822,卡彭,7904d446aad3213f2b191ab9c5f157ad,0150ca40ec76da073b4e16d4c35f18a4,3.0,2020-05-17 04:14:37,"这篇影评可能有剧透 

                        《卡彭》主要人物是美国著名黑帮大佬阿尔·卡彭，这位炮制了“情人节大屠杀”、洗白手段超群却臭名昭著的疤面时尚煞星，最终败于偷税漏税、深陷囹圄，少年时期风流债惹上的梅毒在医疗条件不足的监狱让他变成了废人。生命的最后一年，据说他的神志稍微恢复，然而也仅仅是回光返...

                         ( 展开 )",7.0,1.0,0
3,3,26903822,卡彭,1d0882cc84a7fd4c2dfa53108c621c1e,4acc6cfd2d3067a95d06e3505a4b846a,2.0,2020-05-19 09:07:15,"电影对针对的时间点是较为特殊的，主要描写的卡彭出狱后患病时间段的生活，作为传记类电影来说这个时间段会较为特殊，因传统传记类电影主角会有人生的低谷与高潮。但因此片主角为一个患病的特殊时期，难以以一种正常的叙事方式进行展开。而此片所展示出的感觉与患病的主角高度...

                         ( 展开 )",2.0,,2
4,4,26903822,卡彭,854d5732e8b93a480e382ffd1af65c3c,ed89f5438869a497ec634724b3248f12,,2021-01-09 01:00:16,"冲着汤老师来的 汤老师虽然很埋汰但是还是那么的有魅力  没有一如既往的展现青壮年叱咤风云的样子 很可惜 从始至终都是垂垂老矣 沉重的观影感 几度停下刷抖音 放松 。 想表达的有以下几点 1.影片不该评分这么低 导致我没有去看其他人的评价 他就是一个平淡的描述老年卡彭弥留之...

                         ( 展开 )",,,0
5,5,26903822,卡彭,89931addf6053c64a104d02f1285f45b,8c237b6d3d52b96a181850a316c8323b,3.0,2020-10-06 19:01:58,"也可能是期望太高了，喜欢汤姆哈迪的可以看，个人追求问题。 汤姆哈迪变形金刚本色再度展露，再度用自己的演技与勇于挑战所有角色的精神证明了自己是长得最帅的面具侠。 自2014年以后，本片以前，31.2%的遮脸出演，在好莱坞的大牌里面也是没谁了。不过我想说，趁着还没老，多拍...

                         ( 展开 )",1.0,,1
6,6,26903822,卡彭,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2020-07-01 03:41:22,"汤姆·哈迪带着淡黄的气球尽情飙戏——《卡彭》 今天聊聊电影《卡彭》。 片名Capone / Fonzo (2020)，别名疤面教父(台) / 方索。 在2010年至2014年时，HBO电视台推出了一部长达五季的电视剧《大西洋帝国》，电视剧以现实人物为原型，讲述上世纪20年代，一个黑白两道通吃、只手...

                         ( 展开 )",,,0
7,7,26903822,卡彭,1703752fefc61c5c99c339f6d7ca798c,30357e076587835516d3578f4d1e8704,2.0,2020-06-13 05:56:02,"这篇影评可能有剧透 

                        就表演而言，肯定是汤姆哈迪表演之最。累的两眼望出血。就黑帮片的类型而言，也是很有新意的。全靠闪回来表述大佬的人生。只是所有的错导演都难辞其咎。结构松散，剧情与人设不立体，辅助人物都动机不明(那个死咬的警察和电话儿子)。结果很多明线暗线最后也都黑不提白不提了。...

                         ( 展开 )",,1.0,0
8,8,26903822,卡彭,3c6d36b7d36f69322e1ebc72df385e38,d33c14d7c10c6a3c4277c0fcfab523cc,4.0,2020-06-08 09:22:45,"汤老师又一次来祸祸了，除了毒液，汤老师的胡萝卜+口水，也足够“恶心”到你。 严格意义上讲，卡彭这个人物，算不上“英雄”吧，所以他的老年，只能算得上迟暮。 故事的开始，总有一种错觉，汤老师是不是在演司马懿，但看到后来，发现自己实在是想多了，人家卡彭可没司马懿那么...

                         ( 展开 )",,,0
9,9,26903822,卡彭,d9c61818763c9fdd5034e1abacbada44,b46aabf9be6fc4728ad2a8b6d4910933,3.0,2020-06-06 23:23:19,"汤姆·哈迪一个明明可以靠颜值吃饭的演员，却偏偏痴迷于凹演技。 作为好莱坞出名的气球体型演员，为了塑造角色，汤姆·哈迪从来都不吝惜去突破自己的形象。 小荐印象中，汤老师饰演的黑帮老大，本应该是《传奇》中英伦雅痞的模样。 可在这次的《卡彭》一片中，汤老师却挑战了荧...

                         ( 展开 )",1.0,,0
10,10,26903822,卡彭,80bc81b8db6d4f8917ab4f8a2f32b37b,d5cce573442dc292087717df64d4a418,4.0,2020-05-30 15:58:09,"这篇影评可能有剧透 

                        两星期前我分两次看完了Capone，因为实在是看得太困了……然后一直想认认真真地再看一遍，践行汤粉的义务；直到昨天因为超额完成了一天的读书计划（少刷微博就是好），晚上才戴上耳机重温—— 戴耳机这个动作是因为[‘Capone’ Is As Serious As You’re Willing to Take It] ...

                         ( 展开 )",,2.0,0
11,11,26903822,卡彭,427d6d2e7b5e8d1e6a7ac4ee5457ab79,1d954c3d5080c38316c4e9e41c2b1f1d,3.0,2020-05-25 17:35:55,"这篇影评可能有剧透 

                        即使卡彭依旧桀骜的叼着雪茄，像自己手中芝加哥打字机一样迅疾而猛烈的意大利语仍然时不时的脱口而出，几乎面对所有人都只愿意用眼角的余光去看，但不可否认—— 1947年的卡彭，已经是个屎尿横流、满脸梅毒疮、说话流着哈喇子、终日陷入幻觉之中的行将就木的废人。 《卡彭》讲...

                         ( 展开 )",1.0,,0
12,12,26903822,卡彭,54a1da3bff088a7b73725befd56c0a5c,76250d84c2684d3acab3e1536ff821b2,2.0,2020-05-18 13:11:50,"简单说就是通篇尽力表现卡彭病入膏肓意识混乱屎尿失禁口水横流的状态。 开篇和结局都靠打字幕，中间全是黑帮大佬晚年失智生活日常，即使拍一堆幻象往意识流靠，但看起来还是犯病一次幻觉一场衰弱一截的流水账模式，详尽展示了失智病人的生活状况和健康趋势。而推进情节的幻觉段...

                         ( 展开 )",,,0
13,13,26903822,卡彭,4a4c2add1430996058c306ea66553c45,7ae334b1c0b1b23032368bf14a08cb73,2.0,2020-05-17 12:54:04,"今天我们也不聊卡彭这个人物的历史背景，就单纯聊聊这部电影。（PS：如果有理解不对的地方，绝对是因为只看了一遍实在忍受不了二刷） 和我以往看的黑帮片不同，没有血拼，没有黑道交易，没有拉帮结派，更没有什么叱咤风云。有什么呢？一个老疯子，出现幻觉，大小便失禁，到最后...

                         ( 展开 )",,1.0,0
14,14,26903822,卡彭,977029f807ec00cd89d8625c74fa7e21,c16738a7a13f34cfbdf2ef7ec31a6d3a,2.0,2020-05-15 14:37:18,"这篇影评可能有剧透 

                        2星，场景不错，音乐很配甚至可以说震撼。 但影片故事没交代清楚， 可能是导演觉得黑帮电影太多了，想另辟蹊径玩意识流。又或者“卡鹏”这个人物在美国已经家喻户晓，深入人心。 所以想挖掘人物的精神、心灵、甚至病态面。 种种高深莫测的想法让我这个对该人物一点都不熟悉的小...

                         ( 展开 )",2.0,2.0,0
