,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30241301,衣橱,8b28e4a1810105e9dd2c9bb578497094,b153413eab00eea22716dcec85e20b4a,4.0,2020-06-28 20:41:13,自《午夜凶铃》《山村老尸》《咒怨》给我留下三团少年阴影后，我就非常抵触观看恐怖片。然而，我还是看了《衣橱》。 上半场就被吓着几次。一边抚慰小心脏，一边纳闷：河正宇为什么要接拍这种片子？难道知道我在统计他的作品年表，想挑战不同的角色类型？ 事情最后往往会有答案。看到后半部分，我也自解了疑惑——打动河小花的，大概不是片中的恐怖元素，而是片外的恐怖现象：儿童虐待。 这世间有多少爱，就有多少恨。对于孩子亦是如此。我们歌颂天下父母的爱子意厚情长，也必须看到有些父母的蛇蝎毒辣心肠。 先看我们中国：山西12岁女童遭后妈殴打脑梗死、黑龙江4岁女童被打进医院、成都3岁女童遭虐身亡、安徽5岁孩子被父母打至病危……小小身体，遍体鳞伤，不忍直视。 再来说韩国。 借用《小委托人》片末的一组数据： 韩国虐待儿童涉案举报，2001年4133件，2015年19208件，2017年34169件……  这是官方数据。我们有理由相信数据是不准确的，毕竟不是每一个孩子的每一次虐待都会被举报进入数据库。而2017年的34169件，意味着仅仅在365天里，就有3万多人次的韩国孩子被虐待。 谁在虐待孩子？答案：80%以上都是孩子父母，90%以上是孩子的家人。虎毒不食子？人比虎残暴。 相对于体罚，还要一种虐待相对无形，即精神虐待，包括冷落、轻视、言语挖苦等。 怎么处理？法治。但更多施暴者会逍遥在法律之外。  现实是文艺作品的奶源。如果将这种现象搬上电影，应该怎么呈现？《小委托人》走的是正常路线。 这时我想起小时候的一件事：母亲告诉我废弃工厂内的水井里，藏着水鬼，会把在井边的小孩拉下去。自此不敢去，小伙伴们大概也听过父母的警告，也不敢去。 现在我知道，所谓水鬼纯属无稽之谈。但那时真的起到了作用——比大人们苦口婆心地告诉孩子井边危险之类的道理要管用得多。 《衣橱》的剧本构想大概就是这么一个原理。它没有选择安稳地讲述一个故事，而是采用了韩国流行的灵异思维，告诉大家：每一个被虐待、被冷落的孩子都会进入怨念的时空内，成为恶鬼。  人不忌惮人，但会恐惧于鬼灵。 唯有大人的爱和关怀，才能解救恶行酿下的恶果。 于是，在完成社会价值内核后，全片就搭建起两位父亲在一位驱魔师的协助下，分别自我反思和拯救的故事。 相对而言，明真爸爸的“恶”比伊娜爸爸（河正宇）的“恶”要大得多(说实话，河正宇在片中的错误并不太明显)，所以明真要苦于伊娜，明真爸爸所受到的惩罚也重于伊娜爸爸；伊娜可以被救回，而明真只能停留在另外一个世界。 从我刷过的为数不多的鬼片来看，几乎每一部恐怖片都有一个恐怖符号，《衣橱》的恐怖符号就是衣橱。 恶果为什么会藏衣橱后面的空间里？我想有两个原因：震慑施暴的大人们，恶事之后，小心家里的衣橱。另外一个原因则相对更加具象：衣橱是很多孩子的安全港湾，无论是做了错事、还是受到了惊吓，又或者纯粹好玩，都会习惯性地跑到衣橱里。而衣橱也自然而然地被设计成为通往另外一个阴森世界的入口。 河正宇终究是从壁橱里拯救出了女儿伊娜，孩子幸运地忘记了这段记忆，欢快地走出学校；学校外面，是热闹的街头，漂亮的长镜头走向转角小巷，一个破衫褴褛、伤痕累累的孩子面对着一个老式衣橱……电影结束，现实继续。  大多数错误无法挽回，如同那些进入壁橱的孩子。影片选择让伊娜失去这段记忆，目的很美好，儿童的创伤可以是一辈子的疤，只有失去记忆，才能像正常孩子一样成长。 影片不是法律，片子的终极意义也只能在于警醒——对孩子行虐者，停下拳脚；对孩子恶意者，收起恶意。 世界上有些让人惧怕的东西总是好的。 ✎文︱韩影书（微博：@韩影书）,10.0,,1
1,1,30241301,衣橱,9f60d19f050a16b39cd82a81eace6f31,5085f738e0db4da1951a8f893680c9e9,,2020-12-21 23:51:12,"任何恐怖片在向善的内核之中都不会有惊吓，有的是怜悯。 有多狰狞就有多悲惨 像小倩那样美丽浪漫的“鬼”毕竟是少数，更多的“鬼”长相恐怖，人在愤怒的时候面目也很吓人。那一张张狰狞的面目之下是惨不忍睹的人世经历。  衣橱 衣橱是明真遇害的地方，她一定很恐惧衣橱。在她死后变成鬼却把衣橱变成了乐园；她害怕死亡，鬼化后的她却杀死那么多孩子，与死亡共处。她和自己恐惧的事物相伴。到底明真可怕，还是明真的经历可怕？是谁给她编织了这一切？ 
这部鬼片推荐给有孩子，或想有孩子，或差点有了孩子的人看。是否是真的爱他才把他带来这个世界？",1.0,,0
2,2,30241301,衣橱,bc419da2b35c05bfab926dedec22eb5f,031e63cf80f42edfe9a4ab9d1c98a064,,2020-09-02 16:51:42,听说《衣橱》是韩国年度观众最多的一部电影，是部驱魔片。以前看过西方的一部驱魔电影，正常的病理和心理现象，经过驱魔后情况复杂了，最后导致悲剧，这是现实主义。但《衣橱》却非常浪漫主义，很容易令观众撇开驱魔神秘、虚渺的形式，把握住人间的道理和情感。电影最接地气的真相，是这些失踪的孩子都受到家庭虐待、误解，最起码也是忽视。最真切的是这些孩子遭遇不幸时的感受，他们的挣扎与痛苦，他们呼天不应、叫地不灵时的无奈与失望。对孩子好一些，再好一些，亲情也是很容易失落的。这应该就是这部电影年度观众最多的原因吧。,2.0,,0
3,3,30241301,衣橱,42f1d2bae70f3b6427f2bf5c2396e2ee,2de5b543a0428f6605fed05e3a5710c1,1.0,2020-08-23 10:07:49,衣橱作梗的恐怖片已经太老套了，根本挖不出什么深意来。莫名其妙的开门，小孩面对衣橱窃窃私语，看不见的朋友，房间的异响……这一切的一切千百次看，已经成为了套路。不过一开始明明知道衣橱里会跑出什么来，还是被跑出来神婆的恐怖模样吓到了。还有小姑娘转动了，没有眼珠的眼睛，也蛮瘆人的。 不过解密以后，特别是驱鬼人入驻以后，整部电影就没有了节操。先是在小朋友房间与暗鬼遭遇，闭上眼，鬼就看不到了，这是什么鬼，掩耳盗铃嘛？一叶障目嘛？还有就是用手表吸引暗鬼，这是韩国僵尸片的惯性嘛？另外寻找相同的频率，穿越结界，到暗鬼的世界寻找女儿，这个梗也是用过无数次。另外驱鬼人为什么非要帮男主家，前面这么多人为什么都不去解决问题？驱鬼人动不动就放血，他有这么多血嘛？平时靠什么补血啊？说好了变鬼是49天，为什么最厉害的小女孩还可以复原？另外的那些小孩到哪里去了？ 不过那句，“你有没有看过《与神同行》？”致敬了河正宇的大作，不过品质与该作相比差了好多，真不知道正宇大叔是不是真的像人们所说的欠了高额的债款，无力偿还，才接了这样的片子，真是大跌眼镜。 韩国的恐怖片也开始没落了……,,,0
4,4,30241301,衣橱,95bd081eaec0bb37b52e941d05ac626e,fd40e3f2ba1f8dfa352487cb060ba7ae,4.0,2020-07-30 10:40:16,衣橱绝对是近期韩国恐怖片的代表之作。导演除了对突发惊魂的高度把握，在一个充满悬念的故事中，住在衣柜里到处都是孩子造成的失踪。同时也反映了现代家庭中扭曲的亲子关系，使故事有了更深层次的探讨。我觉得好的电影应该是这样的，让观众有多种视角获得不同的体验。这是看这部电影最有趣的部分。。。。。。。。 。,1.0,,0
5,5,30241301,衣橱,5784a9fac548aac9c23049152bfadfe9,69bdbd1fe863e16ad362b535e8b1bbe7,3.0,2020-06-17 18:38:55,在恐怖片的体系里，美国恐怖片侧重于视觉效果和宗教因素，日本恐怖片侧重于气氛营造，泰国恐怖片侧重于对鬼神的敬畏，韩国恐怖片则侧重于感情的抒发，比如友情啊，爱情啊，家庭亲情啊，等等。本片就是借恐怖的手法来展现父女之间情感波折的。 河正宇的演技无需赘评，但故事情节和剧情走势有点单薄。死去的跳大神的大婶的儿子出现的比较突兀，包括他在面对恶灵时候所表现的情感，对于杀母之仇反而表现的比较淡然。 老一点的女高怪谈系列和新一代的昆池岩已经把韩国恐怖片带到了自己文化特色的巅峰，如果没有什么突破性的创新，很难获得高分评价的。 另外不得不提一点就是韩国的跳大神舞蹈的实际功效，几乎所有出现跳大神舞蹈韩剧里，要么就是毫无用处，要么就是被反噬其身，几乎很难看到有成功降魔的，让人不由对半岛的驱魔术产生质疑。但即便如此，韩国人依然在遇到灵事件时候热衷于请跳大神的大婶在节奏感极强的鼓乐声中念念有词的来那么几段，感觉就是有用没用来一锤子再说，因此而挂掉，就更不划算了。。,3.0,1.0,0
6,6,30241301,衣橱,16711eb09f6c0a46208a183be043289b,b3196dc1093ee9d28845c371330df162,,2020-06-06 08:59:06,"觉得自己看过太多的恐怖片，遇到伽椰子和富江，自己都能镇静，这部萨满教的女鬼还是让我吓出一身冷汗，太刺激了，也高估了自己…
我挺喜欢河正宇的，他和全智贤演的一对《柏林》中的特工夫妻很棒，那个心碎的丈夫演的很牛，不过他拍恐怖片还只看过这一部。
孩子被衣橱的鬼魂带走了，到驱魔人来都没有问题，有问题是电影的后半部分显得逻辑不清和混乱，有反转但让人想笑，没有说服力。 到同期的《婆娑诃》和《哭声》不在一个层次，剧本啊……",,1.0,0
7,7,30241301,衣橱,988e9e6d8b3cbcdfe6bcc90d50339785,108893166bddecfae323c732cde0e99a,3.0,2020-04-29 23:53:11,南佶粉丝 加上对恐怖片情有独钟 让我对这部 韩国票房冠军电影怀着很大期待看了起来  剧本的问题我就不多说了 大家有目共睹 这个故事情节不新颖 核心不突出 主旨是父女亲情想要引起社会关注孩子的成长陪伴问题 显然有点用力过猛 稍显刻意 河正宇应该是影帝级别的演员 但是与剧本相反的是 我觉得河正宇在这部电影里的表现 甚至可以说没有表现 我一点也没有感受到作为父亲的河正宇对孩子的关爱 不是这个人物本身的问题 人物是爱孩子的 但是河正宇全电影演绎出来的这个人物 给我的感觉是 不是去阴界救女儿 是去救大侄女 可救可不救的感觉 至于金南佶 作为我的偶像 当然我会很客观实事求是的评价 他果然是宇宙最强演员 演啥像啥,1.0,1.0,0
8,8,30241301,衣橱,52501dbf097498bb51fbad77b38c7cdb,db88f73821e1ada9316f408769293b03,,2020-04-28 22:10:47,相处的的时候男主和女儿不好好沟通，失去后才追悔莫及，幸好最后在驱魔人的帮助下找回了女儿。 可以看得到失去后的痛苦，才会更加珍惜眼前人。 有恐怖元素在里面，更多的可以看到，家长应该尽可能的多陪伴孩子，这样才会越来越好！三观很正！推！ 下面从剧情的角度思考下，还有很多漏洞，驱魔人的母亲是为了救谁？三十多个孩子死去的怨气呢？怎么孩子去异界还可以活那么久？驱魔人前面三十多个孩子全部都救治失败了吗？那伊娜就是他第一个成功的案例？是不是有点水，十年第一单成功的生意。 明真的爸爸既然活的受不了想死，那后面怎么又不想了，总该有心里变化吧。明真因为看到妈妈就不再心声怨气？那也太好平息悬念了吧。 结局还有孩子要进衣橱，可见这是个永无止尽的诅咒了，期待继续排2。 用的来说，还行吧，至少可看，有收获！,1.0,1.0,0
9,9,30241301,衣橱,1e1d01609340759266dd30a8a76be045,00c1cef3f5dbb28223473808f65fdd39,,2020-04-13 15:17:04,我喜欢《衣橱》电影的开场，导演先用一段巫女在除魔过程中遭到壁橱里鬼怪杀害的纪录图像，确立了《衣橱》整体故事的发展方向，之后进入正片再把焦点拉回河正宇所饰演的父亲尚元身上，以他在车内跟女儿的对话，建立起似乎有什么阻隔在两人之间的冷漠关系，不仅让电影的主题变得清楚明确，从他们日常生活的互动，一步步带出他们因为半年前车祸意外所造成的心理创伤，也为《衣橱》增添了些许的悬疑感。,1.0,1.0,0
