,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30304015,动物园先生,9dc98d2433da7059717e35108ef71ea0,12990db4a0623c1fedacf6356aea4367,3.0,2020-02-22 14:50:30,"这篇影评可能有剧透 

                        主题很简单明了：原本讨厌 害怕动物的男主角在保护外交大使熊猫崽子的过程中意外砸伤头然后莫名其妙就能听懂动物的语言了：从他脸上飞过去让他快逃的警犬阿里、电梯里要被主人绝育向他求救的八哥、超市里营销自己的小仓鼠和小刺猬（搞笑的是这些动物的音色基本都是猥琐大叔型）...

                         ( 展开 )",2.0,,4
1,1,30304015,动物园先生,33c3a130191f938e231710dd28f159d6,c010854873d2affd9c768635f7cc8fb8,2.0,2020-12-06 17:42:21,"这篇影评可能有剧透 

                        最近看的不知道第几部韩片了，从寄生虫开始渐渐也开始看韩国正常电影了。 怎么说的，非常能感受到是体裁和内容被审核压制之后导演或编剧只能另辟蹊径的大开脑洞？通过一次脑补撞击获得了与动物对话的能力之后收获了女儿的爱与唤醒社会人士对动物的保护之情？冲突大部分能在预料...

                         ( 展开 )",1.0,,0
2,2,30304015,动物园先生,54c32a51f2e776e3f636d8cf4bfc04bc,75b02dc22d0290a984ea778d3c3a99b7,4.0,2020-11-23 16:42:56,"这篇影评可能有剧透 

                        动物园先生 实际上这位先生跟动物园其实没多大关系。开篇就体现这位先生很讨厌动物的一个形象。 后面的一系列操作都是被动的。 突然能听懂动物语言，然后被迫和动物联系破案，中途所产生的一系列笑点也不是很突兀。 比如怕看到爆破场景的军犬，喜欢看肌肉杂志的大猩猩，还是被...

                         ( 展开 )",,,0
3,3,30304015,动物园先生,95bd081eaec0bb37b52e941d05ac626e,fd40e3f2ba1f8dfa352487cb060ba7ae,,2020-10-23 16:48:02,"如果还原整个故事事实，会发现生活在底层的小人物泰祖死了妻子，父女关系不和，因为保护熊猫大使不利而丢了工作，真的很无奈，也很悲哀。索性，他遭遇了事故，因祸得福，听懂了动物们的话，借助军犬阿里成功破案，并建立感情。其实不管怎样的喜剧，背后总有着一种剧中人物的无...

                         ( 展开 )",,,0
4,4,30304015,动物园先生,32e9b8109a8b8bf4153fe8a9d4eeb548,c4d417cbf965dab9f1e7fae48c3230dd,2.0,2020-06-26 23:13:35,"哎呀 凑字数 改编自同名漫画。讲述突然就任快倒闭的动物园园长的律师泰秀（音）和代替卖走的动物以动物身份服役的职员们之间异想天开的动物园拯救计划。本来是想看这个秘密动物园的 改编自同名漫画。讲述突然就任快倒闭的动物园园长的律师泰秀（音）和代替卖走的动物以动物身份...

                         ( 展开 )",,,0
5,5,30304015,动物园先生,265f03e03dd3456e0125121ac14cb86d,82f38a247b06bbdc090c2e6fdd7e1725,2.0,2020-03-21 14:15:47,"抱歉我这两星都是给动物的 人有好坏，我不予置评，动物当然也有好坏，动物比人耿直，简单，心思明了的多，不是嘛。 第一次，真的这么讨厌李星民演的这个主角，不管是否有背负了天大苦衷，动物是无辜的，人是复杂的，人性使然，妻子愿意照顾动物，不惜自己的生命，不顾自己家人...

                         ( 展开 )",1.0,,1
6,6,30304015,动物园先生,a74c17155436aec7949901d5178bd3aa,d387dd451787d0294db2e05957b06283,,2020-03-13 18:16:14,"[动物园先生] 一特工偶得与动物交谈的能力，并利用此能力破获了熊猫盗窃案，保住了工作，保卫了两国领导人，还修复了亲子关系。 这部电影是我这两年看过的最好的电影之一。让我笑中带泪。 影片搞笑元素很多。 最搞笑的就是那些说话很有个性的动物。有爱看雄猩猩裸照的母猩猩，...

                         ( 展开 )",1.0,,0
7,7,30304015,动物园先生,d862b2998ee5472ee657a9bb0b509909,956baf9b0173d95e3860a0d6997acebd,4.0,2020-03-11 10:59:52,"默认这是一部中韩友好题材电影吧，然后想把熊猫克隆缩小成家庭宠物这个行为，让我觉得他们想把熊猫也变成韩国的。 剧情无厘头之中又透露了人与自然的神奇关系，各类动物开口说话，没想到都是灵魂段子手，大猩猩🦍要一本肌肉猩猩的杂志，也是证明人与动物从某种角度来讲并无不...

                         ( 展开 )",1.0,,0
8,8,30304015,动物园先生,14dea52ddea585fa650b20af6a9a78dc,e1718afa1ce2c553f547495df49999de,,2020-02-27 16:48:44,"搞笑风格，明星配音，还是值得一看。其中那人殴打狗的画面，让我很不舒服，动物们要么长着獠牙保护自己，要么长了一身刺，可是这些对人类来说微不足道。它们再怎么厉害还是打不过会使用工具的人类呢。人类会使用工具，他们有枪有刀……动物只有任人宰割的份。 近些年关于爱狗人...

                         ( 展开 )",2.0,,0
9,9,30304015,动物园先生,3fa28443e15f7b4e061ed4a7c92ec354,bd324c137430e8b4245ea8839edd383b,3.0,2020-02-24 10:29:12,"这篇影评可能有剧透 

                        1.“听说过动物舍命救人，舍命救动物的人类，没听说过吧！” 2.本剧讲述了一人、一狗、一熊猫的城市酷跑，一起对抗恐怖分子的故事。 3.狗狗阿里演的不错，配音连口型都对上了，完美。 《南山的部长们》里的朴正熙总统，在这里变身成一位特警（男主人公），一位讨厌动物，有洁癖...

                         ( 展开 )",1.0,,0
10,10,30304015,动物园先生,52391675c7e286343757d41c293f3856,6619176b571be85f7970fa92c84f0aeb,4.0,2020-02-23 10:53:51,"这篇影评可能有剧透 

                        03：29 那么想着狗狗，却对人没有礼貌 21：06 动物推销自己 24：28 内部调查 鸡蛋从内部打破能孵出小鸡，从外部打破就变成了鸡蛋 26：25 老虎高歌 29：19 雌猩猩以情报勒索到雄猩猩杂志 33：00 78军犬在动物面前吹牛（军犬生涯及其待遇） 34：00 火腿肠炮弹轰炸，杂牌畜军争弹...

                         ( 展开 )",3.0,,2
11,11,30304015,动物园先生,e3eef5f449cd40a13b77f9f6d39aebf2,9a5734444137acfb5e876707576d2b31,,2020-02-23 08:09:57,"演员的演技很好。感觉不是在看字而是在看声音。即便如此，也不是一部失败的作品。看""迪斯尼""的电影感觉还可以... 如果您喜欢的话，就当是一次""消遣""。 只不过不能get到我得笑点。我有点不好意思... 本来以为给动物配音的演员们很多... 他们相应的戏份也会增加... 除了""阿里""之...

                         ( 展开 )",,,0
12,12,30304015,动物园先生,ba7088e37a6f206c3fd57deba38ad9bc,f81293e21a8f900f1d8186d326bceda3,4.0,2020-02-22 14:00:56,"十几分一句话让我哥还继续几把牛逼行业额娃娃GV吃等哈就买吧关于哦哦IG的我大姑花擦v泽忍蛙染发哈哈不vVB你个返回怪怪的热乎乎加工费吃吧你很热雨i哦哦飞蛾娃娃人呀哈哈v是攻击机好吧重复你那吃的无法干哈附近句各个地方户口i偶一发呃呃娃娃对于UR个很积极还发发芽好几好吧方法...

                         ( 展开 )",,4.0,0
13,13,30304015,动物园先生,76fbf71963bc8b7e17b6702f0a3a8973,0571749e2ac330a7455809c6b0e7af90,4.0,2020-02-21 14:21:53,"先说电影，搞笑风格，明星配音，还是值得一看。其中那人殴打狗的画面，让我很不舒服，动物们要么长着獠牙保护自己，要么长了一身刺，可是这些对人类来说微不足道。它们再怎么厉害还是打不过会使用工具的人类呢。人类会使用工具，他们有枪有刀……动物只有任人宰割的份。 近些年...

                         ( 展开 )",,1.0,0
