,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30330875,超能计划,cad02779dfde45c637620c67e72794b1,adb7017b675a8b1f725c21a87fd7fad1,3.0,2020-08-15 02:11:27,一开始就是冲着这个能让人拥有五分钟超能力的药丸这个设定来看这部电影，想着看超能力爆米花电影爽就完事了，也没想着能有多好的剧情，在爆米花电影里面追求剧情我觉得没啥必要。结果这部电影果真没啥剧情可言，但是我没想到要打斗戏也没啥打斗戏，超能力戏份不仅少的可怜，而且为数不多的超能力打斗也没啥看点。除了药丸的设定让我感觉不错，整部电影基本上就没有能让我满意的地方，作为一部爆米花电影可以在文戏方面少下功夫，因为大家爆米花电影也就图一个爽字，结果这个唯一的要求也没有做成功。在地下室那场打戏的镜头更是拉胯，好好的一场打戏硬生生搞的索然无味，该有的枪战和近身搏斗搞的忽隐忽现，重点一直在那个超能力失控的女人身上，完全没有意思。总的来说我觉得这部电影是一部槽点满满且失败的爆米花电影。（以上仅为个人观点）,15.0,1.0,4
1,1,30330875,超能计划,449e8dcd66d384c92c7c206e85bc0c02,416b57fbedf1b231496d9d4275f7d114,2.0,2020-08-25 00:44:05,"《超能计划》
个人观影随笔，非正经影评 
一手好牌，打个稀烂， 两位男主曾经拍的电影，都是一些很经典的大片，但是在这部电影里完全就是瞎胡闹，名字取得好听，超能计划，但里面的这些超能力可以说平平无奇，毫无新意，最后那个亚洲面孔，吃下药丸以后，全身长出了骨头，不就是火影里的君麻吕吗？我猜导演可能看过火影，因为这些技能都是每个人独有的血继界限，真能扯啊，还有这些角色之间的互动，有一种割裂感，那个半路认识的女孩从被绑架到关系密切，实在没什么说服力，看到吉米福克斯最后倒地凉凉，连亲生女儿都不如她难过，说实在的，我也比他女儿还懵逼，就这么水的剧情，还拍了150多分钟，我是有多无聊啊？ 另外，电影中黑白演员的比例不太平均啊，可能是过于zz正确了，网飞真是行业标杆，好了，不说这些无聊的话题了（不是我想说的这么无聊，是真的没什么可说的），总而言之，如果只是当做一部爆米花电影来看，那我只能说不够香，有这时间真不如去刷刷微博，对了对了，忘了说了，反派的设定真的是不够看的，从头到尾就是一盘散沙，没有一个真正的强者，可能最大的反派就是美国zf吧，极力的掩盖真相，而片中的反派，拥有如此伟大的发明，竟然是要推翻，哈哈哈哈哈，深井冰！",4.0,,0
2,2,30330875,超能计划,2c8dff958215dfcab8548d996115b3d3,ae05f4fb74172ebf298e24501cb4553c,2.0,2020-08-14 20:40:05,没什么亮点 整部电影都是老套的剧情 主角光环强大附身小女孩 反派一样的没智商话多 整部剧说下来说唱也不好听 特效也没有那么多 黑男主 的超能力居然是濑尿虾………能再新颖点吗 哪怕特效做的好点也行啊 就是原地一个爆气 结束了黑女儿的奶妈技能 也是真的毫无亮点 如果全部剧非要让我挤出来点亮点的话 黑奶妈我还是第一次见 哈哈,8.0,3.0,4
3,3,30330875,超能计划,3670e301c313c7dea802d2b6eadd1c93,5ad0fcdb9278c724060203005872d546,3.0,2020-08-18 20:41:28,5分钟版恶魔果实，吃了药丸就有超能力。 而这些药丸是因为黑人男主被试图基因改造过，于是生出了一个血液能做成超能药丸的女儿。 黑人男主一路打打杀杀，女儿重返自由，happy ending。 至于囧瑟夫的上司被收买有内幕，以及研究超能药丸的博士为了追求人类进化而把黑人男主女儿像狗熊被抽胆汁那样，被囚禁起来不停抽血，只能说这个社会就是这么复杂，很难评判。 黑人男主在电影里面讲的两句台词我觉得挺有意思的： 强化核心竞争力是打破平庸现状的唯一方法？     后面这句台词我觉得应该是，“因为在现实生活中，权力总是会流向，已经拥有权力的那些人。”弱者恒弱，很难翻身。,5.0,,0
4,4,30330875,超能计划,977029f807ec00cd89d8625c74fa7e21,c16738a7a13f34cfbdf2ef7ec31a6d3a,3.0,2020-08-16 13:27:55,3星还不错，特效虽说一般，但贵在很丰富，各种超能表现眼花缭乱。剧情很套路化，但设定确实比较有新意，嗑一粒大力丸，可以拥有5分钟超能力。一言不合先嗑药，打不过了就嗑药，趁人不备先嗑药，装完怂后嗑药翻脸，你磕了！所以我也得磕。总之是： 小小药丸所向无敌，神秘超能力。 用牙一嚼变身启动，超能来的太容易， 绣完之后身体透支，早早就嗝屁。  这个设定正好讽刺了现在各种药厂生产大补给的现象。蛋白粉大罐子，类固醇胶囊，扎针做C乱象。 嗑药一时爽，一直嗑药一直爽。,1.0,,6
5,5,30330875,超能计划,7b7837c7ce31ab4adc4967054a961ca2,10a2f9cee07455291b9a202fb7bef563,4.0,2021-10-20 18:51:48,欧美科幻片大致分为五类，第一类就是人类与入侵的外星人作战的科幻题材，代表作如《星球大战》系列、《黑衣人》系列、《遗落战境》、《明日边缘》、《独立日》、《洛杉矶之战》、《超级战舰》等；第二类是人类与敌对的人工智能机器人作战的科幻题材，代表作有《终结者》系列、《黑客帝国》三部曲、《鹰眼》、《我，机器人》、《杀戮命令》、《眼球战机》、《夺命手机》等；第三类就是人类通过科技激发自身产生超能力的科幻题材，代表作有《魅影奇侠》、《超体露西》、《超能英雄》、《超能失控》、《超验骇客》、《透明人》及本片《超能计划》，还有众多的漫威出品的《蜘蛛侠》系列、《钢铁侠》系列、《复仇者联盟》系列、《X战警》系列、《金刚狼》系列、《美国队长》系列、《惊奇队长》、《神奇四侠》系列、《死侍》等等，不胜枚举；第四类就是灾难末日题材的科幻影片，这类灾难主要是人类自身出错造成的科技灾难，如僵尸病毒、温室效应导致天气巨变，当然也有不可抗拒的灾难如小行星撞击地球，代表作有《未来水世界》、《后天》、《我是传奇》、《幸存者》、《幸存日》、《末世殖民地》、《末世孤行》、《末世危途》、《艾利之书》、《极乐空间》、《微光城市》、《生化危机》系列、《移动迷宫》系列等；第五类就是人类发明时光倒流能力的科幻题材，诸如此类的影片很多，如土拔鼠之日、鬼打墙、源代码、明日边缘、逃离循环、幸存的女孩、忌日快乐、棕榈泉、夜间驾驶等，另外，记忆裂痕、恐怖游轮、时空罪恶、环形使者、黑暗乡村、再生门、前目的地等影片也属时光倒流题材，但剧情内容不与本片相同，此类片中死循环里，主角能看到和杀死以前的自己，属于脑洞大开的片子，不属单纯的时间死循环…… 当然并非仅仅这五类，还有克隆人题材如《银翼杀手》两部曲和《逃离克隆岛》、《第六日》、《克隆人》等等…… 之所以扯这么多题外话，无外乎就是因为笔者喜欢科幻片，尤其是超能力、时光倒流这二者领域，自然隆重列举收藏了…… 以下是本片的剧情简介： 新奥尔良码头，秘密生产超能药丸的公司推销员让纽特等人兜售药丸，服用药丸会产生5分钟超能力。但并非任何人都能服用超能药丸，机体排斥药丸会因此而丧命…… 因为制药方掳走了具有超能力的女儿翠西以研制超能配方，退伍少校阿特找纽特询问药源地址，但反抗的纽特服用过多火人药丸而爆炸死亡。 纽特的表妹萝宾因其母亲艾琳患病而贩卖药丸挣钱，而警员弗兰克为了抓捕服用超能药丸的匪徒而时常向药贩萝宾购买药丸，二人为此结识…… 劫匪靠隐形药丸抢劫银行，警员弗兰克只能服用防弹药丸将其抓捕，为此差点被警长克雷解雇；克雷按制药方指示让其抓捕阿特，谎称阿特是药源的药头…… 阿特绑架萝宾以便问出药源地址，说明为了救自己女儿翠西后萝宾配合阿特寻找。根据纽特先前提供给萝宾的电话号码，找到一家超市，发现此处的药头是超市经理，其超市卸货区的卡车内有跟踪药丸的监控系统；阿特干掉超市经理，在卡车里发现药丸内都有芯片被公司追踪以测试效果。 因超市经理被杀，监控显示出萝宾的身份，于是制药方指示黑警至萝宾家审问其妈妈艾琳，恰巧弗兰克来找萝宾，用计将黑警打发走，还偷偷将艾琳的手机粘在黑警车上以便跟踪…… 接着，根据卡车内的监控系统信息，阿特与萝宾找到酒吧地下室展销药丸会，激烈枪战后，问出药源地址是创世纪船。此时，弗兰克也根据手机定位追踪至此，并逮捕阿特，但一旁的萝宾劝说弗兰克释放阿特，解释阿特是为了救女儿而非药头。 阿特说明制药方买通地方政府后，弗兰克、阿特二人联手。 阿特故意让制药方逮捕深入船舱，弗兰克服用防弹药丸直接杀入船内，萝宾在实验舱找到翠西，3人在船首会合。女头目围堵船首，阿特服用药丸团灭女头目团伙…… 阿特将纽特的所有钱给了萝宾后，带女儿远走高飞；而弗兰克准备联系媒体记者，将警长克雷的黑幕爆料出……,,,0
6,6,30330875,超能计划,33c3a130191f938e231710dd28f159d6,c010854873d2affd9c768635f7cc8fb8,3.0,2021-02-06 13:37:18,作品名称：《超能计划》  打分：5.5分  内容概述：邪恶黑势力研究出来了一种超能的药，吃完之后就能获得短暂的超能力。正派的男主警察为了组织这一切就自己也搞了一批药，去追背后的反派boss，有一个兽医的女儿就是中间的线索，后面反正就是把反派都给干掉了，黑男主的女儿有治愈能力，所以被抓起来当研究。  评价感受：不是看软件缓存的APP差点忘记自己看过这个片子了，特效其实不是很多。剧情稍微有一点新意，就是女主实在不忍回忆。这种片子居然2个女主都是黑人也是够了。 根本分不清！,,,0
7,7,30330875,超能计划,00f8c743c139645685510d68965d208f,95031cd7551c1ef712a2c50e5aa0bfae,,2020-12-08 12:23:45,全片马马虎虎，双主角路线，各种关系穿插还算凑合能看，后半部分再次暴露出坏人智商低话还多的特质。看到最后黑叔叔使出的奥义.金色枪虾破，我终于明白了导演的良苦用心，黑命贵啊，不要惹黑人，要不给你来个大招，白人死光光（除了躲在船舱里的囧瑟夫…），甲板上的黑妹安然无恙，基因优势再一次得到验证。另外，黑人还有非洲祖先继承下来的巫术（愚蠢的白皮管这叫超能力），可以起死回生（参考绅士联盟里的肖恩康纳利）。总之，黑命贵，白人至上主义者，我劝你们耗子尾汁…,,,0
8,8,30330875,超能计划,6ccc309fe3fae4162b361118559d1c35,f114b7fe0214a94f510539128c60532c,3.0,2020-10-09 23:20:15,"听着 我只是想维持生计我还是个孩子我... L ook, I was just trying to make ends meet. 'm just a kid, Im... 我知道你想干什么! I I know what you trying to do! 你在街头做生意你他妈的不是孩子了 You out here in these streets dealing, you ain't no damn kid. 你已经放弃了 You gave that up. 你不能老是拿“我还是个孩子""当挡箭牌好吗? You can't keep playing that whole ""I'm just a child"" card, okay? 那么你的超能力是什么? So what's your power? 我自己都不知道 I don't even know. 少来了你就没试过? Come on. You ain't tried it? 老实说... Honestly.. 我看过一位姑娘服药过量 I saw a girl OD. 你知道吗?在街头 You know, on the streets, 大家都在聊这种药怎么让你有超能力 they' re talking about how it'll give you superpowers, 但却没提可能会让你丧命 but not about how one hit could kill you. 对 Yeah. 如果你这么害怕 Well, if you're so spooked, 为什么还在这一行混? why you still in the game? 为什么不考个好成绩待在学校里呢? What happened to getting good grades and staying in school? 喂我希望我能有好成绩 Yo, I wish I could get good grades. 去上学去上大学找一份好工作 Go to school, get to college, get some fancy- ass job. 但我现在需要钱 But I need money now. 大家现在都需要钱 Everybody need money now.  我妈妈现在患了糖尿病 Well, my mother has diabetes now. 1我们没有医疗保险 And we don't got no health insurance. 她需要手术贵的那种所以我还能怎么做呢? And she needs surgery, the expensive kind, so what else am I supposed to do? 哦那很简单 Oh, that's easy. 什么? -去当兵 -What? -Go to the Army. 怎么杀那些蠢蛋不会把你搞疯?-对的确把我搞疯了 -What, it don't trip you up killing fools? -Yeah, it tripped me up. 但这就是我的技能 But that was my skill set. 这个制度做了什么?它利用了我 And what did the system do? I It took advantage of me. 但现在我知道我应该钻系统的空子而不是让它钻我的空子 But I know now I got to work the system harder than it's working me. 你也应该这么做 That's what you gotta do. 你还年轻你是黑人你是女人 You're young, you're Black, you're a woman. 这个制度本身的目的就是要将你生吞活剥 The system is designed to swallow you whole. 你得找出你比别人强的地方然后在这方面下苦工 You gotta find out what you do better than anybody else and rock that. 所以你会怎么做? So what you gonna do? Hmm?  你如何留下你的印记? How you gonna leave your mark? 我说唱 I rap. 你知道吗?有时候 计划会找_上你 You know what? Sometimes, the plan just walk right up on you.",1.0,,0
9,9,30330875,超能计划,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2020-10-06 21:55:04,超能版飓风营救——《超能计划》         今天聊聊电影《超能计划》。 片名Project Power (2020)，别名超能计画(台)。     这是一部Netflix出品的动作科幻电影，影片亮点就是各种炫酷超能力。 影片核心设定是部分人类可以通过口服神秘药丸，获得五分钟的超能力，围绕这一点两方人马展开争斗。     老美新奥尔良地下黑市，突然出现一种神秘药丸，据说人们只要服下药丸就可以立即获得一种超能力。除了部分人会产生异常反应外，大部分人都能够获得一种仿生动物的超能力。 嗑药后，运气不好的人立马原地爆炸，运气好的人会激发自身潜能，将自然界一种动物的能力放大无数倍，成为类似X战警或者异人族一般超能力者。 好人获得超能力可以行侠仗义救助弱者，坏人获得超能力就会为非作歹祸害一方。不同的服用者会产生不同的后果，矛盾线索就此产生。     嗑药之前，大家都不清楚自己会出现哪样动物超能力。运气好的力大无穷刀枪不入，甚至成为称霸一方的大杀器，运气差的化身没有遥控器的空调。 可以看出，神秘药丸很不稳定，药效也很短。出现在街头地下黑市，也是幕后大公司进行的免费人体药物实验。     神秘药丸对人民健康和生产生活产生极大负面影响。而神秘药丸的研制过程就要往上追溯，顺理成章地引导退伍士兵男主角阿特身上。 孔武有力的杰米·福克斯担任男主角。他在服役时，曾接受过基因工程实验，退出实验后结婚生子。没想到孩子翠西成了天生超能力携带者。坏人知道翠西的小秘密后，强行掳走翠西，开始研发神秘药丸。 阿特的任务就是拯救女儿，上演一场超能版《飓风营救》，这成了影片超能力外衣下的核心线索。     男配角约瑟夫·高登-莱维特扮演一名热心警察，心系百姓，全力顶住来自上级和坏蛋公司的威逼利诱，誓要将坏人绳之以法，还新奥尔良人民一片安宁。 囧瑟夫还是挺喜欢这种孤胆英雄类型的角色，总是想一个人干翻整个邪恶势力。这条道路充满光环，依靠无私奉献，可一路艰辛无比。 另外影片中，囧瑟夫的几个动作镜头还致敬了《盗梦空间》。前段时间重温过《盗梦空间》的观众肯定会一眼看出。     片中还是有着明显的刻板印象，白人负责高大上的管理研究工作，躺着把钱赚了，黑人就安心地混迹街头贩毒嗑药寻衅滋事，乖乖地做白人的小白鼠。 当然也给黑人提供了反抗武器，那就是极具感染力的“说唱”。《超能计划》煞有其事地表示，黑人们可以用说唱干翻这个体制。黑人要是信了这些鬼扯，那就真是遂了白人的愿了。     《超能计划》的核心设定很有趣，非常具有拍成爽剧的潜质。地球上动物千千万万，各自的能力也是千奇百怪，只要编剧愿意，肯定可以拍出很多花样来。 像X战警、异族人都能换着花样拍上几十年，只要Netflix肯开发IP，《超能计划》也能成为一个潜力股。     不过市面上同质化题材作品太多，想要在超能力方面闯出一片天地还是很有难度的。 就《超能计划》表现来看，动作戏很炫酷，特效堆砌地也很足，但是过于摇晃的剪辑让影片观看效果大打折扣。如果强调动作戏的动作电影，在动作戏拍摄方面没能令观众眼前一亮的话，那么后面的路将会很难走。     超能版飓风营救， 简配版X战警。     这里是硬核影迷集散地，欢迎关注：妙看影视,,,0
