,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30388205,她房间里的云,036d03ca0d99d4de45cdcf6b01a2261a,5424aa32fe8eced9446d0c86f069d08f,4.0,2021-07-29 16:36:13,"这篇影评可能有剧透 

                        边界与飘荡 ——关于《她房间里的云》的一些想法 文/苏七七 1.相关 2017年我在FIRST当场刊评委，看齐了那年的所有片子。其中有一个短片叫《然后》，觉得语言真好，贴着人物，有一种柔韧的感性，放完电影时有一个导演交流，导演看上去是个不拘小节的年青姑娘，她说什么我都忘了...

                         ( 展开 )",30.0,2.0,6
1,1,30388205,她房间里的云,259af515bb6d1882fe96ef938363075a,bc99027b31829856d9839149e8859685,4.0,2020-02-01 16:54:27,"我觉得这是一部很私人化的电影，不论是观影体验或是感受评价。在写下这些文字时，耳机里无限循环的是《罗马的房子》里的配乐《Loving Strangers》，目光落向远处异国的车水马龙。一切都恰到好处。 生活里的瞬间很少有能够被记忆保存得完整，但第一次看《她房间里的云》，我至今...

                         ( 展开 )",9.0,,1
2,2,30388205,她房间里的云,ac481a7a5e13c91769750b1704c237a4,9726bb874e2394ad6bc73e2e99f13765,3.0,2020-04-10 21:22:53,"作者：Jonathan Romney 译者：csh 来源：《电影评论》 你可能会将郑陆心源的《她房间里的云》，看作是某种连环画中的思想气泡：它基本上是一部沉思性的作品，但偶尔也会有轻快而抽象的时刻。当然，它们可能也只是点燃烟草时产生的气体。这部华语处女作的角色们，抽掉了如此之多...

                         ( 展开 )",13.0,,0
3,3,30388205,她房间里的云,496db5b7aea3939ea526d8701685adbe,e69a5cc3a0db7715324c0959e420f9d5,4.0,2020-02-19 00:12:12,"文/笑意（书本海外特派记者，常居柏林） 公众号“抛开书本” 在鹿特丹看完拿了金虎奖的《她房间里的云》。电影中的木子，让观众们不约而同地想到娄烨片中的余虹。 而模仿经典并非导演郑陆心源的本意。 心源是在Instagram上挖掘到女主角金晶的。金晶眼中闪烁的脆弱，一下击中了...

                         ( 展开 )",11.0,1.0,0
4,4,30388205,她房间里的云,6af548f8bb88e0c941e49c2ac2aa37fd,bb4d8214cc10636554664261ef1449d8,4.0,2020-07-03 11:17:44,"房間裡怎麼會有雲呢？ 她房間裡的雲在哪呢？ 她手上一陣一陣的煙如雲。 像雲一般飄著，也許飄著飄著就散了，也或許瀰漫不去佔據所有空氣。 也像她一樣，在這城市裡飄著。 雲是隨著風走的。 那她呢？能不能不隨風？ 能不能不隨爸爸，不隨媽媽，不隨任何一個男人/他人，只隨著自...

                         ( 展开 )",3.0,,0
5,5,30388205,她房间里的云,b2877feb296d95aaea528085eed17a18,1d2279f8d5034669eeb90af6e56b0d36,3.0,2021-10-19 10:46:39,"自鄭陸心源新作《她房間裡的雲》在2020年奪下鹿特丹金虎獎之後，在嚴格電檢制度影響下，中國大陸的觀眾仍要在一年後，2021年的西寧 FIRST 影展才有機會在公開放映場合一窺全片的風采，甚而作品得承受被刪減篇幅的要求。隨即，英國串流網站 Mubi 以「年青世代的當代電影語言」敍...

                         ( 展开 )",6.0,,1
6,6,30388205,她房间里的云,ad48c6b5a7858d7f0a0cdf57196df473,e7547b9663eb693c4b90c7b78af661aa,,2021-12-20 22:50:15,"先来吐槽一下 激情戏  真的很反胃 而且毫无由来 不知所云的人物 不知所云的空间 名片如果猜得没错的话 房间是内心？ 云是他内心的阴影？ 但是我非常不明白 她怎么了  她咋了？ 就这么想不开  每天非得哭丧着个脸 必须用身体的快乐来填补内心的空洞？ 现在的艺术电影必须得这样...

                         ( 展开 )",,,0
7,7,30388205,她房间里的云,d0fcd779b8e623e73fef7123947d3df2,37c897a29ffed66694ee570e19a2b242,4.0,2021-09-26 16:19:41,"最神奇的是，每年的西宁青年电影节，都有优秀的影片出现。这些新的青年导演、新的影人都能有自己的优良作品出现。这是真的厉害。 此片的感觉一如之前看的《春江水暖》，虽然毫无关系，但有类似感受或许是因为杭州拍摄，也或许鉴于新锐导演的青涩方式，虽然影片很棒，却仍旧有此...

                         ( 展开 )",,,0
8,8,30388205,她房间里的云,9d75ab857d7cb2b8a9f9bfff9c0b3043,435a605868a16e60edb277742291913a,,2021-08-24 01:53:06,"看到34分10秒，这个电影从2020年初一直期待到现在，一直等到现在，一直在时刻关注任何可以看到的机会，终于等到mubi，anyway，我是下载看到的（dbq）下了4天。今天早上因为自己私人的感情问题有些五味杂陈的，突然打雷下雨电闪雷鸣阴天的早上，伴随着已经酝酿了很久很久的无所...

                         ( 展开 )",,,0
9,9,30388205,她房间里的云,a8b6418e1ac55e82334986f7132d8ea3,a2998f92720d4623d219f1a8554fe8c8,3.0,2021-01-18 20:46:54,"原刊於香港電影評論學會 中國的影視產業對年輕人的面孔捕捉一向是失敗的，無法隱去背後的中年人立場，九十後的姿態在主流影視作品中總是被塑造得極度臉譜化，常淪為一種差勁的速寫，或單調地成為服務戲劇敘事的工具。《她房間裡的雲》根據導演的自身經歷，為年輕人的新思維方式...

                         ( 展开 )",3.0,,0
