,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30449238,云中阴影,a69659d9efab1f2b37e3392eb4c35b62,365b0f75b013018d76612db3c2022efe,,2021-01-06 15:28:00,1.本片表面上是向二战中女性参战人员致敬，结尾用了很多当时记录片的片段，影片前半部分也一直在试图塑造女飞行官的坚强性格和卓越能力。 2.可能导演觉得这样的立意不太深远和时髦，于是加入了大量女权形象塑造情节，嘈杂的男性机组人员被安排成一群上窜下跳的猴子，用于凸现女飞行官的冷静与沉着。 3.估计是出于加强本片深度的考虑，导演加入了一些所谓有寓意的‘梗’，比如蝙蝠透过孔洞伸进来的尾巴像极了某些男性器官，机腹炮塔和女性子宫的遥相呼应，婴儿一直在箱子里历经危险直到最后取出哺乳象征着痛苦的分娩过程，蝙蝠被女飞行官轻蔑打倒寓意女性独立人格的成长。 4.可惜本片怎么拍也还是部B级片，再加上导演又加入了很多过于主观的镜头，比如最后对男友的俯视视角，对蝙蝠舌头的密恐特写，莫名其妙的求婚情节，实在是让人觉得目瞪狗呆不知所云。 总体来说本片做为B级片不算合格，导演的夹带私货更是让其雪上加霜。,18.0,3.0,12
1,1,30449238,云中阴影,94facc5bb6c1ee3295c9d2a7b34ee548,b9d5a25b418d4a01171ae072206e52ac,4.0,2021-01-05 23:49:51,极少写影评的我也按奈不住为这片子叫好。音乐我给五星，超杀女我给三星，剧情我给两星。影片怪兽的设置其实没什么逻辑，尤其是执着于抢孩子这个事，怪兽的目标也是奇葩，大概是小孩好吃，但白白胖胖的超杀女不是更香吗？        开始将近一小时的时间，视角独特，氛围营造还是不错的，在狭小空间内各种细节呈现出的小危机，怪物出现后情况急转直下，尤其在炮塔内的超杀女只能眼睁睁看着怪物搞事情，观众也是干着急，直到怪物抢了孩子，超杀女跨片附体。大概怪物不知道超杀女小时候干过啥，要是知道超杀女干过啥，怪物也不会来干啥。        好些人评论超杀女被炸回机舱的事情，我觉得那是奇迹，整个电影只有这个镜头堪称神来之笔，配合年代感超强的电音，血脉喷张有没有，把之前一个小时的压抑全部释放。         这个片看个乐呵，感觉到位就可以了，对比神奇女侠1984，我觉得这部片子值得一看，看过还不后悔。,11.0,7.0,4
2,2,30449238,云中阴影,16bd945fbbb8ebeb96f7e8f087974903,dcc3ce850156b2cb6402ff723336797b,2.0,2021-01-04 19:39:45,《云中阴影》，前半段也是蛮牛的，50分钟几乎全在轰炸机的炮塔里面，只有女主的特写和其他机组男人的画外无线电音，照样很吸引人，这个就是悬念的力量，一定要重视悬念啊！ 然后就垮了，因为悬念是把双刃剑，挖坑前你必须得想好怎么填。轰炸机上出现非人怪兽这创意很有意思，但是作为一部二战背景的片子，你出现这种非现实怪兽总得告诉观众是什么吧？还有为什么会出现？而不是单纯作为一个反派卖点。还有前段如鬼魅般时隐时现的日本飞机，结果就真的只是跑的远而已。这叫什么？这就叫故弄玄虚！ 切记，当你有有意思的悬念将观众吸引来看片，却发现那些元素没头没尾，就会被反噬。,15.0,2.0,9
3,3,30449238,云中阴影,722ac817efc0ab69088106b583102c4a,c026dc3b8b03ca387abd896c8ccc39ff,4.0,2021-01-06 23:02:23,5.1分这特么也不知道是谁打的，虽然看完我还是一脸懵逼很想知道那怪物到底特么是什么鬼，代表什么？但是我怎么都觉得这5.1分也太扯了，怎么都值个7分吧，即使我前40分钟基本睡着也没影响我后续的观影体验！超杀女感觉瘦了，还是很俊俏的！后半段太燃了，徒手扒飞机，机枪扫鬼子，然后还指挥副驾驶高难度动作硬着陆，最后手撕怪物！你跟我说这特么就值5.1分？我只是纠结这特么到底归在什么类型的片子一类？那怪物到底算个什么鬼？？？？！,6.0,3.0,8
4,4,30449238,云中阴影,977029f807ec00cd89d8625c74fa7e21,c16738a7a13f34cfbdf2ef7ec31a6d3a,4.0,2021-02-18 16:05:29,4星，本片噱头看点十足。科大美女瘦身出演，颜值即是正义顾盼生辉。 B17空中堡垒出战、机腹下炮塔细节满满、狭小阴暗、紧张刺激。还有流传久远的西方飞行文化中的小怪物出境，满足了怪物爱好者们的猎奇心理。 这个飞行小怪物类似于中国农民狐仙迷惑传说，或者水手的海妖勾引传说的套路。 早期飞行技术不成熟，工艺不过关，经验不足，飞机总会出现一些莫名其妙的问题。 当时很多故障找不到原因，所以就迷信的认为有一种妖怪在给飞行员们捣乱，这个飞行小妖怪在西方文化里流行了很久。是本片的看点之一，国内自然就不太懂这个了。 毕竟只是一个魔幻、恐怖片，硬要追究什么逻辑那就是跟自己较劲了。总之懂的人自然懂。片子不长，休闲看看很不错的。,7.0,2.0,3
5,5,30449238,云中阴影,6fcba33d7cc90f0afafbb928eac9f739,8ec55b550f9e83d5bf695f613be3c12c,,2021-01-14 15:04:47,要说科美女这两年的电影真的很少，早些年看她拍的海扁王12真的够狠！当然遇到好编剧和好导演很重要。 这部云中阴影，就是爆米花娱乐片，有的人非要要逻辑，来套这样的电影，是大脑坏了。 这样的片子本身就是疯狂娱乐片，小成本，搞个大刺激不好嘛！ 前半部分就是让你啰嗦，中间开始打怪，然后在飞机外面练习引体向上吊杠，各种高难度动作，你让现在的小鲜肉去做做看。 再上了飞机让子弹飞一会儿。 最后掉下来，我就知道小魔怪不会放过他们，果然跟来了，可惜没有把爷爷奶奶爸爸妈妈，兄弟姐妹带过来，落单了就被科小姐当靶子练了。可怜！ 最后科小姐为艺术献身露出乳神喂奶，你们还要怎么样！ 一句话，简单，粗暴，刺激！ 让逻辑见鬼去！,6.0,8.0,4
6,6,30449238,云中阴影,b5de063ef5b1ae2ea0504d4cfaae63b1,de5700953c674fb05221f53a1880958b,4.0,2021-05-04 17:19:37,这个导演一定是当年《海扁王》的铁粉，找到了正确打开这位女演员的最佳方式——就是去你妈的逻辑，怎么爽怎么干，怎么扯淡怎么拍，天上大炮打飞机，干怪兽，谈恋爱，奶孩子，还能陆地自由搏击，什么断手指，受伤都是小case，女性力爆棚可以直接热气流给你轰上天。。。  建议这个角色加入John Wick和Nobody等人组成打不死小队，要建立“干不死你”电影宇宙✌️✌️✌️ FuckU Cinematic Universe✌️✌️✌️  这么低成本的拍法，我都怀疑Apple+神剧Calls的创意是不是从这里来的哈哈哈，总之全片满满卡朋特的B片混不吝特质，特别粘稠，你要不喜欢，没关系，我也没说这是牛逼片子，但即使从烂片角度，这也是一部我最一直最爱的那一款烂片哈哈哈哈  这几年豆瓣审美真是窄了好多呀。。。 放十年前，这片子在豆瓣不至于这么低的打分的。。。  这是一部“真叛逆、真不尿传统规则”的真女权英雄电影。。。 这种电影创作创意带来的多角度新鲜感，比苛求什么制作和叙事完美，要对我有意义得多。。。,3.0,1.0,0
7,7,30449238,云中阴影,3c6d36b7d36f69322e1ebc72df385e38,d33c14d7c10c6a3c4277c0fcfab523cc,2.0,2021-08-24 08:46:28,"故事的开始，以为是一部动画片。 然后，看到超杀女的装束，以为是一部二战片。 顺口说一句，超杀女手臂缠的绷带，也就是个摆设，到了后期，超杀女随时随地都可以甩掉束缚，这手臂和正常手臂一样一样的。 想想看，手指都能当铁栓用的超杀女，还要绷带做什么。
     可是，超杀女上飞机之后，就一直强调，千万别打开那个箱子，又感觉出一点点科幻的味道。 但后来，“精灵”随即出现，这又是开始往恐怖片的套路上去的节奏。
     然而，其实这是一部气死阿汤哥的谍战片。 徒手扒飞机，阿汤哥还当做个事儿来宣传，看人家超杀女，悄没声的就把这事儿给做了，人家手臂可是刚拆的绷带。     到最后，箱子打开了，原来是个孩子。 故事风格又开始转型，到最后，是一部彻头彻尾的女权片。 超杀女在故事里头，吊打了所有的男嘉宾，前期男嘉宾有多口没遮拦，到后期就有多打脸。 为了平衡故事的逻辑性，超杀女师承咆哮帝，学了一身咆哮的功夫，所有的不可能，在咆哮技能的触发下，好像都有了解释。 到最后，超杀女霸气地撕掉了袖子，重现了史泰龙或者是老瓦才敢的赤膊上阵，手撕了精灵。 我去，看得一帮男嘉宾目瞪口呆。 这还不算完，手撕完精灵后，超杀女若无其事的上演了当众喂奶，这潜台词是呼之欲出啊。",1.0,,0
8,8,30449238,云中阴影,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2021-07-01 17:46:14,"今天聊聊电影《云中阴影》。 片名 Shadow In The Cloud (2020)，别名致命天际线(台) / 云中的阴影。     超杀女科洛·莫瑞兹这次上天了，在万米高空出演一场与日军、怪物、色鬼对战的惊悚故事。 科洛·莫瑞兹扮演空军上尉莫德·加勒特（Maude Garrett），她携带机密文件登上一架B-17轰炸机，要跟随飞机前往目的地，一路上险象环生，发生了许多离奇事件。     影片中杂糅了多种元素，从二战打日本鬼子，到万米高空打怪物，再到追求自由爱情、女性平等。影片俨然就是一部神片合集。 如果用正常逻辑看待《云中阴影》，估计观众会觉得十分尴尬，甚至可以原地扣出一栋别墅。 但如果换一下预期，把这部影片看做是空中B级片，那么观影感受立马会得到很大提升。     影片神奇片段很多，如果对标上天入地无所不能的印度神片，《云中阴影》也有一战之力。 我觉得全片效果最棒的一段，就是科洛·莫瑞兹徒手扒飞机。这一段看我得心惊胆战，视角旋转后立刻有了全新体验。 尽管知道这些是特效、是假的，但是影片表现地极为逼真，让人有一种身临其境的失重感和危机感。     除此之外，科洛·莫瑞兹摔出机舱又返回一段，堪比在牛顿坟头蹦迪。 另一端卡住飞行操纵面迫使飞机俯冲，然后将飞机倒转以爬升，这与《迫降航班》（Flight ，2012）中的处理方法完全相同。     影片中有大量科洛·莫瑞兹特写戏，观众们可以近距离感受她的演技。 说实话，在一个狭小密闭空间内，能够表现出这么多情绪和内容，的确很厉害。     《云中阴影》的开头动画根据大兵斯纳福(Private Snafu)改编，这是一系列面向成年人的教学短片，旨在教育应征入伍人员有关军队裁量权、卫生、战备和日常生活的知识。 教学短片在1943年至1945年制作的，鉴于它们本不打算公开，因此不受审查限制。 短片中的人物来自军事缩写“情况正常都搞砸了”(Situation Normal All Fucked Up)。     《云中阴影》占据重头戏的就是一只面目可憎的小精灵。 其实这个情节在《万尺梦魇》（Nightmare at 20,000 Feet，1963）出现过，当时就是一位乘客看到飞机机翼上有一只生物，但没有人相信他。     《云中阴影》中的小精灵身体结构像猴子，但经常被称为类似啮齿动物，不过就影片表现来看，更像是巨型蝙蝠。     影片拍摄前，编剧马克斯·兰迪斯（Max Landis）遭到了性骚扰指控。于是导演罗丝安妮·梁 (Roseanne Leung)在制作前大量重写了原剧本。 改写剧本后，导演和主演都说本片和原剧本完全保持距离，不过兰迪斯看完电影后声称，大约90%至95%内容仍然是他剧本上的。        《云中阴影》拍摄了一个空中怪谈，另一方面更是致敬了二战期间的空军女飞行员们。 在二战期间，美国空军创建了空军女飞行员（the Women Airforce Service Pilots，简称WASP）。 从单引擎到多引擎飞机，从非战斗运输机和观察机，到战斗机和轰炸机，包括B-17，B-26和B-29轰炸机，这些女飞行员驾驶着一千一百多架军用飞机。 陆军航空兵团司令亨利·“哈普”·阿诺德少将曾表示，他不确定“在恶劣天气下，一个女孩能否控制得了B-17轰炸机。”后来他承认自己错了，他说：“现在，在1944年，女人可以和任何男人一样能飞！”     片中一名机组人员告诉莫德·加勒特，她在他们的B-17轰炸机上并没有权力，因为她是“辅助平民”。 对此，莫德反驳说：“更正一下，我是一名飞行军官。” 其实机组人员是正确的，因为女性辅助空军(WAAF)的成员确实是平民，并没有权力指挥军事人员。     博采众长杂糅神片， 女性光辉空中怪谈。     这里是硬核影迷集散地，欢迎关注公众号：妙看影视",,,0
9,9,30449238,云中阴影,d88fd9fdffb0b8ee29f5f6937927fe05,01b2377e42f5b4bc2f91a1f8cfc16fc1,3.0,2021-06-11 20:45:48,一个好的导演会安放他的摄影机，在最合适的地方。时空在电影中表现为物的空间展示与电影时间的移动，摄影机作为唯一联通观众与创作者的媒介，充当着语言。因此，电影的时空只随着摄影机的翻译而传递给观众。 一般来说，摄影机的放置与镜头的选择要考虑当前被拍摄的主体所处的环境。在本电影中，可以划分为三个层次。①：窄仄的非移动空间 ②：可供移动的限制空间 ③无限制的自由空间 在①内，由于影像主体的禁锢性，镜头多用近景，特写，甚至是手持镜头。这无疑是与影像主体是相同的，只有通过镜头，观众才能体会到影像的时空。近景与特写使得时间被重刷，而空间则更加清晰。 再②中，人物可以开始移动，镜头便开始使用全景或者是中景。这时摄影机不通过长镜头便能因为后期剪辑而运动，这直升飞机上的长镜头应该不会太好。 ③中的自由空间，呈现的便是人物＋环境的长焦镜头。我认为长焦镜头是展示空间与人物关系最好的镜头，远远胜过广角镜头。 说了怎么多，无非就是一句话，导演应该根据影片的风格与影片中物的环境来选择镜头，选择摄影机。,,2.0,0
