,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30465104,来玩,bc9840a30e27db283d1c8f77416de159,061f5e0fe3e42a8132c4e6a3c117a78f,,2020-11-16 15:49:12,"这篇影评可能有剧透 

                        来玩，一部由小男孩奥利弗为主线，交织友谊，亲情，社交为辅的恐怖悬疑反思类题材电影！ 由于身体的原因，和长期的孤独导致他自闭，奥利弗在学校也遭受排挤，于是睁眼闭眼，就连说话也都依赖着手机。好像全世界只有这台电子设备是他的朋友，他的慰籍。而这台电子设备，却帮他引...

                         ( 展开 )",3.0,,7
1,1,30465104,来玩,1b8bc730f7a0632b3627b8fe7b1c01f0,6494379b6f52c6aa5e9a0c4eef6f961e,4.0,2020-11-05 14:09:02,"这篇影评可能有剧透 

                        一部让人头皮发麻的惊悚片，剧中出现了大量的那种平静的画面突然转惊悚画面的情况，配乐也是无敌，吓得我连忙降低音量，不过我觉得导演在为了营造恐怖，惊悚气氛上太过于执着，放置惊悚转场的镜头太多了，难免让人厌恶，厌恶这种不必要的恐怖镜头。 作品主要说四个内容： ①对...

                         ( 展开 )",2.0,1.0,5
2,2,30465104,来玩,344672d8b4dcd90c8d07a6a778e48446,8cb89a7e2a2ebc3357551ee348d2931e,4.0,2020-12-23 08:26:43,"又一部讲述爱的恐怖片。这次的主角是一个患自闭症的男孩。他有一双会说话的大眼晴，所以从不说话，只依靠手机等电子产品与人交流。于是在某一天，在他读到的漫画里的人物拉瑞想成为他的朋友，甚至企图带走他。这怪物的设定还是挺有趣的，编导把现代人的寂寞具象化了。如何摆脱...

                         ( 展开 )",,,0
3,3,30465104,来玩,8f61d806bffe08e1ea51a2adc963b9a2,5b1b5d54a9c613ecd3e18503948a9162,3.0,2020-12-22 19:10:00,"这篇影评可能有剧透 

                        2020年，恐怖家庭奇幻电影《来玩 | Come Play》 其实电影的立意还是挺好的~ 从家庭着手~ 描写现在社会的孤独~ 父母的过度保护~ 沉迷电子设备 一些现实问题 结合奇幻恐怖来拍~ 也算是挺有想法的了~ 不过感觉在很多方面还不是很成熟。 恐怖的气氛也还算到位~ 就是这个怪确实有些...

                         ( 展开 )",,,2
4,4,30465104,来玩,b211adaf8e1ebc7f00ab74f1e33aadc4,55429fa01b19f7193811ed985797b9b9,5.0,2020-12-13 22:58:54,"单从恐怖片的角度来审视，此片绝对是合格的，节奏，氛围，视效呈现大都恰到好处，虽然有一些俗套梗，但瑕不掩瑜。即有扣人心弦之处，也有心跳加速，不敢直视之景。最后竟让我脑海中闪现出“银瓶乍破水浆迸，铁骑突出刀枪鸣，曲终收拨当心画，四弦一声如裂帛”的诗句出来。 另外...

                         ( 展开 )",,1.0,0
5,5,30465104,来玩,b211adaf8e1ebc7f00ab74f1e33aadc4,55429fa01b19f7193811ed985797b9b9,5.0,2020-12-14 02:09:29,"单从恐怖片的角度来审视，此片绝对是合格的，节奏，氛围，视效呈现大都恰到好处，虽然有一些俗套梗，但瑕不掩瑜。即有扣人心弦之处，也有心跳加速，不敢直视之景。最后竟让我脑海中闪现出“银瓶乍破水浆迸，铁骑突出刀枪鸣，曲终收拨当心画，四弦一声如裂帛”的诗句出来。 另外...

                         ( 展开 )",,1.0,0
6,6,30465104,来玩,5784a9fac548aac9c23049152bfadfe9,69bdbd1fe863e16ad362b535e8b1bbe7,4.0,2020-11-16 00:27:48,"这篇影评可能有剧透 

                        自闭症的小朋友奥利弗感到很孤单，仅有的几个玩伴也时常欺负他，手机和平板吸引了他大部分的注意力。在屏幕的另一端，有个叫Larry的也说觉得孤独，想要和奥利弗来交朋友。然而奥利弗逐渐发现，Larry并不属于这个世界，然而他的自闭症让人很难相信Larry的存在。 在奥立弗的父母...

                         ( 展开 )",5.0,,0
7,7,30465104,来玩,811148d40854202812d2265e43f3b94c,26efe871e6bb22f1935b2deaf5ca1b4e,4.0,2020-11-11 23:28:32,"随着时代的发展，各种电视、电脑、手机、平版等电子设备层出不穷，让当今的小孩都有了一个不会孤单的童年。他们或多或少的都会有这些所谓的“手机依赖症”。抱起手机就不会放下，从而忽视了人与人之间的交流，这或许是将来社会的一个暗病。那么又有谁会知道，在电子屏幕的另一...

                         ( 展开 )",,1.0,2
8,8,30465104,来玩,6f9789d18b4f20452179a49ed7f4904b,c15264eca00b02efe2c65985662790ea,3.0,2020-11-09 02:57:45,"2020年的恐怖片真的不行，一部都不行。本来看预告对这部还比较期待，但实际观感低于期待值不少。 1.怪物正式露出实体前的恐怖制造手法还行，自拍软件人脸识别暗示黑暗中多出一个存在，压抑紧张，让人屏息以待。 但是后半段就变成一个苍白的驼背怪物从各种地方跳出来抢小孩，不...

                         ( 展开 )",,,1
9,9,30465104,来玩,f9a3a682909c0953235ae7d951ebac16,8ab250f823ef5cfe4fa15161c8a96361,3.0,2020-11-22 22:07:05,"好久没评论恐怖片，今天就来说说。恐怖电影《来玩》，可以一看，但整体有些可惜。本来这种冷门小片没必要单独开贴，不过作为一个新导演的作品，里面有一些不吐不快的地方，还是要简单说下（有剧透）。 电影改编自导演雅各布·蔡斯之前的短片《拉瑞》，这部《来玩》由导演本人亲...

                         ( 展开 )",12.0,1.0,4
