,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30487597,棕榈泉,7170790ba3d384744c1cd2628a46bdc1,4d9232398d09599cf6f4bc85cd389f9e,4.0,2020-07-12 12:41:50,"哪怕是最宽容的观众在观影之前听说了《棕榈泉》的故事设定，可能都得为这里面那些不再新奇的老梗堆砌暗自捏一把汗。《棕榈泉》里有太多的似曾相识，首先，它的故事发生在一场婚礼上，所以，那些酒精和慢舞，那些注定被搅黄的誓言和演讲、那些喧宾夺主的家庭困局和排列组合的狗血与错误，全都应有尽有，既不迟到也不缺席； 其次，《棕榈泉》是一部以两个破碎的烂人为主角的浪漫喜剧。在丧文化大行其道的当下，越来越现实的大众早已抛弃了完美王子或是真命天女存在的可能性，但此类“烂人互救”的故事，好像也不可避免地逐渐成为另一种烂俗； 而《棕榈泉》中最为核心的设定，是不断重复的一日时间循环。这个曾经百试百灵的类型片创新良方，在开宗立派的《土拨鼠之日》之后已经被实验了太多次，放到未来战场就变成了《明日边缘》，加进恐怖片里就有了《忌日快乐》，如果把时长抻长、再将陷入循环的主角买一送一，就得到了《轮回派对》。 但是，当这些疲乏的套路里，加入一点冰镇啤酒和量子力学，混进两位主角微妙而可感的火花和带有哲思的谈话片段，最后再染一层抑郁黑暗的现实底色，最终调配混合出的成品《棕榈泉》，变成了一出旧梗和新意比例得当的存在主义浪漫喜剧，可爱新鲜，又带点清醒的苦涩。  把开篇的三层套路进行扩句，就得到了《棕榈泉》的第一幕剧情：在一场沙漠婚礼的当天，新娘的姐姐，总是一脸愤世嫉俗、被家里人认为“只会酗酒和乱搞”的Sarah，被看上去什么也不在乎的伴娘男友Nyles，和他的一段“我们不孤独”的发言所吸引。两人在星空下乱石堆中的激情被一只凌空而来的箭打断，担心Nyles的Sarah跟着他走入泛着红光的山洞，却意外地陷入了一个时间循环之中。 也许是担心上帝视角的观众们对时间循环的设定早已审美疲劳，《棕榈泉》在同题材前辈们的基础上，做出了两方面的小小创新：第一，当Sarah一开始进入循环而手足无措时，害她受困的罪魁祸首Nyles已经在这一天里呆了不知多久。每天都在一双《毕业生》式美腿前醒来的他，早已睡遍了婚礼上不论男女能睡的所有人，也试遍了任何可以逃出循环的方法。如此一来，《棕榈泉》可以不用再浪费银幕时间让主角在自我怀疑中探索那些观众早已知悉的来龙去脉，Sarah在象征性地挣扎了几下后，就在前辈Nyles的指导下接受了循环的规则，开始那培养暧昧、享受人生的双人蒙太奇。  第二，不同于许多时间循环或时空穿梭的作品让主角操纵时间来重复练习把妹神技，《棕榈泉》直接把本该是目标或最终奖赏的妹也送进了循环里，让从此不变的沙漠星空和把他人隔绝在外的特定时空，成为命运相似的两个破碎之人发展爱情的限定舞台。同时，循环里还有一位系统bug定时炸弹一样的第三人Roy，为Nyles和Sarah的二人时光增添一点惊喜和辛辣。 所有爱情故事的成败，大概都取决于两位主角相爱的合理性。《棕榈泉》已经把Nyles和Sarah放进了一座只有彼此的时间孤岛中，再点缀上泳池、墨西哥卷饼和阳光，婚礼上的恶作剧和酒吧里服饰统一的复古舞蹈，还有篝火，和沙漠中似真似幻的恐龙群。这种放弃一切、脱离真实的疯狂，本身就足以让任何两个互看不顺眼的人相爱，而在这基础上，两位演员之间的适配性和化学反应，更是为这段棕榈泉奇遇增添了古怪的浪漫。 观众缘是个很玄妙的东西，而《棕榈泉》的两位主演，恰好是非常讨喜可爱的两位演员。从SNL走出来的Andy Samberg，早就用《神烦警探》里的大男孩Jake奠定了自己有些三俗蠢萌但仍有厚度的搞笑形象，而有一座格莱美傍身的Cristin Milioti，也曾在《老爸老妈罗曼史》最终季，惊艳了所有对老妈期待值拉满的粉丝们。所以，当Nyles遇上Sarah，他那有些稀疏了的小卷毛和用微笑极力遮掩的在乎，搭配上她永远不花的睫毛膏和大眼睛里的伤痛，合力把爱情拉下了圣洁的神坛。  发生在婚礼当日的时间循环，本身就像是一场带着戏谑的爱情模拟游戏。大概每一对处于热恋期的爱侣，都会觉得自己身处与Nyles和Sarah相似的循环之中，时间不再线性流动，其他无关者也都被隔绝在外，两人周身，只有玫瑰色的热烈和心动无穷无尽。但是，就算是在魔幻的时空裂缝中，由两个人构成的任何关系都不可能有一成不变的稳态，而《棕榈泉》也借由Sarah和Nyles主动者和被动者的不同角度，完成了对于亲密关系的成熟讨论和无情戏仿。 在这段感情中的Sarah，是个自始至终掌握主动权的非典型romcom女主角，她可以主动戳破Nyles满不在乎的伪装，直接翻身骑上已经脱缰了的暧昧，也可以头脑清醒地为两人对重要问题的无限逃避画上句号。这或许是《棕榈泉》对于亲密关系的第一层探讨，爱情固然有停住时间、把人拉进甜蜜循环中的魔力，但大多数时候，爱情不过是用来逃避重要问题的借口，让两个无法面对自我也不再能忍受孤独的人，可以借着”盲目“这一爱情所宣称的副作用，在相拥之时试着不去直视房间里的大象。  不再用爱情来逃避、甚至说出“没有你，我也活得下去”的Sarah，似乎把爱情放在了可有可无的位置上，最终反而收获了历经考验的爱人。而不及Sarah成熟勇敢的Nyles，其实需要做出更为艰难的选择，要么放弃爱情退回到之前孤单但自洽的单人循环中去，要么冒着整个存在都被抹去的风险，赌一个和Sarah平稳过渡到下一阶段的可能性。用炸药来脱离现有循环是个很妙的隐喻，或许每一段面临进化和改变的爱情都是一场豪赌，按下按钮的一刻，要么在爆炸中无坚不摧，要么，让之前已经打造好了的那个自我，连同这段感情一起化为灰烬。 作为一部短小的爱情喜剧，《棕榈泉》所展现出的爱情观是异常成熟的。爱情可以是认清自我后得到的锦上添花，可以是关于牺牲和冒险的愿赌服输，但它绝不可能是拯救，不可能是人生最重要的意义或是一切问题的终极答案。棕榈泉里的循环，似乎只是一段无法持久的甜美假象，而脱离循环之后，才是真正爱情的开始。  如果跳出Nyles和Sarah的关系之外，把远在尔湾的暴躁老兵Roy也拉进讨论之中，棕榈泉的一日循环就从亲密关系的隐喻，扩大到了对于人生的点评。这场沙漠中的时空循环似乎是无形的三间单人牢房，是为三人各自打造的私人订制轮回炼狱，而逃离苦海的方法，也只能由他们独自寻觅。 最终Sarah清理了身后的劣迹，承认了妹妹的善良并献上祝福，Roy在家庭生活的宁静中平息了愤怒和放纵，而Nyles，也找到了他在意的人和为她冒险向前一步的勇气。所以，Nyles在开篇发表的“我们不孤独”的演讲，似乎不算准确，但又近乎真理。三个人虽然都是向内地找到了解决自身问题的解法，但最终，仍然是要走回到爱意与人群中去。 但是，（可能因为我过于悲观），在两个披萨游泳圈终于拼到一起的美好结局背后，Nyles话语里的悲凉感却始终萦绕不去。比Sarah多经历了可能上万次循环的Nyles，似乎早就看透了人生的本质，棕榈泉也好，尔湾也好，婚姻也好，一夜情也好，世界充满了大大小小重复的时间循环，那里有更多让人无能为力的无意义，有更多让人想逃避的谎言和错误。  所以，虽然度假胜地棕榈泉比冰天雪地的普苏塔尼气候宜人阳光普照，《棕榈泉》其实是部更暗黑更成人的《土拨鼠之日》，并不是一心向善自我成长后，就一定能得到救赎迎来春天。在这样hard模式的人生设定下，我们能做的，只有从直面一个错误或者找到一处意义开始，逃离一个小循环，再陷入一个更大的循环之中。 不需要什么解救或者终极答案，只要人生因此而变得""less mundane""，就已经算是非常了不起的胜利。因为沙漠永无止境，而沙漠中的我们，必须找点乐子。",66.0,5.0,14
1,1,30487597,棕榈泉,bf50443a25c7082cd3d08e29897b1e16,c3add76f74dbf45da4d456333c592574,2.0,2020-07-16 13:29:20,大家能不能帮我解释一下这部电影最后的量子物理逻辑 -  结尾的时候Roy还留在loop空间里，男主离开了loop，然而Roy还是遇见了另一个男主，只不过这不是同一个男主了。 那么女主实验的时候，炸掉的那只羊是离开了loop，可是对男女主来说不应该也还有一直羊在loop里吗，只不过这也不是同一只羊了，为什么loop里会没有那只羊了呢？ 挠头。,14.0,8.0,29
2,2,30487597,棕榈泉,44cd895a1057b542f3328d18078da08b,980c895bf434bfdbe599abd09434ca16,4.0,2021-04-06 10:22:05,《棕榈泉》是近段时间看的最让我感动又可以反复回味的电影，虽然在文本的核心上，《棕榈泉》依旧是《土拨鼠之日》开创的老掉牙的破烂旧梗-Time Loop，在形式上是无聊的无聚焦，在镜头语言也就是规规矩矩、板板正正，明眼可见的无甚新奇，但这样平实的叙事讲述出的故事着实是非常有现实意义的。 “我们生来迷惘”！！！三表哥在开篇的婚礼戏上这样动情地致辞道：“然后，得到救赎。但是我们依旧迷惘，而在这样的黑暗之中，曙光出现......而后你，站在比在座所有人都迷茫的十字路口之上，也许这让你很害怕，让你满腹疑惑，但请记住，你并不孤单，在这的所有人都是你的家人，我们就是你的世界，当你实现你最疯狂的梦想之时，我们都会兴高采烈地为你欢呼，所以各位请举杯，我们或许生来迷惘，但是现在，得到了救赎。” 这番在彼时氛围中，确实很让人欣慰的感言，似乎只是在诉说着一对即将步入婚姻的夫妇，他们携手迈进未来，彼此相互帮扶，从此不再孤独与迷惘。相濡以沫的情感，仿佛一下子把人从一个游离的状态提升到了一种聚合的状态，这在已然逐步被各种“先锋思潮”解构而后重新构建的现今社会下，成为了某种一听到就将信将疑的神话。      而后转头之间，老妈与三表哥之间的对话，就戳穿了这层神话脆弱的外壳，而这在老妈也不得已地被编剧的大手推进了与三表哥一起的Time Loop里面后，两个人体现出的就差不多是现代世界中，标标准准的现代人模样：他们不同程度的虚无承认生命没有什么意义、极其重视不同情境的体验、不太重视抽象的价值共识而选择尊重内心的私有体悟，看重物尤其信仰物，追求所谓真正的解脱与美好的生活但并没有方向、短瞬地接触后就想快速逃离却又因不得不的文本设定而面对彼此等等..........两人的相似与相近的背后，仿佛有某种“现代标准性”，这种现代性标准能不能找到某些共通的性质和曾经的出处呢？ 答案显然是肯定的，这就是卢梭描绘的图景：原始的小岛，岛上没有工业社会与随之而来的精神压力与财产私有带来的无尽欲望，岛上的原始人们，每天的生活就是简单的吃饭睡觉，唱歌跳舞，日出而聚集欢笑娱乐，日落而归去了无牵挂，每个人靠自己就可以满意自足地过活，每个人都自我怜爱而不需要他人援手，这些野人就是的所谓“高贵的野蛮人”。 卢梭的这番论调，当然首先是对他的自己人生经历的所指与期盼与目标，不过在今天，现今世界的现代人们，也无不可能在争相作一名“高贵的野蛮人”，追求自给自足；告诉所有人自己有社交恐惧、说话障碍；对不守规则的人极度讨厌，相信一套社会愿景的崇高叙事；告别恋爱，约人或花钱解决性焦虑，想着有朝一日飞黄腾达找女朋友或男朋友可以轻而易举；最想赚够钱，然后远离所有人，今天涨工资，明天第一件事就是自己出去租房或买房等等等.........上帝已死后的平民社会中，不需要什么深刻的真理、外部共识、律令，遇到障碍、遇到问题的人们，最想先问的都是自己，每个教人“有效社交”、避免无价值沟通、时刻颠覆你认知体系的狗屁知识付费、情感论坛、心灵导师都在教你Know Your-GOD-DAMN-Self，那么孤独自爱还真就有可能是现代人的自然状态。 如同电影中的三表哥和老妈在电影开始表现的一样，他们会不再思考，或讨论活着的意义，因为唯一能活下去的方法就是接受现状，活着的意义就变成了活着本身这样无意义的事情。 但真的会有人从来不思考吗？真的所有人都会接受孤独自爱的状态吗？真的没有人不去尝试追求美好生活，且追求能够温和地达成它吗？答案当然会是否定的，就像永恒循环一天中的三表哥和老妈，他们探究演绎发现对现状逃离无计可施，他们也只能逐渐真诚地对待彼此好似世界只剩下两个人。所以“奇怪”的事情发生了，在这种无法逃离的Time Loop，三表哥和老妈这两位孤独自爱的标准现代虚无个体，居然逐渐产生了爱情，好似慢慢迈向了美好的生活，又瞬间分崩离析。而或许也正是在这种极端的假定性中，我们才能看到，削减到最基本模型的最小二人社会中，面对交流，真诚是基本道德条件，生存基础是理性算计，现代孤独以此起始，也以此为终，人与人以陌生人作为前提，而最后以一个孤独的个体死去。这或许才是现代人的真正的自然状态，一个以陌生人为根本假设的人与人共处的流动性社会。  回到对于美好生活的追求，身在Time Loop，如同身处正常时间流中一样浑浑噩噩的他们，或者身处电影之外的我们一样，改变会是方法，逃离Time Loop会是出路，在这最后的尝试之前，老妈和三表哥都做到了不封闭，真心地关照彼此，爱人更甚爱己，他们彼此依存不分离，此时的孤独自爱早成为一种不能再被忍受的非自然状态，而互相依存成为新的自然状态。而这，就在老妈和三表哥相拥而吻，原地爆炸后，仿佛没有逃离Time Loop失败般，二人游躺于泳池之上，也早已解开了所有心结，淡然处之，电影没有拍到他们离开棕榈泉，因为离不离开早已没什么打紧，也已经不再重要。 迈向美好生活、建立亲密关系真正重要的感觉在此时当然会存在，且真正重要的感觉一定会是在长期的感受之下产生的。重要的感觉，不会是在你身心俱疲，扔下背包来场什么狗屁的“说走就走的旅行”中产生；也不会在你与陌生人谈论未来可能会有多惨时充满激情、控诉价值已经有多崩坏时慷慨激昂、对奔溃充满想象力时天马行空后，喝一杯40块的星巴克卡布奇诺，并向非洲捐助了10块钱时产生；也不会在一时冲动的脑内多巴胺和性器官的兴奋与加速心跳的肾上腺素，或者心理学上狗屁的“吊桥效应”，5000块现在打折到2500块的底层逻辑、有价值社交，甚至额外优惠送你的教你说话的倒灶狗屁课程中产生。 别忘了，生活一直在此，活在当下是不得已的选择，未来是憧憬但不要让其成为枷锁，回顾过往到现今或许生来迷惘的我们，不要再去孤独自爱，不作高贵的陌生人，救赎之道，就在你我不再孤独自爱的实践之中。  Forever and Ever9.2Demis Roussos / 2013,7.0,,2
3,3,30487597,棕榈泉,ef2302d79962eb4be5a2e9de37f17dcc,f0079fb04832a48237e84778d2ccdf45,4.0,2020-11-28 11:04:57,时间旅行电影大体可以分为这几类： 《土拨鼠之日》类型，同一天无限重复：《破日》《一天》《棕榈泉》《忌日快乐》《明日边缘》《轮回派对》《超时空传输》《领袖水准》 《黑洞频率》类型，与过去的人通话，改变历史：《信号》《电话》《海市蜃楼》《时间脱离者》 《终结者》类型，通过时间机器回到过去：《信条》《时空线索》《十二猴子》《九回时间旅行》《前目的地》《现在去见你》 《神的礼物-14天》类型，也是回到过去，与《终结者》类型的区别是：终结者是肉体回到过去，可以与小时候的自己在同一时空并存。神的礼物则是魂穿，现在的网络穿越小说全都是这种类型。 还有几种类型的杂交体，如《蝴蝶效应》，有限次重复+魂穿，而且不是完全的魂穿，有点类似《黑洞频率》的那种。 =========================================================== 本片杂想： ★知识改变命运 ★一开始的时候觉得女主长得像个猴子，真丑！后来慢慢适应了才觉得长得还行。 ★真乱啊，新郎和大姨子上床，男女婚礼主持上床，女主早上在新郎的床上醒来晚上又上了男主的床，男主不用说了，婚礼现场的女人男人下至18岁上至80岁通通上了个遍。。。。。。。。,16.0,1.0,5
4,4,30487597,棕榈泉,87fe86d0804ff5d189452bf593b6f8c0,1a96733b002b94e585a9f88e4b4fc1cf,4.0,2021-03-07 19:17:08,"苏莫很喜欢时间循环电影。 自从1993年的那部《土拨鼠之日》起，时间循环类电影时不时就会跳出来一部。并且这样一个设定可以包罗万象——  科幻片有《明日边缘》、《源代码》 惊悚片有《忽然七日》、《恐怖游轮》、《忌日快乐》 犯罪片有《罗拉快跑》 今天要说的是爱情喜剧片《棕榈泉》，是这个类型里的最新成员，好片指数75分，不但没给前辈丢脸，竟然还玩出了那么一点新意。  01 Nyles陪着女朋友参加一场婚礼，可娘家人婆家人他一个都不认识，还阴差阳错的钻进冒着红光的山洞，从此被困在了这天。  重复过了很多次后，他对这天了如指掌，即使知道女朋友绿了自己也不再计较，只是每天换一个女伴再把她绿回去。 这天新娘的妹妹Sarah跟他一起钻进了山洞，常规的单人时间循环变成了双人循环，故事变得好玩了起来。  02 的确看过很多同题材的电影，但只要是时间循环电影，苏莫还是会去看。无他，只因为这个概念真的很吸引人。 真实世界之所以不可爱，是因为有边界，不可掌控。 人之所以活得压抑，是因为所有行为都有后果，周围人的评价会给你巨大的压力。  自从《土拨鼠之日》开宗立派以后，这么多电影不厌其烦的套用时间循环，就是因为此设定能完美的解决这些问题。 但被困住也不是没有缺点，就是你无论做什么，都不会有结果。就好像是一个无法存档的游戏，无论打得多好，退出后都只能从头开始。 这么过一年半载还行，要是永远下去还挺绝望的。 那这个节奏就特别适合写剧本：前段放飞自我，后段厌倦和绝望，直至推向高潮。  我是最爱看“放飞自我”这一趴，比如《明日边缘》里阿汤哥直接滚到轮子底下去；或者《忌日快乐》的反复自杀；还有几乎每部循环电影都会有的，提前预知未来，把周围人吓傻。 但是跟很多电影主角不同，如果我被困在同一天，绝不会试图打破循环。 所谓一花一世界，一叶一菩提。一天看起来很短，却有无数种活法，有无数的细节。 反倒是现实世界有各种牵绊，即使生活不停向前，反而是更不自由的不停重复。 小伙伴们会如何选择，也可以来一起聊聊。  03 《棕榈泉》首先是一部合格的时间循环类电影，该有的桥段都尽职尽责，不会失望也不会惊喜。 但是有两个特别的点让这部影片与众不同。 一是《棕榈泉》2020年1月份参加圣丹斯电影节，首映后广受好评，被Hulu和Neon两家公司斥巨资（1750万美金）买下了发行权，创下圣丹斯史上最高成交记录。  二是电影出现了多人时间循环，Nyles、Sarah和Roy对于被困在当天表现出了三种不同的人生态度，也是《棕榈泉》相较同类型影片更进一步的亮点。 但要说电影有多了不起也不见得：1750万美金不是什么天文数字，打破成交记录跟圣丹斯是独立制片电影节的定位有关。 再就是近年流媒体竞争激烈，热钱源源不断涌入。竞价的公司多了，成交价自然水涨船高。  而且《棕榈泉》小体量爱情科幻喜剧的类型，比起深沉的小众独立电影要更合流媒体平台的口味。 这与之前爱优腾抢片源，影视资源成本飙升是一个道理。并且没花多少钱打造一个“史上最贵”的标签，算是不错的拉新手段。 这也是中小制作独立电影的一个红利吧，等美国流媒体平台“三分天下”后，想拍出这样的价格就难了。  04 说回到电影，“棕榈泉”是一个世外桃源的存在。 特别是婚礼这个场景，本来就是一群人聚在一起，从日复一日重复的日常生活中逃出来喘息的机会。 所以电影一直给人一种轻松的度假感觉。 也因为设定让观众太耳熟能详了，那些反复试探世界观的冗余内容完全没有，女主跟观众一样，用最快的速度就适应了循环的世界。 电影转而专注于Nyles和Sarah的成长和恋爱观来。  Nyles单人循环的时候，勾搭过Sarah无数次，但没有一次深入的认识这个女孩。 倒是双人循环后，Nyles才爱上了女主，可见没有灵魂的勾搭是多么肤浅。 爱情电影自然少不了女性视角，Sarah刚开始的爱情观极不成熟，才会做出勾搭姐夫的傻事来（电影里的勾搭关系特别混乱）。 可随着他们的成长，片尾又变得相当成熟。 我以为Sarah肯定会在婚礼上自曝与姐夫的勾搭关系，没想到《棕榈泉》的处理举重若轻，没有把大瓜完全引爆。  生活继续日复一日，抓马不是主调，平淡的重复才是。被困在棕榈泉的那天倒显得最不无聊，要到哪里说理。
 05 “时间循环”电影排行榜的片单已在我脑中成形，过几天盘点一下。（END）",2.0,,0
5,5,30487597,棕榈泉,9880b6f3ac7bebb3116e573991fcf34d,899d5f5ec82a7a163aa2ab3cbe8d4a51,3.0,2020-07-19 23:53:38,今天就是明天，明天也是明天。 老实说这个设定也太爽了吧！不用担心自己变老，也不用担心会死去，一天结束后，我又回重新开始昨天的生活！天呐，居然有人会厌倦，我真的好喜欢这个循环。 我可以在这一天做我这辈子都不会做的事，尽情放纵自己！ 我是真的爱你啊，才会想要回去，想和你过平常的日子！我厌倦了这样一天一天循环的日子，也许我们会结婚，会有小孩，陪孩子长大，一起慢慢变老，可是在“棕榈泉”里，这些我们都做不到。,5.0,,1
6,6,30487597,棕榈泉,6ccc309fe3fae4162b361118559d1c35,f114b7fe0214a94f510539128c60532c,4.0,2020-08-09 20:47:03,"我们生来 We are born 迷惘 lost. 然后得到救赎 Then... we're found, 但我们还是迷惘对吧 but we're all just lost, am I right? 天啊 OhmyGod. 然而黑暗之中 However, in the darkness 迸发光明 comes light. 塔拉●安妮.怀尔德 Tala Anne Wilder 和亚伯拉罕.尤金. 特伦特 施利芬 and Abraham Eugene Trent Schlieffen, 长得一点都不像兄妹 who do not look like siblings. 他们的乐观和无私 You see, their optimism, their selflessness, 流淌在血液中 it's in their blood. 还有塔拉 And Tala, 有一件事在座很多人都不知道 there's something that a lot of people here don't know about you, 但应该告诉他们 but they should. 希望你不介意 I hope you don't mind. 塔拉不仅为许多慈善事业 It's not just time and money 献出了时间和金钱 that Tala has given to so many charitable causes, 她还献出了自己的一部分 she has also donated of herself. 骨髓 Bone marrow. 没错 That's right. 一他怎么知道的-不清楚 - How did he know that? -I don't know， 她把骨髓 She gave hers  捐献给了弟弟尼科 to her baby brother Nico, 救了他的命 saving his life. 但现在轮到我们为你奉献了 But now it's time for us to give to you. 你来了 Here you are 站在比在座所有人 standing on the precipice  更加高耸的悬崖上 of something So much bigger than anyone here. 也许这很可怕让你满腹疑虑 And it may be frightening and flled with doubt. 但请记住 But always remember: 你并不孤单 you are not alone. 在座所有人都是你的家人 Everyone here is your family. 我们就是你的世界 We are your world.  当你实现最疯狂的梦想时 And we will cheer you on with delight in our eyes  我们都会兴高采烈地为你欢呼 as you achieve your wildest dreams. 所以请各位举杯 So raise a glass.  我们或许生来迷惘 We may be born lost, 但是现在 but now 得到救赎 you are found. 干杯 Cheers.  ""过去可能存在和已经存在的 ""What might have been and what has been, 都指向同一端点那始终是现在"" point to one end, which is always present.",2.0,1.0,2
7,7,30487597,棕榈泉,7e6671008105d81b41d4c716a2a90a66,8412dd3faedafb8b9a758aebf9e72073,5.0,2021-11-13 23:58:12,本片的节奏、悬疑、笑点都处理得好好，从头到尾笑着看完的。 例如其中一处，男主角大老远开车去到一个社区，跟之前一直追杀他的Roy和解了，准备离开Roy的家时说：“你现在把我杀掉，我就可以避开回城高峰了（因为他死了就会复活循环）”。这理由在剧中很合理，我都笑了。 电影属于让你做了一场逃离现实、奇妙的梦，像《西虹市首富》、《富二代（Холоп）》、《土拨鼠之日》这类。 后来想想，部电影能算是《土拨鼠之日》的精神续作，连核心都是一致的，陷于循环，然后开始疯玩放纵，最后因为爱，离开循环。《棕榈泉》就是《土拨鼠之日》重复千千万万次之后的样子，主角变得豁达地享受在循环。 幻想自己代入其中，其实主角面临的境况很好，在循环之中，除了一众NPC之外，还有一个自己喜欢的人和自己玩，有一个追着自己杀的人，整个环境就是在自己熟悉、可控之中又有点变数，太有意思了。（想想如果是像《土拨鼠之日》的单人循环，日子久了简直是枯燥地狱。） 如果我是主角，在知道有方法跳出之后，也会先把感兴趣的能学的都学了（各学科、技能），掌握一些关键人物的信息以便循环结束之后跟ta认识，把各种危险的、致命的、违法的事情全部都做一遍——毕竟在这里，拥有无限时间、无限复活、不用考虑金钱、工作、不愁吃穿，太无敌了。,,,0
8,8,30487597,棕榈泉,4826cfec4128a5152e52eb6639ba67f7,a583a2a47d3a69f8723943b1ce8ebad1,3.0,2021-03-07 15:34:34,关于男女主角的爱情： 1. 爱情真的很random，遇上了就是遇上了，在男主的记忆里，他和女主ONS过很多次，按理说早就过了爱上对方的电光火石的那一刻了，但也可能因为男主的生活在不停循环，所以即使他想和女主继续发生什么，客观上也没机会。 2. 不觉得他们过回正常时间轴之后会幸福，因为我觉得男主喜欢女主，是因为女主和自己一样，同是天涯沦落人，生活轨迹不停在loop，他们的记忆不止于婚礼当天，他们的记忆是可以一起续写的，而人应该是偏向于喜欢sustainable的东西，好比男主如果喜欢其他女生，那么只要男主睡一觉，对方就不记得他了，那么付出的感情就化为泡影。 其次就是，他们处于热恋期，他们一起经历了很多疯狂的事情，开飞机、坠机、看见恐龙等等，这些在正常世界里是不可能体验的事情，由于这些事情本身很离奇，所以会感觉跟对方在一起经历的时间都变得很特别，会感觉对方很特别、很有新鲜感。但那不是回复正常生活后的样子。 关于自我： 1. 由于女主的生活起始点永远被钉在和姐夫偷情完后的早晨，即使她的生活其实已经离开那天早晨很久了，久到她自己的忘了姐夫在自己的浴室洗澡，但从时间轴上来看，她仍旧被迫和那混乱肮脏的日子紧紧黏在一起，即使遇上男主后，男主让她慢慢相信爱情，变得乐观开朗，但what's done is done，所以在她想起那天早上姐夫从自己房里走出去的时候，她无法接受那样混乱的自我，因为那时候她已经洗心革面了，也于是乎她那么上进要去研究量子力学，因为她真心想走出以前的阴影，迎接崭新的自我。 2. 另外一个视角就是，即使你的生活只局限于这一天之内了，别人对你这一天内的评价，无论好坏，只要你一睡，都会清零，但这并不意味着你可以胡作非为，男主之前可能经历过这种放纵自我的阶段，但最后发现，过日子本质还是过好自己，要自己问心无愧才能舒心、安稳。,,,0
9,9,30487597,棕榈泉,77596d2ba1afd2a04f3870075d0fb4b7,a5e63b86599143bbd8d03f117489db82,,2021-02-27 00:17:04,单日循环的老套路，加之并不出色的评分，让我认为是一篇平淡无奇的周末爽剧，可是好像又蛮有可思考琢磨的地方。男主出场用婚礼的致词吸引了本该去致词的女主。换做现实，会有这么吸引人存在吗，如果存在你的爱情也来了。昨天是今天，明天还是今天。当被一同困于循环往复的一天里，朝夕相处的两个人自然产生感情，不禁想纷繁复杂的现实世界里充满不确定和下一次可能更好的期待，就皆不合适。如果你没得选，那是不是就合适了呢，也许是自我安慰，有可能是真的爱。每天身边都是一样的而男女主试着把它们变得不一样。好似每天平平常常的一天可以因为有期待有安排而过的不一样。生活总需要在平淡无味在有滋有味中作调整，把每天都一样变成有点不一样。甚至在想被困在这个一天内可随心所欲的时空里好像也挺好。每天都一样不见得是坏事，量变到质变的过程，需要无数个稀松平常的小日子为那个心想事成的大日子做准备。可当女主消失，男主的生活变得一团糟的时候，看似尽在掌控之中的淡定哥也焦躁不安，原来生活是因为有另一半的存在才不一样。打问号，真的不一样吗，现实可会鸡飞狗跳。女主问，现实世界几百万人里你还会爱我？世人皆禁不起诱惑和选择。嗯还是女主好好过吧，正如没有你我也能活，只是有了你不会那么无聊。最低的标准达到了。可最后男主勇敢了，不是躲在虚无的世界里继续独自活着而是和女主拼下未知的以后。女主的困惑得以解开，纠结于困惑中只会继续循环往复。回到最开始男主的致词，我们生来迷惘，然后得到救赎，但我们还是迷惘对吧。  看的电影不多可感觉它值得深思。,1.0,,0
