,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,33379643,逃狱兄弟,7077ad0d055a0493e1b1759d5d023e88,19fc5c122992c0f8ea5cd9a0a839466e,2.0,2020-12-05 16:26:33,先说结论，如果你没看过美剧越狱，那这是一部还算能看的电影（吧）。加个吧，委婉的掩饰一下尴尬，搓手手。 如果你看过美剧越狱，这部电影大可不必花时间了。因为它像是越狱的子集，都2020年了，越狱的手法和技术细节还是老一套。没有一丝创新，如果对比越狱美剧的话，甚至越狱动机显得非常幼稚。好像是为了越狱而越狱，彰显自己的胆量。 其中一个懂建筑学的硕士在越狱过程中唯一体现他智慧的是用烧化的塑料加上牙刷柄通过加热再二次凝结做了一把螺丝刀。这纯粹是忽悠没有童年玩火经历的人，只要是小时候玩过火炼制过塑料，确实那玩意儿烧化是可以凝固在一起，但你想通过这就去拧螺丝就有点扯淡了。根本吃不上力。所以揣测导演和编剧在这一情节上完全就是想当然，一个建筑学的硕士没有在更高的战略上部署计划，却在一个并不是多需要智商的问题上展现了一下，就有点砸智多星的招牌，影响人设，原来以为会展现聪慧大脑的学霸力量，结果这个情节以后就觉得是一个废柴队友了。 故事是这样的，三个人各自因为一些事儿进了监狱，就叫他们老大老二和老三吧。 老大之前就是老炮儿，之所以进来是和家人吃饭的时候，老婆嫌周围的保镖在有点尴尬，让保镖们都撤了留点私人空间。保镖们一溜烟儿就全没了，这就很搞笑了，作为混社会的老大，难道没有一两个心腹么？而且保镖就不能在周边隐秘的保护么，说撤就全撤了，这也太没有保镖的责任了。没了保镖那自然是要出事儿的，就像你不开车进自然散养的野兽区一样，那就是找死。于是按照剧本发展，杀手果然出现了。作为观众你一点都不会觉得剧情勾引人，就是一篇平铺直叙的记叙文一样，你能比导演还清楚后面会发生什么，当然也就失去了那份对剧情的好奇心，这跟美剧【越狱】是没法比的，越狱精彩的部分都与前面的细节暗暗相扣，当你自以为是觉得能猜透主角后面会发生什么的时候，马上剧情就会来个大反转，让你跌破眼镜。 女儿被仇家砍杀时候，老大为了保护女儿，反杀了仇家的一个人，镜头一转就进监狱了，作为一个老大这么乖巧的么？你的律师呢，用钱不能摆平么？好就算不能用钱摆平，难道这不应该是正当防卫么？为什么会进监狱呢？影片里没交代，但我觉得这是一个逻辑硬伤。 老大进了监狱以后，因为之前就是老炮的关系，在监狱也逍遥，等于是监狱里面的土皇帝，有一半人囚犯都是他的小弟。日子过的倒也挺快活，但就是心里有一个死结，放心不下女儿，作为一个父亲爱女之心很深，这能理解，但是进去的时候，你不知道女儿死没死么？狱警应该也会告诉你的吧，可是狱警就偏偏没有告诉他。你的关系网络难道这点儿消息都探听不到么。那你这些年也混的太失败了，就这样老大一直以为女儿死了呢，拿了张跟女儿的合影，一直纪念着。偶尔夜深人静的时候回忆一下女儿的小时候哭一鼻子，这段剧情能感受到父亲的温情，但有点牵强。没有交代为什么疼爱女儿，如果说单纯的就是爱，怎么了？也不是不可以，反正就是觉得怪，常理来说混社会的老大不是应该更爱自己风情万种的内人才是么。这一点也是我觉得牵强和奇怪的地方，不能说不合理就是有点怪。情感宣泄的有点突然。 老二就更离谱了，犯盗窃罪进来的，你说盗窃罪的人按理说就是小偷小摸，怎么展现的还是黑帮的那一套，满脸透露着狠劲，不仅能打能抗，身体素质超级好以外，心理素质还很强，哪儿是个小偷么，就像是帮派的第一杀手一样，本来安分守己等待着刑满释放，但老妈突然生病了，需要肾脏移植，他越狱的唯一目的是出狱以后给母亲移植肾脏。。。我愣了，现在做肾脏移植的医院不要身份证的么？随便就给做么？你辛辛苦苦的越狱了，到医院给抓起来何必呢？这一点想不到的么，那也是太傻了，所以老二越狱的目的就不合逻辑，因为你越狱后要干的那件事儿必然会导致你重新进入监狱，这件儿事也解决不了。 老三已经不能称之为离谱了，就尼玛挑战观众智商。他的人设是一个高端的建筑师，除了他的发型挺想建筑师的放荡不羁，其它整部电影压根就没有体现他建筑师的特长，也跟普通人一样头脑简单，书都读到狗肚子里去了。他进监狱的原因是被同事陷害收受贿赂。在监狱里一心想的就是上诉，盼望着法律能重新还他清白然后离开这个地方。就压根没有越狱的动机。 好吧这个监狱还挺热闹的，居然杀人的黑帮头子和盗窃的小偷和收贿赂的建筑师关在一起，这三个人本来是一点关系都没有的，就是因为越狱这件事儿被硬生生的连在一起，有多硬呢？请看导演的这段鬼才逻辑。 老二想越狱要救他妈，自己力量不够呀，就想找个人合伙，于是就看上了被两边人都欺负的建筑师，觉得自己帮过他，应该没问题，在得知了对方是个建筑师的时候，觉得就是上天恩赐给他的队友。老二告诉了自己偶然的洞察，就是维修工人可以从排水道地下通道直达监狱外面的一个井口。让建筑师研究下。这时候神奇的事儿发生了，建筑师告诉他从通风管道走。 脑海里一个大大的疑问，请问建筑师凭什么就知道通风管道可以连接地下管道就可以出去？监狱是他设计的么？显然不是，读建筑专业的人就能懂监狱的构造和布局了？不应该吧。看看美剧越狱是怎么处理的，首先他知道监狱设计图，而且智商很高，但还是怕失误，于是把图做成纹身纹在了自己身上，这样才能说服观众，你对监狱了如指掌。 老二听完建筑师的一通分析就觉得很对，一点也没验证一下，就断定可行，但有个困难，就是通风管的入口区域是老大的地盘，你要想从通风管出去就绕不开老大，老二知道老大的命门就是他的女儿，巧的是老二偷过这个女孩儿的钱包，知道她还没死，于是就想拿这个消息当作交换，来找老大说行个方便，结果老大知道他女儿没死且再过两周就要结婚了，于是不知道哪根筋搭错了想要跟他们一起越狱，就这样三人越狱小组成立。 但你不觉得很扯淡么？小偷拿了钱包竟然还会去看照片，好吧，不仅看了，还会记得照片的女孩儿。以老大的实力和人际关系，竟然不知道自己的女儿没死？而一个小偷竟然知道，真很神奇。 为了让电影继续演下去，只好再一次原谅导演和编剧，硬生生的就当是真的巧合吧。巧合，巧。。。 越狱首先是要路线，竟然是看到有维修工修理通风管道的时候出去了，就判断可以如法炮制进行出去，你不去试试真的这么笃定么？不符合常理，你至少要研究下，或者去实验性，才能确定这个方法可行，你就是简单的看下就确定这个方法可以出去这不是有点太儿戏了，这可是越狱呀，不是简单的下楼出去玩。 确定了路线，那怎么才能到达通风管道呢?对了找钥匙。很朴素的方法是吧。恭喜你编剧就是这么想的。 钥匙，怎么搞的呢，老套路，撞一下警察，然后用橡皮泥成钥匙的模型，这就是典型侮辱警察的智商或者是侮辱观众的智商，犯人平白无故的撞警察一下，警察还一口一个对不起，这不就是荒谬么。这样的警察还能在监狱工作也是真的不容易。 有了钥匙确定了路线，就在一个活动中逃跑了，总之看这次逃跑也是漏洞百出，基本警察就像是傻子一样，监控没有关掉竟然能逃出去，感觉一所监狱的警察不超过10个人，最后去抓他们的时候，监狱长竟然和越狱的人火拼对对碰，这不是很搞笑么。你不是狱长么，怎么还亲自上场了。 最后的最后打倒了狱长，穿过了通风管道，成功到达了监狱外面，只逃出去了一个人就是老大，在出口处接头老大的人竟然是老二的女朋友，按理说没有接到老二，这个女孩儿应该扭头就走，毕竟跟老大没有任何交情可言，基本就是不认识的状态，结果呢，这个女孩儿善良大方的带着老大就逃跑了，老大如期的参加了女儿的婚礼。,8.0,2.0,3
1,1,33379643,逃狱兄弟,75f57a9565b793005ff4666886702b37,2040c8129e64db19dbc27ef20fb7ec44,3.0,2021-07-27 16:19:22,人物： 男主是建筑工程师，因大楼着火，劣质工程，被陷害贪污受贿入狱5年，他是被冤枉的，想要上诉。 刀疤：被判终身监禁，受雇于人，在监狱里阻止男主上诉，让他放弃，否则要杀掉男主。 滚筒：监狱里的大哥，半个监狱的兄弟都是他手下，他的女儿因他被追杀而死。一心放不下女儿。后来，张继聪因盗窃女子钱包发现滚筒的女儿没有死，而且要结婚了。滚筒迫切想要出狱参加女儿婚礼。 张继聪：盗窃被判3个月，因母亲需要换肾，找监狱长请假没有给，一心想逃出狱。 剧情：建筑工程师被刀疤欺负的新人，张继聪带他去认识滚筒，滚筒因大楼着火烧毁了女儿的遗物，要报复男主，张继聪说出了他女儿没死的真相，三人决定越狱，有必须出去的理由。建筑工程师开始准备需要的材料。分析逃出监狱需要走通风管道，在走地下管道。在准备过程中被刀疤发现，刀疤也加入越狱行列，因男主不需要越狱只需要安守本分在监狱等待上诉。滚筒和刀疤、张继聪在中秋节目监狱来检查的时机开始逃狱，在逃跑中途，被卖胶的人出卖，监狱长开始搜寻三人，男主意识到他们可能暴露，在监狱广场惹事引起群殴，后监狱长发现逃跑三人，三人还起了内讧，男主及时赶到打晕了刀疤，监狱长赶来，男主拖住了监狱长，张继聪也关上了房门，一起拦着监狱长，滚筒成功越狱参加了女儿的婚礼，也知道了女儿心里一直想念以为已经死了的父亲，后逃跑的人全部回到监狱。故事中，，家人才是一个人最重要的、最快乐的事。张继聪换肾救了母亲，更懂珍惜母亲和女朋友，滚筒的女儿从国外回香港居住方便时长来看父亲，男主继续等待上诉，陷害男主的人也进了监狱，因为没有把钱给刀疤，还被刀疤找麻烦。所有人都有了生活的希望，在监狱里快乐着，心里有了监狱外亲人的牵绊，希望安分出狱陪伴家人。 解读：无论做什么职业，是什么工作，最重要的是家人，陪伴家人才真的开心，赚钱还是辛苦工作，都不如陪伴家人的快乐。电影就是一种泡沫电影，但是挺有意思的，休闲爆米花。,1.0,,0
2,2,33379643,逃狱兄弟,d1d59be867a017b2ad049fdbcc64a2f2,cf3c56d4da308b159e1a019c056f5640,5.0,2021-06-30 21:05:21,现在都不会写影评了，就算是些碎碎念。 明明说好的喜剧的嘛，怎么剧情那么正。 其实道理好简单，换个角度看苹果，都会觉得不一样。昨天眼里的今天，今天眼里的今天，和明天眼里的今天，也都是不一样的。换个环境，换种生活，你眼中的世界也会不一样。 可即便是这么简单的道理，也没多少能明白，也没多少能做到。 谭耀文怎么越老越像任达华了。,,,0
3,3,33379643,逃狱兄弟,9ab02337bb25f7704f63df061eeb78ba,fc32dcbe43d7d1ab30aed68b8baec79e,3.0,2021-06-14 13:35:28,张耀扬是香港电影中一位非常出名的性格演员，在他的精彩演绎下，《古惑仔》中的乌鸦和《监狱风云》中的监狱长，成为了香港电影中经典度非常高的反派角色。 说到《监狱风云》，就不得不说到林岭东，林岭东是香港已故著名导演，《龙虎风云》、《监狱风云》和《学校风云》组成的“风云三部曲”成为他叱咤香港影坛的经典名作，而张耀扬正是他的学生。  《监狱风云》上映于1987年，由周润发、梁家辉和张耀扬主演，这部以监狱为背景的影片，主要在三位主演之间开展故事，并最终激发了强烈的冲突，影片凭借高水准的质量，一举拿下第7届香港金像奖7项大奖提名，并且成为当年票房排行榜的第二名，由此也引发了一场跟风热潮。 如今看来，《监狱风云》对于人性善恶的挖掘是深刻的，而且林岭东非常高明的在观众心中点燃了仇恨，最终在周润发的反抗中使得仇恨得到了很好的宣泄。 当33年后，45岁的导演麦浩邦推出他的力作《逃狱兄弟》的时候，他是想要打情怀牌的。 《逃狱兄弟》由谭耀文、张继聪、柏天南和黄德斌主演，如果与当年的《监狱风云》相对应的话，张继聪对应的就是周润发，柏天南对应的就是梁家辉，而黄德斌对应的就是张耀扬。  并且影片的故事模式也与《监狱风云》如出一辙，柏天南饰演的建筑师麦建天含冤入狱，进入监狱之后等待他的就是潜规则式的“新人礼”，各种虐待接踵而来，这时张继聪饰演的老油条陈浩正出现了。 作为熟悉监狱内部各种潜规则的陈浩正，出于对新人的同情，在很多事情上对麦建天非常的照顾，提醒他什么事情可以做，什么事情不可以做。  麦建天想不到，监狱外的江湖恩怨同样也可以跟随到监狱内部，所以当谭耀文饰演的滚筒想要见到自己的女儿，陈浩正想要救急自己的母亲，麦建天则要逃离黑暗的监狱，三人合谋越狱。 至于越狱的桥段，非常的普通化，非常的模式化，而且与几年前丹尼尔·雷德克里夫主演的那部《逃离比勒陀利亚》中模仿造钥匙的桥段非常的雷同。  而且整部影片也不具备《监狱风云》中所营造的紧张的矛盾氛围，黄德斌饰演的监狱长，如果跟当年的张耀扬相比，本身的暴戾气息真是相差太远了。 很难得，如今香港电影还能够追寻到多年前经典电影的气息。 很遗憾的是，霸气早已不复存在的香港电影，很多影片不得已选择直接线上播映，《逃狱兄弟》也是其中的一部，很可惜这次的情怀牌，打的有些烂，并未激起水花。 况且，没有了周润发、梁家辉和张耀扬，监狱如何再起风云？【END】,,,0
4,4,33379643,逃狱兄弟,04375cd628ea07da320ffec7c5b9e967,d391fa122147bc63a5791d7a1d0f38e4,,2021-04-05 00:59:43,我以为我穿越了，这个监狱场景和《反贪风暴4》一模一样，台词也一样“年轻人最好的出路是坐牢” 好几个剧情也一样…… 监狱长请喝茶 在通道里开锁 浴室斗殴 探监的对话场景 演员阵容也类似，感觉就像《东成西就》和《东邪西毒》一样，一个片子拍摄过程中趁着人齐赶紧拍个别的😂😂 不过谭耀文演技很在线 这里问个反贪风暴4的问题，最后黄sir故意把古天乐卧底身份告诉富二代，后来也证实这是古天乐计划中的一环。那为什么警方还迟迟赶到，古天乐都要被团灭了才来。不是应该早早重兵把守，瓮中捉鳖吗？？？,1.0,,0
5,5,33379643,逃狱兄弟,3c6d36b7d36f69322e1ebc72df385e38,d33c14d7c10c6a3c4277c0fcfab523cc,3.0,2021-04-03 09:30:36,"



  
     《越狱》、《监狱风云》、《肖申克的救赎》…… 太多关于监狱的电影。 奇怪的是，但凡这类的电影，监狱里头的囚犯都有一段“伤心”的往事，而监狱长必然是“坏透了”。
 毕竟有太多的故事可以借鉴，所以电影的故事讲得也相当的轻松。
 小小的监狱，折射出外面的世界的纷繁。 谭耀文是个悲催的黑社会老大，在监狱里头自然有相当的地位，但奈何有勇无谋，乖乖在监狱里头盘着，至于外面的女儿，只能存在于想像中。 栢天男是个“聪明人”，但聪明反被聪明误，说是被朋友陷害其实有点勉强，自己在这件事儿上，也没那么清白。
 这俩八竿子打不到一块儿的家伙，需要一个“调剂”的人物，这个人就是有点发福的张继聪，话说，外面的世界压力太大，还是监狱里头舒服些。 这为了“轻松搞笑”的一句话，说起来咋就那么心酸呢？     故事的结局，皆大欢喜。 谭耀文终于见证了自己女儿的婚礼，哪怕是回到监狱再多蹲几年，也是值得的。 张继聪也得偿所愿，但做过的错事，也是需要好好补偿的。 栢天男也算是报了仇了，有老大撑着，昔日的同事+仇人，终于落到了自己手中，一顿“杀威棒”是免不了的，权当出了口恶气。
     黄德斌就有点悲催了。 向来这种类型的片子里头，监狱长都是“反面典型”，黄德斌也无可奈何。 别人只是到监狱走个过场，总有出去的一天。而他，却被监狱“关”了三十年。仔细想想，确实是这样，又有哪个不是被生活“监禁”？无望挣扎，却又找不到出口。
 他的“倒霉”，是恰好挡在了“逃狱兄弟”逃狱的路上。",,,0
6,6,33379643,逃狱兄弟,763bdf2d7ada5c8f02425b699fbd6d34,f87567f2159b425795ebb7ba9bc406ec,3.0,2021-03-12 17:01:08,"《逃獄兄弟》是難得一見以逃獄為載體的窩心喜劇，它既保留傳統逃獄電影中機智的逃獄小智慧和詭計，描繪如八十年代港式監獄電影兩肋插刀的兄弟情，不同團體間的爾虞我詐、勾心鬥角，又有因誤判而鋃鐺入獄的主角不畏強權尋求公義，類似舊式港產片九十分鐘中塞滿琳瑯滿目的元素，保證故事的豐盈時刻抓緊觀眾眼球。

電影以外來因素的即時性驅使兩位男主角必須短期內離開監獄，當中牽涉的兩段親情故事不乏感動位，雖電影走馬看花地揉雜大量元素以致部分情節頭重尾輕，逃獄的方法甚至簡單明瞭，缺乏驚喜或任何精密的計劃，但這套低成本製作的電影明智地選擇以逃獄作為載體，擯棄更為吸引眼球的逃獄大計，回歸到塑造角色本身，把片中的兄弟情、親情淋漓盡致地共冶一爐，藉由監獄之旅反思人生與成長，以黑色幽默中揭示非親兄弟的忠肝義膽，流露舊式港產片的人情味。

譚耀文飾演的滾筒多年前為保護女兒而出手攻擊黑幫，鋃鐺入獄多年誤以為女兒已逝世，得悉女兒尚在人間並即將舉辦婚禮，不假思索便決定逃獄赴會，縱然故事轉折略顯刻意未經仔細打磨，但勝在情感真摯起預期效果，譚耀文鮮活演繹夾雜於兩種身份衝突的矛盾與內心交戰，在嚴寒冬日流淌一絲暖意。

電影保留傳統監獄電影獄友們先不和後團結抗衡體制的意圖，獄長機警地平衡兩派的威望與勢力，面對爭執時獄長建議獄友私鬥了事，保障監獄內的不和瀰漫，獄友們後來為自由、為家人鋌而走險選擇逃獄，以外來力量驅使兩派不期然地合作，情感轉折過於順理成章，而這個目標導向的「團體」缺乏情感支援下隨時頹垣敗瓦，保留獄友的對抗與打破體制被迫合作的矛盾。

低成本的《逃獄兄弟》在短短九十分鐘內呈現逃獄、不由自主的身份矛盾、情感複雜的親情故事，以逃獄為主線展現角色的情感糾葛，從不和到合作的情感置換，是套及格的港式窩心喜劇。

評分: 6/10",,,0
7,7,33379643,逃狱兄弟,9c085cf49c62c905fd1d4260a3337969,92ebf0ababf802d576586e7b62fa7159,4.0,2021-01-22 22:02:03,"2020年的电影《越狱兄弟》中，监狱，对人们来说是一个神秘的空间，光是这个名字就让人眼前一亮。

        监狱里的人失去了人身自由，不能和亲人呆在一起，所以他们更关心自己的安全，更加依赖他们。
        滚筒，是监狱的大哥，他心中的痛，是他的女儿。一开始，他以为女儿死了！

        谁知，狱友浩正是听到这个消息，鼓起了女儿，还活在这个世界上，而且已经大学毕业，并将在中秋节结婚。

          这个消息让鼓很兴奋！
         他要去参加他女儿的婚礼！

         浩正因盗窃罪被判刑三个月。在此期间，他的母亲生病住院，急需他的帮助。然而，监狱长拒绝浩正出狱救助母亲的请求

         这让弘原很伤心！

        于是，郝政萌生了逃跑的念头！
        还有一个麦建天，他是一个建筑师，在监狱里被别人冤枉了！他一直在上诉，他要推翻它！

        于是这三个人结成联盟，开始计划越狱。

        三人的越狱计划一步一步实现，越狱是基于麦建天的专业知识。

        逃生计划的准备并非一帆风顺，其间，为了完成逃生计划，他们三人拿到了钥匙，甚至连他们的行为都被监狱长发现了！监狱长监视他们，他们的计划几乎被发现了。         为了逃走，滚筒还和刀疤还进行了生死较量。

        最后，作为最后的手段，他们接受了刀疤的提议。

        滚筒和浩天可以坚持，因为亲情的力量。

        滚筒多想见他的女儿！他的女儿要结婚了，而他，父亲，却无能为力？现在他能做的就是去参加他女儿的婚礼。。。

        去女儿婚礼的路被一堵高墙堵住了！这是一条艰难的路！

        对浩天来说，时间就是他母亲的生命！在监狱里再呆一天，他母亲就有危险了。他要去救助母亲！

        亲情，是割不断的！亲情，也是一个人心中最柔软的部分；亲情，也是一个人为了它不惜付出一切。

         所以他们为了亲人越狱了！         许多观众在这部电影中发现了久违的“港味”。说句公道话，这部电影不是一部杰作，甚至有点平庸，但它所带来的感觉包含了整个“港味”。

       《越狱兄弟》将人物的情感和复仇融合到最后的兄弟情谊中，使整部电影上升到一个更高的层次，进而回归到角色本身。

        这种情感的牵引使人物的情感更具韧性，也使人物更加鲜明。

        在故事背景方面，《逃狱兄弟》模仿了香港经典电影的监狱情节，并在制度内部安排敌对帮派，造成了一个非常小的空间的巨大冲突。

        在冲突的基础上，加入了暴力和复仇的元素，使平凡多变的情节更加富有创意。

        影片最后，三人都以各自不同的方式实现了自己的愿望，被认为是最完美的应对方式。         如此热情的对待不仅提升了价值观，也引发了深刻反思。

        当然，《逃狱兄弟》们并不像当初介绍的那么完美。从豆瓣的6.0分来看，它的劣势依然明显。

        首先，逻辑不合理。滚筒因为保护女儿不小心杀了对方，结果被出卖入狱。

        按照正常的故事推理，滚筒的行为应该是正当防卫。这样的情节设置让滚筒为女儿感到愧疚，但也失去了影片的说服力。

        其次，陈浩是偷钱包刚认识了滚筒的女儿，这种强迫制造的逻辑实在有点牵强。

       此外，越狱期间，监狱的安全防卫被“简单化”。

        一个井盖可以很容易地用来逃生，虽然中间有几扇门和一个通风口，但与美国电视连续剧《越狱》的情节相比，导演和编剧的思路太小了。

        作者曾经在监狱里采访过一个囚犯。在经历了整个安全过程后，你会发现几乎不可能从里面逃脱。

        监狱就是洋葱。囚犯住在洋葱屋里，周围有层层的安全措施。

       总之，《逃狱兄弟》还是有很大的惊喜！值得一看！",,,0
8,8,33379643,逃狱兄弟,5020ebf2487f6d076dac92b00218f8ef,92ebf0ababf802d576586e7b62fa7159,4.0,2021-01-22 14:59:16,"监狱永远是鱼龙混杂的地方，有因为想要逃避当儿子责任的小偷陈浩正、有被人陷害而含冤入狱的建筑师麦建天、还有因为保护自己女儿的狱霸滚筒哥。三个背景迥异的人，却因为一个共同的信念——想要从这座监狱中逃出去。就这样，我们的故事开始了。

        这部电影让人印象最深的，是角色的塑造。以及他们代表的人性。
         一进监狱，就意味着失去了人权。没有人会顾忌你的想法。有想法的，只能是监狱里的管理者。

        邓监狱长在监狱中干了已经快三十年，长时间在监狱中，无法出去。让邓监狱长的心理发生了扭曲，对于监狱里头的帮派斗争、新人进入监狱被打、犯人在监狱里头被欺负他都视而不见。

        即便是正常提出保释要求都会被拖延。只有看到监狱犯人对自己权威的畏惧，才能让邓监狱长感到满足。小偷陈浩正因为偷窃，判入狱三个月。在这期间，陈浩正的母亲突然患上了肾衰竭。陈浩正向邓监狱长请示，却得不到批准。

        出于怨恨，陈浩正开始了他的逃狱计划。

        当有人落难的时候，你最好帮他一把。因为，你总有需要他帮助的时候。小偷陈浩正为人圆滑，只要在监狱中能帮助别人，他一般会出手。建筑师麦建天刚来到监狱的时候，很多人都欺负他。只有陈浩正帮助他。为了让麦建天能够在监狱中活下去，陈浩正将麦建天引荐给监狱中的另外一个老大。可惜，这个老大也是麦建天的仇人——认为是这个人，不负责任，引发了火灾。烧了自己女儿的遗物。

        幸运的是，陈浩正一次无意间偷了一个钱包。这个钱包是狱霸女儿的。在陈浩正的协调下，狱霸和麦建天和解。并成为了朋友。为了去看女儿的婚礼，狱霸和麦建天决定与陈浩正合作，一起逃狱。

        这部电影没有过多的情节，它好像是给人的一场洗礼——陈浩正通过这次逃狱，慢慢地体会到，自己作为一个儿子的责任。狱霸通过这次逃狱，看到了女儿的婚礼。从此决定真正脱离以前的生活。 
 谭耀文、张继聪、栢天男、张建声等主演，讲述一场惊心动魄的越狱故事，各人埋藏著各自的逃狱理由，为达成目标众人要放下成见联手合作。 导演: 麦浩邦
编剧: 黄子桓
主演: 谭耀文 / 张继聪 / 栢天男 / 张建声 / 黄德斌 / 何佩瑜 / 陈汉娜 / 泰臣 / 黄祥兴 / 伍咏薇
制片国家/地区: 中国香港
语言: 粤语
上映日期: 2020-12-03(中国香港)
片长: 90分钟
又名: 逃出行動 / Breakout Brothers",,,1
9,9,33379643,逃狱兄弟,697ea0c77e47bbcea3091a24f349fd10,36bce47c423d49fa983468c11f57e8a7,1.0,2020-12-20 00:30:35,故事情节：漏洞百出的剧情+毫无斗智的越狱 演员表现：几位主演倒是尽力在把这个无聊的剧给撑下去 电影前20分钟有浓烈的港片风格，看起来剧情撑的很丰满，分别从多个角色去铺垫剧情。然而从灵光一闪的越狱大计出现，瞬间崩塌成廉价网剧。最终港式风格还是压不住廉价的网剧风。 稀烂！这部剧从头到尾看下来，犹如一场灾难，除了谭耀文，不知道在看什么。总之千万别踩雷。刷好评的良心不痛吗……这部剧也就比六老师的财迷强一丢丢,1.0,4.0,3
