,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,33392524,鬼吹灯之龙岭迷窟,2b6ea07e1e5313d734fde09a7ef1f907,e15d7cda38b0aad76fc81d6ce18e7fd7,1.0,2020-04-03 13:07:41,1. 演员： 主演硬是把胡八一演成了油腻痞子，斜着头耍帅说话只动半边嘴角，和演员之前的角色有什区别，演技的短板就是一大槽点；女主的选角与另外两位主演年纪就不协调，过于稚嫩，有如女主的演技，眼大无神，表情单一；而胖子，全场瞪着铜铃般的大眼睛，面部表情极度用力，生怕观众不知道他在演戏，从出场尬到结尾。 2. 剧情：如果是合理的改编，不破坏原著大结构的话，相信鬼吹灯拍成电影是可以很出彩的。但是这部网络电影张冠李戴，打着龙岭迷窟IP的擦边球无下限地魔改，乱搬乱套，过度对原著商业消费，真的十分恶心。 3. 制作：无尽的抠图，显而易见的棚内拍摄，连卖护身符的场景都要抠图，请问剧组是见不得光所以不敢出门吗？对比同期的网剧实实在在地外景拍摄、精致到细节的服化道，真的看不出这部电影的诚意。如果只因为网大的身份而对电影粗制滥造，那么真的不如不拍。,55.0,1.0,17
1,1,33392524,鬼吹灯之龙岭迷窟,4199bb8af69e0d967c864d9375bdd02f,c702a0b20b19564875dfe9bb0f66cdf7,,2020-04-02 23:30:05,我还以为这电影得多牛逼才能和剧版正面硬刚，没想到是蹭热度的。 这个艹蛋的配音，这个艹蛋的bgm，这个艹蛋的特效，这个艹蛋的剧情。 为什么胖子成了一个类似于猪八戒的角色……为什么胡八一和雪莉杨像初中生一样羞羞答答地调情……为什么里面每个人都像脑子瓦特了…… 这一切都是为什么…… 最牛逼的就是最后片尾打上一行字：胡八一举报了持枪团伙的其他成员。 我吐血三升。窝心肝啊…… 看完之后我觉得其实我才是啥b吧，这种东西都能看完……,47.0,1.0,14
2,2,33392524,鬼吹灯之龙岭迷窟,7665706b012af847748e025d82c8bf18,9facbf452def2d7efc5b5c48cdb837fa,,2020-04-25 23:13:25,豆瓣这样智能地将烂片扎堆 放在一起，也是方便于那些真粉啊，一排都是五分以下的电影，也是厉害了。本来看完老潘版之后，一时好 奇便在优酷打开了这部电影，尼玛的，看了五分钟不到就关了。简直就是一部随心所欲得不能再随心的电影，难看是一回事，我都怀疑拍这电影就是为了洗钱的。有哪个演员与原著角色里有半分相似的，还有情节安排得莫名其妙，总之就算你真的很有时间，也没必要看这部电影，不是对演员的不喜欢，而是对这部电影的鄙视。,7.0,,1
3,3,33392524,鬼吹灯之龙岭迷窟,72308289baca43d6a107579c20922ab5,3d2fc7fa2be109d044c0533d37b7449c,1.0,2020-04-15 00:22:13,文/好饭娱乐 进入4月，老IP“鬼吹灯”再度火了起来，成了网友讨论的热点，起因是4月1日由原著小说改编的网剧《龙岭迷窟》（另一名称为《鬼吹灯之龙岭迷窟》）在腾讯视频独家开播。 次日（4月2日）相同小说改编的网络大电影《鬼吹灯之龙岭迷窟》在爱奇艺独家上映。网版、影版接连亮相，这对“鬼吹灯迷”来说是真是个天大的好消息。 资料图 正像有的网友所言，差一天上映，这是很明星的蹭热度啊。果不其然，电影《鬼吹灯之龙岭迷窟》不光蹭到了网剧《龙岭迷窟》的热度，还悄悄地“偷走”了不少本该属于网剧的4、5星好评，有网友评论完了才发现，原来走错了门。 尽管偷了网剧版的好评，但这部影片还是以豆瓣2.9的低分，超越此前3.0的《云南虫谷之献王传说》，一跃成为“鬼吹灯系列”影视作品里的最烂作品。 而网剧《龙岭迷窟》则以8.3分成为“鬼吹灯系列”影视作品里的最佳作品，真是没有对比就没有伤害啊。 剧照 为什么大电影《鬼吹灯之龙岭迷窟》口碑这么差呢？首当其冲的是剧本太TM烂了（不好意思，实在是憋不住要爆粗口了）。 说话对原著进行改编，这没毛病，但编剧你丫的不能挂着羊头卖狗肉吧？说好的是“鬼吹灯之龙岭迷窟”，请问这句话的重点是不是“龙岭迷窟”，那么请问“龙岭迷窟”在哪里？ 胡八一等三人只进入到一个沙漠下面的一个古墓，然后就没有然后了，最后不但没有寻到雮尘珠的影子，连与之有关的线索都没找到，只得了一个王八壳子，这是几个意思啊？ 资料图 还有，这三个主角，先不说胡八一是一个退伍军人，自幼在他老爹的训练下，对枪械那是相当的精通，身手更是了得。 就是王凯旋王胖子，虽然人长的胖，胆小又贪财，但他绝对不是一个饭桶怂包，关键时候他是胡八一的好帮手。 至于雪莉杨，作为搬山道人鹧鸪哨的外孙女，不光聪明，长得漂亮，还有一身好功夫。 然而，在编导手中，这三个家伙全成了草包、饭桶，胡八一被一个盗墓贼狂揍，三个人都打不过一个盗墓贼，想问下编剧，你咋想的？这样黑退休军人，好吗？ 剧照 至于这部片的特效，不想多浪费笔墨了，你要问为啥？因为这部片就没什么特效，估计是随便找了个刚入行的团队做的吧。 遥想去年3月份开机时，通稿是“在场景设计和特效制作上猛下功夫”，看来，这样的承诺制作方怕是早就忘了吧。 咱们重点聊聊这部片的男主角胡八一的扮演者，曾因在新版《倚天屠龙记》中扮演“杨逍”，而被新闻通稿赞作是“最帅杨逍”的林雨申的演技。 剧照 借用一段对此形容非常到位的解说：“胡八一”说着几乎没有情绪起伏变化的台词，保持着不时放电的眼神、没怎么正过的脖子，时不时还嘴角一歪、邪魅一笑。 相信如果胡八一是他这个样子，鬼吹灯系列小说就不需要改编成影视作品了，不会有人愿意看的。 想必很多人都知道，林雨申（原名林申）虽不是科班出身，但却是拥有一般人没有的娱乐圈资源，因为他有俩妈，此二人在影视圈相当有影响力，他的亲妈是内地影视制片人、导演李小婉，干妈是著名导演李少红。 资料图 金融管理专业毕业的他，20岁时就在干妈李少红执导、亲妈李小婉担任制作人的伦理剧《橘子红了》中饰演了激进青年古沛帆一角，从而正式踏入影视圈。 5年后，林雨申就在电视电影《冯齐的忏悔》出演了男主角冯齐，还凭借获得第34届国际艾美奖最佳男演员提名，据说是首位获得该奖项提名的亚洲男演员。说实话，这部片没有看过，不知道林雨申到底演的如何。 按理说，他有李小婉、李少红这俩妈，林雨申想不红都难啊，事实上他真不红。 剧照 此次在大电影《鬼吹灯之龙岭迷窟》里，抛开剧情不说，再抛开人物设定不合理，单就林雨申面无表情的说着台词，时不时地邪魅一笑故意耍帅，就他这样烂到家的演技，想红，没戏。 所以说，豆瓣2.9分的《龙岭迷窟》告诉大家，即便是像林雨申这样，有李小婉、李少红这俩妈，没有演戏也难红起来。 【图片来源网络，未经授权请勿转载】,8.0,,8
4,4,33392524,鬼吹灯之龙岭迷窟,e01424637c8de3832c977291aa82448b,baa6290caedd847f7763ec3b32cf3610,,2020-09-03 16:56:14,"鬼吹灯系列电影：
2015-09-30 鬼吹灯之九层妖塔（ 赵又廷 饰演胡八一，姚晨 饰演 Shirley杨）
2015-12-18 鬼吹灯之寻龙诀（ 陈坤 饰演胡八一，舒淇 饰演 Shirley杨）
2017-12-03 鬼吹灯番外 牧野诡事之金豹子
2018-07-12 鬼吹灯番外 牧野诡事之神仙眼
2018-12-29 云南虫谷（ 蔡珩 饰演胡八一，顾璇 饰演 Shirley杨）
2018-12-29 鬼吹灯番外 东海龙棺
2019-05-31 鬼吹灯之巫峡棺山（ 赵左 饰演胡八一，于心妍 饰演 Shirley杨）
2019-11-17 鬼吹灯之怒晴湘西
2020-01-17 云南虫谷之献王传说（ 何其炜 饰演胡八一，李俊瑶 饰演 Shirley杨）
2020-04-02 鬼吹灯之龙岭迷窟（ 林雨申 饰演胡八一，康宁 饰演 Shirley杨）
2020-04-24 鬼吹灯之龙岭神宫（ 林雨申 饰演胡八一，康宁 饰演 Shirley杨）
2020-05-03 鬼吹灯番外 牧野诡事之秦岭龙窟
2020-09-30 鬼吹灯之湘西密藏（ 张智尧 饰演胡八一，胡雪儿 饰演 Shirley杨）
2020-12-24 鬼吹灯之昆仑神宫（ 王泷正 饰演胡八一，王姿允 饰演 Shirley杨）",1.0,,0
5,5,33392524,鬼吹灯之龙岭迷窟,2d4354f12d6cac2251bd3b7daa2d9bf9,7647b2d875a94093cbc99f6f2cbfda77,,2021-12-10 20:32:46,电视的电影大全里7.8分，本以为不错，全是抠图就算了，特效垃圾到家也忍了，看着胖子的那种瞪大眼睛面容扭曲的演技已经很想yue了，说实话这个人演的一点不讨喜，特别讨人厌，特别是跟摊主抬杠那里，我都不懂卖个护身符就得被人喊打喊杀的，最后到了里面墓里看到那些盗墓贼要杀他们，这个演胡八一的还非常圣母，放盗墓贼进来，然后三个人挨揍，看到这儿我真的喜极而泣太开心了，反派快揍死他们啊！！！把他们揍死！！ye！,,,0
6,6,33392524,鬼吹灯之龙岭迷窟,ceb0f1ae6e1494b3108285857c1ee2fa,3bab8a1c30bf450ef5718a13df409e26,1.0,2021-06-27 21:57:30,浪费生命中一小时！看完后一年还能想起那种生理心理不适眼镜大脑被污染的感觉！我为什么要跟这部负分片子较劲呢，还不是因为是林申演的浪费大帅哥的时间！林申还真的挺适合这个角色！只是这部片今生不想再回忆！ 呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵,,,0
7,7,33392524,鬼吹灯之龙岭迷窟,1267c2fe5102b57efab40eae54739933,8854e85b3a80f4298fb8a527cb58f818,,2021-04-09 15:22:58,这确实很还原原著，但是看得我很难受，因为通篇看下来只有两个字，没钱。 人设不对，胡八一是退伍，当兵数年，雪莉杨也是米国海军退役（这俩人一看就不是当过兵的），胖子要真的壮的胖子，明显一个都不符合，而且添加的不该有的互动戏（前两部没有感情戏，云南虫谷最后把雪莉杨带走是可以加的），之前真的没必要，我知道编剧你努力了。 还原原著也就剧情勉强还原，但是该有的还是没有，服化道且不说，胡八一和胖子在船上遇到撞船是一场很重要的特效戏，结果没有特效，直接把这段用镜头切换了，告诉你这就完事了，看得我一脸懵逼。 其他影评人也有截图，电影里小姑娘手持拼夕夕买的手电筒，手电筒还没打开。 说白了就是没钱嘛，没钱看的我很难受，本来不会出彩的电影，在编剧中规中矩的改变下，在没钱的加持下，彻底成为一部原著党无法接受的烂片，成了没有看过原著的人一脸懵逼的烂片。 这真的是一部让我感觉因为剧组缺钱没有预算的电影而难过。 没错，没钱真的很难过。 鬼吹灯系列一共八本书，分了上下两部，前四本电影改编权乱七八糟。 最开始是陆川导演的九层妖塔，根据精绝古城改编，特效做的极强，改编内容却极差，原著党在问候，普通人也在问候，除了郭芙蓉和排山倒海和怪物特效，没能给我们留下什么深刻印象，里面加入了各种主题元素，一会冒险，一会爱情，一会悬疑，最后变成了外星人来的科幻电影。导演陆川明显无法把握这种电影题材，他无法驾驭，最后生成出来的作品就变成了四不像。 后续，寻龙诀为后四本书，黄皮子坟的改编，电影改编权来自还没有糊掉底的万达。以2.5亿成本，获得16亿票房的佳绩。尽管电影不是很完善，但是跟之前的九层妖塔比，还是好了很多。 云南虫谷这部小说，是大部分人认为前四本书中最好的篇章，个人认为也非常好改编。由非行导演，华谊出品的这部电影，在上映前两天就突破一亿大关，获得骂声一片，最终仅取得1.5亿票房。华谊也因此错失了最好的一次翻盘机会。 腾讯买回了网剧改编权，自制剧也是良莠不齐，好的如怒晴湘西，不好的如黄皮子坟，成绩略显参差。 鬼吹灯作者天下霸唱写了后续摸金校尉，被腾讯旗下阅文分公司起诉，要求不得后续写鬼吹灯的任何作品，不得出现相关词汇，包括鬼吹灯，摸金校尉，主角名称等。重启的摸金校尉系列，也成了烂尾楼。 而网络电影，为新片场制作，爱奇艺平台播放，明显是拿到了改编权，又没有钱，在改编权到期内，只能这么尽力改编，匆匆搬上网络，进行不赔本或者圈钱的交易。 本次就不打分了,,,0
8,8,33392524,鬼吹灯之龙岭迷窟,b1bf9377aa359e8198e50c5e9d61fcb1,421721e45b8b886cdf04b4d84195914f,,2020-08-19 18:39:59,第一次写影评，一直不想写，但看了这部电影真的忍不住啊，憋死了。太垃圾了，全电影背景都是生硬的PS抠图，特效差到无法想象，演技烂到无力吐槽，男猪脚全程耍帅，说话有气无力，真不知到离他那么远的人怎么听到他说话的，胖子说话又太炸乎，声音一大一小，真的受不了；男猪脚的演技真的是烂啊，长得又一般般，非要自我感觉很帅，说个话都不见嘴巴动一下的；女主角更厉害了，全程一个一脸懵逼的装萌表情。配角也是烂到家了。发型和衣着无论任何情形永远时尚帅气，二十一世纪的衣着，一群年轻人的游戏世界，不尊重原著和观众。垃圾，主角演所有片子都一个表情和德行，你让这货演猪八戒也是这个说话要死不活、吊儿郎当的鸟样。,,,0
9,9,33392524,鬼吹灯之龙岭迷窟,bbb3be89dce48600bc426bf6e4a9aee2,ad9ba42f34b54ee8b062e6a0265c968e,1.0,2020-08-12 03:24:48,1.当时跟网剧几乎同时上映，好几次打开发现不是潘粤明。我就奇了怪了。难道演一半还还换了人不成？后来发现完全tmd完全是为了蹭热度圈钱拍的烂片。 2.为什么说蹭热度呢？首先，打着鬼吹灯的旗号。顶着三巨头的名字。然后人物特点塑造没一个沾边儿的，王胖子胆大谁都不怕就恐高，这里tmd演的什么jb烂玩应。胆小的还瞪着铜铃大的眼珠子。老担心要掉出来，那么大的个头胖的虎背熊腰的连个瘦不拉几的混混都打不过。其次胡八一全场拍戏的时候估计台词都记不住吧。嘴里念的12345677654321吧？口型都对不上。配音烂的还不如动画片汤姆和杰瑞。全场就一个超低的粗喉咙 音调。压抑的不行。是要死了吗？整场戏跟女主调情！这tmd是鬼吹灯呢还是18级片呢？一边挖坟还tm一边调情？？？？有毛病。插过队、当过兵、当过连长、打过仗、杀过人、倒过斗（牛心山旁边的那什么墓）这一次tmd歪头杀耍帅扮酷被虫子咬了个要死不死的混混给抢了匕首还挨了揍，你说这..... 什么屁逻辑？？？最后还举报那帮盗墓贼。然后同党还抓起来了  ，请问编剧这里胡八一是凭什么身份进去的都没说清楚还举报人家。再说人家在船上拢共就6个人。全死坟里了哪儿还有个同党？？？？？有同党你个臭导演拍戏不拍出来？？？？也不说那几个混混子拿着地图，一身装备。看架势很牛13，一支烟没抽两口全死光了！还死的很搞笑的那种，一帮大傻子吗？王战贼老大刀都架杨参谋脖子上了就是不捅。还比来比去过家家呢？再说杨参谋原著里讲的很有气质的。所以王胖子叫她杨参谋，这里是个粽子脸。面部表情每帧都是上一帧粘贴复制过来的。除了跟歪头杀的胡八一调情没别的能耐了！这是人物刻画，简直是垃圾他妈妈给垃圾开门，垃圾到家了！ 3.剧情：这部剧到底是去龙岭还是黑水城？一头雾水，不知所谓，要说去的黑水城吧电影名字叫龙岭迷窟，最后还找到了龙骨天书，说是去的龙岭迷窟吧里边又有行军蚁、卧佛、虫子，剧情直接驴唇不对马嘴，乱七八糟，好好的小说拆开东拼西凑硬生生揉的稀碎，导演你脑子有xiang（读第二声）吗？到底看没看剧本？？？？黑水城跟龙岭迷窟是tmd同一个地方吗？？？西夏黑水城、陕西古兰县。分明是两个嘛。 4.整部剧。时间分布不合理，拢共就70多分钟。前边都磨磨叽叽一个小时了还没进入状态，然后终于下坟了，喝着啤酒等嗨点。啤酒喝完看到结尾了，嗨点呢？尼玛的！导演你还不切腹自尽，让胡八一给你做介错人，：整部剧打个比方。就像是上了一天班拖着疲倦的身体走楼梯下楼取快递。路上踩香蕉皮，不过只是踩到而已滑都没滑一下，身体稳如狗，取完快递坐电梯回屋。然后任务结束！就这么个烂片，一首歌还一个高潮、抽个烟还能享受好几口呢，而这部剧.....导演你可以倒找钱吗？？？给我洗洗眼睛好不好…… 5.为什么我看完了呢？被各位发自内心的评论吸引的。好奇究竟有多烂，然后我含着这颗好奇之心，掐着大腿肉、咬着右胳膊、头悬脸锥刺股的看完了这部传奇电影，我就不信他能有多烂，事实证明！导演你个大....！也许这部烂片就是骗评论热点的，也许真的是这样。要是这样的话。那导演你真的很牛，搞得我直接憋不住了到这里写东西泄愤。真的忍不了.......话说可以赔钱吗？？？洗眼睛用....,5.0,,0
