,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,33414579,罪之声,89b8916f2182124b5ae28d466c00b1e5,d5280ad70bbf20117f20520b2c3460a3,2.0,2021-05-09 00:47:24,"这篇影评可能有剧透 

                        [罪之聲] 首先在看这部电影之前我就已经做好了心理准备。 编剧是野木，那就说明了这肯定不是什么有正经推理环节的电影，她肯定是一贯的事件只是拿来传达什么价值观的社会派做法。 但我万万没想到，真的没想到这个电影可以如此的无聊，它真的很无聊。 还两个多小时，浪费我两个...

                         ( 展开 )",10.0,10.0,10
1,1,33414579,罪之声,7808a5661b2903a2e6d90127ef0d1bee,658e2ffec76731b9114ace03c782ee84,4.0,2021-05-12 22:06:23,"这篇影评可能有剧透 

                        很喜欢小栗旬的这个角色，影片中的案件仿佛宿命一般，找上了他，他也在追逐的旅途中，逐渐找到了自己职业和人生的方向。 “从大阪调去东京 每天夜访朝探 回不了家 连睡觉的时间都没有 被上司呼来唤去 被警察冷箭相待 孩子 有个还很小的孩子 去世了 我就得去问这孩子的父母 是个...

                         ( 展开 )",3.0,,1
2,2,33414579,罪之声,f78490228459633b9bdb1b843066a9f2,c900e1ee3c2d4c9eb03f76c8c59b4c67,5.0,2021-07-07 23:23:47,"这篇影评可能有剧透 

                        岛国的罪案影片不少，最近看了新参者系列几部，再加上这部，着实被感动到：人性本善，行恶都有其不得已的原因，或因果所致，这也是岛国文化。好的电影或文章引人入胜，这片子做到了。影片开始挖掘尘封三十年的旧案，让我们以为惊悚悬疑为主，却被无预期地带入情感的旋涡中。导...

                         ( 展开 )",,,1
3,3,33414579,罪之声,42b17619f4b6bd4db211bc02c4cf4675,89986c3e410befbb16cc0c45e6014e8b,5.0,2021-06-02 15:19:52,"去年10月上映的日本推理悬疑片电影《罪之声》，改编自塩田武士的同名推理小说，由土井裕泰执导，小栗旬、星野源主演。这部电影在日本斩获了有“日本奥斯卡”之称的电影学院奖最佳编剧奖。不过，评价呈两极分化，不少认为该片立意太浅，节奏缓慢，并不认可其思想和艺术价值。但...

                         ( 展开 )",,,0
4,4,33414579,罪之声,23b3009a1c141d4733e8054bec26bba3,3aee093b2393f59bd537c2fc7f3ae420,5.0,2021-05-23 22:51:20,"这篇影评可能有剧透 

                        「他人の人生に踏み込むことが記者の宿命ならば、わたしは彼らに寄り添っていこう。深淵に追いやられた小さな声に耳を澄ませ、文字にして伝えていこう」 ———————————————「罪の声」 罪之声是今年日本刚出的一部电影，主演为小栗旬和星野源（就是之前刚和gakki结...

                         ( 展开 )",1.0,,0
5,5,33414579,罪之声,0c59e1de886d3b38f3fda7124bb9587f,2de82d6d4d2d26305f3ad7cf9e3cc48c,4.0,2021-05-21 22:47:08,"这篇影评可能有剧透 

                        本片以昭和年间最大的未解决事件为主题，讲述新闻记者阿久津英士（小栗旬饰）和少年时期与该事件有关联的男人曾根俊也（星野源饰）之间的故事，同时也引出了牵连其中的其他两人悲惨的命运。 一天，曾根俊也整理储藏间时，无意识的翻出了一个陈旧的箱子，里面有儿时的玩具和杂物...

                         ( 展开 )",2.0,,0
6,6,33414579,罪之声,01e074423df316705485a6c4b9bb20a5,da0cd5758070cdd7b2d9ac2d5f05670d,3.0,2021-05-21 15:50:59,"多年前在自己无意识下被录下的声音被大姑利用，成为了悬案罪犯的作案工具。由于愧疚、不安、愤懑，决定寻找真相。 [罪之声] 似乎很多罪犯都是想要破坏现有的，他们认为腐败的制度，但这样做，破坏的只有弱小之人的人生。这部电影里是小望小聪以及没有展现出来的人，《蝙蝠侠：...

                         ( 展开 )",1.0,,0
7,7,33414579,罪之声,1212199aef8f4442562a574d886f59d1,dad1e91de623a51856624de744c258b5,4.0,2021-05-19 15:19:35,"大家好，我是戴着眼镜拿着话筒的阿拉斯加，片片。 这个世界上有很多谜案，有的案件，称得上是跌宕起伏，又让人觉得不可思议。 最近，日本那边新出了一部电影，它就是根据一桩特别戏剧性的谜案改编。 主演有我们熟悉的小栗旬。 （小栗旬今年已经39岁了，真·奔四） 以及我不太熟...

                         ( 展开 )",16.0,1.0,0
8,8,33414579,罪之声,bc419da2b35c05bfab926dedec22eb5f,031e63cf80f42edfe9a4ab9d1c98a064,,2021-05-10 09:23:26,"这篇影评可能有剧透 

                        日本新片《罪之声》的主题应该是清算。记者和案犯的后代对二十多年前一个大案进行调查，尽管已经过了起诉期，但还是还原了真相，无论何种名义的犯罪，都被送上了历史的耻辱柱。要点赞电影里的记者，他们咬住目标不放松，从事艰苦调查工作的精神令人感动。或许有人认为这是为了...

                         ( 展开 )",1.0,,1
9,9,33414579,罪之声,58bb5791e550ff56ae50696ec1f36f13,b782192f8ad325c3fb3472b0a343e921,5.0,2021-05-09 21:54:42,"这篇影评可能有剧透 

                        让民主与自由更进一步的是好的文艺作品所传达出来的声音。 人是很容易被感动的，特别当创作者如此真挚地传递出内心的声音。 这种创作的精神内涵是没有国界与意识形态界限的。 国产电影们，你们拿不出好作品一个能让人感动的作品，是因为你们对待文艺创作太不真诚。 让民主与自...

                         ( 展开 )",3.0,,5
