,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,33454900,之后2,42f1d2bae70f3b6427f2bf5c2396e2ee,2de5b543a0428f6605fed05e3a5710c1,1.0,2021-10-26 16:04:44,"从校园到职场转变。两个年轻人个性都比较强，都有自己的原则底线，明明相爱但是却要用放纵不羁来气对方，所以小摩擦不断，但是一场亲昵就可以解开一切。也也许就是俗话说的“小夫妻床头吵架床尾和”吧。 故事紧接着第一部，两个人因为那次真心话大冒险的谎言变得相互有了芥蒂。...

                         ( 展开 )",,,1
1,1,33454900,之后2,e65cd387205433f83c7da603e2c2d2fe,aa1fd34ed19d15cc23f1f4cc5edf2640,3.0,2021-09-14 15:23:32,"在小红书上看到的推荐，于是就去看了第1部，然后又看了第2部。 看第1部的时候没什么感觉，男女主也没在我的审美点上。但是对于这样的剧情，在水中那段却能拍的剪的得那么唯美，表示敬佩。啧，这里需要学习。还有我发现一些女性作者笔下的爱情故事里，女主大多数也是热爱阅读。...

                         ( 展开 )",,,2
2,2,33454900,之后2,7cfc47cd1e6ca1d15d6d4feed723bf51,97544e33a22dd9bded2842ea957f6f9b,4.0,2021-08-16 13:48:55,"是被颜值吸引来看的，哈登确实帅，女主颜值也可，是学霸的气质。 但是电影我觉得还可以吧，能够体现出男女主是在爱情之中相互温暖的，哈登在改变，，但是不知道他这个定时炸弹能不能为了女主变成一个成熟稳定的人啊... 奇怪的点是哈登这个性格一点都不像是大学生，有点像高中生...

                         ( 展开 )",,,1
3,3,33454900,之后2,3243562f82b9553436549a4ae3f8eeb2,9027b3dad1629daf3aad521a0bd487ad,,2021-06-01 00:01:19,"这篇影评可能有剧透 

                        另；男主仅靠一个手机定位，能找到女主在哪个酒店哪一层哪间房间，而且随意就可以进入酒店客房层，我是服的。开头搞得好像异地恋一样，结果没过多久男主就找来了，我寻思隔得不远啊你们，干嘛搞得呢么悲伤，又是喝酒又是纹身的。明明有女主定位，随时都能找到她，但男主就只会...

                         ( 展开 )",2.0,,1
4,4,33454900,之后2,d02c7c229f4547fe2af34f3cbc887cf8,2430242dc52b9fec75095457ac808899,5.0,2021-02-13 22:07:04,"这篇影评可能有剧透 

                        我听着友谊地久天长，写下第一个影评。 电影中我最感动的情节，就是Hardin和Tessa和好后，躺卧在客厅的沙发上，Tessa带着眼镜在看书，Hardin问她要不要去参加party，背景乐很轻，但我听着应该是友谊地久天长。 确实影片有很多不可理喻的地方，看过第一部，就发现第二部开头根本...

                         ( 展开 )",5.0,,0
5,5,33454900,之后2,c7e29983c8513cdab0d5f973ef8bcad5,537091402dbc61395d274f61d9d7fd74,4.0,2021-01-14 23:37:24,"★★★★☆ 情理之中意料之外的渣渣爱情片，但确有心悸。跌宕起伏时常莫名其妙，似乎剧情并不符合所谓富有逻辑的“书本式爱情”但确实真实地贴合着生活极易情绪化，情意浓浓与摔盘碎碗发生在分针还没来得及挪步的瞬间。也许我们的身体肌肤亲密无间，但我们的心灵却不断碰撞然后...

                         ( 展开 )",2.0,,0
6,6,33454900,之后2,6e94bf4406876adbce0f9b677ad99c7d,2ed92a97fadcf6455220edff131cdde2,5.0,2021-01-04 09:40:33,"她即使知道了他🈶️多渣 可是也不愿意放弃 她知道自己真心爱过 知道自己心里的不舍 他的渣到了她这里 也不再渣 他愿意悬崖勒马 可是过去发生的事情永远无法抹去 人们能做的就是不再去追究 我们都把过去看得太重了 然而竟是这种情况改变了我们的想法 使得我们不敢再努力去爱...

                         ( 展开 )",1.0,,3
7,7,33454900,之后2,055ef06b399e9827fb09340cb08fafca,d4f22d479f6df43a34d4c67f174283e3,,2020-12-02 23:57:21,"哈文在第一眼见到泰莎的时候，心里已经炸成了烟花，需要用一生来打扫灰烬。 这是一部带有喜剧色彩的影片，剧情有着青春爱情片的通病的，都很老套。但是演员对于整个画面都是极美的元素存在，许多的特写镜头来叙述故事情节，恰到好处的背景音乐配合着他们的爱情纠葛。如果说第一...

                         ( 展开 )",5.0,,0
8,8,33454900,之后2,1d071aad2f5513ace2607f2c62b1cb6b,d1f7dc3dab442448c19cac651b72bd7f,,2020-10-27 10:57:06,"不管是拍摄角度还是剧情角度，虽然没什么硬伤，但也有点套路和刻意，不带脑子看的话还是可以的，个人观感也还好，但是不如第一部。 整体节奏太快，镜头和镜头之间缺少衔接，看起来就像流水账。一些重要场景的设计也是十分敷衍，比如女主车祸，就一秒镜头，让人完全不觉得是一个...

                         ( 展开 )",2.0,,0
9,9,33454900,之后2,f82f5e08ccbe2e02c3de3d97e41a440e,ccf7e9af9fc263b5b996fb8b42a9b6a2,,2020-10-26 16:21:19,"如题；两部我都搜罗来看了，看完1，还蛮期待2，毕竟我是玛丽苏剧少女，哈哈哈，结果，2实在是太差太差了，全剧大概100多分钟吧，难看到哭！ 先给1打分，1最多6分，2最多3分，3分是给自己的辛苦分，2里面男女主的颜值完全崩了，剧情不明所以，单一，乏味，欧美人的玛丽苏完全是...

                         ( 展开 )",4.0,,2
