,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,33771840,乐园之夜,bd3b175397a241dc1b29d1590aaf4941,f6fae97599b9e89249d4207ce8a9f34f,2.0,2021-04-14 12:22:04,"先说前提：所有动作+感情的片子，都需要一个好的反派。 这个前提不是我说的，是好莱坞编剧布莱克·斯奈德在他的《救猫咪》里提到的：反派越坏，正派人物就越立得住。一个坏到极致的反派能够逼出主角最深沉的绝望，也能造就他最复杂的情感。一个辣鸡反派一推就倒，多没意思。 再...

                         ( 展开 )",3.0,4.0,12
1,1,33771840,乐园之夜,5784a9fac548aac9c23049152bfadfe9,69bdbd1fe863e16ad362b535e8b1bbe7,3.0,2021-04-13 20:50:41,"这篇影评可能有剧透 

                        其实不止在韩国，包括整个东亚地区，黑社会的黄金时代已经过去了，本片更像是对上世纪末期那种盗亦有道的黑道精神的一种缅怀，就像是往棺木上盖土的时候，看到棺木的的最后一角被泥土掩埋时的那种复杂感情。 所以整部影片几乎都笼罩在一种缺乏现实感的色调当中，只有在男女主俩...

                         ( 展开 )",13.0,,2
2,2,33771840,乐园之夜,c51ee95b1f68295ffda06f40d3e5a8e5,5b7aaf953c3abd2609980abe4c7a3c4f,,2021-12-31 21:37:12,"从一开始大概就猜到了杨会长设计干掉了男主他姐姐，其实动动脑子就能猜到了，男主说起来也就是个小喽喽，没必要大动干戈去除掉他姐姐和侄女。 男主也算死得其所，愚忠嘛。 可是马理事就很有意思了，女主可是和他深仇大恨呐，最后结局应该是男主死，男主小弟也死，女主死，杨会...

                         ( 展开 )",,,0
3,3,33771840,乐园之夜,52319ac65932a48b9411f354b69e2afb,aad9be1c098d64a53ccfb49b6a3af030,4.0,2021-08-09 20:30:02,"闲来无聊，随手在奈飞上看到推荐的这部“烂”电影 要是以电影叙事的角度来看，豆瓣上的很多人批评的完全没问题，就是不是很优秀，但是在完全没有任何期待的前提下，看的还有那么点意思 说白了这是一部披着黑帮电影皮的爱情电影，中间大段大段男女主在济州岛上的各种温馨日常，...

                         ( 展开 )",,,1
4,4,33771840,乐园之夜,3f24720744942eb6ec599d7266fcad4c,d5186b335614a89a3a9623601277e2ee,,2021-08-09 10:26:44,"这片有点拖泥带水，一点没有韩国片通常逻辑清晰，还带着小反转的常规水准。 我看完全片，就两个映像，第一感觉是女主收拾一下，应该挺漂亮的。 第二，我想吃水拌生鱼片…… 我真的想吃水拌生鱼片…… 所以我搜了做法…… 主料： 鲜生鱼片400克 胡萝卜半根 黄瓜半根 香菜1根 芥...

                         ( 展开 )",2.0,,1
5,5,33771840,乐园之夜,d736a924e5f6d391a36100edf5266075,f9a03fb30208a8836c44367953fa4785,5.0,2021-06-06 03:27:02,"影片最后一场射击表演完美诠释了枪杆子里出政权的原理。什么牛鬼蛇神，biubiubiu全放倒。本来男主很酷，结果碰到比他更酷的女主就。。。。 别人绝症病人，别方人渣，别混黑道。别吃鱼生。女主叔叔的扮演者多半是得了甲亢。剧情可以无视，其余都很好。韩国人特别喜欢用刀，最后...

                         ( 展开 )",,,1
6,6,33771840,乐园之夜,e93a09aadf02fb2ea7de4071f1220437,b23cb7cf46c3f30df672de35a9c2699d,,2021-05-25 20:45:48,"一部简简单单的黑帮背叛与反杀的爽片，穿插了一个临死女人加入，一切变得不可预期。如果当初死的是他叔叔，她的家庭还是完整的。如果他没有来到济州岛找她叔叔，她叔叔和她在第一次遇袭，一切都结束了。如果马理事在小屋可以毫无顾忌的不去守信，那一切也结束了。但这些只是如...

                         ( 展开 )",,,0
7,7,33771840,乐园之夜,995fc28e9504a74e8d16754c80568a27,13e235736266fc237674b35b0d813e9a,,2021-05-15 18:01:22,"太惨了，全片连男带女，凡是露过面的演员，包括没怎么给镜头的，主角，配角，龙套，最后通通死光光！太彻底了！干脆了！这得备多少个盒饭才够他们领啊！这导演简直是丧心病狂啊，这得多恨这帮子演员啊。不过电影还是可以看的，整体水平还行，三星半吧！黑社会也不容易啊！互相...

                         ( 展开 )",1.0,,1
8,8,33771840,乐园之夜,e3248e8fc2f4f98816741f7dcd832623,95d41df784fa220a8dddcc5d4c6e1082,3.0,2021-04-18 22:43:10,"因为在看片的时候，总有点断断续续，中间有一些情节跳跃了，不能算是完整看完。只是韩国的东西有一个特色，只要中间不漏掉太多，大概的故事情节终究能够接起来的。这个电影也不例外。只是在电影结尾的时候，被惊到了。韩国的黑帮片现在也这么血腥么？我还以为只有美洲那边贩毒...

                         ( 展开 )",,3.0,6
9,9,33771840,乐园之夜,997706d46fb465f56cb729b30df69508,5387286e29c544373b881d2b4a915ea8,,2021-04-18 18:51:32,"至少能看下去并能看完，节奏缓慢，情节老套，最后的绝杀镜头和画面很有质感，看着带劲。发现越来越喜欢韩影里面单眼皮女生了，金多美，金高银。说是魔女的导演作品，但说实话，魔女2何时出来啊？千万不要像釜山行2一样，千呼万唤始出来，结果却是狗尾续貂，不值一谈。豆瓣评论...

                         ( 展开 )",,1.0,1
