,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34661803,烈阳天道,f3bd781733b230c56cdc14b8eab2e362,f3bbbe435ec9340358d060c7ebf22ac3,,2020-08-06 17:31:05,导演在干嘛？是换导演了嘛？编剧出来谈谈？猴子和帝雷娜莫名其妙的。要表现猴子的英雄迟暮？所以猴子才被一招打碎胸甲？葛小伦那些人，根本就可有可无……是要强行粘合在一起？帝雷娜作为主神，应该是有绝对优势什么的啊，就像是凯莎女王的知识宝库，卡尔的大时钟，凉冰的恶魔一号，葛小伦的雄芯系统，天使彦的天刃7，碾压级实力呢？难道是大白腿？好吧，我承认她身材好……可是，你这不是卖肉片啊……你这是文明碰撞，星际战争啊……唉……,18.0,1.0,12
1,1,34661803,烈阳天道,8fc83e2e7997a11573ff7b7b3baed59a,f07c54cbffa757b1f531168a341d17e1,2.0,2021-05-18 22:38:21,1. 这不是萨拉雷的水平。之后萨拉雷带着核心团队出走，估计这部电影就是苗头。 2. 大电影甚至比不上2013的超神学院第一季。作为老观众，根本看不到制作组的任何诚意，要故事没故事，要技术没技术，要细节没细节。 3. 开场十分钟，蒙逼；四十分钟，等了这么多年大电影，你就给我看这？ 4. 孙悟空话痨，蕾娜天真过头，二郎神工具人，其余人物留不下任何印象。,,,0
2,2,34661803,烈阳天道,3be8a3f83bf89ab428b9397d7ab02f32,cbdf22901d2a1605394e2e7dfa22d2ce,1.0,2021-04-11 04:30:36,我看到了什么，从头到尾，地球最高战斗力斗战胜佛被各种人以各种姿势踩在脚下，天道星来地球帮忙的样子像极了当年日本来中国建立大东亚共荣圈的样子，趾高气昂的施舍一些帮助，然后想干涉我们的民族精神，成为地球的天道。然后我们的最高战斗力，民族图腾信仰一样的孙悟空和对面一个小兵打了一架还差点死了，这就是大结局？当年日本来中国建立大东亚共荣圈失败编剧是不是很不甘心啊！,,2.0,1
3,3,34661803,烈阳天道,1ffb3971e87cf746f025c6cb3d0fffc8,399ee188ac37655ac3ac13a6e86faabb,1.0,2021-04-08 23:05:55,"1.说是填坑，但是猴子来历没讲，为什么地球只有一只猴了？这是个大问题。
2.潘震战力严重消弱，凯莎和莫甘娜还圆的过去，潘震死的这么轻松实在是让人摸不着头脑。
3.小狸话太多，而且全是水，严重拖沓剧情。
4.身为一个帝王，蕾娜却为了所谓的“正义”而任由自己母星破灭，去求助别的星球帮助，别人接不接纳是一回事，别人家能有自己家舒服？最终是选择同化别人还是被人同化？（真的像小孩子过家家一样，幼稚的可怕）
5.在被掠夺的时候，“地球”毫无作为，除了报道就是报道，任人宰割，就靠着所谓的“我相信你”，等待别人的审判。
暂且就这么多了，有遗漏的麻烦大伙补充一下。本片建议三倍速食用。
杠精判断：
A:这冰箱怎么不制冷？
B.可是它好看啊！
A.可是它不会制冷啊！
B.可是它好看啊！
A.但是它不会制冷啊！
B.你自己会制冷吗？不会还在这酸？ A.你听不懂人话吗？它是个冰箱，是个冰箱就应该制冷啊！ B.你都不会制冷，有什么资格说它？你配吗？ 试问谁是杠精？",1.0,1.0,0
4,4,34661803,烈阳天道,2cd1aaff61855f443e50a5826c6e3e97,897356954c2cd3d41b221e3f24f99bba,1.0,2021-03-17 17:33:01,我记得第一次看超神学院的感觉 有燃点 有泪点 那种无法自拔的感觉我一直记得 但现在现在人物越来越丑 越来越僵硬 全是整容脸了 为什么非得觉得高鼻梁 大眼睛 小嘴巴 大胸丰臀才是最漂亮的？  都2021年了哪怕是超神学院系列的人物都要比雄兵连的好看多 我真的搞不懂 都是一个公司的 审美越来越倒退 剧情我都不想说了 一句话 什么玩意儿？ 真的没有看下去的欲望了 难怪你挣不了钱 从小学一直追到现在 我就想说一句话 早点倒闭吧 真的 真的太失望了,,,0
5,5,34661803,烈阳天道,5fb0f3f33de526d0ea0a6ac28f549f77,fafd3adaa24c33e0150829a7f0470ab8,,2021-02-13 13:19:02,"我认为这个动漫改编的合情合理，这可能就是雄兵连的魅力吧，这个悟空作者设定的形象完美，而且可以感受到我们国漫的品质很高啦。   真身一出，必天地不宁。待真身现世，我要这天，再遮不住我的眼，我要这地，再埋不下我的心，我要这众生，都明白我的意，我要那诸佛，都烟消，云散！
我，齐天大圣！我觉得帅炸啦！！ 快来看！",,,0
6,6,34661803,烈阳天道,ff4de38071f3effdd8030b68678dc10c,7b9e21eadeb5b2019da7ae545ffe08bb,,2021-02-04 12:43:52,简单谈谈我的理解。 画面更精美了，但却讲不好一个故事。零零散散补了之前的空缺剧情，但是作为一部电影，像是用布东拼西凑出来件寒碜的衣裳。看到这次的编剧不是萨拉雷，也可以理解，希望2能改进。 其实只要把什么是天道讲清楚就行了，说白了就是星际殖民背景下，文明与文明，新与旧的矛盾，以及人与人，人与神之间的理念的冲突。两个细节有问题，雷娜说皮鞋臭以及雷娜踩了悟空，删掉这两个生硬的细节，再理一理这个故事。 根据我对雄兵连的观感，雷娜是属于文明间的和平主义者，愿意帮助地球发展，但是又有神的高傲，她认为自己是高于普通地球人的，希望被崇拜，很看重自己的脸面，所以当初被饕餮侮辱后，想要损失人类的城市清洗饕餮，但在盖伦劝说下，最后仍然决定尊重地球的自治权，慢慢的改变。潘振一众属于以前英国，现在老美的角色，明面说是帮地球维持和平，但事实上做着殖民者的勾当。悟空代表的是一个文明对于独立自由的坚持，也是一个文明从旧往新的转变，这和盖伦说的是一样的，也就是地球人的事地球人解决，可以寻求和平主义者的援助，但拒绝另一个文明的指手画脚。天使和恶魔的话都不会干涉地球自主权，凯莎只想维护正义秩序，一种正义框架下的有限自由，不干扰文明进程；凉冰则是支持基因加速进化，完全的自由，加速文明进程。 在这之中，由于电影完全没有表现雷娜是如何完成转变的，我来做一个构思。雷娜和悟空的矛盾应当是起源于雷娜高人一等的理念，雷娜也同时被潘振欺骗，让她以为自己尽心尽力帮助地球结果悟空还不懂得感恩，是个白眼狼，从而激起她的愤怒；而悟空的偏见，让他误以为雷娜是和潘振一伙的，于是就发生了战斗。而在雷娜发现被欺骗后，开始和地球的伙伴一起，打击了潘振的入侵，并进一步夺回自己的王权，避免了被潘振架空，并制止了潘振等人的殖民行为。这里又不得不提到潘振让那个小兵直接去威胁雷娜实在是有点傻，几万岁的神就这点脑子嘛？ 最后我觉得还可以再点题天道，呼应雄兵连：宇宙间没有什么应有的秩序，一个文明也没有资格给另一个文明制定规则，替另一个文明做决定。有的只是宇宙这座丛林，以及各种文明间制衡下的心照不宣，一个文明唯有自救才能生存，才能发展。这种自救既是科技上的进步，也是人们精神道德上的自强，同时也有星际时代理念上的转变（力挺蔷薇和女王，盖伦的思想还是局限了）…,3.0,,2
7,7,34661803,烈阳天道,81f6fe8123462590476a0fbd2e105cd6,9fd0556045330951f42e690f552b4a56,,2021-01-18 23:14:33,说没玩过英雄联盟的人，估计很少的，这个动漫本来就是游戏衍生来的，这个孙悟空也不是石头里面出来的，悟空本来就是一个超级基因代码，是死神卡尔破解密码召唤出来的，还有剧情有bug，悟空能和潘震打，问题同样三王之一的莫甘娜不敢惹潘震，问题莫甘娜是第4代神体，悟空才是第三代的神体，所以悟空正片戏份很少，估计顶级战力只有凯莎和鹤熙了，悟空差这两位还是差得很多。,2.0,,1
8,8,34661803,烈阳天道,4e99501364f0ef1d18d49a37374aaf02,d46e26f12012202190d70646c0354059,3.0,2020-10-31 07:42:38,没有办法跟雄兵连系列比，也是有好的地方的，好的地方我就不说了，只说一说我感觉着不好的地方—— ①烈阳星的铠甲还是喜欢修真风格的。感觉电影想要科技感，但是电影里的这种看起来实际上并没有科技感，在未来，会出现这样的铠甲吗？有的话，也只是为了玩乐，不是为了战争。 ②不喜欢孙悟空念咒语，与科技搭不上边。 ③不喜欢最后的玄天极的武器有了龙的化形，与科技不沾边。 ④不喜欢蕾娜的脸，还是喜欢之前的，不能每一个女人的脸都那么白吧，而且这里还白过头了。 ⑤最后孙悟空与蕾娜和好了，却有人来鼓掌，说实话，刚经历过战争，刚死了那么多人，孙悟空和蕾娜和好，他们又都高兴起来了？？如果没有这些人鼓掌，然后用一段烘托气氛的音乐，我感觉更加意味深长  最后希望不忘初心,,,4
9,9,34661803,烈阳天道,9be7d947683af2cb16d3e86381906976,bf8a19cf8d7fa9e0d8fb932cb44723d6,5.0,2020-09-03 12:22:22,"不知道写啥 给个科普吧 这电影的诞生起源最早要追溯于&lt;&lt;啦啦啦 德玛西亚中孙悟空的原型 而并不是我们&lt;&lt;西游记的原型 该剧衍生于著名多人电子竞技游戏&lt;&lt;英雄联盟的背景故事 只不过越改越魔幻  我来填知识科普一下 那时候4g都没有 WiFi不发达 主创团队主要靠诙谐和男女英雄的有趣故事来吸人眼球 并且做的不错 我来补充一下""孙悟空"" 为什么要打引号 因为它只是一个分身  正式科普开始  在&lt;&lt;英雄联盟背景故事的衍生剧世界中 孙悟空曾经被召唤师(也就是玩家) 召唤来到了这个世界 只是分身投影 大约只有十万分之一的实力(早期台词这么描述的)  不仅实力衰退 记忆也不完全 金箍棒(金箍棒怎么穿越过来的别问我 我也不知道)  完全不听使唤 孙悟空很生气 这时 一名叫做无极剑圣的易大师 在修炼时发现了它 看他不能平心静气 就给了他一根多兰之棍(好像是早期玩家出门装备 现在没了) 孙悟空悟性很高 很快就参透了剑圣的无极之道 而剑圣也因无极剑道能够后继有人而感到高兴 在后来故事发展中 剑圣全族被灭 上了战场斩杀仇敌 而孙悟空此时失去了师父 在城中饿的瑟瑟发抖 孤苦无依  倒在了一家包子店门口 很巧 包子店的主人是阿狸 是只狐狸 九尾妖狐 天生魅惑 无数人慕名而来买她的包子 只为看她一眼 阿狸给了孙悟空两个包子 第二天 又给了 孙悟空两个包子 第三天... 阿狸认为它无家可归 就收他卖包子(其实这里是因为阿狸一直在找所谓的真爱 所谓真爱 就是不为她容颜所动 镇定自若人)  阿狸找到了那个镇定自若的猴 关闭了包子店 再也不抛头露面 只让孙悟空出去卖包子 而孙悟空每次都很晚回来 而阿狸每次都会说 包子卖不卖完都没关系 你一定要回来啊 每天都是这样 早上看着孙悟空离开的背影 一整天的思念 她感应到早晚有一天 孙悟空永远不会回来了 这一天 阿狸等了很久 孙悟空真的没回来 她赶紧去找 流浪法师(&lt;&lt;英雄联盟中英雄的名称) 占卜 她看到了 孙悟空 看到了剑圣 看到了孙悟空卷入了剑圣的战斗中 还有海盗觊觎孙悟空那竖在天边的金箍棒 多方势力混战 阿狸看的很揪心 阿狸越看担心 因为随着主线剧情的发展 金箍棒即将被掠夺 孙悟空被逼问控制金箍棒的方法 剑圣战败 虽有不屈的心 但每次都是拿起剑 被武器大师(&lt;&lt;英雄联盟中英雄的名称)锤飞 又捡起剑 一次又一次 而每次都被武器大师轻易击飞  阿狸此时担心的不行 看着被绑着的孙悟空 以及各方势力联合逼问 阿狸眼泪都快要流出来了 赶紧询问有资深阅历的流浪法师该如何才能救孙悟空 流浪法师双眼冒蓝光 充斥着魔法 告诉阿狸 唯一的方法就是呼唤真正的孙悟空降临 不过到时候 因为孙悟空太过强大必然被整个世界排斥 无法在这个世界逗留太久 阿狸陷入了痛苦的抉择 因为不管怎么选 孙悟空最终都会离开自己 在危急关头阿狸忍痛做出了决定 哪怕孙悟空以后不记得自己 也不忍心看着孙悟空被坏人逼害 最终流浪法师在虚空中打开一道通往另一个世界的大门 孙悟空的投影瞬间有所感应 金箍棒瞬间变的巨大无比 一瞬间砸碎了海盗船 和上面的所有敌人 危机得以解除 城池回复了和平 而孙悟空记忆越来越清晰 不断往另一个世界飘去 阿狸此时冲出 抱住它 抱不住 就拉住它 还拉不住 阿狸只能跪在地上祈求 祈求那边那位不要带它走 最终通道关闭 孙悟空当初被召唤到这个&lt;&lt;英雄联盟背景故事衍生世界的投影消失了   在一个平行宇宙 有着同样的任务却上演着不一样的故事 说的就是你&lt;&lt;雄兵连 不管是&lt;&lt;超神学院还是后面的&lt;&lt;诸天降临 在时间线上可能不是同一个宇宙 但是在故事上可以认为 平行宇宙发生过同样类似的事 所以不管在哪 孙悟空只是投影(真身可能还在取经路上呢 O(∩_∩)O哈哈~) 剧中提到的西游记小说(可能真实存在于平行宇宙 但小说和真实宇宙明显是逻辑上不能共存的问题 所以 小说中的东西 必定是其他宇宙发生的事)  接下来才真正开始 虚拟印象的原创故事 也就是后来&lt;&lt;超神学院&lt;&lt; 雄兵连的后续一系列故事 孙悟空同样被 时光守护者(&lt;&lt;英雄联盟中英雄的名称)还是流浪法师召唤过来的 这两位在这里非常的强大 甚至已经不在意这个世界的死活 而超神学院只是早期一时兴起被开创出来的基因造神工程 这两位早已经不管这些玩剩下的了  差不多完了 在虚拟印象官方中 总结一下: 第一点 : 不管设定剧情怎么变 孙悟空都只有大约十万分之一(总之很弱就对了 不能太强 抢主角风头 也不能太弱 影响大家孙悟空在大家心目中的形象) 第二点 :  不管设定剧情怎么变 孙悟空都和阿狸有着扯不清道不明的关系 第三点 :  不管设定剧情怎么变 孙悟空都是为了正义而生 会且只会为了正义而战 其它的全都是虚拟印象官方为了迎合观众 绅士大家知道吧 在早期 虚拟印象几乎就靠这个积累了大批粉丝 哪怕亏本 都没倒闭 所以 大圣炫酷很重要 腿要白 人物要推陈出新吸引眼球才重要 斗战胜佛听起来很霸气才重要 至于剧情 不是刚需 付费的观众粉丝需要什么 就会尽量呈现什么 而不是你以为的齐天大圣是怎样的就该是怎样的 人都是要吃饭的 别再抱着幼稚的想法和现实对抗 你出钱 你就是导演 你想怎么拍 就怎么拍 到时候一不一定有人看 那就不知道了 所以说梦想败给现实 天真败给社会",10.0,1.0,0
