,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34906689,昨日的美食 2020新年特别篇,dea16a5fb977cb5fb103d6362dce1de2,c79553787c9bcaec91d09873f19cb7ca,5.0,2020-01-05 20:49:49,"昨日的美食又来了！这部剧真的很神奇，几乎全程没什么剧情，而且几乎没有亲密戏，连抱抱都没，但就是看一眼就停不下来，好暖，好爱！ 特别篇先是讨论了恋爱双方的忍让。一开始那个少年的确看得让人很恼火，随便一个人都忍受不了，连阿史都说了，可能会让人觉得很累，但是小日向...

                         ( 展开 )",29.0,,1
1,1,34906689,昨日的美食 2020新年特别篇,56fd829604106301866e65953e63fac9,7c8ac36ae1dba5a920885a44e749913b,5.0,2020-01-05 22:18:59,"相信你们和我一样，当12月中旬看到预告的时候就开始期待《昨日的美食 2020新年特别篇 》了！ 终于！就在昨天！人人上面更新了！ 两个大叔还是辣么可爱！比如说这里！ 还是那么恩爱！比如说这里！ 之前追完整部剧，我一共复刻了剧中19到料理！受到了大家的喜欢！ 详情见：[今天...

                         ( 展开 )",38.0,,12
2,2,34906689,昨日的美食 2020新年特别篇,684ac79006cfd1246f41a1af88d8c4dc,6167430aa686f224f0faa3d5f98cb019,5.0,2020-01-05 11:33:43,"2019遭遇失业，备孕失败，疾病复发，心情很低落。生日那天，发现更新了新年特别篇。看完感觉被治愈。人生不就是磕磕绊绊中前行嘛。剧中贤二那句生日快乐对我来说格外应景。看完起床做了我迈入35岁的第一餐，复刻史郎的料理。吃完收拾心情，无论如何，还有阳光，美食，家人，鲜...

                         ( 展开 )",15.0,1.0,9
3,3,34906689,昨日的美食 2020新年特别篇,02ae692091bef7d7175b8068edc18bf7,4fe6ba9c006bc7ddb4bc5e1c1db17f5d,5.0,2020-01-14 22:34:20,"人在不同的年纪，会遇到不同的人，对待事情也会有不同的处理方式。 在剧中两对夫夫，四类人。 笕史郎，心思缜密的公0。40出头，过日子一把好手，精打细算甚至有点抠门。在gay吧，他都是那种和周围环境格格不入的存在，朴素平淡，根本不是圈子里吃得开的类型。 矢吹贤二，天真烂...

                         ( 展开 )",11.0,,0
4,4,34906689,昨日的美食 2020新年特别篇,b77c82ae5566315f468cdabad418e7cb,36d18df202d54610cb047405feea255d,5.0,2020-01-12 21:11:48,"在这个特别版里，虽然加了时长，但依然给人一种家庭的温馨感，伞作为贤二和阿史之间感情沟通的重要道具，见证了伴侣两人互相关心理解、互相陪伴偕老的平淡又温情的生活。而美食这个东西，直接展现了每个人的个性，还有生活的看法，以及美食之于生活的重要性（日本就是愿意在这...

                         ( 展开 )",5.0,,0
5,5,34906689,昨日的美食 2020新年特别篇,e00fea1540258207144144eaecd0ba23,738c210dd7f995ebc47801e754798b15,4.0,2020-04-06 17:43:38,"这篇影评可能有剧透 

                        四月份的某天晚上，小日向被他男朋友井上航赶出来了，是因为他去赶海了，忘记跟男朋友去看电影了。 没有遵守约定，难怪他男朋友会这么大火气。 从小日向口中得知井上航是做什么工作，职业是日内交易员，就是买卖股票，被猫苘理解为炒股的，目标一天赚到两万元就停手，绝不贪得...

                         ( 展开 )",1.0,,0
6,6,34906689,昨日的美食 2020新年特别篇,e00fea1540258207144144eaecd0ba23,738c210dd7f995ebc47801e754798b15,4.0,2020-04-06 17:46:15,"这篇影评可能有剧透 

                        最近几天，律师笕史朗常常都在律师事务所加班，只有美容师矢吹贤二一个人在家里，一个人做饭、一个做菜、一个吃饭、一个人做家务事、一个人......这让猫苘突然想起有人对猫苘说过的一句话“像你这样孤僻的人，如果没有我的话，你是不是要孤独终老。” 本来已经习惯了两个人一起...

                         ( 展开 )",2.0,,0
7,7,34906689,昨日的美食 2020新年特别篇,e00fea1540258207144144eaecd0ba23,738c210dd7f995ebc47801e754798b15,4.0,2020-04-06 17:40:02,"这篇影评可能有剧透 

                        律师笕史朗、美容师矢吹贤二在一起吃了非常名贵的烤肉，因为他们每个月的伙食费定在25000元，所以是吃不到这样高级的国产牛肉。 吃完晚饭，小日向邀请到了律师笕史朗一直憧憬的女偶像三谷麻美，让他震惊不已，跟偶像聊起了曾经她演绎的母亲角 隔天律师笕史朗的母亲打电话过来向...

                         ( 展开 )",,,0
8,8,34906689,昨日的美食 2020新年特别篇,aef1ccea813c1a524146198f75efb934,eea570cce8e52b9bd53340f206486132,,2020-03-07 11:37:23,"这篇影评可能有剧透 

                        (*꒦ິ⌓꒦ີ)补完第二集发现自己走错地方啦，但是豆瓣又不能直接copy...又不想删掉 等补完来评电影吧，下面是第一集的观后感 ——……——……—— 该不该在工作中出柜呢？ 史郎做着律师的工作，每日份的幸福是回家做饭，精心计算着每一分开支，唠唠叨叨着晚年要靠...

                         ( 展开 )",1.0,,0
9,9,34906689,昨日的美食 2020新年特别篇,2f884a11e937065fb87c5f325129c00b,f6ba47116d76c2e8e3103babd155cafe,4.0,2020-01-13 21:23:57,"这篇影评可能有剧透 

                        一场77分钟的暖心治愈之旅 元旦左右，昨日的美食，推出了一个sp，真的是意外之喜。 美食番，各种各样的美食番，只有日系做的最能戳进人心深处，2019年自己的日韩剧集个人top10.中这部昨日的美食就在其中，可以说有味道，有颜色，有讨论，有无奈，也有快乐和疗愈，十二集根本不...

                         ( 展开 )",1.0,,0
