,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34925598,腿,0144fdc27c028455e99258c73ab3637e,4ecc36eb8feea4a49d2a08d589904a81,4.0,2021-04-05 20:19:57,"昨晚看了一部台湾电影，是甜蜜生活出品的「腿」（甜蜜生活上一部非常惊艳的影片是「大佛普拉斯」），桂纶镁扮演女主角，讲了个黑色讽刺周末的故事。 2007年，看了周董的处女作「不能说的秘密」，记住了桂纶镁这个名字。也记住了她拍铁三角耳机的广告，闭着眼睛全情沉浸在音乐中...

                         ( 展开 )",5.0,,2
1,1,34925598,腿,496db5b7aea3939ea526d8701685adbe,e69a5cc3a0db7715324c0959e420f9d5,2.0,2021-04-08 15:52:42,"文：朱令仪 公众号：抛开书本 “子汉，找回你的腿，算是我帮你做的最后一件事，把你的翅膀还给你，希望你到另外一个世界，能够自由的飞翔，找回那个，你丢失好久的东西。” ----当桂纶镁说到这句台词的时候，跟着她一起流下了一滴为爱善终，让爱自由的眼泪。看着镜头里桂纶镁短...

                         ( 展开 )",6.0,3.0,2
2,2,34925598,腿,62b96e5c83a2d5b7ffafd0b6db0202bc,da0483cd9791c6cd8d6c94b56242d328,4.0,2021-06-19 19:48:54,"这篇影评可能有剧透 

                        “真实的说，美好的事情都是过去的事情，而且常常都是在失去的过程中，因为自己的难过与不舍才知道，原来这就是美好的事情。人生好像都是如此，我们像是搭火车看风景的旅客。当下觉得眼前的风景不美好，可是当你到了更远的地方，你才会发现，美景已经错过了，我们只能带着感伤...

                         ( 展开 )",2.0,,0
3,3,34925598,腿,5c9c4b82bfa462ff3f6d153526db26d1,7cc7de91ce782cd38510a2c63ca87df3,3.0,2021-05-05 23:40:08,"尽管和《同学麦娜丝》出自同一家电影公司“甜蜜生活”制作，但是这部《腿》的质量不如人意，在去年金马奖入围的奖项上已能看出端倪，失落影片和导演这两个最重要的指标，仅入围演员和编剧奖项。如果说桂纶镁豁出去的表演尚且让人眼前一亮的话，那么这位曾担任《阳光普照》的编...

                         ( 展开 )",3.0,,0
4,4,34925598,腿,791e21a69af1b3636a7140fa8a8bb568,dbdef229301dde3e99ef21f8b692c4d5,2.0,2021-07-12 18:57:31,"桂纶镁的腿好看。 桂纶镁的《腿》不好看。 钟孟宏团队打造、《阳光普照》编剧张耀升执导、入围金马四项大奖。 桂纶镁主演的这部新片，本该又是一部教内地同类题材做事的生猛台片。 而且，去年片方推出了一版网感满满的预告。 AI播报，幽默洗脑。 吊胃口的功效，更甚于幕后制作...

                         ( 展开 )",3.0,,1
5,5,34925598,腿,b6036c41c80e0658d29bf8db8d8481e8,12b236a7e9b10445b4da124075b0f714,4.0,2021-04-06 23:07:02,"这篇影评可能有剧透 

                        电影中桂纶镁饰演的钱小姐的从头至尾一根筋的执念让我不由想到《我不是潘金莲》里范冰冰饰演的李雪莲，一个一定要追讨回她丈夫的因骨癌被截肢的腿（哎，其实应该是脚啊，连金士杰都说了""你丈夫的臭脚”），一个不停上访一定要讨一个说法，不得不说，只要心中有信念，女人执著起...

                         ( 展开 )",3.0,1.0,2
6,6,34925598,腿,d63af0b2e9665d0f2ada4de781311141,c3aa9fd338c9992a7557d02f3ecf4db5,3.0,2021-06-07 10:32:05,"《腿》是一部妻子为亡夫寻找腿的电影。寻找的过程几经波折，中间不断穿插着二人从相识到死亡的记忆。虽然采用交叉剪辑方式，但却看不出寻腿和二人关系变化间存在何种联系，这种交叉式处理方式顶多算一种溯源释因。 随着过去不断被扒开，展现在我们面前的是一个有着赌徒心里的男...

                         ( 展开 )",1.0,,0
7,7,34925598,腿,3c6d36b7d36f69322e1ebc72df385e38,d33c14d7c10c6a3c4277c0fcfab523cc,3.0,2021-10-14 08:46:36,"这篇影评可能有剧透 

                        桂纶镁和杨祐宁的故事，从“腿”开始，但结束得却让人啼笑皆非。 台湾的搞笑，经常就是这么出其不意的一下子。 故事的开始，俩年轻人的爱情，让人无比感动。 但这样纯真的爱情，很快就遭遇到现实的考验。 桂纶镁在那边咬牙坚持，杨祐宁这边却准备另辟蹊径了。 如果希望赌博能给...

                         ( 展开 )",,,0
8,8,34925598,腿,580513c41cbd87a6c01c26496c00b6f6,582a3bb45b3905520dc428b6bb669ff2,3.0,2021-10-12 15:19:26,"这篇影评可能有剧透 

                        故事主线都是在围绕“腿”展开的， 其实，这应该算是典型的【预知事件结果】的展开型叙事， 钱钰盈和郑子汉分别从各自角度把双方的恋情徐徐展开，虽然中间夹杂了仙人跳、法拍房隐秘灰色地带、压抑性出轨、医疗事故、管理体制缺失等实际问题，但整体成色上，居然有点清新脱俗的...

                         ( 展开 )",,,0
9,9,34925598,腿,33c3a130191f938e231710dd28f159d6,c010854873d2affd9c768635f7cc8fb8,,2021-07-10 16:18:01,"这篇影评可能有剧透 

                        《腿》 主观评分：8.5分 剧情概述 双线叙事，一条线穿插讲述了两位跳国标舞的舞者情侣，从认识到相爱，到男的误入赌博歧途然后共同开教学教室变好，再出轨再作死自以为患癌症然后把自己作死的故事。第二条线是男人死后，女主为他冲破重重困难，勇敢追回被医院丢弃的截肢腿的故...

                         ( 展开 )",,,0
