,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34930801,校园大逃杀,32400a73c26040598835febe78554982,becedacc7297c602348382f6d485dc91,4.0,2021-01-21 01:01:16,"作为一部小成本爽片来说，很满意 看完这片知道了为什么好莱坞喜欢拍个人英雄电影了，以及很多超级英雄电影，因为本片的警察…… 规矩是死的，人是活的，就不能灵活点么，你们过家家打电话的时候有无辜的人在死去啊 到了现场也是没卵用，都没有办法溜进去救人，怎么没了超级英雄...

                         ( 展开 )",9.0,3.0,8
1,1,34930801,校园大逃杀,5784a9fac548aac9c23049152bfadfe9,69bdbd1fe863e16ad362b535e8b1bbe7,4.0,2021-01-23 20:56:04,"这篇影评可能有剧透 

                        女主Zoe是个金发高个大长腿，典型的白人美女，而且还是兼具力量型的。一开场就是和老爹用大狙打猎，出手干脆利落，稳准狠，典型的未来女战士的好苗子，但是目前还得老老实实熬完高中最后一年。 看似就是Zoe和黑人男友在这个普普通通的高中平淡无奇的又一天，一个曾经遭受过校园...

                         ( 展开 )",15.0,5.0,5
2,2,34930801,校园大逃杀,1c656aa3c4b289e8b97aaae6d657c248,7b86ff121a33305c8b03e2709e2bc053,1.0,2021-08-08 13:44:41,"遇到生命危险注意事项： 1.想方设法逃跑。不立危墙，此为第一要务。 2.别当英雄。你不是主角，没有不死光环，此时此刻你就是菜鸟，不要逞能，你打不过杀手，体力、智力、火力都不行，行也别干。你空手逃跑，杀手杀你；你拿起武器当英雄，杀手、受害者、老百姓、警察，一起杀你...

                         ( 展开 )",4.0,1.0,0
3,3,34930801,校园大逃杀,133ee538147df338484ab432f5f0d5d1,badaeef7a21530dac1dab63567089737,3.0,2021-08-07 22:48:53,"故事流畅自然，镜头拍摄讲究，也算扣人心弦，就是不知道主题是什么？ 导演大致应该是想来个校园版虎胆龙威，可是校园杀手过于弱鸡，女主过于神勇，既缺乏对抗大场面又让人没法相信。尤其女主移走了货车，炸弹爆炸。按常理就没女主啥事了，外面特警已经密密麻麻等着立功了。可是...

                         ( 展开 )",,,0
4,4,34930801,校园大逃杀,20de22ca95f4acc00c8b31ae9efc9651,6a76d12a3d80821a0691dd9c2a42db14,5.0,2021-07-04 16:54:17,"这篇影评可能有剧透 

                        电影总感官，有爆炸的剧透内容 借用暗黑地牢的机制，在压力下，人们的选择都不同，正面/负面的行为/形象会鼓舞/影响所有人，纵然多数都是自暴自弃的，但我们坚信那光辉的形象永恒存在，带领我们穿越一切艰难困苦！ —————————————————————————————...

                         ( 展开 )",,2.0,0
5,5,34930801,校园大逃杀,c1646627cc45af02a9effa89823eb3af,d3e28535c74ccee29182aeb3cf837e98,1.0,2021-04-13 01:34:37,"这篇影评可能有剧透 

                        说到大逃杀题材，第一反应就是北野武的《大逃杀》那才是真正的荒诞，人性的修罗场。这部是什么东西？？？ 看到评论许多观众竟然还觉得这部很不错，要不是这部完全是海外电影我真的以为是水军。 拿剧情节奏来讲，典型的好莱坞戏剧结构，受伤的主角在朋友/家人/恋人遭难后 觉醒；...

                         ( 展开 )",5.0,3.0,1
6,6,34930801,校园大逃杀,e1cc3205c2ffdae52250759298cf3d88,4c2886b40e6a69d4271d8c41dd089da1,,2021-02-15 01:42:08,"有没有知道片尾曲的呀？我用了很多音乐app都搜不到！！有没有知道片尾曲的呀？我用了很多音乐app都搜不到！！有没有知道片尾曲的呀？我用了很多音乐app都搜不到！！有没有知道片尾曲的呀？我用了很多音乐app都搜不到！！有没有知道片尾曲的呀？我用了很多音乐app都搜不到！！有...

                         ( 展开 )",,1.0,20
7,7,34930801,校园大逃杀,db809651f3d6d3b60478fd5b31c1407d,615a18d06c345a1057688a3780b62dc0,3.0,2021-02-12 19:01:41,"一部恐怖电影的好坏，主要在于如果把你设身处地的放在主角的位置，你会做出什么反应、 你和主角反应相同，电影就算中规中矩；你连主角都比不上，证明电影拍得很好给出了更好的生存建议；如果主角还不如你，就别看了。 还有一个前提，一千个读者眼中有一千个孙悟空，这些评定标...

                         ( 展开 )",,1.0,1
8,8,34930801,校园大逃杀,ab29a5155e9e7ce85e4f42ba7f5c3125,52cd38336d43f04ef085e6eda060863b,4.0,2021-02-06 23:04:33,"此类行的片子比较多，这部也算是爆米花电影，校园暴力凶杀的题材很多，都不用拍，米国真实也天天上演，说到底传递思想一致，以暴制暴。女主丧母之后性情大变，正赶上校园枪击，算是赶到点上了，出了口恶气。地下室死磕杀马特女拍的挺真实，拉美女老师脱衣部分很好看啊，身材不...

                         ( 展开 )",,2.0,0
9,9,34930801,校园大逃杀,bb841272ae764528037f2576be2aec77,5a5389949791fc88a50c8ef976b4d450,3.0,2021-01-22 15:48:59,"（本文首发于公号：南瓜电影/南瓜电影服务） 要说看起来又爽又刺激，还能看出深度的电影。 那绝非大逃杀题材莫属了。 画面血腥、剧情刺激、还有人性阴暗面的展露。 像是荒野大逃杀的《狩猎》、酒吧大逃杀的《酒吧》、婚礼大逃杀的《准备好了没》等等…… 每一部作品都看得人热...

                         ( 展开 )",2.0,3.0,0
