,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34938650,辣手保姆2：女王蜂,a42a4d2fa6b69cf22db1eff756e943d9,a84dfe83202974bfd189dbcfc545b551,3.0,2020-09-19 16:07:28,"首发于公众号“影探” 公号ID：ttyingtan 作者：黄四郎 转载请注明出处 青春期时，荷尔蒙荡漾的你，是否曾有过这样的幻想？ 当你孤单寂寞时，会有个秀色可餐的邻家姐姐来解决你的困扰。 她可飒可萌，可御可甜； 远看身材曼妙，近看花容月貌。 如果你说，这就是你的日常，那么四...

                         ( 展开 )",6.0,,2
1,1,34938650,辣手保姆2：女王蜂,8e395239fd6a8eafc599ffec4d0f9bcb,2901ee060a4374580e10f2c3477a6006,,2020-12-06 17:00:42,"这篇影评可能有剧透 

                        网飞出品的B级片，是2017年《辣手保姆》的续作。网飞这几年发展的越来越好了，而且不受好莱坞传统价值观的限制，各类题材玩的翻飞，由于其基于线上流媒体对传统影视剧带来的恐怖杀伤力，老牌大厂华纳憋不住了，前几天放话，2021年，旗下所有影片，线上线下同步上映，这会是个趋...

                         ( 展开 )",2.0,1.0,0
2,2,34938650,辣手保姆2：女王蜂,3c6d36b7d36f69322e1ebc72df385e38,d33c14d7c10c6a3c4277c0fcfab523cc,2.0,2020-11-12 09:27:20,"当年的《辣手保姆》以小博大，这样的资源绝对不会白白浪费。 保姆的问题，在老外看来，能做到《辣手保姆》里头的那样，已经匪夷所思。 而我大天朝，却已是见怪不怪。 对孩子下手的罪犯，当真是十恶不赦。 不过，这类的电影，自然不会探讨如此“严峻”的社会问题，赚钱是第一要...

                         ( 展开 )",,2.0,0
3,3,34938650,辣手保姆2：女王蜂,4523604f513c9c3a8f9fee4f5b9218cf,99d61ec4eb4faa99f0d892c1bc1692ba,3.0,2020-10-23 18:01:29,"2017年，沙雕喜剧《辣手保姆》横空出世，无剧情、无特效、无节操的它，被无数人吐槽，却偏偏人气不俗，成为年度黑马。 第一部现象级的发挥，也让本系列的第二部被抬上了日程，备受期待的同时，粉丝却也纷纷疑惑：反派都死光了，主角也成长了，这片子还能怎么往下编呢？ 直到第...

                         ( 展开 )",,,0
4,4,34938650,辣手保姆2：女王蜂,6ccc309fe3fae4162b361118559d1c35,f114b7fe0214a94f510539128c60532c,3.0,2020-10-09 23:45:10,"这篇影评可能有剧透 

                        说出来吧我知道你想说 Say it. I know you want to. 说什么? Say what? 《心灵捕手》里的那套台词""这不是你的错"" The whole Good Will Hunting speech where you're like... ""It's not your fault."" 我这辈子每个国家安排的社工都跟我这么说 It's what every state-issued soci...

                         ( 展开 )",1.0,,4
5,5,34938650,辣手保姆2：女王蜂,2c77e503029822fbc9fed13b1bdc2774,eedfcb3776010769a52b0ccb31e14a8e,2.0,2020-09-27 17:27:18,"这篇影评可能有剧透 

                        2020美国恐怖片《辣手保姆2：女王蜂》，定级R，豆瓣评分5.7。 观感大大弱于第一部，第一部的亮点在续集中荡然无存——前作中贯穿始终的性感保姆在本片结尾才出来打酱油。前作的《小鬼当家》模式在本片中消失了，因为男主长大了。前作虽涉及邪教，但基本上是现实题材，所以容易...

                         ( 展开 )",2.0,,0
6,6,34938650,辣手保姆2：女王蜂,98272fe524b4753cd45aee1ffb5f3faa,016565a218b2497e2f83c95bea084f5a,,2020-09-26 22:50:51,"这篇影评可能有剧透 

                        看了全部的短评与评论，发现有不少人在吐槽上一部保姆的洗白与上一部女邻居梅兰妮的黑化。其实就剧情来说确实铺垫不够，感觉就好像导演把电影当做连续剧来拍，而且还漏拍了关键的几集。在好莱坞洗白与黑化的这种反转模式由来已久，编的好看就是神作，遍的差劲就是垃圾，剧情崩...

                         ( 展开 )",3.0,2.0,2
7,7,34938650,辣手保姆2：女王蜂,977029f807ec00cd89d8625c74fa7e21,c16738a7a13f34cfbdf2ef7ec31a6d3a,3.0,2020-09-25 18:09:49,"3星，没有第一部那么自然流畅，毫无故事性，而且片名跑题，这部更像是第一部的综艺节目片，所有演员大回归，交代了自己的人设背景，然后接着领盒饭了，可以说剧情豪好不出彩，新加入的小女孩也让人印象不深。但可喜的是第一部的男女主演两位小孩都长大了，见证了他们的成长，没...

                         ( 展开 )",,1.0,0
8,8,34938650,辣手保姆2：女王蜂,d70f5a7828ec2e563d470562848ec855,aa8a105043d90127c760e67170853c2c,4.0,2020-09-23 09:07:02,"近几年关于邪教的欧美片真多，作为一个非常厌恶邪教的人，看到邪教就感到不适压抑和恶心的人，搞不懂外国人搞这些cult片到底图啥，是为了展现美国的宗教包容性？呵呵把种族包容性解决了再说吧。看评论如此称赞这电影，索性给个面子打四星吧。而且演员好像都是些冷门的演员，有...

                         ( 展开 )",,2.0,2
9,9,34938650,辣手保姆2：女王蜂,bf9a87497495eb15009507a0a27e9ecb,e61532bfd8777379b4b71d6543689729,2.0,2020-09-17 19:33:16,"挺失望，第一部算是很新颖特别，弱小击败强大，让人眼前一亮。到了这一部。。。。就完全成了搞笑片，甚至加重了第一部就有人说cult片的感觉，看前面还以为有点剧情，到后面就明白了：哪来什么shit剧情，完全在消费第一部情怀，照搬第一部剧情，加个复活元素和一个可有可无的女...

                         ( 展开 )",2.0,1.0,0
10,10,34938650,辣手保姆2：女王蜂,763bdf2d7ada5c8f02425b699fbd6d34,f87567f2159b425795ebb7ba9bc406ec,3.0,2020-09-14 17:53:41,"《辣手保姆》大反驚慄片結構、套路，別出心裁的人物設定，結合殺戮期間突如其來的喜劇元素，加上美貌與智慧並重的女主角莎瑪拉韋榮(Samara Weaving)，成功從Netflix廉價的B級電影中異軍突起，續集惡魔召喚「厲鬼」組成「復仇者聯盟」短暫重返人間，試圖報復柯爾並獲得起死回生...

                         ( 展开 )",,,0
11,11,34938650,辣手保姆2：女王蜂,2c832f3afc98252ed3508e92d5f97c3e,e55318040a854ebdc8d0508d2522bee5,2.0,2020-09-13 21:34:56,"第二部里男主角长开了，帅了不少，但剧情比起第一部差得不是一点半点。 感觉第一部导演是在传统爆米花电影里加入了自己的奇思妙想，整个剧情既新奇又连贯，所以显得十分有趣；但第二部里，导演过于放飞自我了，全程按自己的奇怪想法来拍，结尾加上一个符合传统爆米花电影的结局...

                         ( 展开 )",2.0,,1
12,12,34938650,辣手保姆2：女王蜂,62f28386b4d1c4f613f496bf7ad4f392,76b9a104f1343c0575c756ab0a27a791,3.0,2020-09-14 09:22:54,"这篇影评可能有剧透 

                        不知道《辣手保姆》这部电影童鞋们看了没？ 如果没看，那就真的太对不起小G了！ 小G前不久辛辛苦苦为此特意写了一篇： [B级片版本的小鬼当家，小鲜肉遇上性感漂亮又残暴的女保姆，你会怎么办？] 那么今天小G推荐的是最近新出的第二部—— 《辣手保姆2：女王蜂》 The Babysitter...

                         ( 展开 )",2.0,1.0,1
13,13,34938650,辣手保姆2：女王蜂,829f68a06742b37aed89bcb80ed2bab4,fa63997cb7548e3b8825b40d5b3766b1,3.0,2020-09-24 18:17:44,"本文首发公众号bbmovie 2017年，网飞推出了一部以青少年为对象的恐怖喜剧片，充斥着浓浓的B级片趣味。在网飞上的观影量居高不下，也一举跃入当年豆瓣恐怖电影TOP10榜单，成为当年的惊喜之作。 这就是《辣手保姆》。以12岁的小男孩和临时保姆为故事主角，一个是青春萌动的男孩，...

                         ( 展开 )",3.0,1.0,0
14,14,34938650,辣手保姆2：女王蜂,ea73d65ab0233c6a8366fdb2173d44a4,4bd39746b2afc9d2b02fc1b51784a6aa,3.0,2020-09-11 17:05:47,"这篇影评可能有剧透 

                        不得不感叹，欧美的小孩长的是真快，短短两年间，正太变小鲜肉，小萝莉变成了性感辣妹。 本片我感觉到编剧深深的无力感，第一部的配角们死的实在是太透了，这部续集只能硬着头皮闭着眼强行编了，开头强行解释成男主神经病。还想玩个傻白甜青梅竹马邻居变身邪恶大魔头，然后看似...

                         ( 展开 )",1.0,,0
15,15,34938650,辣手保姆2：女王蜂,d5f4d712c477a5e59b77262b37d03dd9,0c53f6ac708ef2f5b18d2e8e00f5b630,1.0,2021-05-03 18:07:07,"血腥、满盆的颜料，无厘头，恶搞。血腥、满盆的颜料，无厘头，恶搞。血腥、满盆的颜料，无厘头，恶搞。血腥、满盆的颜料，无厘头，恶搞。血腥、满盆的颜料，无厘头，恶搞。血腥、满盆的颜料，无厘头，恶搞。血腥、满盆的颜料，无厘头，恶搞。血腥、满盆的颜料，无厘头，恶搞。...

                         ( 展开 )",,,0
16,16,34938650,辣手保姆2：女王蜂,9d617cfea10f57cb66adf02a014ee39a,846411d9f9c152dd521d08ffd8dd6ee5,4.0,2020-09-14 23:44:27,"这篇影评可能有剧透 

                        看完了这部喜剧恐怖电影:《辣手保姆2:女王蜂》，还不错，全程高能，血浆cut片，竟然强行把第一部的变态保姆洗白了，导演厉害了，最后保姆竟然是全剧唯一的白月光！ 影片讲述了在击败临时保姆带领的邪教两年后，科尔试图忘记过去，专注在高中学业上。但当昔日的仇敌意外归来时，...

                         ( 展开 )",,,0
