,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34943015,宝可梦：皮卡丘和可可的冒险,8e251088fb92f2b195b5ea1130ff482f,bc08097e8085632f703ec52f9bfa1b02,3.0,2021-09-01 15:41:49,"在日本，能够每年雷打不动的推出一部剧场版动画，而且票房永远卖座的，只有三部动画。它们都是被称为“国民级动画”的存在，多少年来始终作为日漫人气常青树而屹立不倒，分别是《哆啦A梦》、《名侦探柯南》和《宝可梦》。       这一部《宝可梦剧场版：可可》是系列的第23作，于2020年圣诞节在日本上映，国内将于2021年教师节当天上映，改名为《宝可梦：皮卡丘和可可的冒险》。 不站C位的小智和皮神       其实这个标题还有点欺诈性，毕竟皮卡丘在这部电影里挺酱油的，但是没办法，谁让皮卡丘这三个字就是最大的金字招牌，上至九十九，下至刚会走，有谁不爱这只黄皮电老鼠呢？（战术后仰：什么叫国际巨星啊？）况且，别说皮卡丘了，甚至就连小智在这部剧场版里的存在感都不高。       可以这么说，这是宝可梦动画自有剧场版以来，“超级真新人”小智开天辟地头一回不再是剧场版的主角。就像电影标题一样，这部电影的主角毫无疑问是可可和萨戮德这对跨越种族的“父与子”。        电影讲述了一片广袤的丛林里，在巨大神树附近居住着一群被称为“森林之血”的宝可梦部族——萨戮德，它们继承丛林守护神时拉比的意志，守护神树领域，不让其他人和宝可梦接近神树和能治愈伤病的治愈泉水。       有一天，一只无父无母的萨戮德发现了一个人类的婴儿被遗弃在丛林里，它被这特殊的羁绊所吸引，决定照料这个可爱的人类婴儿，但因为有悖族规，它只能离开神树的领域独自抚养这个婴儿。星移斗转，这个婴儿很快长大了，他的名字叫可可，他的生活很简单，每天就是和“爸爸”萨戮德一起在丛林里迅疾攀爬穿梭，吃树果、喝山泉，和丛林里其他的宝可梦玩耍，压根不知道自己其实是个人类。 四位主角的相会       直到有一天，一所研究治愈之泉力量的科技公司悍然闯入到丛林里，可可也和小智偶遇，他知道了自己是人类的身份和关于父母的身世之谜，和小智成为伙伴，萨戮德也破除了其他宝可梦不能擅入禁域的族规，所有宝可梦一起共享丛林才是时拉比的意愿，最终，可可、小智和宝可梦一起守护神树和丛林，战胜了操纵战斗机甲的邪恶博士，在那以后，丛林重新恢复了和平，小智和可可也踏上了各自了旅途，故事就此结束。       很显然，光是听这剧情简介，你都能看到超级多其他电影的影子。
       电影中途，夏多直接看乐了，这故事不就是《奇幻森林》+《人猿泰山》+《幽灵公主》+《阿凡达》等电影元素组成的究极缝合怪吗？？你可以设定老套，但不能这么明目张胆地模仿吧？       让我们对比下—— 造型完全一致       人类婴儿可可在丛林里被萨戮德发现，然后抚养成人，他学会了和宝可梦对话，成天像萨戮德（动作原型类似大猩猩）一样在丛林里飞荡攀爬，逍遥自在——《奇幻森林》里，毛克利被遗弃在丛林里，然后被狼群发现抚养成人，学会了各种动物对话。《人猿泰山》里，婴儿时期的泰山在非洲丛林里被猩猩部族发现，长大以后，泰山是动作也像猩猩一样灵活，可以自由在山林里飞荡攀爬。 泡水完全一致       这座丛林被丛林之神时拉比守护着，丛林深处有一片治愈的泉水，可以治愈万物的伤病。萨戮德拥有可以让丛林植物快速生长的力量——《幽灵公主》里，山林被山兽神守护着，山兽神拥有可以让植物生灵枯萎和生长的力量，森林里的泉水可以疗伤救死，而白狼神和幽灵公主珊守护着这片禁地，不让人类擅入，就像萨戮德守护治愈之泉一样，不让外族进入。 原始人大战机甲完全一致       再然后则是《阿凡达》，这个相似度就更是高到爆表了——捷德博士驾驶巨大装甲机器人，破坏神树，丛林里的宝可梦集体反攻的画面，简直和《阿凡达》最后纳威族为了守护神树，和人类决战的镜头如出一辙。只是《可可》里的战争规模小多了，反派显得尤其弱鸡，我怎么都想不明白，博士不过就是单兵作战，成百上千的宝可梦集体扑上去放些大招，这个机甲岂不是瞬间凉凉吗？居然还能负隅顽抗那么久，萨戮德一族是不是有点菜了？       虽然不是为了看战斗场面而来，但这部剧场版里的宝可梦战斗力设定挺不合理的，作为20年资深宝可梦粉丝的我，看惯了以前剧场版里神兽上天入地的神仙打架，再看这部剧场版的菜鸡互啄真是有点不习惯，这么笨重的机器人居然都要打半天，以前动画片里皮神一招秒一只火箭队造的机器人不费劲。显然，这部电影里的皮神再次遭到史诗级削弱，作为敏捷型选手连一招虫丝都躲不开，而小智屈居为配角后，出门冒险居然连别的宝可梦都不带了，你刚收服的快龙耿鬼路卡利欧大葱鸭哪去了？       当然，我也明白，《宝可梦》在日本的定位就是子供向动画，大部分受众都是小朋友，所以不必在剧情细节上太过较真，情节上的简单直白，套用那些经典电影的套路，也是为了方便小朋友们对于剧情的理解和情感的代入，因为有时候，最简单的就是最有效的。       但电影最后的催泪时刻，居然也有抄《海贼王》的名段落之嫌，是不是就有点过分了？        电影最后一幕，是终于在平息了一切混乱后，可可看着小智独自旅行的身影，也想要出去闯荡一番，连接宝可梦和人的关系。于是他和萨戮德说了自己要离开丛林出外冒险的心意，萨戮德把他骂了一顿，说可可自己一个人在外肯定无法照料好自己的，但最终可可还是坚持自我地离开了。后来，可可发现萨戮德其实是刀子嘴，豆腐心，虽然嘴上不让他出远门，却替可可在行囊里放了树果，父与子的关爱之情在那一刻得到了最好的升华。        海贼迷看到这一段剧情，很难不想到乔巴加入草帽海贼团的那一段催泪剧情。当乔巴和朵丽儿医生说自己要离开磁鼓王国，与路飞他们一起出海冒险时，医生把它大骂了一顿，说它这么胆小在外面的世界肯定会遇到很多挫折，无法照顾好自己的，但乔巴还是在月圆之夜和路飞他们一起勇敢地驾着雪橇离开出海了。到了船上，乔巴才发现朵丽儿医生已经提前替它收拾好了行囊，真正的关爱之情，一切尽在不言之中。       如果说只有一点别的作品的影子，那还可以用巧合解释，但这部《宝可梦剧场版：可可》融合了那么多别的电影的架构和细节，我只能认为编剧是真的很偷懒了。       偷懒的地方除了剧情的模仿外，还有很多敷衍的设定和一思考你就会发笑的细节。 捷德博士       生境公司一出场，就标榜着要打造一个人和宝可梦和谐共处的世界……我一听可就乐了，在各种电影里，但凡一开始喊着那么高大上理念的科技公司，多半都是动机不纯、充满野心的坏公司。果不其然，捷德博士的黑化简直跟教科书一样标准，真是7岁小朋友都能猜得到的剧情展开。       另外，这家公司十多年来的研究到底在研究什么东西，我也不是很清楚。十年前，可可的父母就给捷德博士看过了神树的照片，说萨戮德族群在保护那棵神树，而捷德博士这十年来居然找不到这棵神树的位置？拜托，那棵树大得方圆十公里外都能看见，你丫都研究出反重力摩托了，出动一架无人机在丛林上空兜几圈找棵树也花不了多久吧？我相当怀疑这十年博士光在摸鱼划水骗经费了，妥妥的科研蛀虫啊！        电影中段，可可拯救烟花筒里的列阵兵的时候，我百思不得其解……谁能和我解释一下，这四肢短小的列阵兵，究竟是怎么掉进这么高的筒子里的？？        博士驾驶的战斗机甲，背上居然有个控制装置，只要破坏了就能把机器人停下来…………谁能再和我解释一下，为什么这种战斗机器人要把弱点暴露在外部？这个设计是不是有点大聪明的气息了？        最后，我想这部电影再次坐实了“小智没有爸爸”的都市传说，因为在电影结局，小智看到萨戮德和可可的父子之情，深表感动，然后就给妈妈挂视频电话去了……喂，正常人难道不应该感同身受地先想到自己的爸爸吗？所以小智那个从未出场的父亲到底是谁，我想直到宝可梦动画要完结时，这个困扰大家多年的未解之谜才能解开吧？！        电影已经聊完，再来稍微聊聊宝可梦动画系列未来的趋势吧。       自从宝可梦进入《剑/盾》的第八世代以后，宝可梦公司似乎有意打造一个更广阔的宝可梦生态圈和世界观，让宝可梦的世界变得像活生生的真实世界，而不再像从前一样，只把焦点集中在小智的冒险上。       看看《剑/盾》之后推出的几部动画作品吧——《宝可梦 旅途》TV动画，尽管“一球超人”小豪并不讨喜，但这也是动画系列第一次出现了和小智地位齐平的双男主角色。《宝可梦剧场版：可可》，从标题开始，贯穿开头和结尾的主角都是可可，而非小智，甚至你把小智的戏份都去掉，换一种方式只描述可可的冒险，剧情也是完全可以成立的。至于《宝可梦 破晓之翼》这部短篇系列动画，小智更是连出场都没有，却因为描述了一个丰富、多元化的宝可梦世界而获得了一致的好评。 破晓之翼，这个名字代表着什么呢？       在这其中，我能感觉到Pokemon Company将来布局的方向，重点是宝可梦，而非某个角色。       在我眼中，《可可》虽然不是一部上佳的电影，却是一次大胆的尝试，因为它让我们熟悉的小智变得边缘化，这个举动必然会让很多情怀党不满，但却可以打破陈旧惯例，为宝可梦世界增添更多新的可能性。       试着想一下，如果不围绕着小智带着孩子气的冒险之旅展开，将来是不是就可以拍一些更加成人化、具备深度的宝可梦电影呢？对这样的可能性，我个人是很期待的。       毕竟，当年许多看着宝可梦动画的孩子们已经长大了，如果这个系列无法跟着成长，宝可梦将会是很多人关于童年的遥远回忆，永远只会是孩子们喜欢的宝可梦，而不能成为所有人的宝可梦。",31.0,2.0,5
1,1,34943015,宝可梦：皮卡丘和可可的冒险,1af1aa82db2046cdbc108744ebd31861,be649584147d723b96d2c0fc3dc63131,5.0,2021-09-12 00:04:58,#我永远爱宝可梦 宝可梦最新的剧场版——皮卡丘和可可的冒险，也是剑盾时代的大集结，虽然个人对剑盾吐槽有加，但这部的确是无愧于“十年来最好的一部”。 在影院哭得稀里哗啦，叫coco的都这么催泪吗。 本以为会是延续傻白甜卖萌的一部水剧，开场皮卡丘斜挎着吼吼鲸🐳的小挎包和吉祥物贪心栗鼠🐿️萌化了心，以为就止于此了。但，这一部出现了杀人灭口的反派，而且还是个博士，中间的剧情一度压抑得远超出宝可梦世界的范畴，这让人感觉更加真实，在宝可梦世界直视阴谋、死亡与杀戮这极为难得。 选择893号的恶猿宝可梦萨戮德🐒作为“狼孩”可可的父亲也很巧妙，讲述了一个阿凡达收养人类儿童的故事。可可全片只学会了四个单词，分别是“傻东西、ちち、ともだち、いこ一”。 这一部不仅深入探讨了人与宝可梦相处共生的话题，还表达了强势宝可梦和弱势宝可梦之间也要学会分享共处的理解，这也是前所未闻的。自然界的丛林法则在人类社会与宝可梦世界交替上演。 最后让我泪崩的点是关于父爱的表达，作为被收养的孩子，可可是个苦命小孩，当养父也要再次被杀掉的时候，我真的以为这次不会有奇迹了，可可当年的婴儿毯成为老父亲最骄傲的披风，那也是251号时拉比送上的祝福。 在最后可可因为决定要踏上属于自己的旅程时，父亲象征性制止以示心疼后，在可可踏出第一步时，父亲随即送出了最真诚的祝福，父亲永远会无条件支持你的任何决定，父亲也记得住孩子的每一句话，包里是当年父子俩亲手种下的两颗果树上的果子，果子已经成熟，孩子已经长大，去吧孩子，就像歌里唱得：  “今后，还能这样拥抱几回呢，愿您能拥有快乐，愿你不会有悲伤回忆，愿你能遇见美好的人，每一日迎来送往的问候，都会将我们紧紧相连，将来，当你为梦想启程，我会目送着你直到视野消失，愿你随时都能回到这里来…  ps. 内啥，古月鸟竟然会吃刺梭鱼…？,8.0,,1
2,2,34943015,宝可梦：皮卡丘和可可的冒险,89e2710954ea9190c11a924f527b65c6,e5715313f7b27bf63ac04483d1b599fe,4.0,2021-11-29 11:32:22,宝可梦伴随着我们很久了，童年的记忆，影响了一代又一代人。小时候我们亲切的唤作神奇宝贝，长大了，现在的孩子，除了知道奥特曼，很多人还爱着那只电老鼠——皮卡丘。好多的车贴都是皮卡丘，昨天还看的抖音的一个妈妈把孩子的房间布置成皮卡丘主题的，好生羡慕。这种长大了还拥有童年的感觉甚是美好，看着自己喜欢的美好传承下去又是一种欣慰。好了，题外话不多说，看看这部电影吧。 其实说老实话，电影剧情其实能猜到，相对的比较老套。除了新的宝可梦之外，新的人物角色，没有太多的新意。但是换句话说回来，父子亲情是永远不会过时的，总有人会为之哭泣，也总有人会为之动容，我就是其中一份子。 萨戮德在森林里捡到一个没有父母的孩子，取名叫可可。为了可可，他脱离群族，独自看管这个孩子，让孩子叫他老爹。这只萨戮德自己是缺失父母关爱的，所以他想给予可可家庭般的亲情呵护。他一直想探索父子关系的真谛，总觉得孩子在身边，保护他就是他所能做的最好的。直到可可遇到真正的人类——小智。可可明白了他原来是人类的孩子，他委屈、迷茫后，终于想清楚了，他要去做宝可梦和人类之间的纽带。 就像人类父子一般，孩子总有长大的时候，会叛逆，父子两会意见不统一，会矛盾深化。但是关键时候，父亲是孩子最坚实的后盾。父爱深沉，也不善于表达，只是默默的看着孩子渐行渐远，用自己的方式为孩子加油打气，铲平阻碍。 因为破坏森林的可恶行为，萨戮德们认识到，森林是大家的，他们不应该占有。团结起来的力量永远比单枪匹马更加威猛。当大家和谐共处，这片家园才会愈发的生机盎然。可可的父亲也认识到，孩子是自由的，我们不该成为他们未来发展的牵挂。拼了命的保护他们也不是为了将他们系在身边，尽管不舍，但这就是他们要走的路啊。孩子有目标，有能力去闯荡世界，为人父母的应该感到欣慰。每个人都有自己的路要走，父母没办法替代孩子去走他们人生的下半辈子路。 最近看了太多关于亲情的电影，很多事情经历多了会变得麻木，但是感情不会。遇到真挚的情感还是会感慨羡慕动容流泪、祝福致上。,1.0,,0
3,3,34943015,宝可梦：皮卡丘和可可的冒险,6d5563e508ee1867e84a585cdd32ed8a,8a839c233bcf11a8b126e988ec4f6dfd,,2021-10-02 10:24:36,2021年9月我21日，一家四口到完美世界影院观看了宝可梦之皮卡丘和可可怪，电影是8点50分开始，凯德茂是10点开门，直梯没有开可以理解，但滚梯没有开就比较无语了，一家四口爬了五层楼梯。小家伙儿们最近一直在看皮卡丘的动画片，因此对这个大电影非常向往。电影情节和画质都不错，中规中矩的一部大电影，品质方面对于两个小家伙儿是绰绰有余的，小家伙儿们也认真看到了最后，直到片尾曲结束。,1.0,,0
4,4,34943015,宝可梦：皮卡丘和可可的冒险,ec0ea088889dbd73c7c9be2fa6fadf4b,ec0ea088889dbd73c7c9be2fa6fadf4b,4.0,2021-10-01 22:40:30,第一次看宝可梦的电影（其实动画我也没怎么看过）。带孩子看的，影院里大部分是家长带着10岁以下的孩子，还有三三两两的20左右年轻小伙子，这让我挺惊讶的。开场发现是国语，有几个年轻人发出失望的声音。 毫无疑问主角是可可和他的萨穆德爸爸。电影名字就有点……我也不知道萨穆德是干嘛的，看完了又去查资料补了补课。 只谈萨穆德的设定，是挺有意思的。他们可能是仗着自己比较强大，族群个体数量也多，霸占着神树中心地区，不让其他宝可梦靠近。官方设定是恶属性的。类似猴群，他们有自己的首领，族群内有规则，有领地意识，后来也没怎么为难可可和他爸爸，为了保护神树与恶博士作战，真没觉得怎么“恶”。更别提他们还有“治愈”的能力。最后，可可要走了，爸爸还傲娇了一回。真是有意思的设定。,,,0
5,5,34943015,宝可梦：皮卡丘和可可的冒险,ce5e808afd33941813b53d31b9749a10,893b7719713faaa97b1caa5603313723,3.0,2021-09-25 19:50:55,#宝可梦：皮卡丘和可可的冒险 剧情真的没有任何悬念，里面的善恶很分明，类似于一个理想化乌托邦的描绘吧。 故事是关于父子亲情、梦想、勇气、冒险之类的，其实给我的感觉就像我重新看狮子王一样，是我长大了，很多事情我向往但是已经知道实现的机会渺茫了。 十年前我期待科技的发展，没想到十年后是庞大的信息不对称和科技剥削。 就好像是2000年那会给我编织的网络时代梦，科技不断发展，地球会变成一个地球村，大家开放自由沟通尊重互助，每一点记忆碎片都是会融入人类历史长河的水滴，而我们是能够随时掬起任何一捧水的人。 被千禧梦骗得好惨（甚至到现在还不死心），他们说我们会在相互沟通交流中一起携手，去保护环境，去消灭战争……可以去做任何我们想做的事情。 然后搞出来这些观念这些电影的🇯🇵不是试图修宪解放自卫队就是往太平洋里倒核废水🇺🇸不是退出气候协定就是搞局部战争……🤮了 最后还在相信的人说：人类是一个休戚与共的命运共同体。 #后排🈶️一对夫妻带着俩小孩来看，小孩看一半就跑前面去撒欢了，看完了以后父母骂小孩一点都不专心看，我心想你带他来看日文版让他咋看啊字都不认识几个，小孩好惨,,,0
6,6,34943015,宝可梦：皮卡丘和可可的冒险,c68546a392f848f50cd6fc7a2fe7e2f7,4d7e278f52002807d5ec0dc3f0662a8f,4.0,2021-09-24 00:30:56,又是新一辑的宝可梦剧场版系列故事，主打亲情牌路线。故事大体上也是在围绕着爱护环境、保护生态资源而展开。主要讲述了皮卡丘和小智这次来到一片丛林之中，遇到由宝可梦家族首领抚养长大的孩子可可，因孩子父母被奸人所害造成的前因后果，而当可可遇到皮卡丘和小智以后就对自己的来历开始了怀疑。剧情框架有着正义、有着成长、更有着可可和萨撸德之间的父子感情，和固执已见的反派展开了一段正邪之间的较量！其实宝可梦不也全都是坏的，它们为了自己的家园共同繁育着、保护着自己的家园而做出的贡献和努力，而人类之中也有一些偏执的、只为了自己利益的大反派在破坏正常的秩序！不要用自己个人的想法去搬动所有人的思想，这才是一种最愚蠢的思维逻辑方式！宝可梦的故事还没有结束，但皮卡丘每一次带来的故事都极其富含有教育性极高的意义！让人类和精灵学会如何和平共处，这才是我们的精灵宝可梦、我们的可爱皮卡丘，来铸造美丽的乌托邦！ 个人评分：8.0分,,,0
7,7,34943015,宝可梦：皮卡丘和可可的冒险,ea582741d72e1d8ec6bd1a33bd753796,e4c44c9bac6d84a7fc3956e561c8f195,4.0,2021-09-23 01:02:48,"这个从童年起就一直喜欢的系列。最令我着迷的从来都不是各种炫丽的技能和形态各异的宝可梦。真正使我对这样一个系列保持始终不渝喜爱的是一个完整的世界，这是一个有宝可梦有人类有自然的世界，这同样是一个不符合现实社会的世界这里的宝可梦们总是和谐共生，这里的人和宝可梦们一定会和谐相处，这里破坏自然竭泽而渔的行为一定会遭到阻止。这是这样一个充满幻想，令人着迷的世界。
    这一部可可，虽然剧情很简单，简单到看完了开头部分就可以顺理成章的推断出后面的内容，但故事中展现出的人与宝可梦的相处却一样让我感到沉迷。森林的破坏来自人类的贪欲，但美好的品质战胜了人类的贪婪，贪婪被打败了。人和宝可梦一起努力重新恢复了森林面貌。除了开头就设定的一眼就被猜出来的反派之外，故事没有设定任何其它的反面角色，宝可梦也和人保持这友善的互动。
   可可是一个从小没有父母而被宝可梦养大的孩子，他与宝可梦父亲的互动作为另一条主线和人与自然的主线交错而行，以一个孩子会与父亲爆发的叛逆，理解。感恩，出走的全过程展现出了一种真挚而美好的情感。
   总体而言这部宝可梦没有太过于惊艳的剧情，也没神秘的传说探秘和新鲜的神兽登场，但它还是展示出了一种魅力，一种独属于宝可梦的魅力。那是一种物竞天择失效了一般的奇妙世界，个体利益被放在了低处，共同利益被抬到了高处，经济价值被放在了低处，环境保护被放在了高处。这是一种明知现实世界恐怕永远也不会实现，但就是会止不住的想，止不住的做，努力想要实现的美好幻想。",,,1
8,8,34943015,宝可梦：皮卡丘和可可的冒险,87fc297d797ca73508cee4abc12e9a4b,bbc79dfd792f50143c6876f33ed7af38,,2021-09-20 13:07:24,说真的，有多喜欢这个爸爸，实在找不到很好的词，他比人类的爸爸可能更强。最后，真的是保卫的力量，在一群宝可梦中，使之变得更有感染力，真的有被感染到。不得不说皮卡丘新电影里面的父子情真的让人唏嘘不已啊！我的眼泪已经开始不值钱了，始料未及的惊鸿 太爱这个小松鼠了，行走的表情包！虽然忘记叫啥了。但！还是最爱它！,1.0,,0
9,9,34943015,宝可梦：皮卡丘和可可的冒险,2ec3cc7de69c0abb98b84898a4643f3e,bfa63540c6067b6977817ded30e44f1d,3.0,2021-09-18 20:54:24,这是一个讲人与自然，人与其它物种的相处之道的故事，小朋友看了，希望能启发他们，建立自己善良无私的价值观。 开篇的镜头真是美啊，森林里的场景，颜色非常优美，自然的声音让人放松心情， 小智带着比卡丘到森林旅行，临行前跟妈妈通电话都是急匆匆的。 一天，小智遇到被POKIMON养大的可可。不会人类的语言，但能跟宠物小精灵们沟通，可以跟皮卡丘通话那段真的很温暖呢。 可可是个好孩子，曾经冒着被凑的风险也要带软弱的小精灵到禁地泉水去医治，泉水被强大的POKIMON种族控制，不让它们以外的生物享用。 直到遇到人类的入侵，当然人类当中有两派。善良的和贪婪的。 不剧透细节了，恶有恶报。 最终，还让可可成为勇敢的人，决定外出看看； POKIMON跟所有小精灵和人类和平相处，一起种树； 小智打电话回家也充满温情。 这是一部传递爱的电影，家长们可以带孩子去看啊~~,1.0,,0
