,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34951154,夺皮,3284d1697525bf51ff461188c22fb5d1,92ad6a627fab756e848871deb31a1511,1.0,2020-02-13 21:23:45,"这篇影评可能有剧透 

                        请允许我前20分钟的内容跳过，因为我实在没抓住什么重点，主要是讲一个小女孩目睹自己的母亲躺在浴缸割腕自杀，吓傻了的她不忘给母亲盖上被子，之后小女孩长大了，得知没有血缘关系的姨妈去世，来姨妈豪宅参加她的葬礼，同样来参加葬礼的还有一个英俊小帅，在这硕大的豪宅，那...

                         ( 展开 )",3,1.0,3
1,1,34951154,夺皮,29b02b34ab0711ec533e30a7764c682a,4d6483770ad57eee36f0ed405ba833e4,1.0,2020-03-27 22:46:06,"这篇影评可能有剧透 

                        故事很简单，一个小女孩的妈妈讲完故事自杀了，具体为什么呵呵了，电影里没解释。 后面就是准备参加姨妈的葬礼，很奇怪的管家和莫名其妙的一个小白脸。女主演技烂到吐，台词跟念悼词一样！期间女主YY很多次 剧情莫名其妙，两个人打了小白脸一顿把戒指夺走魂就跟飞了一样 看到这...

                         ( 展开 )",5,5.0,0
2,2,34951154,夺皮,d37cb6fb056ef0fdbe2a89a500923b38,f44c35dcfb5b02b856d61f7fc148e811,5.0,2020-01-29 17:32:49,"国产片的偏科严重由来已久了，这是一个创作者和观众互相作用的结果，从豆瓣评分就能看出端倪。只要是现实主义题材，再伪善的6分、7分跑不掉，其次是喜剧类型，笑点无论高雅低俗，6分起评，奇幻、科幻稍低一点…… 而恐怖片，应该是起评分最低的类型。 其实哪怕是国外的精品恐怖...

                         ( 展开 )",7,3.0,5
3,3,34951154,夺皮,13517e0d366ed27bf200e74389ea0348,4b9c5f5ad8e779bb315b2a29283c92d8,5.0,2020-01-24 19:19:14,"点开时抱的期待并不高，主要被“网大”二字拉低了预期。 “网大”意味着成本小，制作粗糙，各方面硬性标准难以得到保证。而恐怖片刚好又是一个视听需求颇高，情感唤起又处于亚类型边界的这么一种电影。 但看完夺皮，还是充满了新鲜感，在国内尝试拍《阴风阵阵》这类风格化恐怖...

                         ( 展开 )",3,2.0,1
4,4,34951154,夺皮,cae2d730e50a8910639eb8e17228380d,ba1ad4d61acababec37a805ad1546df6,5.0,2020-01-24 12:01:28,"这篇影评可能有剧透 

                        这分明是今年最有趣的华语电影之一，结果被大家诟病成这样，我实在不能理解。看懂这部电影必须使用一些心理分析的视角，最后你会发现这么几个事实： 1.片中的真实和梦是倒置的，童卉从小就患有心理疾病，她在结尾穿着病号服出现是唯一的真实场景，前面的都是她的想象。 2.童卉...

                         ( 展开 )",6,,1
5,5,34951154,夺皮,96b97c33bc32eab3987d918d65115c2b,eff28cfebd34fac256a3b4c8b6ae53f7,5.0,2020-01-21 11:45:27,"你的孤单可能是因为，没有给过爱你的人接近你的机会 KnowYourself 很久以前，我们曾写过一篇关于丧剧《马男波杰克》的影评，里面的主人公波杰克是一个工作生活一团乱的过气明星。当我们回溯过去，会发现波杰克有一个糟糕透顶的童年，失败的父亲和自私的母亲一直打压着波杰克。...

                         ( 展开 )",3,,0
6,6,34951154,夺皮,96b97c33bc32eab3987d918d65115c2b,eff28cfebd34fac256a3b4c8b6ae53f7,5.0,2020-01-21 10:52:32,"最近看了新恐怖片《夺皮》，影片有一些儿童期经历对成年影响的讨论，我查了查选择了几篇内容比较详实的文章，转载过来，大家一起学习学习。 如果想从心理学的层面了解一个人的性格和恋爱方式的成因，你可以读一读发展心理相关的书籍。下面是从人格发展阶段尝试来解读人格类型。...

                         ( 展开 )",1,,0
7,7,34951154,夺皮,fce5de8dd1a6b2c02912bf390c29102c,7ca25b23c06938524ad485f006b3f2a6,1.0,2020-05-09 21:50:33,"恐怖片，即是把人放置在一个极端的环境下，在声音、画面、情节的刺激下，情感上产生恐惧、刺激、温情的影片。通过展现人性的恶，来烘托及弘扬人性的善。 这部影片卖点有3：老戏骨、国际电影节盖章、换魂设定。 所以，爱奇艺的广告位刻意放大[鲍起静]和[陈瑾]两位老戏骨的海报，...

                         ( 展开 )",5,1.0,7
8,8,34951154,夺皮,f5cb5db94af619350fce25a1ad56b26d,6fb785c32cb38a675fdd18c4095a1391,4.0,2020-03-20 15:07:28,"女导演把自己对创伤和恐惧的认识包裹在一个恐怖类型片里来表达，格局首先很大器，为了争取观众做了一些妥协，片子里有些夹生的吓人镜头比较尴尬，但更为亮眼的是对人物的独特设计，是情欲戏、闪回、梦境的灵动穿插，没有低端刻板的吓人桥段，没有迂腐封建的爱情观，而是在讲一...

                         ( 展开 )",4,,0
9,9,34951154,夺皮,6f3c4eb86d4889bd54f392391d793c70,c5d7c8e5c7430e6cd4bd8efbefbaad91,4.0,2020-03-13 11:34:17,"片子不是那种跌宕起伏、一惊一乍的常规恐怖片，不同于以往的观看体验，甚至不能用”国恐“这类简单粗暴的标准来衡量，片子很自成一派，气氛缓缓的但是很瘆人，故事看起来简单但是细节超多。在好几个国际电影节上拿了奖，国外的恐怖片发展得很成熟，分类很细，还有专门的恐怖片...

                         ( 展开 )",2,,0
10,10,34951154,夺皮,040a456aca66ab79d4c38388577169b4,4e987dc0372cffc5d54b9121d957ae82,4.0,2020-01-26 15:36:48,"看到几篇评论在讨论心理阴影，我也想说几句。 心理学上有一个关于精神分裂的理论，叫做“双重束缚”，是英国著名心理学家葛雷格里. 贝特森提出来的，简单来说就是一种两难境地。 如果一位妈妈以非常狰狞可怕的面孔告诉自己的孩子：妈妈好爱你哦。 或者，一位妈妈非常慈爱地告诉...

                         ( 展开 )",4,,1
11,11,34951154,夺皮,722b08504dd60327e2f09e5eb8589eb8,82efb472398e9539b83b1366259ddf1e,4.0,2020-01-24 13:36:56,"上一个这么不顺遂的春节应该是雪灾吧？ 今天看到囧妈直接线上发行，感叹真是每部电影都有自己的命运。 这部惊悚片也搭上了这个背景。 真心觉得这部片子挺有意思的： 第一，惊悚题材放在春节线上上映。这要不就是赶上了，没办法，要不就是团队埋了个大梗？ 第二，看完片子之后，...

                         ( 展开 )",2,,0
12,12,34951154,夺皮,48c672d92e4b069931bd21c0a1c1b56f,e6713a3215a9b68097c0dee82d0c8486,,2020-01-19 15:24:40,"由知名青年编剧邱玉洁执导,老戏骨鲍起静和陈瑾特别出演，张研和、安然、熊能等实力演员主演的惊悚悬疑电影《夺皮》将于1月20日登陆爱奇艺电影频道开播。电影讲述了因母亲自杀导致童年阴影的平面模特童卉，突然接到富豪姨妈的葬礼邀请函，童卉来到姨妈豪宅后发生了一段段诡异的...

                         ( 展开 )",1,1.0,6
