,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34951277,与爱同居之永恒的爱,5718b5d2724b2a90e85f73512c491b5c,ec8dbd25f46969f58411a78639dda204,5.0,2020-02-09 15:01:45,"很久之前追完了剧，看完了小说，还搜索了一切能搜到的小说番外篇（目前依旧没有找到番外全集），几天前也终于追到了大结局13集。总想写点什么，毕竟这是19年最让我上头的剧。 开始的开始，对这部剧并没有抱很大的期望，看过泰剧的都知道，让人难以理解的剧情是泰剧的一大特色，...

                         ( 展开 )",26.0,1.0,19
1,1,34951277,与爱同居之永恒的爱,f2268b03c082980b43dccb572813d526,77720d9a7134b444b8baf78d9561b744,5.0,2021-07-12 15:07:20,"泰国人的演技基本是没有的 他们都没有科班出身这一说 靠拍戏前的workshop能有什么好演技 ws给粉丝撒糖罢了 而且剧不行就搞真人是泰腐通病了 但是观众越来越不吃这套了 不仅是这部剧 另一部吹天花板的也是 如果剧崩了 真人也不会长远 再加上新鲜感一过 泰腐每对cp都是如此 与爱...

                         ( 展开 )",1.0,,0
2,2,34951277,与爱同居之永恒的爱,555c13460ccc93655f5f5e572a3a3fd7,ca5827cd7eb02b4f6bcbc8115bc7a2f7,5.0,2020-12-17 22:43:07,"满足了我一切对成年男人之间爱情的幻想，温柔以待，互相宠爱。 小谭永远也不会生气也太温柔了！ 小台每次炸毛后也会反省并主动认错太可爱了！ 两位对生活工作也很负责，用力在相爱，认真在生活！ 平行世界里的小谭和小台啊，要一直这么幸福呐！祝你们早日结婚！小谭加油啊冲冲...

                         ( 展开 )",2.0,,1
3,3,34951277,与爱同居之永恒的爱,853d30d7fad3a0a0f1c32f547cedf4a9,5dcb25d25bd4aab529373f08ad353ce2,4.0,2020-10-22 11:10:06,"最近被这对cp磕到了，现实俩人真的太甜了，各种互动营业，作为腐女的我强力推荐！这部剧之所以能在一众腐剧中脱颖而出，我觉得除了演员本身，这部剧激情戏的拍摄手法和故事情节也很值得一夸。 导演深谙营造氛围的重要性，冰块吻脚踝吻太经典了，两个人的表现张力被诠释的恰到好...

                         ( 展开 )",1.0,,0
4,4,34951277,与爱同居之永恒的爱,555610c617bd4075ff942a672765a25f,6c74864750cef72ee3248ee786485a13,5.0,2020-06-28 15:33:03,"与爱的服装造型真的很封印颜值，不过他泰的剧，害，我都习惯了。看剧的时候真的把我家沙发捶变形，啊啊啊啊啊啊啊，太tm激动了。向来剧和真人分离的我，在看完剧的时候鬼使神差去看了剧外真人，从此一入cp深似海，我的缪糕，我的初心。我唯一一对最爱的cp，SZD！！！ 与爱的第...

                         ( 展开 )",1.0,,1
5,5,34951277,与爱同居之永恒的爱,de90da5b7ac14f4285ae8dbc5fbd9276,043fc95b13ef93c8163c4ad852a16fe6,,2020-05-28 10:14:41,"之前看完剧后一直没有找到最后的这部，今天终于有机会看了，我真的太喜欢这个名字，永恒的爱💚剧里的Tepy和Tharn到剧外的缪和糕，我都希望是永恒的爱 前面的剧集回忆，都让人想哭，好像每一个片段都记得发生了什么  尤其酷爱缪打鼓的那一段 没想到他们在一起已经四年了，我们...

                         ( 展开 )",2.0,,2
6,6,34951277,与爱同居之永恒的爱,105f0284cdc35a48dd53e73d2af0a634,d4fa6249dcbc0ccc413ab657f1aaaa24,,2020-04-25 16:22:54,"在家一只回味与爱同居，嗑他们的营业，竟然发现有电影？！搜了搜资源找到了。开始几分钟是电视剧的回忆，然后是副cp，明明和34也出场了。二十分钟过去了。然后腻歪。见type的父母。爸爸不同意，妈妈同意。腻歪一下。后来发现是梦。还有什么猫耳朵play。然后是说34和哈密瓜是he...

                         ( 展开 )",2.0,,1
7,7,34951277,与爱同居之永恒的爱,a499d4f563da4c26d599aafd00a02c28,477524486ff39f57fde9fe9d7325b726,5.0,2020-03-26 23:41:55,"我是觉得评分有点虚高的 因为其实电影的内容并没有特别出众 拍的也没有特别的好 说是电影 其实更应该称之为电视剧的第13集 给评分的时候也是看完了全部 然后开始磕现实中的cp之后 被他们现实里的甜冲昏了头脑 想也没想就给了5星 但是不得不说还是很喜欢他们这样 这部电影还有他...

                         ( 展开 )",3.0,,1
8,8,34951277,与爱同居之永恒的爱,0fc17ab9d23b0aa2d62486956cb96bea,419e0dd0d1f4abc94dc8ca4e666b260b,3.0,2020-03-26 20:56:57,"随着剧情的发展不怎么突然好喜欢tharn，可能是因为tharn坚持不搬走并对no说，搬走就意味着我喜欢男人是错的，我没有错，也可能是因为tharn一直很温柔的对 type好，当然也有可能只是因为tharn长得很帅。不过后来由于先看完了小说结局，知道tharn在前男友的问题上犹犹豫豫，磨磨...

                         ( 展开 )",2.0,,1
9,9,34951277,与爱同居之永恒的爱,80fe7a3799a3239a57fa26744f6b032f,d5a30eac28ad1b371e6985131b46eaf0,,2020-03-24 15:29:31,"哈哈哈哈哈哈哈哈哈哈哈哈电视剧也是甜甜甜   眼睁睁看着一个直男被扳弯 可能这就是爱吧 情人眼里出西施呀同性才是真爱 他们两人的爱情就是两人的性格 一人像火一人似水 在剧里也可以看得出来。（不过话说这整个工程学院里面的足球队都是嫁给了富豪  ） 其实他俩太适合这一段话...

                         ( 展开 )",,,0
10,10,34951277,与爱同居之永恒的爱,fd4673c3de21d0064c78a62cc22915cd,6a05c997cd3461dee03e1291087eabb3,,2020-03-20 15:45:48,"这篇影评可能有剧透 

                        在家一只回味与爱同居，嗑他们的营业，竟然发现有电影？！搜了搜资源找到了。开始几分钟是电视剧的回忆，然后是副cp，明明和34也出场了。二十分钟过去了。然后腻歪。见type的父母。爸爸不同意，妈妈同意。腻歪一下。后来发现是梦。还有什么猫耳朵play。然后是说34和哈密瓜是he...

                         ( 展开 )",,,4
11,11,34951277,与爱同居之永恒的爱,3043b6ca8334a82bcee8a31455c579a5,56bd75b6675ffb51f5895b3ece45f99b,3.0,2020-03-16 23:32:02,"这篇影评可能有剧透 

                        這個番外篇本來是第十三集吧，所以我在與愛同居的劇評說導演手法高明，要是真把它接成大結局那就太冗長了，如今名正言順地獻給喜歡兩CP的粉絲，看他們在風波後的日常，談談情做做愛，全程高糖姨母笑，還有與外父初次見面的噩夢，也補足了正劇Type與好友和好的遺珠，不過Lhong再...

                         ( 展开 )",2.0,,1
12,12,34951277,与爱同居之永恒的爱,cb1081e172765b31166b73e751397ebe,0e1f91edbd233c174ef2cf45dc83593d,4.0,2020-03-16 11:02:31,"《与爱同居之永恒的爱》是一部由Tee Sintanaparadee执导，苏帕西·宗澈瓦 、 Gulf 、Suttinut Uengtrakul主演的一部爱情 同性 家庭类型的电影。看过泰剧的都知道，让人难以理解的剧情是泰剧的一大特色，所以即使在看完前半部分就没有多么期待。 随着剧情的发展不怎么突然好喜欢...

                         ( 展开 )",,,0
13,13,34951277,与爱同居之永恒的爱,4384564a69c742868e958e054d65e405,f85ea6a83df1a9fab3c8ea29dd5d78fd,,2020-03-11 07:32:42,"看过泰剧的都知道，让人难以理解的剧情是泰剧的一大特色，所以即使在看完第一集也依旧没有多么期待，就连大家都觉得很帅的tharn&amp;type的颜值也没有get到。随着剧情的发展不怎么突然好喜欢tharn（刚刚想了很久依然没想起来why），可能是因为tharn坚持不搬走并对no说，搬走就...

                         ( 展开 )",,,0
14,14,34951277,与爱同居之永恒的爱,e5373c158edbe7a73e669a36fffc4abb,4e59f69d2ac86c71deb844c3f86019f2,,2020-02-13 16:22:30,"拍得很细腻很好看，亲亲真的是太可了！ 爱到每一帧都是你… 这个情节拍得好温柔，永远的十指紧扣，多少困难，一起携手面对，tharn说，跟你一路走的很不容易，但是我很开心。真的是太温柔太宠溺了。同性是非常能理解并体会对方的感受的，懂得对方需要什么，需要的感觉是什么，互...

                         ( 展开 )",2.0,1.0,3
15,15,34951277,与爱同居之永恒的爱,1992a8cb0b794addf69e46e839409ec3,1c86b3a660b3c608a6eca6c7f8deabdf,4.0,2020-02-26 13:19:23,"我的天啊 攻受长得可太对我胃口啦好帅 攻真是人设太好了吧 若是我搬走，就认可我不喜好女生是毛病。 我没有出错，不会搬走。 真的好棒。 受就有点无理取闹了估量后续会给出缘由 整体剧情在线各个演员不错演技比力天然 配乐不错剧情节拍不错 亲吻的时辰攻的手好苏啊年夜拇指带着...

                         ( 展开 )",2.0,1.0,0
16,16,34951277,与爱同居之永恒的爱,db564c1ed8725b46ba031958e0632edc,2aa787711b472038a1d22d1c3f4a23c7,5.0,2020-02-04 09:08:41,"这篇影评可能有剧透 

                        一段回忆过去后（特别是其中一连串kiss过后）就步入故事的正规了。Tharn第一次去见Type的parents，刚下船，Type父亲过来询问并欢迎Type的朋友，并不停问，你的女友呢。Type给父亲介绍了Tharn是自己的男朋友(๑°3°๑)，父亲晕倒了。后来母亲支持Type，父亲不同意，很幼稚...

                         ( 展开 )",1.0,3.0,15
17,17,34951277,与爱同居之永恒的爱,9ca41fdb2667de8695964d2a5af34554,5f3be7691b4e9a58fa5729bbe9a575f7,,2020-06-22 06:51:33,"期待看看，听说这部电影演绎的很棒。 同性题材电影也出了很多精品。不排斥同性，尊重。 期待看过后来评论。 期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待期待...

                         ( 展开 )",,1.0,0
18,18,34951277,与爱同居之永恒的爱,8350ee5f5e0dca98d3a963549ad2f40e,27083ffd480366aa6fe615d17fe14359,3.0,2021-01-26 15:49:54,"人生头一次看机器翻译的泰国电影，翻译得糊里又糊涂，凭借我良好的泰语语感（没有）在脑里完成了二次翻译。如果把这部电影当做是电视剧的第14集就太完美了，它不仅有很现实的一面，也有很真实的甜度。这样的同性电影在泰国可以在电影院上映，而中国只能在网上看机翻的盗版，一...

                         ( 展开 )",,,0
19,19,34951277,与爱同居之永恒的爱,dca14dc17691688b0a3f8ac6c950a7ea,8d33970527da534a9c7fbe9d1bee93e5,4.0,2020-08-30 19:36:53,"这篇影评可能有剧透 

                        Type是一个皮肤黝黑高大帅气的大一新生，虽然他是一个暖男，但是他总是被大家像个小孩一样宠着，他的生活因为另外一个人的相遇而发生了改变。Tharn是Type的大学室友，一个拥有混血帅气的面孔就读音乐系。Type又一个怪癖就是不喜欢Gay，然而他的室友刚刚就是一个Gay，谁能成为他...

                         ( 展开 )",,,0
20,20,34951277,与爱同居之永恒的爱,897acc58665dc1b87bda6dc98f1deec8,934dd86725a667ee3b009c1afe7506a5,4.0,2020-07-13 00:31:50,"在系列事件发生之后，Tharn和Type已经约会了四年。 他们仍然非常热恋，他们记得Type第一次将Tharn介绍给他的家人，但是Type的父亲可能不像他们希望的那样支持他。在系列事件发生之后，Tharn和Type已经约会了四年。 他们仍然非常热恋，他们记得Type第一次将Tharn介绍给他的家人...

                         ( 展开 )",,,0
21,21,34951277,与爱同居之永恒的爱,7c3452787c83266a31d84fb23591e12c,fdee05cbf2871eca0447fc87881c9abf,4.0,2020-03-31 12:21:47,"这篇影评可能有剧透 

                        简直不要太甜了吧！！！ 这对小夫夫的爱情甜而不腻，可口得就像是夏日的冰淇淋~ 在本篇剧里笑意最浓的除了是Type爸那长长的大刀追赶，就属毛绒耳朵道具最为抢眼了，刚开始还以为Tharn是要去拿什（Type)么(送他的生日gift)...... 后来反应过来，羞耻的笑喷哈哈哈哈！这果番外真...

                         ( 展开 )",,,0
22,22,34951277,与爱同居之永恒的爱,92cceea5b3e2c995c04de2efed2eee31,95c84e64bc5a88c9c7d9d2cb8f86bab3,,2020-03-25 12:07:57,"在家一只回味与爱同居，嗑他们的营业，竟然发现有电影？！搜了搜资源找到了。开始几分钟是电视剧的回忆，然后是副cp，明明和34也出场了。二十分钟过去了。然后腻歪。见type的父母。爸爸不同意，妈妈同意。腻歪一下。后来发现是梦。还有什么猫耳朵play。然后是说34和哈密瓜是he...

                         ( 展开 )",,,0
23,23,34951277,与爱同居之永恒的爱,5b32ada55c61ba2ae47eaf8433da9e79,3ad02c25b31e1a0152909ecba276ea7e,4.0,2020-03-12 22:32:11,"我的天啊 攻受长得可太对我胃口啦好帅 攻真是人设太好了吧 若是我搬走，就认可我不喜好女生是毛病。 我没有出错，不会搬走。 真的好棒。 受就有点无理取闹了估量后续会给出缘由 整体剧情在线各个演员不错演技比力天然 配乐不错剧情节拍不错 亲吻的时辰攻的手好苏啊年夜拇指带着...

                         ( 展开 )",,,0
24,24,34951277,与爱同居之永恒的爱,49c3e079846613f7f232a3326b0bf0a2,dae353e860720433ce50553643e517ce,4.0,2020-03-03 17:27:53,"在系列事件发生之后，Tharn和Type已经约会了四年。 他们仍然非常热恋，他们记得Type第一次将Tharn介绍给他的家人，但是Type的父亲可能不像他们希望的那样支持他。在系列事件发生之后，Tharn和Type已经约会了四年。 他们仍然非常热恋，他们记得Type第一次将Tharn介绍给他的家人...

                         ( 展开 )",,,0
25,25,34951277,与爱同居之永恒的爱,b0e2f246156ef2458df31d92feb2a566,5950befae1d8395eb4f3e263efa92499,4.0,2020-03-02 19:09:55,"在系列事件发生之后，Tharn和Type已经约会了四年。 他们仍然非常热恋，他们记得Type第一次将Tharn介绍给他的家人，但是Type的父亲可能不像他们希望的那样支持他。在系列事件发生之后，Tharn和Type已经约会了四年。 他们仍然非常热恋，他们记得Type第一次将Tharn介绍给他的家人...

                         ( 展开 )",,,0
26,26,34951277,与爱同居之永恒的爱,b875a91245d2d38e5142c9b3296799c1,e6106836f7e1e2ec51cf6c5dc0967dc6,,2020-02-26 20:33:51,"以下说法仅是个人观点。我觉得8.5分实在太高了，首先剧本上面我觉得不够丰富，人物也是在尬演。但是剧外确实很甜，不得不说他泰会营业。但就单从这个剧本方面真的不饱满，人物我觉得也很不立体，我看着有些尴尬。感觉看过同性的就skam还可以，也可能是我get不到一些点，觉得有...

                         ( 展开 )",4.0,,5
