,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34954088,我啊，走自己的路,119aed0ef7d78674edefa0af8518aa1c,4e028320be5197f1234c16d99c4029c7,5.0,2020-12-11 08:15:35,"不是影评，甚至不是观后感，只是深夜里的凌乱的自我问答。

15年前，50岁的田中裕子演了《何时是读书天》里50岁的美奈子，；15年后，65岁的她演了《我啊，走自己的路》里75岁的桃子。 
半年前，我捧着手机看完《何时是读书天》，流了好几次眼泪，是的，我自我带入了。
我不再害怕老去，不再害怕孤独，我觉得自己的50岁，也可以像美奈子那样，可以穿着白球鞋，奋力蹬着自行车爬坡，依然做一个风一般的女子，白天神色淡然做该做的事，深夜在满是书的卧室里读书。
 半年后，海南电影节，看了《我啊，走自己的路》。虽然，导演尽量用轻松幽默的方式来讲述75岁的独居老人的故事，我却仍然代入了，流了更多的眼泪…
逃离了原生家庭，追逐自由的桃子，嫁给了自己爱的男人，却在那个男人死后发现，现在的自己过的才是想要的生活。虽然孤独，虽然会想念，但她喜欢这种自由的生活，她说“独立和自由比爱情重要。”
自由啊，是要以孤独为代价的，如果无法承担这个代价，就要牺牲自己，换取所谓的幸福，值得吗？
如果可以幸福到忘记了自己，当然值得。
然后，爱人离开，亲人离去，只有自己一个人，站在时间的荒漠里，孤独的回忆过往，享受自由，承担痛苦，疾病…
这样的一生，与《何时是读书天》里的一生，有何区别？50岁的美奈子，如果到了75岁，会如何回忆自己的一生？75岁的桃子如果可以穿越回去，会不会嫁给那个他深爱的男人？ 
有一位朋友说，每个人只能拥有自己，并且只能拥有自己一段时间，人是社会动物，还有很多社会角色和身份。这句话让我难过了很久，原来，人连拥有自己都是奢望啊，原来，做自己，走自己的路，几乎是不可能实现的梦…
可是，田中裕子用她扮演的美奈子和桃子告诉我们，也许我们可以为自己活，可以接受自己，走自己的路，而且，什么时候开始都不晚。
想到这里，观影过程中那种难过和挣扎，慢慢消散，一部致郁的作品，治愈了我。
最后，想起电影《走出非洲》的一段话：
""我不希望有一天发现自己是在为了别人活，我愿意承担后果，就算偶尔寂寞甚至孤独而终，我都能接受。”
是的，可以。",28.0,1.0,5
1,1,34954088,我啊，走自己的路,9484bfe97f387618efbf0f3ad469e8b3,daf4383eaf4a17eb26c3d4c898ed4ca0,4.0,2021-08-03 05:37:13,"孤独，是主旋律。一个75岁寡居老妇人生活状态的描写，精神世界的描写。
首先，这样的片子能看的下去，那只能是主角是我喜欢的了。田中裕子饰演的日高桃子，我们能看到一个老年人的优雅、从容、孤独，她的笑很美，美到我觉得她没有75岁。
桃子的丈夫死了好几年，她的生活开始变得没有活力，去医院接受检查&amp;去图书馆借书成了她唯一的安排，其他时候，就在家待着。每天，脑子里有非常多的小鬼同她说话，陪她回顾一生。每天早早醒来，总有一个声音在告诉她，不要起床，就睡着吧，反正又没事干。
最开始出现的在房子里的是奶奶，小女孩时候的桃子和奶奶，一转眼奶奶还是奶奶，桃子也到了奶奶的年纪。小时候桃子笑着揪起奶奶手上的皱皮，转眼她的皮肤也皱的可以轻松揪起了。
年轻时候，桃子为了躲避家庭安排的婚姻，在订婚之后结婚之前逃出了家，她想成为一个新女性，一个独立的女性，可没想到在远离家乡的东京定居还是走上了相夫教子的生活，只是，嫁的是自己爱的人。影片有一大段在探讨，她到底有没有后悔。她确实感受过爱情，但是爱情以及家庭让她失去了自由、自立，桃子在假想的75周年晚会上告诉自己告诉别人，如果可以，千万不要选择爱情，一定要选择自由。
桃子最大的兴趣爱好是画画，喜欢古生物，所以，影片一开始，让人错以为是一部科幻片。这样的一个老太太，在丈夫活着的时候一定非常幸福非常有趣吧。只是，只剩下她一个人了，再做这些事，就变成深入骨髓的孤独的了吧。
老头子死的早，孩子们也变得疏远了，就当儿子已经不在人世了，这样会好受一点，没想到这个秋天会这样寂寞。桃子在秋天选择出去玩，去了丈夫坟前祭拜。去上坟的路，是她一生走过的路，她一一回忆，一一道别。遇到了儿子带她去玩伴们的秘密大本营，她想念儿子了。遇到了小时候的自己，看到了爸爸妈妈奶奶（不得不说，这一段，有点诡异），她回忆起了腿上的伤疤。继续走，遇到了年轻时候的丈夫，她问他自己一生的高光时刻是什么时候，她说应该是他死后的这些年。她还遇到了年轻时候的自己，同自己对话。在丈夫坟前，一切才算有始有终。她最终接受了自己，接受了孤独，接受了脑中的那些小鬼们，毕竟他们才是真实的自己，他们也是自己的一部分，她可以同他们和谐相处，甚至享受。
图书馆的那个借书员，总是在桃子还书的时候给她推荐各种活动，告诉她很好玩，我觉得她应该是看得出来桃子太孤独了，也可能是喜欢桃子？总之在每一次被拒绝后她都有点失落吧？最后一次，桃子接受了她的建议，让她有点欣喜若狂吧？出乎意料。
虽然影片评分不算高，3星4星的居多，但是，静静的看，它还是挺有意思的，不是吗？",3.0,,1
2,2,34954088,我啊，走自己的路,7ee45e5b4964ee400fd517aa65d63f29,df3ac7895b0b3eb435198207e930fa22,3.0,2021-12-16 02:42:23,"豆瓣动态的开头「独处，但不孤独」，电影主角的生活是独处且孤独，可惜这恰恰是这一代老人的多数现状。不是刻板印象，是现实。

由于种种原因，工作多年的我有时间跟在奶奶身边静静生活一小段时间。28岁的目光里，剧中主角还原了身边89岁奶奶的日常，每天早起虽然一天无意义、三餐极简只为填饱、笑容皆因听到儿辈孙辈们的消息或问候，最多走出去跟小姐妹们聊聊天。以三餐衡量的时间特别快，日子就这么静悄悄地过了。

年轻为了家庭，忙忙碌碌，好似充实但没自我，等到社会家庭不需要上年纪的劳动力时，却难以寻回自我了，换个角度也是逼着她们找自己。

只是「找自我」这个每个女性必经的业障，并不是人人都知道，需要唤醒。年轻时，「自我」被世俗羁绊蒙尘掩盖，年老了，也还是要面对。既然始终都要面对的一个人生活 ，女孩子们就早点经历痛苦的自我蜕变，早点觅得自由，然后有更好的体格和更多的时间，去成为想要成为的自己。  
不论想成为什么样的女性，居家或事业型，都应该有自己，有生活，有自己的步调。旧时代的新女性是自由恋爱自由婚姻，那么新时代的新女性应该自由自在，才是。",,,0
3,3,34954088,我啊，走自己的路,6ef78ff23c795f3076390c9a4e94d135,a3d2de7675556553a5f08e4c88d2c228,5.0,2021-11-18 11:54:50,孤独却治愈的一部电影。会陪伴自己一生的人，说到底只有自己，如何与自己相处，是人生不可避免的课题。 安静的日式小房子，洒满阳光的小院子，在这样的环境里，电影用幻觉和想象回顾了老人作为一个普通女性的一生，那些爱情、亲情在她的一生中闪闪发光，最终也离她远去。在她心中最遗憾的，是她为了爱情放弃了成为一名新式女性，“到头来还是被古老的生活方式束缚”。 在现实层面来说，她的亲人要么离世，要么有自己的生活，现在的她是在孤独地走自己的路。而在抽象的层面上，经历了遗憾的她也最终明白了，人这一生本就该是“走自己的路”。 电影处理的很巧妙，即使是这种遗憾，也给人一种温暖的感觉，是老人想透彻后透露出的那种淡淡的情感，是吃过下午茶后叹一口气，说：“就是这样啊”。 虽然这部电影是讲老年生活的，但我觉得这部电影很适合当代年轻人看，它探讨的是人与自我的关系，而年轻人很需要适应孤独，更需要找到自己。 ps:我太喜欢苍井优了,1.0,,0
4,4,34954088,我啊，走自己的路,377ae05e2887787b7677696fe5c09489,2e1b8976b8c983377e9d3a05ccc9a22b,3.0,2021-11-06 23:20:15,,,,0
5,5,34954088,我啊，走自己的路,377ae05e2887787b7677696fe5c09489,2e1b8976b8c983377e9d3a05ccc9a22b,3.0,2021-11-06 23:20:10,"电影里有很多值得定格的片刻，小院里的花，被风而晃动的树，桃子读书笔记里的画…

桃子每天早起，床头总是会放着一本书和端端正正写着""xxxx读书笔记""的本子，煎荷包蛋，看新闻，隔几天就要去医院，定时去图书馆…慢下来反而时间流逝得更快了，尽管努力一个人生活，但如果有家人探望还是会有不自觉的欣喜。

远古时代的生物，三个充满喜剧趣味的""我""，童年的我、青年的我…在回忆与幻想中冒险，其实还是会感受到一点点悲伤，因为这些现实中不可能出现的事物也表示着桃子的阿尔茨海默症的加重。但在这些奇幻与过去的交错中，桃子似乎也在慢慢和自己和解，你看，影片快结尾时，她终于接受了图书馆工作人员向她提出的玩乒乓球的提议。我感觉这位工作人员其实对桃子充满了好奇与兴趣，没准后面就成为了好朋友呢！

无论如何，桃子一直都在走自己的路啊！

孤独与自由，或许就是人的一开始和最后结束的代名词吧。

很想吐槽第3张图的祥云，好像大蒜哦🙄",,,0
6,6,34954088,我啊，走自己的路,4e0272941ce6171a1041184186942ccc,bb158fd50adc6633a720f2e76025620d,,2021-10-09 15:02:00,大部分的人看完影片都在感叹和害怕自己老了该怎么办？而我觉得主角只有这个时候才活出了自己。很喜欢裕子奶奶，到了老了她终于获得了自由，丈夫去世了，孩子也都各自成家了，我看了并不觉得悲惨啊，反而很羡慕奶奶的生活。因为奶奶的生活条件挺好的，一个人住着一个漂亮的大房子，在市区出行也是方便的，奶奶还会开车，并且自己也有能力买车。奶奶一个人可以做自己爱吃的饭菜，可以幻想出三个陪伴的人一起聊天，可以去图书馆借喜欢的书看，可以去自己想去的地方，可以在家追剧，也可以写写东西，（这部电影就是若竹千佐子奶奶的自传体改编的。65岁后她才开始写作并成为了作家。）所以奶奶的一生挺完美的，有过甜美的恋爱，嫁给了自己喜欢的人，生了一儿一女当上了主妇，回忆里的生活都挺美好的。到了老了可以一个人安静的过自己想过的生活，回忆儿时和年轻时的一些趣事，而且有个小外甥女很可爱也很喜欢她，结尾的时候就是外甥女来找她，感觉奶奶的生命得到了延续。奶奶回忆里说自己这一生最骄傲的是拉扯大了两个孩子。所以大部分的人害怕老，应该是怕老了没钱没子女也没有兴趣爱好，回忆里也没有一件值得骄傲的正经事吧。,1.0,,0
7,7,34954088,我啊，走自己的路,13622499fa16ec1e2fc226be2d9c6914,ae75a4d48c0baaef39e3814a6b7cf975,,2021-09-14 23:16:56,看之前以为电影会说“自己的路”到底是怎样的路，有多独立又或者多自由，然而却是一个75岁老太太不断回顾自己人生的普通故事。年轻时候逃开了包办婚姻，但还是在结婚生子做家庭主妇的主旋律中过了大半辈子，如今老伴儿死了，生活好像只剩看病和图书馆，除此之外只能跟想象中的三个精神小伙絮絮叨叨，平淡里有高光，朴素中有辉煌，好像无子女在身旁的日子很凄凉，又好像孤独里又有点自在的欣然滋味。说不上是好还是坏。  又回想到自己的预期，大概那就是我对“自己的路”的认识吧，必须得做点什么，得追求点什么，全身心地抗拒着主流，可事实上自己又不知该何去何从。最近醒悟到的是，人的思想究其根本是环境的产物，或多或少被影响着，所以不存在完全自由，没有外界激发就会出现的东西应该只有吃喝拉撒睡。被刺激出的欲望，发自本心的愿望，实际可以达成的事，一天只有24小时，三分之一睡觉，超过三分一工作和吃喝拉撒，剩下的时间再分一些给家人、应酬、运动、读书、刷网络、学习，真的剩不了多少时间，可以做的事情真的很少。所以也许，人生意义真的不在于做成事情上面（这个着实需要天时地利人和），所以只需要考虑自己实际情况就好了。其他什么什么的，就管不着啦~~~,1.0,,0
8,8,34954088,我啊，走自己的路,9d50e51e8c494f7e9cd8c734d0a539e5,e486c9e94fae3754aeda0c269a364359,4.0,2021-09-06 00:39:51,感谢冲田修一让我意识到我已经活成了一个独身老太婆，每天在脑子里开剧场。（顺口一提，在家里现实和幻想那几个镜头的空间转换真的绝了） 一个不存在的儿子，一个无事不登三宝殿的女儿，一个失去的丈夫，可能这就是每个人都要经历的现代化社会的孤独吧，经历过的人和事每天都在脑子里开会，也会自我防御式地脑子里出现几个自己，一直闹腾下去。孤独但不寂寞，孤独且自由，希望我也能有一颗老太太的心，おらおらで、ひとりいぐも。（东北方言好有魔力） 看完电影出资料馆下了小雨，没带伞，不过还好外套是防水的。回去的路上用还没什么大毛病的身体跟着日高桃扭了一段，虽然淋着雨，但心情还算是舞起来了。 2021/9/5 小西天资料馆,1.0,,0
9,9,34954088,我啊，走自己的路,de146f6f2cb53521a96c17d53449c6ae,e78e1e15dfc8e0131b43c768d22601bb,,2021-09-05 22:56:08,他打蟑螂的时候，健壮得像一位相扑选手；他对年轻的自己说，我要独立生活的时候，帅气潇洒得像一个侠客；她在心里唱着“俺就是我（是颜色不一样的烟火）”站起来跳舞的时候，那种做真实的自己的时刻，可爱得闪闪发光自带舞台聚光灯效。她不用依靠任何人，也可以过得很好。而选择独立，必然会遇见苦涩，常常感到无助，无时无刻不被孤单包裹。“这样活着对吗？”她问，“你（能这样好好地活着）真的很了不起！”祖先说。一辈子为亲人而活就是对的吗？一辈子只为自己而活又是错的吗？生活的方式哪有什么对错，能健康且快乐地活着已经很艰难，知道自己想怎么过这一生，并且活成自己想要的样子，那是真的很了不起。 奶奶幻想出的三个男人与其说是陪伴者，不如说是自我的化身。当奶奶开始幻想，灯光就开始变得温暖明亮，她内心或脑内的世界那样有趣，和现实的阴冷灰暗、孤苦凄凉形成对比。而在外人看来，只是老人家在说些奇怪的话、做些奇怪的动作。导演冲田修一用第一人称视角，将一位老者的自省拍得如此生动细腻。或许有反婚反育嫌疑，但其实不管选哪条路，走自己真正想走的那条就好。,3.0,,3
