,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34966198,老爹特烦恼,34c3e9b4e269fb036fa975aae4f727af,eec27653e518658d6ff8f5611fed6ef0,,2021-05-19 00:34:20,"啧啧啧啧我真的是😒🙁😞🙁😩🥺😟😕😖😣😣😢😟😕😞😖😞😕😞🙄😞😑😖🤗🙄🙁😐🤔😔🙄😐😞😐🤔😟🙄😑🤭😖😐😔🤭😖😑🤥☹️🤥🤔☹️🤗😭😒🤭😣😨😣🤗🤥...

                         ( 展开 )",,,0
1,1,34966198,老爹特烦恼,072072e8c012a940b69c914d062a8c2b,ee8775223d1dd99ea7b5b128e9c27c70,,2021-03-28 10:37:21,"这部剧挂开心麻花招牌拍的有多垃圾人尽皆知，可能开心麻花想捧新人或者身不由己拍的，但是这么糊弄观众只能是砸自己招牌。就电影前半部分我说几个问题。（我没有全看完只看到图片的位置，是因为真的不想恶心自己了。） 1.剧情上小虎和俩姑娘喝酒，姑娘都喝倒了自己跟没事人一样...

                         ( 展开 )",2.0,,1
2,2,34966198,老爹特烦恼,36d01b625ba568884c428d5229a2a1b7,688c986eb006df3ec3dbb9db91fc7d26,2.0,2021-02-24 23:38:37,"充着开心麻花的IP来了，垃圾电影浪费时间。大人看了是浪费时间，跟女主一样年纪刚高考完的女孩子看了呢，让她们相信这个世界上的人多么友好？刚出象牙塔的妙龄少女要是模仿去了酒吧会怎么样呢？ 剧情也完全可猜，没有惊喜。电影寓意从一开始就明朗，简单一条线贯穿全文，像是流...

                         ( 展开 )",,,0
3,3,34966198,老爹特烦恼,89e2710954ea9190c11a924f527b65c6,e5715313f7b27bf63ac04483d1b599fe,3.0,2021-01-05 23:24:55,"这篇影评可能有剧透 

                        因为爱奇艺评分较高，封面写着开心麻花，吃饭的时候想来点笑料配菜，就选择了这部影片。 豆瓣评分普遍不高，其实就我个人而言，觉得还可以的，至少挺下饭，也比较轻松和诙谐。 另外还是比较有教育意义的，无论是对于孩子，还是父母而言。 父亲因为孩子妈妈的离去，对女儿各种不...

                         ( 展开 )",1.0,,0
4,4,34966198,老爹特烦恼,653d27e2f0aec0804b3b4cdf35400695,6ab393c384a01030722e55ed242acc61,1.0,2020-12-22 00:39:12,"这篇影评可能有剧透 

                        《老爹特烦恼》讲述了一个极其简单的亲情故事。在亲情关系中父亲对孩子的关爱与孩子对独立生活的向往存在冲突，致使双方无法进行有效对话，后经互诉衷肠地交代“父亲为了女儿放弃自己热爱的乐队”而轻松化解。电影想要探讨父亲与处于青少年转型期的女儿之间的矛盾。但个人认为...

                         ( 展开 )",,,0
5,5,34966198,老爹特烦恼,5b14b7b7f55e628ed3948b75722e78f2,02fcd6d0074366fb939ec3f564e06e9c,1.0,2020-12-11 07:47:17,"冲着开心麻花进来的，这剧情。。。这演技。。。实在是看不下去了。开心麻花是要砸自己招牌吗？拍的不好做做练习可以，留着自己看，失败了改，重头来都没问题，低调一点，新演员磨练一下，观众也可以理解，拿开心麻花的招牌骗观众，这就让人心生厌恶了。特别还是套用开心麻花经...

                         ( 展开 )",,,0
6,6,34966198,老爹特烦恼,82ebb5d5995e5e4444d1644d66b53837,2ee21616936df83b0e05a6e31830d8fe,2.0,2020-12-10 17:45:22,"冲着""开心麻花""看的，结果既没有沈腾，没有马丽，也没有艾伦。。。 不知道这部电影是要捧谁？反正是没啥亮点。 搞笑的点不是没有，如果换了沈腾他们演就会很爆，但这波人演就没啥波澜。。。 剧情上来说，有些老梗，没看出什么新意，但如果是沈腾他们，演老梗也会很出彩👌🏻...

                         ( 展开 )",1.0,,0
7,7,34966198,老爹特烦恼,82ebb5d5995e5e4444d1644d66b53837,2ee21616936df83b0e05a6e31830d8fe,2.0,2020-12-10 17:43:21,"冲着""开心麻花""看的，结果既没有沈腾，没有马丽，也没有艾伦。。。不知道这部电影是要捧谁？反正是没啥亮点。 搞笑的点不是没有，但是换了沈腾他们演就会爆，但这波人演就没啥波澜。。。 剧情上来说，有些老梗，没看出啥新意，但如果是沈腾他们，演老梗也会很出彩👌🏻 归根...

                         ( 展开 )",,,0
8,8,34966198,老爹特烦恼,94454cddb00f5dbd219d0bf4a3495946,1dc784d4152692817fce9da3428bcdd6,2.0,2020-11-30 09:30:29,"这篇影评可能有剧透 

                        讲述了两位00后女儿拉上闺蜜想要来一场“诗与远方”的毕业“大冒险”。“古板”单身父亲携“好基友”一路隐秘尾随，中年护花小队“闪亮”登场。一场充满未知的欢笑之旅即刻启航！ 周东海，从女儿降生的那一天起，就把自己放到了父亲的角色里。直至妻子离开而去，他又再一次把自...

                         ( 展开 )",,,0
9,9,34966198,老爹特烦恼,d5f4d712c477a5e59b77262b37d03dd9,0c53f6ac708ef2f5b18d2e8e00f5b630,1.0,2020-11-13 21:21:19,"冲突不够，力度羸弱，没看到新意。冲突不够，力度羸弱，没看到新意。冲突不够，力度羸弱，没看到新意。冲突不够，力度羸弱，没看到新意。冲突不够，力度羸弱，没看到新意。冲突不够，力度羸弱，没看到新意。冲突不够，力度羸弱，没看到新意。冲突不够，力度羸弱，没看到新意。...

                         ( 展开 )",,,0
