,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34997333,功夫宗师霍元甲,9ba13d7b631c0aa671cb286dfd1ea4e2,d17885c03e40315bdfb0d2f1ef4ff9fe,5.0,2020-04-12 00:50:48,"这篇影评可能有剧透 

                        动作演技尚且不论，每一个人物线都在以小正大，位卑未敢忘忧国，哪怕无人知我！ 霍元甲开设武馆，打破家规收外姓人为徒，为的是强民强国，孤身犯险也是为了守护心中的家国大义。好友农劲荪虽只是经商人，却无偿奉献人力物力财力，助正义之士进京维新。金盆洗手的津门武行会长大...

                         ( 展开 )",4.0,1.0,1
1,1,34997333,功夫宗师霍元甲,74974f6013af674826a441c04d4ed327,8df338224122f8f6d7a75ac8afe948f5,3.0,2021-09-25 22:18:04,"作为网大电影，这是一部可看的电影，武打设计也很好看，不过武打电影没落已经是必然了，浮夸的动作全是靠威亚来完成。简单谈谈几点观后感： 1.网大电影永远也不会有好的编剧，可能中国就缺乏好的编剧，估计是因为编剧的ideal大多都让导演剽窃了，很少有电影把编剧是谁打出来。...

                         ( 展开 )",,,0
2,2,34997333,功夫宗师霍元甲,7c80c0386eec175adb19cec6d4aaad5e,3e710482dbbf3722efe3a7cfabce214e,2.0,2020-08-31 22:49:46,"这篇影评可能有剧透 

                        我是霍元甲，我从小就戾气很重 老爹怕我惹事，所以不教我武功 但是我还是偷着练，后来大哥结婚，有仇人上门闹事，我把那人揍了一顿 老爹很生气，跟我说做人要友善，我就反驳他，你做人友善，那么哪儿来的仇家打上门？ 老爹说不过我，就打了我一巴掌，我就离家出走去码头扛麻包...

                         ( 展开 )",,,1
3,3,34997333,功夫宗师霍元甲,f1a9260e2a7da8ede7656222777fdd19,9dcaa3ee3e8027943933136dba0fcec6,4.0,2020-04-18 17:34:16,"“仇恨只会生出更多的仇恨”这是霍元甲在中毒之后所说的话，还有：人无法选择生命的开始，但一定要有勇气走完最后一步，看到这里，我不禁留下了两行眼泪。 ??霍元甲小时候因想要报仇而毅然决然地去学武。时间流逝，成年后的霍元甲想要成为津门第一，签下了一张张生死状，在擂台...

                         ( 展开 )",,,0
4,4,34997333,功夫宗师霍元甲,dddcdcaed6299fd7fa5ea11cafec6dfe,105cc7b439664d0da759db406fc87b1f,3.0,2020-04-14 03:39:21,"《功夫宗师霍元甲》网大好作 剧本故事、场景格调、人物演绎、动作设计都做得不错，看起来不别扭，也没有普通网大的种青涩感，片尾的歌曲也不错，很明显地感觉到出品方和演出方的要把事做好的诚意。当然还有很多的提升空间，跟李连杰演的《霍元甲》比较那肯定是有差距的，一个是...

                         ( 展开 )",,,0
5,5,34997333,功夫宗师霍元甲,f1df86064b6e375f9d8124c66a271712,1ddad43c7d8ce51361b3752c309edf60,4.0,2020-04-11 16:09:21,"这篇影评可能有剧透 

                        最近被淡黄的长裙蓬松的头发洗脑后，看了这部电影，然后—— “有些事儿做不得，但有些事必须得做。” “这迂腐烦人的规矩啊，破破也好。” …… 听听这绕口的饶舌，没想到霍元甲也是个优秀的reader啊 （防喷专用封口条防喷专用封口条防喷专用封口条防喷专用封口条防喷专用封口...

                         ( 展开 )",2.0,,1
6,6,34997333,功夫宗师霍元甲,85ec1c017bc4e09f7698d9aa56630ce8,5058f1af8388633f609cadb75a75dc9d,5.0,2020-04-11 16:06:21,"2011年，一位特技演员的去世引发了社会对武行的关注。《敢死队2》在拍摄中，一组引爆橡皮艇的镜头发生意外，特技演员刘坤不幸被炸身亡，鲜活的生命永远定格在了26岁 动作片凭借其惊险刺激的画面张力深受观众的喜欢，但那些引人屏息的精彩镜头都是由专业的武替冒着生命危险拍摄...

                         ( 展开 )",7.0,,0
7,7,34997333,功夫宗师霍元甲,c9a6e761328fe33a938de9a9ccae85ea,e33268755fb6c50d687df5dbe802e270,3.0,2020-04-11 14:50:56,"先说说优点吧.动作设计得不错,网大来说已经算是比较好的了,大概是因为不是科幻片吧.有很多效仿李连杰的镜头,比如说方世玉中的一寸长一寸强,一寸短一寸险,还有最后去收王五人头的那段戏也很像方世玉收阿六尸,看到了很多电影的影子. 缺点吧:剧情中规中矩,男主演技还没男二演技好,...

                         ( 展开 )",,1.0,4
8,8,34997333,功夫宗师霍元甲,83c52b5a09a736858d3d4481861138b6,4528dc2806d44d7dfb5ecfb335172766,5.0,2020-04-10 18:07:44,"这些年优质的动作片总是昙花一现，质量还算上乘的叶问系列也在19年末迎来终声。 功夫片的未来在哪里？ 没想到横空出世的《功夫宗师霍元甲》给出了答案。 从影片中不难看出，《功夫宗师霍元甲》是一部镜头张力十足的潜力股。 整部电影打戏节奏明快，充满真实格斗感的刺激打斗让...

                         ( 展开 )",4.0,2.0,3
9,9,34997333,功夫宗师霍元甲,2922bfe785d5d2eab7f5048508a97dbd,3a9aa3509ce351489d1655f0774d8eae,,2020-04-09 21:33:09,"本身只想看个开头拉下快进就退出的，毕竟这类电影基本都是粗制滥造滥竽充数蹭热度，都是各种特写剪辑强行衔接动作的尴尬片，各种层出不穷的网大黄飞鸿和霍元甲，已经不知道这是第几次霍元甲了，我都为他们尴尬，中国武术宗师真的没有人了吗？但说句实在话在各大网大片里，这个...

                         ( 展开 )",1.0,1.0,0
