,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35026069,东京白日梦女2020,a49f76c2d78f48b0fa92026171418c46,3e0930c16e56a2631986ec7bcd92d93a,3.0,2020-10-10 09:34:03,"我對《東京タラレバ娘2020》這部SP的感想，跟看當初的連續劇版的心得還蠻接近的，因為它傳達的意旨其實挺一貫的。如果說這部SP是否具有無可取代的存在必要性，我覺得還好，因為故事的意旨在連續劇裡已經表達得很清楚了；但它的確再次認真的重申了自連續劇開始的主張，算是進一步舉例，試著要讓想法呈現得更完整，因而不失為一個小巧的補充說明。
就跟連續劇時一樣，故事最後傳遞的訊息是特別好的，人生無時無刻不具有意義，所以感謝每一個經歷，每一回相遇。 然後，就跟看連續劇時一樣，我想說的其實是……
我的丸井啊啊啊啊啊啊啊啊──！！！！！！！XDDDDDDD
我確信，百分之百確信，小雪在那個瞬間，絕對是深深、深深的覺得：啊，我果然還是好愛這個男人。
三年不見，偶然重逢，笑著道出人家提過的理想，對人家說不可能忘記，這樣的對方，始終是那麼ずるい啊。
何況他仍然那麼孩子氣。何況他仍然彷彿一派天真無邪。
怎麼說呢，就像我完全同理了為什麼人們愛春田，我也總是覺得，我充分明白小雪的心情啊。而到了今時，我可能還多帶了一點投射。 附帶一提，香的老公也讓我謎之想起春田。XD
感覺廢廢的、呆呆的，會因為他的遲鈍而生氣，但總是跟他一起傻笑，而他對愛其實很用心，總是會努力。
這樣的人總也跟媽媽關係親近。
先不管這個媽媽的問題，香會選擇嫁給這個人，我覺得，我也是有點可以理解呢。(笑)
就像倫子原先決定步入禮堂的對象，若不是後來的超展開，的確是很好的對象啊。 說是這麼說，但我根本上依舊是在理智上毀家廢婚、而情感上其實無法真正體會人為什麼會想要跟另一個人作伴。(笑) 2020.10.10",3.0,,0
1,1,35026069,东京白日梦女2020,1517b54b97beb6919e90b605416a0cb4,6c9e99b08e36bc83b4038054f253d826,2.0,2020-11-22 11:41:20,出于喜欢东京白日梦女电视剧，才看的这个电影版，只想说剧情言之无物，你也不知道男主角的作用是什么，所有人都毫无魅力，除了女主的朋友们的友情可圈可点 优点 1女主朋友们帮她吐槽绿茶婊那段，演的很真实，让人会心一笑 2女主和前男友，前男友的前女友，三个人在公司见面，一起为孩子换尿布而商量，那段是日式特有的温情 3男主角没有出现在婚礼上，也没有在听说女主婚礼的事后，去主动找女主，还是比较符合人设的 4看电视剧的时候就记得他们说东京奥运会的时候，会想要嫁出去，所以今年一直想看这个电视剧的结局，虽然仍然是开放结局，但是好歹给了自己知道焦点 缺点 1完全弱化了男主，追求理想的话，就可以三年都不找女主角吗？就可以不给个交代，就这样不明不白的结束吗？回过头又表现的很深情，为女主角没有等他而难过吗？ 这样的人设是不是太糟糕了？ 2除了女主角描述结婚对象优点时，台词有点闪光点，其他都不值一提，尤其是另外两个朋友的台词和感情线， 3如果这部剧投资100万，你会怀疑都给了演员，剧情就是糟糕，就是不值得一拍，,2.0,,0
2,2,35026069,东京白日梦女2020,34622d6053f8dafe1bf0172de2ce4018,4b41592cba9a068dbbc3c13a070c6f71,4.0,2020-12-30 12:18:08,没想到开场就是白日梦幻想，真符合主题。 原来小雪是事业型女人。 最好的相处模式是，虽然爱好不一样，但是能保持相同的步调。 啊啊啊啊啊啊啊早坂都结婚了，孩子都有了。 三人闺蜜团里当两个人都结婚了，孤独感就倍增了。 这优的妈妈说啥呢，什么叫给优生个宝宝，要生也是给自己生的。 听到闺蜜遇见不错的人，就想看照片，真实得不能再真实了。 感觉key没有3年前年轻了哈哈哈哈哈哈。 心疼伦子，果然婚礼上追逃跑新郎或逃跑新娘都是不可靠的。 霓虹跟偶像啥的真的是零距离啊，曾经的追星女孩实名羡慕。 对于恋人或爱人来说，不在心中留芥蒂，才能好好的在一起。 把后悔的假设替换成因果关系，就会少很多抱怨。 虽然爱情这东西是急不来的，但是日剧这节奏也真是够慢的，就当我以为伦子和key终于要在sp在一起的时候，编剧又给我留了悬念，看来这白日梦是没法完结了，反之，专注事业的话，是不怎么想恋爱吧。,,,0
3,3,35026069,东京白日梦女2020,cbbeabc5934d7f9d6eb187e2ed378499,d7116de398e315d858053f84de01651f,,2020-12-06 18:14:24,不经意今年31了，生活还是时不时的迷茫，不知道将来会变成怎样，觉得未知有时像个无底洞，而我就像蜉蝣在漩涡中不断挣扎不被引力吃掉的微小尘埃。微信一篇推文提及这电影，本想着会不会有些新启发，但没有，或者说，有些体会，我已经有了，尽管如此，影片也算治愈。生活总要向前看，虽然不知道前方等待你的是什么。现在有时也会孤独，除了偶尔和远方的闺蜜微信，平日大多数时候都是沉默度日，没什么人可以聊天了。单休的工作让我失去社交，一天一天的复刻，仿佛日子在一点点地把我推向孤独终老。记得在刚毕业那年，和大学同学走在校道闲聊，他说，因为心中有个人能为她努力，心中便有了信念和对未来的期盼。所以，恋爱结婚，就一定能把生命活得更好吗？我想，那倒不尽然，只是因为多了一个人能一起分享当下的喜与忧，或许会有1+12的结果，而那个人如果是恋爱人，那种喜悦和温暖是朋友所无法提供。当然，在期盼这种正向化学反应的同时，也得承担可能的负向效果。 无论步入哪个年龄，婚姻都不是我所追求的结果，而是一份承载爱情的婚姻。如果抱着到了某个年纪，找个人能把未来寄托在他身上，不需为下半辈子而努力的想法，我想，最终也会无法面对自己和这份感情，所以，目前最想要的是持久的经济独立。现实社会职场对中龄女性的歧视，却是让人担忧的，所以，才不敢轻易离职。如今不再是当年那个为了理想而裸辞的人，人大了，就有更多的责任羁绊，甚至回想也会觉得自己幼稚，而那份勇气却也是我现在所没有的。,1.0,,0
4,4,35026069,东京白日梦女2020,b3a336eac6ebaa4863e29f4cfbe12e5f,0df1b0d4a1ec2c6fdeb511db6b568a2d,3.0,2020-10-26 14:33:31,2020是个挺丧的年头，还记得当初看2017版时还拿奥运会来立flag，三个女孩，要和爱人一起看奥运。结果，2020来了，奥运却没有按时进行，这是编剧再怎么大开脑洞也想不到的情节。 而女孩们在这几年，美甲师挥别了有点神经兮兮的搞摇滚的男友闪婚嫁给了老实靠谱的中学同学。家里开酒馆的，要独立开自己的咖啡馆，主角编剧呢，被她甩掉的同事结婚生子过上老婆孩子热炕头的幸福日子，她邂逅了图书馆工作的男生谈着甜蜜的恋爱，憧憬着马上要到来的婚礼。 三个女生依然兴冲冲地，并没有被诡谲的世界变幻带到坑里。 在三年前，他们满心期待着爱情，向往着结婚生孩子，而3年后，如愿结婚的，并不就是一片坦途，推开婚姻这扇门，一样有坎坷，丈夫有点妈宝，还没有完全进入丈夫的角色，还依赖着妈妈的照顾，婆婆不把自己当外人频频入侵儿子小家的领地，令儿媳很不爽。开酒馆的长辫子姑娘， 痛下决心和相爱的他人之夫断了联系，为了摆脱寂寞和约会网站上的对象发生了一夜情，但这带来了更大的空虚。吉高一直笔耕不辍也没有大红，有过一夜激情的金毛消失了几年，幻影一样的男人如水中花触摸不到。本以为图书馆的清秀男子会一生相守，没想到婚礼上被前女友一声呼唤就丢了魂，扔下一脸懵的吉高跑了。 唉，在电影里看到这样的场景观众都会为最后关头选择真爱的有情人叫好，没人会在乎被扔在一众宾客里的遭受晴天霹雳的倒霉蛋儿如何自处。 现实生活谁遇到这一出都会被打击得五内俱伤吧。都被揉搓成这样了，还 遭受金毛一顿乱贬。你说这个金毛还言辞振振地说自己是为了吉高回来的，结果不但没用爱抚慰受伤的女主还冷语打击，怪不得网上有评论说，金毛是不是在pua女主啊。 他悄悄的来，又挥一挥衣袖潇洒地走了，女主还气喘吁吁地跑过来感谢他的出现。是啊，一个没名没势的普通女孩怎么会奢望一个在杂志和广告牌大银幕里耀眼的大明星，会对自己温柔以待，他能出现在自己的生命，就如同流星，灿烂一瞬也是可以铭记一生了。 不知道东京白日梦女会不会再出SP，不知道延期到明年的奥运会会不会按时开幕，反正生活之流从不会为任何人任何事而停留 ，三个女孩坚定地走着自己的路。 一个用离家出走点醒了妈宝丈夫：一个一夜迷情后邂逅了当初深爱的人后，拨正了自己的心，心清意坚地经营自己的店；一个被友情的温暖和梦中情人的鼓励给沮丧的心加了油，满血复活继续编剧这份有前途的工作。 做做白日梦无需冷嘲热讽，可解压、给精神做SPA，漫漫的人生之旅来这一点甜又何妨。,1.0,,0
5,5,35026069,东京白日梦女2020,07243dca0f5e7b461fba6c4178775670,f87a604e5366b28ba26e14e20c067de3,4.0,2020-10-22 15:27:58,拖拖拉拉到现在才看sp。明明觉得收视率的新闻还近在眼前~ 很喜欢东京白日梦女的一点，是该现实的地方非常现实，该多拉马的地方非常多拉马。戏剧化的部分，看似生硬，就比如伦子未婚夫逃婚那里ww 就是因为这种生硬才有强烈的the·日剧感，就像抖包袱一样，因为有它的存在，接下来的鸡汤也很治愈。 看连多的时候还在上大学，对于喜欢的概念也只是仅限于暗恋和双不双箭头方面，一顿毒鸡汤喝下来，剧情和别的都没记住，只是隐隐觉得，不会吧，这估计就是我30岁的写照了吧……估摸着我这辈子也不会结成婚了。现在回想起来也挺可爱的。 三年后的白日梦女三人组，在性格方面也没什么翻天覆地的变化，就像预料之中2020的我自己，普通的不能再普通。三人组性格中的缺陷都是非常明显的，不是讨喜的女角色，但这种有些可爱的不完美让三位女明星平易近人起来hhh（想吐槽yoko的眼镜真实颜值封印，摘了眼镜的镜头美女氛围超强…！） 剧里说生活不会像学生时代一样准时，中学过后就是大学，漫长的等待最焦灼。但是一旦步入了这个阶段，人也会自然而然发生变化——尤其是幸福的人。在sp前半段是肉眼可见的~后半段，各种冲突一起爆发，有人说最后的解决有点太理想化了，我想不是的，正因为是多拉马才会这样呀ww 《东京白日梦女》丧归丧，却也不是什么严肃的现实向正剧，它更偏向用喜剧一些的方式刻薄描画现实里我们遇到的各种困境吧。 这部sp来的时候也刚刚好，三年后遭遇年龄焦虑、未来焦虑的我，从很多台词中获得开解。其实也很希望坂口小天使HE的-v-但这样也刚刚好。我想以后我再遇到从前喜欢的人也要去抱抱他，告诉他遇见你很感谢，因为遇见你我才会成长，是我们的相遇塑造了现在的我，所以遇见你真的很好。 最后，白日梦女，永生不死！夢見るTOKYO GIRL=͟͟͞͞( 'ヮ' 三 'ヮ' =͟͟͞͞),1.0,,0
6,6,35026069,东京白日梦女2020,bc3b145fe9064a93d51ec49588116a95,8b99c0b2e29c8292049ec18ebe0b7790,4.0,2020-10-16 19:04:55,いつでも、幸せになりだい。 我们每天都在期盼爱与被爱，每天都在盘算着自己获得的、拥有的，和身边的人比较着快乐的多少。 总以为拥有了想象中的那些东西，比如男朋友啦、结婚啦、心动的出会う啦，就大步走在幸福的道路上了。 然而事实是什么呢，无论怎么期盼幸福的降临，幸福是无法持续存在的，甚至有时是靠自我安慰来维持的。 那些在幸福的鲜花下面凸起的一根根棘刺，时刻提醒着你幸福的存在，也永远隔绝着你与幸福的距离。 记得三年前是怀着又爱又恨的心情追完这部剧的。它的评分不高，它只是讲了三个把结婚当作人生目标、以为恋爱结婚就会幸福的白日梦女，每天沉浸在幻想的世界，毫无保留地吐槽和大笑，一起为别人的幸福而快乐，为孤独的自己难过，为人生和职业焦虑发愁，遇见各种各样的不顺心，逃不开的渣男，自欺欺人地逃避现实…… 这么赤裸裸的现实写出来很多人看了会不开心吧？ 所以那时候，一边跟着她们又哭又笑、一边捂着隐隐作痛的胸口。 今年的SP里，看到她们都没有变，还是觉得很欣慰。 今年她们开始说，幸福就是想要的东西吧，但是想要的东西一直在变，所以一直都在追寻幸福的路上。 最近开始思考，不管是幸福还是痛苦的事情，果然还是需要说出口才行啊。和朋友们聚在一起，随时随地分享感受，交换灵感，就会收获更多的感悟。 所以三人女生会才会那么重要。没有束缚、没有要求、一起成长、彼此依靠的仲間、大事ですよね。 比起那些日常的沉重和负累，努力奔跑起来的瞬间，那种轻盈、自己就会感受得到。 这可能会是让我反复去看的一部剧，它没有什么大道理，全是琐碎的现实，以及在逃避和面对之间反复摇摆的心情。 这样看看，有助于整理和自省吧。 我们都是白日梦女。 幸せになりだいから。 致《东京白日梦女 2020 SP》,2.0,,0
7,7,35026069,东京白日梦女2020,39385ff0039b94e6e7d2c333253c67c2,fe39f516f81ecf1211b135fe5bf8fac2,4.0,2020-10-12 15:11:28,在豆瓣貌似写的第一篇影评也是这部。 虽然不是三年前看的，但回想起来也觉得过了好久。 当年的我一点也不懂日语，肝肝，鱼鱼，还真以为是翻译。现在看来原来是タラ　レバ ### 男友逃婚的时候我内心一阵窃喜，他和女主不配啊啊。女主追出去之后倒在地上哭的样子好心疼。 不过感觉女主伤心的点在于被逃婚被抛弃，而不在于被喜欢的人辜负。其实女主也没有这么爱这个男友。 香的婚后生活过于真实，引起不适。不要因为一个男的温柔而和他结婚，而且因为你们真的互相理解共情才能结婚。 剧中太理想化了。 事实就是，你老公并不会因为你一次离家出走就突然对你好，甚至会马上指责你。婆婆不会因为你离家出走就不来打扰，也许会进一步嫌弃你。 需要两方努力的婚姻，究竟是不是幸福。 ### keyくん回来的这个剧情真的莫名其妙，喜欢女主就好好说出来，到头来还是走了，虽然说了：我会再回来找你的，可是这种隔海承诺靠谱吗…… 唯一有点甜的就是一开始见面的时候说：我是回来见一个人的。 伦子说：谁？ keyくん说：你说呢，那还用问吗。 ### 女主被逃婚以后，在海边碰到key，不由分说地又把女主批评了一顿，什么鬼。她当时很绝望啊！ 人总是能轻易唤醒他人，却唤醒不了自己。 最后的最后，2020了，我依然在为坂口健太郎心动。我的日🐟初心，yyds。,2.0,,0
8,8,35026069,东京白日梦女2020,bf15a00b64ef0b862327d13db9747ab7,500f21f131a23c949d956a339522c476,5.0,2020-10-12 12:01:11,止步不前是因为我们逃避了去成长，而所有的跌跌撞撞却无意间连接起了我们更好的未来。 没有童话的最完美结局，却呈现出了成年世界里最舒服的生活状态。 三个人的羁绊牵连着彼此最真实的部分，也一路牵动着我的内心。17年看完这部剧的时候恰好开启了在东京的生活，跌跌撞撞三年也终于和自己和解、成长。SP看似不完美，但对我却是另一个世界里感同身受的真实人生。,,,0
9,9,35026069,东京白日梦女2020,193323b1f9ef43445d86d1c498ba1aa2,4ed4a4b309268a3783abb1903dc6c0ae,5.0,2020-10-11 23:08:33,这是一部三年前就曾俘获我心的日剧，SP对我来说是惊喜也是礼物，剧情无需起伏，光是看着她们仨唠嗑，成天喊着“幸せなりたい”，就很满足，所以我一定是私心给的五星。        把后悔的假设改成因果关系，慢慢向未来前进，才是获得幸福的途径。遇见他/她后所留下的痕迹并不难看，跟过去的释怀，更加珍惜现在的自己吧！       谢谢在时隔一年后的现在治愈了我。,2.0,,2
