,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35072571,侠盗,fe8002813fd34ad5255d6f36a1449037,c90342fb54c1780e8b46cc3fd8f38ee5,1.0,2020-08-28 04:57:32,"编剧太差，毫无悬念转折，白费了场面，最想吐槽最后一段高潮部分，我耳边响起了游击队之歌，每一颗子弹消灭一个敌人，梅根一把ak打出了刺激战场的特效！梅根真的不适合演这种角色，战术动作毫无那种特种兵的感觉，全程都是一样表情，配角也一般，反击的男主角在里面算演的最好...

                         ( 展开 )",8.0,,0
1,1,35072571,侠盗,e3248e8fc2f4f98816741f7dcd832623,95d41df784fa220a8dddcc5d4c6e1082,3.0,2021-06-27 11:52:28,"一 前段时间看到了一则新闻，说是南非那边的养狮场要关闭了。动物保护人士担心其中的12000多头的狮子生存将面临极大的挑战。 我听到的第一反映是，原来狮子也可以人养？ 但是想一想也就释然了。动物园不是连狼、虎、豹都可以养么，为什么养狮就不行呢？ 只是没有想到的是，原来...

                         ( 展开 )",,,0
2,2,35072571,侠盗,0913929ef1bab1c59a067d4f1768be7a,d6dcee98c5c5b4e64bf73eed243c9d05,5.0,2021-04-25 20:34:10,"我觉得女生很美很帅，然而去follow meghan fox instagram 感觉不是同一个女神啊。。我觉得导演把她拍得很好看吧。。其实故事有刻画好的地方，不过故事节奏蛮快，所以很让人适应不来。 尤其到黑人叛兵说不出他孩子的名字，好像卡在喉咙说不出口。到要杀死乱军的时候，他才义正言...

                         ( 展开 )",,,0
3,3,35072571,侠盗,da284ae53a7cf7ad179722749976545c,3006cf9353d1a1bd3f347a0e122a6a31,2.0,2021-02-15 23:39:55,"前面猎狮短短一段有点意思，如果交代一下母狮会回来报仇可能有点伏笔。而后面就是瞎闹了，开始救人，梅根的小队要计划没计划，要枪法没枪法，差不多损失一半……不过鳄鱼挺出人意料的…然后一帮残兵败将又把更多的敌人消灭了…那个老黑有枪不用，非得跟敌人玩拳，被人杀了还挺...

                         ( 展开 )",,,0
4,4,35072571,侠盗,0b51e79e4e83fad5dc9cb1c8e0abbd26,57e7d32d379a34d3f327ee6e340c8e45,,2020-09-24 23:39:28,"一开首就看不下去了。距离目标不超过两百米的，貌似AR47加上15倍瞄准镜，你是要挑一个敌人身上的毛孔来打吗！？😂😂😂😂我了去~~~导演动了脑子没有啊~~~还是说要用这把枪替代狙击步枪？话说像这种私人保安公司可以说是美国对外侵略的重要一环，承接了多少肮脏又极度必...

                         ( 展开 )",2.0,,0
5,5,35072571,侠盗,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2020-09-20 21:56:46,"与天斗与地斗与人斗——《侠盗》 今天聊聊电影《侠盗》。 片名Rogue (2020)，别名南非救参任务(港) / 重装救援：全境猎杀(台) / 暴走。 沉寂了一段时间的梅根·福克斯带着她的新片《侠盗》来了，辣妹化身雇佣兵，深入非洲最危险的反对军营地，上演一出惊心动魄的营救行动。 不...

                         ( 展开 )",1.0,,0
6,6,35072571,侠盗,cde1f7ee296e94e230e7472ded3bbaa3,7729360f364f33bfc673b313f0991f2f,,2020-09-08 00:37:51,"一群雇佣兵打几个杂牌军这叫一个费劲，两名跃跃欲试的狙击手被下令吸引敌人注意力，其他人去屋里救人，杂牌军包围屋子，外面两个煞笔不开枪打竟然在大喊，嘿，看这边...  队长花里胡哨横切竖切枪清理旁边墙角看的我好尴尬。 开车追逐扫车啊，扫轮胎啊，我尼玛币的m4扫车头一梭...

                         ( 展开 )",1.0,,0
7,7,35072571,侠盗,5ed33e46186ca6a864c0de3f35eb9ebe,fc121320aec637a9c1d34be82145c936,1.0,2020-09-03 17:50:44,"这篇影评可能有剧透 

                        恨不得从第一分钟吐槽到最后一分钟 开头，一个母狮子跑出来，见人就咬，十多个人两三辆车的郊野农庄，一个都没跑了。。。我以为是猩球崛起或者大白鲨的剧情。 然而。 然而莫名其妙就出现一队雇佣兵跑出来救人质。这段的每一帧都值得吐槽: 两个狙击手负责佯攻和吸引火力，结果端...

                         ( 展开 )",11.0,1.0,2
8,8,35072571,侠盗,b1f63d9c13d983fc16a38e9ec6855107,bf76bf7891399533c5ec73ac8c9f7e65,,2020-08-30 20:33:34,"这篇影评可能有剧透 

                        看一半都没看了，编剧就是个傻逼，明明是什么海军陆战队之类的雇佣兵，像尼玛一群一点都不专业的二杆子，去救人挣赏金，你丫有命花这个钱吗？编剧一点都不符合逻辑。几部车隔那么近，狙击手都打不死对方，格老子平常没有学过越野射击教程的？手榴弹还一顿瞎几8乱扔。到驻地，不...

                         ( 展开 )",6.0,,0
9,9,35072571,侠盗,92110c845d933c7c671ded4499e917fd,9c915c99c4bec396652514a4164f0c3c,2.0,2020-08-27 22:14:43,"五毛特效明显: 1.火箭筒打直升机，直升机连个躲避都没有，爆炸效果不如烟花来的好看； 2.众人跳水镜头，明显有特效，跳水姿势也异于常人； 3.从二逼女C一作就猜到了，此处有鳄鱼出没，别作！果然！只是鳄鱼吃人特效太差，啥也看不清，一摊血水铺剧情。 不合理的地方: 1.火箭筒...

                         ( 展开 )",13.0,,2
