,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35127317,OK老板娘,b1f63d9c13d983fc16a38e9ec6855107,bf76bf7891399533c5ec73ac8c9f7e65,,2020-09-20 06:32:06,"那么可爱的小演员叫什么名字？应该放入演职员表，这也是一种尊重。再怎么算也不是跑龙套的啊。欢迎大家评论区留言。那么可爱的小演员叫什么名字？应该放入演职员表，这也是一种尊重。再怎么算也不是跑龙套的啊。欢迎大家评论区留言。那么可爱的小演员叫什么名字？应该放入演职...

                         ( 展开 )",7.0,3.0,14
1,1,35127317,OK老板娘,29350b9fd4158da8e75662dcc54cb92c,8709570880a1b1d287087b229e691617,4.0,2020-09-26 20:55:34,"劫机题材不常见，而以劫机题材拍摄的喜剧电影更是罕见。《OK老板娘》就是这样一部，以严肃话题——劫机作为背景，而展开故事的动作喜剧。 小食店老板娘（严正化 饰）表面是个平平无奇的小商贩，实际上曾是令人闻风丧胆的朝鲜女特务。老板娘的丈夫（朴圣雄 饰）表面是个怕老婆的...

                         ( 展开 )",3.0,,0
2,2,35127317,OK老板娘,4f6112c3ea02d2ab04013fe3146c8883,43e3b60dda64ad07c59b1c2fed2f2817,,2021-08-29 15:28:27,"太他妈搞笑了哈哈哈哈哈 看着超开心的😆 强烈推荐！！！！ 夏威夷啊！！！！！！！啊啊啊啊啊啊啊！！！我也要去！！！！！啊啊啊啊啊啊啊！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！啊啊啊啊啊啊...

                         ( 展开 )",,,0
3,3,35127317,OK老板娘,f50d90b31c947923c6addb9a250edb8e,ab483bbb27461303e7023a45712b07e5,4.0,2021-06-30 23:01:11,"这篇影评可能有剧透 

                        我喜欢《OK老板娘》的原因是虽然观众能从片名或预告知道美英是个特务，但在导演深知光是美英一人对抗恐怖分子还不够精彩，从而利用美英一家人跟机上乘客彼此之间的互动过程，让《OK老板娘》剧情变得多层次更丰富。 导演非常用心在塑造每位人物各具特色的风格形象，还有他们彼此...

                         ( 展开 )",,,0
4,4,35127317,OK老板娘,0a37ad6977d6d3b3cf2c4a58a074c828,25ab52f8ff5d3f72925c7d1b5dfdbde3,3.0,2021-04-02 17:02:52,"作为喜剧尽管不要求逻辑十分严谨，但也太不合理了吧，毕竟不算是无厘头式喜剧。 韩国的机场安检形同虚设？手枪、刀具、炸弹随便带？既然可以带一支手枪，干嘛不人手配一支？ 都侦查到北韩女特工的要搭乘某一趟飞机这么细致的情报了，不会不知道他们是一家三口一起出行吧？绑架...

                         ( 展开 )",1.0,,2
5,5,35127317,OK老板娘,1197cfd929c26a7f5b1db1abe874bb38,7e2f4bdc1326911397cfaf794348e499,3.0,2020-10-16 20:24:54,"这篇影评可能有剧透 

                        今天给大家推荐这部2020年08月12日在韩国上映的喜剧电影《OK老板娘》，本片就评分来说并不乐观，目前在豆瓣只有两千四百多人参与评价，评分为6.5分。最近一段时间韩国电影一直处于低迷状态，之前推出的《从邪恶中拯救我》，在强大的卡司阵容之下，也只在豆瓣斩获了7.2的评分。...

                         ( 展开 )",2.0,,1
6,6,35127317,OK老板娘,d179c59a769e00ccc14fde66ee4c94bf,c44eae43c7b0abc1d1e3ba3250f84976,3.0,2020-10-10 19:26:28,"这篇影评可能有剧透 

                        《OK 老板娘》“李光洙”的女友又出新片了，还是韩国版的《史密斯夫妇》，不过她在里面是一个根本没有什么存在价值的女配，这个角色可谓可有可无。跟原版《史密斯夫妇》相比，韩国版的这一款格局和制作就相当小了，除了依旧拿南韩北朝的矛盾做文章，但是大局观没有一点点的输出...

                         ( 展开 )",,,0
7,7,35127317,OK老板娘,6f163032be1d9ad9f8cfa40846341164,52e47b389023b3a3094947e142d1db56,4.0,2020-09-23 10:47:57,"这篇影评可能有剧透 

                        这部《OK老板娘》，小编亲自验证，绝对无雷无尿点，顺顺当当的看下去，就能get到快乐哦。 故事起源自一个瓶盖，男主(朴圣雄饰演)用尽毕生的运气中了次夏威夷旅行大奖，而女主(严正化饰演)为了女儿，决定奢侈一把，于是一家人开心的坐上了前往夏威夷的飞机。不过这趟航班上，不...

                         ( 展开 )",2.0,1.0,1
8,8,35127317,OK老板娘,644ba3a616316edf6da306f6878f29bb,400092a861e4483bf0b1d096d23dea93,4.0,2020-10-03 18:17:31,"这篇影评可能有剧透 

                        这是今年迄今为止看过的最搞笑的一部喜剧片了，也可能是今年最搞笑的一部喜剧片。 故事很简单，朝鲜特工在韩国隐姓埋名成立了家庭，无意中得夏威夷全家游券，旅途中在飞机上遇到来暗杀她的前同事，不得不展现多年隐藏的功夫，打败敌人保护无辜还要避免被丈夫女儿发现她的真实身...

                         ( 展开 )",3.0,,0
9,9,35127317,OK老板娘,8e6af4aa0e1d062c322985f072adbfc8,98dbdcc18cec43a055980c75fff1a7f9,4.0,2020-09-21 00:40:38,"这篇影评可能有剧透 

                        如果说去年上映的《极限职业》深得你心的话，那么你绝对不能错过这部票房持续升温的南韩年度爆笑动作喜剧《OK老板娘》！由“韩国玛丹娜”严正化领衔主演，集结了朴星雄、有“国民女婿”之称的李相仑、裵正楠以及李先彬等人合力搞笑演出，成功在韩国创下新片类票房冠军。《OK老...

                         ( 展开 )",2.0,1.0,0
