,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35131877,工作细胞：细胞大作战,96e9428a5045b1920abec4cd19e2208d,65ca5d6b8741f4524d4c608da4fe4f21,5.0,2021-04-12 11:22:44,"虽然买电影票的钱也够冲b站一个月会员了，但是在影院两个小时连续观影感觉会更好吧。针对网友们吐槽，锁定评分不高的原因就是因为是总集篇了。不过如果不是影院上映，我都不知道去看这一部新秀高口碑作品。能学到生理知识，对健康有益，如果孩子对里面部分暴力和血腥镜头能消化，也可以带过去看看😂
之前春节就被工作细胞东北话配音的微博刷屏并承包了笑点，作为时隔14年再度在央视播出的日本动画，它能否起到承上启下的作用呢？登录央六的第一季寓教于乐；第二季先上了b站和院线，与此同时发行的工作细胞black据说是评分9.2的职场暗黑系作品。有时间都想看一下（那还得先充大会员呢）
开场的血小板温馨观影提示很萌，乳酸菌酱们出尽了风头，和普通细胞君的感情线也不是刻意煽情。最后压轴戏是率直男白细胞，强悍女杀伤T细胞和猛男记忆T细胞三人组与癌细胞的较量，过程辛苦更让人为免疫系统的胜利而欣慰。细胞们这么卖力，人体还有什么理由不注意养生，抵御细菌和病毒的侵袭呢？记忆T细胞使出的那招穿孔素加农炮拳类似于天马流星拳，都是绝招😄
两首主题曲“使命！健康第一”和“go go工作细胞”都是燃曲，那是，相当燃😂
遗憾的是中配场太少。",3.0,1.0,11
1,1,35131877,工作细胞：细胞大作战,ec2a292efa8350ea4239e895813008b2,e49c713080ff697014e326c00a6c6201,5.0,2021-04-12 00:42:13,苔好笑了没想到评分才7.1但素我真的蛮喜欢这部的。本来没准备来看的，因为第二季没看，感觉自己错过一些所以本来不太愿意去看，结果昨天看见3号厅还挺推荐（因为怕被剧透所以没细看）就去看了。首先是我很生气因为我买票的时候25块，买完了发现降价成16.9，算了（深呼吸）。 从头开始我就隐隐约约有点想流泪，我也不知道为什么，就是，就是，我记得看ww1984和夺冠的开头的时候也这样，就是模模糊糊得觉得感动。我觉得小戴安娜从小就展现出stronger than her sister的power很感动，女排的成员凄厉地尖叫着打排球，运动原始的力量很感人；这次可能我觉得我身体里几十万亿的细胞为我而活着很感动。你知道对我这种自卑批来说这有多严重，这么大数量的细胞细菌只是为我这样一个没什么意义的生命体这么努力，这个认知只能让我觉得太浪费了，相比起知道自己在浪费地球的氧气和粮食之外，此刻更让我觉得浪费了这些面容姣好的细胞的时间和生命（开玩笑的，哈哈）。讲这话的我是有毛病，其实我完全不这么觉得，拟人化的细胞肯定会可爱漂亮一点，无可厚非，因为非常清楚自己的差劲，所以不会把那些漂亮的拟人细胞和我身体里真实的联系起来。 但我感动的到底是什么。。我有时候觉得只是大脑应激的动作，或者和人的状态有关系吧，很久没看这种的了，说实话二刺猿爽到了。很多地方用了很二次元的那种表现手法，然后主角普通细胞的性格也就普通的傻白甜，白血球是刀子嘴豆腐心普男，红细胞是热心阳光普女，血小板是活泼可爱普童，反派癌细胞也普得不能再普。他还长出翅膀背后打光，是不是学death note的夜神月。但是我记得那个树突状细胞被活性化之后真的太骚了。。。我愿意为了他再看一次。 还有一点，这电影竟然还放op！一下不知道是在看电影还是在看番。 还有看完了真的想说去买乳酸菌。,4.0,2.0,0
2,2,35131877,工作细胞：细胞大作战,2c69d38c0361fefcf8d93fc75528dac0,496bf306bc4029f13b731cc7c9bd0eca,,2021-04-15 22:25:36,"本节目由 广告位招租 独家冠名播出    观影须知+剧情提要  0、禁止禁止套娃：你甚至可以在《工作细胞》看工作细胞看《工作细胞》 1、颜值即是正义：长得cute都无害，长得丑的都是怪 2、黑历史是瑰宝：震惊！表面上一本正经绿帽男背地里竟然干这种事 3、脸盲症女武神：关于黑丝高跟的金发制服小姐姐眼神不好使这件事 4、正义必胜定律：缝合反派终究难敌努力天才 5、消失的一分钟：河蟹河蟹河蟹河蟹河蟹河蟹 6、乳酸菌真好喝：咕噜咕噜咕噜咕噜咕噜咕噜    CAST   白细胞 饰 白百合 一般细胞 饰 井柏然 乳酸菌 饰 胡巴  红细胞 饰 井柏然奶奶 血小板 饰 森蝶、天天  树突状细胞 饰 钟汉良 巨噬细胞 饰 闫妮 B细胞 饰 保剑锋  NK细胞 饰 姚晨 杀手T细胞 饰 姜武 调节性T细胞 饰 汤唯  癌细胞 饰 赫子全开金木研·白翼加护一方通行·巨人之力???  中性菌女 饰 吴君如 中性菌男 饰 曾志伟   





  



",1.0,,0
3,3,35131877,工作细胞：细胞大作战,2c77e503029822fbc9fed13b1bdc2774,eedfcb3776010769a52b0ccb31e14a8e,4.0,2021-07-12 13:25:08,2020日本动画片《工作细胞：细胞大作战》，同名电视动画剧集的电影版，豆瓣评分7.0，时光网评分7.2，于2021年4月9日引进国内上映。 “寓教于乐”的电影版释义。 由衷地佩服日本的动漫产业，将人体生物知识以喜闻乐见的动画片的形式来展现，生动形象地展示了枯燥乏味的人体生物知识，寓教于乐，潜移默化传递知识，而且影片制作精良，水准上乘，是标准的商业动画片水准，这非常值得国内的教育产业和动漫产业借鉴学习。 本片的脑洞很大，制作团队首先要将人体生物学知识吃得很透，然后以天马行空的创造力改编成剧本，将知识点拟人化、影像化、娱乐化，然后再以动作片、怪兽片、丧尸片的模式展现出来，科普知识点时不时地穿插进来，要想更好地理解剧情，必须要认真看懂知识点，也只有看懂知识点，才能更好地理解剧情，制作者的心机太巧妙了。 当我们看到从小就熟知的血小板、红血球、白血球这些生物学名词以动漫角色的形式“活”了起来，相爱相杀，看到益菌大战害菌，看到工作细胞VS大反派癌细胞，显然是一件非常妙趣横生的观影体验。 本片虽然走的是科普动漫的路线，但却是标准日漫的水准和水平，毫无粗糙之感，无论是角色刻画，还是分镜设计，还是动作设计，还是节奏掌控，还是背景配乐，都是一线水准，很下功夫，尤其是动作戏，紧张激烈，血脉贲张，各种眼花缭乱的必杀技，那叫一个爽。 “工作细胞”是一个动画剧集，不仅在日本大受欢迎，还被央视引进国内播放。本片是“工作细胞”的第一部电影版。我虽然没看过动画剧集，但是通过本片就能看得出来动画剧集一定非常精彩，事实上动画剧集的豆瓣评分远高于本片电影版。 作为科普动漫的电影版，本片近两个小时的时间有些长，由于剧情并不复杂，又常有科普知识点穿插，毕竟不是纯娱乐片，时长控制在90分钟为宜，毕竟主要受众群体是少年儿童观众。动画剧集每集是24分钟，短小精湛，恰到好处，还没看过瘾就结束了。 俗话说“外行看热闹，内行看门道”。如果初中高中人体生物学得好，本片一定会带来很大的乐趣，会不断地为枯燥知识点转化为动漫表现形式的构思和创意而拍案叫绝，尤其是医学领域的观众，肯定看着非常过瘾。不过即便脑子里没料，看个热闹也是很有趣的。 本片的国内引进版少于日本原版一分钟，是因为影片中的动作戏略有血腥，尤其体现在结尾大战癌细胞的桥段，血肉横飞的画面不适合少年儿童观看。 相信所有看过本片的观众都会联想到要多喝酸奶，因为乳酸菌在故事中起到的作用太大了，如此科普，让人自然而然地爱上酸奶，乃是科普的最高境界,1.0,1.0,0
4,4,35131877,工作细胞：细胞大作战,8b5f30dbd0033069d88e119084e12bb1,540393f2fc20c3e9ac35cee214c4dec2,4.0,2021-07-07 15:01:18,"挺好的，科普与故事结合，既不冲突又趣味无穷，看完以后瞬间感觉涨了很多知识，也更加爱惜自己的身体。
从前就幻想过的世界，如今被以动画的形式呈现出来，光是立意就很值得称赞，而且风格明亮轻快，老少皆宜，算是非常成功的IP。
在这里不论喜好差异，总有一款细胞的性格设定符合你的胃口，也正是如此鲜活的角色，才能成为受人关注的重要原因。除此之外还有癌症、流感、幽门螺杆菌等反方也被详细介绍，当然与之战斗也成了生活的常态。
这次剧场版讲述的乳酸菌可谓是相当典型，对人体来说也大有裨益。由于当代人的生活饮食导致肠胃疾病成为常态，了解这类知识就显得尤为重要。
印象中比较深刻的是关于树突细胞传递的激素活化效果，描绘的生动形象，竟然是散播黑历史的照片哈哈，还有用抗原情报泄露的说法来刻画癌症的伪装，巨噬细胞反差的塑造也让人叹为观止，不得不佩服画师的脑洞。
所有的器官在这里变成了一座座工厂，肠道聚集的菌群代表善恶势力相互较量。伺机性感染菌既保持中立又偏向强势一方的存在占据了70%的比例，真是神奇啊。
癌细胞作为自身组织的变异体，存在与其而言不是错误，被消灭亦是如此。而最强三人组嗜中性球、NK、记忆T，尤其是那招穿孔素，简直太帅啦。
想到细胞没日没夜的工作和战斗着，人类就应该对自己的行为负责。因为身体不仅仅是属于你，还是属于这些感觉不到自己是活的构成物质，在与病魔的对抗中，他们也许更努力也说不定，而我们就像上帝一样，既参与又旁观，是选择爱惜还是摧残都取决于你。
我的意义是什么呢？也许是他们的整个世界吧。",,,0
5,5,35131877,工作细胞：细胞大作战,aea5fd0991c13c403b3ec9b49aadb5f1,d4711c4b883b58a5f13fbbba8bd26c99,,2021-05-14 08:09:17,被姐妹按头安利的很久的动漫～本以为是子供向动画，但看完被整个人体器官场景的构建以及人体细胞拟人化角色给惊到啦～ 每个功能细胞都有符合自己功能特点的“胞设”～骚包的树突细胞、酷飒女特工的杀伤性细胞、还有最喜欢的充满矛盾感以及内心挣扎的冷面白细胞，看到他抚摸乳酸菌的那刻真实感受到了心有猛虎细嗅蔷薇～ 影片在剧情发展中随着每个细胞的出场带来的对人体细胞知识的科普也十分硬核，当然因为是番剧打包电影化，某些知识也出现了不断重复赘述，但瑕不掩瑜，给当今子供向动画带来了教科书级演示范本～ 一个很有趣的细节是树突细胞为了刺激大家活化让大家看看自己的“初心”，而“初心”竟是大家成长过程的糗事和黑历史记录，也是一种有趣的对人生意义的消解了～ 而癌细胞消逝前那句“几十亿个细胞的生命和一个生命体哪个更重要”的灵魂拷问也带来了更多现实意义的思考～一个整体真的比几十亿个个体生命更重要吗～或许有些时候不是叭～,,,0
6,6,35131877,工作细胞：细胞大作战,5e48f4833eabbfdb282576aa68bb05c3,be1f3d52aeae52aa753af1f618845342,3.0,2021-04-20 23:50:19,#电光幻影# 《工作细胞：细胞大作战》日语版，乳酸菌独霸武林的日子。 日系动画电影总是能给人带来许多美好。虽然是动画电影，但是往往老少皆宜。孩子可以感受其中的知识和可爱的接受程度，成年人在可以理解和思考的基础上更深入的去体会事情。日本动画电影在传播和科普方面总是不留余力，这一点真心是喜欢。 日本动画片《工作细胞》本身是系列形式的动画片，大量的内容连贯起来，每一部都是有意思的，也是有条不紊的介绍了身体的很多细致的内容，包括结构、身体的元素，遇见问题时可能会出现的反应，以及需要采取的应急内容。也正是因为如此，虽然幼稚的可爱着，但是人人都可以坐在那里欣赏进去。有系列的电视剧在前，其实剧场版也只是系列中的一份子而已，做成了动画电影，恰恰选在了大屏幕上去表达。 国内引进的这一版剧场版的《工作细胞》主题正好是乳酸菌。无比可爱，特别Q弹的乳酸菌小宝贝们萌了一屏，每一个看起来都好像是个宠物，个个让人喜欢，颜色还五花八门的，基本上每只看起来都想要。特别是变身之后，长着角，好像小玩具一样。如果想领养一只乳酸菌，不知道是什么样的喜悦心情。 电影内容探讨太多也没什么意义，就是特别正常风格的动画片电影，科普知识，拟人化，可爱萌，各种好听的娃娃音。因为主题是乳酸菌，所以围绕的故事情节就是这一个主线。但是不得不承认，看看好的编剧，就是这么一个枯燥无趣的主题，愣生生的又可爱又有意思，不跑题，还各种注释讲解的特别清晰，真让人羡慕。这种感觉国内电影，特别是动画片类型的，往往做的差很多细节的地方。给大人说话跟给小孩说话不可兼得，而日本动画片一般都处理的比较规矩，不算出色，也不太会拖后腿。 看完整部电影，真是符合主题，就想说，多喝乳酸菌就好了，对人好哦。不过后来几个朋友都跟我解释，说乳酸菌本身就是日本人民整出来的玩意，所以无限放大这个价值的优越性也正常。道理嘛，我是不太知道的。不过我觉得喝一喝还是很开心的。 为什么这个世界有这么多萌物，可是我却不能拥有其中一个呢。想要乳酸菌宝宝。 作者：小佛搞特,,,0
7,7,35131877,工作细胞：细胞大作战,3031329b7b93ea23b622a9f40dd7ba62,d28551fbe7c4b0bd7064c2bba7e54234,2.0,2021-04-17 01:33:48,讲道理…真的很烂…烂到如果不是和人一起看的我估计半路起身走人的程度…… 就算科普电影，他首先得是电影，是电影，你得情节合理吸引人能看下去吧？这个情节…我也不知道合不合理哈，但论吸引人，议论文写过吗？给你开张三个点写好，然后一二三地展开，谁看？再配个盛世白莲男主，脸像敷了500个鸡蛋…今夕是何年？标准的蹭得累肌肉猛男高冷御姐被感化…文艺复兴的不错啊。还有那个最大反派，为了不打工决定毁灭老板？不必啊大哥，你还记得你是个细胞吗？把老板灭了不是说你翻身做主人，是你人也没了呀！难不成这还是丧尸片，你把好细胞全转化了这身体就能成为僵尸活下去？？？ 总结就是部无聊的片子，有时间看这个还不如看看纪录片更有趣些……,1.0,7.0,0
8,8,35131877,工作细胞：细胞大作战,99dfcdd072c7e1a638f477c470c9de84,82363144280e3fb84e7d97121f84864d,,2021-04-15 15:52:26,一个小细胞，一个红细胞，一个中性粒细胞。（白细胞）。 人体细胞大冒险！开启乳酸菌旅游模式。 好好学生物，好好学化学，好好养身体，好好喝酸奶，一杯不行就两杯！ 听见没，论题目:好好喝酸奶有多重要 细胞也疯狂 论一个细胞想保护身体 论人体70%都是乳酸菌的海洋 癌痛:我想说爱你不容易 超可爱的乳酸菌游泳,1.0,,0
9,9,35131877,工作细胞：细胞大作战,cd9e1fde228fa483cf9217167924f0d0,d09c3ec6e03a3bf03fefc95879e40942,,2021-04-15 09:32:42,看完后觉得，细胞是自己的细胞，要好好爱护，或许人们生活的时候从没有好好感受过自己的身体，没有好感感受过身体的细胞，它们是一个个的小生命，每天辛苦工作，因为我们的行为劳碌奔波，作为主任我们应该反思下自己，有没有和你的身体一起好好努力，好好活着，还是放纵自己，伤害自己。细胞工作用形象生动的方式表达着身体的各项活动，浅显易懂，也不耗费很多精神，这样的形式大家都能接受，还能看的津津有味，或许别的方面也能借鉴这样的方式，传播是需要巧思的。,,,0
