,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35177637,三振集团英语托业班,18680aa76474f92d4001ce18e87092d5,4f3f81cf7f1ff8ad607ccaeab596bb08,5.0,2021-01-01 19:07:10,"宝蓝的上司是太让我感动的一个角色。你无法直接评判他到底是个好人还是坏人。但他的确陪伴着宝蓝成长，如父亲一般的人物。“现在世道越来越坏了吗？我很喜欢以前的人，以前的一切，但现在好像大家都不关心别人了。如果说以前多好多好，这对没有经历过以前的人来说，是不负责任...

                         ( 展开 )",14.0,,0
1,1,35177637,三振集团英语托业班,dee89f6edd8c3139722efebda7ea67d0,31680852d4c9b5a972e85149a60d968c,4.0,2020-12-06 09:01:11,"这篇影评可能有剧透 

                        韩国从不缺现象级的作品，《三振》可谓一部韩国版本的《隐藏人物》，韩国在对好莱坞类型的本土化改造上依然驾轻就熟。 三个女性依靠自身的努力奋斗赢得（男性）世界尊重的故事，这无疑也是一种颇受欢迎的“政治正确”。本片在“女性”的弱者身份探讨下，加入了“唯学历论”的社...

                         ( 展开 )",5.0,,0
2,2,35177637,三振集团英语托业班,e75ecfdaf47553422296c77534b417ae,ee0b87cbec986ab188319886f81aedf3,3.0,2021-08-16 21:33:39,"讲述1995年进入公司已有8年，业务能力虽是经验丰富的老手，但因为是高中毕业，所以总是处于最低端。一起听公司托业班的三个朋友合力揭露公司所犯下的不正之风的故事。千万别被片名耽误了，错过这部电影！凑齐这么三个女演员实属不易，可以说暂定今年韩国电影最佳。从披露各种职...

                         ( 展开 )",,,0
3,3,35177637,三振集团英语托业班,bf9aa314195bb1caa8c953019d4b6805,1abcf1622371d03f992001cb6cd78919,4.0,2021-07-25 17:12:51,"故事上也是能看出来花了心思的，既有一定的时代背景需要客观地呈现，又有现代的讽刺话题需要展示，大背景的细节导演没有丢，话题上的深刻导演也没忘，使得所讲的故事在娱乐观者的同时又能让观者思考，很是优秀的一波操作。 强权与弱小之间的抗衡本就不对等，但是事实就是事实，...

                         ( 展开 )",1.0,,0
4,4,35177637,三振集团英语托业班,47b6c70d8c5dd9d2f63736b6d7d2bdc8,8d2b42fe569507448d14928561a7bbd1,4.0,2021-05-04 01:37:10,"这篇影评可能有剧透 

                        哈哈哈，韩国的电影不是一直标题就能吸引人吗？结果《三振集团英语托业班》却真的是标题无语，不过还是在偶然间最无聊希望学习的时候点开了，结果却有种出了意料。 一开始，三个职场女人开始各种用蹩脚的英文自我介绍，以致于我真的以为是三个职场女人通过学英文中碰到的搞笑事...

                         ( 展开 )",,,0
5,5,35177637,三振集团英语托业班,faa99a44fad254b543d573775292ce14,4a8fbd26b982b3952785d0b5fe865802,3.0,2021-02-10 00:51:58,"三振跟三星名字还蛮像，讲述的是韩国九十年代高中毕业的女生大型企业生存的故事。 九十年代，大家都以进大型企业为荣，并都为之终身奋斗。在这些大型企业，存在这样一群人，她们负责处理部门的琐事(例如倒咖啡，找资料)，她们没有晋升机会，她们只有高中学历。虽然她们在企业的...

                         ( 展开 )",,,0
6,6,35177637,三振集团英语托业班,f1545c172579bb13c7bd524346a6cf28,34d7e2a94cd7cd73bb74c5e4ff86ef3e,,2021-01-24 18:52:36,"《三振集团英语托业班》秉承了韩国电影一贯的作风，敢写，敢拍，贴近生活实际！这部电影讲的是老生常谈的“工厂废水”问题，结局呐，过于理想化。之所以给四颗星，是因为我认为这部电影折射的两个现实问题值得深思！                                                         ...

                         ( 展开 )",1.0,,0
7,7,35177637,三振集团英语托业班,e2fbd13359960fd84f3c13adec05c102,82090ec7d3d80c84e6a8e34fb84ce88d,5.0,2021-01-17 01:34:36,"记得第四次季度启动会的时候，公司开始破熵增，学习亚马逊的企业文化，告诉我们要保持初心，保持“第一天”精神。那时我不太理解有什么好保持的，看完这个电影，我突然想明白了:当我们刚进公司的时候，每个人都为自己立下了雄心壮志，保持公平公正公开的心态为公司奉献自己的力...

                         ( 展开 )",1.0,,0
8,8,35177637,三振集团英语托业班,dc02e5aada4c1c2bb9393ca80edbcaed,45f8b858c3d43b7b24033a78c26fe337,,2021-01-03 18:32:22,"电影：《三真集团英语托业班》 韩 这部剧乍一看，有点小妞电影的意思，虽然剧情表面反转再反转，但属于你一眼就能看到结局的电影，所以当爽剧看就好了，过程还蛮可爱的，我主要是被李絮吸引，怎么看她都不够，仔细看才能发现这部剧的细腻之处，挺值得回味的。 影片里面有几个对...

                         ( 展开 )",,,0
9,9,35177637,三振集团英语托业班,534408b13eebab6f372ba2af02232e32,534408b13eebab6f372ba2af02232e32,,2020-12-24 10:08:22,"三振集团英语托业班 导演:李宗弼 编剧:李宗弼 主演:高雅星/李絮/朴慧秀/赵贤哲/金钟秀 类型:剧情 上映日期:2020-10-21(韩国) 90年代绝对是一个值得被记住的年代，互联网刚刚普及，那段岁月里，五笔输入法成为潮流，大哥手里握着大哥大开着桑塔纳，世界经济飞速发展。1995年更是...

                         ( 展开 )",4.0,,0
