,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35305634,恋爱局中局,3a57e2aa052bc3b1b2741888a09019e8,2e3ead462809565f9c70d0d204519f9d,5,2021-06-05 03:41:34,"小水真的太美了！男主也帅的一匹～ 所有演员的演技都在线..唯一的硬伤吧 ..肯定是剧情不够缜密..没事男女主的颜值来弥补吧... 剧情后面会有个小反转哦🤩🤩 搞笑的桥段是真的很好笑 而且丝毫不夸张的 ..最后的剧情也反映了泰国受新冠肺炎 也打击得很严重啊 .... 看完了之后...

                         ( 展开 )",,,2
1,1,35305634,恋爱局中局,97ae32d764bc909d3f809c81da64d2a0,46432735ab552e495aadb75a8736d78d,5,2021-05-28 03:08:04,"这篇影评可能有剧透 

                        大概没有一部诈骗电影不讲究揭开谜底（the big reveal）的部分吧。从骗哥将大布袋交给平采娜那一刻，我就猜袋里面肯定没有那400w；果然后面一直没有拍到打开袋子检查的场面，我心里顿时“稳了，小水应该没把钱交给渣男”。明明都猜到了结果，为什么我看到倒叙他们盘算渣男的计...

                         ( 展开 )",4.0,,2
2,2,35305634,恋爱局中局,791e21a69af1b3636a7140fa8a8bb568,dbdef229301dde3e99ef21f8b692c4d5,3,2021-05-06 16:22:19,"这篇影评可能有剧透 

                        你好，韭0后。 买基了吗？脸绿了吗？蓝色骗钱app卸载了吗？ 不卖，是薛定谔的韭菜；卖，当场变身韭菜。 每天看着以“-”开头的收益，大部分人能做的，也只有省吃俭用，安慰自己依然收支平衡。 院长在这里也安利几个小妙招—— 买不起生活用品？不要紧。羊毛长出来，不就是为了...

                         ( 展开 )",3.0,,0
3,3,35305634,恋爱局中局,3c6d36b7d36f69322e1ebc72df385e38,d33c14d7c10c6a3c4277c0fcfab523cc,4,2021-04-10 08:01:25,"这篇影评可能有剧透 

                        电影讲的是一个“行骗”的故事，但这样行骗手段，在我等“久经骗场”的人来看，实在太小儿科。 不过故事的女主，实在太可爱，简直是一个人撑起了一部电影。 不仅颜值在线，而且性格也非常讨喜。 一开场，是个乐观的女孩，尽管背着一身债，但还能保持每天开开心心出门，这非常不...

                         ( 展开 )",1.0,,0
4,4,35305634,恋爱局中局,c9b933bafde3199dad9d32c031d6389f,9c0e7b55492aba652c53de80fba76522,4,2021-03-30 20:28:06,"这篇影评可能有剧透 

                        版权归作者所有，任何形式转载请联系作者。 作者：Libey玛格与海（来自豆瓣） 来源：https://www.douban.com/note/798651325/ 好久没看泰国片了。有一阵跟室友一起看泰国的鬼片，根本不恐怖，好笑的不行。除了尼尼那那的泰语别扭以外，还是挺有看头的。 这故事应该是原创吧，还...

                         ( 展开 )",,,0
5,5,35305634,恋爱局中局,51464e219fc0a39fa631d42708be5bb3,7592cf5e461c82f05a69df7c1e961a17,4,2021-03-30 02:19:36,"这篇影评可能有剧透 

                        看完骗骗爱上你，最先想到的两个字是浪漫。 女主角伊娜和男主角Tower（我和朋友称他为泰国金城武）在诈骗的前一晚坐敞篷车兜风，虽然前方危机四伏，尽管他们还不熟悉彼此，但他们在对方的陪伴下仍能享受这一晚，很浪漫；女主角在诈骗过程中重新遇上前男友，还要扯破了裤子，男...

                         ( 展开 )",2.0,,0
6,6,35305634,恋爱局中局,3bad1f0b92b14ac44b0e1035707ea2e4,1c98c8c38b2ff15022ed2747212364ce,2,2021-03-12 01:22:34,"一句话感悟：一旦相信一个人，后来知道自己被骗了，不会死，可是会很伤心。 我的感悟好鸡汤啊！可是我得咽下去。 这种轻喜剧、爱情电影，却像电视剧一样的漫长，男主戏份长了，实际上，人设很简单，傻傻的骗子，也没什么发挥空间。 男主长了一张彭于晏的嘴和侧脸，一双赵又延的...

                         ( 展开 )",1.0,,7
7,7,35305634,恋爱局中局,8350ee5f5e0dca98d3a963549ad2f40e,27083ffd480366aa6fe615d17fe14359,3,2021-09-21 04:53:16,"天真的伊娜是一名银行员，在历经前男友卷款，并与小三私奔后，过着负债累累的辛苦生活，一场因缘际会下，意外认识了一个外表帅气却十分狡猾的骗子，然而伊娜并没有因此报警，反而决定雇用这名骗子，并对她的前男友展开报复行动，一场谍对谍的爆笑骗局，就此展开！爱情喜剧，好...

                         ( 展开 )",,,0
8,8,35305634,恋爱局中局,52dcc2d070a9c7f82699c58d000ca18b,fa1891f23750ce4c996cc63563e1a4bd,4,2021-04-14 00:02:22,"这篇影评可能有剧透 

                        看了一部甜腻腻的泰剧。 其实一点也不甜腻，至少没到鸡皮疙瘩的地步。 先来简单介绍影片故事梗概：天真的伊娜是一名银行员，在历经前男友卷款，并与小三私奔后，过着负债累累的辛苦生活，一场因缘际会下，意外认识了一个外表帅气却十分狡猾的骗子，然而伊娜并没有因此报警，反...

                         ( 展开 )",,,0
9,9,35305634,恋爱局中局,8a9e84001122d8aa45e1d94c2bcf1f4b,8227b1ca08f1b5e9053db947dce6986d,5,2021-03-10 19:20:25,"下午去某小区送快递，楼下门铃处一个男的拎着一大堆东西按门铃，男：“是我，开门。” 女：“请说口令！” 男：“别闹了，快开门。” 女：“口令错误，请重说，” 男：“快点开门，我拎着一堆东西呢！” 女：“口令错误，请重说。” 男：“我是傻B。” “咔”门就开了。。。 m ...

                         ( 展开 )",,,0
