,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,27177908,凯特,a0f9923efb52e447c934d9a2c30db7b0,710c5c95eea5695ebdddf14efeace00b,5.0,2021-09-30 22:24:14,"女性动作/复仇题材电影《凯特》的主线剧情可以用一句话概括：一位名叫凯特的职业女杀手在日本的一次行动中失手，随后被注射了致命的钋-204，只剩下不到24小时的时间复仇。另一条副线是凯特与被她暗杀的一个黑帮骨干的女儿Ani的纠葛关系。  本片超离了很大程度上充满男性凝视、为男性角色与男性观众提供双重“色情观看”的那些女性特工/动作片（一如主线设定所借鉴的吕克·贝松导演与多次自我翻拍重制的作品《女囚尼基塔》《双面女蝎星》《安娜》，以及近几年大火的《红雀》《碟中谍5》等）。 女主角凯特既非召唤着男性拯救与爱情的“柔弱女子”，又不是如铁般刚硬冷酷以一敌百的“女超人”，而是在强与弱之间游移变动的血肉之躯。她的每一次大口喘息、踉跄趔趄、呕吐虚脱与疲累疼痛都如此真实可感。也正是在极度残损沉重的肉身阻遏下，凯特的勉力支撑与竭力前行才绝对地动人心魄，女性不再是被欲望凝视的客体或机械性的非人，而真正成为引人共情与融入的、悲喜交织的主体性存在。  究其原因，恰是由于《凯特》给出了鲜少有动作片会采用的、非常勇敢的设定——我们和主人公一样，从一开始便知晓钋-204中毒没有解药（而大多数涉及中毒垂危的电影与小说，都会提供某种解药灵丹，在现实中，钋-210则可以通过二巯基丙烷磺酸钠促排出），生命仅剩下不足一天的时间。由此，凯特一方面是机械般循着血杀复仇的逻辑链环试图了断尘缘，另一方面则是意外地收获仅能保有数小时的不凡情谊，于是在离世前拼力守护新结交的朋友Ani，至终达成微末而珍贵的赎救（“Yeah, it's okay.I know you.”）。但是，那份难以割舍的生之留恋，无可逃避的宿命死灭，依然是残酷无情的既成事件（“Can't go back, sadly.”）。因为即使拼尽全力，解锁每个表面成就，完成一切外部任务，杀败所有外在敌人，她也没法阻挡从身体内部渐次散溢出来的、由内在缓缓渗透并最终漫卷涌出的死亡。  正因如此，主角光环实际上已残缺坠灭，俗套设定（赛博朋克与霓虹美学的东京、开头便不难猜到的反转、注重忠义家庭vs.只看个人利益的东西方帮派组织图示化的二元对立）与不够盛大绵密的战斗场面（的确不可与《杀死比尔》相比，亦不如《疾速追杀》系列——尽管共享了动作指导团队）也已经不复碍眼、不再紧要，影片对女主人公面临无可挽回之死亡时五味杂陈的心绪（愤恨、哀伤、不甘、无奈、执拗、决绝、不舍与心死）及其生命本相的展现才是此类动作/特工类型片中绝无仅有的。换句话说，表象、动作与剧情已然不是关键，唯有切近的情感、身体感知、个体生命终究难以回避抵挡的死亡才是我们自身与这部影片的核心。  伴随着生命的倒数计时，还有凯特的自我觉醒与反思。在冷血杀戮之外，她渐次显露出温情与宽宥的一面（放过被挟持受命投毒却不知实情的男子，信守承诺未杀Renji—浅野忠信，而她对孩子的喜爱则由来已久且已在影片中经过足够铺垫，这也是她激动地冲出巷弄乱枪射杀对手解救Ani的原因之一）。面对注定而至、即将临降的死亡，凯特往日被外部任务与规训（杀手的工作、训练与律令）所占满的生命，终于迎来了短暂却自由的本真时间（“My life wasn't mine.Till now.”）。  为什么说是自由而本真的时间？（我们可参阅海德格尔《存在与时间》第二篇第一章第51-53节）因为在这种极端境遇中，“此在”（即个人的生存、存在）得以真正地——尽管是被强制促逼地——“向死而生”，死亡成为迫近的、在短时间内确凿无疑的未来事件并遮没了我们，令我们畏惧并鼓起勇气筹划，尽管我们无可逃遁与躲藏。相反，在平日里，处于日常状态（“沉沦”）的此在，对隐约游荡在某个看似遥不可及之将来的死亡总是持有“两可”的态度，回避与悬置它。在这个角度上说，电影《凯特》不仅始终在向不幸的女主人公、也在冲着我们观影者提出拷问或曰天问——当你确知、确信了自己将要面临死亡，应该如何过完剩下的时间？如果观影者能够认同女主角并浸入这一处境，那么，随着影片不断地唤起自我反思，我们便能暂时进入这种本真的生存状态，考虑这一终极问题。  有人或许会问：如果你这么想通过影视剧向死而生地思考这一问题，那不是有大把多的狗血韩剧、催泪情节剧与“遗愿清单式”电影可以满足你吗？殊不知，这类影视剧在批量生产、标准化、类型化之后，便早已沦为一种惯常的消遣与释放情绪的工具，如何能够真正引人入戏与激起沉思？反倒是在动作片/特工片中，我们看到了《凯特》这样打破类型片核心成规惯例的作品。传统动作/特工类型片中闯关夺宝的主人公几乎全是“金刚不坏”的“不死之身”，在看似危难临头的时刻总能逃出生天，于是，在无数次观影体验里，身为感官娱乐视听轰炸主力军的动作/特工片，渐次成了一种低难度电子游戏（从而也产生了提高动作戏难度或以弱小普通人为主角、直接戏仿游戏存档读档机制的电影，如《明日边缘》《领袖水准》《源代码》）。简言之，无论动作戏如何精巧刺激，无论场面如何宏阔壮丽，这类动作大片也只能不断拔高你的猎奇阈值（及至麻木与无聊），而无法令你和本己的生命情感或深层次的生活现实发生接触。  但本片却另辟蹊径，在直接冲破乃至颠覆动作/特工片核心预设的同时，通过一种陌生化（急性钋中毒在日常生活中极不可能遇到）的方式预先让观众体尝到现实中的死亡之息——不论遭遇何种创伤或疾病，体力愈加不支、疼痛越发加增、意识渐次模糊恰是许多人最后不得不面对的境况。就这样，经由几乎不可能的虚构叙事，我们竟抵达了十分可能的真实情境。当然，在影片中，这也与玛丽·伊丽莎白·温斯特德令人信服的表演、部分实景拍摄与稳健精细的运镜调度密不可分。  此外，《凯特》的精妙之处还在于，它在探讨生命时间的同时，在电影形式的时间张力上也作了相应处理。 首先，从外在客观时间上说，影片的情节时间被压缩至一个晚上之内（凯特从离开医院到完成复仇后去世，外景镜头表明均为同一天晚上），从而让银幕时间（即电影实际播放时间）与情节时间看上去相差无几，提升了时间的现实感与紧凑度。  其次，影片后1/3段——确切地说是从影片开始1小时后——的动作戏密度与情节推进速度便明显减缓，甚或变得迟滞不前，这不仅仅是由于对文戏（如“敌我”之间、“家人”之间的对话与和解，真相揭示，记忆闪回，最终诀别等）集中安排的考量，还在一定程度上契合于女主角凯特的内在主观时间：随着身体越来越疲累、虚弱、疼痛，尽管已经临近死亡，主观时间的流逝却变得愈加漫长无边（一如我们在煎熬难耐之时的心理感受），而这种主观时间的滞重拖长，亦与凯特的身体动作相吻合，摇晃，蹒跚，耷拉，乏力，甚或瘫软在地，那勉强迈出的每一步都恍如翻山渡海般艰难苦痛。  最后，本片在后1/3段那场唯一的战斗戏中，多次、长时间地以升格慢镜的方式呈现凯特的拼杀过程（而在前2/3部分的所有动作场面里，仅出现了一次短时间的慢镜头）。在此，慢镜头既渲染了决战残酷而悲凉的气氛，又通过摄影机对时间的扩展拉长而延宕了结局（女主角的死亡正是本片的最后一个镜头），并进一步外化了凯特因身体创痛而延绵无尽的主观时间。  一如塔可夫斯基所言，时间是电影基础的基础（参见《雕刻时光》南海出版公司2016年版，130页），在此意义上，对时间本身的探讨多能触及电影与人类生命的底质。在银幕上于少于一天的情节时间内呈现进入倒计时尾声的个体生命，也是今年另一部新片《老去》的理念（在一处神秘的海滩上，误入其中的游客的细胞生长与衰老速度急剧加快，半小时即相当于一年），奔流飞逝的时间张力与时间的可视性，亦在凝缩为一天的银幕人生中达到极致。类似地，安哲罗普洛斯描画一位诗人生命中最后一天的诗电影《永恒与一日》也有异曲同工之妙，只是《老去》《永恒与一日》更着重于思索衰老引致的死亡，而《凯特》聚焦的却是一个深陷过往泥淖、还没有真正开始生活的人的殒灭——当然，这个母题实际上早已被重述多次了，只是在通常的剧本安排中，时间不会仅限于一天之内，且主人公的死亡多是由自身性格与机缘巧合导致的，而非无可阻遏的客观必然性——参见帕尔玛导演的黑帮片《情枭的黎明》《疤面煞星》；另一种人人乐见的方案是在结尾抛出一个解药（抑或在续集中编一个牵强的理由令主角死而复生），若是如此，影片就将在瞬间自我瓦解那原本极具颠覆性的核心设定，所有的悲剧性氛围与道别的准备都将堕退为玩笑与骗术（一如许多影片所沿用的最后一分钟营救或结尾的反转），这套屡见不鲜的把戏便是商业娱乐电影中惯常的造梦逻辑，恰似廉价的魔术与冒牌的神迹。然而，在真实生活中，生与死的逻辑实而绝少与奇迹相兼容。细想来，这或许正是很多怀着暴力美学动作大片之期待来观看本片的友友失望而归打了低分、而对寻常动作片无感的笔者却惊喜感怀给了高分的缘故吧。  最后，如果你熟悉恐怖片文化，应该会知道本片女主演玛丽·伊丽莎白·温斯特德早年的一部代表作——《死神来了3》。这个系列的设定在当时也是开创性的：提前预知/预感到意外灾难从而侥幸逃脱的人，最终一定会死于其他的意外事故，只是时间、地点与方式未知而已。同是探讨宿命与生死，《死神来了》系列所透射出的更多是对未知的恐惧与对生活中看似寻常实则暗藏危险的场合的警惕。至于设定本身，自然不具现实性（若存在这种万灵规律，意外保险精算师们该乐得合不拢嘴了叭），在时间紧迫性与死之必然性上也缺乏足够张力（片中即有不止一种策略可以避过死神的镰刀）。但无论如何，能够唤起我们的死亡意识、引发对存在与时间之思考的电影，都值得被认真看待。    首发于公众号【冰红深蓝电影】，一起看佳片，赏经典~",39.0,5.0,6
1,1,27177908,凯特,00f586c80fff618400efecc18bee0cbd,2ffd655f1f95e8d1bcc1121bde141e45,4.0,2021-09-11 22:26:20,电影还是不错的，不过海报上的日本小女孩居然在演员表里面没有？还有几个都没露面的居然在演员表里面，豆瓣现在智障谁都能添加电影信息了？米希尔整个电影不超过10秒的镜头也能排主演，  艾尔西亚·罗塔鲁， 西琳娅·温西里都没搂过面，居然也在演员表。真的TMD ZZ。...........................................................................................................................................................................................................................................,42.0,9.0,12
2,2,27177908,凯特,f9d10d6f4e57d6a101c9a4a7be3978d5,fc0e9b9d765a6a8728013bb15f49800f,3.0,2021-10-09 00:28:56,"《凯特》。6分。

可惜了。我倒是前面一直说过，女性复仇电影自从吕克·贝松的《超体》后，再也没有人可以超越。大家一方面致敬《超体》，一方面致敬《疾速追杀》。但心里话，它俩珠玉在前。

凯特是个从小被杀手训练的杀手，在一次执行任务时被杀害对象的女儿在场，凯特收工后想退出组织回归正常生活。他师傅当然不能同意。

但凯特居然竟然去酒吧约了个炮，于是她被下毒了，稀有化学元素中毒，生命还有一天。凯特开启了她强大的复仇之旅，然后顺势查到了师傅才是幕后黑手。

这是一个上个世纪六七十年代港片经常讲的老故事。",2.0,1.0,4
3,3,27177908,凯特,67d954969b5d712b51959bf1e4b6e955,7b72c0e158114e0f0c91b2be103f9782,3.0,2021-10-02 01:49:07,"《凯特》是由John Wick（《疾速追杀》）系列的制作团队打造的B级动作片，在网飞上线，导演曾经参与制作了《加勒比海盗》系列的第一部和第二部的特效。        这是一部拙劣的大杂烩，观感类似山寨版“《疾速追杀》系列+《杀死比尔》系列+《无仁义之战》系列”。动作戏设计很一般，缺乏创新、缺少新奇感，主要是典型的好莱坞流水线式动作片风格，片中出现的日式暴力美学更是点到为止。幸好这只是一部网络电影，否则如此平庸的B级动作片注定会失败。        由于剧情发生在日本东京，因此片中很自然地出现了大量的日本流行文化的彩蛋（如动漫角色形象、女仆装、北野武代言的广告、日本品牌的运动鞋等）和一些日本传统文化要素。影片还向《终结者》系列（台词中提到“终结者”一词）、《哥斯拉》系列（好像是乱入哥斯拉的）和《天外来信》（片中角色观看日本科幻片《天外来信》的续作，《银河大战》，这是一部共27集的特摄剧集）致敬。 女主角凯特脚上的鞋子是日本著名品牌鬼冢虎  





片中出现的《天外来信：银河大战》片段  





片中出现的《天外来信：银河大战》片段（电视屏幕上播出的内容就是《银河大战》）  扭蛋机和销售动漫周边的商店  大楼上的投影是《东京食尸鬼》的主角，片尾演职员表中直接出现《东京食尸鬼》的logo  看似另类的乐队中出现了女仆装  两个典型的喜欢二次元文化的路人  影片的女二号（右），左边是女主角凯特  Q版招财猫霓虹灯         影片的主演是玛丽·伊丽莎白·温斯特德，她参演了许多知名电影，其中国人最熟悉的是由李安执导、威尔·史密斯主演的《双子杀手》。        由于片中有不少日本演员参演，让我误认为这是一部美日合拍的作品，但它其实就是一部标准的好莱坞出品的作品。",2.0,1.0,0
4,4,27177908,凯特,365bd796baa141ace19742e0f4a79a93,59409e09ed0bf0901e29bb57cfd533ee,3.0,2021-09-29 17:41:14,真的不要老是说什么剧情老套了，电影拍了100多年，复仇电影能有什么新花样，商业电影能有什么新花样？复联不还是死了人又复活，死人复活的电影不是拍的很多了？天天想在商业片里面寻找人生感悟呢，怎么不去读哲学系？动作设计做到这个份上，给个2星，说剧情老套，看到这个评论真的一股子气，中国的动作片都基本消失了，谁能想到动作类型片基本完全消失了？？？当然商业大片拍出人生感悟固然好，但是也不要苛求每一部电影都这么优秀，它是一部动作电影，它的动作设计足够优秀，那我举得也配得上三星。,2.0,,0
5,5,27177908,凯特,5db3ef66188d88f30eafc8aa26413f05,fc63759c60fe750bed69d0256656e05f,3.0,2021-09-24 15:27:08,电影整体：好看（手捧爆米花且IQ松懈时） 画面，动作：炫，不愧是霓虹国的景，到处都是动漫和风俗元素。 人物塑造：整部电影，我都很明显的感觉，所有杀手都是演员在演。真正成功的杀手塑造，会让我在看演员生活照时觉得，这是杀手的生活照。参照毒师的老麦克，47，汉尼拔，老无所依的蘑菇头等。 剧情：复仇。,2.0,,0
6,6,27177908,凯特,3c6d36b7d36f69322e1ebc72df385e38,d33c14d7c10c6a3c4277c0fcfab523cc,2.0,2021-09-24 08:27:04,"故事基本就是从头打到尾，看看打斗的过程就行了，特别是在酒馆的那场，还真是有点血腥，至于其他，还真的就没什么了。 这个杀手，从小被导师训练大，其中的套路是一样一样的，女孩和导师之间，早晚得翻车。 但这个女孩，对杀手的生涯也是有点厌倦了，杀人之外，还是喜欢到酒吧吊个凯子的。 这么一吊，也就快乐的滚了个床单。 一夜情的代价，那是相当的惨痛啊。 放射性元素毒杀，这可是下了血本了啊，也不知道日本那儿管控是不是那么的不严谨，反正就被轻轻松松的拿到了，女孩也在享受一夜情的同时，毫无防备的给喝了。 作为一个杀手的自觉，对下药这回事儿竟然没足够的警惕，应该好好的去读一读古龙。 而在几场“激烈”的打斗里头，这个杀手时不时的出现卡壳，这个……，一个杀手，对自己使用的器械没有足够的尊重，打了多少发子弹什么时候应该reload，都没个基本的了解，这个杀手的专业素养非常值得怀疑。
     而作为故事里头的另一个问题少女，其大脑结构也让人惊奇。 从丧父之痛，到问题少女，然后又到被家族忽略，然后又华丽觉醒，然后又被导师洗脑，然后又忽然之间醒悟，该有的狗血一个不落。 但是，到最后，除了这个丸子头之外，实在没有什么其他可以说的。
     来说说这位导师，从这位导师前期的种种表现来看，已经实打实的贴了标签，只是期待最后的对决稍微精彩一点。 对不起，导师最后死得相当干脆，本故事没有BOSS，一路打打小怪以后，大家都在谈人生。
     日本对老美的怨念，估计也是蛮“深刻”的。 只不过人家遇强则弱，遇弱则强，对老美的怨念，只能在电影里头发发牢骚。",4.0,3.0,1
7,7,27177908,凯特,1703752fefc61c5c99c339f6d7ca798c,30357e076587835516d3578f4d1e8704,2.0,2021-09-23 14:04:01,内容的话，肯定是没啥。一个女杀手良心发现然后《怒火攻心》的故事。可悲的是，尽管暴血爆弹的，还有中毒症状，但是给人的感官刺激依然不足。这种中毒很难体现出能让观众共情的触感。比如只能用哼哼和化妆来让观众感知这种痛苦，但是到底有多痛苦，怎么个疼法，全都没拍出来。先比怒火攻心那种需要电击，需要刺激来维持的爽感和紧张感。扎点兴奋剂实在是弱爆了。     话说现在只要有人模样的欧美女星人手平均一部动作片。有的还是专业户。只可惜在这种女权崛起的狂潮之下。想出有人样的东西还需要高手操刀。普普通通只成就普普通通。但是这个普通放在今天这种信息和感官都需要爆炸柠檬的时代里。普通即是失败的开始。    最后要补一句，电影里很多霓虹美学的画面还是精心设计过的，画面颜色还是值两颗星的。,2.0,2.0,0
8,8,27177908,凯特,0658a8e1cb9c18b3e49d91953d6f1b48,d79762817c341dddd0e050d751405381,2.0,2021-09-22 20:40:39,"打牌先出王炸，要的就是气势。
后面小就小吧。
吃龙虾不是不能配二锅头，是醉得快。
给你换了番薯都吃不出来。
《凯特》正是这样的。先王炸，后面就二锅头了。
想着后头有龙虾，结果给你上番薯。
《中国医生》同理。
先说《凯特》。
 《凯特》 《凯特》电影重点——女杀手限时二十四小时的复仇故事。
爽点设置应该是——限定时间，女杀手的机智勇敢和利落身手，不得不密集展现。
简单粗暴的重点和爽点设置，不拖泥带水。
开头气势汹汹，人物刻画——冷酷女杀手；
突发事件——女杀手中毒，只有24小时生命；
原本计划——绑侄女，钓大鱼；
转折了，侄女化敌为友。低谷了，疑似死亡。决战了，大楼血战。也尽量意味深长结局了。
其实，个人感觉，剧本完整流畅。甚至有点过于丰满了。
《疾速追杀》是为条狗，《小人物》里，甚至是因为条猫绳，这“为自己”的借口，不是严肃认真多了？
画面和特效得算棒，无论是飙车，还是打斗，还是枪战，就算苛求，应该还得说，是努力用心冲着达成导演组标准去的！
不好苛求花更多钱。
至于演员，不说女主，只说配角，就有老戏骨伍迪哈里森，和一众日本名演员——老戏骨、小鲜肉、当红的，该都有吧。
这阵容不说力压只针对特定市场的《整蛊专家》，里面刘德华、吴孟达双配星爷。
《凯特》里的配角，单说排面，最保守的说法，至少差不多吧？
 《整蛊专家》 照理样样俱全，能轰动啊！
结果，轰是轰了，牛X轰轰。没什么动静！
思前想后，这锅不应该电影三要素背，得动作团队背。
这动作团队的来头可不小。
据说，《疾速追杀》，动作就是他们设计的。
还有，故事起承转合不怎么样，动作戏却还算出色的《门徒》，等等。
《凯特》认为，这样的专业动作团队，应该可以灿烂。
照理说，应该可以。
可是，个人老感觉，这动作团队在这电影里，是敷衍恰烂钱，
前头，居酒屋血战那里，就感觉血肉横飞是血肉横飞了，可就是不酷！
看不出精妙来。
不干净利落，不老谋深算，不一气呵成！
就想着，前头吧，没那么妙就没那么妙。后头，顺理成章应该更精彩。
没想到，最精彩的，居然就是这一场了。
第一场能交差了，后头越来越敷衍。
后头，决战，墨镜叼烟卷那个，是造型，不是动作。
 《凯特》 动作，光剩下举着烧火棍啪啪啪了！
这，谁不会啊？
女性动作场面，个人记忆最深刻的，是《海扁王》里，HITGIRL书房过道冲锋那一段，看了十多次。
 《海扁王》华而不实换弹夹，但好看 《海扁王》hitgirl耍酷 动作电影，不应该是得有让人愿意回味的动作片段，才能称作成功吗？
这次，个人估计，这动作团队有捞钱的嫌疑……
哈哈😃
 《中国医生》，袁泉和张涵予 至于《中国医生》，这不用多说吧，重点总结和爽点设置总结都不用，就抗击新冠疫情的主旋律大片。资金不会有什么大问题，反映在演员阵容上，光张涵予、袁泉，就够牛X。
关键这俩是实力派，带着口罩也能好戏。
片酬其次，有国才有家嘛。
估计。
这架势，冲着牛X去的。
也确实是。有主旋律大片的风范，助演多，气势磅礴，旗帜飘飘。
首先，医护人员得点赞，片子里说得对——“你们都是超人，拯救了地球……”
可是，《中国医生》这电影，就电影的角度看，却不怎么样了。
缺点很多。
首先，不曾经历，电影选取的桥段很难让人共情。不过，这选材估计导演不能都说了算，不好苛求。
但，还是该说，缺陷。
其次，作为一个电影，虽然是主旋律大片，可是不能就不要转折点了吧？
不然，为什么不是纪录片？
最后，跟《凯特》最像的地方，个人觉得，是虎头蛇尾。
开头都气势汹汹，效果不错，后面却不能延续了，泄气了。
作为一个大片，它的画面和特效是出色的，可就是这样的出色，个人感觉反而是问题——本来该惊心动魄的病房，依旧灿烂明亮。
这种惊心动魄，怎么让观众感同身受？
这就让人想起了《杀手妻子的保镖》，其实，就是《王牌保镖》的续集，投资大，主演棒，鲍鱼龙虾都给你洗净切好了，你给哥上个方便面！
大概如此。 《杀手妻子的保镖》三主演 总结:这俩电影还是推荐翻，短视频就好。个人感觉，这能比原片精彩。因为，它们的精华不多，时长太长反而是缺点，短视频正好掩盖它们虎头蛇尾的缺陷。

哈哈，胡说八道不要钱，胡说九道不负责。
个人意见，尽管不同。
网图，侵权必删。",3.0,,0
9,9,27177908,凯特,42f1d2bae70f3b6427f2bf5c2396e2ee,2de5b543a0428f6605fed05e3a5710c1,2.0,2021-09-16 16:40:53,动作血浆片。一开始那场日式房间搏杀拍得蛮精彩的，感觉女主火力全开，杀神降临，大开杀戒，那刀贯穿面部的刺杀真是惊世骇俗，让人印象深刻。 情节比较简单，女主是个杀手，在一次刺杀任务中，现场有小孩，女主不忍心出手，但是在幕后指挥的威逼下，还是出手击毙了刺杀对象，让孩子满脸都是飞溅的热血。女主干着干着，有点心力交瘁，想要退出，她的老板让她最后干一票。干活前，她在一个酒吧邂逅了一个帅气的男子，并和她发生了一夜情。第二天在刺杀时，她发现自己有点力不从心，不能集中精神，结果刺杀行动失败，自己也因为状态不佳，差点被抓住。回去一检查，她发现自己被人用放射性物质下毒，已经活不过一天了。她从老板哪里了解到刺杀任务的授意者，然后按图索骥，一个个去查找，并与守卫者大战。然后抓住了黑社会老大的侄女，女主想用她逼黑社会老大现身。但是黑社会老大没有来，却迎来了一大波杀手。一场厮杀后，女孩逃脱，杀手竟然又开始要杀她，原来是黑社会的二当家想取代老大的地位，要将老大所有家人斩草除根。幸亏女主杀到，保护了女孩。并在女孩的帮助下，找到了黑社会老大。黑社会老大说出了真相，所有的事都是黑社会二把手和女主的老板合力搞出来的事情。女主于是汇合黑社会老大，杀到了二当家所在的地点，将二当家与女主老板一起杀死，自己也死去了。 黑社会老大廖廖数刀就砍杀了二当家，干净利落，十分潇洒。还有女主比较中性，又飒又酷，叼支香烟，真是屌爆天。枪战也很不错，就是剧情弱了一点，没什么新意，老套！女主最后也没有反转保命，还经常受伤，受伤病困扰，没有主角光环，还是蛮真实的。,3.0,1.0,2
