,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30310219,谢里,9a412ba691b5832515d3e59e2370b275,13ad25cfba69bc60efe71747e1037832,3.0,2021-02-26 11:20:19,"这部是典型的颁奖季宣传失败案例。为何? 先是发新闻说要参加颁奖季，并赶在投票前给评委和影评人都看了，但又在邮件里说评论的解禁日是2月25日，也就是影片上映的前一天。这仿佛是自己在对观众说：It may be not that good...但凡解禁日在上映前一天的，从来不会有好评价。
 这样的公关策略错误其实是不应该的，可能因为Apple TV第一年参加颁奖季。赛季的电影最基本的一个准则就是不能怕评价，要有自信。比如Nomadland从去年9月就开始进入电影节，口碑老早就出来了。其他的电影，哪怕是最后进入颁奖季角逐的，比如Little Things，也是最后一刻举办多场放映会，不压评论，还让演员出席问答。这都是比较常态的赛季电影公关模式。观看者就会知道片方很有信心，就算Little Things是悬疑片，但凭借这股信心，Jared Leto就在投票前夕一下拿下金球和SAG提名。
 但《Cherry》压评价到最后一刻的做法就起到了相反的作用。大部分人甚至在观赏前就已经有了一个先入为主的感觉：这不是来角逐的。
 虽然荷兰弟在片中的表演的确很有突破（女主其实也很不错），但大部分人没有把本片当回事。
 罗素兄弟其实是适合喜剧的，因为他们有一种还爱玩儿的调皮心态，大家看过漫威电影应该知道，就算是有悲壮时刻，喜剧元素充满了他们的电影。而本片其实不是一个喜剧题材，但是因为跨越了男主一生，分成不同阶段，导演还是把喜剧元素加入了前面一半内容。
 荷兰弟的男主角从一开始就如同死侍那样对着镜头，直接向观众直接讲述自己的故事，而且口吻是具有调侃性质的，这种方式往往都是用于喜剧。这点在他参军的部分最突出。明明画面是真实残酷的，但一直在调侃军营里的生活。而这种黑色喜剧的风格又没有延续下去，导致前后风格很不统一。我个人觉得，如果每个部分拍成剧集，也许还不会这么明显。而且他们用的配乐很奇怪，不是这类题材你预期的那种悲伤配乐，总给人一种嘲弄的心态。
 找荷兰弟来演是对的，因为这类吸 毒 题材故事，如没有吸引人的卡司，公众很难有兴趣。但影片却是专门给年轻人拍的，希望他们可以引以为戒。所以本片其实与甜茶出演的那部《漂亮男孩》目的相似，靠一个有吸引力的年轻男星吸引到年轻观众群，让他们见证，如果不小心染上 毒 瘾，一个年轻的生命就这样凋零。
 荷兰弟从学生时代演到中年，最后还出现胡子造型，对他来说绝对是一次很好的磨练机会。不仅有吻戏、床戏，这个角色个性也很暴躁，脏话很多，与蜘蛛侠反差很大。但同时，本质上又不是坏人，比如抢银行时言语都很客气，偶尔孩子气，荷兰把他这种多面性展示得很恰到好处。对他来说，本片就是再次展示他的潜质，也算没白掺和。
 年轻新秀Ciara Bravo也很美，气质很像Olivia Cooke。 有着特别秀气、精致的面容，但一开口却声音低沉，个性叛逆，是个酷女孩儿。
 男主的人生代表了很多教育程度低的美国底层白人困境，就是不断地找借口逃避现实。学历低、找不到工作就用当兵作为逃避，没想到落下了精神创伤；退伍后还是没办法正常工作（也不想工作），又依靠 药 物 逃避，没钱买 毒 品 只好去抢银行。最后发现抢银行有风险，朋友被杀，妻子也被染 毒 瘾，过不下去了，干脆自首去监狱里继续逃避。。。真的是拆了东墙补西墙，始终没意识到自己的问题在哪里。故事值得一讲，只是感觉导演没决定好究竟怎么讲这个故事，不希望走传统的悲情路线，希望拍成很酷的犯罪片，可是角色本身又比较蠢，酷不起来。。。
 我还是希望罗素兄弟日后可以多拍喜剧题材吧，他们真的更适合喜剧。乔罗素又没忍住自己客串了一把。荷兰的弟弟也有出镜。
 另外男主并不叫Cherry,而是叫彼特沃克。片中提到“Pop the cherry”这个短语，形容初次尝试。导演在采访时解读标题意思是男主每次初次尝试一样东西都很新鲜且容易，但却没有意识到后果很严重，一进去就出不来，无论是当兵还是毒瘾。也希望年轻人可以不要只图尝鲜而不顾后果。",22.0,2.0,7
1,1,30310219,谢里,3b80f2ddabc83ff15766313158e9e916,7af2cfc347c27c5266c14a6fbe9cf921,4.0,2021-03-16 22:12:22,注： 本文原载于笔者本人的新浪微博 关于《谢里》背后的故事。 电影《谢里》改编自同名半自传体战争爱情小说，由正在服刑的伊拉克战争美军老兵尼古拉斯·沃克所著，该书被誉为近年来美国战争PTSD文学的典范。 《谢里》原著封面 全书以第一人称叙事，故事的主角是一个未知姓名的出生在俄亥俄州克利夫兰中产之家的白人男孩。中学毕业后，父母将他送进了一所位于俄亥俄州克利夫兰的不错的私立大学，他在那里遇到了一生的挚爱——艾米丽，但也染上了酗酒和毒品。在无法顺利求职和完成学业的情形下，他了解到有朋友加入了海军陆战队，为了寻求一份使命感，于是报名加入了陆军，成为了一名医务兵。 2003年，伊拉克战争爆发，他随部队被派遣至伊拉克。在伊拉克，他每天重复执行着似无用却又无穷无尽且血腥的战斗任务，看成人电影，吸电脑尘埃，服用止痛药，战地生活漫长而煎熬。他很快发现，作为一名陆军医务兵，与其说这是一份拯救生命的工作，倒不如说就是一个尸体打包工——将被IED炸得四分五裂的战友装进尸袋。 他幸运地活着熬过了战争，但回国后却要面对越来越严重的PTSD。总是在夜晚袭来的无尽的战地恶梦，以及经济衰退下暗无天日的战后生活，使得他需要更多的止痛药和海洛因来克制抑郁和缓解窘境。为了维持自己和女友的生活所需，他开始选择抢劫银行（笔者注：近似电影《雌雄大盗》的设定）。在抢劫了十余家银行后，这个饱经沧桑的男孩被捕入狱。 小说的故事其实就是尼古拉斯·沃克的亲身经历。2011年4月23日，沃克手持一把0 .45英寸口径的Hi-Point手枪，进了克利夫兰郊区的一家美国银行。在胁迫柜员交出现金后，他携款走出银行，驾驶着福特F-150皮卡快速逃窜。在躲避警方追捕的过程中，由于操作失误，在与多辆汽车发生碰撞后，坠入一条5英尺深的沟渠，动弹不得。随后，闻讯赶来的警察将其拘捕。 在调查后，警方和检方惊讶地发现，沃克作为一个参加过250次战斗，荣获7枚各类军事奖章的老兵，在退役后却因为严重的PTSD成了俄亥俄州历史上抢劫银行次数最多（共11次，其中1次未遂）的单个劫匪。 但这确实是无法回避的现实，2010年的一项统计发现，全美每天有多达22名退伍军人自杀，其中多数患有PTSD。事实上，2012年全年，自杀的美军士兵人数超过了当年在阿富汗牺牲的美军士兵人数。无法及时为老兵提供医疗和经济援助的全美各地的退伍军人事务办，也一直是媒体反复曝光和谴责的对象。美军有着无数的PTSD病例，但沃克的病例在专家眼中属于极端糟糕和特殊，他在战后没有选择向破碎的生活妥协，也没有自杀，而是以一种独特而神秘的方式抵御病症。 沃克和自己笔下的小说男主相似，1985年，他出生在佐治亚州亚特兰大一个富裕的中产家庭，是一个能够实现任何愿望的幸福的男孩。沃克的祖父是一名参加过二战的步兵，他与沃克关系密切。沃克读了一年大学后，因为祖父的影响和对封闭大学生活的厌恶，以及对伊拉克战事的好奇，他和女友卡拉私奔后参军。 参军后沃克与家人的合影 2005年12月，他随陆军第4步兵师第167装甲团来到了伊拉克，驻扎在被称为“死亡三角”地带的巴格达以南40英里处的一座小镇上，这里还是逊尼派和什叶派斗争的前线。沃克原本以为自己能够和祖父一样，在街头巷尾的枪林弹雨中穿行，但实际上他所在的单位主要是执行搜索和消除IED威胁的任务。作为医务兵，他也没能救回多少战友，只能把战友的残肢断臂装进尸袋。这与他在参军前所期待的有着天壤之别。 有两次战斗任务让沃克的身心受到了重创。一次是处理被IED炸毁的汽车，他必须在充斥着令人作呕的肉体被气化的味道下，用手来回搬运四具已经被炸得面目全非的遗体。第一具遗体只能辨认出眼睛和眉毛，沃克搬运时和遗体的“目光”一直“对视”着；第二具遗体只剩骨头和肌肉，面部已不可辨，当沃克碰到了肠子时，其在沃克手中立即融化了；第三具遗体的状况稍微好点，肠子完好无损；最后一具遗体几乎无法辨别，几块肉粘在座椅上，沃克将肉捆起来扔进了附近的污水渠。所有遗体的生殖器都被烧掉了，沃克觉得那是一种“从地狱中走出来”的景象。 沃克与战友的合影 一次是监视和搜索IED制造者的任务。沃克的单位被允许可以在夜间自由交火，一个伊拉克人不幸闯入火线，被步枪子弹击中，沃克立即开始对伊拉克人展开治疗，但伊拉克人在喘息了几分钟后死去。沃克必须“陪着”这具遗体等到天亮再带回基地。而天亮后，当可能是伊拉克人的亲属来抢夺遗体时，沃克和战友又陷入了与几个女人和孩子之间的混战，此时AK-47步枪的子弹袭来，沃克不得不拖着遗体一边撤退一边开枪还击，一个老妇不幸丧生。沃克拖着遗体经过了一条水渠，他甚至能够感受到伊拉克人的头随着地面的起伏在不停地颠簸，污水则渗透进了自己的汗衫中。 2006年秋天，沃克返回了美国，他计划想做的事情没有任何一件能够成功，身边的朋友也逐渐疏远。沃克在一种近乎持续瘫痪的状态中漂泊着，最后卡拉也离他而去。他很难自然入睡，需要借助药物。而一旦入睡，又是战地恶梦的侵袭，醒来后满身是汗，脑子里还是血腥和恐怖的战地回忆。他曾前往退伍军人事务办和相关医院寻求治疗，但对方并未及时诊断出沃克愈发严重的PTSD症状，只是认为焦虑症或躁郁症。由于药物无法抑制抑郁，沃克开始沾染毒品。 沃克的精神随着PTSD加重也开始产生错乱，会因为一时冲动自残，或者故意违反交规疯狂飙车。另一方面，由于伊拉克日复一日室内战斗的记忆，加上毒品的滥用，沃克开始有了暴力倾向，他总是幻想杀掉房间里的人。2010年12月的一个早上，沃克意识到，抢劫银行是他唯一有资格做的事情，这和战斗一样，高压、恐怖，但习以为常，也许能发泄愤怒。 第一次抢劫成功逃脱，沃克竟然有了满足感，抢劫银行似乎已经成为一种即兴PTSD疗法，直到次年4月被捕。提审期间，沃克的PTSD测试分数高达101分（标准是65分）。专家认为战争英雄更容易患上PTSD，因为与其他士兵相比，同样的勇气和战斗意志使他们表现出了更强的英雄气概，但一旦返回和平的后方，会造成严重的落差和混乱感。而沃克的极端行为，与未能及时治疗PTSD密切相关。2012年，沃克认罪，最终被判11年。 服刑期间的沃克 服刑期间，在一名作家的邀请和协助下，从未有过小说写作经验的沃克，前后花了四年时间，在一台打字机上用阴郁和反浪漫的笔触，融合自己的经历，写下了被《华盛顿邮报》评为“读起来好像是用一根肮脏的针头划破了一个男人手臂嫩皮”的半自传体小说《谢里》。 2018年8月，罗素兄弟以100万美元购得本书的改编权。,22.0,1.0,3
2,2,30310219,谢里,294368f6d539d01a352af31ef91240a8,79083698467c2e5753058afc20884569,3.0,2021-03-18 21:41:51,"3.5/5 羅素兄弟的後漫威時代第一部作品，的確表現的不如預期，影片前1小時20分鐘我是非常喜歡的（有特別注意片長），但真正開始讓我感受到不如預期的部分，是戰後歸來開始陷入無止盡的PTSD低潮循環部分，影片後期猶如荷蘭弟狂嗑藥般失序，劇情邏輯顯然也已放棄，PTSD+嗑藥解嗨，讓後半段笨重無比，也許片長精簡些觀感會比較好。

荷蘭弟的確獻出了從影以來最突破的演出（比《神棄之地》還突破），可惜這些突破演出無法與影片水平相結合，有點可惜，總結來說《迷途知心》想探討的東西很簡單，但是看完後總覺得不知所云，影片一半好一半壞，收尾前一連串的慢動作萌太奇，多到我已經覺得我在看渣導的電影了WW，羅素兄弟的電影果然需要克里斯多福馬克斯與史蒂芬麥菲利來合寫劇本，表現會比較好，而我很高興他們兄弟倆接下來的NETFLIX電影《THE GRAY MAN》有這兩位編劇的加入，",4.0,1.0,1
3,3,30310219,谢里,892e9ac99f6b8ad276b0a673b099d2cd,742c0ee508e460afd247a67058886594,4.0,2021-03-13 02:43:04,"本片大部分场景拍摄于克利夫兰，笔者作为一个在克利夫兰生活了一年半并且经常开车晃悠的人，观影过程中不时能发现眼熟的地方，在此稍微记录一下。欢迎各位友邻补充！ 实景截图来自Google Map.    Cuyahoga River          Downtown远景，自东向西方向拍摄     Case校园南区（后面有个非洲口音的黑哥就是要去Case上学）     南区校园的一个路口，女主找上男主的地方。          Lakeview Cemetry 洛克菲勒家族墓地     Mayfield Rd, 小意大利, 男主做侍应生的地方            Parma市的酒铺，搜店名很好搜。         Severance Circle的一家歇业多年的电影院，我就住这附近，平时是没有剧中这么多车的。        标志性的红砖路， Murray Hill Rd，我不太喜欢开这条路，颠得慌而且开不快。         Coventry Rd，也就是男主一开始说买外套的地方，Mayfield Rd拐进来有Pho和Sushi挺好吃。",15.0,1.0,7
4,4,30310219,谢里,eb5cba2d91b6c6047f17951aa2a3ea54,19c550188c76a3b5599621418933f245,4.0,2021-03-29 17:48:50,电影圈内卷得厉害，不想转型的鲜肉不是好演员。 有了爆款代表作、钱也没少赚的演员，都寻思着想当演技派，这在国外小生界尤其多见。 罗伯特·帕丁森，以《暮光之城》系列的吸血鬼爱德华红遍全球，但也频频提名金酸莓奖。于是迷上转型，不在乎外型的那种。 2016年冒险片《迷失Z城》、2017年犯罪片《好时光》、2019年恐怖片《灯塔》、2020年科幻片《信条》，如今又成为新任蝙蝠侠，尝试的影片类型非常丰富。 丹尼尔·雷德克里夫为摆脱哈利·波特的影子不惜自毁形象，经常胡子拉碴出镜，接的戏也往往很自虐。 在《逃离比勒陀利亚》里演囚犯、在《腰间持枪》里演屌丝、在《瑞士军刀男》里演死尸、在《丛林》里演“野人”、在《绝对统治》里演卧底、在《如果的事》里演宅男。 蒂莫西·柴勒梅德，凭《请以你的名字呼唤我》提名奥斯卡影帝，在中国也有了“甜茶”美名。 但在《炎夏之夜》、《漂亮男孩》演吸毒青少年就是他不想做男花瓶的决心。另外他会出现在名著经典改编的《小妇人》，也会出现在文艺片《纽约的一个雨天》，还会出现在科幻大片《沙丘》。   今天想重点说的是另一位年纪更小的鲜肉，汤姆·赫兰德。 1996年出生于英国的赫兰德，中国影迷喜欢称他“荷兰弟”。  他是第三位大银幕蜘蛛侠，也因为这个角色成为国际大明星。 可能为了证明除了蜘蛛侠，自己还能演其他角色，荷兰弟这两年开始交出新作品。 2020年他主演的《神弃之地》是一部带有宗教色彩、哥特元素的西部惊悚片，口碑还不错豆瓣7.0分。 2021年他带来了戏份更重的《谢里》(Cherry)。  导演是拍过“美队”和“复联”的罗素兄弟，但似乎反响一般，烂番茄37%新鲜度、Metacritic只打出44分、IMDb 6.6分、豆瓣6.5分。 我亲身观影后得出结论：荷兰弟演得很过瘾，对打磨演技有益，这就够啦。  影片采用章回体、第一人称讲述，还有每一幕均以红色开场、打破第四面墙、改变画幅、全景俯拍、跑马灯式蒙太奇慢镜等骚操作。 但影片重头戏还是故事，有同名小说作蓝本。荷兰弟饰演男主人公Cherry，从一个大学生到一个军医再到一个吸毒仔，他的人生是如何一步步坠入深渊的，其中涉及创伤后应激障碍，也指向爱是救赎。  序幕  2007年，Cherry再次踏上去抢银行的路。 “我23岁，仍然搞不懂做人做事的意义，感觉这一切都建基于虚无，没有任何支撑。我有时怀疑我是否荒废了人生，我不是不会欣赏美好的事物，我将一切美丽的事物都放在心上，让我激动不已，直至它们把我吞噬。只是我内心总有一种声音，让我无法集中注意力，直到我的内心只剩下空洞。” 第一章人生初始时，我看见了你 2002年时Cherry还是小奶狗模样，正在本地一所教会大学念书，喜欢上了纽约州来的女孩Emily。 Cherry放弃个性不合加异地恋的高中时期女友，转而和Emily在了一起。 当Cherry和Emily第一次亲密接触时，Cherry情不自禁流下了眼泪。因为他心里在想，“有时我觉得我已经看过未来将发生的一切了，而未来是一场噩梦。” Cherry最好的朋友叫James，和Roy、Roy的表弟Joe也是玩伴。James的哥哥曾是军人，退伍后整个人就不对劲了，于是James很反对参军，但Joe坚决地想参军，觉得可以改变无所事事的人生。 Cherry在这个时期已经接触赞安诺(治疗焦虑症的精神科药物)、大麻和摇头丸了。 Emily的原生家庭并不幸福，在感情世界她很没安全感，当Cherry第一次说“我爱你”，Emily的回应是“谢谢你”。然后借口转学去加拿大念书，想离开Cherry。 失恋后的Cherry决定也像Joe一样去参军，以寻找某种人生的意义。 可当Cherry宣誓入伍后，Emily却又来找Cherry说不想去加拿大了。两人是相爱的，只能说造化弄人。 那时候Cherry想得很美，“你去读书，我则去参军，不过短短几年而已，我们还有一辈子的时间”。 入伍前，Cherry和Emily匆忙结了婚，他们觉得他们是世界上最美丽的两个人，没有人比得上他们。 第二章新兵训练 这一章画幅缩小，像是要营造一种V-log般的纪录感。 2003年Cherry经历十周魔鬼训练，剪头发、打疫苗、被起侮辱性外号、洗脑般的训导、灌输假想敌。 永远在咆哮的教官总拿创伤后应激障碍当挡箭牌，新兵避免从训练营毕业的唯一方式是自杀，Cherry皆都目睹了实例。 “我开始有种奇怪的感觉，感觉这一切都是假的，我们假装是士兵，教官假装是教官，军队假装是军队。” Cherry在部队最好的战友是Jimenez，他因为女友怀孕而参军。 因在救护训练中表现出色，Cherry和Jimenez都如愿进入了战士军医连。 Cherry被检查出是色盲还能当军医，也是很神了。 第三章 雏兵 Cherry来到伊拉克“死亡三角”服役，要驻守一年。随时可能中弹，一切都跟死亡有关。 一开始他们觉得美军势不可挡、所向披靡，每个人都期待着上战场，大家都想大开杀戒，对美方的战斗力盲目自信，还有一种莫名其妙的战友情谊。 在一次行动中，刚愎自用的上司害死了一车战友，其中就包括Jimenez。 Cherry大受打击，自此后一切变得毫无意义，只剩下一片虚无。 “大多数时间我们觉得自己就像比较光荣的稻草人，用来显得很忙、成本高昂、大脑空空。” 只有和Emily通电话时，Cherry才能获得稍许慰藉。但渐渐地，爱情也止不了痛了。 第四章 归家 2005年Cherry以专业下士军衔退伍，而且因所完成的作战任务比营中的任何军医都多，而获得了英勇勋章。 但他的内心感受是他没有做出任何值得嘉奖的成就，唯一的成就是活下来了。 经历过战争的人，和没有经历过战争的人，眼中的世界是不一样的。 Cherry睡不着觉，总是梦到暴力场景，脾气也变得暴躁，在家里会砸东西，在公众场合会有过激行为，也开始依赖用酒精送服药物，并发展成瘾君子。 简单来说，因为他曾目睹的恐怖场景，他成了一个悲伤的疯子。 类似的，还有同样退伍归来的Joe。他酗酒，并最终跳车自杀。 Emily对Cherry的包容也达到了阈值，但她不想失去Cherry的方式是她也跟着Cherry一起吸毒。 Cherry心想，如果他死在了伊拉克，Emily现在会更开心，她会难过一阵子，但最终她的人生会变得更好。 但，Cherry和Emily，都已经无能为力了。 第五章上瘾人生 瘾君子的生活精髓在于你正缓慢地杀死自己，但在这个过程中你感觉棒极了。 Cherry和Emily的生活一团糟，开始负债。而瘾君子之所以为瘾君子，就在于他只要有钱就会拿去买毒品，直到钱花光、毒品没了、身体感到不适，然后必须弄到更多钱。 Cherry开始走上抢劫银行的歪路。荒诞的是，他凭着一张写了威胁语的1美元钞票，很顺利就从柜台人员手里拿到了一沓沓现金。 有一回Cherry和Emily头脑发热黑吃黑了黑帮分子的毒品，惹上大麻烦。Cherry必须继续抢银行。 Cherry对银行女柜员说我临走时会对保安亮出我的枪，好让他们知道你是被迫交出了现金。 女柜员嘲讽他：你觉得这样就算是好人了？ Cherry回怼：你为这个国家上过战场吗？ 年仅22岁的Emily因吸毒过量送医差点丧命，丈母娘悲愤至极责令Cherry离开Emily，愧疚又绝望的他也只能在车里拿吸毒用的针筒疯狂自残。 Emily出院后仍执意回到Cherry身边。“你身在地狱，我就陪你下地狱”，夫妻二人又重回一起吸毒的泥淖。 Cherry还得再抢银行，他把同样吸毒又缺钱的好友James拉下水，还把他的药头Pills拉为同伙，结果这二人都不靠谱，把他本就计划不周翔的抢劫行动搞得完全失控。 Pills中枪，Cherry第一反应是送其去医院，但顾虑到去医院会被捕，于是Cherry和James中途抛下Pills，还拿走其身上财物。 Cherry积重难返，债主Black逼着Cherry再去抢银行，也就是序幕中2007年那次抢劫。 心灰意冷的Cherry告别Emily后进行了一次自杀式抢劫，故意暴露面容、又让女柜员按下警报。 在把抢来的钱交给Black后，Cherry瘫坐在街边注射毒品，等待警察来抓他。 后记 Cherry在监狱度过漫长岁月，漫长到发须治愈焦虑，皱纹消融毒瘾。 2021年Cherry获得假释，出了门禁一回首，他的Emily正笑着迎接他。 Cherry只参军了两年，就为此付出了半生代价，只能道一句人间正道是沧桑。    据外媒近日报道，《蜘蛛侠：无回之战》已杀青，暂定12月17日在北美上映。生而为人多抱歉，荷兰弟应该很开心又能回到超英世界了吧。,3.0,1.0,1
5,5,30310219,谢里,58ec126a74c82335b06f5cda9fbd9c4d,594b992f87797dbeb5a8a03b59001f17,3.0,2021-03-14 14:56:43,整个看下来，相信一般观众都会有两种感觉：第一是冗长，第二是用力过猛。 这种表现底层悲剧的题材，一旦出现太多的表演痕迹和设计桥段，就很容易显得假。比如对镜头说话，如果是中产阶级出轨的故事，那么可能会是神来之笔，妙趣横生。但是用在这部电影里，就成了不合时宜的炫技。同理，画幅变来变去，颜色变来变去，在这个故事里都难免有轻佻之感。 而且炫技之前是不是先把更基础的细节做好再说。 比如荷兰弟在水边醒来，先给了一个颠倒90度的镜头，是湖面上的水鸟。显然这是荷兰弟的视角。  接来下是荷兰弟侧躺的镜头。这里我们可以看到，他是右侧朝下躺着的。  请仔细想想，如果他右侧朝下躺倒，那么之前的镜头是不是刚好弄反了？ 我既不是专业人士，也没有那闲功夫给这么长的片子一帧一帧来挑错，只是看到这里直觉哪里不对劲，所以多琢磨了一下。果然有问题。 所以说啊，这样低级的镜头错误都没整明白，就别炫技了。 虽然电影用力过猛，对于荷兰弟本人来说，参演这样的电影是很有必要的。年轻演员有这样的追求绝对是好事，这些不一样的表演经验将来都会是宝贵财富。毕竟蜘蛛侠不能吃一辈子。,2.0,1.0,5
6,6,30310219,谢里,83ec91b262871f007d0c0ed2c25eed8a,c1d9f50f86825a1a2302ec2449c17196,,2021-11-29 23:35:03,看完了cherry，这部电影是在2021年2月26日上映的，真是一个特殊的日子。由于虫三迟迟不能定档，就去找了一下这部电影的资源，想着毕竟也是他出演的。其实今年还有一部电影，神弃之地也是他演的。 cherry像是五个迷你剧凑在一起。各个阶段之间分崩离析。男主在有异地恋女友的情况下对女主一见钟情随后在一起的老套开端看得我内心是有一些无语的。随后男女主火速坠入爱河，但女主由于原生家庭带来的伤害，导致她难以承认自己爱上男主的事实，因此她决绝的向男主道别，告知他自己要去蒙特利尔念书。男主得知此消息后内心异常难过，随即响应征兵，报名入伍。结果女主后悔了自己的决定，并告知男主不去自己不愿意去蒙特利尔了。好家伙，你不是不去了，我他妈入伍必须去啊，然后男女主结婚，男主入伍，成为一名军医，并投身伊拉克战争。 从战场回来后，男主患上了战争创伤应激后遗症。然后开始嗑药。女主见自己无法拯救男主，于是两个人一起嗑药。嗑药没钱，就去抢银行。后来女主差点因为过量吸毒死掉了，男主希望女主可以远离自己去戒毒，女主告诉他“就算没有你，我也要吸”，好嘛，两个人接着吸。最后男主被当地大毒枭威胁，如果不去抢银行清偿欠付的毒资女主就要死，然后男主就去自爆了。接着蹲监狱蹲了十四年。然后出狱了，女主开着车在夕阳下等他。 这电影给我强烈的割裂的感受。男主在成长的每一个阶段都没有遇到任何正面的影响，在学校的时候没爸妈、老师管教，和一帮狐朋狗友鬼混；遇到个新的心动女孩也是个脑子不清醒的非主流，去到部队也没有遇到好的军队领导，退伍回家后也没得到妥善安置和心理辅导。以上各种因素的堆叠导致男主的堕落成为必然，而女主全程就是个没长脑子的非主流。真是令人非常无语。 如此刻意的要素堆砌在一起，最终所表达的依然是非常初级、浅显的反战禁毒，并且非常明显的想要把问题归结于大环境。再搭配上故作深沉的摄影和配乐，使整部电影的气氛压抑到了极点。 但因为片中所描写的年代为二十一世纪初，就又能够多一些宽容。 如果这类型电影只是强行把一些原本美好的人撕碎给你看然后再告诉你战争的残酷，毒品的可怕，那这部电影确实不属于优秀影片的行列。 唉，但是汤荷兰太帅了，实在是。,1.0,,0
7,7,30310219,谢里,4aa814d5313fb9684d48e76090398c44,8a8eeafa25341f045a03821b01fcc789,3.0,2021-04-19 02:19:41,"荷兰弟挑大梁的长篇电影，将创伤后应激障碍和瘾君子的现实生态联系在一起，创造了叙事稍显冗长，演绎空间受限但市场立意还不错的作品。但同时，该片的确不具备教育影响力。  荷兰弟的表演被迷幻的画面与自我旁白的设计耽误，而且其形象的混乱和瘾君子并不清醒的混乱并不同频。可能是缺乏爱情沉沦和毒品成瘾之间的联系，该角色与喋喋不休的讲述并不契合，显出一种刻意杜撰人物故事的痕迹。战争这件事在此的意义成了正确叙事或扩大市场的刻意需求，观者很难在现实逻辑中分清到底是什么原因导致其“悲剧”。 当然，本身成瘾原因自然是复杂的，但情绪的出口在该片中可能不是战争而是青春的爱情，而结尾温和美好的夕阳也献给了爱情，那战争的意义是？对死亡的认知吗？线索有一些混乱。但关于爱情的部分，似乎也或多或少减弱了主旨的传递，因爱坚持的努力和因爱沉沦的荒谬之间并不能相互抵消，导致结尾的处理也不温不火不可信。  导演可能在追求一些新颖的叙事方式或光影呈现的模式，但很明显立意的内容有点太广，野心可以有，但做事要细致。或许，不同阶段的解读不一定要按照时间顺序，会更容易走进故事核心或人物内心，去感受想要诉说的众多议题中最重要的那一个。另外在视觉上的技术选择是可圈可点的，尤其是营造幻想与混乱，还有对个体意识的放大。  最后的最后，准6分。    （文中图片原图均来自豆瓣） 「不语」，公众号“不著”每周四影视单元，更多内容可关注微信公众号(搜索""willyi_"") 个人喜好，欢迎讨论，拒绝骂战",,2.0,0
8,8,30310219,谢里,977029f807ec00cd89d8625c74fa7e21,c16738a7a13f34cfbdf2ef7ec31a6d3a,4.0,2021-03-30 21:18:07,4星，虚构故事，但是比较贴合实际情况，没有英雄主义的壮志情节，但也有慰籍观众们的鸡汤桥段。故事剧情还行，标准的战争创伤后遗症悲剧，没有什么刻意煽情和说教，反映了一些军人回归社会后的真实境况，对于老美观众来说会有共鸣，也有不错的警示作用。拍摄倒没啥可取之处，流水账，结局比较圆满，给美国人一个信心呗。哈哈。,,2.0,0
9,9,30310219,谢里,7d5fbcb56d7445c079c5eb5e1da343b4,57fbe30565fba475605f4b61ef01f425,,2021-03-30 12:22:58,"这是一部改编至真实事件的自传体电影，片长141分钟。从2002年至2021年，通过主角身份的阶段性变换（学生、丈夫、军医、PTSD患者、瘾君子、劫犯、囚徒），描绘出了一段长达19年的混乱迷茫的人生。

本片由两位漫威的罗素导演执导，蜘蛛侠汤姆赫兰德主演，从大学生一直演到中年大叔。主角继承了蜘蛛侠的话痨特点，在片中展现了大量的独白自述片段，有一些采用超现实的表现手法，让画面内的时间暂停，角色对着镜头说话，以凸显事件本身的迷幻性和荒诞性，例如轻松的连抢了11家银行。

 针对角色的各个阶段，电影在大红色的城市背景图上标注了十分显眼的段落标题。根据人物不同的状态配之不同的画风和音乐。初看此片会觉得两位娃娃脸的主演过于稚嫩，不足以承担起如此严肃的人生，好在电影的篇幅够长，让演员有足够的时间去向观众展示角色，最终完成的还算不错。尤其汤姆赫兰德的表演，应该说完全去掉了蜘蛛侠的固有印象。

虽然这是一部略为压抑的电影，却给出了一个温暖的结局。主角在经过14年的服刑后假释出狱，在橘黄色的晚霞中，他和妻子相视一笑。爱情，也成为了他这一段迷乱人生中唯一的坚韧之物。",1.0,1.0,0
