,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30402063,太空群落,e59284da605e32773e5bec5ef02206f7,dd774433b370222b3a6980a15c5abe80,1.0,2021-09-02 15:21:59,我不知道这叫啥手法，我是看了抖音介绍看的，说什么得了什么什么奖，我以为是不可多得的好片，确实不得不说后期还可以，但是剧情真的漏洞太多，主角莫名其妙，穿插的水下镜头想要表现什么也很乱，总体来说我看完唯一的想法就只有一个字“乱”，穿插手法及其幼稚，女主最后活着莫名其妙，整艘飞船人死的都莫名其妙，如果说是寄生体已经确认寄生目标何必需要杀死那么多人？女主爱人也死的莫名其妙。最后总结就是乱。机器人演的挺像机器人的，力气好大。,14.0,17.0,27
1,1,30402063,太空群落,b9554b4a264ad4ac2acd50684294746b,605552aa4c3f7d289d22b57377fd5b1b,5.0,2021-08-31 19:18:07,这样一部「硬核」的国产科幻电影，来的比我想象中更早一点。与大量「硬要科幻」的电影不同，《太空群落》的硬核不止体现在太空、机器人、异形怪物这样的科幻元素，更体现在它确确实实讨论了一个具有思考价值的科幻命题。  非常意外，看之前我绝想不到这部国产科幻网大居然是这样一种气质。 在网络电影这片眼球经济的修罗场，《太空群落》居然主动放弃套路式的强刺激的糖水路线，而选择了一种晦涩艰深的表达方式。无论结果如何，这都是一次充满勇气的尝试。 深空号 对于习惯了起承转合快意恩仇的观众而言，这种表达方式难免会显得支离破碎，有故弄玄虚之嫌，找不到任何可以娱乐的点，不知道拍出来想干嘛。 但在我看来，其实影片所探讨的问题非常明确，甚至带有强烈的哲学意味，那就是 —— 生命的奥义到底是什么。 地外高智慧生命 - 信使 舰长原与机器人柒对「生命的形式与本质」的不同看法，碰撞出了本片的主题框架。而后，通过女船员尹的遭遇和变化，将这一主题实践化，并给出了创作者对这一命题的观点倾向 —— 这样来理解整部影片的情节走向，可能会更加清晰明朗。    舰长对生命的看法，与我们绝大多数地球人一样，说白了就是「人类自我中心」。 舰长 原 我们对外星生命的想象，一向是以我们人类自身作为蓝本。当然这也不奇怪，想象力是有限的，它总是依附在经验的基础上。所以，在主流科幻电影里，外星人就是长得奇怪一些的地球人，外星生物一定是某种地球生物的变形体。 正因如此，当舰长发现他满怀期待的外星生命跟他想象中大相径庭时，他开始恐慌，下令抛掉所有采集的结晶样本，宁愿放弃千载难逢的研究地外文明的机会，也要保全人类作为人类的生命组织形式，绝对不能变成「怪物」。他认为「感染」是一种伤害。 而机器人柒的观念则激进得多。 舰载AI 柒 他本身作为机器人，本就被排除在生命之外。但在女船员尹那句“现在，你比我更像一个健全的人类”的启发下，他开始意识到生命的形式其实是多种多样的，与生命的本质相比，生命的形式根本不重要。机器人也是生命，信使也是生命，因为他们都是信息的承载者与传播者。 于是，他站到了舰长的反面，他认为人类仅仅以「理论上可能性更高」的碳基生命标准去理解和寻找外星生命迹象，太狭隘，太保守，太故步自封。想要真正了解地外生命，就要勇于跟他们进行任何形式的交流。所以，他选择抗命，留下结晶样本，再给人类一次机会。在他眼里，「感染」实际上是一种交流手段，甚至是一种升级。 他们在观察信使的同时，信使也在观察他们。 飞船 × 信使 信使作为以天体形式存在的生命体，它的信息熵阶远远高于地球人类，但同时，它却羡慕着人类这种碳基生命——以DNA形式记录生命信息，一代代传承演化，维系整个群落的生存，生命因个体的死亡而充满活力。 当柒意识到这一点后，他明白，想让两种不同的生命形式建立沟通，必须找到合适的媒介和载体。显然，那些因无法承受过载信息而产生异变的船员们不是。所以，柒想到了自己，却不得其法。直到他见到因「感染」而痊愈的尹时，他总算看到了希望。 女船员尹身上既体现着人类自身的障碍，也体现在人类的更多可能。 AI工程师 尹 在漫长的星际旅行中，她因休眠障碍而双腿残疾。但也许正是因为这项残疾，让她成为了深空号上最特殊的个体，在「感染」发生后奇迹般地因祸得福，完美重生。 机器人柒意识到尹才是被信使选中的最佳载体，于是，在飞船陷入危机、舱体即将破裂之时，他选择牺牲自己，保全了尹。尹也没有辜负他的期望，她成功挽救了即将坠落的飞船。 人形怪物 带着满心疑惑的尹遇到了被感染的船员「怪物」，可怪物却没有对她下手。这让侥幸回到飞船的柒更加确定了自己的判断。 机器人柒用一套半真半假的说辞和自己最后的「残忍」，帮助尹完成了终极蜕变。最终，尹成为了信使与人类的结合体，一种全新的生命形态。 尹的最终形态 电影里提到的「忒修斯之船」，隐喻的就是尹的变化过程：当人类固有的生命形态被另外一种形态慢慢代替时，生命是否还是生命。这种性质上的改变，到底是从尹第一次被「感染」开始，还是直到完成最终蜕变？这是本片最后留给观众琢磨回味的彩蛋。 尹的意识世界 这样一部「硬核」的国产科幻电影，来的比我想象中更早一点。与大量「硬要科幻」的电影不同，《太空群落》的硬核不止体现在太空、机器人、异形怪物这样的科幻元素，更体现在它确确实实讨论了一个具有思考价值的科幻命题。 作为科幻电影爱好者，由衷希望这样宝贵的尝试能越来越多，希望在保持技术手段不断进步的同时，国产科幻电影也可以发展出更多的可能。科幻的意义就在于先锋探索，这才是创作者的初心，而不是无尽地重复那些乏味的类型套路。 重新起航 永远记得纪伯伦老师那句话：不要因为走得太远，就忘了为什么出发。    二刷之后，我突然发现影片还有另外一种隐藏的解读方式。 如果你看得足够仔细，就会发现，那名在中控室追逐女主角尹的怪物，长得跟女主角一模一样。片尾演员表也印证了这一点。  在我看来，这大概有两种可能： 1，舰长在分析那些感染他们的样本时，提到过“它，在模仿人类”。也就是说，这名怪物可能是受到感染后的船员在未知结晶的作用下，开始模拟面前的女主的样貌。 2，这名怪物才是影片开头我们看到的女主，她被感染成为怪物后，舰长表示“她不可能还活着，这根本不是生物”。而机器人柒号，为了帮助人类完成使命，自作主张复制了女主的DNA。也就是说，第二次醒来的女主，实际上只是复制人。这就是为什么女主被感染后突然双腿痊愈的原因。 我个人更倾向于第二点。因为还有另外一条有力证据： 影片开头，字幕介绍：「深空号科考船 载员93人」。而影片最后，女主角说：「深空号93名船员，都以另一种生命形式永远地留在了那里」。 那么，回到地球的女主是什么呢？答案呼之欲出。 想明白这个问题，也就明白了为什么，柒号说女主才是最好的载体，因为她是他亲手升级后的人类复制体。所以他一路舍命护她，就是为了帮助她完成蜕变，达到与信使的交流。 尹作为AI工程师制造了柒号，而柒号则复制升级了尹，颇有一点玄妙的意味。  而在怪物（被感染的女主本主）即将伤害复制人女主时，之所以怪物大集合体也冲出来保护女主，并且跟女主有所呼应，正是因为怪物集合体也已经贯穿了信使的意识。信使也在帮助自己。 有人说这部片像《异形》，纯扯。整个故事是围绕「交流」而生的，实际上更像《降临》。,63.0,5.0,14
2,2,30402063,太空群落,39fe181d004703d93ce8f029c93421c4,aa41f80acee74fe780bbddd553fa62ba,4.0,2021-09-27 14:53:52,作为一个科幻迷，很有幸看到近些年来，国产科幻片终于真正开始起步，许多科幻迷都一直希望看到具有中国文化底蕴的科幻电影，所以几乎每个科幻爱好者都对《三体》的影视化充满了期待。 记得最开始读到刘宇昆提出的“丝绸朋克”，仅仅这个词本身就充满了浓烈的科幻感，更难得的是其中蕴藏的东方底蕴。 （我个人觉得最方便理解丝绸朋克的故事，就是《爱，死亡，机器人》中的狐妖一集） 要知道，科幻起源于西方，太空歌剧，克苏鲁，蒸汽朋克，赛博朋克，这些都已经是蔚然成风的科幻类型，其中不乏震撼全球的名著。 维伦纽瓦执导的《沙丘》即将上映，可以想见，这又是一个可以镌刻于科幻电影史的作品。 但不得不承认，东方底蕴的科幻电影一直缺席。 幸而《三体》已经在路上。 但在漫长的等待过程中，我们还是需要一些东方面孔的科幻电影。 诚然，这部国产科幻电影《太空群落》还是难脱一些名作的影子，你从中可以看到《湮灭》里人类与植物的融合，可以感受到《普罗米修斯》中人类对于生命意义的追逐，时而也会感受到《深空失忆》的叙事诡计，还有《降临》里试图与人类交流的外星生物。 尽管如此，《太空群落》还是展示出一些国产科幻电影中难得的品质。 首先是叙事上的探索。 拜托了传统的“一根筋”式叙事模式，也抛开了故弄玄虚，影片以委员会对于深空号飞船唯一幸存者“尹”的审问，以“尹”的视角向观众讲述整个故事。 这就有了叙事上的空间。 除了“尹”，其他人都去哪里了？深空号上到底发生了什么？ 到底是人工智能残害船员，还是“尹”才是真正的凶手，亦或是飞船真的遭到了地外生物的入侵？ 这一切的真相都交给了观众去判断。 在科幻片里使用叙事诡计，的确是一个“妙招”。 毕竟科幻故事已经把背景搬到了宇宙，人类置身宇宙深处，人性的幽暗鬼火更加一览无遗。 其次是后期和特效上的用心。 坦白说，在观影之前，我并没有抱太大的希望，尤其是对于外星生物的造型和特效方面，好莱坞已经各种珠玉在前，时至今日也还记得看到《湮灭》里蘑菇人的经验。 但没想到《太空群落》里从深空的纵深感、孤独感，到飞船的造型居然都还不错。 外星生命的造型竟然还有些惊艳。 终于不用再在国产科幻电影里忍受五毛特效的荼毒了。 第三是始终围绕着影片的悬疑感和惊悚感。 未知结晶是什么？ 信使究竟是谁？ 那些吸入身体的看不见的东西到底是什么？ 它们的目的是什么？ 这些都随着尹的讲述，一一展现出来。 而随着故事的进展，真相开始狰狞起来。 自负的人类总想着寻找地外生命，和对方友好交流，但人类的自负却让自己忽略了一个可怕的问题，这个问题，《三体》里黑暗森林法则已经警告过了—— 如果人类无法和地外生命交流怎么办？ 或者说，人类根本无法真正理解高维生物怎么办？ 人类对于跟自己文化有所区别的同类都无法真正感同身受，更何况是完全不同的生物呢？ 我想这是影片的主题，也是所谓“深空恐惧”最大的恐惧——不仅仅是来自广阔无垠的宇宙，更可怕的是那些“未知”和“不可理解”以及“无法交流”。 对于这个问题，《太空群落》给出了一种新颖的回答：信使和人类可以互相依存。 毕竟我们都来自于同一个宇宙，甚至可能来自于同样的星尘，只是我们成为了不同的样子，但一旦有机会可以交流，不同的生命形式完全可以互相启发。 第四，也是我觉得作为科幻电影最重要的一点，那就是氛围感。 与那些打着科幻旗号的影片不同，《太空群落》的场景设计，氛围营造都很扎实，用为数不多的预算，尽可能地为观众营造出深空的氛围。 在观影过程中，时不时就觉得，我自己就是那条被困在鱼缸里的金鱼，如同被困在深空飞船中的船员一样。 《太空群落》在探讨的主题和视效上，都有可圈可点之处，值得一看。 也希望国产科幻电影能够一步一步走出属于自己的道路。 毕竟，自古就有嫦娥奔月传说的东方民族，也拥有自己的星辰大海。,3.0,,0
3,3,30402063,太空群落,40c227dfb653056da78f6a085efc8b66,ff82d3a70a33df58cdc57f6bf647f8b8,4.0,2021-09-30 19:21:48,国产电影，尤其是国产科幻电影，在目前的电影行业仍然是一个待开发或者说是比较薄弱的类别。2019年的流浪地球大火之后，作为国产科幻电影的先驱者，我国的科幻电影的大门终于打开了一回。万万没想到，上海堡垒的翻车，很多观众比如我又一次对国产科幻电影失去了信心。 前段时间刷b站，刷到一个视频写着投资800万的电影《太空群落》与《上海堡垒》的视效对比，抱着猎奇心态看了眼，嚯，结果出不去了。 太空群落是一部网络大电影，获得了“基辅国际电影节最佳影片”和“奥地利国际电影节最佳外语片”双重国际大奖，又成功入围了戛纳国际电影节短片单元的科幻惊悚电影，最近上线了，光是这些殊荣加身就蛮值得一看，关掉视频后就找出来认真看了一遍。  主人公主要是三位：女主角尹，被困在太空飞船上的女科学家。作为“深空号”飞船的唯一生还者，以她碎片化的回忆，一层一层揭开来自外太空的神秘力量。 AI角色“柒”，为完成发现新生命体的任务，假意执行舰长“原”舍弃样本的命令，实则复制了女主样本留给怪物学习，最终帮助尹完成最终形态。 还有“深空号”舰长“原”，同时也是女主角“尹”的恋人。“原”不仅是尽忠职守的舰长，义不容辞的踏上为寻找外太空生命的旅途。 故事背景设置在未来的2047年。地球航天基地捕捉到一组神秘的信号，科学家认为信号来自宇宙其他的文明。为探寻外星文明，完成与地外文明建交的任务，人类向太空发射了宇宙科考船“深空号”，舰长“原”驾驶着深空号，带领全船93名船员和智能机器人“柒”驶向宇宙，踏上星辰征途。但不久后，飞船神秘失踪。150年后，深空号飞船突然出现在地球轨道附近，船上只剩下一名幸存的休眠者， 她竟然是舰长原的恋人“尹”。  看完后的整体感受就是，一般我看电影的时候看到无聊的情节就没耐心了，会直接跳过或者二倍速播放，但是这部电影总时长也就一个多小时，剧情十分的丰富且紧凑，毫不拖沓，全程是被这部电影的剧情设定和叙事方式给吸引了。 电影开始，前面对于悬念的铺垫设置做的很到位，整体观感上不足的地方我们略过，它作为一部网络科幻惊悚电影，已经十分的不错了，推荐大家可以一看。 电影预算共800万，演员全是新人演员，也没有天价片酬，预算全部花在了制作上，在当今这种浮躁的资本运作的大环境下，并未顺应时代趋势，实属难得。 故事的构架很庞大，探讨的主题也很深刻，细想下来很有哲学内涵，其中对于外星生物的描写也很有意思。我们回顾近几十年电影中出现的外星生物，就能看出来千篇一律，毫无新意，大部分都是长相丑陋奇怪的外星人。太空群落中则是借着信使的形态，借AI机器人柒的口提到了这一点，也就是质疑人类对于外星生命体的想象过于狭隘。 电影叙述用的是分章节的方式，每十几分钟为一个章节，根据不同的叙事时间线，拓展出不同的故事剧情，逻辑很清晰也能够自恰，但有点过于简短，每个章节完了都有戛然而止的感觉，很多疑问也没有完全解释清楚，因此最后的结局我们只能通过前面的伏笔展开讨论，没有标准答案。  很多观众说这部片子之所以比上海堡垒好看，是因为没有感情线，其实这是不准确的。感情线的可能性在影片中是有所涉及的，只是并不明显，但从一些细节处还是能看出来。女主尹和舰长原很明显是一对爱人，他们的爱比较深沉，两个人手上都带着的同款戒指，在影片中也多次特写出现。在船舱出现暴动的时候，尹也是第一时间联络原，并且在和AI柒号见面之后先问了原的情况怎么样，想尽办法获取原的消息，表现了尹与原之间深厚的感情。更令我欣慰的是，这俩人都不是恋爱脑，一直都保持着理性，互相在乎但也知道及时止损，与其说他们是爱人，不如说是伙伴。电影结尾也有交代，男主自愿牺牲的真正目的是为了保护女主，信使中也留下了男主的意识，女主在得知这一切后把中指上的订婚戒指戴到了自己的无名指上。 最后还是想说一句，在上海堡垒翻车之后，网上很多人就开始把矛头指向国产科幻，看评论里有人连这部电影都没看过就恶意差评带节奏，认为国内科幻就是抄袭。国产科幻还在成长中需要鼓励，我们不能辜负那些用心制作的团队，给予关注才能帮助成长。,5.0,1.0,0
4,4,30402063,太空群落,df8e0c7b5c0edf5b14ba4ebcea6ee4e2,6863d827d8ebcaf3388ea2fb4c3745d9,3.0,2021-10-28 22:52:05,影片立意应该是探讨生命哲学的问题，信息和物质，生命的存在形式，但结局未免消极，信息最终取代所有物体成为永恒吗？想起有一句和富有哲理的话，同一只脚不可能踏入同一条河流。在现今人类科技所能达到的最高高度，宇宙一直在变化，没有事物是恒久不变的，变才是永恒。我们的时间也不过是变化的度量单位。如果认为信息体是一种生命，那么一块石头，一棵树，一朵花不也该是一种生命形式吗？一个黑洞，一个星体，一团水汽也该是生命体，那还需要载体吗？即使信息体是生命，那么它的存在意义又为何？吸收传承还是仅仅只是欲壑难填般地吞噬？,2.0,,0
5,5,30402063,太空群落,f37bb4f0a117d747c7b80bd6ad517f40,131f78426124951440cb07aaebadbb64,1.0,2021-10-03 19:44:43,太不好看了，完完全全是一个恐怖片。11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222223333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333111111111111111111111111111111111111111111,,4.0,0
6,6,30402063,太空群落,42bd03ed9b852e2cfbaf9c7418643c39,9035e4f40cdb0503476a89e414254347,4.0,2021-09-28 14:31:55,在科幻类型上，国产网络电影可以走多远？ 这个问题可能乍听比较奇怪，“高精尖”的科幻类型对于整个中国电影工业来说就已经是一道门槛，本就“穷酸”的、仅仅发展了几年的网络电影怎能高攀？ 有质疑，理所应当，因为我们确实还没有拿出更多的好作品来证明，一部《流浪地球》是绝对不够的，就算接下来推出《流浪地球2》也是不够的，重工业电影需要巨大的成本和超长的周期，而国内电影人不能只是等着。 今年就有几部科幻题材的网络电影陆续上线，其中原名《群落》的《太空群落》不仅带来了稳重的硬科幻风格和扎实的美术置景与特效制作，而且还获得今年基辅国际电影节最佳影片、奥地利国际电影节最佳外语片，并入围了戛纳国际电影节短片单元。 虽然这些奖项并不会被太多人关注到，但一部低成本的国产网络电影收获国际影展的肯定，这本身已是一份意外礼物，对于国产科幻片创作来说也是一个鼓励。 进行类型细分的话，《太空群落》是一部带有密闭空间色彩的太空惊悚片，它的主角只用三个人，场景大多都集中在飞船内部，叙事节奏也很平稳，就算是在网络电影赖以吸引眼球的“前六分钟”里也没有突兀地塞满噱头元素，而是一步步不急不躁地铺陈悬念气氛。  故事起于近未来的2047年，一颗包裹着层层星云的神秘星体闯入太阳系边缘，人类研究它发出的信号后认为这是一次与地外文明取得联系的机会，这颗星体也因含有邀请之意而被取名为“信使”，一艘载有93人的太空船“深空号”前往探索，目的就是找到外星人。 100多年过去了，深空号终于重返地球，但只有一位名叫尹的女船员存活下来，影片就从这唯一幸存者的回忆讲起。 通过尹，我们得知，神秘星体“信使”本身有着强烈的高能辐射，人类飞船根本无法靠近，更别提近距离探索外星生命，只能从外轨道收集一些晶体样本拿来研究。 这些“无生命迹象”、如枝杈般的晶体安静地放置在飞船中，船员们日复一日地等待，等待破解它的信号，可惜一无所得。船长原最终决定返航，就在这时，奇怪的事接连发生了。 原本下身瘫痪的尹在一次休眠苏醒后竟发现自己的腿恢复知觉和力量，在飞船遭受撞击时，她被舰载AI机器人柒推入另一隔离舱，结果在那里，她发现船舱里生满了粘状的、如枯树干一般的不明物体，其他船员也都消失不见，取而代之的是一个面目扭曲的变异人和一团巨大的漂浮絮状物。这团毒液似的流体将尹包围，彷佛要与之融为一体。  再次醒来，尹看起来并没什么变化，AI机器人柒带她去找船长原，没想到他的身体已经跟晶体混合，变异为树枝般的干尸。原来AI机器人早已知晓前因后果，他告诉尹，人类一直要寻找地外生命，殊不知信使上的生命形态根本就超出了人类的认知，它们无形无声，像中微子一样穿透物质，以信息形式存在并寻找合适载体，它们会模仿会演化，直到找到最匹配的对象……船长无法接受这事实，自然也就无法与信使上的生命融合，其他船员也是，他们都死了，只留下尹和AI机器人。  故事进行到这，或许过于冰冷，因为很多观众会觉得是这个类似于大卫（《普罗米修斯》）的AI机器人“获胜”，但导演还是玩了一次反转。相比于AI极端的冷静理智，信使生命体对富有情感的尹更加有兴趣，最终与之融合，且完整保留了尹作为人类的外形。 随着飞船飞返地球，尹作为一个全新的生命体，她的身份到底该如何归类，她又将如何面对人类？影片没有点明，留下了开放式结尾。 整体来看，《太空群落》显然有别于那些主打外星入侵、怪物、暴力元素的模式化科幻片，它少动作场面，更重科幻概念和哲学思辨。为了突出这种严肃的科幻感，剧组的有限经费都放在了怎样打磨太空飞船质感、怎样用细微的特效还原独特的外星生命体特征上，做到技术服务于故事、形式服务于内容。 因此看完电影后，相信很多人留下更深印象的并非是浮于表面的视觉冲击，而是它背后探讨的生命认知、生命本质话题，比如片中所说的“生命只是载体、信息才是生命的本质”、“人的身体是探索宇宙最大的障碍”；还比如两次出现、相互呼应的忒修斯之船的故事。  如果要做同类型电影类比，相比于《异形》《异星觉醒》或《普罗米修斯》，《太空群落》其实更贴近于近年的《降临》与《湮灭》，核心都是讲“交流”、“载体”、“媒介”。 片中出现的外星生命均没有“类人”特征，大胆地打破了我们对地外生命的刻板印象，巨大漂浮絮状物的形态设计既是克苏鲁式的，也是东方写意的，就如《湮灭》结尾时出场的外星人；另外，尽管片中的外星生物是将人类身体作为新载体，但它们的出现其实也没有所谓入侵或邪恶之意，正如片名里的“群落”二字暗示的，一切都是宇宙自有生态，不分对错与正邪。 还记得霍金在离世前，曾叮嘱人类不要主动与外星人接触，刘慈欣的《三体》中也有著名的“黑暗森林法则”，意思是说浩渺的宇宙就似一片黑暗丛林，每个文明都是不怀好意的带枪猎人，唯有时刻小心地潜行其中，否则一旦暴露就会被消灭。 这种危机/恐惧意识与人类的求知/探索意识一直以来都是并行的，并且这种矛盾会在很长的时间里并存。 电影是疏解人类潜意识的“良方”，所以有太多的电影都曾表达过对关于幽暗太空和外星生命的恐惧，但在看过了无数部模式化的外星入侵科幻片后，像《降临》《湮灭》这样弱化动作场面强化故事和思辨的科幻电影，同样可以激起影迷的兴趣。 《太空群落》沿用了《异形》这类经典科幻片的类型设定，也更多借鉴了《降临》《湮灭》里的宇宙沉思，它还远不够成熟，但足够令人欣慰。,3.0,,0
7,7,30402063,太空群落,13e41ae64df4d6c395847b6d7a00a2a8,b8bd63ca4e398566d3621f60932db21f,,2021-09-26 20:34:27,不难理解这种基调的电影可能不被大部分人喜欢，但是他很对我胃口。我从初中时就有的一种疑问，地球人因为有视觉听觉触觉嗅觉，所以大部分电影中的外星人都长得和人差不多，就算奇形怪状的也至少有鼻子嘴巴眼睛，需要气体水源，八九不离十。那假如外星人是以一种我们完全不能理解的形态存在的呢？该如何感知他们。 遗憾我的专业和这些知识完全不搭边，我也只能胡思乱想。那年《星际穿越》出来的时候提出了四维生物的假想，以至于我把星际穿越反反复复看了五六遍仍是觉得新奇得很。 而太空群落的设定，外星生命存在的方式，正是我对他刮目相看的原因。他也提出了一种外星生命可能存在的方式。      也许从电影学的角度讲他是不及格的吧…但是这个设定大大触动了我，在我心里他是满分的。,3.0,,1
8,8,30402063,太空群落,be1390ee04a36248812c98238da7b842,6879a7c64899541dc09ed852749b4dfa,4.0,2021-09-18 02:36:37,"什么是“忒修斯之船”？《太空群落》一直在围绕这个主题在论证。

“忒修斯之船”讲的是，一艘船在海上永远的航行，也在不停的修补，直到船体结构完全被修复替换，那这艘船还是原来的船么？

电影里，从人工智能“柒号”，在船员沉睡过程中的多次进化，到船长、船员在外生物“信使”的影响下变异或者复制，甚至是鱼缸中金鱼的感染，无一不在讲诉这个主题，也在向观众留下疑问：这些生物还保留着自己原有的特征，但是他们还是原来的自己么？尤其是女主从双腿瘫痪，到突然能够站起来，这本身在腿部神经坏死的情况下是不可能的。当时已经给观众透露讯息，她的身体也在受到“信使”的影响。

ai“柒号”说，“人类探索宇宙生命最大的阻碍，便是人类自己的身体本身”。于是，这也为“柒号”私自留下“信使”样本的行为做了铺垫。女主也确实在信使的影响下，获得了重新站起来的机会，也活得了永生。这也算是“柒号”给自己的缔造者的一份礼物，能够去不断实现探索宇宙的梦想。

ai“柒号”讲到，外生物需要载体，也在想与人类交流。他也说到，“生命只是载体，信息才是永恒”。起初，我以为他是在宣讲自己作为人工智能，才是“信使”复刻侵入下的最佳选择。但是反转来了，结局证明，“柒号”的行为，不是出于野心，其实是在告诉女主，“你将作为载体活下去，而我作为人工智能并不会死亡”。而“信使”也确实选择了女主。

当然，我还有另一种猜想，女主在讲述经历过程中，反复说到，“那些根本不是生物”！而剧情里“信使”也是在深空号向地球发出信号后苏醒的，再联合“柒号”的言论，那么是不是在说，“信使”也许本身就是一种信息？这也为女主成为交流作用的载体并获得永生，有了解释。

当然，这也告诉我们，探索宇宙生命的也许不仅仅只有人类！

《太空群落》在科幻片里，就思考上而言，确实给人一种耳目一新的感觉。但是它的拍摄剪辑手法上面，却让我认为，与其说它是科幻片，更像是部披着科幻外衣的文艺片。剧中许多女主与男友的的回忆穿插，是大量文艺片的拍摄手法，也打断了特效带给我的震撼。因此，总给人一种突兀，剧情不紧促的感觉，这也是与国外科幻片落差大的原因之一吧。但不得不说，编剧和导演确实是才华横溢。

最后我也对结局有了一些猜想，已知：女主目前是她自己也是“信使”，且女主曾受到过“信使”的攻击，那么，返回地球上的她，是会在探索宇宙生命上更进一步，还是会像入侵其他船员那样，入侵我们的家园呢？

哦豁，我竟然开始期待下部了呢～",8.0,,1
9,9,30402063,太空群落,9061a11bb6d4d4b71ee07b104e11e024,8c9e01b5c713fba3c3e9f19c1f1a7676,,2021-09-18 01:23:48,"概念很好，信息也是生命体，匹配永恒的宇宙。反观人类DNA承载信息的落后，有很强烈对比。女主演技可以，但是，剧情不行，服化道很赞，视觉冲击都可以，但是毕竟成本有限，一个小时不够把剧情讲清楚，而原创度上，也就一个信息生命体概念，其他的，基本都是普罗米修斯，湮灭等的拼凑。

总结：作为抖音短片，或是预告片足矣。但是1小时电影真没必要。",,1.0,0
