,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30425275,火药奶昔,1fd2fd8dada55ec92f8b18365221c313,d0ff37e039e917c2aabf2479c3378450,3.0,2021-07-15 00:37:13,"当年接连看完《极寒之城》和《安娜》后，我一度觉得美国的电影工业已臻极致，似乎随便拉出来一个女孩，训练两天，配合上牛叉的镜头，动作设计，还有精准的替身切换，就能完成一部大女主的纯动作片。  从john wick开始的孤胆复仇系动作片风潮配合上女性意识的觉醒立刻催生出了诸多效仿之作，我上面提到的《极寒之城》和《安娜》算是这里面水准较高的影片了，但是效仿者越多，也便愈发良莠不齐。  《新霹雳娇娃》，《永生守卫》，《艾娃》，《节奏组》等等电影绝对称不上优秀，近期的《黑寡妇》和《火药奶昔》同样不及人意，不知道之后的《355》，会不会最终为这场“打女”热潮浇上一头冷水。 如果说谁要为这两年如春笋般涌现的杀手电影买账的话，基努里维斯难逃其咎，谁叫他前些年因为《疾速追杀》迅速回春，而且连拍三部，票房也节节高升，这简直就是为逐渐遇冷的中小成本动作片指明了一条路。 自此之后，除了上述我提到的诸如《极寒之城》，《安娜》，《艾娃》的女性动作片，《小人物》，《惊天营救》，《极线杀手》等“个人英雄主义”，“强动作”的影片同样不少。   但是，真的只要照猫画虎，就可以票房大卖吗？ 你有一只狗，狗被杀了，你去报复，然后整个组织/黑帮都来杀你。 这让我想到了托尼贾的《冬荫功》，里面托尼贾为了要回自己的大象，真是从天打到地，虽然剧情粗暴，但耐不住人家贡献了数个动作片史都能留名的桥段啊。  托尼贾毕竟是有真功夫，可当代像成龙这样真的敢拼的演员越来越少（阿汤哥算一个），而基努里维斯用自己的刻苦练习和高超的动作团队弥补了这点缺憾，而这个团队用《小人物》再一次展现了这种动作风格对动作戏的巨大增益。  只是，女性作为体力的弱者，在打戏上其实并不占优势，看一看早先的女性动作片，2010年的《特工绍特》，安吉丽娜朱莉饰演的是特工而不是杀手，这算是对《飓风营救》，《谍影重重》这类高智商动作片的效仿  而其余的一些，诸如《超体》，《明日边缘》也都加了不少特效，想要找一部大女主纯动作片并不容易。 《极寒之城》算是用高超的长镜头调度加上塞隆的苦功杀出重围  在电影里，塞隆的动作戏虽然漂亮，但我们也是能看到塞隆身为女性的体力差距，毕竟不是所有女演员都像《正义联盟》里的亚马逊战士一样满身横肉。   至少，《极寒之城》里，敌人是势均力敌的，不是个傻子。   可慢慢地，这类电影发现考虑这么多真的很困难，干脆就设定让女主角们力气大一点，护甲厚一点，反派也无脑一点，能肉搏绝不射击，能配合女主角演出绝不擅自作妖。 《火药奶昔》就是这样一部作品。 当我看到电影中的黑人女的一个小锤子直接把人砸了个前滚翻的时候，我觉得这个黑人已经不是寻常女人了。  





 她化身成了巨石强森，化身成了黑亚当。  在我记忆里，除了family加持下离谱的范迪塞尔外，能不强化身体就把人抡飞的大概只有巨石了。 《火药奶昔》就这么离谱。 要说，你打得好看，物理啥的我们也可以暂时不用考虑，毕竟《速激》系列违反物理定律已经是常事，里面的女角色们各个也都是能打的货。 但是吉兰小姐姐的动作戏，真的可以用“花拳绣腿”来描述，力气看着也不大，反应速度也不快，偏偏男性反派们要配合她，被她血虐，这看着怎么爽的起来呢？ 





 其实，肉搏戏不行，玩枪还好一点，像布丽拉尔森的《走火交易》  丹尼尔的《腰间持枪》  枪打得蹦蹦响也能爽到（《疾速备战》里哈利贝瑞的枪战也不错）  但是，母女俩人偏不，拿个小手枪打个两发，然后就一定要开始肉搏（明明军火库那么充足），对妈妈和两个阿姨来说，枪也就出场时摆个pose，妈妈飞天打枪的那一幕我实在是看不下去了...   打女，不是谁都能当的。 现在已经很少像当年那种硬桥硬马的打星了。  那么，如果不多下点工夫，或者请个靠谱的动作团队的话，玩玩枪  玩玩炸弹  还是要保险得多的。",28.0,5.0,27
1,1,30425275,火药奶昔,a42a4d2fa6b69cf22db1eff756e943d9,a84dfe83202974bfd189dbcfc545b551,3.0,2021-07-19 11:40:03,"首发于公众号“影探” 公号ID：ttyingtan 作者：大表妹 转载请注明出处     近些年好莱坞刮起了两阵风。 一曰网大（网络大电影），另一曰大女主爽戏。 不爱红装爱武装，枪火血花尺度大，看得观众心痒痒。 流媒体巨头的网飞嗅到了商机，斥千万从市场里买来一块“肥肉”。 被称作是女版《疾速追杀》。  





   但这片角色有时动作怪异，面目狰狞，像一群智障在斗舞：  





   女主星云（凯伦·吉兰）都给毁了。 随便一个暂停都是鬼畜表情包：     《美国队长3》团队监制，昆汀门徒执导筒，演员阵容星光璀璨。 噱头做很足，还有网飞平台的加持，可片子的口碑却堪忧。 是绣花枕头，还是有两把刷子？ 网飞，你不会又做冤大头了吧？      五个打女一台戏 不少人可能和表妹一样，是冲着这卡司阵容而来。 《权游》「瑟曦」琳娜·海蒂和《银护》「星云」凯伦·吉兰首次合作演母女。 还有「黑豹母后」安吉拉·贝塞特、「俞秀莲」杨紫琼、「灵丝」卡拉·古奇诺加盟助阵。 这五位动作戏好手齐聚一堂，想想都很带感。         琳娜·海蒂，在接演瑟曦之前，她曾是好莱坞知名猛女。 在《300勇士》里，她是美丽坚强的斯巴达王后。 短发、背心、大长枪，她饰演的莎拉·康纳相当强悍飒爽。     凯伦·吉兰，1米8的身高格外抢眼。
 《神秘博士》里，她跟随第十一任博士穿越时空，探索世间奥秘。 为了演好星云，她更是剃光头服务角色、苦练搏斗化身打女。  





     杨紫琼更是功夫好手。 《卧虎藏龙》《007之明日帝国》《警察故事3》《木乃伊3》…… 从好莱坞商业巨制，到文艺动作片，她可以完美演绎任何类型的角色。 被誉为华人之光、功夫女王，用武术征服了世界观众们的心。  





   实力演技派+动作新星+华人功夫女王。
 她们上演的动作大戏，可不是拳脚交加撕逼斗殴，更不是后宫心计明争暗夺。 有人的地方就有江湖。 那么这五位女士身处的江湖，又是怎样的场景呢？  主演们在片场   
 女版《疾速追杀》 萨曼莎（凯伦·吉兰 饰演）是「事务所」（The Firm）的顶级杀手。 15年前，母亲失联，她在事务所长大。    
 脸上一道疤，人狠话不多。 近身肉搏、反客为主，刀枪棍棒，样样精通。  





  
 这天萨曼莎接到个新任务，有人偷了公司的钱，她得上门讨债。 她很快控制了小偷，但她发现这小偷还有个小女儿。 她在小女孩身上看到了自己。     结果这竟是一场“误会”。 仇家绑架了小偷女儿，要挟他去偷钱，不然就要撕票。 萨曼莎想到了自己没有母亲的童年，遂决定讨钱和救人两手抓。     就是她这一冲动的行为，原本的计划出了巨大差错。 更要命的是，她在先前任务中不慎杀害了某黑帮大佬的儿子，遭到黑帮的通缉。 「事务所」对她下了江湖追杀令。     是效忠，还是保护小女孩，她陷入了抉择之中。 她也走上了一条危机四伏、四面楚歌的冒险之路……     从剧情来看，和《疾速追杀》的相似处还是颇多的。 先说说不能动枪只能吃饭的「餐厅」。  





进入餐厅，必须缴械   
 15年前，萨曼莎的母亲（琳娜·海蒂 饰演）为了保护女儿，兵不血刃解决了仇家。 却坏了餐厅的规矩，遭到追杀。 这一设计和《疾速追杀》里不能见红、保持中立的大陆酒店（Continentale）达成一致。  《疾速追杀》中的纽约大陆酒店    母亲离开时，将年幼的萨曼莎交给了「事务所」收养。 「事务所」相当于John Wick所效力的俄罗斯黑道家族。  「事务所」的话事人   
 电影还有一个很有意思的设计——「图书馆」。
 在这里，你可以找到任何你想阅读的书籍。 书中自有黄金屋和颜如玉。 不过在这里，书里面藏着的是防身武器和黄金钞票。  





   导演巧妙将这一设计和动作戏份结合起来。 对「图书馆」构造不熟悉的萨曼莎并不知道哪本书里藏着枪械。 打开一本书，一把小匕首。  





  
 再打开一本，竟是金砖。 敲头不够刺激，又上演了一出二丫反杀夜王的换手好戏。  





   靠着大长腿，三下五除二解决对手。  





   像这样有巧思的动作设计，电影中还有许多。 让人印象最深刻的，必然是萨曼莎1v3干翻对手那场戏。
  





我不会告诉这场戏表情包泛滥  
 被打了麻醉针的她双手动弹不得，却巧妙运用了下肢及周围物品，制服了高壮的杀手们。 相当具有趣味性和想象力，也不乏血浆四溅的酸爽过瘾。  





   昆汀门徒，实则大忽悠？ 整部电影就如名字一样，有火药（gunpowder）的炸，和奶昔（milkshake）的甜。 表妹刚提到的这些，算是电影较为突出抢眼的部分，为是炸。 但如奶昔一样的甜，却也成了电影的致命伤。 这是导演纳沃特·帕普莎多的第一部英文作品，也是他进军好莱坞的第一步。 他的处女作《大坏狼》曾被昆汀盖章认证，充满昆汀式的黑色幽默、暴力及荒谬元素。     他是一位相当有个人风格的导演。 细心的观众也不难发现，导演对色彩的运用相当偏执。 影片的画面干净鲜艳，怀旧复古。        保龄球馆1v3的戏码，使用了霓虹色。 将血腥感弱化，甚至融入到背景之中。 用好似糖果的纸衣包装暴力，烘托氛围，而不是渲染恐惧。   





   医院中手臂瘫痪1V3的动作戏设计的非常巧妙，将暴力和搞笑融为一体。 看得人很是欢乐。  





   尽管电影有许多值得一提的亮点。
 但是它真的算是一部“爆米花爽片”吗？ 观众的评分其实给出了答案—— 豆瓣和IMDB同样5.8分。         烂番茄66%的新鲜，观众爆米花指数是52%。 难得一见的中外一致。     最被观众诟病的是打戏。 不是所有演员能拍好打戏，搞不好就是花拳绣腿，剪辑也救不回来。
 第一场打戏虽然色彩运用的很独到，但着实让人看着尴尬。  





  
要打得好看，专业的动作设计和剪辑都是辅料，最重要的是演员本身积攒的动作功底。
那一招一式，四肢有没有打开，动作协不协调，动作有没有力道，观众眼睛不瞎。
就像打篮球，几个简单的动作就能看出这个人在什么水平，那是装不来的。  





   当年基努·里维斯为了拍好《疾速追杀》，进行了5个多月的训练，包括枪法、柔道、柔术、武术、马术。 最后呈现出的银幕效果让观众大呼惊艳，但这背后的辛苦可能只有基努本人才能体会。  





4.5秒内连续射击12次全中要害   





正片    如今依靠强大的拍摄和剪辑，可以弥补演员本身的不足。 但快速剪辑的代价是镜头快而碎，无法展现连贯动作的美感。  





  
 最后也就杨紫琼的打戏看着扎实精彩。  





   动作戏上的短板，只能依靠热兵器的狂轰乱炸来掩盖。 和《疾速追杀》系列相比，差距实在是大。 被称为“女版《疾速追杀》”，盛名难副。  





   





   作为昆汀门徒，导演在本片中穿插了大量如昆汀式的黑色幽默旁白和桥段。
 但观众看到的，却是苍白的陈词滥调，和带有技巧性的小聪明。 就比如萨曼莎救女孩时遇到了那帮头戴万圣节面具的绑匪。     没等来萨曼莎先动手，这帮蠢贼就玩起了内讧，直接团灭。 萨曼莎站一旁一脸懵逼，屏幕前的表妹也是满头雾水。 这样的黑色幽默却如同隔靴搔痒，同样类似的桥段比比皆是。  





   照猫画虎的拙劣模仿，昆汀看了都想狠狠打自己一巴掌。 跨也夸过了，笋也笋过了，作为网飞月付费用户的表妹，看完电影一声叹息。 众所周知，网飞有钱任性，但是钱也得花在刀刃上啊！ 这片值吗？答案显而易见。 拍打戏就好好研究动作设计，而不是花拳绣腿大乱炖，丝毫不费力就将人打趴下。  





明显看出演员很吃力   凸显女性的强大不是靠将反派清一色设计为男性，而是挖掘女性角色的内在。 让她们充满弧光和生命力，而不是只是换个性别来拍同样的套路。 网大风和女主风，吹懵了想要称霸流媒体的网飞。 吹得它遇到类似题材便毫不犹豫扑通跳下水，花大手笔买入，独占播放权。 可这水，实在太深。 群星云集又如何，昆汀门徒又如何？观众不买账，还是无用功。 网飞，可别再做冤大头了！清醒一点吧！ 文/大表妹",6.0,4.0,3
2,2,30425275,火药奶昔,42b2427cd3355bd451510fbd2e82fb25,b48bd928679bbb9cadd013d9be7b08f8,1.0,2021-07-15 22:15:21,含大量带图剧透，慎看（不过这种电影就算被透了又有啥呢，真的有点太烂了） 基本上是纯粹剧情桥段吐槽，因为我看完第一反应是好烂啊，但是想了想这么烂竟然也是清新脱俗，被气笑了，实在是太难得了 emmmm因为我是本来非常非常喜欢Gillan的，她真的太漂亮了，标记这个也是因为Gillan，再加上这个简介设定，很有爱狗人士的那种暴力美学，更加想看了，结果.....一言难尽啊 这个和Loki季终集是同一天出来的，本来想着是看完那个看这个，结果被Loki辣到眼睛了，现在看完这个了，我眼睛瞎了。 本来是想写个短评的，结果不知道触发啥g点了，一直审核不过，生气，再加上这个被气笑了，受不了了，不吐槽这个憋的难受。 首先这个设定很像JohnWick，有着杀手的自我体系，他们的高层是firm（那边是high table），他们有着一个普通又神秘的场所library（各种武器均用书来stash，花里胡哨的），jw是大洲酒店，还有一个貌似中立的diner（pub）那边还是酒店。基本上就是搬运jw设定，行吧，这个不算大槽点，因为和接下来的桥段比，这个真的不是事 1.三个morons  这三个杀手（morons）刚出来就是被firm那个代理人派去reason with我们女主sam（吉兰姐姐），这个代理人，说话大喘气，一会想起来回一句，这三个杀手就想起身，还没起，又坐下，连续三次，笑了，就这种出场，一定没啥逼格，全是逗比。 代理人说不要伤她，要reason her，然后他们找上女主  真就不伤人呢！！一个带棒球棍，一个撬棍，一个电击棒（荧光棒），pose摆的特别亮，就是没什么战力，被锤的不能自理。 然后他们跑去医院去整治，结果吸了N2O，   你看他们笑的多悲伤啊！！不行，我真的笑了这段，你们整活可以的，然后准备和Sam搞第二战  他们真的是绝世好员工，带病带伤还要坚持完成上级派来的工作，良心，但是！！你们一堆残疾人还来，杂耍的吗？！（当时女主角双手瘫痪，但是还是这三个太滑稽了） eh morons. 2.四个clowns 女主在那2个打斗之间，要去救小女孩，小女孩是被4个憨憨抓了  四个带着halloween面具，也还好吧毕竟这种龌龊见不得光的事，带个面具不丢人 但是接下来就把我看愣了   狼人刚开始狼嚎，frank就叛变了，然后杀了司机，火烧狼人，德古拉和frank互相射击  然后女主sam全程ob就看着他们四个人团灭，互害，一点都没出手（说好让我show的机会呢？！） 别说女主了，我看的也是一脸懵逼，什么情况啊啊啊啊啊？！不应该是女主一挑四然后完美料理了这四个吗？！ 3.一群knuckleheads 先是一场众所周知动作片必有的追车戏，可惜，这场追车戏是真的有点childish了（字面意思）  而且这个车的质量是真的巨nice，你们简直比美国校车质量还好！   子弹打挡风都不带刮花的，什么车，想要！ 然后可以撞着一个车推着加速再撞另一个，这马力，惊了 呵，如果被吉兰的sam追车戏耍就算了，真的，让一个little girl这样搞团灭（车子报废，死了一堆），确实一群猪吧 然后blahblahblah遇到母亲，blahblah，sam带着小姑娘跑到library，寻求庇护。 这群knuckle heads找到了图书馆 他们怎么去的呢  没错，做bus去的，平平淡淡才是真！！看看这一个个生无可恋的表情，笑了 图书馆大战真的看的是煎熬 你们一群人找人打架，家伙都不带，就....追着送  看看左下这位，丝毫没有感觉是来打架的，再看看其他几位，你们怕什么呢啊啊啊啊？人家开枪都不带转向的，你们就抱头鼠窜了，唉  好不容易可以群殴女主了，就是不用武器，就是要踢几脚，然后留破绽给女主妈妈show凌空双枪，行吧  图书馆的三位管理员，就最弱的一位拿加特林扫了几下然后被人枪了，然后不用了。他们全都喜欢拿武器近战，唉一图书馆的枪不用，拿个榔头，铁链，斧头去找他们肉搏，emmmmmmm你们，唉，没法说 最后的pub谈判，太憨了  看看这几位，你们是来吃饭的吧，表情都是“waiter，我饭呢？”，或是有那种青春校园里，一位漂亮小姐姐进来，全都去看的感觉。。。。你们这群黑帮真的服了   先不说这枪从哪个异次元掏出来的，就算藏手里下面，你们一群人就看着人家过来呗，你们真的是来吃饭的吗？！  右上角这位“唉饭咋还没好呢，好饿” 一屋子的黑帮，让3个就刷完了，一点反抗反击都没有。。。。 sigh，你们这黑帮被女主这么看不起，真的不冤。 — — —  这种动作片，敌越强，我更强的，这样才精彩，打斗打了一群猪，还打的那么吃力，那么主角厉害吗？ 还有这个打斗，软绵绵的，一点不精彩 大女主电影，还有这个“全女班”的设定，完全okay，但是这种真的凸显女性了吗？确认不是高级黑吗？ 白瞎了这么好的演员阵容，设定打造一下真的也是可以的，简直浪费 唉，太难受了,22.0,8.0,16
3,3,30425275,火药奶昔,862c379c0f6faea07bfda229a58e08f2,7167bdad9038c4b38a934ba7070bd534,3.0,2021-07-17 10:49:00,最近的几个片子都是这样，打戏编排的十分粗糙敷衍，演员也是软绵绵的花拳绣腿，看成本也都不算低了，连个正经的武指都不愿意请。可能现在投资方更愿意把钱花在电脑特效上，场面热闹火爆了就好。凑字说两句剧情不合理之处。餐厅从一开始就不让带武器，后面大反派也不敢带武器，那就说明餐厅是个和《疾速追杀》中大陆酒店一样代表着黑道规则和秩序的权威存在，可最后三位女英雄在餐厅里直接用枪把手无寸铁的大反派团灭了，这就太不讲武德了，犯规犯的我猝不及防。,3.0,1.0,1
4,4,30425275,火药奶昔,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2021-12-07 17:37:32,今天聊聊法国 / 美国 / 德国电影《火药奶昔》。 片名 Gunpowder Milkshake / Bloody Milkshake (2021)，别名血客联盟(台)。     按照影片设定，这个世界上存在一个名叫“公司”（The Firm）的组织，这个组织负责网罗培养杀手，进行各种刺杀活动。女杀手斯卡利特（Scarlet）正是公司旗下的一名杀手。 某次斯卡利特犯了事，需要跑路，丢下年幼的女儿萨姆（Sam）。 萨姆自幼就被迫和母亲分开后，被公司抚养长大，也成了一名资深杀手。     同样的，萨姆在一次刺杀行动中杀了另一个大佬的儿子，同时她还在另一起刺杀任务中动了恻隐之心，给自己带来了双倍麻烦。 这些麻烦很快转变成源源不断的追杀，大佬和公司都派出剩余杀手进行无休止地追杀。 萨姆需要解决这些麻烦，而唯一的方法就是战斗到底。     母女俩的联系就如同片名所写的“奶昔”。 斯卡利特没有抛下女儿前，陪伴照顾女儿的时间就很少，偶尔的联络就是两人面对面坐着，同喝一杯奶昔。 影片从奶昔开始，一路血腥厮杀，直至杀出一条生路。     女主角萨姆由“星云”凯伦·吉兰（Karen Gillan）扮演，母亲斯卡利特由“瑟后”琳娜·海蒂（Lena Headey）扮演。 琳娜·海蒂仅仅比凯伦·吉兰大了14岁，现在已经开始演妈了。14岁年龄差不算大，并且在影片中也是这样设定的，斯卡利特是女杀手，她在非常年轻的时候生下女儿，和两位演员现实生活中的年龄差相符。     此外担任重要配角，有不少动作戏的三位图书馆管理员分别是卡拉·古奇诺（Carla Gugino）、杨紫琼和安吉拉·贝塞特（Angela Bassett）。她们每人都有一段属于自己的solo戏份。 可以很明显看出，这是一部女性挑大梁的动作电影。 这年头女性动作片大行其道，仿佛只要设立女性做主角，然后找来一群陪练，打得热闹就行。     《火药奶昔》优点十分明显，缺点同样肉眼可见。 先说优点。 1.影片由大女主以及全女性构成的正义阵营，颜值上来说就很养眼。 一头红发、身高1米8的凯伦·吉兰不论在哪个场景都是最耀眼的仔。甚至和她做对手戏的男演员都不那么好找，要找到在身高、气势上压倒凯伦·吉兰的人也不是那么容易。 其他几位女演员同样不落下风，都画着精致的妆容，拳脚上下着功夫，纷纷争奇斗艳。     2.影片拥有非常非常有趣的动作编排，很大程度抵消了非专业动作演员短板。 各种奇思妙想的战斗镜头让人忍俊不禁，女杀手们在处于劣势时，充分发挥聪明才智，把喜剧与动作有机融合。让人不由地感慨：居然还可以这么玩。     缺点同样明显。 1.故事剧情稀烂，非常稀烂。 影片想学《疾速追杀》系列却只学到皮毛，忽视了最基本的讲故事。 电影最基本的还是要讲好故事，如果故事站不住脚，打得再有趣也只能流于表面。 影片最大的短板就是生硬的情节设定，观众们都会感到尬到抠脚。     2.故意制造的性别对立。 虽然影片很聪明地没有明说任何有关性别的内容，但在角色设置上显露无遗。 男性全部是又蠢又坏的形象，女性个个英姿飒爽。 女性形象涵盖各种肤色，以及各种性取向，又绝对的政治正确。     3.动作软绵绵，毫无力道可言。 除了杨紫琼，片中都是非专业动作演员，因此武术动作依靠穿插剪辑完成，看起来就很假。如果不是动作场景的趣味性，整部影片的观影效果会大打折扣。     巾帼联手爽一把完事， 值得一看不值得深究。     这里是硬核影迷集散地，欢迎关注公众号：妙看影视,,,0
5,5,30425275,火药奶昔,53060d676760a5af9b50c993c044b4dd,27792605f30dbe6d2f2fe3224dc02893,2.0,2021-11-30 04:56:32,挺失望的    凯伦吉兰是我挺喜欢的女演员  《勇敢者游戏》和《复仇者联盟》里的表演也让人对她的动作戏有所期待  再加上瑟曦和《紧急呼救》的女警察  本片我期待是一部优秀的女性动作电影  要想比肩《疯狂的麦克斯4》的塞隆  《杀死比尔》的乌玛瑟曼等等不太现实  至少希望接近《安娜》或者《极寒之城》吧 可惜差的远  这就是《约翰威克》的女权版和低级版  《约翰威克》也就是个爽片爆米花  逻辑上至少说得过去  这片连这点都没做到   首先动作场面太弱了  第一场在保龄球馆的那场动作戏我就傻眼了  凯伦吉兰那完全没力道的动作是开玩笑吗   图书馆的那场动作戏更扯淡  开两枪后非要去搞近身格斗是脑子不好使吗  后来我想了想不是的  就是女权思想 完全不顾男女先天体力上的客观差距必须要用近身打死男人才算真女性动作电影   然后就是反派太弱智了  铺垫那么久我以为是多么屌的两伙反派感情就是在台词中牛逼  一伙除了人多啥都没有  一伙竟然能被组织中的杀手找到家  无力吐槽   三是剧情BUG多也就算了还是致命的那种  最显著的那个那啥酒馆不能带枪  铺垫那么吊的公司都不敢开战的要把女主给交出去的一个组织老大带了那么多手下进去都没带枪  女主她妈三个人就能带进去然后把反派杀光了  简直了 四是圣母的让人完全没代入感  女主那批人以前杀了那么多人没啥触动   这次遇到个女孩就突然圣母泛滥了我可真的不信呢  这就好比约翰威克杀人无数  然后某天他杀了一个偷了组织钱的人  后来知道这个人偷钱是为了救自己的爱犬  然后约翰威克连这条狗都没见过  一听到狗出事了就圣母心泛滥了  为了救这条狗杀了无数人 你看违和不  然后杀父后还和小女孩相亲相爱一家人我可真的是呵呵了  杀父证道真女权吗呵呵 政治正确没问题  女权没问题  但为了要女权而乱来最后拍出个这种垃圾真的好吗  或许看着女人在电影里乱杀男人女性就满足了吗,,,0
6,6,30425275,火药奶昔,7d4746ac117473417d1b5f1abb61574d,8f58fe78bf209813d552e92f68d24974,3.0,2021-10-28 10:34:27,先说优点： 此片有明显的模仿《John Wick》的模式，通过一个杀手杀光一群人的爽快感来制造观众们对于暴力和血腥的渴望及快感，有《特工绍特》《凯特》等女杀手电影的珠玉在前，《火药奶昔》的女一号凯伦·吉兰（复仇者联盟里的“星云“）很好的完成了她应有的戏份，全程冷漠的脸配合杀手的气质，紧身黑裤的大长腿，确实非常吸睛，除了女主，女主的妈妈，女主营救的小女孩，还有三位”图书馆” (枪械库)的三位风韵犹存的中年女演员，亚非拉的女性们代表都站了出来。一言不合的大开杀戒。“女权”的台词充斥着整部电影，大量复古而又浪漫的霓虹场景使得这个片子有着自己独特的美学氛围，外加上营救小女孩的动机， 就仿佛向全世界诉说一样“别惹全天下的女人，他们一样能把男人干翻”。 缺点： 以往以大女主的动作片而言，男性作为反派一定要比女性强大，这样子当女性战胜男性的时候才显得难能可贵，可惜，此片的动作戏不合格，总感觉所有的男人都在为了女权而故意装疯卖傻，此片中没有一位男性角色不猥琐的，按照我们对于抗日雷剧的标准，弱化敌人就是在侮辱赢得战争的先烈们，你要把敌人描述的强大才，战胜他们之后观众们才会觉得这个胜利难得可贵，很可惜全篇充斥着很多不合理的地方，举个例子，女性天生在力量和块头方面不如男性，ok，她们可以在枪械，做陷阱，或者是头脑方面来打败敌人，可惜的是，很多时候这里面的男反派明明有真枪实弹却非要和女性团队们玩肉搏，而且表现得特别蠢。而且，为了所谓的女权，喊了很多空洞的口号，但基本的逻辑不讲，按照模板一般的三段式，女主转变的契机是为了一个和她毫不相干的小女孩，导演也可能表达了女主不小心杀了她父亲的愧疚感和想要赎罪的样子，但是没有表现好，通篇的所有女杀手，为了一个毫不相干的小女孩，（有可能代表着女权的未来？）就惹了她们平时不敢惹得杀手集团，这个点很难说服观众，这一点不如《John Wick》甚至是20年前《杀死比尔》里的桥段。我网上查了一下，导演是昆汀的徒弟，血腥味是学到了，但是剧本的基本逻辑没有学到。这一点有点可惜。女权方面，想法是好的，值得鼓励，但是有些喧宾夺主，过犹不及的破坏了片子本来的张力，显得非常幼稚。,,,0
7,7,30425275,火药奶昔,ab29a5155e9e7ce85e4f42ba7f5c3125,52cd38336d43f04ef085e6eda060863b,4.0,2021-09-27 21:17:52,女性主题的动作片，还挺带感，女主一家和几个姨真飒，女版敢死队感觉，凑一起加起来200岁了但觉得很酷。影片中世纪英伦风感觉很高级，星云在里面更像工具人，谁演都差不多，而且这里面不涉及爱情部分，还酷酷的。问题是坏人太弱了，大boss出场两分钟就被干掉，停车场插头那还挺有创意，动作设计挺好，双手残废时候一套打戏行云流水,,1.0,0
8,8,30425275,火药奶昔,ab29a5155e9e7ce85e4f42ba7f5c3125,52cd38336d43f04ef085e6eda060863b,4.0,2021-09-27 21:18:18,女性主题的动作片，还挺带感，女主一家和几个姨真飒，女版敢死队感觉，凑一起加起来200岁了但觉得很酷。影片中世纪英伦风感觉很高级，星云在里面更像工具人，谁演都差不多，而且这里面不涉及爱情部分，还酷酷的。问题是坏人太弱了，大boss出场两分钟就被干掉，停车场插头那还挺有创意，动作设计挺好，双手残废时候一套打戏行云流水,,,0
9,9,30425275,火药奶昔,ab29a5155e9e7ce85e4f42ba7f5c3125,52cd38336d43f04ef085e6eda060863b,4.0,2021-09-27 21:20:47,女版主题的动作片，还挺带感，女主一家和几个姨真飒，女版敢死队感觉，凑一起加起来200岁了但觉得很酷。影片中世纪英伦风感觉很高级，星云在里面更像工具人，谁演都差不多，而且这里面不涉及爱情部分，还酷酷的。问题是坏人太弱了，大boss出场两分钟就被干掉，停车场插头那还挺有创意，动作设计挺好，双手残废时候一套打戏行云流水,,,0
