,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,30447123,那些希望我死的人,a76cc07a761ae378d30ad564a0d0d6c4,2b877b4b825b48a9a0950dd5bd1f264d,,2021-06-02 00:51:42,全剧唯一秀出来的就是芬恩利特年少的演技， 剧情稀碎，国内编剧都编不出来这么差的剧本。 衔接的乱码七糟，警察全灭，开局杀人如麻的杀 手折在孕妇手里，一个怀孕六个月的孕妇拯救 了警察来突出女权吗？ 白瞎这么大的场景了，爆米花片都不配，就是那 明星骗票房。安吉丽娜朱莉 艾丹吉伦已经沦落 到这样了吗？,8.0,5.0,4
1,1,30447123,那些希望我死的人,3c6d36b7d36f69322e1ebc72df385e38,d33c14d7c10c6a3c4277c0fcfab523cc,3.0,2021-10-29 12:07:26,"故事的开始，安吉丽娜朱莉身为消防员，在一次救援中好像是因为失误，造成了人员伤亡。 从此以后，朱莉就开始放飞自我了。 那些“希望我死”的，大概说的就是朱莉本朱。
     而这个时候，一个风马牛不相及的会计师，很快就要大祸临头。 话说，会计师做到一定的高度，风险还是蛮大的。 当金额越巨大，背后的阴影好像也越多。 这个时候，一个“良心”的会计师，基本上就是拿自己的小命开玩笑了。
     说起来，这水还挺深的，但究竟谁才是幕后大老板，这故事里头可没说，留给观众放飞想象力。
     会计师很快就领了便当。 留下了自己的孩子，阴差阳错的和朱莉遇上了。 杀手和消防员的战斗眼看就要开场。     但杀手虽然很“专业”，但是毕竟不在自己的主场。 在面对“天打雷劈”都能大难不死的朱莉面前，竟然还“死不死”的准备放一场火来解决问题。
 人家一消防员，而且身在主场，你说这杀手这“作死”的做派，除了送人头以外，还能有什么“别出心裁”的结局？ 说实话，故事略显平淡。 类似受过创伤，必须通过一件“大事件”来拯救自己灵魂的故事，也太多太多。 一个人的自我救赎，如果总是希望通过一件“大事件”才能让自己释怀，貌似有那么一点点不对味儿。",,,0
2,2,30447123,那些希望我死的人,c04ca88239fd9e42547c9b8faa34682d,8cbb1e1cfc416a76ad009ee578fb2a9d,4.0,2021-08-02 10:26:01,该片整体观影效果还是不错的，讲述森林性感女消防员保护掌握某公司财务机密的高管之子被追杀的故事。开篇没有拖泥带水直奔主题，情节紧凑，惊悚氛围恰到好处，是一部2021年上半年电影中等偏上的正能量惊悚片，小男主的演技也必须亮一颗星。剧中一些细节的逻辑与合理性可圈可点，但并不影响全局，另外两名杀手明显后期变弱也是在情理推测之中。影片结尾留了个小开放式，如果观影反应较好应该会拍续作。 演员表现力：四星 惊悚吸引力：三星半 故事创新力：三星 整体评价：三星半,2.0,1.0,0
3,3,30447123,那些希望我死的人,133ee538147df338484ab432f5f0d5d1,badaeef7a21530dac1dab63567089737,3.0,2021-06-24 23:10:04,故事、拍摄、演技都不错，尤其是节奏很快，很符合这种硬核犯罪动作片，而且大咖云集，还有我喜欢的安吉丽娜朱莉。但是，还是剧情拉了胯，比较遗憾。 从剧情来看，故事讲好了，就是朱莉版的《绝岭雄风》，朱莉是心存内疚的专业森林消防队员，两个武装到牙齿的职业杀手也够凶残专业，为保护一个手握证据的小孩，正邪双方在森林和火场中激烈碰撞，绝对可以很精彩，但是实际确实很一般。 几个人民群众加一个小盆友基本没悬念的干翻了两个貌似非常专业的操作猛如虎的职业杀手，确实儿戏了一点。尤其矮个杀手也够衰，被车撞被火烧，最后死于孕妇手中。 看了开场十分钟，我就以为是一场朱莉版绝岭雄风。朱莉的跳伞技能、野外技能、消防专业技能，还有古墓丽影的各种开挂技能，会在森林主场给源源不断杀来的坏蛋一场烧烤盛宴，结果，就打完收工了。,4.0,,1
4,4,30447123,那些希望我死的人,11cdd0bcfd93d28445fecdc781a9b8c0,980673862f0ee88f395179c89a9d873a,5.0,2021-06-10 02:56:24,"我不知道为什么很多好莱坞或者咱们拍的片子里孩子为什么在嗝了亲爹妈以后还能很开心的去玩,除了在完蛋那一刻还能叫几声或者流几滴眼泪以外~没出电影里的几小时就能很平静的面对其他事情.但这部电影真心不错.起码把一个孩子的真实感情拍出来了.其他的真的很low.这片子我没看完.最起码为了这部分的感情我能给出个高分.总比前脚大叫后脚大欢强多了.朱莉的感情也很不错.咱也都知道外国人为毛那么少了.那片森立是真好啊.",1.0,4.0,0
5,5,30447123,那些希望我死的人,f36b2c878b951071fdc24aac45d60894,92682be6cbeda51a2c03b31fd915b028,4.0,2021-06-05 00:26:10,based on book by michael kortya 这部电影根据纽约时报畅销书作家michael kortya， 2014年问世的同名作品改编，片子拍出了落基山脉的大气和那种原始的唯美，铺天盖地的大火更是让人不寒而栗，主要演员的形象似乎非常契合整个影片的氛围。  这是我看过Angelina Jolie 演过的最好看的电影了。在看全片之前，浏览了预告片，就充满期待。 在看这部电影之前，我想到Angelina，她是与众不同的sexy icon， 如史密斯夫妇、Tomb Rider里的劳拉，Original sin等等中都可以说是此类人物。  这部电影一改往日华丽女主人公的形象，取而代之是一位内心充满愧疚与自责的森林防火员，由于在一场森林大火中没有完成救援任务，内心无比愧疚，终日靠用刀子割伤口的疼痛来减轻自己的罪恶感。 诚然，Angelina已不再拥有青春和性感的外形，但是岁月并没有让她丧失女性特有的魅力，那是岁月沉淀下来的美，饱含睿智，坚韧不舍，永不服输的精神，所以在一队男性荷尔蒙爆棚的硬汉消防队员中，她的存在在片子开头一点也没有违和感。  Angelina饰演的女消防员在森林执行任务时，偶然与在逃离被人追杀的小男孩相遇。两人的经历似乎有很多相似之处，一个在不可抗力的火灾面前，无法挽救生命； 一个被强敌追杀而无法反抗，目睹自己的父亲惨死却无能为力。Angelina为了保护小男孩奋不顾身，小男孩在面对如此艰难的处境，仍然不放弃父亲对他的交代，他们二人的人格互相感染了对方，相濡以沫，最终得以绝处逢生。  除了Angelina之外，另外的看点还有Jon Bernthal扮演的sheriff，和她的妻子，一个资深野外生存学校的教员。一直以来我都很喜欢Jon特有的戏路，这部戏里他也诠释了一个无所畏惧的硬汉，森林里被两位dirty cop 逼迫却毫不畏惧的那段戏比较出彩。但确实不及他妻子小木屋里的那场戏。一路追杀小男孩父子的两位警察的扮演者也贡献出了相当的看点，刻画出了经验老道，心狠手辣的dirty cop形象和十足的动作戏份。   没有经常写东西，已经词穷，深夜码字，要睡了。但是，电影好评。 晚安,2.0,2.0,2
6,6,30447123,那些希望我死的人,0a2548db95f62c7757c5ec9907677425,cf27b9ddaa7a6349eb0e51370c80fb27,3.0,2021-06-04 08:00:33,泰瑞·谢里丹横空出世后，一直奉为大神，他参与创作的电影，无论是作为编剧还是导演，《赴汤蹈火》，《边/境杀手》，《猎凶风河谷》，《黄石》等，都是教科书一般的存在，他最让人迷恋之处不是技术或是结构什么的，而是一股浓的化不开的西部情怀，谢里丹满腔生于斯长于斯的故土之情，流淌着他的每一部电影或是剧本之中，说的都是西部与生活在西部的人们的故事，在他的故事中，西部是广袤无垠，风光无限的，也是破败颓废，满目疮痍的，这片土地上的人继承了这种矛盾与纠结，他们凶猛，彪悍同时敏感，多情，无法无天却又有情有义，他们有着辉煌的过去，惨淡的现在和绝望的未来，这样的被时代一点点消融和抛弃的苍凉图景，在满溢后工业元素与符号的当代电影文化中，显得是那么独特，迷人。 然而好像这个时代只有流星，没有恒星似的，谢里丹最近一个导（本片）一个编《冷血悍将》的两部新作在豆/瓣的口碑扑的厉害。后一部没看过，前一部刚看完，忍不住说两句，确实不如以前的作品，但也不像大家说的那么夸张，谢里丹出道靠的是当编剧，这也是他的最富才华的领域，优秀的剧本碰到出色的导演，自然效果加成（譬如《赴汤蹈火》和《边/境杀手》），而他自己导的处女作《猎/凶风河/谷》其实已经比那两部差了好大一截了，当然难能可贵的初持导筒就已经具有了自己的叙事节奏和气氛铺陈。本片是有原著小说的，这多少制约了谢里丹编辑水平的发挥，至于他为什么选择一个有原著的故事来改编，我不清楚，可能是他喜欢这个小说，也可能是偷懒，另外影片中所有的男性角色无一例外全部被杀，只有一个萌萌的小男主也是一个纯被保护的弱小存在，反观两位女性角是三百六十度无死角的拯救者的形象，这样的设定你说没有一点搭女/拳主义顺风车的功利心思，我是不能信服的。 偷懒和功利这两块短板决定了这部电影质量的天花板，大量从未在谢里丹以往剧本里出现的狗血情节和商业片套路大量的出现了。看似心狠手辣，牛叉闪闪的杀手搭档先对付不了一个小孩子，后搞不定一个孕妇；小指头扮演的中年抑郁杀手最后与孕妇对决时无论是智力还是战力都被对方碾压，死的那叫一个平平无奇，郁闷至极；高大英俊的青年杀手本来明明把朱莉扮演的女主揍得满脸开花，鲜血狂飙，不知怎么就莫名其妙被反杀了，看来是坏人必须死的铁律在起作用。女主被过去的创伤折磨一次次从梦境中惊醒，这样的桥段你说说在商业片使用过多少次了？八千？还是一万？因为没能从森林大火中拯救三个男孩子的道德愧疚终究以将一个男孩子救出火海的丰功/伟/绩所抹平了，这女主的数学不太好啊，你还差两个呢！这样的道德圣母内心驱动力适合八九十年代的美国电影里盛行的价值观，现在过时了，如今就是美国人也没这么高的情怀了，没人想着拯救世界，都忙着琢磨挣钱，就像谢里丹自己一样，所以才会选出代表他们心声的创普啊。 话又说回来，谢里丹毕竟是谢里丹，虽然充斥了妥协和讲究，但总还有些有嚼头的地方。 干净利落，绝不拖泥带水的节奏依然如故，深入到骨髓里的西部情愫也还在。在小男孩父子俩在惊慌失措的逃亡路上偶遇一匹马的段落里，开始有了谢里丹的味道，黄沙漫天连地的旷野中，一匹清瘦的小马驹安静又孤独地伫立在那里，吸引了男孩的目光，他走向骏马，轻轻地爱抚它，似乎产生了精神上的交流，这段游离于叙事之外的当然具有多重象征意味，怎么解读都行，可以说这匹忽然出现的俊美的马驹好像天使降临，安抚了男孩惊恐的情绪；也可以说是预言了小男孩之后的命运，很快就会和这匹忧伤的小马驹一样孤独，无依。而我更愿意理解为整个西部精神化身为一匹温柔的小马，与男孩发生了灵魂层面的连接，为他注入力量与勇气，以便抵御即将到来的灾难，并得以幸存。我这么想不是空穴来风，男孩不止一次的说“我喜欢这里”，他与西部有着心灵的亲近，所以这片土地，这片森林也冥冥中保护着他。与之互文的是中年杀手小指头也多次自言自语道“我讨厌这地方”，甚至成为他的临终遗言。所以两个杀手也被这片土地憎恶着，才会诸事不顺，屡屡失手。稍微延伸一点就涉及到了谢里丹一以贯之的母题，后现代工业文明对西部更具原始色彩的农业文明侵袭以及遇到的反噬。小男孩还没有长大，年幼的人类幼崽天生有着更亲近大自然的原始属性，他第一时间就近乎本能地爱上了西部（与马驹的精神相通是明示），反观杀手二人组，他们西装革履，训练有素，但与西部的森林，大山，河流格格不入，小指头防火烧山的举动明显是缺乏对大自然起码的敬畏。其实仔细观察杀手二人很有意思，你看他们善与应用互联网和大数据，同时因上级消减预算而牢骚满腹，一个人干两个人的活，因此出了岔子还得自己背锅，根本就是一对为了完成KPI而拼命加班的苦逼打工人。片中导演用大量细节刻画了杀手二人组的现代文明的属性，乘私人飞机，开越野汽车，笔记本电脑不离身，小指头和上司的会面地点是一处货运集装箱中转站，川流不息的集装箱卡车暗喻着工业文明的车轮已经隆隆驶进这块土地，而朱莉和孕妇夫妇更像是守护者象征着原始西部精神的这片古老森林的守护者，在恶劣的自然环境中锻造出一幅钢筋铁骨和坚强意志的她们面对侵入者是一点不含糊的，影片为了增加她们身上的坚韧特质，分别安插了明显的弱点，孕妇不言而喻，腹中的小生命造成了很大的累赘和痛苦，而瘦削的朱莉频频两次被雷劈，最后被痛殴，相对色厉内荏的男性角色，女性可以忍受一切痛楚的品质，是她们无论面对的是男人的暴力还是汹涌的大火，都能幸存下来。 最后的一次森林大火漫天铺地，明显有着荡涤一切的灭世意味，值得玩味的是结局，所有的好的坏的成年男性都死去了，留下的是女人和孩子，来创造一个更美好的明天。  标题的出处  第二次出现,2.0,,1
7,7,30447123,那些希望我死的人,9ab02337bb25f7704f63df061eeb78ba,fc32dcbe43d7d1ab30aed68b8baec79e,3.0,2021-06-02 12:54:00,"2005年，布拉德·皮特42岁，安吉丽娜·朱莉30岁，这一年两人因合拍影片《史密斯夫妇》而戏外生情，确定了恋爱关系，2014年两人选择在法国举行了隆重的婚礼。 时光荏苒，白驹过隙，2021年布拉德·皮特58岁，安吉丽娜·朱莉46岁，这一年两人在离婚后因孩子抚养权问题对簿公堂，闹得是沸沸扬扬，人尽皆知。 不可否认，两人都是当今好莱坞的顶流，布拉德·皮特是第92届奥斯卡最佳男配角奖获得者，安吉丽娜·朱莉是第72届奥斯卡最佳女配角奖获得者。 但情感上的纠纷，并没有影响两人演艺事业的步伐，布拉德·皮特未来有《僵尸世界大战2》将要上映，而安吉丽娜·朱莉未来有《永恒族》将要上映。 因主演《古墓丽影》系列电影而扬名国际的安吉丽娜·朱莉，经过多年的打磨,在今天看来她的戏路跨越性非常的宽泛，各种不同的角色她都能灵活精准的应对。 2021年由安吉丽娜·朱莉主演的影片《那些希望我死的人》,虽然有华纳兄弟影业的加持，但也不过是一部中小成本制作，影片由缔造了高口碑佳作《猎凶风河谷》的导演泰勒·谢里丹执导，朱莉在片中出演一名护林员。  虽然影片多处对广阔的大森林进行特写，但是影片的故事却是以因两名职业杀手的追杀任务为主线，两名冷酷无情的职业杀手，利用虚假的掩饰身份对一切有阻碍的人，都会毫不犹豫地扣下扳机。 只是在追杀一个漏跑的孩子时，两名高手遇到了麻烦，因为这个孩子意外的遇到了朱莉饰演的护林员，还意外地遭到了警察妻子的顽强抵抗。 结果，两名身手不凡的职业杀手，一名死在警察妻子枪下，一名命丧护林员朱莉的利斧。  相比较来说，就影片中的设定，虽然朱莉是当仁不让的头牌演员，但是论在片中的角色表现，存在感确实很低，当我们看到片头两场挑战降落伞的镜头时，影片刻意制造了她是一名高手的假象，随着剧情的推进，证明她的身手实在有限，作为专业护林员，而且在专业性知识储备下，还被雷击了一下。 相比较而言,警察的妻子，在怀有身孕的情况下，还可以利用喷射火焰和猎枪重挫对手，综合素质甚至要比她的警察丈夫还要厉害得多。  不过透过影片几处让朱莉心想梦绕的多年前大火烧死孩子的事件，可以看得出她一直在深深的自责，所以当她遇到被追杀的孩子时，她的想保护意识十分的强烈，最后她把利斧插进残忍的杀手身上时，她的愤怒犹如对待吞噬了孩子的森林大火一般，我们完全可以看作是护林员朱莉的正义救赎之斧。 总体来说，《那些希望我死的人》是逊于之前的《猎凶风河谷》的，而且片中也极度缺少一个类似杰瑞米·雷纳那样的核心正义人物。 虽然朱莉在影片海报上占据了大面积的位置，但是这部由她主演的影片，在影片逻辑上来说，与她的关系还真不大。【END】",1.0,1.0,0
8,8,30447123,那些希望我死的人,3c28f1ff15303f60708df779c6da4ca8,b86128ca8428b04e6f00c023681631f2,4.0,2021-05-28 10:52:11,其实片子质量要比评分好，场面特效与情节紧凑度都做的不错，绝对算是部精悍的动作片。几个反杀情节设定都很有逻辑性及可信度。朱莉戏份不多，几个反派跟配角反而记忆度会比朱莉高。朱莉在里面太瘦了，走邋遢路线想看女神火辣身材的可能要失望了。里面有个背包的镜头太像古墓丽影了，哈哈短暂出戏。如果论纯粹动作片目前来说应该能进年度前五。,2.0,2.0,0
9,9,30447123,那些希望我死的人,a8565964d6f6777e8d87b8353ee6bdd2,6754901c24cff7a6ab63b9a7dc41d491,3.0,2021-05-20 17:52:36,昨晚看了这一部朱莉的新电影，总体来说导演和演员都完成的很完整，就像写作文，时间地点人物三要素都具备，但是看完之后有些小小的失落，一个恢弘的场面聚焦了一个温情脉脉的小故事，除此之外，有些浪费几个主演的演技。 尤其是那双湛蓝眼睛一脸深情 的尼子，他就是一个没有感情的无情杀手，作为一个工具人出现，实在有些浪费，只是在看见警察家里孩子的东西是动了恻隐之心，这时候他残存的一点儿人性光辉放大了一些。 朱莉是个悲情人物，她因为对风向判断的失误致使孩子失去生命从而患上无法治愈的心魔，恰好，查出真相逃亡的男主带着儿子跟她相遇，这是冥冥中注定的事情，她的心魔注定要被这个孩子救赎。 因为朱莉内心有对孩子的愧疚，所以在面对小男孩儿的时候，有本能的爱和保护欲望，她无私的想帮助他；接着俩人开始相依为命也相互取暖，在逃离和躲避的过程中产生了深厚的战友情。 只能说，朱莉将这个角色完整的演绎了，但不并不出彩，可能是因为故事的原因 相反，另一个人物令人印象深刻，值得敬仰，那就是警长的妻子，她作为一个即将临盆的母亲，为母则刚是她生存的希望和本能，她不是为自己，是为肚子的孩子，不愧是警察的妻子，反应能力和勇敢程度都令人钦佩，在跟杀手周旋的过程中有勇有谋有胆，小指头死在她手里是理所当然的事情 只是，影片的最后有些仓促结尾，可能是编剧刻意为之，令人思考，只能说，这个片子，有些浪费 了几大主演，核心有些太弱了！,,,0
