,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,32493666,追虎擒龙,406600a98921b257661587a53a85141b,c575e7766c5eb2c5281610735c0c2526,5.0,2021-06-13 14:27:28,2021.追虎擒龙 5.5 王晶导 犯罪 廉政公署驯服跛豪和吕乐 因为坚持才会有希望 人人被命运裹挟无可奈何 内心戏饱满动作戏过瘾 服化道到位街景逼真还原 郑则仕的猪油仔入木三分 王晶把雷洛跛豪的故事拍了N次，这次最不商业，所以分数低，但同时也最有野心，直接影射今天的利益集团，而且饱含了对香港与中国未来的双重思考。 影片的基点是，贪腐集团维护了社会安定带来了繁荣发展，人人有工做有饭吃，社会欣欣向荣，这里的影射意味不能更强。是权钱交易的潜规则建立了秩序，因为人类社会一直都依靠利益运转，人人求利就必须分成三六九等，所谓的平等其实古今中外都不存在。然而，时代会发展，既得利益者一定会抗拒改变，所以他们一定会盛极而衰，注定了要被淘汰。 香港的问题出在哪里？在于利益集团不断推高房价，让普通百姓看不到未来的希望，酿成了广泛的社会不满。而当中央政府着手解决问题，这些集团又抗拒监管，煽动民变。影片中徐乐让警察怠工，造成社会混乱，明摆着就是影射香港这几年的乱。那么如何把这些利益集团连根拔起？影片也给出了提示，就是打破他们的攻守同盟，挑动他们内乱。 中国的问题更复杂。资本家在全世界搞全球化不择手段牟利，但是在中国踢到了铁板，所以这两年冲突不断。今天西方世界的舆论和政府都操纵在他们手里，全球顶尖的科学技术和军事力量都操纵在他们手里，所以无论软的硬的他们都不怕，而且还在利用今天的疫情抢占道德制高点。最可怕是到处都有官商勾结的庞大的贪腐集团，就好比影片中的香港，连政府的机体都已经被贪腐深度地毒害侵染。如果连自己人都不能相信，我们还能拿什么跟他们玩？ 王晶的意思是成立一个独立的干净的部门，就像香港的廉政公署。然后中央要对这个部门大力支持大肆宣传，赢得广泛的民意支持，就像影片中的舆论战。最后还必须授权，要给这个部门尚方宝剑，让它有能力清除机体内部的毒瘤。说白了，就是要充分发动群众，打一场人民战争。今天全世界的人民都被资本欺压甚至形成了习惯，所以我们应该把全世界的人民都团结起来。 这条路没有错，但是在规则和制度上需要有设计。应该充分利用互联网工具，通过民间的方式来运作。 首先是规则透明开放监管，一切规则的制定修改都由大家讨论决定，这相当于是去中心化的管理模式。只有这样才能使它变成属于每个人自己的平台。然后我们的管理员，更多是通过私下沟通和舆论引导来带方向，实现隐形控制。 其次是等级制，也就是对大家的公益奉献决定了每个人的等级，而这个等级直接和利益挂钩。说白了就是利用互联网工具实现社会治理，惩恶扬善。我们可以让十个人抢一把椅子，只有排名在前十分之一的人可以得到获利机会，谁想获利就多做公益奉献。至于获利渠道，我针对线下社区设计了四大类几十个项目，感兴趣的朋友可以私信交流。 第三是服务能力，要能够为所有用户提供独家的定制化服务，更重要的是服务可以只给一半，谁感兴趣就得给管理员出钱出力做贡献。这方面我给几万部电影做了70字的标签，支持关键词检索，真正目的是从电影检索延伸到所有互联网内容的检索。因为人人离不开网上的内容，谁能提供更好的检索服务，就占据了未来的制高点。感兴趣的朋友可以关注我的专栏。 最后一条最关键，就是这个平台可以管理所有人的行为，控制力太强，所以它的启动必须得到官方的授权。目前我只得到了默许，他们也在看我能不能做得起来。所以我的态度就是暂时按兵不动，不给我授权就不启动。没有尚方宝剑，我就不可能把它真正的威力释放出来。所以兄弟们目前只能提前占位，顺便挣点小钱。 其实每个草民都在挣扎求生，却常常被环境裹挟无能为力。那么什么才是我们安身立命的根本？我们该如何面对这个复杂纷乱的世界？ 我的建议是八个字：希望诚实，相信报应。希望任何事件的当事人说的都是真话，相信他们会为自己的一切言行承担后果。 因为很多时候我们无法表态，我自己就曾经被多次禁言。既不想被禁言，又想要坚持良知，我们唯一能表达的就是，希望他们没有撒谎。这是从正面和善意的角度看问题，但同时又清楚表达了自己的立场，反对一切谎言和欺骗。 而相信报应的真正含义是，所有人都必须为自己的言行负责，谁也别往上面甩锅。因为任何系统都难免会出错，我们可以不断优化，但是不能把系统推倒重来，所以最重要的是一切错误都得有人承担。只有下面人人担责，才能让上面掌舵的人免责，千错万错都是底下的错，掌舵的人永远没错。只有这样，才能维护系统的良性运转，才能促进系统的主动纠错。 这种态度最有建设性，不仅能帮我们安身立命，还能成为我们的进身之阶。因为只要我们表了这个态，就意味着我们肯承担责任，能维护掌舵者的利益，所以我们就是他的可用之人。无论你在任何企业机构或者社会组织里，这种态度对你都有百利而无一害。 往深点说，每当你公开表达这种态度，就是公开宣扬要让掌舵者免责，这就等于是维护掌舵者的利益。你在网上得到再多的赞，都只是你的个人利益，但是发表这种观点得到的每一个赞，都是你给掌舵者做出的贡献。我在做的系统，就是要对每个人给掌舵者的贡献量化评估，永久备案。希望以后全世界无论谁想得到利益，都可以给我们的掌舵者做贡献来换。 我相信，旧的秩序一定会被新的秩序取代。旧的秩序是权钱交易，新的秩序就是公益奉献。  下面梳理一下关于权贵如何垮台的电影。以下内容来自于我给几万部电影做的标签，查豆瓣短评用70个字概括一部电影的优点，相当于豆瓣的浓缩版。 1997.摇尾狗 8.1 巴瑞·莱文森导 黑幽 柏林评审团 影射克林顿性丑闻 阴谋论的集大成 幕僚都是狗摇着总统这条尾巴 把政治传媒电影商业讽刺个遍 展示了如何通过景观媒介控制人心 2007.棺材200 7.3 政治 即将分崩离析的社会人人自危 强权社会的腐败失衡源于自身的以暴制暴 痛入骨髓的荒诞寓言 苏联解体的深层隐喻 极端变态恶趣味至极 人物丰满立体 2009.囚室211 8.0 西班牙 讽刺官僚腐败的力作 人性在夹缝中的挣扎和抗争 体制不讲诚信才是真正的暴徒 政治之下谁都是棋子 映射的现实似曾相识 节奏紧凑剧情抓人 画面叙事风格犀利 2009.金钱帝国 6.5 王晶编导 犯罪 跛豪的改写版 廉政公署成立的自传 每一点进步都经历了撕心裂肺的阵痛 很真实很震撼 折射了内地转型期的现状  2012.套利交易 6.9 犯罪 揭开亿万富翁焦头烂额的人生 雄辩之下满是谎言 帮所有人保住饭碗却被所有人抛弃 没有一个好人批判的够狠 金融都是骗局 环环相扣心理战精彩 权贵们更会掩饰和欺骗 2013.较量 8.3 悬疑犯罪家庭人性 误杀瞒天记的最初母版 恶警催生刁民电影刺激灵感蚂蚁扳倒大象 细节设置更合理生活感更强 平静中突然迸发的激烈 以小博大的典范 2013.大西洋帝国 第四季 9.3 政府是最大的黑社会 根子里的腐败促成了虚假罪恶的繁荣 血淋淋的世界充满希望与背叛 帮派才是底层致富的唯一途径 叵测与宿命交织满是无力 2015.聚焦 8.8 人性犯罪传记 奥斯卡影片 调查天主教性侵丑闻的攻坚过程 凌厉割喉的步步求证 极度冷静克制于无声处听惊雷 教会组织自上而下的制度性丑恶 抽丝剥茧丝丝入扣群戏精彩 2017.王者 7.7 政治犯罪人性 极尽所能描写检察官们荒淫无度腐败丑恶的黑历史 囤集各方黑幕操纵舆论下狠手除掉异己 要做主人的主人 色彩人物隐喻都非常大胆 镜头语言转场非常棒 郑雨盛好帅 2017.亿万 第二季 9.3 检察官和金融大鳄的较量 都有各自的欲望挣扎善心 赌上一切就为扳倒对方 口口声声公平正义背后全是霸权私欲 尔虞我诈环环相扣高潮迭起  2019.黑水 8.5 真实改 一己之力扳倒黑心巨头 在现行法律下斗智斗勇促成制定新的标准 斗争者的心灵状态史 冷峻直接揭示令人惊骇的真相 对中国大陆的现实警醒意义 2020.毒枭：墨西哥 第二季 9.0 世界总能比你想的还黑 好人坏人都注定无法取胜 富可敌国也只是当权者的棋子 赢家是腐败到顶的墨西哥政府 黑美国很绝 拍出了电影级的质感,23.0,17.0,19
1,1,32493666,追虎擒龙,1d11c49430aa57178be2b5a82be02d56,167bacde0b930bbe50b48234b06e6122,3.0,2021-05-03 15:56:58,在香港电影鼎盛的时期，黑帮片，喜剧片，武侠片呈三足鼎立，贡献了一个百花齐放的影视生态圈。我们耳熟能详的‘你有权保持沉默，你现在所说的一切都将作为呈堂证供’‘Yes sir /Madem’，都是来自香港电影和TVB，成为一代人的回忆。 《追虎擒龙》讲的是廉政公署的发展历史。古天乐饰演的陈克试验的法律从业者亲眼目睹了香港警署的腐败:差人过街如同蝗虫过境，小贩惊慌失措，小孩被撞倒受伤，黑帮分子因争夺地盘群殴，被捕的却是受害者，香港在黑帮老大跛豪和署长徐乐的勾连下暗沉无光，事事要交保护费，有权有势的嚣张跋扈，没权没势的任人鱼肉，在正义感的驱使下质问徐乐并收集证据准备状告，却遭到殴打警告。白松安找到了他，两人有着同样的理想，同样的热情，恰好港督要建立一个独立部门来彻查清扫腐败问题，两人搭档后招兵买马，廉政公署就此诞生。 一面是遮天蔽日的旧势力，一面是理想正义的新联盟，一场正邪之战拉开序幕。徐乐当年也是个人物，在英国人手里一点点爬上来，给灰色产业置定游戏规则，通过画大饼人人分得一杯羹获得权柄，所谓的时势造就英雄。作为一方枭雄，他有勇有谋，心思深沉，当着面和跛豪称兄道弟，话里却是要从虎口夺食，围绕去泰国进货这个提议，两大戏骨前后两次争锋，把两人利益至上的联合状况和黑帮黑警的心机手段彰显的淋漓尽致，张力十足。面对陈克的步步紧逼，徐乐两次规劝‘年轻人，有理想是好事，可是理想也是会变的’，虽然是倚老卖老，但还是有两分真感触，怎样从屠龙者变成恶龙，只有他自己最清楚。权力对人性的腐化，足以让一个人变成另一个人。陈克和白松安之所以相信自己的决心，归根结底是因为廉政公署是独立于官僚体系之外的部门，要想不被腐化，办法只有一个，就是永远不要接触权力。 人性是永远经不起考验的，有七情六欲就有弱点，有点弱点就有了桎梏。猪油仔心疼孙女，想着移民英国，年轻的差人组员想上进，想得钱，追虎擒龙，讲的是背叛。组员背叛廉政公署，导致全员在仓库被黑社会围堵，刀斧棍棒中，组员三人受伤，两人死亡，牺牲的两人中就有一个是白松安；猪油仔在跛豪和徐乐两大势力的夹攻下，被机场枪杀事件吓得魂不守舍，终于被廉政公署敲开嘴巴，决定做污点证人。最紧张的武戏和文戏场面，就在背叛和说服中进行。权钱是永恒的，而对生的渴望更急迫的压倒一切，人们熙熙攘攘为利而来为生搏命，其实和工蜂工蚁又有什么区别？ 徐乐和跛豪的被捕，说到底是一个时代结束了，旧秩序不再适合新时代的大众利益，只能被淘汰。,10.0,2.0,1
2,2,32493666,追虎擒龙,ab0e9ba8d1e6c91137e183ab1d156b27,3a9cd088ed8bd4dbc698eb9adaef9a5d,3.0,2021-05-02 16:07:30,三星/6.8 新瓶装旧酒。最大看点还是这几张常看常新的老脸互相飙戏，最喜欢吴镇宇的雷洛（我还是最喜欢这个化名）和郑则仕的猪油仔，两人的对手戏是我看的最投入的，比《五亿探长雷洛传》的华仔达叔也不逊色，雷洛被捕香烟一抽还辣么帅真的过分了。梁家辉的真•整容式演技版跛豪也是霸气侧漏，和吕良伟版、甄子丹版相比都不输。相较之下专业反贪50年的古天乐就脸谱化了一些，林家栋的角色更是太工具人，没什么发挥空间，倒是姜皓文这个小角色更可信一些。故事还是菜鸟成长+枭雄末路的老模板，ICAC到处神兵天降亮证抓人略潦草了。养殖场那场动作戏几乎把黑帮处理成丧尸一样，调度非常成熟也很紧张，但某人强行牺牲实在是说不过去（离窗口就隔10米有功夫俩人对眼没功夫跑？），倒是机场伪长镜头拍得属实扣人心弦，当然也得益于郑则仕的逆天演技+走位，行动线清晰，运镜也到位。致敬五亿探长2秦沛那句台词也get到了。王晶还是有点东西，换个角度一样拍的工整流畅，换别的导演一块料拍三四遍早扑街了。 PS：映后问答互动赢了一套《追虎擒龙》明信片，嗨森,21.0,3.0,10
3,3,32493666,追虎擒龙,390793b15838ddee78d0cc483cbee93f,5df0d0a91894aa47520624efb9a235b5,,2021-05-09 18:36:49,剧本相当单薄。 前面部分相当拖沓，情节琐碎，看得我困意连连，感觉没什么特别抓人眼球的内容。 后半段有了一些追逐打斗的戏，白松客的牺牲感觉在刻意营造英雄主义。当然也或许是他看到自己手下被杀后，决心已死来反抗和拖延时间。 结尾，中规中矩地收了尾，没有反转，也没有任何升华，依旧是简单的正义终将取胜的传统。 只能说辛苦四位影帝级别的演员了。,7.0,2.0,6
4,4,32493666,追虎擒龙,431cc604c7246955e3516c0ea6080e3e,2642413207fb5f3a9e824d5d7485a79c,3.0,2021-05-05 14:01:39,王晶对四大探长和跛豪的那段黑历史，大约是真爱了。 这不，又双叒叕弄了部《追虎擒龙》。但是豆瓣开分没到6，在这个假期也没真正冒尖。 似乎是观众看多了此类故事有些审美疲劳吧。 没错，的确是新瓶装旧酒，但其实它还是个双重闭环。一头是《金钱帝国》，另一头则是《追龙1》。 把廉政公署、吕乐和跛豪串起来再玩一遍，反正是娱乐至上。       01 较量，角力全港恶势力  先来看看这部作品的大致格局吧。正义感爆棚的陈克，甫一出场便和黑白通吃的大探长徐乐来了个针尖对麦芒，把原本平静的宴会搅了个不欢而散。 这么个狠人还真是初生牛犊不怕虎，他不仅没想到徐乐党羽众多，凭一己之力难以匹敌； 更不会想到自己很快会遇到伯乐，也是自己患难与共的好兄弟白松安，并从此跻身廉政公署，开启一段组队勇斗全港恶势力的非凡生涯。    从招兵买马起，陈克和白松安便是另辟蹊径，各正规行业的基层精英几乎捞了个遍，只要有才能还人品好。 犯了众怒被徐乐踢出警队的混子警察，收；觉得留在腌臜警队看不到未来的，收。 开片就是一顿操作猛如虎，招兵买马和徐乐斗智斗勇。 这似曾相识的感觉，其实就是《金钱帝国》里廉政公署和徐乐功角力过程的延伸。 再一看徐乐纸醉金迷不可一世的奢华生活，走哪带哪的收租人猪油仔，雷打不动的四大家族之首跛豪，顿时感觉有内味了。     02 狠人，败给失衡的戏份  要想能唬人，人设要够狠。 事实上王晶从《金钱帝国》开始一直如此，从《金钱帝国》到本片，王晶翻了三个版本的吕乐。 《金钱帝国》的徐乐功（梁家辉饰）、《追龙1》的雷洛（刘德华饰）、本片的徐乐（吴镇宇饰）。 三个版本的总华探长各不相同，徐乐功是典型的暴发户式豪横，雷洛是黑白通吃，对好兄弟跛豪又有情有义，而徐乐，内敛狠辣且老谋深算。    光把吕乐的人设拔高自然是不够的，在甄子丹把黑道情义玩到极致后，又给梁家辉安排了个阴狠老辣的版本。 盘完各版本的人设思路，乍一看王晶好像还真是动真格的？ 实际上到了本作，尽管人设算是升级了，仍旧没撑住。原因很简单，戏份严重失衡，全员狠人也不行。 全片百分之60-70的戏份是廉政公署和徐乐掰手腕，在这种情况下跛豪几乎是真空状态。 跛豪如何开拓毒品交易渠道？徐乐说了算，去不去泰国打点关系都是徐乐一句话的事。    如何展现跛豪的心狠手辣？跛豪的亲信出马，从廉政公署找个内鬼做套，在毒品仓库围堵廉政公署。 表面上看徐乐是明线跛豪为暗线，戏份不均造成了结构上的头重脚轻。 因此本作虽然弄了个全员狠人的格局，实际叙事和人设支撑效果，比起《追龙1》来无疑是倒退。     03 败笔，转折生硬导致的降维  除了戏份不均的问题，导致这出大戏站不住脚的另一个问题是转折生硬。 讲真，也可以说是典型的后半段毁了前半段。 前半段和徐乐的交锋还算节奏紧凑，廉政公署广泛开展涉黑探长调查，徐乐把被查探长逐一灭口。 廉政公署堵了跛豪的毒品，徐乐立马赶到现场救火。 廉政公署鼓励民众举报贪腐黑警，徐乐就以警队自查为由变相罢工。 大开大合的见招拆招确实让观众过了把瘾，怎么看都比《金钱帝国》相对精简的后半段要到位许多。    可到了影片后半段，愣是来了个智力降维打击。 抄底跛豪的毒品仓库被打得铩羽而归，并且是损兵折将。 陈克一计不成再生一计，借口请猪油仔回廉政公署喝茶，在猪油仔的打火机里安装窃听器。 猪油仔居然这么大条，都不知道换个打火机或者检查一下。 随后故事变得如多米诺骨牌一般全盘推倒。 陈克等人借窃听器了解徐乐的动向，再用拷贝录音带促成跛豪火拼猪油仔。最要命的是，跛豪这么个阴狠老辣的大毒枭居然还真的起了内讧。    好好的徐乐跛豪覆灭记变成了反派死于智熄的俗套故事。 其实这种大条思路早在《追龙1》的结尾已经颇为明显，从表面上看是王晶太过热衷娱乐的后果，在我看来其实是创作态度问题。 典型的讲故事讲一半不高兴讲系列。 如果我们把《悬崖之上》看作是酿酒大师偶尔酿了瓶啤酒，那么《追虎擒龙》就好比是酿酒师酿一半曰：“我懒癌犯了，不高兴酿了，各位自己对付下吧。” 反正也只是一次娱乐，而不是《无双》这种认真打造的玩。 只不过，四大探长那段历史，是玩一次少一次了。,13.0,4.0,6
5,5,32493666,追虎擒龙,70a2346726eda2bed40f85ccc9a7c81f,fc381b4549053d01a3e48a71cbc1311b,4.0,2021-05-02 14:42:08,1.  说王晶炒冷饭的大概没明白这次王晶到底要讲什么。 同样的ICAC斗雷洛跛豪，今时今日，时代环境变了，古天乐代表的法律对决吴镇宇代表的警察（郭嘉机器的秩序维护者）的意味自然变了。懂的观众自然懂。 也多亏大陆语境的距离感，如此敏感的时期，如此敏感的港片才得以过审。   2.沿着上一点说。 看到许多人说本片是《追龙》的续集，个人不认同，历史、演义永远是拿前朝的戏讲本朝的事。 本片的调性与之前任何一部有关雷洛和跛豪的港片都截然不同（甚至是正剧气质最足的《跛豪》）。从一开始第一幕配乐中就展现出的悲，替代了过往同题材插科打诨的喜。 如果说大半段都因为审查在70年代躲躲藏藏、遮遮掩掩的话，那片尾曲的点题无疑是昭然若揭的，王晶已经把他想说的，都唱给观众听了。   3.林纪陶老师曾经说《踏血寻梅》是第一部特区电影。 那时候大概没有人会想到，短短几年，从《拆弹专家2》到本片，香港电影完成了社会主义电影化。一向以题材丰富自由而不同的他们，有一天要以《让子弹飞》的方式讲述他们最擅长的类型片之一——警匪片。 两部片子语境太过相似，以警匪片讲一个“被制度化”的社会。 影响主角破案最大的阻碍，永远不是匪，而是体制。这也是大陆很难拍出真正警匪片的原因，体制的障碍是必须缺席的，只能寻找暧昧的变体，如《亮剑》里的政委。   4.今年的HKIFF，翁子光的《风再起时》被技术原因取消了放映。 龙无被擒处，风无再起时。,30.0,7.0,24
6,6,32493666,追虎擒龙,fa8b463aa5ae74a153ec81459eaffa26,8d75cfbbca1e9a0f977402fdeead3861,2.0,2021-12-09 04:31:12,"王晶像极了纵欲过度的武林高手。几十年不动手，正正经经出一次手才发现武功荒废了。
从大上海、金钱帝国、追龙开始，很明显感觉王晶想要很认真地讲好这类勾心斗角的故事，但他真的是越讲越糟糕了。。。
上一部上院线的《追龙2》剧情再一般，但追车、兔兔色诱、拆弹等等段落都拍的很精彩。
这部《追虎擒龙》除了两场枪战是合格线水平，其他地方普通得就像一部豆瓣评分人数不足的网大。  好得出奇的英雄片、烂得出格的喜剧片，都是王晶值得被喜爱的原因。
但这次真的让人失望。因为它不好也不坏。普通得不值得称赞、也不值得批评。",,,0
7,7,32493666,追虎擒龙,e6053a03911ee20b5fe53594afdf38c7,9a0e19d783e8354b2ead5831578275bc,,2021-11-23 13:33:27,感觉来来回回都是这些剧情，没有什么新鲜的，就是换一些演员继续翻拍坡豪，只要这个还有热度，就一直翻，虽然总体来说情节还可以，但是也架不住一直翻拍，都不算是一个系列，就是一部，真的就全部都是老演员老戏骨来撑起来的，总体来说本来看这个电影还是心里比较有一些期待的，但是看了之后，真心觉得特别亏，就是亏，围绕的就是坡豪故事，没有一些新鲜的，来来回回也就是这些，我个人还是觉得雷洛版本的比较好，当然每个人有每个人审美，只代表个人意见,,,0
8,8,32493666,追虎擒龙,9ee5a245337ed87a19b7b2568af23deb,8f9318ae9c111002df18fc0cd89caaae,,2021-11-09 20:02:07,我在家看完了《追虎擒龙》，没看别的因为是古天乐主演的，我也是知道他是一个影帝，电影一般都会不错。但我觉得这个电影稍微逊了点，虎头蛇尾的感觉，电影中抓到黑帮的亲信，就得到证据，有证据直接抓人，但是被抓的人都没有过多的反抗，并好像默认了没有翻身之地，那毕竟你也是黑帮首领，能伸手遮香港的半边天，有了证据一下就被一锅端了。电影中的演员表演的还是可以的，几个影帝一起同台演，还是很有看头的。电影告诉我们的就是徐乐和跛豪的被捕，说到底是一个时代结束了，旧秩序不再适合新时代的大众利益，只能被淘汰。就这部电影来说，这部以廉政公署为视角的讲述当年香港由乱到治的电影，本应该是一部反黑除恶的正能量片，结果呢，看来看去，我就只看到了其中黑帮片的风格。特别是其中那场查仓库的情节，就像是黑帮之间的火并。看得人很尬的。并且双方打斗时演的比较假，主角光环太明显，没太多意思。总体来说这部电影谈不上好电影，但不至于很烂。,1.0,,0
9,9,32493666,追虎擒龙,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2021-10-05 21:53:11,今天聊聊电影《追虎擒龙》。 片名Once Upon a Time in Hong Kong (2021)，别名金钱帝国：巅峰之战 / 金钱帝国2：四大探长。     《追龙》的成功让王晶看到了一条省时省力的“创作”之路，仿佛只要带上五亿探长和跛豪就能成为爆款。 《追龙》网剧、《追龙2》紧锣密鼓的上线，评分惨不忍睹，一直到这部集结了五位影帝的《追虎擒龙》，继续延续了王晶的烂口碑。凭借王晶一贯稳定地输出烂片，很多人都怀疑《追龙》是不是他拍的，就像很多人怀疑内地某大导演的巅峰之作一样。     《追虎擒龙》依旧关于五亿探长和跛豪，叙事的重心转移到廉政公署，从廉政公署的角度讲述这段传奇故事。 有趣的是，本片开篇明义，表示这是一部“虚构作品”。这就让影片立意变得很微妙，精彩绝伦的真实故事不改编，只取了主要人物关系和时代背景做虚构创作，编导功力所限，拍出来的电影令人感到十分别扭。     影片中集结了古天乐、梁家辉、吴镇宇、林家栋、郑则仕五位影帝，他们分属两个阵营。一边是想要铲除贪污腐败的廉政公署，另一边是想要维护辛辛苦苦建立起来旧秩序的既得利益集团。 从几位演员在片中的表现可以看出，他们用力表现，想把角色演好，但架不住这“虚构”的剧本，无法施展，角色大面上的逻辑站得住，但具体行动时却显得很跳跃。     殖民地的人永远不会拥有尊严。这么简单的道理为什么有人总是装糊涂。 在初期各方势力野蛮增长的时候，黑警嗅到了机会，联合黑帮瓜分了地盘，统治者也从中获益，省时省力还赚了一大笔。 当统治者不想继续时，便培养了另一拨人去解决另一波人。而反腐就是最有效的手段。     说白了斗来斗去的都是棋子，每一波势力发展起来时，都坚信自己在做正确的事情，只是还没有发现自己的位置而已。 香港成为犯罪天堂不是没有道理的，历史证明，英国佬最为擅长的就是做搅屎棍，祸水外引、矛盾下移，玩得溜溜的。抓住大老虎，看似是廉政公署的胜利，其实是统治者维稳的另一种手段。 可能他们看出了这个道理，但是不敢拍，只能虚构一个故事，让两种势力像过家家一样更迭。     占据影片不小份额的动作戏也成为新短板。 一个简单的动作镜头，要来回切换多次，画面连贯性严重受损。原本加入的动作戏就显得很生硬，没想到加入的动作更生硬。 作为动作戏高潮，黑帮围困廉政公署探员的一段，愣是拍出了丧尸围城的感觉。了解的人知道这是在开展反贪斗争，不知道的还以为跑进了《生化危机》片场。     剧本动作全线短板， 爆炒冷饭浪费影帝。     这里是硬核影迷集散地，欢迎关注公众号：妙看影视,,1.0,0
