,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,32568661,妈妈的神奇小子,4523604f513c9c3a8f9fee4f5b9218cf,99d61ec4eb4faa99f0d892c1bc1692ba,4.0,2021-09-07 10:26:25,"影片根据残奥冠军苏桦伟的真人真事改编，讲述了无法正常站立行走的苏桦伟，在母亲的帮助和鼓励下，被残障田径队选中，夺得残奥会冠军的故事。     苏桦伟参加过四次残奥会、拿下6枚金牌、数次打破世界纪录，被港媒称为“神奇小子”，而跟他一起创造奇迹的，是他的妈妈。     影片以妈妈的视角切入，来讲述苏桦伟的人生经历，妈妈对苏桦伟人生起着至关重要的作用，帮他度过一个个人生难关，获得巨大成功。 1、在苏桦伟童年时期，妈妈是一个引领者 苏桦伟到了上幼儿园的年纪还不能走路，汽水店老板可怜他残障，请他喝汽水，苏妈不但不感激，还冷声质问：“为什么你要请他喝？为什么不请那些小孩喝？”  





   苏妈不允许儿子成为他人怜悯的对象，这也是她教给儿子的第一课：要有自尊，有尊严地活着，不因为残障就认为自己比别人差。     苏妈背着孩子上班，丢了几千块的助听器，还耽误了流水线做工，被老板骂、被同事嫌，到了晚上，却发现孩子不见了。     苏妈惊慌地找了很久，终于在一堆杂物下发现了儿子，年幼的苏桦伟只知道傻笑，苏妈气不过，把他放在了传送带上。  





   传送带后面，是一台碎布机，儿子一旦被推进去，必死无疑，可苏妈丝毫没有暂停的意思，向儿子大吼：“走啊，不走我们就一起死！”  





   苏妈想用这种方式，刺激儿子学会走路，但奇迹没有发生，就在她绝望痛哭时，儿子颤颤巍巍，扶着栏杆站了起来，踉跄着踏出人生第一步。  





   2、在苏桦伟少年时期，妈妈是一个陪伴者 随着苏桦伟一天天长大，他不仅会走了，似乎还特别会跑，被几个混小子抢钱时拔腿就跑，几个正常的孩子都追不上他。  





   苏妈发现儿子的跑步天赋后，她带着儿子去报名残障田径队，可训练远比她想象的辛苦，一练就是十圈起跳，不跑完不回家。  





   苏妈每天默默地带个小马扎，坐在铁丝网外偷看儿子训练，哪怕那里又热，蚊子又多，她都风雨无阻。  





   为了训练儿子的平衡感，苏妈买了一盒盒鸡蛋给儿子踩鸡蛋，家里每道菜都是鸡蛋，直到练到连在弯道跑步都不摔跤。  





   儿子难以忍受枯燥乏味的训练，苏妈便一直陪着他，陪他上课训练，下课在楼梯上跑，在山上跑，追着火车跑……  





   终于到了亚特兰大残奥会，男子4x100接力赛上，苏桦伟夺得冠军，创造历史，多年的辛酸，终于在这一刻，达成目标。  





   3、在苏桦伟荣誉加身后，妈妈是一个支持者 苏爸受伤住院后，家里收入锐减，苏桦伟放弃北京残奥会的训练去送快递，苏妈找出经纪人的名片，为他争取拍广告的机会。     说好的一个广告，却变成了拍不完的广告，占用训练时间的同时，苏桦伟也备受屈辱，导演让起跑时把头掰上去，做出痉挛的样子，嫌弃他没有表现残疾人特质。  





   苏桦伟向苏妈抱怨，焦头烂额的苏妈却让他忍耐，甚至说出了这种话：“让你怎么说你就怎么说，说得太流畅你才做不到吧？”  





   苏桦伟不能忍受尊严被践踏，也无法忍受母亲的掌控欲，母子两人在体育馆爆发了一场激烈的冲突。  





   面对儿子的指责，苏妈哭泣着说：“你残废是天生的，没人会怪你，人家只会怪我…”     正是因为这样，苏妈才擅自安排好苏桦伟的一生，让拍他广告攒够钱，退役后也能有好的生活。  





   最后一场比赛上，苏桦伟连输两场，所有人都觉得没希望，苏桦伟想着苏妈那句“望着妈妈，set，go!”，打破了自己保持的纪录，拿下了金牌。 电影用了大量篇幅，来展现苏妈的无私牺牲，正是她的支持和信任，苏桦伟才得以成为“神奇小子”，但片中并没有把苏妈塑造成一个圣人。  





   她是一个坚强复杂的女性，在无私和自私间挣扎，她不是一个“鸡汤式”的理想主义者，游走在鼓励儿子追梦和向现实妥协之间。     为了让苏桦伟将来有人照顾，她选择生下弟弟，在对大儿子“无私”的同时，她对小儿子很“自私”。     她带兄弟俩去吃汉堡，牛肉分给需要长肌肉的苏桦伟，弟弟分到的永远是面包片。  





   她不记得弟弟喜欢什么、爱吃什么，弟弟明明参加的是足球队，她却记成篮球队。     她还是一个有控制欲的母亲，儿子的空闲时间要安排，儿子恋爱要干涉，儿子表白也要“代劳”，以爱之名绑架儿子。     除了热血励志的训练比赛、感人肺腑的母爱，影片最难得的是直面现实，触及到了一些残障运动员的真实困境。     比如他们的奖金不高，同样是冠军，奥运冠军的金牌奖励是100万，而残奥会冠军只有2万。     比如他们的待遇不同，他们付出的努力，并没有比健全人运动员少，拿的补贴，却远远不如奥运冠军多，难以同工同酬。     比如他们的保障不够，苏桦伟获得三枚金牌两枚铜牌，但奖金加起来却不到20万，赛后的生活却非常窘迫，为了养家送快递。  





   比如他们退役后的安排，正常退役运动员生计都艰难，更何况是残疾人，苏桦伟送快递时被客户和同事批评的场景，正是残疾人就业难的缩影。     好在现实中苏桦伟比较幸运，刘德华在得知他的生活窘况后，安排他到自己的歌迷会担任文员，让他有了一份稳定不受歧视的工作。     其他人就没这么幸运了，长跑世界冠军艾冬梅为金牌开价1000元，全国举重冠军邹春兰退役后当搓澡工……     《妈妈的神奇小子》中，不仅让我们关注残奥健儿们的梦想和信念，也提醒我们更多地关注他们的生活，给予他们更多支持和关怀。",14.0,1.0,1
1,1,32568661,妈妈的神奇小子,d1e7d4c9d0d89edd1beadead012c9277,bc4a4c9059dd89610dfea9f632841772,5.0,2021-09-21 18:59:06,我自己独自在电影院欣赏完了这部作品，当时是工作日的下午场，由于一整天只有这一场，所以在工作日下午场还出现了没有空位的情况。（也许大家苦于买不到票，所以只能来看这一场。） 我特别喜欢看煽情的电影，这样就可以在电影院正经地大哭一场，所以几乎最近十年上映的煽情电影我都会去电影院真金白银地支持一下，但是我发现很多电影，你哭完了吧，回到家、回归现实之后，就忘了刚才为啥哭了，也忘了刚才为什么而感动了……而不一样的是，我发现这部电影的意境悠长，能够让人在接下来的一段时间内，继续受其影响。 整部电影线条明显，逻辑流畅，剪辑舒适，主要是讲了一个天生残疾的儿童在妈妈的陪伴下成为残奥会冠军的故事。其中，有两个部分非常非常打动我，以至于观看电影之后很久了，我闭上眼睛，还能够全部回忆起来这两段画面，甚至台词的每一个字的语气，我也都记忆犹新。 第一、“外公说你嫁给爸爸的时候没有金器，我以后赢得很多很多金牌，全都送给你好不好？” 这句话也是非常戳人，电影的豆瓣海报首页就是这一幕的截图。笑得像个大傻子一样的十几岁的苏华伟贴在母亲身后，天真无邪的说出这句话，妈妈和观众一起泪目了。我觉得“心疼”是“爱”的一部分，至少是必要非充分条件。你爱一个人，就一定会特别心疼ta，对于ta的状况和难过感同身受。“只要你需要，只要我有，恨不得把我能给的全都给你”这是爱一个人的时候的心态，所以爱和喜欢不一样，喜欢太浅了。 第二、“用力哭，不如用力跑！” 这句话是最最让我醍醐灌顶的一句话，因为我一直都很不成熟很幼稚，情绪波动的时间很多，所以当苏妈对大半夜在厨房痛哭的苏华伟说出这句话的时候，我感觉到非常有道理。坐在厨房宣泄情绪一下是对的，但不能让自己的情绪一直不断地吞噬自己的奋斗热情，如果沉溺于大哭和释放，那么你又如何抽出时间来训练和提升？这句话被我引申成为“用力哭，不如用力学！”我今天晚上本来因为中秋节形单影只而哭了好久，而且因为想念我逝去的外公而难过不已，但是我突然想到苏妈这句话“用力哭，不如用力学！”所以我就来学习了。学着学着我发现，心情慢慢缓和而平静下来。也许在这个世界上我们如此孤单，但是起码还有书籍，还有慰藉。 我常常会这么想，我羡慕这个世界上除我以外的任何一个人，我想成为这个世界上除我以外的任何一个人。衷心希望大家都可以快快乐乐，健健康康，平平安安~~！,23.0,1.0,3
2,2,32568661,妈妈的神奇小子,48e2c914710489c5892eafa8353356b9,ad4e3c38b1d169c7f7d721275693b2a0,,2021-12-10 01:44:08,苏桦伟1981年生，肢体残疾，香港人，香港伤残人田径运动员。4届残奥会、获得6块奥运金牌的香港“神奇小子”苏桦伟是目前男子100米和200米跑T36级残疾人世界纪录保持者。以苏桦伟为原型的电影《12秒58》放映后获得一致好评，令观众非常感动。 中文名称 苏桦伟 国籍 中国 出生日期 1981年生 职业 香港伤残人田径运动员 我想起在和协医院遇到的一些孩子们，听觉受限导致发音不清的孩子们会去那里找专家就诊，楼道里经常能听到他们传来的声音，起初不明真相的我很害怕，当明白状况后才意识到世界上原来还有这样的群体。他们需要我们对他们更多的理解与关爱。因为他们活下去都是拼尽全力的，胜过十倍百倍的。,,,0
3,3,32568661,妈妈的神奇小子,08dad97f4263ae23a49cf2a67b8a63ce,0ead4ffc4742c43a766332b707a4010c,,2021-12-01 14:25:57,用力哭，不如用力跑！别让情绪吞噬了你奋斗的热情。什么委屈，什么不公，什么不甘这些负面的情绪只会阻挡你前进的步伐。 让我感叹：妈妈的心好像是为我长得！当你痛苦的时候，妈妈会比你更痛苦！ 想起了一句话：没有伞的孩子要努力奔跑，阿伟决定不了自己的出生，却可以通过后天的努力改变自己的人生，这种精神十分让人钦佩。,,,0
4,4,32568661,妈妈的神奇小子,c2fcfbaea27bdb21141889a5ca52734d,c5b18063ab3426f818c27243f3c1b6c2,4.0,2021-11-25 21:27:50,发表于【韭菜文娱】 文/李镇 10月22日，香港地区宣布将选送电影《妈妈的神奇小子》竞逐2021年奥斯卡最佳国际影片奖。 消息一出，许多人大失所望，纷纷为无论艺术性还是思想性上都更胜一筹的《智齿》和《浊水漂流》鸣不平，批驳《神奇小子》这样一部温吞水式的体育励志片实在拿不出手。  公允而论，《神奇小子》的成色的确不及前两部。 《智齿》中丰盈着郑保瑞导演生猛的表达欲和浓烈怪异的“垃圾美学”，让人过目难忘；《浊水漂流》对香港底层露宿者命运的真切关怀“尽诉港人心声”，更何况还领跑了今年的金马奖。 相比之下，《神奇小子》既缺乏独特的作者意识，也不够扎根香港底层，剧作上还有过度煽情和避重就轻之嫌，着实有些“德不配位”。 但如果抛开这两位对手，《神奇小子》真的有这么不堪吗？  01 Zero to Hero 相比中文片名《妈妈的神奇小子》，英文名“Zero to Hero”更加贴合影片主旨，讲述了一个人从零成长为英雄的过程。 这个人是谁？ 许多人认为是苏桦伟。但影片中，苏桦伟并不是一个零起点的人，相反，他是一个“走得比别人慢，跑得比别人快”的运动天才。 而吴君如饰演的苏妈，才是那个Zero。她的英雄之路，可以用罗曼·罗兰的一句话来概括：“世界上只有一种真正的英雄主义，那就是在认清生活的真相后，依旧热爱生活。”  吴君如在采访中说，这位母亲是愤怒的。 影片中，苏妈起初在面对苏桦伟的先天疾病时确实满腔怒火，不光是气命运不公，更恨自己无能为力。这种愤怒与自责交织的情感，驱使着她否认儿子与正常人的不同。 她极力想证明苏桦伟也是一个普通人，所以她会对好心请儿子喝汽水的摊主大发雷霆，把儿子放在能够绞死人的传送带上，逼着他站起来。  在发现儿子有运动天赋后，苏妈的态度开始发生转变：“所有人都不把你当普通人，你就做一个不普通的人。” 上帝在为苏桦伟关上门的同时，也为他打开另一扇窗。这缕透进来的希望之光，是快要在绝望中溺毙的苏妈抓住的一根救命稻草，她要用儿子的成功来扼住命运的咽喉。 这是一位母亲正常的反应。 但影片好就好在，它没有完全将这种母爱圣洁化，而是把它写成了一种动因复杂的偏执，一份带着毛刺的母爱。以至于到最后我们也分不清，苏妈到底是为了儿子，还是她自己。 影片中，苏爸卧病在床，苏妈不停打工，并牺牲掉对小儿子全部的爱，只为了能让苏桦伟继续跑步：“你要跑步才能被人看得起。” 这句台词表明，尽管苏桦伟已经走上职业生涯巅峰，她依然无法与自己和解，不惜一切代价，只是为了让自己好受一点。  然而，在现实重压面前，苏妈终于认清生活的真相：苏桦伟的辉煌只能持续到三十岁，一旦退役，他便只是一个连脚趾甲都不能自己剪的残疾人。 于是，她想尽一切办法给儿子找后路。无论是疯狂地为儿子接广告，还是越俎代庖帮儿子表白，都让这份母爱扭曲成了对苏桦伟以爱之名的捆绑，她与儿子的关系也迅速降至冰点。 就在所有人都骂苏妈变得唯利是图时，导演通过一场母子决裂的戏，彻底为我们撕开苏妈隐藏多年的伤口，让我们看到一位残障人士母亲不为人知的心酸：“你残废是天生的，没有人会怪你，只会怪我！” 是啊，这么多年承受痛苦熬煎的，又何止苏桦伟一人？  最终，在方教练的劝慰下，苏妈飞往北京，支持儿子最后一届奥运会。 她在经历过愤怒、不甘与迷惘后，终于与自己达成和解。苏桦伟是老天爷送给她的礼物，这个“神奇小子”让她头疼的同时，也让人到中年的她明白一个道理：“当生活给你柠檬时，就把它做成柠檬水吧！”  02 一刹那的光辉不代表永恒 《神奇小子》不是一部单纯的励志体育电影。 这类电影往往只会关注主人公绝地反击，走上巅峰的过程，而《神奇小子》在后半段却走出赛场，实打实地拍出了没有鲜花和掌声的残障运动员们，在现实生活面前的狼狈与困窘。 所以，《神奇小子》尽管有各种剧作硬伤，它的社会价值依然值得尊敬。  影片中提出的最重要问题，就是残障运动员无法与正常运动员同工同酬。正常运动员拿奖牌，政府奖励一百万，残障运动员拿奖牌，奖金却只有几万块。 苏桦伟不断地为香港争光添彩，甚至被政府表彰为“杰出青年”，却始终搬不出促狭的小屋。一旦家里出现意外，全家人都会被财务问题打回原形——“这个世界，哪有同工同酬啊？”  影片中从未出现过一个坏人，无论是苏妈还是经纪人Victor，都是真心为苏桦伟好，但他却过得越来越焦头烂额，越来越心力交瘁。 这背后所指向的问题是多向度的，不仅是残障人士在社会上所面临的立足、尊严、婚恋等困境，还有运动员这一职业的先天短板——他们受教育程度普遍偏低，长久的封闭式训练让他们一身伤病，并在退役后无法与社会接轨，更是整个社会骨子里的结构性矛盾。 这些问题，自上个世纪以来就一直没有得到解决，在未来恐怕也只会越来越棘手。  现实中的苏桦伟，其实已经有了一个相对理想的结局。他得到刘德华的支持和帮助，不用再为生活问题发愁。而他那些没有被聚光灯照耀到的队友阿鸡、傻强、火车东他们，退役后会有苏桦伟这样好命吗？ 影片没有细说。 但当我们看到邹春兰、唐颖、艾冬梅、才力等健全运动员在退役后，只能依靠搓澡、摆地摊、卖奖牌、做门卫等方式艰难过活的新闻时，便不难想象，那些隐藏在苏桦伟身后千千万不为人知的残障运动员，他们的现实处境只会更加凄惨，更无人问津。  正如经纪人Victor所说：“一刹那的光辉不代表永恒。” 电影《神奇小子》以独特的视角，为我们打开了一扇关照残障运动员，乃至整个运动员群体的窗。它在体育励志片的类型大框架下，敢于走出跑道，把镜头深入那些不总是让观众热血贲张的灰暗角落的社会责任意识，让人肃然起敬。  03 我们只有羡慕的份儿 回到开头的问题：《神奇小子》真有这么不堪吗？ 显然没有，它只是比《智齿》和《浊水漂流》逊色了些。但从更加宏观的角度来看，这三部色彩各异的电影在取材上却异曲同工，它们都把目光投向了社会底层边缘群体，作品中无不弥散着导演强烈的现实批判意识，与温暖的人文关怀。 作为大陆观众，这三部影片选谁代表香港去竞逐奥斯卡并不该是我们讨论的焦点。 更值得关注的是，为什么香港创作者乐于去关注并书写这样并不容易卖座的题材？为什么香港愿意给这些作品以荣誉，敢于把剑指社会弊病的文艺作品送上国际影坛？  如果站在一个更广的维度，我们会发现，这种关照社会的创作意识在近年来的港台创作者中从未间断。 近五年香港地区选送的冲奥电影中，除《红海行动》和《扫毒2》外，《一念无明》《踏血寻梅》《少年的你》均关注到了底层群体的身心状况、生存窘境及校园暴力等议题。 台湾地区选送的《阳光普照》《大佛普拉斯》《谁先爱上他的》《日常对话》等作品，则进一步延伸到了家庭关系、同性题材，类型也更加多元，有喜剧片、纪录片等。  当我们的大银幕上充斥着打打杀杀，充斥着各种二人转电影和中老年男性的春梦，当我们满足于宏大叙事带来的虚伪高潮，为导演在中英字幕中玩弄的过审花招拍案叫好时，或许早已在无形中，失去了批评《神奇小子》的资格。 剩下的，就只有羡慕的份儿。   欢迎关注个人公众号【海猫食堂iSeaCat】，不定期更新影评、剧评。,2.0,,0
5,5,32568661,妈妈的神奇小子,2b7b408412c6d973a0b05239deb71a36,691fa28ce8ac8dad78eaf0b84502d824,,2021-11-30 20:34:13,"在家看的电影，一开始以为自己会看不下去，但是从开头到结尾都全部看完

感触最大的就是世上只有妈妈好！曾做过特教辅导老师的我，和一些听障和智障的小朋友及父母都打过交道！有的家长对孩子抱着她开心就好，身体健康就好，如果能学会自理更棒了，没事一步步来的心态，她们的孩子就会特别开朗！有的家长却自欺欺人，不愿意相信自己的孩子的确是有瑕疵的，以正常孩子的要求来约束，孩子也不快乐！",,,0
6,6,32568661,妈妈的神奇小子,c88066bc7fcc2dac04b838fb26098dd8,7f2e0b4a0b3f4d5932fa17f343a78ec3,,2021-11-24 09:04:20,在家看了这部电影，一开始以为自己会看不下去，但是从开头到结尾都全部看完！ 感触最大的就是世上只有妈妈好！曾做过特教辅导老师的我，和一些听障和智障的小朋友及父母都打过交道！有的家长对孩子抱着她开心就好，身体健康就好，如果能学会自理更棒了，没事一步步来的心态，她们的孩子就会特别开朗！有的家长却自欺欺人，不愿意相信自己的孩子的确是有瑕疵的，以正常孩子的要求来约束，孩子也不快乐！,,,0
7,7,32568661,妈妈的神奇小子,44047037148d5c676a1945481486784f,d6ddafdbadb0c55b4135b94645608756,5.0,2021-11-14 14:04:02,能够打动人的往往是细节，而细节源于真实的生活。第一名的手势，第一次参加残奥会比赛前的紧张，要听妈妈说话，还有爸爸和弟弟的呼噜声。人啊，跟家庭的关系似乎总是这么水乳交融在一起的。世界纪录保持的或许不是成绩，而是苏烨伟的信念，坚不可摧的信念。 父母之爱子，则为之计之深远。苏妈是这样的父母之一。一碗水总是端不平的。当她生二胎的理由之一是为了将来有个人可以照顾大儿子时，本身就不公平了。体现在后来对弟弟的各种忽略里。不知道他爱吃的其实是牛扒，不知道他参加的是篮球队……倒数第二个阶段为儿子接广告，也是为了后半生他能够有足够的金钱幸福的生活下去。现代的子女们，包括我自己，都是有些接受不了父母的管束与计划的，但倘若站在父母的角度去考虑，倒也能够理解。最无私的情感也许就体现在这里。 说到这，也想起了自己小时候得脑膜炎，腿被刀片割伤，眼眶撞到桌角…一系列想起就觉得胆战心惊的事情。一定也给爸爸妈妈造成过深深的困扰吧。印象特别深刻的是眼眶撞到桌角，因为直到现在我的眼皮上还有一个浅浅的坑。那天晚上我坐在爸爸的电瓶车后座上，脸上黏糊糊的，那是夏天，汗水和血交织在一起，爸爸用他的大T恤罩住我的脸（防止被路人看到我的惨状）。我只记得好热，眼睛好痛，担心自己瞎掉，却也因为带着我的人是父亲，有一种前所未有的安全感。 腿被刀片割伤是因为我人小鬼大，非要去拖地，站在年久失修熙的涮拖把池里，那天家里还有客人，爸爸妈妈在一旁陪着客人，应该还在吃饭，就被我的一声惨叫吓住了，赶紧背着我去医院。躺在手术台上，年幼的我很害怕，哭着问他我是不是会死掉，他还安慰我，说他就陪在我身边。现在看来那也只是一个缝针的小手术，记得那一年我躺了一个暑假，妈妈给我做吃的，爸爸陪我聊天。 很多事谈论起来，我似乎也是有一个幸福的童年的。渐渐长大的过程中，父亲从一个英雄式的人物变成了我口中不愿再提起的人。应该是从高中离开家开始，我就再也没有主动给他打过一个电话，发过一句关心的讯息了。我也忘记了小时候的自己是多么的依赖他，他会高高地把我举起，这就是我们之间最简单的游戏了。在我遇到那个时候觉得困难的事情时，他会很轻松就化解掉。我高中被人欺负，跟他提了一嘴，他立刻就要去找对方的家长。还有家长会，他从很远的地方赶过来，身上还穿着工服，我记得那天我很骄傲，因为月考和期中考都是第一。 关于妈妈的记忆……就更加琐碎记不清了。昨天打电话我也忍不住流眼泪了。 爱恨交织的原生家庭，无法放下的原生家庭。,,,0
8,8,32568661,妈妈的神奇小子,2ad0e08e706d5e28d12bc78756e14992,c00073ac09048c06e017b49d80e1f053,,2021-11-07 15:26:41,我覺得呢個階段呢個級數嘅女演員 而留喺香港做監製 已經好難得了 你係近年最高水準之作 亦都絕對係衝影后嘅作品 同樣係真人真事改編 其實只要劇本寫得好  原來真係可以唔理有幾多根據真實改編  不得不讚選角 三個階段嘅蘇樺偉 直頭係以假亂真嘅程度 特別係學生階段 除咗言語要掌握得好之外 身體語言嗰種痙攣嘅程度 又未去到成年版咁穩陣 做得好好  君如嘅演技亦都拿捏非常出色 佢冇過度煽情 亦冇僵化嘅程度出現  電影節奏掌握得好 配樂做得好 年代感亦都OK   井型屋邨呢啲情懷嘢 係正嘅 好開心見到張繼聰唔淨係做啲搞搞笑笑嘅角色  一直都想見佢喺電影上有內心戲嘅發揮 方sir呢個角色性格相對上比較內斂 唯一勁有激情就係喺田徑場上邊 嗰個對比太有趣 私心覺得條線可以寫得深入少少 哈哈  我想講套戲頭10分鐘開始我喊到落尾  但不代表令人喊就係一套好嘅作品 其實佢嘅對白劇情真係唔係特別煽情 雖然後尾係有少少刻意金句不過都係點到即止 我覺得配角上有好多都係畫龍點睛 但亦都有啲冇乜點樣幫到劇情 雖然大陸有份投資但係合拍片味道唔係好重 呢個好緊要  電影主線清晰 節奏明快 處理得好好  仲要撞正啱啱完咗奧運嘅呢個時期上映  港對成績咁好 而家都正正帶出左做全職運動員嘅難處  絕對係近年最好睇嘅港產片電影之一 「望阿媽 set go!」 #,1.0,,0
9,9,32568661,妈妈的神奇小子,c66bc80e97b2cf22f2cbf4f134ab03c0,b3cd915d758008bd19d0f2428fbb354a,5.0,2021-11-04 16:12:24,“用力哭不如用力跑”  看了这部剧，眼泪不经意间的往下掉。 妈妈对于孩子的不抛弃不放弃，孩子给妈妈努力支撑下去的动力与希望。 队友们之间将荣誉高于自己的荣誉，放下自己的私心，只为在赛场上为国争光。 里面反映出的现实问题：人们对于残奥会的较少关注，对于运动员的津贴问题，运动员退役以后的生活…… 很励志！！！“用力哭不如用力跑”是妈妈给予儿子的鼓励，也成为了我生活遇到困难的时候给予我自己的鼓励。,1.0,1.0,0
