,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,33441582,大师,56e743cbe8d9880b26eb743aeafd172c,b4880686b0c2cc1ac4c822bbb163265b,4.0,2021-05-08 20:34:45,一，男主对老头一直心存警惕，在墓园老头一靠近，男主马上就拔出了匕首。 由此可见，男主未必没有想到任务的目标是自己。    二，男主从一开始就搜索了女主的信息 咖啡馆外有四辆车，其中包括男主之前在加油站见过的蓝色吉普车，也就是女主开的车，但男主并没有放松警惕，而是把车牌也拍了下来，通过非法app去搜索女主的信息     三，女主一早就知道男主是任务的目标 老头在给女主任务时，说了一句“念念你自己的名字”，而女主的假护照名字就是“白河”，只不过是西班牙语的。男主在向女主询问白河是什么的时候，女主就确定了男主是任务目标了。她甚至认为男主已经手到擒来，因此警告其它几个杀手不要动她的猎物。  这句话是老头说的，但镜头还停留在男主身上    女主的假身份证名字就是西班牙语“白河”的意思  四，男主可能早就查清了女主的身份 在打炮后，男主问女主你懂意大利语吗，女主回答说“我在学校里学过西班牙语。” 这句台词有什么含义呢？这就要看最后一个细节了   五，车尾箱里是男主给女主准备的圣诞礼物，并且祝语是用西班牙语写的 很多人认为车尾箱里是狗粮，但如果仅仅是狗粮，女主不会无缘无故说出“圣诞快乐”这句话，并且是用西班牙语说的 这说明男主已经连她在学校里学过西班牙语都知道了，除了买狗粮之外，还给她准备了圣诞礼物 男主拿掉了一颗子弹，给女主一次重新选择的机会，但女主还一心想做个“有所成就”的职业杀手，所以还是杀死了男主 背景是汽车旅馆  男主早就对女主非常怀疑，毕竟男主能分析其他人，为什么不能分析女主？女主身上的疑点显然更多，包括不合身的工作服，胸前的血迹，奇怪的名字等等，只不过电影故意略过了男主对女主的分析（不像分析其他人那样在电影里直接说出来） 男主可能早就通过非法app查清了女主的底细，但最后确定女主是白河，应该还是要等到看到女主假护照的时候  六，男主的水平显然要比女主强得多，他甚至还能设计拿掉一颗子弹这样的套路，如果他想杀女主，那是很容易的事，只不过他想就此退出江湖，并且希望女主也和他一起退隐，只不过他赌输了 男主对女主的心思也不是完全没有察觉，在咖啡馆吃晚餐的时候，女主就透露出了自己的野心  当男主问女主未来几年想要什么的时候 但显然男主也愿意赌输了就干脆死了，所以男主死后还脸带笑容 这整个任务过程，其实差不多可以看成是男主设计的一个自杀计划,44.0,,21
1,1,33441582,大师,fd2bf24d48795a4848303a17c82ac889,8323a0c347a36855d9deb8aaeb0d3a5f,3.0,2021-05-04 22:14:37,"概述：本片是通过一个杀手执行任务到被杀来展示杀手的轮转过程 那么我们仔细分析： （一）男主究竟是想死还是看走眼？ 反对之前的影评断定男主想死的观点。 男主虽然对烧死的那个母亲无法释怀，但他的的确确还是不想死的。如果男主想死的话他就不必大冬夜的一个人出去忙活了一整夜，杀了那么多他感觉有威胁的人。 男主在女主进洗手间后才无意间发现女主的身份证，当时他看到女主证件上的名字才意识到自己看走了眼。从这个表情可以清晰的看出当时男主的震惊，所以根本不是他故意的，他确实是看走眼了。那些回忆是他现在才重视的细节，女主也说了“你只看到你想看到的”。而且他自己也承认了。 以下电影对话可以佐证 看到女主证件上的名字男主的震惊表情  男主：我没有怀疑你  女主：你看到的只是你想看到的   （二）那么男主为什么一直不反抗？ 首先，通过之前的几次击杀，我们可以得出结论：杀手过招都是追求先发制人一击击杀，至少第一回合就抢先给予重创。而落入后手的人都没有反抗能力的。那最后对持时男女主的状况呢？ 男主： （1）因为之前的打炮，现在是全身赤裸——被女主正大光明的缴了械，手头没有任何武器可以反击或自卫 （2）全身伸展，仰卧在床，身上还有一件宽幅的床单——欧美都是软床，再考虑到全身伸展的仰卧体位，身上还有一件床单碍事，男主根本做不到快速的起身 （3）汽车旅馆空间小，没有掩护的场所 女主： （1）因为之前已经起身，现在站立状态——进可攻退可守 （2）已经手持武器 （3）始终和男主保持一定的安全距离  男主的状况是身陷绝境，这种距离，手无武器的男主如何能赶在女主开抢前做到近身？ 男主如想反抗就要近身夺枪，那么必须要做完以下步骤： a. 由仰卧到坐起 b. 掀开床单 c. 腿从床单中抽出伫立于地上 d. 起身 e. 前扑进行搏斗 哪怕其中有几个动作可以同时进行，但考虑到欧美酒店普遍是软床祈祷的支撑力不够，整个动作完成至少要2-3秒，而女主开枪只需半秒。哪怕男主能做到1秒起身，女主只需同时后退一步保持距离，也能轻松做到击毙男主。 这也是女主一脸轻松，愿意和男主对话的依仗。 所以，男主在无法迅速起身、近身的情况下，以无武器的全裸之身面对居高临下手持枪械的职业同行，没有胜算可言。 也就是说，在这种状况下，男主已经深陷绝境。所以男主一直没有大幅度动作，是表明他已经干脆放弃了徒劳的反抗……吗？ 不是的！ 他在等一个非常渺茫的机会！  （三）关于子弹的问题 男主是个谨慎的人。他上床之前悄悄地退掉了枪膛里的那颗子弹，就是考虑到万一被人夺枪后，空膛会给他一个翻盘机会。
所以男主在对持时期虽然身陷绝境，但仍有反抗之心。其实我们认真看他和女主的对持时的那些言谈，不就是他在向女主套话吗？ 我认为他原本计划是得到他想得到的全部信息后就会突然暴起，打女主一个措手不及。因为女主开枪-发现空膛-重新上膛-瞄准开枪，这一套下来会有2-3秒的耽搁，他就要趁着这个时机完成掀开床单-腿从床单中抽出伫立于地上-起身-前扑夺枪这一套动作。至于能不能成功就要看女主会如何应对了。考虑到女主也是个职业杀手，靠此翻盘的机会微乎其微，但也是一线生机不是吗？ 
所以男主一直面不改色的躺平，故作平静的和女主对话，慢敌之心。但是获得的真相远比他想的还要残酷。他一直以为他是要杀“白河”，哪怕现在被枪指着头也是担心“事情搞砸了”，但女主告知这是个围杀他的局，做局的是一直视他为儿子的老头子。这时他才恍然大悟，随之心态发生了剧变。请注意，也是这时起背景音乐发生了变化，不仅开始升调而且加入了心跳声。这就很直白的佐证了我的观点——从这刻起，他放弃了主动，把命运完全交付给女主。 
以下电影对话可以佐证 在听从女主吩咐读到自己上榜之前，男主还以为”白河“是女主，挂念着任务搞砸了  然后女主告知这个局，所有人都是奉老头子之命来杀他 
（四）男主的心理问题
为什么男主在得到真相后就放弃了原计划？
我觉得者的从男主自身的心理问题说起。

从墓园的那段对话我们可以的到以下信息：
（1）老头子和他父亲是挚友。
（2）父亲大概率患上PDST，或者因为之前的杀戮导致精神出现状况。
（3）父亲的墓碑没有母亲的，而对话也没提到母亲，推测母亲很早就离开了他们父子。
（4）父亲在他年小时就去世了。

那么养大成人，填补他“父亲”角色的应该就是老头子。虽然墓地对话时他对老头子保持警惕和抗拒，那是因为当时他正经历负罪感的折磨，同时也知道老头子对他这种状况“很担心”，为了自保他必须要保持距离。有分析说此时老头子就已经动了杀心，只是看到男主特别谨慎没有得手只得暂停而已。果不其然随后就对男主下套设局。

而且因为双亲早逝，导致他性情孤僻。相比之下，父亲角色好歹有人填补，但母亲角色无人填补产生的缺失，造成了当他的刺杀意外让一名母亲烧死+孩子失去母亲，有感触发了他从小缺失母亲的心理隐痛，使得他精神几乎奔溃。 另外电影中有多处描写他对镜子练习表情，但是通篇看下来，男主一直是张没有表情的扑克脸，这说明他练习表情不是为了任务，而是想改掉无表情的习惯。加上从他和汽车旅馆的值班员对话时的看得出他的表情动作太生硬了很不自然，我非常怀疑他有社交恐惧症，至少有沟通障碍。 另外母亲（女性）的缺失使得他对女性既渴望又不知如何面对，这点可以从影片开头他对家暴女的态度和行为看出。特别是女主来他旅馆房间色诱他时表现的特别明显。他完全不知所措，女主先是言语勾引，然后裸睡勾引，最后肉欲勾引，男主没有一点主见，最后还是女主主动把男主的手放在自己身上才终于得偿所愿。结合男主床事的动作次数和时间，以及事后他光顾自己感慨却不知道要慰藉女方（又是靠女主的主动，主动把他手臂抽出枕在头下），以及后面女主说答应老头子的要求在男主死前给予他“快乐”，我们可以得出男主应该还是个雏儿，这是他的初夜。
 男主根本不知道如何慰籍女生，这还是女主主动把他手臂抽出枕在头下   总之，男主性情孤僻加上社交恐惧症，他对老头子的心理认同或者依赖其实远比他自认的要大得多。老头子应该是他世上最亲的人了，他也自始至终努力想完成老头子的任务，哪怕是被别人用枪指着脑袋，也念念不忘担心“事情搞砸”。同时因为对母亲角色（女性）的渴望，他潜意识的忽略了女主的瑕疵，看错了对方，并在其的色诱下共赴巫山，落得全身赤裸，任其宰割的绝境。 所以当他明白整件事情的真相，得知是老头子做局要他死的时候，他表现的是相当的震惊，然后就哀莫大于心死了——这个可以从他的对话看得出来：同样是被枪指头，之前言辞逻辑清晰，获得真相后语不成句，原本想说的话支支吾吾最后突然放弃。再加上烧死的那位母亲产生的心理愧疚，双重重击让他觉得生死无所谓了。但他因为对女主动了情，所以最后他把生死的选择权让给女主，让她定他生死那位。 得知真相后男主心态变了，从之前的冷静变成语无伦次 
于是他放弃了原计划的最后一击。




（五）女主的抉择 女主知道男主已经对他动情，在惺惺相惜下她也对男主动了情。 男主对她说“选择权在你”，并不是给女主留人性，拜托，大家都是职业杀手就别玩哲学了。男主这话的意思很简单直白——“我拿出子弹就是让你知道刚才空膛是我提前安排的，但我已经选择了放弃趁机向你发动反击。既然我们互生情愫，你是选择和我一起离开去罗马看雪还是选择杀死我？”    因为双方都是职业杀手，一旦有了欺骗就无法消除的产生猜疑链。如果不射杀男主，女主不仅要逃避老头子的追杀，更关键的是，她无法确信男主脱困后不会对她报复开枪。 所以女主含泪回答：“我知道（了你的选择，虽然我们互生情愫，但我不能冒险）” 于是男主就被击毙。  只有你死了我才能得到安全，所以哪怕动了情也得杀  （六）关于女主主动勾引男主上床 女主很精明，她知道男主谨慎，所以她来时没带任何武器。她是要用男主的武器将其击毙。因此她必须要做到以下两点： （1）让这个谨慎冷静的男主心甘情愿没有疑心的将武器脱身 （2）她能够在不引起男主疑心的情况下自然的将武器拿到手 为了达成第二点，她不仅使用了肉欲色诱，而且还一直装傻。比如在激情之后她说想去意大利，男主问她动不动意大利语，她回复只学过西班牙语。这种不谙世事的乡村傻姑形象树立起来了。女主看见男主听了后不禁莞尔，明白他已经彻底放了心，这才提出下床去卫生间，果然男主没有生疑。 面对男主的试探，女主一直装傻  放下戒心的男主还在憧憬两人的未来，他的女伴却想着要杀死他 所以，女主主动勾引男主上床是必要的，主要原因是： （1）是想通过这个方法让男主放松警惕并将其缴械。从之前男主的动作神态可以看出，他是一个多疑警戒的人，刀枪不离手。但是通过色诱上床这招很自然的就将其缴械，为之后的行动提供先决条件。 （2）是受老头子所托。老头子虽然下达了清理门户的指令，但对于老友之子的丧命还是难过的，所以他希望男主死前“快乐”些。这点女主也有说明，所以女主就让男主死前爽一发。 （3）女主自己的生理需求。男主对她一直比较温和的。而冬夜苦寒，杀手的孤寂内心也需要润泽，看着男主长得不错，所以假戏真做，犒劳自己一番也不为过。  （七）那山，那屋，那狗 那只狗是从树林中跑出来的，而且男主最终出发时召唤不出，说明男主不是狗主人。但是从狗主动来小屋觅食推测狗对小屋很熟悉。在结合结尾女主搬进小屋，我们可以推断出： 小屋前一任屋主也是杀手，养了只狗，最后被男主击毙替代，狗子见状跑开进入森林。后来男主逐渐和狗子亲近，结局被女主爆头。女主顶替男主搬进小屋，成为新的一轮循环。 照此看来，男主在小屋生活的时间并不长啊。他们这换代频率也太高了点。  （八）总结：   回顾男主这一夜，放主动投怀送抱的美女于房间不顾，在寒夜里顶风作案，忙活了一晚将他怀疑的人全部消灭掉，然后折返回屋，禁不住诱惑立即和女主干了一炮，紧接着就被一枪爆头，一丝不挂的死在一个偏僻小镇上的简陋旅馆床上。 不过好歹死前爽了一把，也不枉他这副好皮囊。 看看这时间表： 1:30:08 男主射，告别处男 1:30:20 男主躺回床上回味，两人对话 1:32:33 女主起床，准备去拿枪要男主命，而男主还在憧憬和女主的未来 1:33:18 男主翻看女主证件 1:33:51 女主持枪出卫生间，两人对话，男主得知真相 1:40:47 男主被爆头 男主爽完十分钟后就挂了，是庆幸还是悲催？是英雄难过美人关还是石榴裙下死做鬼也风流？  天亮，事了，一道门隔开生死 不过整部电影中最无辜的就是汽车旅馆的那个值班员了，人家那么勤奋刻苦的热爱学习，第二天催收房租时才发现他这个破旧小旅馆一个晚上就比邻死了两个人，其中一个明显还是谋杀，先不提心理阴影，他这家旅馆估计是开不下去了。 淦！招谁惹谁了？！",30.0,3.0,25
2,2,33441582,大师,c2a9038689739bf19b7313ee643c32f3,1cd08c74d724c610d1723ddcb0041f25,2.0,2021-04-28 22:04:14,故事一句话可以概括：一个专业的大师级杀手因为动了怜悯之心所以他的上司决定放弃他做局搞死他的故事。      然后问题来了，专业的杀手，看男主的选角也知道，入行很多年了，这样的人会因为一次动手的牵连而起怜悯之心？太low了..........你好歹学学吕克贝松让一个小萝莉逐渐逐渐软化杀手的心这样才说得过去，当真以为整天双手沾血的人内心如此不堪一击吗。如果把角色设计成一个专业度比较高的菜鸟杀手，这个就比较符合设定了，但是你的片名就竟然叫大师.........对不起打扰了当我没说，想装的b与想表现的东西就如同两条平行线，始终太难相交。     然后我相信最让大家懵逼的便是最后男主的那个任务，初看以为环环相扣，滴水不漏，最后揭示出来让人恍然大悟，如梦初醒跳起脚来就是一句牛逼，我相信这是导演想看到的，实际上水到处漏，观众满屏黑人问号。    为什么不能提前铺垫好这是一个组织！很难吗！一句话的事情！    任务的形式看起来装的1b，实际上你觉得这到底是任务还是考试！？男主丝毫不怀疑这个任务的动机果然是一代大师呢。     结果除了男主救了的那个女的大家都是杀手呢，一股谍影重重和john wick即视感当你以为会来的时候其实大家已经跟路人一样挂了......你好歹把霍普金斯老爷面前的手机多几个意味深长的特写大家也好有点心理准备....没有！并没有！结果给人一种老爷子在摆摊贴膜的感觉，而且老爷子收拾装备的桥段也是相当的迷......导演：嘿嘿没猜到吧....嘿嘿我们也不知道这一段拍出来剪进去时干嘛用的.....     女主身上的那一滩血渍.....就如同女主的身材一样也是处理的豪放不羁呢....男主也tm跟瞎了一样....果然大师在大胸面前那百步穿杨的视力瞬间就飙升了1000度目不视物了呢，君子！正派！    最后男主莫名其妙发现了女主身份之后更迷，为了贴合大师的身份，我不能乱，一定要装作我是故意放过了这个女人，毕竟我也不是第一次，圆的回来，于是导演递给了他一颗子弹，你看，我给你一个选择的机会，女人，呵呵，终究是抵不过男人温暖的怀抱的，然后女主那泪眼盈盈的样子让男主微微的弯起了嘴角心里暗道：“这个逼就快成功了！”      然后啪的一枪我tm......     导演想告诉大家，什么是专业？这就是专业！大师也不能坏了规矩！     好家伙，我直接好家伙。,11.0,2.0,8
3,3,33441582,大师,6e9c338067e3f9b9bb73b6e2feaf0776,996ca18cbd0fc895fb7f958d045bfd04,5.0,2021-05-13 01:16:26,这是一个局 大家应该都知道 女主警告其他人 男主是她的猎物 男主则是明白只有杀掉其他人 才能保证安全 老头杀男主的原因是他需要的只是杀人机器 一个听话的士兵 而男主现在已经迟疑了  男主是否知道女主是大师？我觉得是 首先血迹很明显 其实是男主对女主的态度 餐馆里的对话 旅店里搜身 我最开始都觉得很莫名其妙 感觉男主像一个木讷的深山老僧 不懂情欲 但是我第二次带入男主明白女主是个杀手 就很好理解了 这也解释了为何最后手枪第一发没有子弹（这不是男主习惯问题  女主第一次进旅店时 男主放下手枪 没有取出第一颗子弹） 再说男主心态变化 他明白自己心态已经变了 老头会除掉他 因此墓地时表现出警惕 后来执行任务 后来路边想要帮助那个女孩 也展现他的心态变化（因此女主更早到旅店 掌握了主动权）之后餐馆谈话 在谈话之前 男主是有机会直接杀死的 但是他没有 迟疑了 再看谈话 男主说谈谈女主 问女主想要什么 女主问现在还是以后 但是男主回的却是 选你心里明白的 这里我感觉男主就是想跟女主明说了 但是明显女主不领情 选择继续那套 撩他 想要great sex 男主有点愣（转头 躲避眼神 眨眼）不甘心 又问 接下来几年呢？女主回答是胜利（成为老头手下最好的杀手？成为最顶级的大师？）这里表现出男主已经想改变了 至于如何改变 他把选择权给了女主 所以接下来的旅店对话 以及取了第一发子弹的枪  女主有选择权 这是老头给的 让他开心 （老头这里可能又有点犹豫 表现在于男主在完成任务后打电话时 说了两遍 尽快回来 但是老头最后玩弄那个枪的动作又有点疑惑 应该也是犹豫吧 两种心态他都有 所以他把选择权给了女主）方式在你 以及男主给的 我只取第一发子弹 我不想再过无情杀人机器 我心已软 我想要改变 但不知如何去做 不如把选择权给你 由你来（这里还有一个可能 男主甚至知道女主背景 所以有后面的西班牙语的圣诞快乐 亦或是让其杀了自己而满足其胜利的欲望 成为最顶级的大师） 但是 无论是老头还是男主 都是明白女主必然更倾向于杀掉男主的 老头仍然得到了想要的结果 作为真正的大师     而男主也得到了了结 也是解脱 个人见解吧 我更倾向于这种复杂矛盾的人性 所以我会觉得男主 老头 是矛盾的 但是作为大师 他们在放纵自己人性本能的同时 还是作出了最有利于自己的选择 不过 最后女主好像也变了 小屋的继承者 杀手的传承  是大师？ 还是人性本能 还有一个疑点 老头桌上只有四个手机 但这个局有五个杀手 可能是警长是局外人？,2.0,1.0,2
4,4,33441582,大师,cef67f907940cfa5f4eb63a51dc7c0ff,c3fead8a3cc93abfcdb85bbad9f9683b,,2021-12-12 04:37:58,一念动，灰飞烟灭。人失去了人性能成大师，人性回归之际就是万劫不复之日。 放下屠刀归于尘土是最大的解脱，能主动解脱的都是大师。 会想起这个杀手不太冷里面的杀手，至今无人超越。他虽是冷血杀手，他有他的正义。 大师这个片子中的杀手仿佛是自然界中生物链上的一环，他们是被抽去了作为human beings的特质。杀人必须只是他们的工作，如果产生了怜悯和内疚之心，意味着你将会被清除。 有意思的是，片子一直有第一人称的旁白，最后，依然是第一人称旁白，只是换了人。这种处理更加剧了“杀手就是工具而已”的虚无感。大师只是技术上的称谓，就像一个性能优秀的武器。,,,0
5,5,33441582,大师,3c6d36b7d36f69322e1ebc72df385e38,d33c14d7c10c6a3c4277c0fcfab523cc,3.0,2021-11-16 08:38:53,"这次又是杀手的故事了。 杀手的开场相当的专业，但内心已经千疮百孔。 和很多杀手一样，杀手也想着早点退休。 但事实告诉杀手，关于杀手退休的下场，老早就写好了结局。 这样的结局，你想好了没？
     没想到的是，组织的话事人，竟然是安东尼霍普金斯。 这咖位放在这里，常规的杀手退休必须干翻组织的桥段，好像不太适用。 于是杀手准备走安全路线。 在墓地里，杀手犹犹豫豫的表达了自己想退休的意思。 然后遭到了大师劈头盖脸的一顿狠批。
 大师给杀手讲了一个当年自己战场上的故事，听得杀手反而更加坚定了退休的念头。 说实话，大师的教导这次真的失策了。
     不过，大师既然讲了那个故事，就不会这么妥当的让杀手退休。 而作为杀手，当然也知道自己即将面临的是什么。 剩下的问题是，谁？什么时候？ 故事的最后，杀手还是被组织干掉了，这个非常的反套路。 不过，看这位女杀手，杀完人的样子，好像又有太多的故事，如果强行理解一下，不妨看成一个无尽的宿命。",,,0
6,6,33441582,大师,ab29a5155e9e7ce85e4f42ba7f5c3125,52cd38336d43f04ef085e6eda060863b,4.0,2021-10-11 00:18:09,最牛逼的猎手都以猎物的形式出现。男主内心柔软，做事有原则总要时不时的给自己做做心里建设，万般小心最后还是色字头上一把刀啊，不过也算死之前爽了一下，跟开篇正好首尾呼应了。女主那身材真是奶牛一样，有点胖但不蠢，挺性感。等于霍普金斯最后做了个杀猪盘呗，上帝视角看看谁能活下来，为啥要这么干呢，没太懂。,,,0
7,7,33441582,大师,a55e40e907b6e094543ed8662b597dab,2014180f729ffe84b0fc569731ecf6bf,3.0,2021-09-22 13:17:48,二星不算多，三星不算少，四星有点飘。 第一次端着写影评，有点不习惯。以前都是跪着写的。 说这是一部杀手片，有点浪费剧中用的子弹。说这是一部悬疑片，又有点浪费老安叔的演技。哦，这他妈是部文艺片。 有人写了，片名用的是《Virtuoso》，人家本意是节奏大师。看人专业杀手杀人，卡点一个准嘿，都以秒计算。但我觉着，这只是第一层。往下一层，这个大师指的是老安叔，大师割韭菜的节奏，那是相当准啊。 名字叫大师，明着是讲一个杀手的故事；暗着叫训狗，讲的是一个屠狗的故事。 狗是谁？就是在motel滚床单的那对杀手狗男女。训狗大师就是咱们的老安叔。 可以看到，老安叔是个狠角色，第一，他够老，说明他在这个行当时间很长，而且很少翻过船。第二，他能调动的杀手很多，光手机就能在桌上摆一排，证明他资源很丰富。第三，心狠手辣，对出生入死的兄弟，要杀他儿便杀他儿，一点都不含糊。 老安叔这个角色的出彩点在于，他并不通过物质、契约、精神洗脑或者什么其他来控制他的杀手。他和他的杀手关系有时会很简单：下指示、付钱；有时又很复杂：知心姐姐般的心灵安抚、长辈般的谆谆教导。这样培养出来的杀手，会有一个特点，就是脱离了工具性，而更像一个完整的人。作为人的杀手，比作为工具的杀手是更有创造力的。这点不接受反驳。 这就给用第一人称叙事的方式带来了和谐感。 大家看，我是个人，是个独立的人，是个自由的人，是个有自有意志的人。 电影处处在渲染着这种美好的景象。 这个狗杀手，独居，严格的自律，谨慎的对外联系。一切都井井有条、严丝合缝，显示了导演独特的暴力美学（这四个字跪着可写不出来）。 在这种暴力美学中，有一个突兀的设定。就是那条狗。 那条永远只在他跟前讨点狗粮，却从不对他绕前顾后、摇尾乞怜的白狗。 那条白狗，以其单调的奔跑方式、重复的场景镜头和一贯的吃完就完的叙事方式，在不厌其烦的告诉我们，那不是一条狗，那是一个象征。哦不，告诉我们，不但它是一条狗，男杀手也是和它一样的狗。 电影表达的是，你以为的自由，只在你的想象之中。 我们不知道老安叔什么时候对男杀手起的杀心，但墓地对话那次肯定是让他确定了自己的想法：此狗不除，必祸其主。 在电影的最后部分，男杀手和女杀手阵前对白很有意思。女的说，老爷子对我说，送你开心的上路。（和你啪啪啪）这是我的选择。其实，男杀手也断出了女的的身份，抽掉了已上膛一颗子弹，女的第一枪不中。男的一脸花痴的说，我让你来做选择。女的选择一枪爆头。电影的叙事方式，马上转换成女杀手的第一人称。 这说明了，日子总在过，韭菜要一茬一茬在割，而割韭菜的，却总是那一批人。 这是一个悲剧故事：人生而自由，却无往不在狗链之中。 哦，对了，您是什么品种？,1.0,,0
8,8,33441582,大师,91b4803416a01cf6dfc8b67211c712eb,a6567816e007283cf9781c35b95dd56f,3.0,2021-09-19 22:05:22,从人之怒开始逐渐发现一个规律：当一部电影的背景乐是大提琴演奏的，那么这个片子大概率是部慢节奏的产品，无论是动作片、枪战片或者其他什么片。大提琴深沉的低音响起，那么就连子弹时刻也必须要浪漫起来，摊手。、 回归这部片子，简单说就是一个厉害的杀手终日打雁最终被雁签了眼，换个说法就是天若有情天亦老，杀手不冷准没好。可以说这个男的是伪硬汉了，虽然他一直念叨不要犹豫不要分心云云，但这恰恰就是他缺的，他不够冷酷不够无情不够杀人不眨眼，你的高冷只是你穿的保护色，之所以强调精确，一方面是要求完美，另一方面就是对自己的不自信。同样的问题，大胸女会做的长久吗，不会，因为她没有杀狗，最后的电话响起她一样没有接，说明她将会进入和白须男一样的循环，但用同样的话进行相互呼应有点略显做作，从杀人的女人到优柔寡断的女人只需要进度条稍稍前进一丢丢。,,,0
9,9,33441582,大师,23b401d90ae5f7651c40c57804fe6add,fb87c8abaa773e38b5b5813c317a579b,3.0,2021-07-17 03:17:47,你快活好了嘛，biu.就该cut了。总体不错，悬疑的很有韵味，但好像也没怎么疑惑，像飞蛾扑火。你快活好了嘛，biu.就该cut了。总体不错，悬疑的很有韵味，但好像也没怎么疑惑，像飞蛾扑火。你快活好了嘛，biu.就该cut了。总体不错，悬疑的很有韵味，但好像也没怎么疑惑，像飞蛾扑火。,,,0
