,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34802334,冰路营救,c8b4860d30a7ddb617f5a146934529c8,5094f4377dac7383ab76597a5838cf82,3.0,2021-06-27 23:56:38,不明白现在还有占位写评论的路子吗？一共4篇影评，200多短评，大部分连剧情都没看懂，看来是熟肉没出就硬点PLAY的。 片中阴谋的关键在于，矿难并非意外而是人为，原因就是两位高管为了业绩私自贿赂矿工关闭传感器。而为什么要关传感器，因为传感器报警就要停工，停工不但损失矿，也还要照付工人薪金；如果甲烷警告太多，可能意味着该矿有大量甲烷，那么整个矿估计都不适宜开发需要放弃，这两地方高管的利益地位都会大受影响，因此宁愿支付一人一月100美金也要铤而走险坚持开工。事故之后勾结保险是为了让知情者灭口，如果知情者生还爆出内幕，不是疏忽撤职这样简单，而是要被告牢底坐穿，对两高管这年纪来说这辈子算完了。 从这个保险业务行为来看，他干这个已经熟门熟路，事后如何应付警方追查全部计划好了。而业务开始的计划应该也并非杀人而是阻碍救援，第一辆车他换成汽油让墨菲斯抛锚，另外两辆本应继续上路，而墨菲斯就地等待救援或者应该抛车（但他是老板估计会心疼卡车等救援），正是连姆尼尔森倒车，才引起后来意外的事情。而在两辆车都翻倾后，他以为已经成功阻止救援运输计划，连姆尼尔森请求支援时却没有报告他们4人，他这时发现主角还决定把卡车拖正继续任务，而且抗议小妹的哥哥就在矿洞下，她也不会放弃前进，于是彻底起了杀心制造爆炸。要不是一个连姆尼尔森这样的角色，换成一般卡车司机早在各种冰路上的意外就会停止，保险也可能不会升级到杀人，这正是成为「英雄」的讽刺之处，英雄的阻碍正是来自他的英雄之举。之后穷追不舍步步升级是因为保险业务阴谋彻底暴露，他同样必须把所有知情者灭口，否则难逃通缉坐牢。 唯一有点粗糙的是，墨菲斯作为运输行老板，自己的车离奇抛锚居然没有起疑心，这点比较难说得过去。所以这剧本虽然说稍显工整刻意，但基本人物动机与剧情设计没有太大漏洞，如果这都算剧情很差看不下去，那之前网飞那一个礼拜一部的片子有几部能看的？,70.0,7.0,21
1,1,34802334,冰路营救,2f57487c3b880e1e005c289d8aaa65c5,dd12d7d6e994ca4ac29964b71a835a06,4.0,2021-06-28 12:30:46,"连姆和弟弟的兄弟情从头到尾都很让人感动。生活穷困，他们接到这次的任务，以为可以赚一笔钱，为弟弟买一辆心心念念的科沃斯的钻井车，谁知，这次的行程是一个阴谋。连姆意识到之后，他说，我们还是要去，这次不是为了钱💰！ 弟弟虽然受过创伤，但是技能强悍，和哥哥的配合很默契。是很认真，认死理的人。最后为了关上门，被卡车挤住牺牲了，让人泪目。 电影最后，哥哥买了一辆车，车牌上写着弟弟给车取得名字：truck,truck,truck.",25.0,1.0,16
2,2,34802334,冰路营救,abf2ffbed032269579902a4ea5c6db4e,c85d56280f619ce52cb3a4597c3d42e3,5.0,2021-09-05 23:37:17,不明白为什么这电影的评分那么低！剧情层层推进，连贯有节奏，坏人坏的我都想冲进屏幕里去揍他一拳。 矿上的人，可以说是众生相了。在个人利害关系面前，有人选择大家一起度过，同生共死听着浪漫，实际上是对所有人生命权的重视。而也是在这样紧急的关头，难免有人想出自保的招数，想要人为降低矿洞内的人数，这样剩下来的人们就可以有多一分生的机会——氧气可以更加充足一些。 一方面是生死关头，另一方面在冰上拖着巨大的行李行车本就困难，可偏偏还要坏势力的干扰。刚开始是不能想到那个保险公司的精算师竟是坏人的。毕竟他一出场的时候看着实在是太憨了。 甚至当第一辆车因为添加错汽油而抛锚时，大家都把矛头对向了因为被动辞职引起矛盾的女孩子。果然坏人是坏在背地里的！ 后来，当真相大白时，坏势力那方的人更是不要脸想要伪造车毁人亡这样的大阵仗，在最后关头过桥的时候，因为怕车子往后滑到悬崖，得了失语症的弟弟用身体挡住了车，最终死亡。 记忆特别深刻的一段是，营救的主角在只剩车头的大货车中与坏蛋精算师对打，但是那精算师就像打不死的小强似的那么顽强。主角最后把车子往冰裂方向开过去，自己跳了车。坏蛋这才终于偃旗息鼓没了生息。 而在之前坏蛋想要把车子伪装成“意外事故”时，也是由于车上的一只花枝鼠咬了一口，被女孩子趁机把那坏蛋踢下了车。 诸此种种，我不知道编剧是否有刻意表现，但是于我，我感受到了善与恶的距离。笨笨的小动物出于自保咬了坏蛋，人力不能打败的坏蛋，竟逃不过大自然的力量。 痴傻如弟弟那样的人，却用自己的生命去换取对哥哥的承诺。或许对他来说，别人的生命这么重的词他是不甚了解的，但他一定记得，他哥哥在跳车之前跟他说的：一定要开下去，不要停！ 有人在嘲笑这剧的逻辑漏洞，说既然有这么一座摇摇欲坠的桥，为什么不去搞桥的破坏，反而要这么大张旗鼓费力气去破坏车子。 但如果事先把桥炸断，不是就不能说明是意外了吗？毕竟在后来的追逐过程中，保险公司的精算师坏蛋，都是一致吩咐自己的手下“不准开枪”的。 而那精算师的领导逻辑也是，要让这起营救的事件轰动，但营救的结果却很悲壮。或许这样悲壮的事迹，也能迅速调转媒体的注意力吧！ 看这部剧一直在感慨的，是坏人怎么可以这样坏。不过，正义与是非之间，从来不容他人置喙。对的错的，不是一言堂就能打的败真相。 这部剧让我看到了很多点，包括：生命是平等的；有时候你觉得是累赘的关系，却也是你的牵绊，让你温暖；有的人或许傻，但心底的善良，比得过很多虚伪君子；人或许可以很能折腾，但在大自然面前，你还是微不足道的一个...... 冰路营救，营救的不只是那20几名矿工吧！营救的是那个年轻女子叛逆的心，营救的是主角沧桑的心。 有时候我们以为自己很正常，嘲笑着那些痴的傻的极端的，但正是有这样的人的存在，这个世界才有了让人眼睛一热的感动。 万事万物的存在，一定有道理。图名图利的背后，若是不尊重生命，早晚会自食恶果。 电影最完美的结局是，坏人永远受惩罚，好人获得了名声。可不知道这世界有多少这样的角落，有多少类似的故事，有多少被拆散的家庭，还在困顿并且将困顿着度过这一世。 电影的意义，也许是警醒，也许是让人感动，予人思考，但绝对不是想着填补所谓逻辑的漏洞。若这世界百般都有逻辑，请问你的一生又是谁设计而来？ 我尊崇科学，但反对盲目理性。有时候不要那么较真，也许你会觉得这个世界，真情会多很多，很多。,5.0,1.0,1
3,3,34802334,冰路营救,e5a9d8d1b0c34aa54fc910b3b33ec51a,e2f1debb41a3330e08dfd4f6198f6586,3.0,2021-11-06 21:45:23,《冰路营救》，影片还不错，不错在流水线式的创作上——每个人物性格和其背景设置交代清晰。虽然故事老套，打斗也没啥新意，贵在一板一眼扎实创作，适合导演和编剧作为课本学习一下。 有了人物，再用一个煤矿坍塌、漏气的事件（事中事结构，漏气还有引擎）把几个重要人物编制在一起。三条线索，三箭齐发。这个编剧的写法值得学习，线路清晰，交织明确，是好莱坞影片框架下的产物，虽然没新意，但每个角度和爆点都到位了。 男主角，退伍老兵，年老但力强，带着一个有战争后遗症的“痴傻”弟弟，想帮助弟弟治疗，想带弟弟过上有一辆自己卡车的生活。 男主的弟弟，痴傻孩子，但是有手艺，修理卡车一级棒。但是因为战争后遗症，听不太懂别人的话。一根筋，后来就因为他的一根筋才能救了最后一辆大卡车。 女卡车司机，信誉上有不良信用记录，频繁换工作，自己的哥哥在坍塌的矿井里，所以特别想去救自己的哥哥。不被人信任，有些鲁莽，但是耐力好，车技高超。 保险代理，只为钱财，可以视人命如草芥，资本家的丑恶嘴脸在他身上全然体现。保险代理很狡猾，开始大货车上他扮猪，制造雪崩时他又是那么狠辣，形成对比。后来他一次又一次给主角制造各种险境，简直是打不死的小强。这个人物可谓一坏到底，就是坏得缺乏层次。 同样这部电影的人物，都是扁平，缺乏层次。人物交代得不错，人与情节交织也不错，就是缺乏深度。打斗看起来也不够爽利。要不是经过每天吃饭看20分钟的组合式看法，这部电影很难看得完，没有一气呵成的观影感。只当个教学片看看吧。,,,0
4,4,34802334,冰路营救,5441d0d237c722b1d8d84fa6ea867d03,2410de53e24c7c008bdd4f8c3cb1bac1,3.0,2021-11-06 20:21:00,熟悉这哥们的都知道，这伙计运气不大好，总是在营救，熟悉他多是从《飓风营救》开始的，还有《夺金营救》等，这次还是营救，不过不是营救女儿，这次是营救矿工兄弟。 话说在极度深寒的“大家拿”的那个国家，也有人管那个地方叫“加拿大”，甭管叫什么吧，反正就那疙瘩，有个矿发生了坍塌，不少旷工兄弟被困矿井中，想让矿工兄弟顺利脱险需要重达30吨的井口设备。  矿场求助当地的空军，奈何当地的空军只有直升机，运不了这么沉的玩意，这可咋办？ 考虑到时间紧，任务重，面对众多的旷工兄弟，矿场试图用载重卡车作为运输工具， 把井口设备拉到矿场，只有条冰路，但已经封闭，因为早就过了冰冻期， 而本剧男主，1个资深的卡车司机，因为揍了歧视他智商不太高的兄弟而愤然出手被开除，   恰在此时，哥俩接了这趟颇具挑战的任务，倘若成功回报丰厚；    于是乎，3辆卡车带着同样的设备出发了，不多带点，万一路上有个闪失咋整？    果不其然，出发没多久，一台卡车落入冰窟，伴随着卡车还有司机兄弟；    剩下的2台卡车继续前行；    1台卡车兄弟俩开，另外1台是1个女孩和1个矿场派的年轻人开，那女孩的哥哥就是被困矿井的矿工之一，而矿场派的是坏人，企图阻止营救，让被困旷工永远“闭嘴”。    一路上，兄弟俩排除众难，联合那个女孩一起和矿场坏人做斗争，在临近矿场的时候，脑子不怎么灵光的弟弟为了卡车能顺利到达，牺牲了自己，最后矿场被困的矿工兄弟全部获救，矿场想隐瞒这一切的罪行也被曝光，男主用奖金买了弟弟生前想买但买不起的卡车 开始新的生活,,,1
5,5,34802334,冰路营救,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2021-10-25 17:58:50,今天聊聊电影《冰路营救》。 片名The Ice Road / Red Ice (2021)，别名极地冰劫(港) / 疾冻救援(台)。     一直在救人的连姆·尼森（Liam Neeson）大叔现在跑到冰天雪地的加拿大北部了，转行当了冰路卡车司机迈克（Mike），在那个连鸟都不出来的地方继续他的救人大业。 《冰路营救》预告片 迈克这次需要面对的不仅是恶劣天气，还有险恶的人心。     本片在加拿大曼尼托巴省（Manitoba）拍摄。 曼尼托巴省位于加拿大中南部，冬季寒冷漫长但阳光充足，冬天的气温最低可达到-24℃，大多数地区年降雪量在110至140厘米之间，所以比较适合拍摄。     加拿大北部偏远地区的一个矿井发生矿难，二十多名矿工被困井下，亟需救援。 矿井没有合适的设备，需要从外地调运几十吨重的井口和管道。货物太重，空军无法完成，只能依靠勇敢的卡车司机一路飙车送货。卡车司机需要赶在被困矿工氧气耗尽前送达井口，否则所有矿工都将罹难。     此时已是4月，天气转暖，冰面的冰层开始融化，政府早早就关闭了冰路。重型卡车走冰路将会面临巨大危险。 很多卡车司机都不敢接下这个任务，经验丰富又恰逢被炒鱿鱼的迈克接下了此项任务。 和他一同接下任务的还有卡车老板戈登罗德（Goldenrod）和刚出狱的坦图（Tantoo），三辆重卡一起出发，实施饱和式救援。陪同他们一起的还有保险公司精算师瓦尔奈（Varnay）。     饰演坦图的安伯·明迪桑德（Amber Midthunder）之前和连姆·尼森合作过《神枪手》（The Marksman ，2021）。她在该片中扮演加油站员工，免费给连姆·尼森提供路线图。 饰演瓦尔奈的本杰明·沃克（Benjamin Walker）的触电处女作《金赛性学教授》（Kinsey ，2004）也是和连姆·尼森合作的。     《冰路营救》如果仅是重型卡车狂飙30小时完成任务，那么将很缺乏高潮。 即便加上各种路况，也很难出彩，顶多拍成一部灾难片。 于是本片选择加上各种坏蛋作祟，最好用的方法就是天灾里加点儿人祸，由人祸引出天灾，再用天灾掩盖人祸。而主角们的目的就是在天灾人祸中求得一线生机，最后还要吧坏蛋一锅端了。        “资本来到世间，从头到脚，每个毛孔都滴着血和肮脏的东西。” 本片中担任反派的就是黑心资本家，他们为了追求利益极致最大化，不惜关闭矿井安全措施，再给矿工一点蝇头小利，以此赚取高额利润。 发生矿难后，黑心资本家的丑恶行为面临被曝光危险，于是他们选择阻挠救援，让所有知情矿工死在井下。     有了这么一个背景，故事剧情就变得曲折复杂丰富起来，简简单单的一次卡车司机和天气赛跑、和时间赛跑，变成了卡车司机和流着肮脏东西的资本家对决。 好看程度和扯淡程度双双飙升。 你不知道这些黑心资本家在片中的各种骚操作是聪明还是愚蠢，也不知道这些平民在片中的表现是淳朴还是智障……        本片中三辆大卡车的配色也不是随便选的，而是隐藏了《变形金刚》的彩蛋。 三辆卡车在途中交换过司机，在瓦尔奈驾驶卡车追击撞击迈克的卡车时，迈克的卡车是红色，瓦尔奈的卡车是黑色。 迈克卡车的配色是擎天柱(Optimus Prime)的传统配色，瓦尔奈卡车的配色是黑暗擎天柱（Nemesis Prime）的传统配色。而黑暗擎天柱的唯一目的就是摧毁擎天柱，所以选用这样的配色。     飙车不够坏人凑， 光鲜之下人吃人。     这里是硬核影迷集散地，欢迎关注公众号：妙看影视,,,0
6,6,34802334,冰路营救,3c99c7754d47a023a060b860c0636887,356f4a67b3d4f35ddceb894432d882b9,2.0,2021-10-21 22:59:34,两辆满载的重型卡车在冰面上侧翻，还能互相拉起来？？？我人傻了。。。 冰面都不打滑，过桥你开始打滑了。。。 弟弟跟作者有什么深仇大恨，非要被写死。。前面一直很聪明，最后想靠一个5斤重的门栓，挡住满载的重卡。。。 雪崩后坏人不直接下来截胡，还等他们把车拉出来，一个车头一点不带打滑的就能拉出一整辆满载重卡，后六个轱辘还悬空。。 弟弟明明会开车，非得留下一辆车给坏蛋追他们用。。。66666,,,0
7,7,34802334,冰路营救,098d76f2d0ba82665a268731290f31cd,1ada95b1c4468e42f2705ae01f2316fc,3.0,2021-08-29 17:15:52,以后连姆尼森的电影能不能换个译名——一翻译成“营救”，“救援”总有一种大叔的老婆/女儿/同事/好朋友又被劫持了的感觉。 而且以为是营救旷工的电影，结果真就是一路开车和旷工一点关系都没有啊——最后一定要出现的阴谋感觉可有可无，无非就是路上遇到了很多困难 弟弟突然领的便当更是让我整个人都楞在了电脑前面，啥意思？人家兄妹团圆，我森就只能以后抱着小老鼠思念了呗？没明白弟弟的去世能够有任何的帮助吗？也没有推动剧情啊？干嘛啊，英雄就一定都是孤独的吗？ 还有大叔从失去弟弟的悲痛中，也太快就走出来了吧，电影很多细节和场景好像刚刚到了那个渲染点上，突然就下一幕了。 就，挺秃然的。 顺带说一句，连姆尼森真的肉眼可见的老了，心疼（哎） 2021.8.29 R,1.0,,0
8,8,34802334,冰路营救,1703752fefc61c5c99c339f6d7ca798c,30357e076587835516d3578f4d1e8704,1.0,2021-08-08 09:03:01,连姆大叔都得有70多了吧，还这么拼，实在是让我们这些年轻人汗颜。想起我长影的老师刚退休的时候对我说：“小郭，我打算在我60退休到70岁这个黄金的年龄再干一番事业！！”当时惊到了我。管这个电影再怎么没意思，连姆大叔这种老骥伏枥，志在千里的精神头真的让人钦佩。 挣钱没够啊。    剧情嘛，自然也在有气无力的打斗戏之下显得更没意思。总结就是资本主义更恨资本主义，吃人不吐骨头。但是工人们也收了100美元的钱，关闭传感器实属周瑜打黄盖。保险公司职员更是不容易，谁能想到卖保险还得杀人越货呢？真是成年人的世界没有容易2字。关键资本家也是没有脑子，你都要杀人了，怎么能把赌注压在卖保险员的身上呢？你不花点钱请些专业人士，才是你失败的最终原因。好钢用在刀刃上，你看那些个喽啰，都是保险公司的临时工吧，70岁的人加精神病弟弟和一个女人都打不过，有的还出工不出力，还是不行。   话说这这么大吨位的车翻了还能拉起来，也是神奇。这精神病弟弟死了，也毫无疑问是电影的败笔。把观众的期盼都掐死了。观众并不关心矿井下的那么多工人好吗？人物核心在司机的成长线上啊。总之，我们还是应该向连姆大叔学习，能挣钱的时候就尽量干。还是《喜剧之王》里那个送外卖的说得对，烂不烂问厨房。钱挣到了就可以，好不好问编剧，问导演。,4.0,1.0,0
9,9,34802334,冰路营救,e1bd9172fdf701e9060432fd269d3307,08b52365d0e0e1579804c09a24dafc7b,3.0,2021-08-06 22:19:16,整体的历险节奏把握得比较好，一个接一个，这是这部电影的最大优点。但是剧情逻辑比较弱，失语症的退伍军人弟弟死在了自己性格上的固执保守，坚持把门关上，但这个性格特点是哥哥愤怒的责备的说出来的，之前的剧情如果做点铺垫，逻辑会强一些。两辆卡车倒地在冰面上，用缴索拉起来，这个太轻松了把，哥哥把弟弟从湖里救上来，拉近车里，衣服就干了，这个BUG有点大。另外这个反派“杀手”的能力超乎一般人的想象，其实这种题材加一个人类反派也不是没有道理，但你把大自然这个反派刻画得有点傻白甜。这就让人有点不忍，个人觉得他们这一路上所面对的困难来自反派的暗算以及大自然的恶劣环境会更真实一些，至于矿工被困井里其实只是这一切历险的引子，也同样是人为制造的灾难，一部灾难片看似在克服自然灾害，实则是面对人心的险恶，如果影片能把这种人心的险恶再深刻一点，不要流于表面，会更好一些，毕竟影片的时长也不算很短，完全有时间去描写内在的东西。,1.0,,0
