,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34954336,砍人快乐,df2b2c978ae0327608fe695197491e09,f86fbb1a6c3c3652cdc834f812bebba6,2.0,2020-12-06 20:03:16,如果个性化推荐系统，有一天能写剧本了，能出的作品也就是这样的吧。 根据过往连环杀手类型电影进行归纳，计算出一套模版，在一些吸引眼球的桥段进行创新。比如增加一些血腥画面，做一些翻转程度的递进。果然看电影比较初级的人会买账，就好比购物比较少的人会被小红书某类破东西种草。 所谓身份互换这个烂梗，你肯定厌倦看女孩演杀手和大叔卖萌这样的美国类型片，这一次加一起，借了杀手的狠干校园霸凌的坏。高中生应该看的狠爽吧。可能程序推算出目标用户是高中生了，看片少，又要爽，投其所好证据之二。 专业投其所好，所有的情节都似乎是程序自动“猜你喜欢”，个性化推荐的愚蠢也会在本片大行其道。比如反复推荐你看过的东西，并不理会你是否恶心。年轻人性禁忌，老妈过度依赖，年轻男孩卖个腐啥的。 这可能是我看过的最不像人写的电影，所有套路都似曾相识，然后在标准抓坏人和倒计时刺激之中重新组合，按部就班的如同高中模拟考试的作文题。 最后，爱情亲情友谊，顺分顺水全部给齐。原来不只是我国，美国也有这等无脑烂片。一心奔着市场，奔着所谓的用户需求。创作者如果让我们观众看出来他是在谄媚，在填鸭，而没有一丝自己的作品自己也会喜欢的劲头。在我看来就是标准的烂片。 这就好像一个糟烂饭馆的老板，你看他菜单从毛血旺到烤串还有牛肉面，什么廉价畅销就卖什么。你有心问老板，你自己最喜欢吃哪个，老板说，我有病啊吃这个垃圾干啥。 这就是一个典型的以为观众喜欢吃垃圾，然后静心做的一个的典型烂片吧。而且这种烂片就好像片尾的反派，明明中了N枪，还要为了剧情反转过几年就出来诈个尸。 不过老外做烂片也是认真，给的多，该有多元素都给的整整齐齐。,46.0,15.0,29
1,1,34954336,砍人快乐,3b65d780884400c6f860508e91fe06d5,db26965d9de7d8625392075f4cb98a2f,4.0,2020-12-04 19:59:35,"给这个电影打4星不是因为它有多好看多逻辑严密多剧情饱满多画面美丽，仅仅是因为它真的很搞笑啊！哈哈哈哈哈！全程的无厘头美式黑色幽默加不停爆血浆的暴力场面真是太合我心意了。 女主被换到杀人大叔的身体后的部分电影情节笑点太过密集，真的有让我笑到：比如那段女主的两个闺蜜打大叔，大叔后来说“打够了没？”大叔上厕所对男性的性器官表示难以置信；最搞笑的莫过于gay蜜绑架了女主然后他妈妈回家了，gay蜜说“我是直男”，他妈妈来了句：“You are many things, but being straight are not one of them.”😂😂😂😂😂😂😂😂 这部电影确实很商业，剧情也很格式化，blumhouse的恐怖喜剧不都这样吗？先是开头杀一堆人或来一个鬼吓吓你们，然后中间开始一堆逗比围绕着中心神展开，最后再来几个反转。这样的电影比如《忌日快乐》、《准备好了没》、《真心话大冒险》、《恐怖大妈》、《人类清除计划》、《梦幻岛》、《狩猎》等等等等。这些搞笑恐怖片可能分都不算高，但是整体上来说黑色幽默的气氛真的很对我的胃口，安利安利！",34.0,2.0,23
2,2,34954336,砍人快乐,267bcb7979fc0ee0aaab569b7e11045c,839ca47c2af04bb910f1b180ad86e0b8,3.0,2020-12-17 14:13:13,"提起Blumhouse（布伦屋），相信不少影迷朋友对这个名字还比较陌生。但如果盘点一下这家依附于环球影业旗下的公司所出品的诸多影片，大家应该或多或少都曾看过。

像是奥斯卡热门《爆裂鼓手》《黑色党徒》都由他们开发。不过更多则是以出品中小成本恐怖片而出名，前几年大热的《人类清除计划》《潜伏2》《分裂》《逃出绝命镇》或者近年的一系列黑马新贵诸如《忌日快乐》《升级》乃至今年大爆的《隐形人》等影片均出自这家公司之手。

也许就知名度来说尚不如同样深耕独立类型片的A24，但比起这家公司更加风格化、作者化的制作策略。Blumhouse则更多以创意取胜，因为受众更加广泛，在商业成绩上也要更加亮眼。所以如今他们也被誉为好莱坞新晋的恐怖片专业户。

在《隐形人》的惊艳成绩之后，2020北美疫情仍不容乐观，但即便如此依旧有一部影片引发了北美影迷的广泛热议，如今，这股热度或许即将传到大洋彼岸的亚洲。

也就是今天要说的这部《砍人快乐》（Freaky），又译《互换身体》，在某种程度上也继承了《隐形人》的精神，由此前创作《忌日快乐》两部曲的年轻导演克里斯托弗·兰登参与编剧并执导。

熟悉《忌日快乐》系列的观众应该清楚，这位导演非常擅长凭借一个聪明的高概念结合传统的恐怖片模式去创作一部看起来崭新的作品。前作主要灵感便来自于经典影片《土拨鼠之日》。

到了这部新作《砍人快乐》，在另一个译名的提示下，我们不妨可以直接看出影片的核心高概念，也就是“互换身体”。尽管这一概念如今似乎不再那么新鲜，但作为一名生于1975年尚属新生代导演的克里斯托弗·兰登，则凭借他更加年轻化的个人经验和对社会现状敏锐的观察，让影片达到一个更加具备现实效力的层次。

影片开场，伴随红色版本的环球影业片头和令人不安的音乐，和醒目的红色涂鸦字体，影片昭示了它的基调。伴随着被诵读的传说，我们了解到杀手将会在返校节期间展开他的杀戮行动。不出意料的，高大强壮的戴着面具的凶手登场了，并展开了一系列骇人但又精彩的“杀戮表演”，毫不吝啬的血浆与逼真的道具让人留下深刻印象。

开场这一独立于主线故事之外的部分，是非常典型的“杀人魔类型片”要素。这一恐怖片亚类型按现在的说法是由约翰·卡朋特开创的经典系列《月光光心慌慌》所奠定，其后的《猛鬼街》《惊声尖叫》等系列都是该类型的代表作。

这一类型的恐惧来源于无辜的受害者被凶手追杀的无助和绝望，但在多年的发展中，尽管最后总是以受害者的存货作为一种胜利。但这一类型还是开始逐渐带有剥削的意味，大肆的屠杀反而演化成为一种小众的趣味，而观看的位置也逐渐从受害者倾斜至凶手。也因为受害者常常为女性，许多镜头在强烈的男性凝视的基础下带有了难言的复杂意味，在今天这个倡导平权的时代，其实是不合适的。

所以本片同样以一种经典模式再现的方式开启，可以理解为致敬，又可以理解为预先安排下的批判与否定。于是在这之后，影片以一系列速写的方式介绍了女主人公米莉（Millie）的身份与背景：一个男性形象缺席的家庭、略微怯懦和沉默的性格、喜欢一个男孩、在学校没有得到很好的待遇并伴随遭遇欺凌的可能。在此之余快速提及了两位主要人物，一位黑人女孩和一位同性恋男孩，人物的动作和台词非常轻易的交代了大致的形象，并以打趣的方式契合了当下的流行——社交网络。

在完成充分的准备工作后，预先昭示的返校节到来了。凶手“屠夫”在烟雾和传说故事的修饰下登场，屠戮开始的标志是社交网络的消失（手机没电），暗示着这一时刻的返古。之后以一个强硬的带有奇幻色彩的设定引导人物开启了主故事线，也就是从凶手和受害者主角意外互换身体开始。

之后分别展示了二人在互换身体后的不适至适应的过程，整个部分的语气非常幽默，两位演员优秀的表演成功表现出了交换后的反差。很容易让人联想到前几年大热的《你的名字。》。

而身体的互换不仅局限于外在的形象与体征，更重要的是社会身份的互换。屠夫不适应一个基本的家庭生活，无法自在的享受一个拥有丰盛早餐的清晨。米莉因为一具危险的身体与面容，不再能够安然的行走在社会空间，长久处于被压迫地位的她如今反倒成为恐惧的化身，并在街头引发了一系列混乱。

这一段落在另一种角度可以视作一种隐喻的性转过程，二人正分别适应转换为另一种性别的过程。而米莉朋友最初的误认不仅可以代表着对于罪犯的恐惧，同样也可以视作对于少数群体的恐惧，而在解释过程中被共享的私人体验则开始化解这一隔膜，也强调了人与人之间本真联系的重要性，而非停留在表面的各种形象与身份。

在故事发展的过程中，两个人物实际上也拥有某些共性，他们似乎共享了某些伤痛经验，于是也分别以恐吓与极端暴力的方式向曾经欺压米莉的对象展开了报复。也以截然不同的声音达成了僵化的亲情关系的和解。

本片最显趣味的部分在于大量不显冒犯的喜剧段落的引入，除了最初的以人物动作制造出的反差笑料，诸多专属于当下时代的台词说出的性别性向笑话也同样令人捧腹。也让作为恐怖片的本作不再显得那么沉重。

导演力图涉及的话题相当丰富，除了此前在恐怖片中经常被谈论到的校园问题和原生家庭外，对于女性主义和LGBTQ元素的涉及是此前鲜少能够见到的。危险不仅仅是那名绝对的杀人狂魔，更多则来自于身边，对受害者的二次伤害、对女性的“荡妇羞辱“、男性的侵犯，都充满着人文关怀。

而更为难得的是，在本片中几乎看不到任何剥削的意味，米莉是处于更加主动的位置，尽管同样存在一个“杀手“，但实际上两个人是共同在完成寻找这一个动作的，而作为主角的米莉则拥有一个非常完整且多方面的成长线。

在车里，朋友和米莉的一段对话点名了本片的最终主题：成长。“力量不是按体型算的，而是来自大脑，还有内心。“强大的力量必然不是拥有凌驾一切的暴力与伤害型行为，而是勇敢的面对一切，维护好基于人的一切。

这在尾声的补充段落得到了充分应验，在结束交换之后，米莉终于直面了自己，拥有了勇气，以专属于恐怖类型片的方式，也就是相对合理化的杀戮，完成了成长的最后一步。米莉也收获了一系列“胜利的奖励“：更紧密联系的友情、终于出现萌芽的爱情、互相理解的亲情。

尽管本片的革新大多仅停留在观念层面，实质上依旧是套路化的恐怖片制式。但在这个令人逐渐迷茫的时代下，这样一种有趣的创作注定会大受欢迎，丰富的小细节也显露导演对于生活细致的观察、体验和同他丰富想象力很好的结合。

像这样拥有合理的关怀，并非强硬的口号，足量的类型元素，愉快的观看体验，都让这部作品显得优秀起来，绝对是你今年不能错过的一部电影。  本文首发于 看电影看到死。",12.0,1.0,1
3,3,34954336,砍人快乐,f7848c1fa7b08cfe1b3f88729e0e1add,1b27e9273fc182dbf718d3ea73b173e8,4.0,2020-12-07 22:44:28,"本文首发于《环球银幕》微信公众号哟~！关注就完事儿了哟！  不久前《名利场》杂志给出了年度十大佳片的榜单，有不少光彩照人的“熟面孔”，比如在威尼斯风生水起的《无依之地》，杀入柏林的《从不，很少，有时，总是》等。 不过在一派正经的面孔中，一位画风有些与众不同的入选者成功的引起了我的注意。 毕竟在这种榜单中看到一部充斥着血浆和无厘头沙雕笑点的电影还是挺让人意外的。 估计你们也猜到了就好这口儿的我已经忍不住要给你们安利了，话不多说，赶紧来聊聊这部—— 《砍人快乐》 光看这个片名或许就能猜到，本片正是一手打造了两部《忌日快乐》的导演克里斯托弗·兰登的新作。 虽然片名“Freaky”直译“古怪”，不过这个姊妹版翻译确实点出了本片与《忌日快乐》异曲同工的精髓之处。 靠着开脑洞来完成一部低成本惊喜多的恐怖喜剧对于兰登来说可谓是驾轻就熟。 在BlumHouse野心勃勃的8部恐怖片半数折戟沉沙的情况下，《砍人快乐》的确算得上是个不小的惊喜。  《砍人快乐》的核心概念就是“换身”（基纽队长一声坏笑）。 无论是女女换身的《辣妈辣妹》、男女换身的《女男变错身》、男男换身的《两男变错身》以及大批量高频次换身的《勇敢者游戏》系列，你能想到的排列组合，在过往的同概念电影中都能找到。 不过满脑子坏点子的兰登仍旧找到了新的方式，如果“换身”的故事发生在《惊声尖叫》或者是《月光光心慌慌》的恐怖世界中呢？  灵魂进错家门的阴差阳错没有让两个截然不同的人因此相互靠近，更谈不上任何温情的人生启示。 在片中奇妙的24小时内，这二位的目标简洁明了，就是要互相弄死对方。 米莉·凯斯勒（凯瑟琳·纽顿）是一位即将迎来毕业的高中女孩儿，她平凡，普通。 唯一让她被人关注的事情也就是遭遇校园霸凌了。 





 在真正的意外发生之前，她就已经厄运缠身。 父亲的去世影响了她的家庭，过于焦虑的母亲在米莉身上倾注了过强的保护欲。 米莉体恤母亲的心情，就连学校的返校节也可以不去参加，而母亲的酗酒行为也让大女儿夏琳非常不满，三位女性构成的家庭随时有陷入紧张状态的危险。  虽然米莉看上去并不是传统概念中会被欺负的女孩儿（看看纽顿在《伯德小姐》中的经典黑历史造型，那才叫刻板印象），但她也的确有着脆弱的一面。 你能感受到她看待自己的不自信以及面对未来的迷茫，她连跟心仪的男孩子打个招呼都要犹豫到人家离开之后。 





 然而这还不是最糟糕的，有着“毕斯福屠夫”之称的连环杀人犯（文斯·沃恩 饰）时隔多年再次回到了镇上大开杀戒，在一次杀戮中他无意间拿到了名为多拉之刃的神秘匕首。 两人的不幸相遇本将会是又一场悲剧，但因为不懂匕首的正确使用方法，导致二人互换身体，如若24小时没有换回来，就永远没有机会了。  《砍人快乐》选择了充满欢乐的惊悚路线。 与《忌日快乐》的“土拨鼠之日循环”相比，本片以换身笑料以及追杀为主的剧情主线并不复杂，甚至可以说相当“省脑”。  不过导演兰登在“砍人”和“快乐”上都拿出了十足的诚意，足以弥补一些尚需打磨的细节。 影片开场的戏份如同导演写给上世纪七八十年代经典砍杀电影（Slasher Film）的一封情书。 泛着猩红色的环球标志以及让人绷紧神经的配乐，伴着四位青少年口中关于“屠夫”的骇人传说一下就将我们拉入了熟悉的恐怖片环境之中。 地下室突然现身的彪形大汉不发一言，粗暴的将一瓶红酒插入了受害者的嘴中。 在清脆的炸裂声后，酒瓶的碎片瞬间刺破了男生的喉咙，鲜血与红酒一并流出，碎片如同一朵沐浴在新鲜血液中的邪恶之花，最赤裸裸的感官刺激。 





 而其他三位也难逃魔掌，花式死亡接连上演，足够残暴。 被害人与目击者声嘶力竭的尖叫，杀人狂脸上跟“杰森”一个品味的古老面具，无一例外都令人想起了《十三号星期五》那些水晶湖旁不堪回首的夜晚。（导演都明晃晃的把“十三号星期五”打在画面上了！） 





   同时，在昏暗的路灯下，那手持匕首头戴面具与米莉隔路相望的高大身影，也简直就是《月光光心慌慌》“麦克尔·麦尔斯”的经典再现。 至于结尾一家三女齐心协力对付杀人狂的场景，更是有着《月光光心慌慌》的影子。（德州电锯杀人狂和糖果人的小彩蛋就不用我提醒了吧）  至于“快乐”，更是差不了。 这主要得益于文斯·沃恩的精彩表演，曾在98年翻拍版《惊魂记》中饰演著名变态杀手诺曼·贝茨的文斯肯定没料到有朝一日会以这种爆笑尴尬的方式回归此类角色。 换身期间文斯对高中女生的许多动作细节进行了惟妙惟肖的模仿，走在大街上紧张的左顾右盼以及过马路时精准摆动的双臂真的是灵魂附体。 





 当这些细节出现在一位带着血腥味儿的彪形大汉身上，喜感突破天际，只要找对了演员，这种梗儿屡试不爽。 化身杀手的凯瑟琳·纽顿相比之下显得有些中规中矩，跟萨玛拉·维文这种血浆专业户比起来还是有差距的，不过前后形象的反差以及各种“借刀杀人”的桥段设置还是有够过瘾。  作为又一部女性反杀电影，《砍人快乐》对于相关议题的处理显然比一些只有口号喊得响亮的电影更加自然柔和，相比性别对立，片中没落得个好下场的小反派们更像是对于“校园人渣”的一次集体展示。  兰登导演玩起关于同性恋的梗更是信手拈来，女主的好友之一是gay不说，他还让两位大直男以一种意想不到的方式光明正大地卖了一次腐。（这个爆点绝对不能剧透哈哈哈哈哈！） 虽然以追杀为主，但母女关系仍旧借危机得到了化解，几处温情时刻也并不突兀，只不过所谓的情感危机以及母女矛盾本身就算不上严重，在娱乐性之下的人物情感刻画多少就显得有些平庸。  不过整体来看这些瑕疵并不影响观感，本片依然是一部适合在闲暇时间找找乐子放松心情的作品，还没看的可以赶紧行动起来啦！",10.0,1.0,1
4,4,34954336,砍人快乐,791e21a69af1b3636a7140fa8a8bb568,dbdef229301dde3e99ef21f8b692c4d5,2.0,2020-12-12 11:42:57,"这是部随便打打tag，都能引人好奇的电影。 关键词之一：恐怖喜剧 还有什么比一部满是血浆的恐怖片更赚人眼球？ 有，那就是一边砍人，一边搞笑。 导演前作《忌日快乐》与《忌日快乐2》，走的都是这路子。 到了《砍人快乐》中，血腥指数全面升级。 片中反派，是一名被称作“布利斯菲尔德屠夫”的男人。 为啥是反派，看外号也知道—— 杀人如杀猪。 从1977年开始，屠夫在小镇上犯下累累罪行，并于20年前失踪。 直到这一年返校节前，他带着杀意再度出现。 





 你在游戏里做不到的quadra kill，屠夫在砍人快乐online轻松实现。 酒瓶入喉颈作痛，马桶砸头把命送。 球拍穿脑难善终，木桩破腹人悬空。 好家伙，《1000种死法》都没你敢拍。  一夜四杀，令小镇陷入人心惶惶的恐惧气氛中。 ……才怪！ 镜头一转，恐怖片场秒换为高中校园。 无所畏惧的学生们继续吃吃喝喝玩玩乐乐，准备迎接一年一度的返校节，气氛那叫一个欢快。 唯一与此格格不入的人，是女生米莉。 关键词之二：原生家庭 这年头，家庭幸福父母双全的人，早已没资格成为电影主角。 米莉作为本片女主，父亲前些年意外去世，母亲掌控欲爆发酗酒成性，姐姐当上警察，平日无暇回家。 于是，安抚和陪伴母亲的任务全落在米莉一人身上。  没时间参与校园活动，又疲于应付校园人际关系，甚至没工夫穿衣打扮。 种种原因相加，令米莉成为学校中最不受欢迎的人。 关键词之三：校园霸凌 特立独行，便会引人关注。 女生小团体日常嘲笑米莉穿衣土气，刻薄老师总在课上对她阴阳怪气。 橄榄球队的无脑男生们，更肆无忌惮地取笑她。 





 球赛结束这一晚，米莉在路边等待母亲接她回家。 没有同学关心，在这个有杀人犯潜伏的小镇，一个高中女生独处是否有危险。 米莉本人也不知道，她的母亲再度喝得酩酊大醉，早忘记接她的承诺。 黑暗中，有身影向米莉逐渐靠近……是布利斯菲尔德屠夫。 关键词之四：灵魂互换 毫无疑问，普通体型高中女生在高壮杀人狂手下过不了五招。 手起刀落，匕首扎在米莉肩头。 女主，卒。×
怪事发生了。√ 屠夫肩头出现了与米莉一模一样的伤痕。 





 紧接着，警察赶到，屠夫落荒而逃。 所有人都当这是起杀人未遂事件。 然而一夜过后，米莉再度醒转，忽然发现——  没错！她和屠夫灵魂互换了！ 一米六五金发辣妹变身一米九邋遢中年壮汉。 家住垃圾堆，邻居是瘾君子，头顶自带“杀人狂魔”称号，上街都能给路人吓趴下。 想要拿回身体，还得注意别被警察一枪毙掉？ 难！ 米莉这边是“人生不如意十有八九”，反观进入高中女生身体的屠夫，多年来杀人手不软，逃命气不喘，早已学会“我偏要勉强”。 人是一定要杀的，反正杀谁无所谓，在哪里杀也无所谓。 披着柔弱无害的小白兔外表，倒是更方便下手。   摸胸乃灵魂互换标准操作 关键词之五：反杀 无论看文看剧看电影，一条公式早已深入人心—— 扮猪吃虎+黑化=爽。 披着米莉皮的屠夫，那就是回宫后的甄嬛，学了移花接木的江玉燕。 人看着变化不大，气场足够令人退避三舍。 





 可惜总有不长眼的，非要往跟前凑。 比如日常带领小姐妹霸凌米莉的八卦妹。 明知米莉前晚险些丧命，还要揭人伤疤。 正撞上屠夫手痒，直接被关进冷冻库，摔得粉身碎骨。 





 日常爱贬损米莉的老师也没能跑。 照例当众讽刺米莉，也不想想屠夫哪受得了这个气。 才一下课，就被对方操起电锯，劈成两半。 见色心起的体育生们更是自寻死路。过去看米莉好欺负，没少说过下流话。如今见对方气质大变，居然想设计轮X她。 下场如何，咳。 只能说，怎一个“惨”字了得。 酒瓶砸头、小刀割喉、电锯杀鸡，《1000种死法》再度上线。 





 明知道屠夫是个杀人不眨眼的恶魔，但眼看着欺人者一个个自食恶果，谁不要说一句—— 谢谢，有爽到！ 关键词之六：LGBT 如今的欧美电影，没点LGBT元素，怕是要被影评人唾弃进坟墓。深谙观众喜好的《砍人快乐》自然不会犯这种错误。 米莉虽被排挤，却也有一个闺蜜，和一个gay蜜。 日常靠gay蜜承包本片笑点： 灵魂互换事件后，米莉顶着屠夫马甲找朋友求助，依旧由gay蜜承包本片笑点：  快进到几人齐心协力，把杀人狂版米莉五花大绑后，承包笑点的依旧是gay蜜。 能将LGBT元素融合的如此顺畅不生硬，算是本片一大亮点。 但导演仍嫌不够。 关键词之七：真爱至上 好歹是以高中生为主的电影，没有点甜甜爱情怎么说得过去？ 上学期间，米莉一直暗恋同班男生伯克。整个橄榄球队，只有他不会和其他男生一起嘲笑自己，还常常替自己解围。 可一直处于自卑中的米莉从不敢告白，至多只敢往鞋柜里塞一封情书。 倒是变身屠夫后因祸得福，为证明身份，表白了心意。 





 “我爱的不是你的皮囊，而是真正的你。” 虽然很容易get导演想表达的思想。 但不得不说，有些画面的冲击力，真挺大的……  要尺度，有血流成河，男男kiss； 要脑洞，有灵魂互换，杀人狂魔变身靓丽女高中生； 要政治正确，有“爱无所谓性别”的LGBT元素，及“校园霸凌者必将自食恶果”的教育意义。 如果你是恐怖片爱好者，还能从中发现对《月光光心慌慌》《闪灵》《十三号星期五》等知名影片的致敬。 





 《砍人快乐》就像一部噱头大杂烩，随便哪个片段截出去，都能收获一片好奇与叫好。 然而—— 容器再精致华美，也掩盖不了内容物平淡如水的事实。 剧情进展基本猜得到，身强力壮假杀人魔带领一众伙伴，制服心狠体弱假高中生，实在算不上有难度。 原生家庭、校园霸凌等社会话题也未得到深入探讨，仅起到推动剧情作用。 找到真爱、母女和解的结局，同样来得波澜不惊，像为强行达成HE，草草拍一下了事。 仔细回味，才发现100分钟的观影过程与刷手机别无二致，不断被感兴趣的要素吸引，真看过又觉索然无味。  不过手机应用骗到点击就算赚到，电影空有噱头看过即忘的话，就别怪观众吐槽了。 如何做到既引人瞩目，又言之有物？ 快餐时代，这恐怕是全世界创作者，都要继续思考的问题。",11.0,5.0,3
5,5,34954336,砍人快乐,1047267a02eaf5bc01c0a3b470d6b2d6,016cc5fb2c2104bbf2b41e566a4595a5,3.0,2021-11-07 18:01:36,无论是高超的妆容穿搭技巧，还是将错就错的让人误会身份。这个大叔都不像个精神病院跑出来的。而且在学校看到了变成自己的Millie后居然尖叫引来保安。这一点别说精神有问题，哪怕是个顽固点的直男都没法如此信手拈来。     而如果说屠夫睁开眼后看到一切后，没有过激反应，是因为本就这一堆一块，没啥可怕的话，还说得过去。但Millie醒来后，至少应该再吓晕一回吧。     Millie这么一个金发碧眼的大美女，总让人觉得和被霸凌沾不上边，相反倒是霸凌她的Ryler，似乎更像一些。而这种带喜剧色彩的恐怖惊悚片总有一个定律，就是死的人一定要是坏人。红唇皮衣刚一入校的Millie，先走到她身边的就是两个好友，然后Ryler才过来废话。杀人狂一句狠话轰走了好友，只留下该杀之人。而后，无论是欺负学生的老师，还是没安好心的学生，死的都是不会让人感到不适的角色。就像屠夫交换身体是为了清空前路，让Millie回来后生活的更好的。     Vince Vaughn演花季少女倒没啥问题，不过车后座上的吻戏还是让人不适。我估计他们也知道，所以用一张比脸还大的手挡住了镜头。不然的确会让人反胃。,,,0
6,6,34954336,砍人快乐,5f53973a3a172462b06693c303e93826,f66c080ca4421b977ac7bb4c3b2fb778,,2021-06-21 10:38:18,"能拿到电影节的票在剧院门口拍照留念很开心的时候… 打开豆瓣想开篇了解下 看到《砍人快乐》的时候，人傻了哈哈😄刚开始看… 我… 人就没了🙀开篇实在太恶心了 没有想要看下去的欲望，又不能搅扰大家 硬着头皮捂着眼睛👀坚持了下来。幸好坚持了下来～ 衍射出的人性之光 颇有感触‘觉得我和米莉有很多相同的地方，整个故事我一直跟着她在走，她对布克那种懵懂 羞涩 纯真的感情…太抓人了 还好…结果是好的，真为她开心呢～喜欢一个人真的是由内而外的       其实电影有很多bug… 但我看电影的点好像永远和别人不一样…我觉得看到了很美好的东西，便值得五星🌟电影结束 大家全是掌声，尽管每个人的掌声给了不同的人，我的掌声 送给米莉和布克。米莉的坚持 勇敢 和写的那封信。布克的“其实从第一天 我就喜欢你”“那首诗很美 我反复读了10多遍”…. 留住 岁月里的美好！ 夏日越来越繁茂和丰满，同时既要感谢一个人又要拒绝一个人‘既想拥有又怕失去，这个度 最难把握所以表白有学问 有礼有节 是温柔的 感人的 但又是克制的 点到为止的 既是对所爱者的肯定 又不丧失自己的自尊。很多期待久了的东西 久了久了……也就不在期待了。有些事 只要你觉得值得就好。  
￼",,,0
7,7,34954336,砍人快乐,b25057d5cc2b919ce4b54fe662139b20,b123b32b60c3ce2e1782497944bb9088,,2021-06-20 16:51:34,"I am not yours, not lost in you, Not lost, although I long to be, Lost as a candle lit at noon, Lost as a snowflake in the sea. You love me, and I find you still, A spirit beautiful and bright, Yet I am I, who long to be, Lost as a light is lost in light. Oh plunge me deep in love—put out, My senses, leave me deaf and blind, Swept by the tempest of your love, A taper in a rushing wind……",,,0
8,8,34954336,砍人快乐,02741143f87791e7e69b1c6475676e7d,8138a42e1feb353d769c30bf24c63764,,2021-06-15 00:23:04,21年上海电影节午夜惊奇栏目，翻译成互换身体，之前看过介绍，感觉最多算搞笑惊悚片，感叹组委会是找不出真恐怖片来放了。结果没想到意外得好看，虽然还是典型美恐突然跳出来吓人的套路，但结合了花式杀人和血腥元素还真有点恐怖片的味道。当然如果一路这么拍90分钟观众也会乏味，于是把柔弱小美女和巨人杀人狂的灵魂来了个互换，这样的反差萌就很有意思，两个人对自己身体的不适应和对新自我的发现都还蛮好笑的，高大杀人狂跳扭屁股的拉拉操，较弱小美人靠着自己人畜无害的外形拿起电锯大杀四方，最搞笑的一段莫过于小美女在杀人狂身体里对男生表白，全影院都在笑。另外合适得穿插一些亲情友情的元素，都自然不突兀。最后也给这部惊悚片一个比较完美的结局。没有想到这部我完全没报希望的非典型恐怖片完败了前几年电影节的正牌恐怖片小丑回魂，我们，昆池岩等。我个人给这部电影4分。,1.0,,0
9,9,34954336,砍人快乐,70de48fc7ed67faa97206a674dc77972,f1a996bf5f924d1ddfe19e7f6da931ec,4.0,2021-06-09 11:40:45,"本片另一译名叫《砍人快乐》, 导演是小成本爆款电影《忌日快乐》克里斯托弗·兰登,  风格延续着他 ‘’青春校园惊悚片‘’ 的老套路，再度复刻了《十三号星期五》+《小姐好辣》的 MIX版。他的惯用招数就是混搭, 以此出名的《忌日快乐》也是由《土拨鼠之日》+《惊声尖叫》合体。1980年的《十三号 星期五》算是面具杀手血浆惊悚凶杀片的鼻祖，历时 40余年, 连拍了10几部;  再加上《小姐好辣》身体灵魂互换，男变女, 女变男，显然这两大载体也都早已不算是什么新鲜事了, 所以整体混搭的观感只能说娱乐性很强, 但肯定不会很好看，7分中等偏上水平可以接受。荒诞喜剧＋校园惊悚就是该片的界定了, 这类电影需要谈逻辑吗? 不存在的。谈剧情吗? 不合理的。有深度吗？没有的。就是一部逗比的娱乐片, 适合在闲暇时间, 找找乐子放松心情的作品。全程的无厘头幽默加不停爆血浆的暴力场面, 老梗新拍并不乏味, 还是能妥妥的一路顺畅看到剧终……喜欢《月光光心慌慌》《德州电锯杀人狂》《惊声尖笑》《女男 变错身》 这类电影的观众肯定能接受此片。因此, 本片入选为美国老牌杂志《名利场》2020年度十大佳片之一，也算合情合理。",1.0,,0
