,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,34984521,银魂：最终篇,973214293d1146e669b9b73fd3e8ca23,b68472675914e84e2811183eda01cc4a,5.0,2021-01-10 00:10:11,从油管上看了预告片开始就一直超级期待。不负众望的看银魂送鬼灭。只有银魂做得出也只有银魂做大家都会笑着吐槽。为了特典买了前售券。早早地预约了今天直播的声优舞台见面会场。期待。 这篇影评不是对于剧情的影评，而是一个爱了银魂15年的人看了电影以后的自言自语。只想看电影剧情的朋友就请不用往下看了。 认识我的人都知道我特别喜欢银魂。我并不是看得很少或者一直喜欢不正经作品的人（比如我一直说第二喜欢猎人第三喜欢王者），但是无论富奸多么鬼才王者场面多大鬼灭海贼多么煽情，对我来说，只有银魂是特别的。 不像去年大热到破次元的鬼灭，银魂的受众可能不多。昨天开始首都圈紧急宣言发令，但是今天剧场的满座和一片抽泣声证明了一件事，喜欢银魂的都是真爱粉。 恨不得对所有人说我喜欢银魂。恨不得和所有同好握手讨论最喜欢的章节。刚认识一个人的时候一听到的TA喜欢银魂就会特别激动。的那么喜欢。 喜欢银魂里的几乎所有角色，然后和大多数人一样无可救药的喜欢着那个喜欢挖鼻孔死鱼眼口吐黄段子没干劲没钱天然卷的男人。不知道为什么，就是很爱他。 漫画完结，动画完结。这次电影之前，一边想着不愧是永远完结诈欺的银魂一边就一直很期待。银魂的连载真的结束了。但是就像见面会的时候组长说的一样，银魂不是被封印了。以后还可能会有别的机会演銀時。作品是永远被留下来的。 既然提到了组长，就按照今天放的顺序，先说声优见面会吧。整个见面会因为紧急宣言缩短了长度，但是非常浓厚。大家都很开心很自由，全场各种梗飞来飞去。 鬼灭和EVA就直接被玩坏。日野聪神威的声音响起的时候超级激动。然后组长马上（好像是组长说的？），他可是300亿的男人。问石头意见，石头说在我的立场上很难发表意见。这段直接笑喷。 EVA的新剧场版就直接被空知猩猩明目张胆的玩坏了。再见了丽，再见了真嗣，再见了明日香。同样喜欢完结诈欺的HIDEAKI。 看声优的互动突然就觉得很欢乐。就是这群有爱的人才做得出这么有爱的银魂啊。对我来说，可能比起电影正片，这段一群人的胡搞更让我印象深刻。 电影一开始继续玩龙珠和one piece。这段玩的特别银魂。然后不像一贯的先日常再战斗模式，剧情一上来就进入了终极战斗模式。 看到定春活过来的时候直接飙泪。 然后战斗结束，回归日常。长谷川视角的乌龙。 简单来说正片就是这样。剧情中规中矩，没有特别出彩，也不算特别失望。但是全程最最在意的是作画完全崩掉，整体画风突变之外，很多镜头明显的比例失调脸型崩坍，看的浑身不自在。剧情更加est的喜欢上一部剧场版永远的万事屋。那一部经典到重新看戴痣银都依然会爆笑，看双银决战也依然会飙泪。 主题歌好评。象征着银魂的DOES和SPYAIR同时登场。啊，这回真的是最后了。的那种感觉。 正片结束以后的银八老师是我觉得最银魂的地方。最后用银八老师和空知猩猩来圆也是很妙了。 感觉时间过得特别快。不过灯亮起来以后，的确没有the final的那种丧失感。丧失感什么的在无数次完结诈欺里面早就已经被消磨殆尽了。所以剩下来的心情只有，啊，不愧是银魂啊。 无论是无聊日常，热血战斗，还是明目张胆的拖延战术，制作经费节约，玩坏别的作品，永远玩不腻的完结诈欺等等，这所有的一切都加起来才是那个银魂。我永远喜欢的银魂。 想说的话还有很多。但是和组长说的那样，就算作品完结又不是最后。所以就先到这里吧。 PS我拿到的特典是岩柱。虽然鬼灭里对他无感但是因为是组长的角色猩猩完全把他画成了銀時的cosplay版。九兵卫的小猴子名字和洞爷湖说明了一切。所以真的特别开心。,28.0,,5
1,1,34984521,银魂：最终篇,764a5257e54ae5898dc26964f14f2d15,83510954c666eee75a51af085f5aa8a5,,2021-01-09 22:13:50,"原著后面也就是那样了嘛，，漫画里又燃又动情的部分已经拍过了，映画版自然也没能拍出花来，但龙珠同人电影和最后如实还原漫画，最后竟然银八森赛小剧场完结，全场回荡着空知猩猩的声音，全场难以保持自肃的矜持一直大笑出声。 故事最后都回到了起始——非常动人。
而费尽心力勾勒的结尾，是一个银桑和老师和高杉和自己的过往对峙的结尾——从一开头的不愿提及转过身去，到那些在难以忘怀，到对面而立和并肩作战，漫长的几年又几年之后，他和他和他再次对峙了。
33在JUMP FES说，说不定银桑才是整个作品成长最多的人。笑。
他对峙，无论输赢得失，不知和什么战斗结束了，然后回到了日常。 这个故事拍到最后，新八和阿妙去拜祭父亲，墓碑上写着志村剑——啊，我早就忘记了这个谐音梗甚至当年说不定都没注意到过。
愣住了。
桂，不，唐那德假朗普下台了。
大家都根据自己的喜好编排着记忆数据。
MADAO说大家都失业失业失业人人都失业就人人都一样。
而最后说终于回到了日常。 2021年新年伊始，在宵禁的傍晚请了一小时假去看的今年第一部电影。
明明都是看过漫画已经知道的情节，但依然在电影院目瞪口呆想，天啊，空知老师不过信手玩梗，却在此时显得如此的黑色幽默，黑得宛如现实。 那么各位，请先去喝得烂醉如泥用旁白随便篡改记忆数据充满欢笑与吐槽的日常，稍微等一等屏幕这边这个破败不堪的世界吧
我们（大概可能说不定也不行）稍后就到—— 銀魂は永久に不潔です！！！",10.0,,1
2,2,34984521,银魂：最终篇,c79b9f01e38ebc8ed56fec1812f2316d,f4464ca7a8892c0243ee6af8a7bca790,5.0,2021-01-08 23:30:43,15年，谢谢银魂，谢谢空知猩猩，谢谢万事屋，永远不说再见。 青春结束了，再也不会有像银魂这样的动画了。 不要以为会一直有父母和钱和青春和房子和T恤和我和你和银魂动画 「いつまでもあると思うな親と金と若さと部屋とTシャツと私とあなたとアニメ銀魂」—银魂第209话 我永远爱madao 我永远爱Madao，所以我要努力成为一个合格的无职业人士w 有关于最终篇剧场版（超豪华阵容加长版TV） 所有配乐都很银魂，DOES和SPYAIR的歌一出来头皮发麻。 分三个部分 第一部分：开场白，有点长的大纲概要就一如既往的搞笑啊，龙珠海贼大概剧情哈哈哈哈哈哈哈啊哈哈哈哈哈哈哈工作全员一手拿着龙珠一作画 简直疯了hhh。如果真的有龙珠的话，就不需要这么费劲打了。w 第二部分：宿命 QAQ TAT TOT回忆杀搞死人 ，虽然有一种在看ppt的感觉但是呜呜呜呜，打斗场很燃，高杉之死，作为粉丝真的哭死了。虽然也穿插了些搞笑的梗但呜呜呜抽泣。 欲邀樱花同载酒！！！ 高杉：246胜 247负 银时：高杉 你在地狱洗干净脖子等我吧。 虚：感谢你们让我有了做人的感觉。 真真实实，虚虚假假。人生真是充满了虚幻，但大家都还在不是吗。 第三部分 ：不用继续喝机油的小玉，一本正经地写信的哈哈君，新撰組smile酒吧party。充满了温馨回忆，有暖有泪 ，另又在搞黄。最后的三年G班小剧场要笑死啦。虚和松阳老师合体互扇巴掌啦，到底是大阪出身还是名古屋的哦巴桑很有争议嘛。有关于投票高杉到底是死是活，我投高杉复活一票。另空知猩猩你在干嘛，救命啊。 总悟总算是放对了一回炮 十四就很～マヨネーズ阿 神威一如既往地能吃+呆毛 望今后大家都能像星海坊主一样变强，当然不要秃阿！ 笑着笑着就哭了，哭着哭着又笑了。 总之：什么时候再骗我一次吧。 銀魂最高。,8.0,,3
3,3,34984521,银魂：最终篇,ccb718d686f5de6b98fe326974d0811d,101f3bc3b31eb9e1e32279227cfcc90b,5.0,2021-08-14 23:18:11,104分钟的剧场版很快就看完了。说起来，开始看银魂还是大二的夏天，工作之后就没怎么追了。依旧是那熟悉的配方，熟悉的味道。又燃又丧，笑中带泪，偶尔脱线。 说一说几个很打动我的点吧： 1. 细节做得很好。开头的龙珠角色乱入确实让我大跌眼镜。尽管我没看过龙珠这部动漫，但《龙珠》的主题曲小时候却是听过的（从小就爱买动漫歌曲磁带的关系），听到熟悉的《龙珠》主题曲，分分钟魂穿童年。 2. 中间一段打斗戏，成年的银时、高杉与学生时代的银时、高杉依次闪现，时空感顿生，仿佛在告诉我们他们变了，他们也没变，令人唏嘘不已。 3. 三人组之间的感情如此打动我们的一个原因：他们继承了松原老师的一个特质：比任何人都强大，却也比任何人都温柔。以前的他们守护心中的英雄梦想，现在的他们守护身边重要的人，所以身边可以汇集那么多的伙伴。 4. 故事的最高潮的前十几分钟，我终于见到了一个活生生的松原，而不是在主角们记忆中闪现的松原（TV版后来可能有出现而我没有追完所以并不清楚）。说实话，以前的松原总给我一种不真实感，所以不是特别能明白三人组对这个角色的执念。虚出现后就更这样觉得，仿佛松原这个角色像一个完美的面具，后来简直成为了烙印在三人组内心深处的一个诅咒。但就在这短短的十几分钟，我终于get到了松原这个角色的难得之处。如此强大又美好的存在，不愧是三人组成长路上的启明星一般的人物。我决定看完这部剧场版后就继续去看TV版。 5. 结尾处通过小玉的视角来交待所有人的结局确实很有意思。最后一分钟的惊喜令我简直差点从沙发上跳了起来。真不愧是银魂，总是在观众开始伤感的时候就给我们扮个鬼脸，嬉皮笑脸地说句“才怪”，让我们简直想扇他。 不多说了，我要继续追TV版去了。,1.0,,4
4,4,34984521,银魂：最终篇,ad53471188647fcbccc7f9a146935aea,60a619a8baaeb4d97affa592551e8170,,2021-10-22 12:03:30,感觉最终假发都没出场，一直都是假发和伊丽莎白的结合体，记得之前有一小段剧情是讲伊丽莎白是（哪个国家忘了）大皇子死后，被伊丽莎白救了，然后转生。。。如果这个逻辑的话，可能，假发死掉了。。由此可以推测，猩猩在侧面说实际上大家都死掉了。 并且既然小玉的记忆可以重塑，实际上也是有全死这个可能的。。 最后的最后，说小玉的记忆是错的，大概是猩猩留了一些美好的期盼吧。。,,,1
5,5,34984521,银魂：最终篇,5e5edba6f4268554f7beac2ae05abfaa,e6071d0aa955f3d73923f1258f591fbb,,2021-10-05 18:02:15,"中文不太好，请将就读一下吧，谢谢! 作为一个爱了银魂这么多年的粉丝，我要发一下言了。我陆陆续续这十几年下来也看了基本所有的动漫了，这几年对动漫的兴趣也没多少了。新的番基本没看，什么鬼灭啊什么巨人啊，没什么兴趣，感觉套路就那些，没什么意思，也可能是因为长大了，也没时间追动漫了。前几天发现银魂出了电影就看了一下，顺便把没看的动漫一起看了。虽然我已经知道结局了，但是还是点进去看了。不得不说动漫就是和漫画不一样。画面我不太在乎，因为银魂的精髓是在配音演员，这一点是漫画不可能用文字可以体现出来的。看完电影后只能说太棒了，果然没让我失望。首先说明一下我可能不像很多up 主或者真爱粉一样，记住很多名言，记住很多小细节，我只是纯粹的喜欢看里面的角色打打闹闹，讲段子，和燃的一批的打斗。 我看了这么多发言发现很多人都是将军篇后就不看银魂了，主要是因为小将死了太伤心了，太丧了。对，我也是这么觉得的。但是这也是为了推进剧情，没办法，你们看了就知道了，你要是真的银魂的粉丝的话，一定要看后面的打斗，猩猩不会让你失望的，当所有的角色在歌舞伎町，一集一集的出场的时候，清酒就自然而然的从我的眼角掉落 (作为次郎长的头号粉丝，我看到老头出现的哪一幕，真的太有感触了), 真的很感动，也带了点不舍，因为我知道要结局了。虽然我看完过漫画再来看的，但是听着他们的声音，看着他们打斗的画面，还是特别的感动，只能说银魂的声优真的是太nb了。 我看还有一些负面评论是说猩猩后面都画主线，不搞笑了。我也喜欢搞笑的篇章，银魂的日常在我这里来说的确就是银魂的主线。但是你得理解，银魂总得结局的，猩猩不可能一直画搞笑的段子画一辈子，他想画jump也不让他呀，而且我觉得猩猩收的已经特别好了。那些黑粉说猩猩骗结局的我也是醉了，要是真粉，银魂没结局你不应该开心吗？我很不理解被骗结局这个心态是哪里来的。 我还怕不够看呢，你还在那边说猩猩骗结局？逗我呢。剧情里发生所有的事情都是有条有理的，基本所有出现过的角色都有用处。虽然死了人，但是你得知道这是一个战争，现实一点，总有人会死的，只死这么几个人我觉得猩猩已经很收敛了。银魂一开始就是一个很真实的动漫，主角们也是很贴近我们这些平民百姓，这我就不多说了，懂得自然懂。我觉得猩猩给了这个杰作一个很好的结局，也成功的满足了我这个这么多年的粉丝的期望，估计也满足了他自己吧。 还有一个点就是战力，我看么什么人提起所以我在这里需要解释一下。银魂的战力靠的是自己的信念，当然大boss除外。银桑多强靠的不是他吼的多大声，而是他有多爱他身边的人。他战斗是为了保护对他来说重要的家人们，当他的信念越强，他的武力自然也就越强。在银魂里，没有什么武力排行，你的武力取决于你为了什么而战斗。所以请不要说什么银魂武力排行崩坏了，谢谢。 好了说一说这部电影吧，配音激情，画质极高，开头的龙珠和海贼，中间的2 个老头都贼搞笑，打斗看的我也是燃的一批。没有任何的缺点，给这个杰作画上了一个完美的句号。 总的来说银魂对我来说就是那个最棒的动漫。它超越了海贼，家教，钢炼，火影，猎人，通灵师，飞轮，不是因为角色有多炫酷，不是因为打斗有多厉害，而是因为他让我笑过，让我哭过，也让我感动过，这就足够了。他让我知道动漫其实不只是主角见一个刷一个反派。对所有银魂的真粉说一句，天下没有不散的宴席，猩猩不可能一直写段子的，请接受银魂结局了这个现实吧。对黑粉说一句，不喜欢请不要看，不要毒骂我们家银桑，因为他可能还在某处努力的练习龟派气功呢。 谢谢读完这一篇文章的大家，中文不太好，请谅解，但是我相信你一定也和我一样，热爱着这部动漫吧。",,,0
6,6,34984521,银魂：最终篇,6873cd92c89221daa25bf2697aad32fc,739e76b7f0f207fad3b86580349d8aa1,3.0,2021-08-26 18:21:06,“银魂”一直在企图表达一些深奥的东西，比如对“新武士道”的阐述，比如对生死观的阐述，比如“ 吉原 篇”月咏要带日轮跑路，日轮拒绝而说出的那番很有哲学意味的对于“自由”意义的阐述，原文不记得了，类似“当你追求自由的时候，也就失去了自由”。 正是这些散落在全剧的点滴闪光，才是银魂一直吸引我们追下去的原因吧。 然后关于“虚”的设定，“不生不灭，超越生死”一个太宏大太深奥的哲学课题，非常难拿捏，一不小心就会跑偏。对于一个面向大众而且偏青少年的动漫来说，要顾忌要权衡的东西太多，很难恰当地表现。但“银魂”还是大胆的尝试了，但也不出意外的凹坏了，从银之魂篇开始逻辑就有点乱了，他们没有找到一个更巧妙简单的表现方式去演绎这样一个深沉的概念。但这个小失败并没有掩盖掉创作团队的理念之光。或许，只有爱“银魂”的人才能够去换位思考和体谅吧 然后，说点什么呢？看完final，难免心里有点空落落的，像在月台上看着载着友人的火车渐渐远去 但，就这样结束吧，天下没有不散的宴席，不要以为一直会有父母、钱、青春、房子、T恤、我你和银魂动画存在。不要以为“银魂”会永远治愈、搞笑、热血。。。 最后，谢谢我们在这无尽轮回中的一瞬，能够相遇。银魂，爱过，再见。    奥巴z加奶，紫拉哒 2021。0803,1.0,,0
7,7,34984521,银魂：最终篇,0c150ed1b64879d193fd51f72b18f725,c25906f1780d419c6fa30e1132d4e414,5.0,2021-08-19 19:33:06,银魂的哪一部动漫不是上九分？即便有些拖沓的银之魂篇也是9.4分。 先说一下，这部最终篇是漫画的最后几话内容，正番的368集后面和这部剧场版接不上，是因为还有两集前日谭动画化了你没看！去给我补齐了再看剧场版！而且剧场版也有个前情回顾，也大概介绍了动画368集后面发生了什么，所以因为内容看不懂而打低分的，给我滚粗。 银魂最后几话漫画包含着高杉之死这么动情的桥段，打低分的怎么想的？,2.0,2.0,2
8,8,34984521,银魂：最终篇,ce2d287e807e52d74105f3674fcb784d,09e57e0b07d888ca70c73f91f4c7bd0c,3.0,2021-08-19 15:05:15,本来想去找漫画关于结局的单行本评分的，结果没找到，就把评分搁在这里吧。其实想打一星来着，但是看在cv和动画制作组的努力上，还是打三星了。 大约是每个漫画都逃不脱烂尾的结局，即使看得出空知早就设计好最后一话怎么画，却还是用极其离谱的推进强行让剧情走到了最后一步，强行地完成了一定要给主角加的注释：“他从鬼，变成了人。” 而阿银从鬼变成人的过程，实在是我有限看过的日漫里最惨的。阿银的这种惨不是指他生活穷困潦倒，也不是指他孑然一身，而是指，在爱好描述主角成长的日漫里，他是个另类，他不是因为时代背景或者背负家族责任而颠沛流离被迫成长，而是因为作者安排的所谓“命运”，开头已经成长的他被迫自惩，自我放逐，而在最后主线告诉他，他的自惩和放逐像个笑话。 我有时候忍不住怀疑是空知在银魂因为销量太低被踢出连载杂志社时，对自己笔下的写作产生了怀疑，是抱着自暴自弃的想法完成的两年后篇章，不然不能解释剧情的连环漏洞与人物成长的全面停滞。甚至感觉这两年的设置只是为了拖剧情的空白设置，神乐新八这种应该承担起成长线的人物也被空知完全不上心对待了。不，应该说，空知对两年后所有人物都不上心对待了，包括银时，反反复复像凌迟一样，让他不停为他本不应该承担的选择而痛苦负疚，只是为了拖剧情。两年后的一些情节设置，也是荒腔走板到让人忍不住大骂空知你在干什么的水平。我唯一意外且惊喜的是，土方去找银时的剧情，是银时在前面所建立起的新的羁绊的回响。然而，这个情节也被空知很快写丢了。东一榔头西一棒子的空知，靠着拖拖拉拉的剧情，磕磕绊绊走到了结尾，我也终于能说一句：到此为止，就够了。 到此完结以后，万事屋回归日常，阿银也终于可以逃脱作者的魔爪，不用再强行被捅刀，歌舞伎町的大家可以回归了那个热热闹闹的日常。至于空知，好歹没写出配种或者全员毁灭的结局，所以，嘛，也算是辛苦了，到此为止，告一段落吧。,,2.0,0
9,9,34984521,银魂：最终篇,e6d77025bdec524fad4020141e4bab2b,5878c71ee6a656626f6dc20fe29b6cb4,5.0,2021-08-15 23:05:56,哎哎哎！？混蛋啊就这么一声不吭的完结了吗，看在最终篇的面子上（划掉）还是给个五星好评好了。开头又在玩梗龙珠，话说都要玩烂了，不过高杉和贝吉塔搭一起，我很满意，疯狂点头。 好像所有打怪冒险的终章故事都有了固定模式，没什么新意，友谊、热血、向前、羁绊、死生，银高桂好评，不过给矮杉送了便当是我没想到的（老猫说了那么多句台词我是惊喜的嘤），反正最终大家联手打败了大魔王，一起走向快乐和平的生活。 啊喂，能不能正经一点，不好意思，是我没有好好描述，就还是老样子在生活的大家啊，平凡简单可是幸福，如果高杉还在就更好了。 最后的银八课堂好评！猩猩终于用本体出现了！啊，关于高杉晋助死没死，我当然是投票龙脉里的婴儿是矮杉啦，毕竟啊，那是老师对他的学生们的最后的爱和保护了。 中间的打斗其实没有感动我，但是最后那十几分钟的日常却让我感慨，啊，这果然是银魂啊。 真选组戏份好少，我们十四戏份好少，泪。我们冲神见缝插针打情骂俏（大雾），祝你们幸福，希望明天就锁死结婚。妙姐和猩猩木得结局，干脆和小九百合吧姐姐～(￣▽￣～)~ 废话说着说着就说过了，喂，这次没有完完结梗是真的要完结了吗？不会真的要完结了吧，即便完结，也希望大家在银魂的世界里幸福啊。 我不管，那个小孩一定是矮杉啊啊啊啊啊！ 冲神给我锁死！！！锁死！！！ 再见，歌舞伎町。 再见，真选组。 再见，万事屋。 再见，银他妈。 2021.8.15  前一段时间太忙，所以到底有没有在国内上映啊，哀嚎。,,,0
