,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35081773,拯救甜甜圈：时空大营救,a4d4cc27e74beb6403e3d93291ce3008,a4d4cc27e74beb6403e3d93291ce3008,3.0,2021-10-08 23:48:12,刚过去的国庆节，天气很热，电影也很热。仅杭州地区，国庆节的票房就破亿了，全国的票房更了不得，创造了同档期票房历史第二高的好成绩。大家也有讨论一些电影为什么“扑”了，看到有一篇公号文章提到《五个扑水的少年》票房惨淡的惊讶度时，用到了一句话：竟然连《大耳朵图图》和《拯救甜甜圈》这样的儿童片的票房都没有追上。 殊不知在看电影方面，成人有需求，儿童也同样是。每年电影破亿的票房中总是有那么一两部存在感貌似很低的作品，比如说不同系列的熊出没系列。说它低调，是指观众都还没发现片方铺物料，竟然已经悄悄破亿了。 有一类电影，不仅会惊叹于它票房不错，甚至，很难分辨，这到底是中国动画还是美国动画。比如《雪人奇缘》《许愿神龙》《飞奔去月球》《摇滚藏獒2》等，在这些电影里，你看的是制作成熟，用东方元素讲述好莱坞动画电影的母题：亲情、友情或者是大爱。 这类电影有几个共通点：一是东西方同步发行，国内外市场的票房都不错，真正实现了动画是一门无国界的语言这一特质；第二是邀请的主创基本为老外，包括导演、编剧，他们来自曾经迪斯尼或者皮克斯这样的动画大厂某一部热门作品的主创人员；第三，国内上映时，会邀请全明星阵容配音。 每当此类作品上映时，完全形成了与国内重工业动画电影截然不同的宣传画风，此类动画作品已经发展成一门很稳定的生意了。但重工业动画电影的画风是将酱紫的：大多会涉及一些相同的词汇，如“自来水”“电影工业”“视效”等，票房在逆天或者勉强跨过千万门槛中徘徊。 说回到国庆档期的《拯救甜甜圈：时空大营救》如何呢？ 当然是不错的！不及格是不可能的。 因为它基本契合以上说的这几点。这部电影来自华谊，导演大卫·西尔弗曼，年龄已经不小了，出生于1957年，来自动画片《辛普森一家》，是一部非常符合“中美合作”的流水线上的产品。故事讲述的在19世纪的一座小岛上，生活着一群叫菲拉萌的甜甜圈形的小动物。其中有一对名为O妹与艾德兄妹很是遭族人嫌弃，因为它们经常脑洞大开、不走寻常路。为了摘一朵漂亮的时间花，意外闯入了时光穿梭的入口，来到现代的中国上海，在那里，他们发现菲拉萌已经灭绝！为了挽救族人，它们借助时光花的魔力，不仅让菲拉萌种族没有灭亡，还拯救了被反派小狗踢到某个时空的张博士。灭绝宝宝们也勇敢的走出了舒适区，所有人都成长了！！ 在电影里，还存在着一个由张博士搭建的时间空间站，在这里生活着一群已经灭绝的动物，如白垩纪的恐龙之类的，如果想回到某个时间点，只需要把一种类似种子的“时间”放在机器上就可以通过时间隧道穿越过去。当O妹与艾德来到这的时候，不出意外他们把架子上的“时间”种子搞乱了，为了整理，O妹尝试了每一颗种子背后的时间来来作为验证，所以它去了中国古代长城、埃及金字塔、兵马俑等，看到了作为信号的烟花、还在海上漫游的达尔文。。在这里，非常生动的为我们的小观众展示了各时代的知识点，但剧情BUG也出来了，一朵艳丽的时间花长在南极冰川、长城角落竟然没有被人发现？只有被O妹们发现？豆瓣有一句评论说的很对，毫不在意的穿越，像在玩一个不用排队的主题公园。 我闺女在看电影甚至提出了一个绝世大问题： 甜甜圈为什么有毛？ 官方新闻提到菲拉萌是由美国著名插画大师彼得·德·塞弗绘制，他曾经创作了《冰川世界》中的动物造型，但我真的很难将卡姿兰大眼睛与彼得·德·塞弗的绘画风格联系起来。电影中提到了许多人文历史方面的知识点，灭绝宝宝们也是真实存在的，但是主角竟然是有毛的甜甜圈，理由或许就是菲拉萌被狗狗小白嫉妒的原因：人们喜欢萌物。在电影之外，它很适合作为玩具被人类使用，这是一门好生意。,2.0,,0
1,1,35081773,拯救甜甜圈：时空大营救,d70a27a4d83c4cdf411d239002bdc3c8,01e749653ad4a3a316d664c32069f2be,3.0,2021-10-03 13:50:44,感觉跟那部《天才眼镜狗》非常相似，都是不断的穿越，又毫不在意，只像是在玩一个主题公园，还不用排队。而甜甜圈的设定，有点莫名，一则跟轮胎没什么区别，只是“无心”，二则中国人对于甜甜圈应该大多没什么印象和感情，这里面竟然还有甜甜圈大吃甜甜圈的情节，这算是中国式哲学幽默吗？还是穿越后不能遇到本尊或同类？里面不管是主角配角，还是那些历史人物与事件，都没什么系统可言，比如鲸鱼，小狗，各种濒危动物，还有达尔文……单独拿出来一样当然都可以，可是凑在一起，却毫无逻辑，甚至乐趣可言，不管是对小孩或成人来说，应该都是如此，毕竟这不是《玩具总动员》，因为只是“临时”凑一起的玩具，所以不用在意其本来的身份与特性。而且特别是一个关键角色的“黑化”，真的是为了塑造对立面，方便收尾而存在的，前面毫无提示。 华狮，以及华谊的点睛动画，真的一点特色与趣味都没有，只给人一种有眼无睛的感觉。,2.0,1.0,1
2,2,35081773,拯救甜甜圈：时空大营救,3bfbb93027dba53f755d507de4550d36,c285f6e431d37d5b0cdf415e90e7f851,,2021-08-01 13:22:10,讲的是一个长得像甜甜圈的狗狗拯救自己族群的故事。 画面表现以现在动画电影水平来说比较普通，有笑点有爆点有反转，但都比较俗套，俗套的时空穿越，俗套的参与历史事件，俗套的搞笑桥段，俗套的刺激动作，俗套的兄妹反目（比较生硬），俗套的人物反转（可爱小白变boss小白）。 小白黑化的也比较生硬，按理说小白和博士在一起很幸福，应该不会那么憎恨甜甜圈，还为了灭掉甜甜圈把博士给干掉，是想着只要灭了甜甜圈，就算没有博士自己也会成世界的小可爱？资深腹黑绿茶狗？还有博士，如果真喜欢甜甜圈，那在现实世界就应该养了，难道就是因为小白是免费的？舍不得花钱？ 放暑假了，可以带小孩子看一看，但是对于成年人来说，没啥惊喜。,2.0,1.0,0
3,3,35081773,拯救甜甜圈：时空大营救,deae1781d8dfc31933386179b042d071,38b3393ba7f96be6c0a693d2ee939a81,,2021-07-21 11:47:27,两只可爱的“菲拉萌”穿越时空拯救即将灭绝的同伴的故事。 有知识点，介绍了各种时代的历史名人事件。 有反转，并不是单单是传统的小调皮拯救世界的故事。 整个故事结构很完整，最后也很温馨，适合带小朋友们去看。 当然对于成年人来说可以去看英文原声，毕竟配音版的很多原创梗，我看着还是挺尴尬的哈哈哈哈哈哈哈！,3.0,,0
4,4,35081773,拯救甜甜圈：时空大营救,8c78043ac8c62f7ee2d081bd869d55cc,8e03275b936d4e123e76c27fed3c6e8e,,2021-09-23 18:36:09,已经看过了，刚又看了国语的预告，我的妈，太难听了，还是英文的比较适合这种幽默的动画，并没有什么别的意思，只是觉得英文更贴脸，……………………………………………………………………………………………………吧啦吧啦啦阿拉啦阿拉啦阿拉啦啊阿拉啦阿拉阿拉luck luck了阿拉啦听着，天，开通，地吧，她,,8.0,0
5,5,35081773,拯救甜甜圈：时空大营救,77d78adc1513e9076c90175d8686517f,653bd2f39666e1cf7be0990d61f4b002,4.0,2021-10-08 07:15:54,孩子马上四岁了，冲他看得认真就说明这部电影至少在我们眼里是成功的。名字也取得挺好，哈哈，o妹儿～有剧情有笑点有反转，o妹儿和他哥感情挺好，应该让独生子很羡慕吧，虽然有人惹祸、但是兄妹一起承担，身边总有熟悉的人一起玩闹。小事拌嘴，大事不含糊，像极了我们中国兄弟姐妹之间的感情。反正我们大人看着也没想象中无聊～不错！值得纪念,,,0
6,6,35081773,拯救甜甜圈：时空大营救,a91ea1e7b86f03b9b9d4bdee0dc838b9,cb9c503b7b18f64320dde8d02b01264c,4.0,2021-10-06 19:33:46,"



     在7月份蛋壳观影团已经组织过《拯救甜甜圈：时空大营救》（以下简称《甜甜圈》）的超前观影活动（点击浏览活动）。当时看完蛋壳君就认为这部影片像片名一样，有可圈可点之处，从影片剧情和观影效果都很不错。然而 遗憾的是本应该在8月6日上映的档期因为疫情原因撤档后，改到了国庆档。《甜甜圈》讲述在很久以前，某个岛上生活着一群像甜甜圈一样叫的“菲拉萌”的生物。其中一对兄妹 爱德和O妹因为意外穿越到了现代城市，发现了一个关系到菲拉萌物种灭绝的事件，在拯救菲拉萌的营救行动中却发现了事情并不是它们想象的那么简单......作为一部儿童片，看完影片蛋壳君认为《甜甜圈》国庆档不应该错过的一部动画电影，因为它的优点还不少。 老少咸宜，萌点、笑点丰富影片中各种主、配角色卡通造型很萌，对于儿童来说很容易接受，并且用大量动作戏来体现菲拉萌物种的“甜甜圈”构造，借助形象制造了很多的笑点，让整部影片趣味十足。影片中有很多的动作场面，无论是纯搞怪的、危机营救的、还是充满仪式感的信仰之跃，还有海鸥、螃蟹等惊喜小角色的反复出镜，都令人看得很开心。 剧情简洁流畅、又融入人文科普
与以往动画不同，《甜甜圈》虽然故事简单，但是借助时空穿越的情节，不仅把从阴谋中拯救菲拉萌物种的故事讲的很曲折流畅，更在剧情中涉及了世界范围内影响人类社会发展的重要事件、历史人物和文化古迹。可以看到编剧的用心：不单纯只是借助时空穿越而搞一些虚幻和现实毫无联系的这种娱乐中穿插科普知识的设计，提升了影片的观赏性。不仅让孩子会产生好奇心去了解影片中提到的事件，也会让家长们能有恍然大悟的惊喜。像生物起源进化学说的达尔文，爱迪生的灯泡、埃及艳后的皇冠、泰坦尼克号沉船遗物，还有中国的兵马俑、万里长城、烟花以及图灵苹果的LOGO灵感启发等等都巧妙地融入。 对白生动现代、表达主题浅显易懂 虽然是动画片，对白一点不低幼，使用了很多的网络用语表达情感：“我太难了”，甚至还来了一段说唱，结合每个角色的性格特点，尬萌中带着喜感。影片中每个灭绝生物都有很强的个性，也有内心的恐惧。在拯救菲拉萌族群的过程中，随着事件转折、阴谋揭穿、伙伴们合力营救的一点点推动，没有言语的说教，却让每个角色都有了成长，发现了广阔的新天地，开始了新生活。蛋壳君认为影片想表达的主题是：生活中无论顺境逆境，都不是一个人在前行，一路上总有同伴为你出谋划策，分享分担喜怒哀乐。接纳不完美的自己和他人，才会突破内心的孤独。  《拯救甜甜圈：时空大营救》的观影效果非常好，二刷时现场小朋友很多，而且笑声不断，还有乐的停不下来被家长制止的。影片散场后，还有小朋友说想再看一遍，家长说好下次再看（可见影片确实受到了孩子们的喜欢，大人看了也会开心）。国庆还有几天，如果有时间，想看一部欢乐的家庭亲子片，选择甜甜圈，没错！ 《拯救甜甜圈：时空大营救》观后感总评：7分
 （片尾有1个彩蛋，字幕滚动1分钟左右） (喜欢文末点“在看”，文末留言分享观后感)  【电影观后感评分标准】: 5分以下:烂片不吐槽 6分以上:一般有槽点 7分以上:可以选择影院观看 8分以上:墙裂推荐，佳片必看 9分以上:啥也不说，赶紧约哥 文内图片来自网络，如有侵权告知",,,0
7,7,35081773,拯救甜甜圈：时空大营救,1c99c26be34ab2793efe6165caed9cb6,910e9e3effaac9b1c85f56a8dc6c8699,4.0,2021-10-06 10:50:12,男主角研究出来时光穿梭的机器，他没有把这项重大发明告诉别人只是告诉了大魔王。男主角觉得这只狗应该不会有什么坏心思，因此每次探险都带上大魔王。直到有一天男主角发现了一种早已经灭绝的小可爱。     大魔王发现自己失宠了，于是就决定报复。他首先把男主角困在了过去无法再返回，接着又毁灭了小可爱它们居住的小岛。不得不说大魔王的报复心的确挺重的。     可是女主角和弟弟逃了出来，他们开始还以为大魔王是好人。直到再一次回到过去大魔王才露出了真面目，女主角这才知道了来龙去脉。好在大魔王的真面目一旦暴露，那么大家都会起来反对他。于是他们就把男主角救了回来，让后让男主角去收伏大魔王。对于大魔王的惩罚就是以后安排它到冰天雪地里去做一只雪橇犬。     女主角的家族保住了，不会灭绝了。男主角以一己之力复活了那么多灭绝动物。不得不说男主角是有罪的，凭什么改变历史呢。既然灭绝了，就说明它们已经不再适合地球现在这个环境。更何况恐龙这些大家伙，你把它安排在什么地方呢。愚蠢的人类自以为是。     看完这个故事，我们明白男主角胡作非为让大魔王都实在看不下去了。本来人类与狗狗可以非常愉快的在一起生活，但是男主角却一心复活那些早已经灭绝的生物，必然会破坏现有的生物链破坏现在的秩序。因此我觉得男主角这个野心科学家有罪，必须得把他抓起来。,1.0,,1
8,8,35081773,拯救甜甜圈：时空大营救,58ac36874402a6a4b685bda649e08b48,97e96b6a3f3a1d497c60e4522db4a2f2,,2021-10-05 18:53:14,没想到一家人聚精会神的把这部电影看完了，全场就两家人，都是为了孩子。孩子马上四岁了，冲他看得认真就说明这部电影至少在我们眼里是成功的。名字也取得挺好，哈哈，o妹儿～有剧情有笑点有反转，o妹儿和他哥感情挺好，应该让独生子很羡慕吧，虽然有人惹祸、但是兄妹一起承担，身边总有熟悉的人一起玩闹。小事拌嘴，大事不含糊，像极了我们中国兄弟姐妹之间的感情。反正我们大人看着也没想象中无聊～不错！值得纪念,,,0
9,9,35081773,拯救甜甜圈：时空大营救,26e24afd5785a93ed73c0c583aca2252,36e01da63159cf48f1f47d68bb81db0f,4.0,2021-10-05 00:03:41,拥有《辛普森一家》和《怪兽电力公司》导演大卫·西尔弗曼，《拯救甜甜圈》可谓是国庆档最欢乐的动画穿越喜剧，84分钟的全片创意好、脑洞大、够幽默，欢乐演绎了爱与包容，虽然某些细节不够经典，却足够令人惊喜。  形似甜甜圈的小动物兄妹因为一场意外穿越进现代上海，在“时间花”的帮助下，试图拯救自己濒临灭绝的族群。俗套结构的全片，走合家欢搞笑路线，幽默恶搞的笑点不断，温暖的故事治愈人心，彰显美式动画精品的优良传统。  从达尔文在船上观望，一只笨鸟撞墙摔下，并不断被乌龟撞飞，就像小黄人那样进行着幽默耍宝，高萌可爱的“甜甜圈”菲拉萌虽然是杜撰出的动物，但O妹和爱德这对兄妹很喜欢惹祸，还有个留胡子音乐家汪小峰，都看着很欢乐。  O妹和爱德在鲜花节的树上坠落，耍宝失败引发爆笑，没想到他们向鲸鱼招手，更是无意中引发灾祸，更是幽默。妹妹喜欢自作聪明去办事，却弄巧成拙，哥哥因此被搞得焦头烂额，一样总在埋怨，生动人物贴近生活的细节！  萌蠢兄妹无意穿越到未来，他们后来在不断穿越过程中，目睹了莱特兄弟发明第一架飞机、爱迪生发明电灯、郑和下西洋等历史大事件，包括埃及、长城、兵马俑等饱览古今中外的文化奇迹，每一次转折都有精妙的包袱。  “甜甜圈”软萌Q趣又好玩，肚子是空心的，可躲避长矛，还能像轮胎一样滚，已够脑洞大开。可爱机智的灭绝宝宝团更是萌，他们都是远古灭绝的动物，一举一动都在插科打诨，纤毫毕现的毛发、生动萌趣的表情，很让你乐不思蜀。   脑洞大开的时空之旅反派是小白，起初它乖萌可爱，后面暴露出邪恶，鉴证了人不可貌相。它叫白颂德（因为主人在宠物中心是白送的），后来“甜甜圈”菲拉萌抢走了主人的爱，它就准备去炸岛，去得不到就毁灭，更让人细思极恐。   由于妹妹每次馊主意搞砸了事情，哥哥愤怒了，让妹妹自己穿越回去，却意外发现了小白的阴谋，故事这个转折很有睿智。后面，小白弄出飞行炸弹、独眼巨人，跟兄妹两、灭绝宝宝团一起开战，各种转折更是充满着妙趣横生。  笑点超多超解压，小白在冰天雪地被愚忠的狼犬们欺负，浓缩了美式幽默的精髓；独眼巨人虽然身高各大，却投掷不准，被主角们戏耍也很有趣；再如恐龙拉起的高空绳索，“甜甜圈”们穿成串速滑而下，更是超级壮观，让人笑疯了！  小白踩着飞行炸弹追杀这对兄妹，哥哥急中生智用摔下去“撞墙”的方式解救，并用几朵“时间花”救了岛屿，也呼应了前面铺垫的细节。足见战斗中，你有先进武器没用，只有临危不乱、脑子灵光的人，才能笑到最好。  本片科学家主人最后出来训狗，以及“甜甜圈”有了自己“蛋”，瞬间将欢乐指数提升到最大。爱德最后接受建议，去救总弄巧成拙的O妹，急中生智去取胜，也呼吁了爱、包容、智慧，对青少年有很好的教育意义。  一部好莱坞金牌导演的搞笑力作，一对搞笑兄妹的穿越冒险，一种中外合拍题材影片的新打开方式，《拯救甜甜圈：时空大营救》配得上加入你2021年国庆档的观影序列。,2.0,,0
