,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35087699,中国医生,f65754c34b93559d1d03d608d669fdde,fa7dfa6be7878f43b6f185269cd0bdf0,1.0,2021-07-09 22:59:57,视听美感啥的就不用多说了吧，除了后期上的CG，画面一点处理也没有。大特写+大摇臂，妥妥的晚会直播拍法，开头切镜的频率更是晕得像坐过山车一样。 要说特地做出真实质感？那我就更不解了。这样一个举国级别的电影项目，就找不到原籍演员可以用方言来演吗？戴口罩遮着的时候看不出来，摘掉口罩台词连口型都对不上。也是苦了摄影师了，为了尽可能不露馅，一句话都说不完就得把机位切走，真真做到了“分子级别”的摄影，可问题是没多大用呀。李晨演的吴晨光医生在上海家里操着一嘴京片子，支援武汉之后反倒跟妻子说“我爱侬”，不知道还以为他是去武汉学的上海话呢。 更要命的是，《中国医生》把所有人都拍成了一个样。两个小时的电影过去，你能记住几个角色的名字？戴上口罩大家难分彼此也就罢了，可摘下口罩，医生们脸上的表情也都高度雷同，皱眉、流汗，流泪，反反复复说的那些话，其实用两句就能概括。 在家里：不管外面多么危险，亲人多么需要我，我都要去救助病人！ 在医院：不管条件多么艰苦，身心有多么崩溃，我都要去救助病人！ 为什么会这样？电影里也用一句旁白给我们做了解释： “中国人自古以来就重视集体主义。” 而片中有场戏，则集中反映了这种“集体主义”，那就是文主任在面对一拥而入的病人蛮横地抢夺医院物资的时候，登高而立，当头棒喝。而那些好像陷入疯狂的病人们听到文主任的喝止后，居然就像接收到什么指令似的，齐刷刷地定在那里，连杂音都没有。 且不说“中国特色集体主义”这个结论成不成立，我们可以想一想，如果这一幕就发生在我们的生活里，发生在我们经常去的那家医院，它恐不恐怖？同类项式的人物刻画就是会造成这样结果，因为它完全与电影“关注在每个人身上”的宗旨是相悖的。无论是谁最终定剪，他都没搞清楚一件事。把所有医生走马观花地拉出来一遍就是尊重医护人员了吗？如果单纯为了记录，那我们为什么不去看新闻上的纪实影像呢？《医生》里不存在一个鲜活的人物能让你共情，所以它只能靠“柔光滤镜+煽情音乐”这样的手段顶住你的情绪，赚取你的眼泪。 我一下子看到百十号人，等于我一个人也没看到。,410.0,50.0,107
1,1,35087699,中国医生,ee951fb19d213ac6213ae4dc0bd27481,900dfd999fc81642102bf60dffc12d5a,2.0,2021-07-15 02:46:36,武汉抗疫期间我就想日后出电影该是多好的题材啊。导演该是多有创作源泉啊。看完觉得《中国医生》真差点。 1.开头太套路，电视报道引出疫情。疫情的恐怖，是未知，是失控，电视报道不恐怖，来个医生的不重视表现反衬那多好啊。 2.援鄂医疗队那么好的题材，短时间集结武汉，世界奇迹一般。电影里就一个镜头，中国医生啊，支援很好的感动题材啊，为何不深入，直接把医疗系统的崩溃渲染到极致，然后镜头一转，援鄂医疗队到场，我靠英雄出场啊。 3.张涵予一个院长，既然普通话不会说，对着全院的人还是方言，啥年代了院长蹩脚普通话也会说吧，这人设有点不切实际吧。方言近年银幕特流行，但是也不是都能用的。 4.我觉得最重要的一点。医务人员的刻画不够，光医务人员的脸就出现了很多次，还有没有其他侧面表现的办法？劳累晕倒，衣服湿了啊，家人不理解啊，都可以的啊。 个人觉得想表现太多了，以至于深入的太少了。疫情医护们确实有太多不容易的地方，我们观众是真的不懂他们的艰辛，电影拍出来的不能的不能全是我们观众知道的啊。中国医生是我们的再生父母一般，致敬中国医生！,247.0,37.0,126
2,2,35087699,中国医生,4a609723ab8a026f931bb517efab8784,6eedc19578f1e2f8ae04a1b7bf39bcaf,1.0,2021-07-14 18:39:58,公司组织来看的，我本来都准备好纸巾来哭了，因为觉得这么好的题材，怎么拍都能好看。 结果真的是，太多镜头经不起推敲了，虽然不能用大片或者纪录片的标准来衡量你，但是真的你这个叙事逻辑，镜头安排，说你假大空一点不错。 病房一开，里面医生站的整整齐齐，等待迎接病人；病人排队的时候好好的，一进病房就开始疯抢，咋的你病房里有兴奋剂啊？完了医生跳上去大喇叭喊了几句振奋人心的话，哇大家又突然安静如鸡的排队去了，尼玛看得我满脸问号。 然后防护服质量有问题，破口子什么的，好姐姐，只要是长了眼睛的人都能看出来你这个质量差是人为拿剪刀抠的口子；然后院长立马打电话问别的医院借，你猜怎么着，三分钟就借到了，紧接着宏伟的音乐又起来啦！突然跑出来一群人抱着口罩和防护服的箱子就在空无一人的街道狂奔送过来，不是，你家医院清洁工都跑完了你还有几十个人能专门给你跑步送口罩的啊？还两个人抬一个口罩箱子 正常尺寸的，咋的你家口罩跟千斤顶一样重啊？ 五六个医生围着一个病人抢救，真实吗？很多镜头都是开会 沉默 气氛渲染 明星飙演技，你这以点代面的表现手法真棒。 院长老婆在家里等流调人员的时候，病成这样，一个人的家，还要精致的打上脖子里的丝巾，丝巾结可漂亮了，你跟我说她不重不急，所以精致，啊那你那么着急的拿化验单干啥？你要是急，你都不用流调人员开口，直接单子糊人脸上了 真的没眼看，一半直接走人，能不能看看别人的医疗剧怎么拍的，不求你怎么高要求，别搞花里胡哨的行吗？个人纪录片都能拍的比你好，你存在价值是什么 这么好的题材浪费了，生气，可耻，拿钱不干事呗,255.0,24.0,40
3,3,35087699,中国医生,ce9973fa8d424cfb8476c7fd8e4dac69,5a3649fbef3711206138867ddb0b8936,2.0,2021-07-14 19:01:43,如果不是这些演职员，说是网大我也信。片子摆明了要做宏大叙事，这种叙事方式最大的问题就是，个人命运在其面前会显得卑微而渺小，很容易把电影拍成集体意识的宣传片，导演显然想要more than that。 要撑起个人命运，就要让人物变得高，大，全，可电影毕竟是有主体的叙事结构，强行在二三十分钟的支线里，试图塑造这样一个高大全的形象，还不能喧宾夺主，就一定会使人物扁平化，脸谱化，外化出来就是支线剧情的凑数感与游离感，反映到整部电影上就是零乱，拼贴，与跳跃。 观众的情绪不是递进的，而是被镜头带着追赶的，这种情绪变化一次两次，可以调动观众，四次五次，带来的就是观影的疲惫。总的来说，就是一部看着很累，看完食之无味的电影。两星吧，五星给医生，负三星给电影。,54.0,15.0,18
4,4,35087699,中国医生,c2e1d806b72c3df040de6cb704ecedff,bc08fa48f56f7039bdbd8be6181df234,3.0,2021-07-09 23:17:08,关于“新冠疫情”有太多的纪录片，它们远远好于这部电影。 在这里我想说的问题题目已经说了，“头重脚轻”，“刻意煽情”是我观看完电影后的直观感受。 头重脚轻 电影开篇即是高潮，发现肺炎病例，金银滩医院接收入院治疗，随着病例人数的不断增加，医护工作者承受的压力与日俱增。 院长坐镇指挥、混乱的场景、医患冲突、第一批医疗队赶来救援，大量的患者需要得到救治，但是病床位依旧得不到方案解决，随之而来的是死亡病例不断攀升，甚至于医生、患者、还有他们的亲属一个个离去。 电影用了一半的时长再现了当时的真实情况，节奏快，紧张感强，将观众很快带入到了情绪之中，所以我在还没到后面的时候，心里给这部电影预估的分数是8.5分左右。 因为，在我看来，电影的表现虽远远不及真实情况，但是在金银滩医院这部分，它做到了基本的还原，还有体现在这些演员上的表演细节。比如长期戴防护服后脸上浮现的一道道凹痕，年轻医生一把鼻涕一把眼泪诉说着思家之情，还有袁泉饰演的医生与周围邻里的关系，身为医生无能为力与绝望等等，这些诸多的小细节都演绎的很好。 但是但是，一到后半段，整个节奏一下子崩了。 刻意煽情 我在这里要说的不是煽情戏不好，也不是主旋律的问题，而是整个电影节奏一下子缓慢了太多太多。如果说前面是“激情澎湃，振奋人心”，后面就是“谈情说爱，悠哉游哉”。欧豪和周也的戏份几乎占后面全部，并且贯穿全片。 当然，紧张的节奏过后当然需要慢节奏过渡，就像前面在紧张的抢救病人戏份后，会有个会议来缓和下节奏。可是后半部分呢，除了些之前记录片的素材和偶尔的医院戏份，这时的整个重心就在欧豪和周也这条线上。 如果不看前半段，单看这后半段内容，我只会觉得这是疫情期间发生的一段“感人”故事，说到“感人”，这两位年轻演员的长时间表演给观众带来的“感动成度”真不及前面张子枫的2-3分钟。 所以整部电影看完后心里的分数直接从8.5降到了7分。 当然，整体的演员表演完成度还是很高的，尤其是病房里抢救的戏份，让我不禁感叹，我国的医疗戏明明可以拍的很好嘛，但是医疗剧就是没人拍。 就说这么多吧！,53.0,4.0,7
5,5,35087699,中国医生,fe6c76b2e360cd8b7639b7223d69726f,cac89459ec81c5843c9250afa9de85db,1.0,2021-07-18 20:07:23,原本是抱着绝对期待的心情来看的，因为这个题材的电影，很容易出现神作，药神那个级别的。可惜，但是看完以后，真的很差很差。 首先，一部好的电影，剧本！故事！这部电影在讲什么？故事是什么？剧本在特么说什么？除了套了这个壳子，空有一个形式，丢掉了一切应该注意的东西，只注重形式上的“正”，那么方向一开始就歪了，你只会越来越南辕北辙。所有人看了后相信都会有这样的感觉，这特么是一部电影？这究竟是纪录片还是电影？就算是纪录片，也是一部质量极差的纪录片。而且你想拍纪录片就拍纪录片好了，拍什么电影呢？ 其二，每个故事片段，就是那种一惊一乍的配乐带起来的，意义不明，目的不明，丝毫不知道想表达什么，就算想拍真实性，那你的真实性呢？尴尬就是你所谓的真实嘛？ 其三，演员阵容奇葩，一堆熟脸，无论演技好坏，往里硬凑，白瞎了几个戏骨。最主要是这些熟脸有吊用啊，他能演的比一些有演技但是没有资源的演员好么？放在里面让大家发现这货我见过，有什么用啊，甚至会导致人们的注意力偏移。深刻怀疑是一些垃圾演员纯粹混脸熟，恰烂钱，想用主旋律电影提高演员知名度。又是垃圾资本的运作。 其四，医护人员的精神品质，做医生的崇高丝毫没有表达出来，医生那种人性和神性的力量在电影里如同鸿毛般轻浮，画面显现的仅仅是现象上的医生的辛苦，但其中愿意付出的缘由，所谓的精神，在哪？旁边一个孩子甚至说：“我长大不想当医生了。”这就是这个破电影带给新一代的意义嘛？ 其五，照着时间线平铺直叙，小学生流水账；重点不明，忽这忽那。 其六，台词极差，他妈的正常人现实谁特么这样说话，做这种行为？艺术源于生活，完全脱离生活，拍这样的电影意义何在？为了交作业吗？或者是吃人血馒头？用这样壮烈的事迹和题材，赚人民大众的钱？ 有人说抵制这部电影，我起初看到这样的影评以为是言语过激了，又是什么别有企图的恶评。结果亲眼观看后，我觉得确实，应该抵制！ 我们的国家，要是没有较好的文化宣传形式，不仅对大众无法造成正能量宣传作用，还只会剥夺人的独立思考能力，反向遏制良好作品的显现，最终陷入死循环。 最后，再次求求那些文化领域的所谓专家们，你们的分级制度的研究结果呢？这么多年了，中国电影市场越来越大，电影受众越来越广，进电影院的孩子越来越多，你觉得他们是什么场面都能看都想看的吗？这样吧，你们要是想不出合适的有关于分级制度的办法，我给你们一个建议：看电影实名制，把成年人和未成年人分开，不仅针对电影，针对所有文化产品和场景。,51.0,8.0,4
6,6,35087699,中国医生,339874f2bbd6fe5fadd4373586feb33e,9a9698d4f34f22fba3e2c93ccb072a8e,1.0,2021-07-15 04:52:01,刘伟强的电影带有浓厚的八九十年代港片风格，快节奏。在刑侦枪战片很好，在这种温情的叙事片，他的故事性就薄弱得如同稻草一样。导演把故事说得零零碎碎，如果不是这段真实的过去给人太多共情的力量，本片只值得给一分。制片人和导演的名字放大十倍，编剧去了哪里？我国应该要重视起培养编剧了。现在就是导演一个人不行就能毁全篇。 另外，此片有严重不实的部分，为什么疫情开始后死亡人数一直降不下来？你刘伟强制作组不看新闻就乱拍的吗？在没有疫苗没有特效药的紧急情况下，中医发挥了多少力量，拯救了多少生命，你们没人知道？整部电影就一个画面一句台词：我建议你们加入中医疗法。就没有了？然后突然死亡率是怎么下降的也没解答，所以你们就是故意漠视中医的贡献吗？ 就这烂片还买了一堆营销，让钟南山站岗宣传，人民日报和央视各自制作的报道和相关抗疫片也丝毫没有提到中医。只能哀叹，我国到底进入了多少高层的内部奸细。永远致力于把国家精粹拱手让人？ 总的来说，不管是这部电影还是背后的细节，都让人失望透顶。,130.0,26.0,50
7,7,35087699,中国医生,58e7416f19a4ab65592d5b3fe159cf6b,9bbafdd70a54d04687a051e72c1e5e34,4.0,2021-07-09 15:38:37,这部电影很多场景真实得让人不忍直视，有时候甚至让人恍惚中觉得这不像是电影，更像是某种意义上的纪录片，让人不自觉地想起了疫情期间的回忆。平时熙熙攘攘的诺大城市，街道变得空荡荡的，路上空无一人。原本应该全家团聚的春节，却因为病毒的肆虐而无法回家与亲人相见，无数的人被疫情隔在了生死两端，那种对未知的恐惧和害怕、那种可怕的揪心感觉弥漫了全身，让人不寒而栗，仿佛又置身于那个冰冷可怕的冬天。 电影本身激起观众情感上的共鸣可能要大于电影的故事本身，看电影时好几次都觉得坐立难安，我发现自己真的很难去直面那些生死救援的场面，医生割喉插管、病患孕妇剖腹产、抢救台上被电击时病人身上泛青的肌肤和伤痕，仅仅是看到这些电影画面都让我觉得非常难受，无法想象那些与新冠病魔抗击的医生每天都要去面对如此可怕的场景，又会是一种什么感觉，那一定需要强大的信念才能克服人与生俱来的恐惧。 平凡英雄的不平凡 金银潭医院是武汉的传染病专科医院，处在武汉抗疫一线中的一线，疫情期间收治了一大批最初的新型冠状病毒感染肺炎确诊患者。这个专科的医院原本鲜为人知，现在早已因为在疫情中的突出贡献而一战成名天下知。 2019年的冬天，首批7名不明肺炎患者，转入金银潭医院。4天后，该院正式开辟专门的病区。   张涵予饰演的张院长人物原形是金银潭医院院长张定宇。早在疫情爆发的前两年，张院长2017年随武汉市卫健委赴外地出差，就已经被专家发现腿有异样，次年10月被确诊为渐冻症。渐冻症是一种罕见的绝症，又称肌萎缩侧索硬化（ALS），无药可治。早期，患者可能只是感到有一些无力、肉跳、容易疲劳；渐渐地，就会进展为全身肌肉萎缩和吞咽困难，直至产生呼吸衰竭。疫情期间，张院长能明显感觉到肌肉在萎缩，上下楼越来越艰难了，疫情需要穿着连体防护服进病房，他自己甚至完成不了穿连体裤的动作，每次都需要同事帮忙，但即使这样，他也没有把病情告诉大家。整个医院没人知道他那一瘸一拐的步伐是因为饱受病痛的折磨，因为每次有人问起，他只不过大手一挥说自己膝盖不好。生性乐观的他，不想让别人担心。 接受这7个病人后，凭着多年行医的职业敏感，他意识到这病肯定不一般，决定早做准备，早在上级卫生部正式通知前，他已经开始组织医务人员布置病房。一波又一波的病人疯狂地涌到了金银潭医院，疫情最严重时几乎每两天就要新占用一层楼，张院长要提前准备新病区。那段时间，他每天只能睡4小时，很多时候他都不回家，只在办公室和衣而眠。不幸的是，同为医护行业的妻子感染了病毒，他每天都去巡视病房，却没能亲自照看结婚28年的妻子。   面对新的病毒，没有疫苗，也没有特效药，医生和护士日夜不休地拼命努力抢救，病人却依然不断死去。镜头掠过医护人员被汗水浸湿了的衣衫，被面罩勒出累累血痕的脸庞，因为劳累过度无法伸展的手指，因为长期处于高度紧张无法舒缓的神经，好几个月无法与亲人相见的痛苦脸庞和泪水，长达好几个月的拼命工作却依然不得不面对死亡的无力感，时常在不经意间发现身边认识的人因为疫情死去的锥心苦痛，每一件小事都会成为压倒他们内心防线的最后一根稻草。可是他们依然没有懈怠，忍着内心和身体上的双重痛苦继续努力工作。漫长辛劳的努力工作之后，终于迎来了转机。 每次看到这些让人觉得不堪回首的往日痛苦场面，我都发自内心地感谢那些奋斗在抗击疫情一线的医护人员，没有他们日与继夜的努力工作，中国的疫情恐怕没那么快可以抑制住，我们也没有那么快可以重享往日的正常生活。 每个人都知道自己身处险境，但依然有人挺身而出。 这就是平凡英雄的不平凡之处。 残酷人生后面的善良，普通人的艰难选择 易烊千玺饰演的杨小羊，是非常普通的住院医生。   他调皮，院长走路有点一瘸一拐，他也学着一瘸一拐地走路，被文婷医生发现后指正，他没什么恶意，就是男孩子好玩的调皮天性，因为他不知道院长那个时候已经患上可怕的减冻症。当新冠病毒四处肆虐，死亡的阴影扑面而来，他没有逃避，他跟医院的所有同事一起努力，但是他不可能一下子就变成广州来支援的陶医生所要求的那种技艺高强的精英，所以他很努力地训练自己，这就是普通人在非常时期所能做的所有选择，用拼命地练习以换来飞速的成长，在陶医生的奚落下，他飞快地进步着，然后慢慢可以上手了，因为时间不等人，能力不行就要看着病人一个接一个地死去。 可是后来他却感染上了新冠病毒，代价非常惨重，之所以如此是因为他不是精致的利己主义者，他始终还是一个善良的普通人。当路边等不来救援的患病阿姨求骑摩托的他带自己一段路时，他明明知道这样与患者接触后自己就会感染上同样的病毒，他亦没有选择逃避。文婷问他，你明知道她感染病毒了为什么还要带她？他说，我能怎么办呢，她那么无助，她有点像我妈妈。一下子我就能感同身受地理解了他的选择。这就是普通人两难的选择阿，能怎么办呢，因为始终是个善良的人啊，难道看着她死去吗？用她的死亡来保全自己的安全吗？   人生到处都是这种难题，你明明知道理智上不可以这样做，可是你又不得不去做，因为人并不是冰冷无情的理智机器，人就是因为有了情感才有温度，就是因为有了七情六欲才能够体会到人间的冷暖。在非常时期遇上这种非生即死的艰难选择，又怎么能够指望一个普通人冷静地分析利弊，然后果断地进行取舍呢？这太难了，要求太高了，一个正常的人没办法见死不救。 欧豪饰演的金仔也是一个普通的快递小哥。   他脾气冲，在医院因为患病的怀孕老婆没有床位，他会冲着文婷医生大声嚷嚷，不惜出手。回到家里自行隔离，在彼此相隔的一层透明塑料膜后他也会洗衣煮饭照顾家人。老婆住院后，他努力听老婆的话，在非常时期为了保护自己的人身安全不接单。可是当俞飞鸿饰演的老客户跟他说，我上有八十多岁的老人下有一岁多的幼儿，家里一家老小都需要吃吃喝喝，孩子不能没有奶粉阿，你得帮帮我，他的恻隐之心动了。他做不到拒绝那位需要他帮助的客户的要求，因为他只是个善良的普通人，他没有办法撇开所有的请求，特别是当客户还有一个幼小的孩子。 最后他感染上病毒也是因为善良，因为他送货路过时看见有人摔倒，于是出于本能反应地扶了翻墙逃出摔倒的无症状感染者一把，就因为这一扶的接触，他感染上了病毒。在这种非常时期，他原本可以装作若无其事地走开，没有人会因此指责他，但是看见有人摔倒了扶人一把，是平时的做人习惯，一下子很难改过来。 明知士不可为而为之，面对病毒的残忍，这些普普通通的人依然选择了做个善良的人。他们是与生俱来的英雄吗？他们可能不是，面对别人这些生死攸关的请求，他们也曾想过逃避，也曾想过拒绝，可是经过思考之后他们毅然决然地做出了艰难的选择，选择去做他们认为对的事情，即使那件对的事情对他们来说并不利己。这就是普通人的不普通之处。   为什么与这些普通人共情？因为身为普通人中的一员，面对病毒，我也曾满怀恐惧。在那个可怕的冬天，不能出门的日子里，如果没有超市送货人努力的送货工作，我根本无法拥有了正常的吃吃喝喝，虽然不至于饿死但肯定无法维持正常生活。平日里不敢也不能出门，连倒垃圾都要选择在夜深人静的时刻，不敢坐电梯，走楼梯听到人声都会惊慌，生怕迎面而来的人是个病毒感染者。这种焦虑和恐慌的日子很多人都曾经历过。 每个人都在这场疫情中失去了很多。在漫天飞舞的雪花里，当医生告诉哀伤的张小枫，她的父母因为新冠病毒双双去世的消息时，她不禁问医生道，“你告诉我，一个没有父母的人该怎么办？”那个哀伤而痛苦的飘雪场景让我想起了那个在网络上不断更新疫情日记的武汉女孩，她最终因为疫情失去了双亲，一种无能为力的揪心感觉抓住了全身。 几天前英国公开宣布放弃抵抗病毒，在印度首次发现的、四倍传播率的新变异毒株“德尔塔病毒”早已在英国肆虐开来，这已是全英国进入新冠肺炎第四波疫情的第三个月了，而印度呢，整个印度因为新冠疫情死亡的人数已经高达40万例，就算是世界上最强大的美国，新冠疫情死亡人数却是最高的，达到了62万人次。刚刚查了一下数据，整个中国因为新冠疫情死亡的人数是5554人次，我国医护人员的努力有了明显的回报。很多国家因为疫情而死去的人数比在很多战争中死去的人数都多，过于冰冷数据让人不寒而栗。 看完电影后有一种劫后余生的幸运感，同时又有一种劫后余生的后怕感，毕竟看这部电影时我依然还在戴口罩（虽然已打过疫苗），此时离新冠肺炎在武汉暴发已经过去了整整一年半，新冠这个可怕的瘟疫依然在世界其他国家肆虐，每天都仍有人因为疫情在死去。 感谢奋战在抗疫一线的所有医务人员！,109.0,14.0,19
8,8,35087699,中国医生,35d2dd4a51c0372d7241116f20fa832b,778518c31391e017bf2f2288fa88672a,5.0,2021-07-30 17:10:32,"电影以抗疫为主线，这一点是大多抗疫篇都有的，但是为什么我推荐中国医生这部电影呢？就是讲他与别的抗疫片与众不同的地方。抛开那些都有的，现在开始讲重点。
  如果只是从接纳病人，院长大发雷霆，唤醒人员，这些角度来看的话，可能与别的抗疫片一模一样，没有任何的特点，甚至比别的抗疫片还差，但是我认为大家都不认为重要的角色张吉星起到了至关重要的角色，相信看完电影的都没有记住他吧，我认为他就是电影中大部分的线索，为什么这么说呢？
  从开始镜头无止的给到张吉星，在第一个人离开的时候，张吉星的反应与别人一样，黯然神伤，甚至还有些恐慌。这可能是一个正常平凡的人都会做出的反应。人一个接着一个的离开人世，终于张吉星也快撑不住了，这时候陶主任站出来救了他，张吉星在电影中多次给医生竖起大拇指，向他们示好。
  在所有的病人当中，张吉星恢复状态最好，所有的指标几乎与正常人一样，再过几天他就会成为第1个痊愈的新冠病人，之后陶主任大胆的给他拔管，他坚信他能康复，拔管是成功了，却没过几天死于心梗，这也许令所有人都出乎意料吧，也令所有人难过吧，这时候沉重的打击了医生的信心，特别是张吉星颤抖着给医生比了个大拇指那里真的 我以为能活下来但是最后还是心梗去世，所有的医生都很失落，都开始自责，你们也许看不出来“张吉星”一角色带来了什么，那么我来告诉你，他就是以张吉星为线索，他就是一个平凡的人，就是疫情当下的老百姓，他们的心情，就是张吉星所呈现的一切，所以说导演想呈现的就是，疫情下那些老百姓的心情，有多么的复杂，他不与别的片子一样，只有这部片子讲出了百姓的心里。如果说这一证据还不够说出这个道理，那么你再看“金仔一家”
  从片头的开始，金仔的暴脾气，就可以体现出，百姓被疫情弄的脾气暴躁，金仔就是一个典型。自己的妻子怀了孕，而医院里全都是新冠患者，又不能给予自己的妻子帮助，为什么要写呢？，就是因为金仔是疫情下典型的一家，而且在疫情下精彩的职业和医生相提并论。不分高低，所以说为什么医生要全力去救助金仔呢？就是因为这个原因。在那时，他们都是同一个职业，且都是平凡的家庭。
  还有一个点，就是为什么要把院长的腿设为渐冻症，其实能了解背景的应该知道这是原形张定宇的特征，他也是渐冻症，其实这部电影里有非常多的原型，还有就是金仔的原型汪勇，他们都是疫情下的英雄。
  他们以凡人之力 书写一段传奇。
  令我十分感动的点，院长老婆说了一句让我感动的话，如果我死了的话，就拿我的身体去做研究吧。听到这里真的是泪目了。还有一个最悲伤的背影，张小枫父母都因为疫情而去世，只留下了一个世间最悲惨的背影……
  总体来说《中国医生》亮点很大，值得大家观看。",15.0,12.0,6
9,9,35087699,中国医生,b9d753ec677c5d73b020f319777876d7,bbec6643afb6ca8afdeec0291a0421a2,4.0,2021-07-15 00:43:44,作为一个武汉人，得知这部电影上映，马上找时间一个人去电影院看了。纵然电影有我不喜欢的李晨、欧豪，纵然大多数配乐响起来突兀又吵闹，纵然整部电影更像明星演绎的抗疫纪实，但我仍然从头开始默默流泪到结束。大概只因为疫情本身，真实而又残酷地发生在我们每个人身边。作为一个普通的武汉人，我经历过听说身边朋友亲戚感染了医院无法收治的担心，经历了去超市囤菜囤粮的兵荒马乱，经历了到处都买不到口罩的害怕，经历了不想带孩子去吃年饭被爸妈骂说不孝顺的委屈，经历了76天的封城，家中老小在家等米下炊，婆婆作为胰腺癌病人，还要帮我照顾刚刚两岁的孩子，我却因为执行公务无法照顾，只能逆行出征，一去就是73天封闭执勤的歉疚。3月，还在单位值班的我，接到家里电话，舅伯突发心梗，最近的医院作为新冠定点医院无法收治，救护车跑了四十分钟转到别的医院，但终因抢救无效死亡，我一时待在原地，哭不出来，身在疫情的中心，我原本以为家人都在家隔离无虞，没想到身在武汉的我们，没有谁能置身事外。这部电影里，有小卖部的普通店主，有怀孕的夫妇，有失去双亲的女儿，这些都是疫情下普通武汉人的缩影，不知道他们的家人，过得还好吗？身边也有医生同学，他们有的同事付出了生命，他们自己也为武汉卖过命，长时间住在隔离酒店不敢回家，他们的双眼记录了疫情下的武汉最惨烈的一面，那些亲历了惨烈的医生们，不知道有没有组织专门的心理咨询，他们，还好吗？我还记得大学期间看过一部名为《从心开始》的电影，讲在911中失去妻女的男人，在伴有PTSD症状下重新开始生活的艰难。我在看这部电影前抱有过一丝这样的幻想，我想也许能从电影里，或许武汉人都应该看一下，也许能从中得到一丝治愈，释放九死一生后的淋漓。可惜的是这部电影没有治愈效果，大概是故事线太多，渲染的太过刻意；大概是张涵予那不够标准的武汉话让我出戏；大概是处处描写群像，个人刻画又重点偏离；也大概是导演的拍摄手法太过港产商业片的模式窠臼让人无法动情；也大概疫情终究没有彻底宣告结束，电影拍摄的目的是为了歌颂医护人员而非治愈疫情亲历者；也可能我们的生活已经被疫情彻底改变无法再回到过去......我始终无法为劫后余生长吁一口气。 值得一提的是，演员的演技普遍在线，剧中场景也已经高度还原。喜欢袁泉演绎医生的眼神，总是坚毅里透着一丝温情让人动容。张涵予演技在线，但武汉话讲的实在别扭，武汉人骂人直接个斑马了，不会TMD，感觉台词还没有把握汉骂精髓。看的时候发现神似张译的，惊喜的是演员表居然真的有。余皑磊台词如果是原声，真的让人惊喜。笔笔的流调医生演绎的有点生硬。虽然讨厌欧豪，但意外发现他演技让人不出戏。 那些封闭执勤的日子终于过去，武汉的街头也早已充满了人间烟火，但想到那个在救护车上无助的舅伯，想到此刻躺在病床上癌症复发的婆婆，眼泪还是止不住地往下流。,31.0,2.0,6
