,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35093796,奇迹,cb8318debc5a9a1983d52b52d02b82e3,0151b2e2f563a7637ecbf87e776e6ccf,5.0,2021-11-01 14:39:33,《奇迹》的背景是发生在韩国庆尚北道的奉化郡小川面汾川一里113-2的地方，是一个小山村，距离首尔大约230km，由于奉化多为山区，交通不便，这个小村庄到现在也没有公交，只能依靠坐火车出行。  图中红点位置就是奉化 两元站于1988年4月1号建成，车站结构为1面1线，赶在汉城奥运会前竣工。 车站紧邻洛东江上游，以洛东江为界，西侧是庆尚北道奉化郡小川面汾川里元谷村，东侧是蔚珍郡金刚松面全谷里元谷村，所以叫两元车站。 这个站具有相当独特的建设背景，就是由当地居民直接搭建的车站。 而且车站设施也是当地居民自己制作的。（不是政府机关或地方自治团体花钱建设的！） 这也可以说是韩国国内最早的民间资本历史车站。 候车室、站台、铭牌等都是居民制作的。站名也是居民自己命名的。 这个地方以前通火车，但是没有车站，住在附近的居民，在火车上把行李扔下来，在下站下车后，走回来取行李。😂 《奇迹》是根据这段故事背景改编而成的，电影里的角色都是虚构的。 《奇迹》的原编剧是《担保》的编剧孙周延，后来李章蔒导演看见了这个剧本重新进行了改写，对角色进行了润色。 电影里最先确定的角色是林允儿（饰演宋罗熙），然后是朴正民（饰演俊京），   李星民（饰演泰允，俊京的父亲），李秀景（饰演宝京，俊京的姐姐）。 角色板 由于故事背景发生在奉化郡，所以演员的口音也是奉化当地的口音，和一般韩国发音不同。 这部电影在韩国上映的时候，宣传口号是韩版的《时空恋旅人》，所以说这部电影的整体结构和《时空恋旅人》很像，林允儿对照Rachel McAdams，爱情线，李星民对照比尔奈伊，亲情线；而导演又把姐姐这条线，复杂化。三条线交织在一起，显得很复杂。 林允儿和李星民的角色互为AB角，林允儿负责前半部活跃气氛，搞笑，前面越搞笑就越衬托后面的反转和煽情。李星民负责后半部煽情，温馨，两人都很好的完成了任务。 导演李章蔒非常擅长拍摄亲情、爱情以及成长；前作《现在去见你》也是这种穿越、回魂，亲情和爱情线互相交错，估计导演很喜欢火车吧，前作是孙艺珍坐着火车从天国回来，这一次是搭建一个火车站。期待导演的下一部作品。 电影的热映也带动了当地的旅游业，最后给大家欣赏一下两元站和奉化的美景吧。  210930 电影《奇迹》原型“两元站”实拍_哔哩哔哩_bilibil  两元车站 两元车站 车站内部 站台 铁路介绍 奉化景色,33.0,,5
1,1,35093796,奇迹,52f829285bc56df124e4b63e2201a79a,b8e70def2792f55efb4f0ae6824fdfbb,4.0,2021-11-05 01:00:24,"浮躁的国内圈应该很难踏踏实实的拍出这种片子来了吧？
韩国总能把看似无趣，平淡的题材拍出新意，引人共鸣，
虽说不上多么波澜壮阔，
我却觉得它像一杯茶，随着年龄，生活阅历的不同，你可以越来越体会到这部片子带给你不同的感受。
关于亲情，友情，爱情。
或许有的人生来就是赢家，她可以纯情，一往无前的追求一切自己喜欢的人和所有的理想，比如女主。
但更多的人是像男主一样，尽管他努力刻苦，聪明，有自己的坚持有自己要坚守的一片天地，他可以有全新的世界，却因为有牵绊很难拥有自由。
不要紧，风雨过后终见彩虹，
只要前行哪怕艰难
我们终将成为一个自由的自己。
拥抱世界。
最后，林允儿真的是我的光，喜欢她很久了，对中国粉丝也真的不错，
很用心的学习汉语，比起在中国捞金反手吐槽又看不起的很多韩国，哔哔哔，而言，
她留给我的印象真的是用心的一个爱豆了，我有时候自己都觉得汉语好难学的，从她和林更新拍电视剧《武神赵子龙》开始，
我肉眼可见的一点点看她汉语越说越6，她和秋瓷炫真的是我比较喜欢的韩国明星了，我管你怎么想，起码有基本的态度，他们也真的是很感谢中国粉丝对她们的喜欢并回馈粉丝的可爱的人。",10.0,,0
2,2,35093796,奇迹,1baf8079d7a9ad1183f8f68f6995a807,3332b5e151e2aeef018cb5a8ebf7ec13,4.0,2021-11-26 08:19:44,两段反转还真是让人肝肠寸断！原来一直陪伴着的姐姐只有自己能看见！原来冷酷的父亲为了儿子背负着生不如死的秘密活着！原来和你们的羁绊是如此强烈竟超过梦想和爱情！ 姐姐在火车上对弟弟说了两个字“谢谢”，谢谢你一直以来把我记在心里！谢谢你长久的陪伴！谢谢你的再见！ ps：林允儿演高中生毫无压力，还是那种勇敢、粗线条、敢爱敢恨的玛丽苏！ 与外界只有一条铁轨连接，每年都有死于车轮下的村民，哪里都有坚强活着的人啊！,1.0,,0
3,3,35093796,奇迹,f084dc291a398babeed74ab2fe229e25,2eec72072f62aec36aee425425da81b6,4.0,2022-01-02 21:53:47,三星嫌少，四星不到。 这是一个根据真实事件改编的电影，住在这个村子里面的人真的是很辛苦很坚强，每天都要从黑暗的隧道走过去、走在无法避开火车的桥上（只有桥的中间有一个小小的避开火车的平台），在隧道和桥上行走，随时有可能会被火车撞到。 通过这个真实的事件，虽然影片中没有说，但是我们能看到，当时的负责部门确实是很奇怪的，这个村子当时没有公路，但是通了铁路。人们去临近的车站很远又危险，那为什么不建一个小火车站呢？ 电影看下来整体节奏有点偏慢，很多时候画面没什么声音，就是在等待另一个人说话，这种时候就会有点出神，就没有时刻保持在剧情里面。但这部电影的设计、完成度都还是很高的，很好地讲述了两元火车站建站的始末。 男女主的爱情部分讲得比较少，每次都是稍微提到了一点，然后又去讲别的了。我觉得本片在讲述&lt;姐姐、父亲、女朋友、自己内心的追求这几块上整体时间和内容的分配还是要再取舍一下。确实有很多剧情都像是比较孤立的片段，这些片段看着挺好的，但不放好像也不影响。最神奇的是好几次女朋友都是突然出现，然后突然离开，有点不明所以。 本片讲述最完整的应该算是姐姐这一条线，也是最让人动情的一条线。我觉得父亲线和女友线如果也能让人动情，那就更好了。这也让我对电影有所思考，要想拍一部比较高分的电影，确实不容易。 电影对80年代复古的环境让我看了还是挺怀念的，在小小的林荫道上骑着自行车，后座带着一个女生，两边还有小小的草莓棚。还有约会时穿的服装，录像带，磁带录音机。这些都能让我回想起小时候的经历。 看完，我觉得内容和片名《奇迹》的联系不是很大，算不上是奇迹，但是只要有信念去做，那你想做的事情一定能做成。,,,0
4,4,35093796,奇迹,32e9b8109a8b8bf4153fe8a9d4eeb548,c4d417cbf965dab9f1e7fae48c3230dd,4.0,2021-12-25 22:07:29,剧情有点粗糙了哈哈哈但还是很经典 111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,,,0
5,5,35093796,奇迹,d46859b7273d3596a67ca0e4f3d51180,fd63d595c5d7bc2f7ea07e2be02fe2fb,5.0,2021-12-17 06:29:25,"昨天晚上看了一部韩国电影《奇迹》：
女主是林允儿，非常漂亮，照片如图。
这部电影内容根据真人真事改编，因为村庄偏僻，男主家和村里人需要穿越隧道，但是隧道没有报警机制，导致男主姐姐去世，男主伴随心目中的姐姐长大。
男主从小天赋异禀，在数学上有很高的悟性，高中遇到了林允儿，在林允儿的帮助下，男主终于在村口建立了一个简易车站。
男主与林允儿也有情人终成眷属。
电影把姐姐的去世偷偷藏起来，让观众误以为姐姐还活着，我是在林允儿到男主家做客的时候看出来的，因为男主说话的时候姐姐在，但是女主说话的时候姐姐就不在，这个细节拍的不错，当然也是一个老梗，没啥新意。
韩国电影很厉害的地方是唯美做到很好，常常把真人电影拍得跟动漫似的，反观日本电影可以看出动漫做的很唯美就是那种理想化的美，但是真人电影就有点诡异也就是不自然，除了一部，那部电影忘了名字，内容大概是男主小时候救了一只猫，这只猫后来变成人来报答男主，那部电影非常美，就是那种童话美，超越了现实的美，也不诡异，其他很多日本电影看起来有点诡异，不知道怎么回事。
韩国拍恋爱电影确实是有一套，水准很高。
美国电影拍恋爱总是少不了各种亲热镜头，我觉得有点过了。
我国拍恋爱电影我最喜欢的是一部翻拍电影《不能说的秘密》，周杰伦演的，很好看，我看了很多遍，当然美国拍过，韩国也翻拍过，不过我觉得还是我们拍的好看。",,,0
6,6,35093796,奇迹,133ee538147df338484ab432f5f0d5d1,badaeef7a21530dac1dab63567089737,5.0,2021-12-04 22:25:11,疫情肆虐和经济衰退的今天，一些人人失去了很多，很多过去以为坚不可摧的依靠轰然倒塌。这种时刻，我们其实一直有一种依靠：亲情，只是在繁杂琐碎的日常中忽略了，或者当做废物扔在一旁蒙尘了。 影片背景是上世纪八十年代的韩国小山村，彼时韩国正在成为四小龙的路上，正在筹备汉城奥运会，山村民众的生活尚未被狂暴的资本和市场袭扰，生活简单、朴实、平静、缓慢，我们也有过那么一段时光。 导演打的是情怀牌，导演的侧重点在亲情上，姐弟、父女、父子之间，一段感人的故事，还有一段青涩美好的校园爱情。,,,0
7,7,35093796,奇迹,a059a29bd86864e6933ac7d66ce39ff5,47d63799be8b86d2bf465c58ad6bde1e,,2021-11-04 19:15:31,"火车轨上抖动的灰尘暗示着接下来火车的经过
自行车与小轿车的对比，显示出两人家境差距之大
特写镜头主要展示了面部表情，表现出男生女生的青涩的爱恋
奖杯代表着弟弟的荣誉，奖杯是姐姐拼了命都要去捡的东西
姐姐和女友拍掌时有两个声音，说明在郑俊京的心里姐姐一直活着
父亲得知儿子考上后，激动先是由声音表现出来，后来才是他奔跑出来，更显出他的欢喜骄傲",,,0
8,8,35093796,奇迹,8240958027f75d5cb8de9f921228650b,61613f06b32b81b0d32799178f56c5c8,3.0,2021-11-03 11:00:01,"俊京和姐姐从小生活在韩国的偏远乡村，因为乡间没有人行道，他和姐姐每天不得不很早就起床，步行到火车站乘车上学。
 这样的日子不但辛苦，而且危险，尤其是进入山洞的时候，倘若刚好遇到火车赶来，路人不得不赶紧逃出山洞，避免发生意外。     俊京对此从不抱怨，他只希望韩国总统能听到自己的心声，为家乡修一座火车站，好让乡亲父老不用每天起早贪黑。 然而，前前后后寄出去的50多封信全部石沉大海，俊京依旧没有放弃，他继续坚持过一段时间就给总统写一封信，期待能够用自己的真诚打动对方。 以上是韩国新片《奇迹》的开场片段， 电影根据真实事件改编而成，韩国本土票房一度反超《尚气》 ，主要讲述了一个数学天才为了家乡的基建付出的努力，并在此过程中发生的一连串感人事迹。
 除了片中那座真实存在的“两元站”，老实讲，你实在分不清影片中到底哪些是真实，哪些又是改编。不过不容否认的是，它依旧用满满的套路，狠狠赚了把观众的眼泪。   虚假的美好 俊京和姐姐的关系一度成为影片当中的最大的一枚烟幕弹。
 他们俩关系好到可以天天腻歪在一起，不过影片很早就给过暗示：这对姐弟有些不正常。 比如，影片开场姐姐就自我介绍到，她是一个高三生，但并不打算升学，因为比起聪明的弟弟，她更擅长照顾家人。
   几年过后，弟弟升上高中，奇怪的是，姐姐依旧随他前往学校，而且还身着学生时代的便装。加上俊京姐弟与父亲间几乎为零的互动，也让人不免好奇背后原因。 电影的蒙太奇手法相当娴熟，普通观众很难理出头绪，去怀疑姐弟俩的身份，更何况影片前期分明已经告诉大家，在一次紧急避让火车的过程中，姐姐和弟弟都在那次意外中得以幸存。 可随着另一次交通意外的到来，姐姐的身份才真正揭晓—— 原来在和幼年俊京避让火车的那次经历中，姐姐为了保护弟弟的奖杯，不幸坠桥落河身亡。影片此前营造出来的美好全部是虚假的，所谓的“姐弟情深”，其实早就随着姐姐的那次溺亡而去。
 而之后观众看到的姐弟俩互动，也不过是俊京脑海中幻想出来的画面，他依旧活在姐姐为保护他而牺牲自己的阴影之中。        矛盾的情感 《奇迹》中人物之间的感情关系非常复杂，俊京和女友之前如果只是单纯地发狗粮，那他和家人则要矛盾得多。 作为山里的孩子，俊京却偏偏有用过人的数学天赋。女友让他跟自己一道去首尔念书，以让才能得到最大发挥，但俊京犹豫再三过后，最终却放弃了这次人生逆袭的机会。 他的顾虑有两点：第一，自己和姐姐打小建立了极深的羁绊，外出念书意味着俊京不得不和姐姐的亡灵告别，从此只身前往异乡奋斗，而这是他极不愿意接受的现实。对俊京而言，有姐姐的地方才有家，即便有了甜蜜的爱情，也很难说服他与亲情诀别——哪怕这份亲情已经成为过去； 第二，父亲虽与自己关系紧张，但从小缺失母爱，又得不到工作繁忙的父亲半点注意，急于证明自己的俊京非常渴望做些什么让父亲认可自己。遗憾的是，最了解他的姐姐已经随母亲一道早故，而父亲又是个循规蹈矩的国家公务员，到底是选择家人还是选择理想，这对一个还未正式踏进社会的乡下小孩而言，的确是一个残酷的抉择。
     同样陷入纠结的还有俊京的父亲。 姐姐真实身份还未揭晓前，父亲无视姐弟俩问候的做法很容易让人对其建立起食古不化的不良印象。可等到姐姐身份被揭晓的那一刹那，来到父子二人掏心窝子的环节，你才发现这男人简直温柔得一塌糊涂。 和俊京一样，对于家里两个女人的死，他同样追悔莫及。俊京自责的理由是家人为保护自己白白送命，而父亲职责的理由则是自己三五不着家，导致没办法及时给她们提供必要的帮助，唯一的女儿，还因为自己驾驶火车的缘故，被意外波及身亡。 影片中的父亲真是一个悲情的角色，他为人老实巴交，做事一板一眼，如此憨厚老实的人，早年丧妻，壮年丧女，中年又不得不背负沉重的道德负担，并由此落下无法和亲人直视的毛病。    乍一看不苟言笑的外表下，背地里却埋藏着一颗早已被生活磨平棱角的心，父亲曾因为亲人的陆续离开动过轻生念头，是俊京打消了他的消极态度，支撑他继续活下去。 令人感到欣慰的是，他最终和儿子放下过往走出了阴霾，这对一个长期处于压抑和悲伤的家庭而言，不可谓不是一个奇迹。    奇迹的来源 关于奇迹，影片无时无刻不在与之呼应。 降至冰点的父子关系重新回暖对应的是家庭层面的奇迹，俊京和女友的爱情、二元站台的建立，乃至俊京留学美国的经历，都从不同维度紧扣了名为“奇迹”的题眼。
 一个山里的男孩，却被一个有政府高干背景的女孩相中，尔后腻腻歪歪羡煞旁人，这，是个体层面的奇迹； 父老乡亲因为政府懒政迟迟等不到已经允诺修建的车站，在俊京的号召下，愣是从一毛不拔的土路盖了座车站，这是属于一个集体的奇迹；
 俊京因其过人天赋获得出国研修资格，并有机会参与美国宇航局NASA的科研工作。这样的研修资格韩国当年仅此一例，且万里挑一，被这项计划砸中的幸运儿，除了对他是一项奇迹，对当时长期被排除在国际主流社会以外的韩国又何尝不是？       从个体到家庭，再到更广泛层面的社区和国家，《奇迹》貌似在煲一碗感人至深的鸡汤，底料却是牵扯民族自豪感的鸡血。 《摩加迪沙》为我们展示了韩国为了挤进联合国在外交层面付出的代价和努力，《奇迹》则从科研和人才培养的角度，向世人展示着韩国进军国际舞台的视野和决心。 影片将时间选在上世纪90年代，除了有原型事件的限制，其实也有某种不经意的偶然。彼时，乘着中韩建交（1992年）的东风，本已有着“亚洲四小龙”之称的韩国，更是借着与大国的经济往来，进一步输出其全球文化影响力。 时隔近30年，如今韩国已经兑现了当初的战略目标，无论政治、经济、科技，亦或者文化，他们都在各个领域印下了自己的烙印。 今年推出的这部《奇迹》，更像是对曾经那段历史的回望。在《鱿鱼游戏》火遍全球的当下，韩国影人已经做好了准备。 更多韩国制造的“奇迹”，在等待他们去完成。
    撰文 |Zed 策划|轻年力量 -End-",3.0,,0
9,9,35093796,奇迹,8b5f30dbd0033069d88e119084e12bb1,540393f2fc20c3e9ac35cee214c4dec2,4.0,2021-11-01 12:38:38,"不幸的背后，往往会有奇迹发生。一个连道路都没有的小小村落，也能诞生出天才的少年。
都说父子之间没有隔夜仇，只是错在不会表达，那些无法回应的关爱和赞赏，正是少年最大的渴望。
俊京幻想里的姐姐，注定是藏在心内最大的秘密。不单是源自愧疚，更是孤独灵魂的拯救。
简易车站、光秀的爱、考试第一、保送美国……看似不可能发生的种种，都会在命运的牵引下，纷至沓来。
对感情一塌糊涂的家伙，也知道萤火虫可以点缀黑夜。严肃沉闷的父亲，终于卸下防备在汽车上扭捏起来。人呐，何时都不会被定义，未来的模样，都是不经意间的盛绽。
铁轨延展着希望，在梦想的起点停靠，沿路斩断危险的曾经，驶向温暖的天堂。
话说世界上有没有话比较少的校长？",3.0,,0
