,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35145064,谤法：在此矣,ef2302d79962eb4be5a2e9de37f17dcc,f0079fb04832a48237e84778d2ccdf45,5.0,2021-12-19 16:52:55,看网上评论一般，好像是某电视剧的续集，没看过电视剧，很担心会不会影响观影体验。 事实证明担心是多余的，昭珍那部分明显是电视剧里的延续，但对剧情没有任何影响。 一开始剧中百名僵尸冲击大楼很带劲，接着僵尸乘出租车追击警车有新意：美国人拍僵尸片拍了几十年一直是老套路，本片中僵尸开着出租车与警察对飙，有意思！甚至有点速度与激情的感觉。 最后洁西追杀董事长功亏一篑的剧情看的我想哭！昭珍为什么要帮坏人，真想踹她两脚！！很喜欢洁西，如果有办法让她复活就好了。,,,3
1,1,35145064,谤法：在此矣,872462eaf159bd73ce6e4e2f9b75de0e,f6effb623b23ce5e4feb958fe8291798,,2021-12-18 00:24:39,该死一个没死，不该死的却一个比一个惨，那个垃圾女儿不应该是死的最惨的一个么？一群SB主角还以为自己做了多么正义的事，欺负人家外国人还不让人家复仇，就靠韩国棒子那套司法系统能把女魔头判个罪有应得才怪了，可怜印尼老爷子千里迢迢千辛万苦，只是想给女儿报仇，结果被人就这么弄死了，这是暗示韩国警察就是专职保护魔头的吧，真想打死这个编剧,,,0
2,2,35145064,谤法：在此矣,0d922c068820b0f7fb4dd74f6c5780ff,ad57484016654da87125db86f4227ea3,4.0,2021-09-21 10:40:11,完全是四星以上的作品。有情感，有思考，有讽刺。 优点1.结合了当前的热点，算是丧尸类型影视的变种，这样的丧尸才是部分热兵器无法抵抗的。 优点2.有设定的创新，百人追击戏非常出彩，主角身边的小女孩很早就埋有伏笔，最后的反派是小女孩父亲，也是一种反转。 优点3.将之前的剧情衍生到电影之中，算是一种尝试，效果并不是太好，但却有种新的体验，打通电视电影的桥梁。 缺点.傍法作为韩国一种本土诅咒知名度不高，没有形成体系，在设定上就相对突兀，没有逻辑，导致很多观影人看的莫名奇妙，明明诅咒就死了，却费很大的劲。在丧尸片枯竭之时，希望该片能够成长改良为新的一类影视剧。,1.0,,0
3,3,35145064,谤法：在此矣,a24f9fa8768d3f1b53cc896f3d32c4aa,078533651606a331e1fb98d86ab6050c,5.0,2021-08-30 20:01:59,又一部被名字耽误的电影🎦，看完了，还不知道叫什么哈哈。 好希望复仇者胜利✌🏻️，韩国电影总是这样。 注意细节：施法要汉字！绍珍在日本没收获，在中国寺庙竟然得到了心灵的升华，不愧是我古老而又神秘的东方古国🇨🇳。 绍珍像是漫画里出来的，美！ 很喜欢杰西，说不出来的看着舒服，心中有恨，看着她也有心疼。最后画符的，就是她口中的弟弟吧？ 虽然是恐怖片，但是不觉得恐怖，反倒还很感人。 怪物不乱杀别人，还很有智慧，追车那段，挺刺激的。 期待第二部。,1.0,1.0,4
4,4,35145064,谤法：在此矣,021ecfa83defc60ad3abc69df00ff51b,568b679c02b5936f48d578f749410370,,2021-08-30 17:42:51,期望值太高了，中规中矩吧，全程淡定的看完，紧张感完全没有，没有意料之外的惊喜，活尸奔跑的姿势设计有点问题，太tm正儿八经了，太统一了，以为在看体育频道……平平淡淡的片子，直线到底没什么起伏，吹特效？瓦特？特效其实一般。一般一般一般一般一般一般一般一般一般一般一般一般去去去凄凄切切凄凄切切嘁嘁嘁嘁嘁嘁嘁嘁嘁嘁嘁嘁嘁嘁嘁呜呜呜呜呜呜呜呜呜哇哇哇哇哇哇呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃,,1.0,0
5,5,35145064,谤法：在此矣,a826d09bc53c5cc368ae0e1f8706d64d,df71ce8bcd39b2b6f94048f16cabaf4b,,2021-08-21 21:34:08,比前段时间吹爆的《怪奇屋》强多了（看过怪谈新耳袋系列很难对怪奇屋有什么好感，照猫画虎的感觉），建议先看几集剧了解下故事设定再看片，不然容易懵逼。。。但是你非要直接看，看完一脸懵逼跑来骂烂片我也没辙。。。故事幼稚，情节推进可以，废戏（感情戏）不多，是最近能耐着性子看完的为数不多的片子之一。最受不了呆萌萝莉祭天，太特么致郁了。。。。还有，这都2021年了，还弄只猫突然跳出来吓人就显得有点降智了。。。,,2.0,1
6,6,35145064,谤法：在此矣,a6ae40409a074378411729482e7d3cfe,28106493358778da6b9869d8caa42f6a,4.0,2021-08-20 20:47:32,"微博：Sharon_小银是乖小宁  // B站：乖小宁Ag  // Twitter: Sharon_Ag_Chou // Youtube: Sharon Chou [未经允许 不得转载] 电视剧尝试了N次都在第二集前暂停 电影认真的看完了  画面、视觉等上的掌控非常完美，内容也不拖沓，再次产生了想去看电视剧的想法    





  





  





  





  





  





  





  





  





  





  





  



",,,0
7,7,35145064,谤法：在此矣,2b802b564d19a58d843e4410ff1bc490,f1aa2b6c2037191e6a0af9ef909eaa69,4.0,2021-08-18 23:46:59,韩国惊悚电影《谤法：在此矣》先说明，你首先要看过那部《谤法》韩剧…如果你没看过，那么…看过后再来看此片吧！不得不说，作为看过剧集的人来说，看饭原班人马悉数回归电影版！真的是很激动啊！就此片而已，更像是剧版的延续，讲述了各位主角后续的故事（当然最主要的就是素真啦）当然此片的核心是讲述了一个通过在此矣来控制尸体杀人复仇故事！我还是那句话，韩国电影真的是敢想敢拍！电影版可以说是在特效和动作场面上全面升级（废话，毕竟是电影版嘛）个人最喜欢的就是那场百具尸体追杀戏，还有后续的追车戏！真的挺震撼的！太猛太刺激了，被操控的尸体，简直无人能挡啊！由于这场戏太过精彩，所以导致后面有点高开低走了（毕竟很希望后面出现更震撼的戏嘛…结果）最后还是素真的出现解决了一切，啊！谤法师果然还是最强的啊！鼓掌！最后字幕前后有两个重要彩蛋！一定要看完哦！（更加期待后续的故事了！希望也是电影版！）（素真长大了，变成美女了哦） 个人评分7分（此影评仅代表个人主观看法）,,,2
8,8,35145064,谤法：在此矣,4e7dbf33b7e3b0d86720a966848ecb38,1ec7c80ffcf81d0510276d67d690c3b0,3.0,2021-08-18 21:40:05,看电影《谤法·在此矣》有感：     韩国的电影越来越有想象力，电影的斑斓在于剧本敢于创新，制度没有约束，导演就能得心应手，否则，有好的剧本，没有好的环境，再想创新的导演和剧组也不敢触及。比如丧尸题材的电影，大多数电影都是丧尸一副面目狰狞，丑陋不堪，伶牙俐齿，或是晚上一动不动，白天倾巢出动，或是听到动静就发疯了一样朝其追逐。这类题材看多了都知道结局，谁被咬了谁就变成了丧尸，然后继续去咬别人，看多了似乎觉得没什么新意了。     在韩国电影《谤法·在此矣》（台译咒术尸战）就很创新，把那些死掉的人，尸体被邪术利用，变成了一支极为强悍的丧尸军团，他们虽然死了，可实际上和活着的人差不多，和正常人一样，能够说话，能够表达情绪，不到最后没有人会知道他们其实早已经死了。影片中出现了一支丧尸军队入侵医药公司的大厦，他们不怕子弹，从高空摔下也能立即恢复正常，能开车追逐，能徒手搏斗，把大厦周围埋伏好的警察、保镖打的落花流水。他们也善恶分明，不伤及无辜，认准了谁是目标就一直朝着这个目标穷追不舍，直到清除了对方为止，对周围的看客都是视而不见。这些丧尸体内有一股剧毒，只要划破别人，任何人都会身体起泡、腐烂、窒息，最后中毒而死。     传统上的丧尸题材都是见人就咬，这部题材不是这样，正衣了冤有头，债有主的话，一切恩怨都是黑心药厂丧心病狂造成，他们找了很多无家可归，没有亲人的流浪者，或是非法滞留者进行临床试验，结果实验失败，所有的人都不幸死去。可能是因为这些人处在社会的底层，便不被关注，被高层视为蝼蚁、草菅，也没有媒体发现深挖，政客通常也是被这些财团给收买，对这些上百人的死亡也不以为意，生命一文不值真是让人恐惧，韩国电影一贯的写实手法也是批判政客和财团。     控制丧尸的是一个泰国来的邪术大师，可他并没有利用丧尸胡作非为，而是单刀直入，直接找药厂复仇，要他们公开真相，给死去的所有人公开道歉，并且承认试药的真相。假如不是见证了丧尸军团的强大和无畏，医药公司的会长也不会选择道歉，可道歉仅仅是手段，缺乏诚意，这些有钱人打心里就不觉得那些人是人，一点也不在乎他们的死亡，估计觉得他们就不是人类，像牲口一样死不足惜，越是有钱人就越容易对生命冷漠。女实习生一眼就看穿了财团的狡诈和虚伪，直接谩骂他们作秀，愤怒之下本性发作，追逐老会长，因为她也是一个丧尸，被邪术指引先是混入林珍熙的团队，伺机报复医药公司。当法律都拿坏人没办法的时候，林珍熙最后也选择了诅咒方面的邪术，要挟会长的女儿出面道歉，对方可是一个蛇蝎心肠的女人。     把丧尸拍成飞檐走壁，身手敏捷的正常人，算是丧尸题材的一大突破了，对传统丧尸片直接是颠覆，不知道会不会开一个先河，以后的丧尸就和正常人一样，让人防不胜防，而不是那种见人就咬，一张鲜血淋漓，支离破碎的脸。文艺作品的想象力在古代也很发达，一部《太平广记》就合辑了成千上万的神怪故事，精彩绝伦，为华夏文化锦上添花。     蒲松龄的《聊斋志异》里就有一篇“尸变”，内容也是关于尸体复活，说的是一个开旅馆的老翁，正好儿媳去世，儿子又外出购买棺材，偏这时候来了四个旅客，老翁告诉他们没有空房了，他们也不想黑天再找住宿，执意要住下。老翁无奈，便把他们领入放置儿媳尸体的房间，四个人也不在意，愿意在这里住一个晚上，可能觉得自己有四个人，没什么好怕的。其中一个客人可能胆子小，晚上就是睡不着，随便一下风吹草动就把他给弄醒了，睁眼一看，只见女尸体掀开被子起床，朝另外三个睡着的同伴吹了三口气。这个客人吓的赶紧把被子裹住自己的头，女尸体过来吹了口气后离开，回到自己的床继续躺着，客人用脚踢了几下另外三个人，都是一动不动。客人吓得不敢闭眼，也不敢继续睡下去，就在被子里把衣服穿好，起床就往外跑，那女尸体也起床追了出来，对他穷追不舍。客人一路叫喊，可旅馆、村庄就是没人听到，客人发现路前有座寺庙，便朝寺庙跑去，可庙里的和尚担心自己的危险就是不愿开门，女尸体也追到庙门外，客人便绕着一颗大树躲闪，女尸体也绕着大树追逐他。     诅咒的邪术古往今来就存在，封建帝王也极为反感这些，如元朝就封杀《推背图》这本书，《续资治通鉴·二百十四》也记载了朱元璋杀死了一个叫曾氏的妇人，这个人精通天文，能预知未来，书里没有详细解读，可能是她说出了日后朱元璋会做皇帝，还有建文帝蒙难，所以被朱元璋觉得是妖言惑众，就把她给杀了。古代还存在一种厌胜之术，或巫蛊之术等，这些都是诅咒术，更早的时候以巫觋形容男女巫师，女巫为巫，男巫为觋。很多年前红衣男事件也和这些邪术有关系，很多非正常死亡的案件都和邪术有关，邪术也是五花八门，什么续命术，什么养小鬼，盛行亚洲的东南亚降头术也是诅咒，茅山术也有很多吓人的妖术。小时候农村里的老人也常说木匠也会一些法术，乡镇还存在看风水、给人算命的本领。     一般没有什么深仇大恨的人不会选择诅咒术，因为这样自己也会被牵连，可也有病态的人会不计后果，比如感情上的不满，或是名利场里的暗战，像娱乐圈里就经常互相诅咒，暗中借助邪术。我和母亲两代人也是被诅咒的，所以我们的人生一直很坎坷，母亲是自杀结束自己，我也一直无家可归，被周围的人阴魂不散，纠缠不清。诅咒术一是依靠外物进行诅咒，如对方的照片、头发、名字等，二是这个人真的饱受苦难，即使没有法术，只要是怨气冲天，也能得到神祇的响应，像元曲《窦娥冤》里的诅咒最后都实现了，特别是在顺帝时期，干旱、瘟疫、战乱，异象也频繁出现。,4.0,2.0,7
9,9,35145064,谤法：在此矣,94d43e27ac7d639c737311c2a00e423b,c43c7fc2a97c8ea123b62f72dd4db8a3,3.0,2021-08-18 17:52:11,①本人真丶丧尸迷，看过太多丧尸电影，这部电影也是被安利，说是一部21年韩国新上映丧尸电影，不得不说，真的很难看！ ②可能从2016年【釜山行】爆火后，韩国开始各种拍一些丧尸电影，电视剧，至于水平呢，也是参差不齐，但多多少少都会跟丧尸沾边，首先这部电影并不像其它韩国丧尸电影，【釜山行】的紧张刺激的剧情【釜山行2】剧情也凑活【王国】可能继了行尸走肉的感觉【活着】刘亚仁还是蛮帅的，但这部【谤法在此矣】里面即便有怪物但真称不上是丧尸啊。 ③该片打发时间也蛮不错，但是剧情实在是很乱啊，什么东西感觉都是在乱入，剧情实在是衔接不上。 ④如果想看丧尸片，不建议观看。 观影指数★★★,1.0,5.0,6
