,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35228246,奥斯陆,5784a9fac548aac9c23049152bfadfe9,69bdbd1fe863e16ad362b535e8b1bbe7,3.0,2021-06-14 22:18:28,巴以冲突几十年，谁也灭不了谁，谁也过不安生，连欧洲人都看不下去了。于是在挪威的撮合下，巴以双方开始在奥斯陆秘密接触，经过十几次谈判，达成了一份让人看到和平希望的《临时自治安排原则宣言》（即奥斯陆协议） 。  虽然在这之后巴以双方依然冲突不断，但总体来说没有再次爆发类似前五次中东战争那样的大规模全面战争，而且双方大部分人民都对未来和平抱有更高的期待。当然，哈马斯及其背后的伊朗，以及被哈马斯控制的加沙地带除外。 喊了几十年的中东和平，但和平不是说来就来的，纠缠着很多的因素。从巴以冲突的历史，就可以看出其复杂程度。 巴以冲突的历史 第一次中东战争（1948年）  开战前：联合国通过了以巴分治决议，阿拉伯国家纷纷不满，表示坚决要把以色列赶到海里去，组成了数万阿拉伯国家联军，装备有飞机坦克装甲车大炮等重装备。而新建国的以色列则装备落后很多，大部分是轻武器，军队数量也不多。战前各方一致看好阿拉伯人能把以色列赶到海里去。 战果：以色列获胜，不但自己没被赶到海里，反而还多占了巴勒斯坦4/5的土地。阿拉伯联军灰头土脸撤回自己国家。 第二次中东战争（1965年）  开战前：埃及国内爆发革命，驱逐了英法势力，限制了英法和以色列通过苏伊士运河。于是以色列联合英法向埃及发起进攻。 战果：英法迫于美苏的压力，在没有取得战略目标的情况下退出了战斗。以色列虽然击败埃及，但也没有占领埃及土地。以色列虽撤离西奈半岛，但解除了埃及对蒂朗海峡的封锁，亚喀巴湾的航行不再受阻。  第三次中东战争（1967年）  开战前：阿拉伯国家获得了来自苏联的援助，重整旗鼓准备联合起来一举把以色列赶到海里去，各国联军数量和装备均数倍于以色列。以色列发觉危险后先发制人，先四面出击夺取了制空权，然后南攻埃及，东击约旦，北揍叙利亚。 战果：埃及、约旦、叙利亚三个阿拉伯国家遭受严重损失，伤亡和被俘达6万余人，而以色列仅死亡983人。以色列占领了加沙地带和埃及的西奈半岛，约旦河西岸，耶路撒冷旧城和叙利亚的戈兰高地共6.5万平方公里的土地，战争中有100万阿拉伯人和巴勒斯坦人逃离家园，沦为难民。  第四次中东战争（1973年）  开战前：主要是埃及和叙利亚筹谋收复失地，两国联合向以色列发动进攻。埃及和苏联闹翻，失去了苏联的援助，只有叙利亚得到苏联援助。以色列依然可以获得美国援助，以少敌多。 战果：埃叙和以色列基本上还是维持了战前对峙的状况，双方都有一些土地易手，但谁也没占太大便宜。 第五次中东战争（1982年）  开战前：一方为叙利亚和黎巴嫩，以及盘踞在黎巴嫩的巴解组织。另一边是以色列和黎巴嫩亲以色列的民兵武装。巴解组织刺杀以色列驻英国大使，而以色列则希望消灭对其造成威胁的驻黎巴嫩的巴解组织和伊斯兰武装。 战果：巴解组织武装大部和以色列撤离黎巴嫩，巴解组织遭到削弱，反而为另一个极端组织哈马斯的崛起创造了条件。使黎巴嫩部分摆脱叙利亚的控制。 几十年打下来，巴以双方心态都产生了变化，而这种变化，成为了奥斯陆协议的诱因之一。 巴以现状 五次中东战争后，大部分阿拉伯国家都意识到无法消灭以色列，但以色列对大部分阿拉伯国家的侵略意图也并不明显，加上阿拉伯国家内部矛盾和与什叶派波斯人的更激烈矛盾，所以纷纷或明或暗与以色列停止了军事对抗。 而巴解组织发现通过武力无法获得的权益反而通过谈判可以比较容易获得，加上巴勒斯坦内部更加极端的哈马斯的崛起和威胁，也逐渐的放弃了与以色列的直接军事对抗，奥斯陆协议就是这样一个契机。 在协议后，巴解组织依然与以色列时不时的有些对抗冲突，但总体来说是走向和平的，尤其是美苏争霸结束后，巴解组织在以色列的帮助下在约旦河西岸建立了自己的统治区，与以色列建立了广泛的经济合作，以色列也不再视约旦河西岸的巴解组织为敌对势力，双方基本上达到了睦邻友好的状态（这点在我们的新闻中很少被提及）。 而在被哈马斯控制的加沙地带，依然贫穷好斗，失去了大部分阿拉伯国家的支持，只能依靠和阿拉伯国家敌对的伊朗为其提供各种帮助。  现在基本上就是以色列和巴解站一边，敌对的哈马斯是另一边。 就在刚刚结束的以色列大选中，取代右翼利库德集团的新一届的以色列政府包括左翼联盟和阿拉伯政党。现在的以色列，无论是执政群体里还是国民里，都有一定数量比例的阿拉伯群体，可以说也算半个阿拉伯世俗国家了，其它阿拉伯国家很难再以纯粹的消灭异教徒的名义对以色列发难了，依靠伊朗的哈马斯在阿拉伯世界也更加被孤立了。  当然，真正的中东和平并不能单单依靠巴以双方单纯的美好愿望来实现，背后错综复杂的势力不会轻易允许中东彻底和平，但目前至少是个良好的开始。,28.0,1.0,4
1,1,35228246,奥斯陆,133ee538147df338484ab432f5f0d5d1,badaeef7a21530dac1dab63567089737,5.0,2021-06-05 19:29:14,影片改编自真实事件：1993年巴以双方的一次较大进展的奥斯陆秘密和谈。剧本也是来自于舞台剧剧本，因此，剧本也很精细。这片子看点很多，很长姿势，值得拥有。 一、巴以冲突 巴以冲突基本是全球国际新闻的保留节目，最近又吸引了全球关注。巴以关系基本是考验全球政治家的皇冠问题，至今无解。 基督教伊斯兰教都源于犹太教，信仰同一个上帝，连耶路撒冷也是三教圣城。希伯莱人公元前1900年左右从两河流域迁移到迦南（今天以色列），上帝说犹太民族是特选之民，迦南是犹太民族的应许之地。以色列亡国后，犹太民族在世界漂泊两千年，饱受苦难，1948年，联合国通过决议，在此建立以色列国和巴勒斯坦国。以色列迅速发展壮大起来，邻居巴勒斯坦人民却是一盘散沙，周围一班兄弟国又是各种挑唆和指手划脚，导致了今天的局面。 对于巴以关系，自古以来、祖祖辈辈、恩怨情仇、联合国决议、国际法、实际管辖、事实占有……各种招都不好使，两家都是理由一箩筐。再加上大国和邻居的指手画脚，政治家都懵圈，普通人表态还是要谨慎。本片说了一个基本道理：总沉湎于过去，就过不好当下，更不会有未来！ 二、关于调解的艺术 本片算是比较完美的展示了一个纠纷调解操作案例，尤其是双方都是杀红眼的仇人，非常有启发和借鉴意义。调解人首先要创造一个机会，让双方能坐在一起谈，这个第一步至关重要。沟通创造价值，本片展示的很充分，即使仇人之间，有合适的平台和机会，也是可以谈的。其次是调解人中立客观诚信的态度很重要。回到今日国家局势，媒体上报道和渲染的各种纠纷矛盾其实都是可以谈的，喊打喊杀意味着政治家的失败，战争狂热分子和恐怖分子的胜利。 三、关于国家间的谈判和协议 本片让观众懂得了新闻报道中的两国领导人微笑着签署了某协议的背后是什么？是双方谈判工作人员的无数争吵不休和拍桌子走人，是一字一句的反复修改和妥协。每个协议的达成都意味着谈判人员的无数心血付出。 四、美国的地位和作用 本片是美国拍摄，但确实把美国贬得一无是处。巴以双方和挪威瑞典，在谈判中都是防火防盗防美国，坚决不让高高在上的美国知道，防止美国来捣乱。这个表现的很有意思，之前，大家都认为以色列是美国在中东地区的卧底和小弟兼打手。其实很多时候，以色列也很烦美国这个老大哥，巴解组织也很烦身边这些口口声声说兄弟的国家关键时刻默不作声。 五、关于人类和平 按民间段子的说法，上帝听到人类和平的问题，都愁得要提问者换个问题。最近巴以冲突是哈马斯和以色列的冲突，拉宾当年和阿拉法特签了奥斯陆协议，拉宾几年后就被以色列人刺杀，阿拉法特去世后，在联合国监督下，巴勒斯坦继续向建国目标艰难前进，可是，巴解组织也管不了约旦河西岸的哈马斯，巴勒斯坦内部继续各吹各的号，哈马斯是政教合一组织，目标就是消灭以色列，双方冲突再起也有必然。 看来人类和平这个问题确实太为难上帝了！,8.0,,0
2,2,35228246,奥斯陆,e9fe43a75b6c3517eab707539eb01e91,1ce8c1dfcdf125de2985fde0e076e222,4.0,2021-06-08 10:03:23,"很久很久以前，犹太人远祖亚伯拉罕（阿拉伯语发音为易卜拉辛）原居住于迦南（今以色列/巴勒斯坦一带）。他有两子，嫡幼子以撒成为犹太人祖先，根据《圣经》和《古兰经》的记载，亚伯拉罕与侍女夏甲所生的庶长子以实玛利（阿拉伯发音易斯玛仪）的后代就是阿拉伯人。所以犹太人和阿拉伯人其实是兄弟？
 公元前1000年，犹太人在巴勒斯坦建立了国家。公元前910年，巴比伦帝国攻占巴勒斯坦，犹太人沦为奴隶。波斯帝国消灭巴比伦帝国后，犹太人重建耶路撒冷圣殿。随后罗马帝国又成为新的统治者。
 公元前79年，犹太人起义反抗，强大的罗马大军攻破耶路撒冷，圣殿被拆毁，犹太人从此离开祖先的土地，流落到世界各地（主要是欧洲），过上了寄人篱下的悲惨日子。
 由于犹太人重视教育、重视抱团，经常从事金融、商业等非生产行业，赚了不少钱，每次经济危机时，都被当地土著所敌视，全欧经常掀起排犹活动，因此犹太人一直寻求建国。
 1917年11月2日，英国外交大臣A.J.Balfour致函英国犹太复国主义者联盟副主席L.W.罗思柴尔德（这个姓氏很牛逼），代表英国政府愿意支持犹太人定居在巴勒斯坦。这封信后来被称为贝尔福宣言，是犹太建国的最重要凭据。
 当时巴勒斯坦还是奥斯曼帝国下的一块土地，阿拉伯人、基督教、犹太人都和平共处。第一次世界大战后奥斯曼帝国瓦解，1920年，国际联盟委托英国管辖巴勒斯坦。1922年英国将托管地划分为两部分：东部（现约旦）为阿拉伯人居住地，西部为犹太居民区。犹太人开始组织移民巴勒斯坦。
 随着纳粹在德国执政，欧洲掀起屠犹高潮，犹太人加速了移民速度，第二次世界大战结束后，巴勒斯坦地区已经有60万犹太居民。而英国一边利用犹太人民兵镇压巴勒斯坦人，一边又出台政策，限制犹太移民，不愧是历史著名的搅屎棒。
 英国划分的犹太-巴勒斯坦地图，很奇葩的犬牙交错，双方都各分为互不相连的3块，毫无疑问会引发战争     1948年5月14日，在英国的托管期结束前一天的子夜，以色列国正式宣布成立。随后埃及、伊拉克、约旦、叙利亚、以及黎巴嫩向以色列宣战，以色列民兵成功抵抗了敌人的进攻，取得了当初划给他们的3块土地。而埃及、叙利亚则趁机将其它土地占领了！70万巴勒斯坦人民从此走向流浪之路。
 1967年，阿拉伯联军再次进攻以色列，但是经过了20年的发展，以色列军队素质原超对手，只用6天就轻松击败敌人，并且，夺得了全部巴勒斯坦土地，并且，在西边从埃及手上夺取了庞大的西奈半岛、在东边从叙利亚夺取了战略要地戈兰高地！     西奈半岛太大了，以色列消化不了。于是在美国斡旋下，1978年9月埃、以、美三国签订戴维营协议，以色列归还西奈半岛，阿拉伯领袖埃及永久退出反以联盟。
 1981年10月6日，签署了戴维营协议的埃及萨达特总统，在阅兵式上被伊斯兰极端分子射杀。     巴勒斯坦人则成立了巴勒斯坦解放组织（法塔赫），在阿拉法特带领下努力谋求建国大业。
 1993年，在挪威的撮合下（就是本片描述的），由美国总统克林顿主持，阿拉法特与以色列总理拉宾在美国白宫签署奥斯陆协议，以色列以土地换和平：以色列在撤出约旦河西岸13％的土地，并将目前巴以共管的14％的土地交还巴方。巴勒斯坦删除其宪章中的反以条款，并制定一个安全计划时间表，在美国中央情报局的监督下，收缴非法武器。     这是历史上巴以最接近成功的和平协议，但是很快在1995年11月4日，以色列总理拉宾被以色列极端分子刺杀身亡（和萨达特一样，谋求和平的总是不得人心），取代他的是内塔尼亚胡这种强硬派，随后几十年把持以色列政权的长期都是右翼强硬派，奥斯陆协议成为废纸。
 巴勒斯坦这边也是如此，2004年，比较温和的阿拉法特也去世了。随后强硬派的哈马斯（巴勒斯坦伊斯兰抵抗运动）取代了法塔赫，成为巴勒斯坦主要政治力量。随后双方开始不断发生流血事件：以色列扩大定居点、巴勒斯坦人抗议、以色列镇压、哈马斯发火箭或者人肉炸弹、以色列10倍报复。
 2020年，特朗普在美国历史上首次高开支持以色列对戈兰高地的占领，而以色列则把戈兰高地上一个犹太人定居点命名为特朗普小镇。     双方之间战争打了70年，两个民族之间都充满了血的仇恨，预计还将继续打下去，目前根本看不到结束。除非双方都同时出了一个极有人民支持的爱好和平的领导人，概率极小，且容易被爱国人民锄奸。",15.0,,1
3,3,35228246,奥斯陆,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2021-11-26 17:38:16,今天聊聊电影《奥斯陆》。 片名 Oslo (2021)，别名奥斯陆和平协定。     《奥斯陆》讲述的是1993年以色列总理拉宾(Yitzhak Rabin)和巴勒斯坦解放组织主席阿拉法特(Yasser Arafat)在白宫草坪上握手的标志性照片背后的故事。 这背后的故事曾是一段秘史，上世纪90年代以色列和巴勒斯坦解放组织在挪威的撮合下，进行“奥斯陆和谈”的秘密过程。 故事根据对挪威夫妇外交官莫娜·朱尔(Mona Juul)和特耶·罗德-拉森(Terje Rød-Larsen)的真实故事改编，也是从他们的角度讲述。 1993年，莫娜·朱尔有了一个想法，如果以色列和巴勒斯坦的代表之间的会晤只是简单地安排和调解，对手就可以找到某种共同点。 编剧J.T.罗杰斯（ J.T. Rogers）改编了他自己的托尼奖获奖剧本，最终拍成影片。     我们可以把本片当做学习历史的媒介，进一步了解奥斯陆和谈背后的秘密故事。 奥斯陆协议是中东和平道路上的一个重要里程碑。 夫妻俩召集时任以色列总理伊扎克·拉宾和巴勒斯坦解放组织主席亚西尔·阿拉法特举行和平谈判，这些谈判在1993年签署的“奥斯陆第一协议”和1995年签署的“奥斯陆第二协议”中发挥了巨大作用。 交战多年的两方最终签署和平协议，背后肯定有许许多多的沟通交流和不见硝烟的交锋。大家看到的拉宾和阿尔法特签字握手，只是阶段性结果，前期的秘密工作才是重点。     巴以冲突是世界上持续时间最长的问题之一。 冲突起源于19世纪，当时犹太人和阿拉伯人都兴起了解放运动，各自争取在中东的主权。多年来，他们的边界问题逐渐演变成武装冲突，最终成了一个严重的社会政治问题。 1993年，在挪威的撮合下，巴以双方在奥斯陆进行了历时数月高达14次的秘密谈判，史称“奥斯陆和谈”。 会谈后期也促成巴以双方首脑的首次直接会谈，为双方实现初步和平取得重大突破，并最终在加沙和杰里科首先自治等问题上达成原则协议。     9月13日，巴解组织和以色列在美国白宫南草坪正式签署了《临时自治安排原则宣言》，即奥斯陆协议。 协议签订次年，阿拉法特、拉宾及以色列外交部长西蒙佩雷斯同获诺贝尔和平奖。     后来的事情大家都知道了，1995年，拉宾演讲时被激进派当众枪杀，巴以双方又开始武装对抗，该协议也被无限期搁置。 奥斯陆协议仅仅让人们看到了和平曙光，而真正的和平却遥遥无期。     最昂贵的和平也比战争便宜，有识之士也会朝着美好愿景共同努力。 能够促成签署这项协议本身就是一次胜利，让人们看到渴望和平的人大有人在，仅仅是少部分利益集团为了通过战争牟利，才不断挑起战乱。 小国和平由不得自己。比如挪威、巴勒斯坦、以色列都提防着漂亮国，大家在做实事前都要防着被漂亮国搅和黄了；比如拉宾后面的几位继任者，要通过战争转移矛盾，维持统治。     其实这些冲突的根本都是利益，宗教民族都是幌子，牟利才是核心。 小国动乱的根源在大国，大国博弈时，小国只能是棋子，悲催一点的还要做棋盘。像巴以冲突根源就在漂亮国，漂亮国为了能在欧洲搅和，就需要一片动荡区域，以色列完美充当了这个棋子。     回到影片本身，影片讲述的“奥斯陆和谈”过程，对后续发展无能为力，观众需要关注的是演员表演、密谈期间双方表现。 这部电影的名字是奥斯陆，但实际上并没有在奥斯陆拍摄任何场景。 艰苦的“奥斯陆和谈”幕后工作促成了奥斯陆协议签署，但几乎没有人关注过幕后故事，本片正是表现的幕后英雄的努力。     莫娜·朱尔（扮演者露丝·威尔森） 莫娜·朱尔于2001年晋升为挪威驻以色列大使。 自2005年以来，她一直担任挪威驻纽约联合国代表团的副主任和大使。 在《奥斯陆》中，扮演者是露丝·威尔森，她凭借《婚外情》《路德》而被人熟知。     特耶·罗德-拉森（扮演者安德鲁·斯科特） 谈判时，特耶·罗德-拉森在挪威智库Fafo Institute工作。 在过去27年中，他继续与巴勒斯坦解放组织合作，之后担任联合国被占领土特别协调员，后任国际智囊团国际和平研究所(IPI)所长。 扮演者是我们熟悉的莫里亚蒂“莫娘”安德鲁·斯科特（Andrew Scott）。     乌里·萨维尔（扮演者杰夫·威尔布施） 乌里·萨维尔（Uri Savir ）是以色列在奥斯陆协议中的首席谈判代表。萨维尔目前是西蒙·佩雷斯和平中心的名誉主席。 他在担任以色列外交部总干事期间，他还与约旦、叙利亚以及中东多国和谈进行了谈判。 他将自己的经历写成了《过程：改变中东的1100天》（The Process: 1100 Days that Changed the Middle East）一书。 影片中为了突出个人特点，给这位角色安排了红色太阳眼镜和黑色皮衣，但根据历史照片来看，他并非这种穿着。 扮演者杰夫·威尔布施(Jeff Wilbusch)是一位以色列裔德国演员，最出名的是Netflix的4集连续剧《离经叛道》（Unorthodox ，2020）     艾哈迈德·库赖（扮演者萨利·姆道） 艾哈迈德·库赖（Ahmed Qurei）在巴勒斯坦解放组织担任各种重要职位后，成为了奥斯陆协议谈判的重要人物。 2000年，他还参加了在戴维营与埃胡德·巴拉克(Ehud Barak)的谈判。 2003年巴勒斯坦总理马哈茂德·阿巴斯辞职后，阿拉法特提名库赖做总理。库赖在2003年至2006年期间，他担任了这个混乱的总理，在2004年加沙地带日益混乱的情况下还短暂辞职，同年阿拉法特去世。努力争取和平数十年，他指责以色列“斩首”了两国解决方案。 扮演者萨利·姆道（Salim Dau）出演过电视剧《高墙边的混乱》（Fauda）和《暴君》（Tyrant）。     哈桑·阿斯福（扮演者瓦利德·祖伊特） 哈桑·阿斯福(Hassan Asfour)是巴勒斯坦民族权力机构最终主席马哈茂德·阿巴斯(Mahmoud Abbas)的助手，当时他被阿巴斯任命参加秘密谈判。之后，他参与开罗会谈，最终达成奥斯陆二代的开罗协议。 阿斯福现在是巴勒斯坦电子媒体政治网站（AMAD）的编辑，他一直批评最初的协议。 扮演者瓦利德·祖伊特(Waleed Zuaiter)出演过《二十世纪女人》（20th Century Women ，2016）、《以眼杀人》（The Men Who Stare at Goats ，2009）、《欲望都市2》（ Sex and the City 2 ，2010）等。     亚伊·希斯菲尔德（扮演者多瓦勒·格利克曼） 亚伊·希斯菲尔德（Yair Hirschfeld）是代替以色列官方出席密谈的以色列学者之一，另一位是罗腾·凯南（Rotem Keinan）。希斯菲尔德多次秘密会见库赖，帮助制定了奥斯陆协议中的原则宣言。 希斯菲尔德后来创立了经济合作基金会，该基金会帮助与巴勒斯坦领导人建立了进一步的关系。 然而和影片改编不同，现实中很多和平进程都是朱尔、拉森夫妇在会议外促成的。 扮演者多瓦勒·格利克曼（Doval'e Glickman）是一名以色列演员，主要作品是电视剧《谢迪瑟之家》(Shtisel 2013)和《大坏狼》（Big Bad Wolves ，2013）。     和平协议背后的秘史， 争取和平真的尽力了。     这里是硬核影迷集散地，欢迎关注公众号：妙看影视,1.0,,0
4,4,35228246,奥斯陆,e827b8d1f973a78182e5dbbdb953cd8f,784aecf707470bec0a2ff601172d1a09,5.0,2021-06-06 22:35:55,影片中，巴方要得到耶利哥城，我查看以色列地图，没耶利哥，略一思索，按耶利哥古城的位置推测，原来是杰里科城。估计巴方想把杰里科城作为首都，所以索取该城。 以方愿意把杰里科城给巴方，但先问垃圾处理和税收，这两个问题解决了，杰里科才可以让出。巴方代表觉得好笑：这2个问题是细枝末节，我跟你谈地盘，你跟我谈垃圾。然而以方告诉巴方：这是行政权，也代表主权。巴方才有所悟。 这说明巴方在治理国家的能力上和思想上有很大欠缺，将来他们不会治理好自己的地盘的，这被随后至今的现状所证实。 百度百科上说奥斯陆协议没被执行，我看不是的。也许许多的协议细节在后来的执行上有交错，但总体上说，从此以巴双方相安无事。约旦河西岸地区的巴勒斯坦人民每天早晨到以色列打工，晚上带着工资回家，养活老婆孩子，这样的打工者家庭占比极高，是巴占区经济主流。巴勒斯坦政府养活不了自己的人民，是以色列政府给了他们饭碗。 至于加沙，那里被巴勒斯坦极端派，也就是哈马斯占据，躲在妇女儿童身后跟以色列干仗，卑陋不堪。而另一块巴勒斯坦土地，也就是约旦河西岸，那儿的政府和人民绝不参与。 这两块巴勒斯坦土地，有一个共同点：官员严重腐败。还好，打工者的钱他们克扣不到，否则，以色列要为了巴勒斯坦人民而跟巴勒斯坦政府干一架了。,5.0,1.0,2
5,5,35228246,奥斯陆,3c6d36b7d36f69322e1ebc72df385e38,d33c14d7c10c6a3c4277c0fcfab523cc,5.0,2021-09-02 08:47:31,"其实类似的题材，很难拍出精彩，往往是吃力不讨好。 毕竟，真实的历史，往往没那么好看，甚至有点不好看。 以色列和巴解之间的恩怨，好像也不是一两句话能说得清楚的。更为窝心的是，老美总是在里头掺和，把水搅得更浑。
 巴以冲突最终愈演愈烈，双方都疲惫不堪，以美国为首的“维和”在远隔万里的地方“商量对策”，巴解的领导只能坐在外头等着。
 前阵子网上流传的“弱国无外交”，“又一次”得到了充分体现。 这个老美也“搞不定”的问题，竟然被挪威的一个“小官员”和一位“斡旋专家”悄无声息的给解决了，本身也是一个实力讽刺。
     当然，事情的解决，可没那么顺当。 之所以能成为“外交教科书”，这夫妻俩本身还是需要强大的能力的，期间遭遇的艰辛，往往超出了常人所想。政治的波诡云谲，想要火中取栗，往往需要承受巨大压力。 巴解这边负责谈判的是一位“可爱”的老头，这位深受“弱国无外交”毒害的老头，只能坐在宾馆里头干着急。 在那头的战场，巴解的百姓，正用石头对抗着以色列武装到牙齿的士兵，说他不心疼自己的子民，那肯定说不过去。 然而，单边停火，这样“丧权辱国”的决定，也是万万不可能。 想谈没得谈，想打打不起。 作为优秀的政治家，就得具有从左右两难中抉择的能力。 或许，挪威的出现，是事情的转机。
     其实说穿了，谈判的艺术，感觉也就和坑蒙拐骗的艺术差不了多少。 这位可爱的老头，被挪威连蒙带骗参加了谈判，却发现原来以色列只不过派了两位民间人士。 老头气得差点掀桌子，想我也是堂堂巴解的第二号人物，和民间组织谈，这传出去还不丢死个人？再说了，这事万一被民众知道，还不是彻底丧失了民众的支持？ 只是可惜的是，万万不可也得求万一的可能。 能有个机会坐下来，哪怕是心平气和的说两句话，那也是不小的进步。 谈判的过程中，老头也不是没撂过蹶子，但是双方讲个笑话，哪怕这个笑话会“不合时宜”，至少可以知道，原来双方对彼此都存在“匪夷所思”的偏见。
     会谈的效果，远远超出了预期，以色列这边也看到了希望。 参与密谈的级别也开始相应的有所提高。 新来的后生，至少代表了官方。凭借强大的军事实力，官方的代表总是有一点点盛气凌人的姿态的。 可是，久经沙场的老头，在原则问题上，那是相当的“又臭又硬”。 谈判，本来就是妥协的艺术。但是，如果仅仅是一方的妥协，那只会彻底沦为“弱国无外交”。     密谈继续进行，以色列方面终于派出了最后阵容。 这基本是官方前的最高级别谈判。 不出意外，双方的谈判还是充满了火药味，历史原因的问题，也别想通过一两次谈判彻底解决。 老头每一次的“退让”和“隐忍”，堪称外交斡旋的教科书。     最后的“胜利果实”，还是被老美“坐享其成”了。 说实话，之所以密谈，也就是为了防“老美”，但最后出成果的时候，还是绕不过“老美”。 毕竟，外交还是得靠实力说话。 然而，这个平淡的故事之所以讲得如此出彩，也正是因为“蚂蚁”通过方法，也是能“扳倒大象”的，这只是需要看身处其中的人，是不是真正的具有智慧。     故事的结局很妙。 巴以冲突最终得以解决，双方的老百姓终于可以不用兵戎相见，这应该是件好事儿。 然而，这样的和平并没有维持很长时间。 双方的冲突，并没有从根本上解决，只不过或许是“密谈”恰逢其会，正好在双方都疲惫不堪的情况下出现而已。 双方休整过后，还是选择“继续冲突”。 不是巴以问题的专家，也不知道巴以冲突的根本原因，所以他们选择的“继续冲突”，那也是无可奈何的事情。
 然而，故事里头，还有最关键的一个问题，这个问题，以色列的法务专家也曾经疑惑过。 那就是，巴以问题在如此遥远的地方，这个和挪威有什么关系，为什么挪威的一个小小的外交官员，如此上心，甚至不惜自身的前途，甚至把自己的国家拉入了“外交漩涡”，图的是什么？ 事不关己高高挂起，这话没听说过么？ 这个或许得从挪威建国的历史说起，有兴趣的不妨搜一搜。 一个小国，还能尽力甚至拼尽全力去帮助另一个小国，那有能力提供帮助的大国去了哪里呢？
 难道所有的这些大国，都是和老美一起陪跑的？ 或者在看到一个小国“无外交”的时候，只是不咸不淡的说一句“弱国无外交”，你先回去强国去吧？ 拿别人的伤痛，作为自己炫耀的资本，这又让人情何以堪……",1.0,,2
6,6,35228246,奥斯陆,e75ecfdaf47553422296c77534b417ae,ee0b87cbec986ab188319886f81aedf3,3.0,2021-06-19 20:54:55,政治谈判能讲的如此热血沸腾很厉害。归根到底动人的是证明了再深仇大恨，再困难，也是能握手言和的。然而可惜的是和平并没能持续多久。你老婆和人跳舞，你怎么还笑得出来。为了和平也是够拼的，把自己感动哭了都。差不多把每个人都夸了一遍，当年摩萨德追杀黑九月时，在挪威误杀了一名侍应生，挪威人居然不记仇。,,,1
7,7,35228246,奥斯陆,a2ef9c575c82a338f88587be86585be5,1fda0069c112489b283fd4817b07a43c,4.0,2021-06-14 11:58:57,"But whatever mistakes were made,  whatever unintended events have been unleashed,  I still believe this channel was worth doing. For if we do not sit across from our enemies, and hear them, and see them as human beings,  what will become of us.",1.0,,0
8,8,35228246,奥斯陆,e827b8d1f973a78182e5dbbdb953cd8f,784aecf707470bec0a2ff601172d1a09,5.0,2021-06-05 23:41:10,看过《奥斯陆》后，特地翻阅了《以色列史》，两者有若干不同。 《奥斯陆》：一女一男，一对挪威夫妇，爱好和平，借着自己人脉，将巴以双方带到谈判桌前。 《以色列史》：女的是巴勒斯坦谈判代表团成员，男的是挪威科学家，书中未说明这二人是如何有这想法并如何合作促成此事的，也未说这二人是夫妇。这一女一男都认识一位以色列教授，也同时认识巴解财长，这二位都有兴趣进行会面，而不像影片中的二位那么勉强。当时以色列社情：与巴方进行会谈已是民众的较为普遍但尚未浮现于舆论的民意。后半场出场的以方代表是以色列外交部办公室主任，电影中是外交部总干事，差不太多吧。双方都愿意会谈，所以，我很难想象电影所表现的会谈中出现的对立气氛是那么尖锐。 我看到有短评问：与挪威何干？要管这事（大意）。在此回答一句：你不懂西方人的情怀。,3.0,,3
9,9,35228246,奥斯陆,84ccd0597f916507725e8dee25f552f3,cbf80fd5ed7a756fab083b2a32f290ec,3.0,2021-06-01 20:54:14,"HBO &amp; HBO Max 推出历史惊悚片《奥斯陆》，编剧 J.T. Rogers ，导演Bartlett Sher，改编自他们倆同名托尼奖舞台剧、重现了当年著名的奥斯陆关键和平协定签订过程。奥斯陆协议在挪威秘密签订，标志着以色列和巴勒斯坦第一次和平对话。    Mona's flashbacks in war-torn Gaza are a particular low point, —everything slowed down and dreamy, with washed-out colors, manifesting her trauma. While what she saw of the ""conflict"" inspired her to use her power at the Ministry to get the ""peace"" process going. This centers her experience in truly unfortunate ways, as though the film wants us to invest in Mona ""healing"" her personal wounds through seeing ""peace in the Middle East"" or some such.  The acting is uniformly excellent, with Salim Dau the real stand-out, and Wilbusch a close second. These are two very fine actors, playing fiery impassioned men, both articulate and exhausted by the conflict. They are worthy foes and powerfully dangerous as allies. Both actors are irresistibly watchable.  影片讲述了Mona Juul (Ruth Wilson) 和 Terje Rød-Larsen (Andrew Scott) 如何将巴勒斯坦PLO 成员 以及以色列ZG官员拉在一起，开始对话、试图消除彼此矛盾。。。 Uri says to Ahmed, ""Our peoples live in the past. Let us find a way to live in the present.""   一点历史背景（摘自百度百科） 奥斯陆协议（Oslo Accords），是指1993年8月20日以色列总理拉宾和巴勒斯坦解放组织主席阿拉法特在挪威首都奥斯陆秘密会面后达成的和平协议。9月13日，双方于美国白宫草坪签署了《临时自治安排原则宣言》，被认为是以巴和平进程中的里程碑。但在协议签署后两年，拉宾遭以色列极端分子剌杀，其后巴勒斯坦极端势力亦连续发动针对以色列的袭击事件，街头冲突逐渐演变成双方武装对抗，奥斯陆协议的执行遭无限期搁置。。。。╮(￣▽￣"""")╭  PS： 谁会想到《黑色物质》那个凶暴狠毒的女主老妈会与之前问候的穿越者 Andrew Scott 在这部戏里搞在一起(((o(*ﾟ▽ﾟ*)o)))",1.0,,0
