,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35310153,较量2,1c1b9d19b2fcdd000fc4642d3beafb5c,b19e91b8de546a32b0b2f0b2de560e32,5.0,2021-03-17 15:41:36,"《较量2》是《较量》的续集，《较量》是一部2013年上映的印度马拉雅拉姆语犯罪惊悚片。本片制作成本只有4500万卢比，票房收入却高达5亿印度卢比，成为史上最卖座马拉雅拉姆语影片。光是印度人自己就翻拍过N个版本，其中最著名的就是2015年上映的《误杀瞒天记》。  而这部最原始的《较量》我相信很多人都没看过。 我来帮大家回顾一下《较量》的剧情： 男主是当地一家有线电视运营商，喜欢看电影。通过看电影，他学习到了很多知识。他有两个女儿，大女儿在学校一次旅行活动中，被警政署长的儿子用手机偷拍下了换衣服的视频，并到她家以此威胁她。大女儿失手打死了他，并和男主老婆一起把他埋在自家院子里。男主知道后，运用自己看电影学来的知识，带领全家人伪造一系列不在场证明，并且把死者尸体转移到新建中的警察局里面，成功为自己脱罪的故事。 我们今天就来讲述第二部《较量2》的故事。 第一部的结尾，男主把男孩尸体转移到了新建中的警察局里面。 “最危险的地方就是最安全的地方”，警察万万不会想到尸体就在警察局里面。 可是不是就真的神不知鬼不觉，男主以后就高枕无忧了呢？ 由于警方没找到男孩的尸体，男主得以顺利脱罪。 六年之后，男主一家的生活质量有了很大的提高，变得很富有。男主除了经营着有线电视业务，还开了一家电影院，并且打算亲自拍电影。 为什么要亲自拍电影呢？这为后面的剧情埋下了伏笔。 虽然男主一家表面上看上去家庭幸福和睦，实际上他们过的并不舒服。 第一部的结尾，人民群众是支持男主一家的，认为他们不是凶手。 而男主一家脱罪之后，由于变得富有，街坊邻居嫉妒起来，他们的态度开始转变，都认为男孩就是男主杀的，一时流言碎语开始流传。 大女儿几乎夜夜做噩梦，还患上了癫痫病，而且也到了适婚的年纪。由于传言，她与警察署长的儿子有着不可描述的关系，所以介绍的相亲都黄了。 男主家后面新搬来的邻居，是一对夫妻。男的是个酗酒的“家暴男”，经常殴打其老婆。男主看不惯，怂恿其老婆去报警。男主的老婆看她可怜，而男主晚上经常要住在店里看店，所以男主的老婆经常让家暴男的老婆住在自己家里陪自己。 男主打抱不平  家暴夫妻其实是警方卧底 然而万万没想到的是，虽然六年过去了，警察一直没放弃这件案子，一直在暗中调查。这对夫妻就是警方安排的卧底，负责监听男主一家的谈话，看看能不能发现线索。但是由于男主禁止在家里谈论关于案子的事情，所以卧底监听了两年，始终毫无进展。然后这对卧底警察扮演“家暴男”的角色，让女警得以住到男主家，套他老婆的话。果然，男主老婆说漏嘴了，男孩就是她和她女儿杀死的。 但是，男孩的尸体一直找不到，就没有办法定男主一家的罪。 这时候一位关键人物出场了。真是应了那句古话“若要人不知，除非己莫为”，影片的开头，一男子和自己的小叔子起争执，失手杀死了他。在逃跑的过程中，该男子路过新建中的警察局，往里看了一眼，刚好看到男主拿着铁锹走出来。但是随后这位男子就被警察抓进了监狱，判了六年。 男主埋尸被人目击 六年之后，男子出狱。听说警方在找事发当天晚上的目击证人，男子回忆到了那晚所看到的，就去警察局举报了男主，声称知道男主把尸体埋在哪里。 目击者举报男主 警方根据男子的举报，成功在警局挖到了尸骨。法医报告显示，尸骨系男性，年龄14-20之间，头骨有条裂缝，貌似很符合警察署长的儿子。接下来就是要通过DNA测试才能鉴定身份。 地方法院同意重新审讯男主一家。 警方审讯男主  男主否认罪行 男主起初还嘴硬，不承认杀人埋尸。 警察请来目击证人，以及两名卧底警察，男主认罪了，把所有罪名自己全揽了。自己杀的人，自己埋的尸，跟家人没有任何关系。 （你以为故事到此就结束了吗？男主被逮捕？被起诉？被判刑？不不不，惊天逆转才刚刚开始！） 一位著名的电影编剧此时来到警局，给警察局长以及署长夫妇讲了关于男主找他拍电影的一件事。 原来，从电影第一部结束之后，男主早就料到尸体有被发现的一天，所以他从那时起就提前准备，为自己留了后路。 他做了以下几件事： 1、上文提到，男主准备亲自导演一部电影。男主找到当地一位著名的电影编剧，给他讲述了自己构思的一个故事，而这个故事恰恰是男主根据自己的故事改编的。故事的内容为：一对富商的儿子在学校与一位当地议员的儿子结仇，于是他俩约架，富商的儿子不小心杀死了议员的儿子。富商把议员儿子的尸体埋在了正在建设中的立法委员新建的办公室。后来警方发现了尸体，富商认罪，然后服刑。男主角还把这个故事写成了一本小说，这样就不会失去这个故事的版权。这本书市场上有卖，但是发行不多，只是为了版权注册，而且是以这位电影编剧的名义。 电影编剧讲述男主拍电影故事    男主故事出版小说 男主在法庭上当场翻供，不承认自己杀人埋尸。而男主的辩护女律师则认为，警方本来就没有任何证据，而是看过这本小说之后，诬陷男主和小说的情节一样把尸体埋在警察局下面，并且警方为此伪造了尸骨。而后的DNA检测也证明，警察局挖出来的尸骨DNA与署长夫妇不符合，并不是他们的儿子。这是怎么回事呢？这就说到男主做的第二件事。
2、男主在第一部之后就在找与署长儿子年龄相仿，并死于头部重击的年轻人，并与墓地负责埋尸的人打好关系，等尸体变成白骨之后，男主便找他取了回来。
 男主取得“假遗骸” 3、男主知道警察局里的尸骨挖出来之后要送去当地法医部门检测化验，于是提前与法医部门的保安打好关系。等到警方把尸骨挖出来并送到法医部门之后，男主去法医部门约保安喝酒，灌醉保安之后，成功把尸骨进行了替换，把真正的尸骨进行了销毁。
 男主搞定保安 最后，男主由于证据不足，被当庭释放。 警察局长来到法庭，跟法官讲述了电影编剧所述的整件事情的来龙去脉，法官并不相信，并发出这样的疑问：  并劝警察局长，放弃调查吧，就把它当作悬案好了。 电影到此结束，至于警察会不会继续调查，男主还会不会再为自己找后路，电影还会不会有第三部，就不得而知了。 观后感： 我觉得男主在整部电影里面就是逆天的存在，他自己就是上帝视角，一切都在自己的掌控之中。 其实男主的文化程度并不高，学历还没有自己的妻子高。他所学的知识、他的胆识，都是通过看电影学来的。 我很喜欢国产翻拍版《误杀》里面的一句台词：“你要是看过一千部以上的电影，你就会发现在这个世界上压根没有任何离奇的事情。” 没事多看看电影吧，看电影还是很有用的！   分享最新、冷门以及高分影视，欢迎关注微信公众号——“影视杂烩饭”！ 欢迎关注微信公众号——“影视杂烩饭”",21.0,3.0,20
1,1,35310153,较量2,8b5f30dbd0033069d88e119084e12bb1,540393f2fc20c3e9ac35cee214c4dec2,2.0,2021-02-23 22:59:50,"整整两个半小时，我都不知道自己怎么坚持下去的～印度拍电影是不是总是觉得时长越多越好，本来一些鸡毛蒜皮、无关紧要的小事可以忽略的，偏偏加进去，要不是有背景音乐我都以为这是一部婚后家庭生活片，哪里有悬疑的影子，光是这个印语配音都让我好跳戏。说实话国产的误杀还是蛮符合我的胃口的，毕竟够真实，没有那么多的异想天开，比较结合实际，这部电影倒好，前半程尿性满满，毫无新意，后半场直接开挂，装B称神强无敌，不仅预言未来要发生的事，还要把经历出书拍电影，啧啧，第一次感觉警察像是智障……然后再说情绪表达，除了几个眼神我真的啥都看不到了，毕竟是悬疑片，能不能到位一点，我真的感染不到啊～
综上，爆米花电影，无聊打发时间可以",6.0,33.0,18
2,2,35310153,较量2,78c915d1e8fdf7c48b7c353a65aecab0,cb57c44ace9d9e07850a7c8e516cd37c,5.0,2021-02-27 00:24:12,没想到继第一部之后，第二部也能拍的这么精彩，后面的反转真的绝了。司法往往都是站在权力这一边的，平民百姓大多数时候得不到公正，当事情蜂拥而至时，男主所有的行为都是为了保护家人的被逼无奈，虽然他们逃脱了法律的制裁，但是他和他的家人也永远背负着良心的谴责。可是别忘了，事情的起因并不是那个可怜的女孩儿，而是因为瓦伦的恶劣行径，一直到最后瓦伦的母亲还在掩饰他的犯罪行为。固然死者已逝，但类似的犯罪行为，并没有引起人们的自省和重视，一直到现在社会上还是频频发生，让人愤懑。要不是男主有个聪明头脑和居安思危的性格，这个家庭会面临瓦伦父母怎样的打击报复是难以想象的。当然，我也不是说就认同男主的做法，法律层面上，男主他犯法了；在精神层面上，男主一家以后的生活不会平静温馨了，但是在感性层面上，男主一家的遭遇很让人同情。教不好孩子就不要生养，出来祸害社会吗？很多时候受害者很难再融入社会，而加害者却光鲜亮丽、趾高气扬、嚣张跋扈。民众得到的所谓的平等，也只是统治者施舍的游戏而已。毕竟，权力这个词还是很香甜的，不是吗？,21.0,,7
3,3,35310153,较量2,09916ff7d36b5bed9ad8bd9890157ef1,94b2602c3f8ba77964843eac200a4ae3,3.0,2021-02-25 18:12:56,"作者： Bind   一个不能没有家的人，可以为了家做任何事。 从《误杀瞒天记》到《误杀》，从阿贾耶·德乌干饰演的维杰到肖央饰演的李维杰，这两部电影都向我们呈现了一个被人渣摧毁的家庭，与一位不惜一切去保护家庭的父亲和丈夫。  在中国翻拍版中，本已脱罪成功的李维杰最终迫于「龙标」压力选择自首，成了被影迷诟病的无奈一笔。 而在印度原版中，维杰虽然在最后隐晦告知了真相，但两家人的仇恨是依然无法被化解的悲剧。 《误杀》/2019 原版《误杀瞒天记》的导演尼西卡特·卡马特于去年不幸英年早逝，而讲述新故事的《误杀2》已经集结了原班人马早早立项。 维杰一家人的未来将会如何？ 很多观众不知道的是，其实《误杀》的原版电影《误杀瞒天记》本身也是一部翻拍作品——它翻拍自2013年的印度电影《较量》。 而就在今年，《较量》的导演兼编剧吉图·乔瑟夫为这场「误杀」画上了一个属于他的句号。 作为《误杀》和《误杀瞒天记》的故事鼻祖，这部2013年的南印电影《较量》，相信一些影迷有所耳闻。 这部2013年的最初版本，据说灵感源自东野圭吾。对比一下就会发现，《误杀瞒天记》和《较量》几乎一模一样，许多镜头都是1：1复刻。 





 二者最大的不同，或许是语言——《较量》采用了南印的马拉雅拉姆语，类似一种印度方言。这也许就是它的影响力远不及采用了印度官方语言印地语的《误杀瞒天记》的原因。 南印版的男主名为乔治·库蒂，是一位骨灰级影迷兼有线电视承包商。这一角色，就是后来我们熟悉的维杰了。 六年前，乔治的大女儿安娇过失杀害了警察局长吉娜的儿子瓦伦。 通过对时间和记忆的重重布局，乔治骗过了穷追不舍的警方，并巧用「囚徒困境」借假藏尸地点洗刷嫌疑。 他编造的谎言不仅洗脱了自己的嫌疑，同时引起了其他居民对警察蛮横调查的不满。最终，吉娜引咎辞职前往美国，调查无疾而终。  六年后，乔治一家已经一跃成为了镇上有名的大户人家，新的故事也从这里开始。 这些年他工作、贷款、买地，修建了一座属于自己的电影院，当上影院老板，赚了个盆满钵满。 然而这个曾不惜一切拯救家庭的男人，此时却面临着严重的家庭危机。 老婆瑞妮不满乔治把赚的钱都投去拍电影写剧本，还常常和狐朋狗友宿醉不归。乔治闭口不谈也不让任何人谈论的藏尸地点，也令她惶惶不可终日。 更严重的是，大女儿安娇患上了精神创伤，每每看见警察就担心是东窗事发，连睡觉也不得安宁。  虽然家人们忧心忡忡，但胸有成竹的乔治自知不出意外的话，警察局地板下的真相一辈子都不会有人发现。 事情的发展当然不会这么简单。编剧在他们的生活中安插了一个意外——目击证人。 六年前的夜晚，一个名叫何塞的家伙杀了自己小舅子。在逃命途中他路过警察局，隐约看见了正在离开的乔治。 看到乔治之后 ，他没跑两步就被捕入狱。对乔治一家的误杀案毫不知情的何塞，六年后才被放出大牢。  另一边，吉娜夫妇渴望寻回儿子的尸骨，好为亡子做一场符合宗教信仰的临终祷告。 虽然乔治之前暗示过人已经没了，但吉娜夫妇坚持活要见人死要见尸。但不管怎样的恳求，都没能让一心保护家人的乔治松口说出藏尸地点。 尽管数年间毫无线索，但和吉娜夫妇合作的警察局也是「王八吃秤砣」——铁了心要逮住乔治。 在偷偷躲过法院的情况下，他们已经秘密调查了几年。不仅全屋监听盯梢，甚至连卧底套话的活动都安排上了。 处心积虑的卧底终于从瑞妮处确认了杀人事实，威胁一触即发。 目击证人何塞此时才恍然大悟自己那天所看见的是什么。为了高额的赏金，他决定向警方告密。 证人和供词一应俱全，警方也根据何塞所言，挖开警局地板找到了一具年轻人的白骨。 铁证如山，被深埋多年的真相终于要重见天日了？ 乔治会保证它「永无天日」。  当年不做瓮中之鳖的乔治·库蒂，这次花了六年时间设下大局。朋友、剧本等等看似不起眼的细节再度成为击败「铁证」的妙计……
 这部由原班人马在7年后打造的续作《较量2》，可以算是「误杀」故事的一个句号。只可惜，这照葫芦画瓢的句号实在有些抽象。 这部名副其实的续集电影有整整152分钟。虽比首部短了12分钟，但观感上却是又臭又长。  导演在前一个小时尽心尽力地描绘了乔治一家人阴影下的新生活，想诠释「脱罪并不意味着自由」。 这样不厌其烦的描述，在关键人物何塞早早登场的状态下，可谓是让观众倍感焦躁。直到1小时处歌声响起，电影可算进入了正题——目击证人出现了。 和前作一样，导演这一次也做了大量的铺垫，为后续的大小反转铺路。 只是这些细节远不如首部那样严丝合缝，显得细碎掉渣，生硬许多。何塞的个人生活可有可无，强行设置的目击证人和更加戏剧化的布局也难让人信服。  警局执着于一件多年悬案，不惜大费周章安插卧底，这一点就已经难让观众信服。 而乔治所布的新局则堪称南印版「碟中谍」，不仅比时间谜题复杂，还需要难以想象的超高行动力——反渗透反卧底反监视。 就连电影中的角色也不禁想问：「他一个普通人怎会如此牛X？」 唯一值得品味的新细节是小镇居民态度的前后差异：现在的邻居们因为对富裕的乔治羡慕嫉妒恨，而打心底里讨厌他。 乔治杀人的流言蜚语与阴暗猜忌在坊间流传，他已经无法从这些人身上获得任何帮助了，也正因此，警方的重启调查才能得到支持与配合。  主角依旧脱罪成功的《较量2》，让误杀悬案落下了帷幕，智斗的爽度依旧，但在悬疑层面与整体质量上，实在免不了狗尾续貂之嫌，毕竟前作的高峰难以匹敌。 但《较量2》的意外价值是，它的主题无心插柳般证明了《误杀》修改后的结局并非一无是处。 第一次乔治·库蒂成功隐瞒了罪行，但因为心中有愧，他向吉娜暗示了杀人事实。 爽！但代价是什么？ 妻子终日惶恐不安，女儿罹患警察PTSD，身边的恶毒传言与异样目光接连不断。 脱罪并不意味着自由。他们接受了意想不到的的惩罚，在身心上饱受无尽的折磨。 结局时吉娜放下一切化解恩怨，她会继续背负丧子的痛苦，而另一边，命运对乔治的惩罚也尚未结束。  这次脱罪花了六年，那他还会花多少年、多少钱去准备下一次脱罪呢？ 乔治的惶惶不可终日只是隐藏在了深思熟虑之下，他每一天的日子也一样不好过。 从《较量2》对惩罚的这种呈现和解读来看，《误杀》中李维杰的自首可以当作是一次提前的解脱。 对这一家人而言，这也不失为是一种「好」结局。",26.0,6.0,22
4,4,35310153,较量2,6c83a9e3a31412ccdcd7d45b3dc7f97c,0c7b95ee2d008a30f4589f3dc94ca6a1,5.0,2021-12-17 22:06:45,我一度无比推崇印度原版《Drishyam》的结局，也对翻拍的“政治正确”的国产版本《误杀》嗤之以鼻，为了过审情强行升华“社会主义核心价值观”，虽落了下乘但也情有可原。但是看到了《Drishyam2》中妻子的惶惶不可终日，大女儿精神受创诱发癫痫，连本该无忧无虑的小女儿都要谨言慎行，才意识到，《误杀》可能是最好的结局。这不仅是对自己的救赎，更是整个家庭的解脱，后者才应该是不管哪个版本的终极目标，合情。       不得不承认，基于道德判断，原版才是观众喜闻乐见的结局，这也是整部电影从开头到结尾所要引导的观众情感走向。而国产翻拍的结局略显生硬，也是因为翻拍照搬了原版的情感走向，但是结局却与原版截然相反，这才造成了一种突兀的割裂感。可法律不以人的意志为转移，罗翔老师在为什么要为罪犯辩护中提到了“法律判断要优先道德判断”，以绝对的理性角度来看，《误杀》的结局，合理。        合情又合理，倒是我落了下乘。 成年人的世界，本就没有不用承受代价的行为，只是只是选择不同，有人逃脱了监牢却仍将被囚禁一生，有人虽深陷囹圄却获得了救赎。《Drishyam2》男主一家再一次逃脱了监牢，可惩罚一如这个 “就当是已经了结的案子“，”永远都没有结束”。而这也恰恰是所谓的“不合情不合理”结尾的合情合理之处，没有人可以不为自己的行为付出代价，“无论他有什么正当的理由，在那个孩子的父母面前，他永远抬不起头走路，他必须赎罪”。           说回电影本身，这并不是一部好的商业电影，但是绝对是一部好的悬疑电影，148min的净时长，万万担不上张弛有度，它的节奏是渐进的，由慢到快，这和第一部截然不同。66min的铺垫，即使是细节拉满，也足以劝退大部分观众，这也是被诟病最多之处。但是这种先摆开阵势，而后毕其功于一役的叙述方式与我的相性却是极为相符，我跟我的朋友们讲故事的时候也总被吐槽废话讲的太多，由我朋友们的反应可见一斑。         你的没有耐心可能是真的没有耐心，但是你所认为的废话绝不是废话，从邻居萨布、萨莉莎到编剧坎德兰到罪犯何塞再到保安拉詹的出场，以及贯穿全片的拍电影的细枝末节，无不支撑了最后的。这就好比给了你一堆方程式，去让你求解未知数，这个过程是令我着迷的，所以一部148min的电影我愣生生看了4个小时。当然，这66min的铺垫也不能说一点瑕疵没有，小女儿男同学的情节没有用上，不排除因为这个细节出续集的可能，还有关于何塞的细节叙述得过多，这也直接导致了我对结局的误判。我推理的结局是最后DNA鉴定的结果是尸骨是何塞弟弟的（谁让它交代了这么多细节）。另一个方面来说，66min的铺垫却没出现印度的尬舞，这还不能说明问题么？         到此为止情节都是比较舒缓的，给了观众充分的提取信息、整合信息的时间，从交代邻居萨布、萨莉莎是警察局卧底开始，影片节奏开始提速，警方开始主动出击，男主一家则被迫防守。虽然男主一再强调不允许家里任何人在任何地方再提起这件事，但妻子犹如惊弓之鸟，两个女儿又还太年轻，常常会不经意间就泄露出蛛丝马迹 ，警察局底藏尸的暴露似乎已成“定局”。前66min的细节不断被印证，然后成为男主一家“定局”上的一块拼图。唯有保安拉詹，这个被给予了大量镜头的男人，一直到第127min男主被开庭审理，对这个“定局”的贡献度依旧为0，我也借此判断他是男主反杀的关键人物之一。66min到127min中间这一个小时，节奏是不断加快的，最后快到了有的观众觉得很突兀。如果前66min的细节认真看了的话，这个速度是完全跟得上的，不仅不会感觉突兀，男主一家身边越来越强的危机又会有很好的代入感。         从编剧坎德兰面见警长开始，影片的高潮部分到了。最令人拍案叫绝的是高潮部分的叙述方式，借编剧之口将男主6年来的准备工作娓娓道来。编剧的叙述，加上镜头的不断切换，男主反杀的过程逐渐清晰，找一个同龄的头部死于重击的孩子的尸骨，通过保安拉詹进行掉包，真相，如此大白！我想到了最后DNA检测结果不是死去的男孩的，但是着实想不出男主该如何掉包，只因为少了保安拉詹工作地点这一块小小的“拼图”，而工作地点在141min才交代，属实将悬念憋到了最后，自此，长舒一口气，酣畅淋漓！高潮部分依旧在印证第一部分那些看起来无用的细节，比如那个男主全家去看望的那个叫帕斯洛斯的老头，不细看前66min的观众，决计是想不出来这些小细节的，看似无用，想通了却恍然大悟。         最后一部分，是故事高潮的收尾，也是电影的结尾，看死去男孩父母那睁圆的眼睛，那不可置信的表情，我以为还会有什么反转，却只是一个情理之中的结尾，不得不说，导演这吊胃口的本事是一等一的。        逝者的灵魂能否安息犹未可知，父母的怨恨也悬而未决，但是为事之人将在赎罪与痛苦中纠缠。“我确定，从这一刻开始，他会准备好应对我们下一次的到来，换个角度想，这难道不是对他最大的惩罚么？”对男孩的父母来说，他们退，是一种解脱，但对于发誓要保护家人的男主来说，他，退不了，因为，“永远都没有结束”。他免于寰墙的包围，却也被囚禁灵魂。,,,0
5,5,35310153,较量2,e624f828468157ac7dd02302bd08e69e,52722be4a3d1773f2384a8238fd9a824,3.0,2021-11-06 01:05:04,事实证明我看电影前看看简介的习惯是没错的，不然我也不会看到一半才恍然大悟这竟然是误杀的续集……开头发现男主小女儿名字也叫安奴我还心想哟，重名了～（所以说拍续集能不能原班人马/第一部人多好看啊都😭至少里面的名字别改吧）（我更新一下，是我无知了，原来这才是原班人马，较量1是15年拍的，dbqdbqdbq） 剧情还是非常精彩的，一开始完全沉浸在男主的轻松，妻子的焦虑，大女儿的担忧和小女儿的“无知”中。男主已经改行去拍电影了，然而警方并没有放弃查案和追捕，一直在不断搜索证据，甚至还排了卧底去当他们的邻居然后获取同情监听他们，这也算是第一个反转吧。 警方终于又抓捕了他，也找到了他埋在警察局的尸体。但是这一切都在乔治的掌控之中，这个场景也是他想拍的电影的高潮部分。他又一次在和警方的war中获得了胜利。 正如最后所说，“在那个孩子的父母面前，他永远抬不起头来，他必须赎罪。”“我确定，从这一刻开始，他会准备好应对我们下一次的到来，这难道不是对他最大的惩罚吗？”男主为了保护家庭可以不顾一切，但同时他也怀有深深的忏悔。 （说实话没有第一部的那种感觉了，如果还要接着拍下去的话感觉一直和警方斗智斗勇也不太现实，其次就是这次里面的两位母亲，一位过度焦虑，一位过度疯批…）,,,0
6,6,35310153,较量2,f9d10d6f4e57d6a101c9a4a7be3978d5,fc0e9b9d765a6a8728013bb15f49800f,4.0,2021-09-05 20:56:55,"《较量2》。8分。

自然是好片。强烈推荐两部连看。

全球的观众都在等待续集，毕竟这是一个正义包庇非完全正义的故事。无论是西方法律还是中国儒家，亲人不举证亲人是人类的天性。

所以乔治·库迪要做的就是继续不惜一切代价保护他的家人。

故事虽然不如第一部精彩严密，但时隔多年，这个剧本的打造总算对得住期待。

乔治肯定知道无论他推演如何周密，最终警察一定会找到那个渣男的尸体，他要做的是如何在被警察挖出尸体后，再次成功逃脱。

他做到了。虽然未免风险太大，有漏洞，像在演电影，但他在法律层次上做到了。

新任警察局长说，这些年不是我们在监视乔治，而是乔治在监视我们。

不能有第三部了，太难了。",2.0,,0
7,7,35310153,较量2,8af20c20c1b72601893907cd0afcfb48,a806303340d5a83514b68315a51f61fc,,2021-08-23 14:20:33,"本来大约一小时四五十分钟的电影硬是拉到了两小时半，前一个小时我都不知道是怎么撑过来的。虽然前期有很多的铺垫，但是像何塞的家庭背景啥的一些小事不必要讲的那么细，搞得我以为他有多重要，除了举个报就没他屁事。
    再者把男主他老婆刻画得过于感性了吧，杀人这种事也跟邻居说，你是承了邻居多大情啊，就因为同情就把全家都卖了。家里啥事都想知道啥事还都干不成，知道老公牛笔自己完蛋还非要知道尸体在哪，给我一种“你不告诉我你是不是不爱我”的错觉，被邻居卖了还帮人家数钱，真就实力坑老公。     要是说就是这样来突出男主厉害我也没话说。  最后反转的确实挺好，可能是为了衬托吧，前一个小时都是平淡的生活太长了，可能这是印度的风格吧。",2.0,,0
8,8,35310153,较量2,321bfaa62ffc12733ca562448c2cebb9,1da6dbebeb21bfe5d3aa16a25970c8ca,,2021-07-16 18:53:49,今天聊聊电影《较量2》。 片名Drishyam 2 / Drishyam 2 The Resumption (2021)，别名误杀瞒天记2。     2015年印度电影《瞒天误杀记》是当年十分火爆的电影，全球票房超过11亿卢比，喜欢悬疑类型影片的观众肯定看过这部影片。 《瞒天误杀记》本身也是一部翻拍电影，原版电影《较量》是2013年印度导演吉图·乔瑟夫（Jeethu Joseph）自编自导的一部悬疑电影。《较量》没有能够火起来的原因主要还是语言问题，影片采用类似方言性质的马拉雅拉姆语，马拉雅拉姆语使用人口仅2000万，影片传播范围和影响力有限。     《瞒天误杀记》翻拍成大语种印地语后成果大火，国内也翻拍了这部电影，将影片本土化后取名《误杀》。 此时《较量》的故事已经拍过四次了。好在故事本身过硬，几次翻拍在剧情上都没啥大改动，都是聚焦小人物对抗公权力。     2020年5月21日，《较量》男主角莫哈恩拉（Mohanlal）在他60岁生日的时候宣布，将拍摄原版故事续集《较量2》。 《较量2》拍摄地点与《较量》相同，故事也延续前作，可以说是正统续集。如果翻译成《误杀瞒天记2》还是挺不负责任的。 由于疫情影响，影片计划拍摄时间56天，实际拍摄46天就完成了。同时安排了特别小组专门观察电影摄制，所有演职人员都遵守了新冠肺炎防控协议。 还是由于疫情影响，影片原计划2021年1月在院线上映，最终只能亚马逊平台Prime Video发布影片。     《较量2》的故事发生在少年瓦伦失踪的六年之后。乔治·库蒂（George Kutty）带着老婆和两个女儿小心翼翼地生活着。 同时酷爱电影的乔治·库蒂还一直在筹备拍摄电影，并为此忙前忙后策划了好几年。 而另一方面，警察一直没有放弃调查瓦伦失踪的案件，试图找出乔治·库蒂家人犯罪的证据。     影片继承了这个系列的特点，将反转留到影片后半程，并且是接连多次反转，不到最后一刻不让人放下小心脏的那种。 《较量2》前半段絮絮叨叨地讲了很多乔治·库蒂家人生活的日常，看似平平无奇，实则暗流涌动。在明白整件故事来去之后，再回过头看着前半段，其实早已埋下了许多伏笔。那些看似混时间的琐事，其实都是乔治·库蒂下的一盘大旗。     看过前作《较量》的话，你就会记得当时乔治·库蒂的脱罪手法。他将瓦伦的尸体埋藏到正在建设的警察局地基下面，当警察局建成后，任谁都想不到脚下就是那堆苦苦搜寻的遗骨。 《较量2》前半段的悬念放在找出遗骨正确位置上，警察与乔治·库蒂展开攻防大战，警察试图攻破乔治·库蒂家人的心理防线，想或明或暗地找出一些线索，而后半段的悬念转移到如何将遗骨铁证变成无用证据。     其实前半段的悬念只是影片的开胃小品，既然拍摄续集了，肯定要拿出点猛料。 如果全是乔治·库蒂用隐匿地点戏耍警察，那就有点侮辱观众智商了。 可以说，找出藏匿地点是意料之中的悬念，全片的关键就在最后的反转。     乔治·库蒂布下一盘很大的棋，为自己预先留好后手。 仿佛警察才想到一步，乔治·库蒂已经安排好后面的10步慢慢等着了。 就像影片所说，乔治·库蒂智商很高，但这样活着很累，每天都处于担惊受怕的状态，一有风吹草动就要拿出紧急预案，生活的心理负担太重。不是一般人真的熬不下来。     观众们同情乔治·库蒂一家也是情理之中。 一方面，乔治·库蒂是主角，观众很容易将自己带入他们一家的视角，以此感受被欺压的普通人生活，会激发出同理心和同情心。 另一方面，少年瓦伦和他母亲的行为的确很过分，影片丝毫没有花费笔墨描写他们家的正面形象，完全是按照反派的定位设置。强奸本身就适用无限正当防卫，一起简单的刑事案件就因为行凶者母亲是警察局长而变得复杂，这让追求公平正义的观众如何能忍。     最后多扯一句，国内翻拍的《误杀》结局为了符合各种需要，剧情上安排肖央自首了。 现在原版的续集出来了，国内再想翻拍也不行了，自己把自己的路堵死了。     悬疑加反转， 好大一盘棋。     这里是硬核影迷集散地，欢迎关注公众号：妙看影视,1.0,,3
9,9,35310153,较量2,02732cf98af6659a8ab025c63967c149,77803ce7d11fb78fd25b94569eb25e84,5.0,2021-06-11 02:16:39,"我不禁要问，当高等人的子女肆意妄为的时候，""目击证人""在哪里？ 当高等人的子女，肆意妄为的时候，印度条子的卧底在哪里？  一个女孩子和她妈，为了自保打死了一个人渣，按道理是没有错的。 父亲保护家人不受强权欺负，也是没有错的。  而这个时候，条子来了，目击证人来了，卧底来了，高额悬赏来了，你们欺人太甚，还想着什么自首解脱。 那么那个人渣胡作非为的时候，怎么没有自首，他要是早点自首，主动去坦白自己是人渣，胡作非为。比如在用强的时候停手，然后主动去条子哪里骂自己不是人。 他这样可能不仅不会死，还会成为浪子回头的典范。  这就像是一局游戏，对方已经开挂，而主角凭借自己的微操，竟然打败了开挂的，开挂的哑巴吃黄连，结果天天举报主角有问题。 主角一家怕的是自己""犯罪""嘛？怕的是开外挂的无耻之徒，时时刻刻利用系统GM回来报复。 别人要杀你，要害你，所以你活着挺害怕，所以你不如主动出来自首，任人收拾。这样才能获得解脱？？？？ 这是正义？ 这是tmd正义？ 这是什么tmd正义？  一个印度人，凭借自己的聪明知识，保护了自己的家人，这就是最好的故事。 应该痛苦的是，纨绔子弟的爹妈，应该忏悔的是睁一只眼闭一只眼的印度条子。 如果这个人渣的爹妈有真的教他做人，他会因为强上而被人打死嘛？ 如果印度条子能够即使的制止这个人的为非作歹，他会因为强上而被人打死嘛？ 因为纵容，所以人渣会灭亡，而现在，这些爹妈和条子却把责任推给受害人。希望他自首 还有人为此感到高兴。称赞这是解脱。  唐国强：我从未见过如此厚颜无耻之人！",21.0,1.0,2
