,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35427435,弓蕉园的秘密,6ff1a3562ac754941b78c2af00bcf5c6,1eece8d7bda4329ef81318f822a73fda,4.0,2021-04-28 21:56:31,看完了这部戏，让我一次又一次的循环播放着《刻在我心底的名字》这首歌…… 『刻在我心底的名字  忘记了时间这回事  于是谎言说了一次就一辈子』  书兰当初的谎言，是为了保护阿娟，但这谎言一说，就一辈子了…… 『刻在我心底的名字 你藏在尘封的位置 要不是这样我怎么过一辈子 刻在我心底的名字 忘记了时间这回事 既然决定爱上一次就一辈子』 林书兰这个名字，娟记了一辈子……  电视新闻里香港反送中游行把老年的娟一下拉回到了那个夏天。  相信老去的娟已经在弓蕉树园里一次又下次去回忆过去这段感情。   故事开始那场鱼池边的告白看得让人舒服，希望像鱼儿一样可以在池子里自由自在地游来游去……也呼应了片尾书兰的愿望。    书兰的愿望也是我的愿望。   一封被翻阅了不知道多少次的信 是你留给我的最后的爱意 那一张张模糊的照片 是你我之间爱的证明 那些“不能说”的秘密 如今也只能随岁月藏在心里烂在心底了,12.0,,0
1,1,35427435,弓蕉园的秘密,f812387f1c05a0774c3e885693cad044,576c24a5d6c7fb846f6787d2f83eb268,,2021-04-27 14:58:21,缺 1很多镜头不够美感   可能想表达那个年代 2两个视角，行，ok，但是能不能有节奏的插叙，一个视角下的爱情故事讲得不完整，另一个一味煽情 3故事太短了，讲白色恐怖少，讲政治情节冗长 4男性角色emmmm有好多优美的词汇想说，算了 优点有且只有一个！很重要！！ 我太喜欢兰主动调情的画面了！！！（电影开始我用服装和语言来区分两个女主的性格，女一一看就T里T气，穿着程序员专用衬衫。然后兰都是那种白色系显温婉的衣服，给人乖乖女的感觉，然后！反差！就来了！这个乖乖女！还特别他mua的！会撩人！会调情！！！就这种反差我很喜欢！！！！） 学校池塘边，板凳上的“去你家打工，睡觉来偿” 睡觉前，询问“亲一下就睡” 香蕉园煮面时“好热啊，我要……” 以上，果然女导演拍出来的才细腻。哦！再夸一下女一的哭戏，第一眼我就想起来她演过【我们与恶的距离】，然后分手的哭戏很合格。     我好想好想看【半支口红】by欧丫改编成电影！这不比此剧本好吗？同样上世纪，同样txl是流氓罪，同样时间往前推一推还可以讲政治，不讲政治还可以讲教育，不讲教育可以讲宿命论（上一辈恩怨和这一辈）。这个剧本真的很香，希望有导演（或者富婆，因为拍出来挣不到钱）可以看看！,8.0,,6
2,2,35427435,弓蕉园的秘密,d84e92ee8694c3b422a56a4c65dd2900,33702c5bdb80cbc7f93a6ef8d94dd749,4.0,2021-12-11 02:13:56,第一次看闽南语的电影，跟乡音相似的背景，让一直都是看国语英语的我仿佛闻到了雨后芭蕉清新的空气，有被感动和惊喜到。看一段在“熟悉”的环境下发生的同性爱情故事，感觉还是蛮复杂的。有对爱情消失的不舍难过、对“乡音”的亲切、对大环境的愤懑、和对貌合神离的语言背后的意识形态的感叹，杂糅成对青春回忆的遗憾。   整体来说片子没有太专一于爱情的描写，而是用孟娟和书兰的相恋经历串起“美丽岛事件”、同性恋接受过程、台湾戒严时期等内容。表达的内容太多有时会让人出戏，相反觉得对感情的深入探索还不够。 les电影总能给人唯美感伤的情绪，可能真与女性的细腻有关吧。“什么都不要说”，无论是书兰和孟娟的分开，还是孟娟后面的选择，都是大环境造成的遗憾，历史终究是牺牲个人。片子突出个人权利是跟环境息息相关的，也是我觉得在表达或影射意图上过于明显的一点。 说一些题外话，对台湾历史一直不太熟悉，但是靠着背景的勾勒，也大概可以感受到当时的大环境。有些传统还真是一脉相承，大陆与宝岛，tg和国民党，好的坏的都一脉相承，可以感受到导演想批判或者影射的对象，但也偏偏是这层影射，让我感觉到两岸的创作者在感情上、认识上始终存在一条鸿沟，也因此有些悲哀失落。像是家门的两兄弟，却因为争吵最后分道扬镳，明明是家人，说着一样的语言，有着一样的经历与回忆，却回不去从前。,,,0
3,3,35427435,弓蕉园的秘密,e7d3ddd16a64d22b9b0df80dab4177d4,a862407dffcc8b726935b853e41d910c,4.0,2021-10-23 03:08:55,时代印记。。。反正看完so blue 难受😣。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。凑字数儿，神经病要求,,,0
4,4,35427435,弓蕉园的秘密,d6b538617fc4d0b836c44e032e117361,615697ade0bb551d69039f9407261023,4.0,2021-07-05 14:09:31,表述白色恐怖受到的伤害令人动容，至少我是第一次看到这么直观完整的场景描绘，受到冲击。这个对抗不了、不能言说的暴力，和所有人不敢为同性恋画家说话，甚至需要一起嘲笑他的这个暴力是一样的。暴力源于我们对不同的恐惧。迫害面前沉默就是允许。是我们允许去侵犯人的权益，是我们允许因为一个私人的理由去嘲笑一个人的人格，去言语霸凌同伴。 用白色恐怖来寓意，或者说让主角发现同性不容的伤害有点不直接。我更愿意解释为因为政治原因，保护自己也保护她而分开。前者是主旋律，映射了后者。 模糊的照片，不能明说的观点。不知还要花费有多少人的眼泪、受伤，它要求我们去发声、斗争，只为一个不那么害怕的人群、不那么怒气腾腾的世界。,,,0
5,5,35427435,弓蕉园的秘密,0786513ed447bc6d5f0b4403a268efdc,3b9d3bb2a9c87622aa2065dd5fce9cbc,5.0,2021-06-12 15:56:12,两个女孩在夏天睡凉席，用芭蕉叶扇风，脱下外套乘凉。两个相爱的人，窝在一起，看杂志，闲聊天，教对方自己家的方言，这样的夏日，也许真的用一生都难以忘记。 虽然是简单的故事，但是周导真的用心拍好了。孟娟在课堂上因为同性恋画家和同学争吵，哥哥入狱后变得特别谨慎，再加上这一段，画面的布局。学长说要保护阿蘭，但他其实是遮住了她的阳光。   我依旧是对青春时期女孩子们的热恋故事爱得无法自拔，周美玲导演真的太会拍了，这部电影不好说是经典，但是足以在华语青春电影市场里留下痕迹。虽然有些剧情不够流畅，比如阿兰入狱的前后，学长的身份和权力，但是周导还是给我展现了一个清晰的学生时代深刻的爱情故事。这个故事里没有娇柔做作的伤痛，没有女生之间的勾心斗角，也没有流产打胎的疼痛。只是大时代背景下的小人物，短暂而深刻的爱恋。 我很反感一些电影，把情情爱爱拍的很无趣，故意去刻画女生之间的尔虞我诈，深化“三个女人一台戏”这样的刻板印象。又或者是去拍前任现任剪不断理还乱的无聊故事，拜托，那些男的有啥好，需要女生这样苦苦追求。当然我并不是不喜欢男女的爱情，真诚的爱值得一切尊重，而周导这部戏里的爱情更让我动容。 阿蘭的口音把我一下就带回了家乡，这样可爱的乡音，这样可爱的女孩。为了自己爱的人，学习台语，去做香蕉园里的粗活，就为了和孟娟呆在一起，睡来抵。广东口音再加上闽南语，这样娇滴滴的女孩，又十分十分的坚强。所以当她说和学长在一起时，我清楚这背后肯定有苦衷！她是那样坚强勇敢的女生，如果不是为了保护爱的人，她又怎么会害怕而隐藏自己。 尽管猜到了故事走向，但是在看到阿蘭入狱的时候我还是忍不住要哭，太好哭了。阿蘭的声音轻轻的，带着哭腔的，细细地诉说着她对孟娟的情。她希望接她出狱的人是她，但又害怕是她。也是这次入狱让她明白了，在这个环境她们的爱只能是留在芭蕉园里的秘密。 讲真的，周导真的给观众带来了好作品，很可惜没能在院线看到。电影看完后，还有很深的感触。六月份是骄傲月，今年的骄傲月可能还是很安静，在学校论坛里看到有人说“我们为什么不能讨厌同性恋”，这样的留言获的赞比踩要多得多。有时也会自我阉割，会问自己“我有什么好因为同志身份而骄傲的呢”。 谢谢周导提醒了我，因为在三四十年前，孟娟不知道要以什么身份去找阿蘭，因为在二十年前大陆才将同志去病化，因为到现在还有广电总局发布禁止同志内容影视的通则、南航空少被辞退、学生做同性恋反歧视演讲被退学、年长的同性恋者被对方家人起诉、同性情侣不能用游乐园情侣票等等数不清，诉不尽的不平等事件。 正因为我们经历了那么多的不公，所以我们更要骄傲，我骄傲。,7.0,,0
6,6,35427435,弓蕉园的秘密,ec35ca61e7434615e5921acf7a96afa8,740457010945af5b62798ac83581b9fd,,2021-05-01 01:29:52,"看完以後一夜未免，開頭即是結尾。
  看的時候就在想，如果是當時的我，也會選擇靠著回憶等一個人一生嗎？
  周導的作品看的不多這是第三部，然兒每看一部都會沉思很舊。
  從癡呆的孟緊靠著一點點的回憶完成了整個故事鏈條。
  不論是男主的陰謀論也好，大環境下被迫選擇也好，還是整個正直體系也好，這樣的愛情從古至今都不被認可，但是總還有先行者為之努力奮斗者，不為別的只為自由，然兒（自由）一詞包涵了太多太多……
  從影片中感受到1：有些細節已經透漏出孟的家人無形中已經接受她和藍的事情了（在回憶中有一個鏡頭就是她倆拉著手分別的那一段，鏡頭後面有個人在偷看個人感覺那個人的身形很像孟的爸爸）所以應該是聽到了她們的對話，故而才有了後來孟躺在床上她爸爸說了一句話：如果你媽媽還在的話……他哥哥和嫂嫂就不用說了，是他們發的那封信……
  從影片中感受到2：大環境帶來的壓迫是致命的，是你想反抗也反抗不了的無奈，因為一個人的力量太勢單力薄。
  這不正和現實中的環境一樣嗎？G家不認可家人認可有什麼用嗎？
  以上僅代表個人觀點，不參與任何性質的批判！",3.0,,0
7,7,35427435,弓蕉园的秘密,7709718c9d611b245054eb48cd63e6e8,3fe8ebd7f5996651fa46c4aefe24b6af,3.0,2021-04-28 18:59:42,我看完之后对于学长是不是到底是不是告密者或者说有些事是他告密的有些或许不是 产生了很多疑问，还有就是他既然做到这份上的话 并且他又不喜欢孟娟，为什么不把孟娟也举发了呢？第二个疑问就是书兰最后到底是回马来西亚了还是真的被关绿岛了？许志祥这边故意当着孟娟面说被关绿岛，实际在背后和同学承认是回马来西亚。但最后哥哥嫂子又说在绿岛上还有一个监狱没查，所以到底是哪个答案呢？,2.0,,8
8,8,35427435,弓蕉园的秘密,1dda2ad52d7897b04e5074e597453745,e5b71d4cdcac3c58c5bc59b6f878fb87,,2021-04-27 00:01:52,令人心碎的爱情，夏日，青春，美好。互相吸引…世俗，轮回可知她的心里也有她。无奈，只能分隔两地。是对她们又些残忍，她在香蕉园等她这么多年，她又何尝不是在马来苦守没有太阳的明天。只因她知道，环境不允许她这么做。她们早已经过了那个夏天，因为属于她们的夏天在彼此的心里永存。又何尝不是杜鹃啼血般的歌颂 ，属于她们的爱情。我相信，爱会战胜一切吧🌈。,1.0,,0
9,9,35427435,弓蕉园的秘密,a345d1f0e4438a91385b573f70b4191b,16d1f7c1b3c8333daad7f14b0d10ba36,,2021-04-25 21:04:47,首先剧透一下，结局是BE。两个人的感情戏份比较朦胧，主要表达的是环境对于爱情的影响。给我的感觉就是导演是在表达对政治环境的控诉吧。两个相爱的人因为年代，因为政治原因最后被迫分开。同时也在想可能正是因为有这样一群人敢于突破现状，发出不同的声音，台湾的同性婚姻法才会得以实施吧。 对于爱情可怕的不是没有回应，而是两个相爱的人被迫分开。,5.0,,0
