,Unnamed: 0,电影id,电影名称,用户id,用户名,评分,评论日期,评论内容,有用数,没用数,回应数
0,0,35442458,老亨利,a2144a7f97f477d30e868dc6bf198043,78dc69312f5e33716254449c35b880cd,3.0,2021-11-21 00:16:48,不管你是在西部世界混，还是在西部世界的电影里混，像“比利小子”这样的大人物始终是你绕不过的一道坎。即便是《老亨利》这样的后西部时代电影，一旦引入“比利小子”元素，瞬间就让老西部迷们又闻到了新墨西哥州的热风，当然你要是非说闻到的是德克萨斯州的牛粪味也没毛病。 “比利小子”是谁？这么说吧，他在美国西部片里的地位，和“黄飞鸿”在华人功夫片里的地位差不多。同时他和“黄飞鸿”确实是同一代人。比利小子生于1859年，黄飞鸿生于1856年。 2010年，美国的一个胖子花2块钱买到一张100多年前的风景照。转眼间这张照片就涨价到500万。  就是这张照片-- 价格涨幅这么大，原因就是这张照片里拍到了比利小子。  照片放大细节，比利小子在和朋友们打槌球-- 《老亨利》电影里快闪过一个报纸特写，那就是比利小子的真实照片。   比利小子原名：威廉·邦尼，也被称为亨利·麦卡蒂，是当时整个西部最为著名的逃犯，自从十七岁第一次杀人开始，终其一生都是一个亡命之徒。在混乱的西部而言，即使普普通通的生存，也并不是一件容易的事情，他在美国是位家喻户晓的传奇人物，当初，有不少赏金猎人与警察想要抓他归案，但因为他的枪法快而且很准，所以接连失手，最终还是在将他包围的情况下才将其击毙。 比利小子小时候和母亲相依为命，受过良好的教育，在西部糙汉中也算是素质较高的，传说（不可信）十二岁那年，他亲眼目睹母亲被人侮辱，并开枪打死了那个施暴的男人，他的逃犯生涯从此开始，不被人理解的他最终和劫匪们一起误入歧途，他做着镖客的活也干着偷牲口抢劫杀人的勾当。 人们对比利小子的早年生活只知道这么多，另外一个说法是，他在1859年出生于纽约市爱尔兰贫民窟，原名亨利·麦卡迪。由单亲妈妈抚养长大，小时候的生活颠沛流离，先是搬到了堪萨斯州，后来又移民到了西部的新墨西哥州。亨利很快就适应了那片崎岖荒芜的土地，并能说一口流利的西班牙语。 倒霉的是，在1874年，他体弱多病的母亲死于肺结核，他14岁时成了孤儿。接下来的一年里，他的继父出门在外，他就居住在一家寄宿公寓里。没过多久，他就和一群粗野的人混在了一起，开始干一些鸡毛蒜皮的小偷小摸的勾当。 亨利·麦卡蒂第一次触犯法律是在1875年，当时他帮助一个名叫“草帽杰克”的当地流浪汉，从一家中国人经营的洗衣店里偷衣服。亨利把赃物藏在了他的公寓里，但房东出卖了他，把他交给了治安官。虽然他被判的罪行很轻，但他并没有接受惩罚，而是从监狱里的一个烟囱里爬了出来。 然后，比利小子开始了他的逃亡生涯。他先后充当过流动的农场工人、赌徒和黑帮成员。1877年8月，他在亚利桑那州的一家酒馆里与人发生争执，混乱中杀死了一个男人。那是他人生中杀死的第一个人。从此，他化名“威廉·邦尼”，再次踏上了逃亡之路，人们称之为“比利小子”。 在1878年，比利小子第一次赢得了枪手的名声。当时他参加了新墨西哥州林肯县的一场边境冲突。这场冲突的一方是英国出生的农场主约翰·汤斯顿，另一方则是一对爱尔兰商业大亨詹姆斯·多兰和劳伦斯·墨菲。后者的团伙长期以来控制着当地的干货和牲畜贸易。 当时，爱尔兰商业大亨对比利小子的老板汤斯顿看不顺眼，天天恐吓他。于是汤斯顿招聘比利小子和其他几个道上混的来给他当保安。1878年2月，老板汤斯顿被爱尔兰帮的马仔在半路上干掉了。比利小子和其他几个兄弟组成了一个名为“监管者”的义务警员组织，发誓要为老板报仇。在后来被称为“林肯县战争”的事件中，他们暗杀了布雷迪警长，并在后来的几个月天天和爱尔兰帮枪战。 1878年7月，双方在林肯镇爆发了一场为期5天的激烈交火，双方的宿怨由此达到了顶峰。在此之后，“监管者”宣告解散，交战双方达成了一项脆弱的和平协议。比利小子也从此声名鹊起，被认为是西部最熟练的枪手之一，但他仍然因为谋杀布雷迪警长而被通缉。他将在逃避警察当局的追捕中度过余生。  比利小子的通缉令，悬赏5000美元要他的人头-- 比利小子跑路的时候和狂野西部的一些不法之徒不同，他不靠当抢劫谋生。这名年轻的枪手偶尔会偷马，但他从未抢劫过银行、火车甚至公共马车。除了与警察当局的枪战，他的主要犯罪活动是在新墨西哥州的平原上偷牛。 他平时性格比较随和，但惹急了就会拔枪。在1877年至1881年的四年时间里，这个长着一张娃娃脸的传奇枪手涉嫌枪杀了九个人，其中至少有四人是他一手杀死的。 1880年底，林肯县警长帕特·加勒特一路追踪比利小子，将其围困在新墨西哥州斯普林斯的一间小屋里，最终迫使他举手投降。这名逃犯被判谋杀威廉·布雷迪警长罪名成立，被关押在林肯法院。按照计划，他将在与一名刽子手见面之后被执行死刑。但1881年4月28日晚，他策划了他犯罪生涯中最大胆的一次逃亡。 他说要撒尿，在去厕所的路上，比利小子把手从手铐上滑出来，然后干掉了一名警卫，用自己的手枪把那人打死了。随即他用警卫的双管猎枪，杀了正在过马路的第二名警卫。控制了法院之后，比利小子从一个小型武器库里搜集了些武器，并用鹤嘴锄砍断了他的脚镣，然后骑着一匹偷来的马逃离了小镇。这一爆炸性的越狱消息很快出现在了全美各地的报纸上，比利小子成为了美国西部的头号通缉犯。 比利小子逃到美国西南地区的边境线上，花了几个月的时间躲在新墨西哥州的萨姆纳堡，当地一些同情他的人给他提供了庇护场所。然而，他没有刻意保持低调。没过多久，警长帕特·加勒特携带着两名副手，就再次闻讯追踪到了这里。 1881年7月14日的晚上，加勒特警长来牧场主彼得·麦克斯韦尔的家，询问他关于逃犯的下落。当他把麦克斯韦尔从床上叫醒的时候，比利小子正在附近的商店里买了一份牛肉，然后也朝那所房子走去。夜色中，他注意到了加勒特的一个副手站在走廊上留下的侧影，比利小子立即拔出手枪，朝门口退去。同时用西班牙语喊道：“谁在那儿？” （这段故事，电影里还原度极高） 当他走进麦克斯韦尔昏暗的卧室里，看到了加勒特模糊的身影，他再次问道：“你是谁？”一听出是比利小子的声音，加勒特警长立即拔出他的六轮手枪，朝他的方向开了两枪。结果，一颗子弹击中了比利小子的心脏，21岁的他当场死亡。 帕特·加勒特警长因杀死比利小子而成为西部地区的传奇人物。然而，随着时间的流逝，流言四起。有人说，警长要么杀错了人，要么伪造了比利小子的死亡。20世纪40年代末，一位名叫罗伯茨的德州老人甚至声称，自己是比利小子的亲骨肉。但由于家庭记录显示他出生于1879年，他的故事在很大程度上遭到了质疑。  干掉比利小子的帕特·加勒特警长-- 比利小子的“英年早逝”并没有让他从这个世界上销声匿迹。恰恰相反，在他身亡之后，比利小子陆续成为了廉价小说、电视节目和好莱坞电影中的主角，他的传奇故事也随之愈演愈烈。 有人说他是位神枪手，是个除暴安良的英雄；也有人说他是个暴徒，谋杀了21个人。关于比利小子之死，有多个版本，传得最多的还是说他死在加勒特警长枪下。 当然，也有人说警长英雄惜英雄，偷梁换柱放了他。 如今，加勒特警长的后人们重新打开了比利小子的案卷，他们借助当代先进的DNA科技来解开萦绕在人们心中的疑团。 在美国，Billy The Kid（比利小子） ，就埋在西部荒原的一个小庄园里 。 庄园用高高的黑栅栏围住 ， 里面耸着一冢很平凡的墓 。离Billy The Kid不远的一个小镇 ， 只有一条小街， 几片店铺大都是西部古典乡村格调的木屋， 门口或吊着一铸旧钟 ， 或停驻一辆褪了色的铜马车 。 店里出售的商品大都是关于 Billy The Kid 的纪念品 。 仿真皮靴 、 马爵 、 马鞭 、 带铁钉的腰带等等 。小镇宁静得不能再宁静 ， 只有偶尔闪过的车影和慕名而来旅游的少量旅客 。如果你是位无心的过客 ， 你不会想到竟然在这小镇深处的林荫里 ，躺着一个曾经的世纪猛男。 没错，很多当地人都把他称为英雄。 从1911年的无声电影《比利小子》开始，这个西部亡命枪手的故事已经在大银幕上出现了50多次。他成为了美国拓荒时代，狂野西部当仁不让的主角，无数的美国孩子将其视为心中的偶像。时至今日，在美国人心目中，比利小子依然是一个传奇。,35.0,,3
1,1,35442458,老亨利,9ad40b31a6ae15ccd7afd90705384b90,d8f7de479b1fae3d85d341f380524de5,5.0,2021-10-17 02:40:25,很精致细腻的一部片，还原了慢节奏、真实情境的西部，也透出了在蛮荒之地、法外之地、丛林世界里努力生存之人的精气神！儿子看不起的农民老爸居然是个高手：）（笑）这个梗让人想起了早年的经典爽片《真实谎言》和最近的爽片《小人物》.....其实这片跟《荒野大镖客》风格完全不同，是故事片而不是快餐动作片，人物对白里蕴含了大量的西部拓荒史的时代背景信息！,18.0,5.0,14
2,2,35442458,老亨利,fd1d29d47d7fc898976996b3cb6dd982,219392544f6f3e81e9c882ca574bb313,4.0,2021-11-16 06:58:05,开场简单凝练。一场追击，一对父子发现一位伤者，还有一把手枪和一袋巨额现金。开始的氛围极度压抑荒凉。在西部蛮荒山野之中，掠过一个个矫健的身影，和一张张冷酷的面孔。恩怨，利益，杀戮和复仇。在冷酷蛮荒中，似乎只有冷血性格才能生存。西部，像一个巨大的斗兽场，物竞天择，丝毫不爽。所谓胜者，正是蛮力和狡诈铸就的极品。 情节展开，这完全是《暴力史》的翻版。令人好奇的不仅是那个伤者的手枪与金钱，和伤者的身份，更为诡异的，是老亨利的历史，和他身上罩着的谜团。因为比暴力更极端的，不再是暴力，而是暴力的反面，是慈悲。从老亨利对待伤者和儿子的言行中可以看出，只有见识过暴力深渊的可怕景象的人，才会最终选择远离暴力，深藏一颗悸动的心。让这颗伤痕累累依然强悍无畏的心在日复一日的平庸宁静里，渐渐地沉睡安息。 在劫匪索要伤者时，亨利的儿子却不理解父亲为何如此懦弱无为，胆小怕事。他像一只雏鹰渴望在荒野天空里飞翔，却被老父紧紧锁在黯淡无光的囚笼里，他的躁动可想而知。 而老亨利的秘密从他的握枪姿势中透露出来，这令老辣的劫匪不敢轻举妄动，选择了迂回战术。 这个儿子就是用来搞笑的，废话多，动作笨拙又心高气傲。一上来就受伤，成了两个好汉的累赘。而为何牛仔们的最后一击都用绞杀？也许就是西部惯例吧？所谓上帝的惩戒，剥夺弱者呼吸的权力。而所谓暴力，只能在自己或亲人受到生命威胁时才能使用，老亨利给儿子上了一课。敌人的尸体用来喂猪，真是好想法。吃了人肉的猪膘肥体壮，却又成了人类的盘中餐。这种老亨利金盆洗手之前人吃人的黑暗往事不提也罢，这是为你好，去做个好父亲和好丈夫，老亨利又给儿子上了一课。 西部，这个欧洲入侵者从印第安人手中夺来的土地，这个远离政府和宗教的蛮荒之地，暴力是这里唯一的也是最后的秩序。这里无法用道德和法律去规范一个人，只能用暴力和野蛮去定义一个人。在这样的世界里，一个人只能依靠拳头，头脑和心灵活下去，用力量，智慧和自我的法则去决定自己和别人的生死。人与兽的转化，往往在一念之间和一瞬之间。而失去约束的人性野蛮生长，就像严酷自然里奋力求生的禽兽，强者用暴力剥夺弱者的生命成为了这个世界的法则。 最后决战中，儿子又来装英雄了。连老父都示弱了，他还在幻想着成为新的暴力之王。而老亨利的黑暗往事在那句黑话中展露无疑： “低下你的头，就会没事的。” 亨利的暴力史不忍直视，也无法忘却。就像一个人的基因只能隐藏，无法清除。原来他便是警方一直通缉的荒野大镖客比利。比利说着很溜的西班牙语，有着更溜的身手，还有无法再溜的枪法……苍老的比利孤身剿灭群匪。他是在除暴安良吗？是在替天行道吗？是在扶弱济困吗？可惜这些堂堂正正的动机都不是老亨利的初衷。见惯腥风血雨的他只是需要一个不受打扰的平静晚年。让荒野里的凉风带走那一切不堪回首的往事，养大自己的孩子，让他在文明富足中成为一个文雅规矩的人。不再玩那些愚蠢的决斗游戏，不需要再过那种刀尖上舔血的日子，不再成为别人的枪下之鬼。 这种硝烟弥漫你死我活的游戏已经太久了，久到令人失去了追求幸福的能力的地步。以暴易暴的死亡如此迅速也如此廉价，成为孤胆英雄已经变成一件滑稽可笑的事。 最终，老亨利在警匪黑吃黑的游戏中成为牺牲品。这也使他他成为了最后一位西部的传奇。临死前，他对儿子说： 以后你将会听到许多关于我（们）的传言，有些是真的，有些不是。属于我（们）的时代已经过去了，希望你能喜欢这个新的世界。 荒野西部，一丝血染的晚霞一直挂在天边，久久不灭。直到一束绚烂的晨曦驱散夜色，重新照亮这个美丽新世界。 从历史长河中回首，那些血腥残酷的野蛮，被遗忘的暴力，也许会染上时间的芬芳，带上传说的光彩。但那也只是浪漫的错觉而已，而这错觉，正是西部片经久不衰的魅力。,4.0,,0
3,3,35442458,老亨利,9ab02337bb25f7704f63df061eeb78ba,fc32dcbe43d7d1ab30aed68b8baec79e,4.0,2021-10-28 16:07:29,西部牛仔电影是电影界一个非常特殊的存在，一直以来都拥有大量的拥趸，该类电影立意明确，爱憎分明，旨在扬善惩恶。  这其中老牌牛仔东木先生是一个不得不说的伟大人物，凭借在西部牛仔电影中的深厚造诣，也让他成为了该类型电影的最佳代言人。 不过眼下东木先生已经是年过90岁的耋耄老人了，即便是依旧坚持在电影事业一线，我们也不可奢求再看到他那出神入化的枪战戏了。  西部牛仔电影对于主角的要求其实并不一定帅出天际，但是必须要具备坚毅的气质和硬汉的品格，这也致使近些年来亮眼的西部电影并不多，如果2016年的《豪勇七蛟龙》算一部的话，那么2021年9月上映的《老亨利》也算一部。 在一众好莱坞大制作的包围下，《老亨利》显得非常的平静，这部影片不具备强大的演员阵容，也不具备宏大发场面，更不具备激烈的枪战戏。 影片中由蒂姆·布雷克·尼尔森饰演的男主亨利与儿子过着世外桃源的生活，这种生活与东木先生在那部《不可饶恕》中的生活一样，同样的是经营着小农场，也同样的是隐姓埋名，过着内心救赎的平淡日子。  老亨利平静的生活被救来的一个陌生人所打破，从陌生人身边发现的一把枪和一包现金，让老亨利一度陷入了危机之中。 即便是外敌逼近，影片的整体慢节奏也依旧没有被打乱，整部影片的台词并不多，并且人物之间的对话也是简洁明了，尤其是老亨利与自己的儿子之间，多余的话一句不说。  与东木和丹泽尔·华盛顿相比，蒂姆的身材要弱小的多，但是在那满脸沧桑的脸庞上，却丝毫不缺乏坚毅刚强的气质，这也是他能把这个角色塑造成功的重要条件。 看到有网友说这是2021年最正统的一部西部电影，对此我相信也是说出了很多观众的心声。 影片展现给我们的是一片广袤的西部世界，看似慢镜头剧情的推动下，凸显出的却是正义与邪恶的对决，你会发现整部影片没有一个女性角色，有的只是在男人的江湖中你来我往的博弈。  当片尾看到以一人之力击败外来者，却意外中枪倒下的老亨利时，揭示了一段救赎生活的了结，也宣告了一个传奇人物的落幕。 在西部电影的世界里，永远都会存在传奇，也永远都会有传奇的落幕。【END】,5.0,,6
4,4,35442458,老亨利,84ccd0597f916507725e8dee25f552f3,cbf80fd5ed7a756fab083b2a32f290ec,3.0,2021-10-22 13:20:12,"故事梗概 亨利 (Tim Blake Nelson) 和儿子 Wyatt (Gavin Lewis) 在美国西部经营一座小农场，在Wyatt 母亲离世后他们的生活更加艰难。此时一个携带着大包现金受伤的陌生人Curry (Scott Haze)不期而至，给父子两人带来了新问题。。。。 陌生人自称是临近小镇警长，目前在躲避一帮恶人 然而，另一个陌生人Ketchum (Stephen Dorff) 跟踪而至，他的来临揭示了故事截然不同的另一面。老亨利面临生死抉择。。。。  与其他西部片一样， 《老亨利》 在美国田纳西州拍摄，电影背影还是那种地广人稀、连绵不断的山丘和寒风瑟瑟的冬季老派西部电影调调。。。卡斯阵容不大、小制作慢热型风格。。。。电影的主题还是比较严肃：endings and death, redemption and forgiveness, and the tragedy of an inescapable past. 片中大动作场景不多，但是小朋友们谨慎选择。.   《老亨利》 has enough depth to appeal to more than just the dedicated band of Western fans. The thoughtful character work and stunning cinematography ought to impress a broader audience – provided that audience has the patience for all the character work. This isn’t just one gunfight after another, and if you’re looking for non-stop action, then keep looking. But there’s plenty of good action to choose from, and I’m happy to find a film that focuses on more than trying to see how many people you can shoot in 90 minutes.",4.0,,0
5,5,35442458,老亨利,3c6d36b7d36f69322e1ebc72df385e38,d33c14d7c10c6a3c4277c0fcfab523cc,4.0,2021-12-24 08:36:38,"



       故事的开始，就是一帮自称是“法律”的人，杀了一个人，然后追问另一个人的下落。 这做派，看起来就不像是个正经人。 为首的这位，整天喜欢拿个刻刀雕木头，也不知道是哪根筋搭错了，以为自己是小李探花。
     不出意外，那个被追问的人，应该是被老亨利给救了。 这个老头，看起来其貌不扬，整天没睡醒的样子。 守着个破农场，也不知道忙什么鬼。
     这一点，他的儿子非常反感。 因此还引发了父子大战。 说实话，西部片的套路，其实来来回回就这样。 但是这部里头加入的父子关系问题，其实还蛮有意思的。 孩子成长了，以为自己知道了一切。 老爸看透了，早就洞察了一切。 由于缺乏沟通，孩子认为老爸是个窝囊废，老爸以为孩子还小。 这个怪圈，往往老外根本不想解决这个问题，而是用一个更大的问题，来倒逼这个问题。 这个小孩，在生死面前，最终也是消停了。 只是，这样的代价，未免太大。 难道，老爸让孩子看清楚这个世界，一定要用生命来证明吗？ 再说了，这个世上，也不是每个老爸，有老亨利这样曾经的故事，在生活面前确确实实就活成了“窝囊废”，那这样的老爸，难道就不配有教育孩子的权利了吗。     故事的结局基本没有反转，一般套路。 在当年那个蛮荒的西部，好多事儿不可以常理推断。 不过故事的背景音乐还是不错的，如果闭着眼睛听，还能听出几分老谋子的大片的意思。",1.0,,0
6,6,35442458,老亨利,9729ca7eed6842bb9edfac27ef2d6582,38f8acc9e82bdc7e54c267c98b906c3b,5.0,2021-12-19 22:09:50,为什么一部情节简单，也无特效，人物屈指可数，甚至没有一个女性角色的电影会打动我？ 仔细想来，大概是真实的情感。 我相信影片中Old Henry的固执。选择在世界的边缘做一个农夫，养猪，种地，保护好儿子，这是他经历过很多之后的选择。 我也相信年轻‘儿子’想要出去看世界的冲动，尤其是第一次偷偷开枪的兴奋、慌乱和打开新世界的不知所措，这种感受难道不是我们在长大的过程中都有的么。可是，相信他们是这样的性格，不是我们关心他们命运的理由。 转折点来源于，一匹马，一袋钱，一个受伤濒临死亡的陌生人。救还是不救？ Henry在犹豫之后，选择了救。 这必然不是一个风平浪静的选择。因为我们知道，电影另一条线上三个人在追踪着这个受伤的陌生人。负责追踪足迹的人，像条猎犬，无论多远都可以嗅到气味；一个冲动的副手，心狠手辣；为首的人冷静的像头狼、聪明的像只狐狸、残忍、老辣的脸上偏偏表现出来都是诚实。你摸不透他下一步会怎么走，但是很确定，他绝不会善罢甘休。 因此，做为观影者的我们开始关心，Henry和他的儿子能否在狼群的狩猎中生存。 Henry再也没有犹豫第二次，在围攻下，每一步都切中要害，每一步都是保护儿子，毫不犹豫。绝决，残忍，亦如狼。那个农夫的henry不见了，露出了Billy the Kid，那个当年闻名天下的枪手。 影片演绎到最后，结果依然不重要。我们只需知道，那个旧世界过去了，那荒凉的西部、在旷野上吹不到尽头的风，那种每日都相同，但每日都是生死抉择的年代过去了。那种隐忍和残忍，决绝和希望都过去了。 对于未来？希望你能喜欢那个新世界。,,,0
7,7,35442458,老亨利,3b107285da36c2743296d69223e28280,9ec75097ce44559e94e404d6a2d395ab,,2021-11-15 23:42:52,Billy the kid外传，估计新生代漫威粉很难共情了。复古风格不错，总体水准及格线以上，原本可以打3.5分，最后强行反转追求悲剧感扣0.5，综合下来我打3分。话说回来，在近年来的西部片里，质感算是好的，何况是个硬核的老派西部片。其实若干年后漫威DC电影也是一样，曾经越是主流，日后越是过气。,,,1
8,8,35442458,老亨利,8a23e86a090a3da2a2a94f335017cd77,10134690e270cb1fef2406bafa2da1fb,,2021-11-12 11:08:44,最近看过的片子里算是比较棒的。节奏舒缓，不急不躁，配乐苍凉配着荒凉的西部特别有感觉。看似猥琐的老头动作迟缓，其实身怀绝技，实战经验丰富，不管用刀用斧用枪都干净利落，最后半小时真是蛮精彩。不过大概脱离江湖太久，没看出来两方其实是一伙的黑吃黑，老头吃了黑枪后倒也平静，应该早已看透，结局是注定的，只是时间早晚而已。 老头的儿子年轻气盛，喜欢枪，有点冲动，最后一个人两匹马离开了这里，他能走多远真是让人担心？经验不足，容易冲动恐怕很难在西部活得久。 不多说，我得去补一下比利小子的传奇故事了。希望下一部是儿子的故事，穿插点老亨利的传奇。,2.0,,2
9,9,35442458,老亨利,1ebe2a8c80dc52e836c1c0fae8a9d7d7,9c1c7c5560d2313a204414fe056674b5,4.0,2021-10-29 12:12:40,影片伴随着忧伤舒缓的小提琴声拉开序幕，在悲痛低沉的大提琴声中结束，注定是悲伤的结局！        空旷、野蛮的西部世界，弱肉强食，尔虞我诈，枪林弹雨后注定是生灵涂炭，英雄辈出！可现实是残酷的，谁也不可能当一辈子的英雄，隐姓埋名，与世无争，也会一刹那的执念而命丧黄泉，因为你出来混过，肯定是要还的！        如果柯里的马没有跑进邦尼的农场;如果第一声“No”后，义无反顾扬鞭策马而去;如果没有那么一点怜悯之心;如果始终保持防备之心……可现实中哪有那么多如果，因为七情六欲才成就曾经的邦尼，同样因为你是“比利小子”，才必有这一劫，一切都是命中注定！出来混总是要还的！        不允许儿子碰枪，不允许儿子杀戮，曾经英雄的邦尼在腥风血雨之后早就参透了西部世界的真谛和活下去的道理。三天三夜的博弈和激战，父亲和儿子从熟悉到陌生，从农民到英雄，从苟活到死亡，从相依为命到独自天涯，不知道最后儿子是否理解了父亲的苦心，是否认知了西部世界的残酷，是安分守己农耕田作，还是独步江湖成为下一个“比利小子”?无论怎样选择，总之记住这句话:出来混总是要还的！！！,4.0,1.0,0
